Entity,Year,Number of Internet Users by Country (World Bank (2015))
Australia,2001,10230651
Australia,2005,12848724
Australia,2006,13660614
Australia,2007,14475182
Australia,2008,15235676.4
Australia,2009,16116933.1
Australia,2010,16744130
Australia,2011,16978418.24
Australia,2012,18068961.93
Australia,2013,18269435.72
Austria,1990,7677.85
Austria,1991,23264.673
Austria,1992,47044.254
Austria,1993,63245.064
Austria,1994,111105.652
Austria,1995,151017.282
Austria,1996,549172.173
Austria,1997,756963.895
Austria,1998,1228425.506
Austria,1999,1838234.52
Austria,2000,2699897.742
Austria,2001,3152578.856
Austria,2002,2957996.262
Austria,2003,3467847.621
Austria,2004,4437377.538
Austria,2005,4772140.82
Austria,2006,5258855.676
Austria,2007,5757067.978
Austria,2008,6066370.584
Austria,2009,6132342.405
Austria,2010,6289279.808
Austria,2011,6310515.536
Austria,2012,6634402.917
Austria,2013,6783500
Azerbaijan,1999,7982.75
Azerbaijan,2000,8048.6
Azerbaijan,2001,24333.6
Azerbaijan,2002,408597.5
Azerbaijan,2005,671348
Azerbaijan,2006,1018146
Azerbaijan,2007,1244288.5
Azerbaijan,2008,1498541.4
Azerbaijan,2009,2451544.582
Azerbaijan,2010,4164992.72
Azerbaijan,2011,4219617.72
Azerbaijan,2012,4647892
Azerbaijan,2013,5103906.142
Bahamas,1995,2800.5
Bahamas,1996,4822.526
Bahamas,1997,4015.83
Bahamas,1998,6668.298
Bahamas,1999,11150.796
Bahamas,2000,23820.72
Bahamas,2001,35754.59
Bahamas,2002,55627.02
Bahamas,2003,63124.8
Bahamas,2004,70928
Bahamas,2005,82272
Bahamas,2006,87261.72
Bahamas,2007,92353.23
Bahamas,2008,109727.1
Bahamas,2009,120172.788
Bahamas,2010,155014.14
Bahamas,2011,157522.33
Bahamas,2012,241774
Bahamas,2013,270577.158
Bahrain,1995,1691.19
Bahrain,1996,4637.576
Bahrain,1997,9558.4
Bahrain,1998,19761.184
Bahrain,1999,30122.911
Bahrain,2000,41430.818
Bahrain,2001,104812.35
Bahrain,2002,132589.921
Bahrain,2003,166764.528
Bahrain,2004,176408.575
Bahrain,2005,187340.742
Bahrain,2006,268168.182
Bahrain,2007,339644.137
Bahrain,2008,580339.76
Bahrain,2009,631515.67
Bahrain,2010,688332.15
Bahrain,2011,711020.2
Bahrain,2012,1014726.79
Bahrain,2013,1172310.48
Bangladesh,2000,132383.265
Bangladesh,2001,134729.503
Bangladesh,2002,137006.279
Bangladesh,2003,278371.972
Bangladesh,2004,282470.07
Bangladesh,2005,286270.36
Bangladesh,2006,1448687.02
Bangladesh,2007,2636227.206
Bangladesh,2008,3699249.175
Bangladesh,2009,4634596.1
Bangladesh,2010,5591642.575
Bangladesh,2011,5655909.947
Bangladesh,2012,7734768.4
Bangladesh,2013,9082507.796
Barbados,1996,1055.536
Barbados,1997,2116.848
Barbados,1998,5307.4
Barbados,1999,6389.28
Barbados,2000,10687.6
Barbados,2001,31927.224
Barbados,2002,74927.672
Barbados,2003,107525.068
Barbados,2004,135558.09
Barbados,2005,143623.2
Barbados,2006,152032.419
Barbados,2007,160793.214
Barbados,2008,170467.276
Barbados,2009,180516.882
Barbados,2010,190949.676
Barbados,2011,191908.524
Barbados,2012,203352.678
Barbados,2013,208644.052
Belarus,1998,10069
Belarus,1999,50175
Belarus,2000,190095
Belarus,2001,426904
Belarus,2002,887850
Belarus,2006,1555848
Belarus,2007,1883320
Belarus,2008,2191440
Belarus,2009,2604918
Belarus,2010,3017820
Belarus,2011,3012414
Belarus,2012,3747744
Belarus,2013,4439554
Belgium,1992,10045.158
Belgium,1993,20168.95
Belgium,1994,70809.221
Belgium,1995,101368.11
Belgium,1996,304699.11
Belgium,1997,498881.005
Belgium,1998,806037.632
Belgium,1999,1411245.822
Belgium,2000,3013867.5
Belgium,2001,3219696.41
Belgium,2002,4784079.455
Belgium,2003,5188066.5
Belgium,2004,5616992.843
Belgium,2005,5847068.286
Belgium,2006,6297130.926
Belgium,2007,6842950.8
Belgium,2008,7068582.18
Belgium,2009,7557545.1
Belgium,2010,8190204
Belgium,2011,8285808
Belgium,2012,9080648.736
Belgium,2013,9024533.319
Belize,1996,1911.375
Belize,1997,2840.292
Belize,1998,4726.743
Belize,1999,9506.26
Belize,2000,14315.16
Belize,2002,14350.662
Belize,2004,15372.32
Belize,2005,25016.64
Belize,2006,29014.44
Belize,2007,31195.364
Belize,2008,33170.472
Belize,2009,35218.872
Belize,2010,43203.3
Belize,2011,44279.2
Belize,2012,60599.22
Belize,2013,82975
Benin,1999,13480.982
Benin,2000,13898.732
Benin,2001,28699.644
Benin,2002,51903.208
Benin,2003,76656.81
Benin,2004,95073.552
Benin,2005,106370.706
Benin,2006,126655.065
Benin,2007,156734.82
Benin,2008,170492.567
Benin,2009,203297.226
Benin,2010,294803.738
Benin,2011,303173.645
Benin,2012,412078.782
Benin,2013,464556.33
Bermuda,1995,4062.728
Bermuda,1996,9740.898
Bermuda,1997,14640.274
Bermuda,1998,19562.703
Bermuda,1999,24452.715
Bermuda,2000,26526.357
Bermuda,2001,29689.4
Bermuda,2002,32714.24
Bermuda,2003,35778.625
Bermuda,2004,38881.4
Bermuda,2005,41956.716
Bermuda,2006,45101.577
Bermuda,2007,48276.672
Bermuda,2008,53719.679
Bermuda,2009,54674.788
Bermuda,2010,54834.408
Bermuda,2011,54362.888
Bermuda,2012,57216.634
Bermuda,2013,59345.913
Bhutan,1999,548.599
Bhutan,2000,2257.4
Bhutan,2001,5227.992
Bhutan,2002,10173.735
Bhutan,2003,14793.192
Bhutan,2004,20284.576
Bhutan,2005,24715.846
Bhutan,2006,29950.56
Bhutan,2007,40082.535
Bhutan,2008,45682.494
Bhutan,2009,50727.024
Bhutan,2010,97503.704
Bhutan,2011,99202.344
Bhutan,2012,155782.62
Bhutan,2013,191502.538
Bolivia,1995,7635.362
Bolivia,1996,15613.906
Bolivia,1997,31914.084
Bolivia,1998,48901.284
Bolivia,1999,83224.08
Bolivia,2000,118933.794
Bolivia,2001,182050.386
Bolivia,2002,274143.85
Bolivia,2003,315587.545
Bolivia,2004,404254.84
Bolivia,2005,486444.868
Bolivia,2006,590078.49
Bolivia,2007,1016027.88
Bolivia,2008,1229262.25
Bolivia,2009,1678892.208
Bolivia,2010,2275078.624
Bolivia,2011,2312675.68
Bolivia,2012,3148885.5
Bolivia,2013,3788276
Bosnia and Herzegovina,1997,3535.998
Bosnia and Herzegovina,1998,3640.821
Bosnia and Herzegovina,1999,7504.008
Bosnia and Herzegovina,2000,42178.004
Bosnia and Herzegovina,2001,46552.236
Bosnia and Herzegovina,2002,101337.054
Bosnia and Herzegovina,2003,155831.16
Bosnia and Herzegovina,2004,602442.065
Bosnia and Herzegovina,2005,826403.364
Bosnia and Herzegovina,2006,972664.407
Bosnia and Herzegovina,2007,1079357.535
Bosnia and Herzegovina,2008,1339836.747
Bosnia and Herzegovina,2009,1452749.142
Bosnia and Herzegovina,2010,1999883.08
Bosnia and Herzegovina,2011,1996447.44
Bosnia and Herzegovina,2012,2300349.6
Bosnia and Herzegovina,2013,2504366.778
Botswana,1995,1583.453
Botswana,1996,3241.978
Botswana,1997,4972.047
Botswana,1998,10152.888
Botswana,1999,18974.164
Botswana,2000,50905.875
Botswana,2001,60633.866
Botswana,2002,61505.184
Botswana,2003,60475.866
Botswana,2004,61206.387
Botswana,2005,61901.565
Botswana,2006,81525.592
Botswana,2007,101504.911
Botswana,2008,121824.297
Botswana,2009,121006.33
Botswana,2010,118160.46
Botswana,2011,119202.06
Botswana,2012,160312.8
Botswana,2013,232431.56
Brazil,1995,161890.816
Brazil,1996,821962.115
Brazil,1997,1335403.656
Brazil,1998,2542085.205
Brazil,1999,3440127.24
Brazil,2000,5060642.042
Brazil,2001,7963569.225
Brazil,2002,16324832.89
Brazil,2003,23991389.53
Brazil,2004,35145964.05
Brazil,2005,39089904.63
Brazil,2006,53053876.83
Brazil,2007,58709065.58
Brazil,2008,64816761.65
Brazil,2009,75848441.42
Brazil,2010,79450532.68
Brazil,2011,80152599.54
Brazil,2012,90785800.68
Brazil,2013,97375895.55
Brunei,1995,2950.03
Brunei,1996,9982.863
Brunei,1997,14875.392
Brunei,1998,19984.482
Brunei,1999,24986.577
Brunei,2000,29862.09
Brunei,2001,43745.706
Brunei,2002,53000.271
Brunei,2003,69315.204
Brunei,2004,107156.709
Brunei,2005,134252.475
Brunei,2006,158122.134
Brunei,2007,170503.68
Brunei,2008,178487.82
Brunei,2009,193256
Brunei,2010,212301.57
Brunei,2011,215451.36
Brunei,2012,230853.28
Brunei,2013,251923.752
Bulgaria,1995,8406.067
Bulgaria,1996,58539.782
Bulgaria,1997,99744.816
Bulgaria,1998,148622.148
Bulgaria,1999,238108.096
Bulgaria,2000,441189.288
Bulgaria,2001,609541.432
Bulgaria,2002,716030.588
Bulgaria,2003,938826.84
Bulgaria,2004,1408390.141
Bulgaria,2005,1547980
Bulgaria,2006,2086434.42
Bulgaria,2007,2535233.568
Bulgaria,2008,2974546.717
Bulgaria,2009,3349999.35
Bulgaria,2010,3416766.738
Bulgaria,2011,3394927.536
Bulgaria,2012,3506826.24
Bulgaria,2013,3770594.685
Burkina Faso,1999,11281.942
Burkina Faso,2000,11607.944
Burkina Faso,2001,23892.16
Burkina Faso,2002,24592.798
Burkina Faso,2003,50636.344
Burkina Faso,2004,52137.032
Burkina Faso,2005,67109.645
Burkina Faso,2006,82933.542
Burkina Faso,2007,113880.6
Burkina Faso,2008,131936.814
Burkina Faso,2009,166044.637
Burkina Faso,2010,372966.816
Burkina Faso,2011,383887.512
Burkina Faso,2012,493804.23
Burkina Faso,2013,626589.043
Burundi,2000,6674.286
Burundi,2001,6839.376
Burundi,2002,7037.727
Burundi,2003,14528.68
Burundi,2004,22532.313
Burundi,2005,38851.96
Burundi,2006,56298.053
Burundi,2007,58298.184
Burundi,2008,68994.24
Burundi,2009,80340.183
Burundi,2010,92327.53
Burundi,2011,95403.62
Burundi,2012,108345.259
Burundi,2013,121950.384
Cambodia,2001,12472.586
Cambodia,2002,25418.672
Cambodia,2003,38803.107
Cambodia,2004,39448.158
Cambodia,2005,40069.272
Cambodia,2006,67775.27
Cambodia,2007,68736.44
Cambodia,2008,69702.59
Cambodia,2009,70721.125
Cambodia,2010,186744.103
Cambodia,2011,189876.206
Cambodia,2012,460804.026
Cambodia,2013,741623.281
Cameroon,1999,15513.653
Cameroon,2000,47783.139
Cameroon,2001,49051.32
Cameroon,2002,67128.176
Cameroon,2003,103339.662
Cameroon,2004,176749.6
Cameroon,2005,253928.276
Cameroon,2006,372238.74
Cameroon,2007,553832.604
Cameroon,2008,666230.884
Cameroon,2009,763949.91
Cameroon,2010,886846.749
Cameroon,2011,909719.696
Cameroon,2012,1084981.55
Cameroon,2013,1268475.663
Canada,1990,111164
Canada,1991,169030.092
Canada,1993,346000.92
Canada,1994,698685.744
Canada,1995,1232868
Canada,1996,2017689.2
Canada,1997,4528067.2
Canada,1998,7531727.1
Canada,1999,11040710.4
Canada,2000,15784856.1
Canada,2001,18711303.8
Canada,2002,19318992
Canada,2003,20335992
Canada,2004,21116700
Canada,2005,23167704
Canada,2006,23581045.62
Canada,2007,24073963.3
Canada,2008,25499507.89
Canada,2009,27003742.51
Canada,2010,27306235.02
Canada,2011,27577252.34
Canada,2012,28846078.96
Canada,2013,29181392.32
Cape Verde,1997,835.124
Cape Verde,1998,2129.66
Cape Verde,1999,5210.016
Cape Verde,2000,7963.668
Cape Verde,2001,12171.924
Cape Verde,2002,16069.9
Cape Verde,2003,20078.377
Cape Verde,2004,25099.581
Cape Verde,2005,29197.711
Cape Verde,2006,32771.92
Cape Verde,2007,40148.179
Cape Verde,2008,67851.14
Cape Verde,2009,101999.94
Cape Verde,2010,146280.3
Cape Verde,2011,147166.8
Cape Verde,2012,158208.32
Cape Verde,2013,173117.259
Cayman Islands,1995,1235.208
Cayman Islands,2005,18476.74
Cayman Islands,2006,22261.57
Cayman Islands,2007,26765.44
Cayman Islands,2008,32276.32
Cayman Islands,2009,35007.375
Cayman Islands,2010,36635.94
Cayman Islands,2011,37356.66
Cayman Islands,2012,40011.15
Cayman Islands,2013,43300.335
Central African Republic,2000,3638.316
Central African Republic,2001,3704.045
Central African Republic,2002,3767.248
Central African Republic,2003,7659.272
Central African Republic,2004,7787.19
Central African Republic,2005,11882.691
Central African Republic,2006,12096.306
Central African Republic,2007,16427.588
Central African Republic,2008,41851.06
Central African Republic,2009,76792.446
Central African Republic,2010,86998.42
Central African Republic,2011,88724.34
Central African Republic,2012,99554.598
Central African Republic,2013,138492.51
Chad,2002,17919.928
Chad,2003,27933.702
Chad,2004,38660.096
Chad,2005,40057.652
Chad,2006,62140.932
Chad,2007,85554.928
Chad,2008,132367.536
Chad,2009,170569.875
Chad,2010,199253.277
Chad,2011,205360.629
Chad,2012,236515.325
Chad,2013,269331.594
Chile,1993,13958.378
Chile,1994,14204.726
Chile,1995,43320.309
Chile,1996,102636.261
Chile,1997,163597.038
Chile,1998,256230.953
Chile,1999,625886.976
Chile,2000,2565430.732
Chile,2001,2987104.199
Chile,2002,3496114.362
Chile,2003,4078892.79
Chile,2004,4559443.962
Chile,2005,5097377.688
Chile,2006,5694062.85
Chile,2007,5984132.228
Chile,2008,6278031.632
Chile,2009,7068559.264
Chile,2010,7717842
Chile,2011,7788802.05
Chile,2012,9116632.908
Chile,2013,10818500.71
China,1998,2483870
China,1999,8769145
China,2000,22727610
China,2001,33068100
China,2002,58898400
China,2003,79880800
China,2004,94613475
China,2005,110816200
China,2006,137657100
China,2007,210861600
China,2008,299372030
China,2009,384734140
China,2010,458832815
China,2011,461036590
China,2012,517316185
China,2013,574171740
Colombia,1995,73147.79
Colombia,1996,111708.372
Colombia,1997,227408.148
Colombia,1998,424248.616
Colombia,1999,666979.955
Colombia,2000,877755.648
Colombia,2001,1176200.792
Colombia,2002,1895949.984
Colombia,2003,3098531.774
Colombia,2004,3870013.693
Colombia,2005,4750242.86
Colombia,2006,6707729.61
Colombia,2007,9700649.02
Colombia,2008,11559177.47
Colombia,2009,13740768.3
Colombia,2010,16952351.27
Colombia,2011,17183759.08
Colombia,2012,19272588.51
Colombia,2013,23677488.45
Comoros,1999,515.028
Comoros,2000,1584.936
Comoros,2001,2167.904
Comoros,2002,3336.168
Comoros,2003,4563.928
Comoros,2004,7610.057
Comoros,2005,12014.66
Comoros,2006,13563.572
Comoros,2007,15818.4
Comoros,2008,19478.73
Comoros,2009,23313.395
Comoros,2010,34837.131
Comoros,2011,35711.016
Comoros,2012,39462.665
Comoros,2013,44095.02
Costa Rica,1993,3312.307
Costa Rica,1994,10180.725
Costa Rica,1995,13912.788
Costa Rica,1996,28532.84
Costa Rica,1997,58528.32
Costa Rica,1998,101265.795
Costa Rica,1999,149827.626
Costa Rica,2000,227916.104
Costa Rica,2001,385294.848
Costa Rica,2002,814674.16
Costa Rica,2003,846742.435
Costa Rica,2004,883237.888
Costa Rica,2005,954748.73
Costa Rica,2006,1102515.743
Costa Rica,2007,1267556.184
Costa Rica,2008,1464065.653
Costa Rica,2009,1578288.432
Costa Rica,2010,1704435.025
Costa Rica,2011,1729253.2
Costa Rica,2012,1883675.64
Costa Rica,2013,2314278.85
Cote d'Ivoire,1998,15436.47
Cote d'Ivoire,1999,15802.248
Cote d'Ivoire,2000,32262.664
Cote d'Ivoire,2001,65680.692
Cote d'Ivoire,2002,83374.935
Cote d'Ivoire,2003,135278.408
Cote d'Ivoire,2004,137154.6
Cote d'Ivoire,2005,173939.94
Cote d'Ivoire,2006,264936.255
Cote d'Ivoire,2007,323083.098
Cote d'Ivoire,2008,346940.836
Cote d'Ivoire,2009,372026.84
Cote d'Ivoire,2010,398508.348
Cote d'Ivoire,2011,407189.034
Cote d'Ivoire,2012,436474.5
Cote d'Ivoire,2013,487586.064
Croatia,1993,4640
Croatia,1994,13950
Croatia,1995,23345
Croatia,1996,40446
Croatia,1997,77724
Croatia,1998,148533
Croatia,1999,200376
Croatia,2000,292116
Croatia,2001,515040
Croatia,2002,790320
Croatia,2003,1012320
Croatia,2004,1371651
Croatia,2005,1470302
Croatia,2006,1687200
Croatia,2007,1836504
Croatia,2008,1960052.536
Croatia,2009,2241113.468
Croatia,2010,2500464.046
Croatia,2011,2422832.052
Croatia,2012,2466648.524
Croatia,2013,2634278.3
Cuba,1997,11024.249
Cuba,1998,22127.834
Cuba,1999,33304.74
Cuba,2000,55692.08
Cuba,2001,122930.115
Cuba,2002,426060.75
Cuba,2003,584788.152
Cuba,2004,946962.492
Cuba,2005,1095331.566
Cuba,2006,1265723.2
Cuba,2007,1322295.858
Cuba,2008,1457229.795
Cuba,2009,1614302.118
Cuba,2010,1793801.112
Cuba,2011,1792892.427
Cuba,2012,1803353.12
Cuba,2013,2884001.024
Cyprus,1993,818.814
Cyprus,1994,837.166
Cyprus,1995,3421.556
Cyprus,1996,6112.722
Cyprus,1997,39192.252
Cyprus,1998,80815.56
Cyprus,1999,104580.483
Cyprus,2000,144322.911
Cyprus,2001,180758.428
Cyprus,2002,277305.191
Cyprus,2003,300440.742
Cyprus,2004,343347.16
Cyprus,2005,338688.208
Cyprus,2006,375296.412
Cyprus,2007,433742.76
Cyprus,2008,455608.647
Cyprus,2009,543095.394
Cyprus,2010,584953.05
Cyprus,2011,591751.89
Cyprus,2012,642397.586
Cyprus,2013,692687.762
Czech Republic,1995,154908.795
Czech Republic,1996,195989.579
Czech Republic,1997,298819.799
Czech Republic,1998,401480.547
Czech Republic,1999,699302.48
Czech Republic,2000,1004996.174
Czech Republic,2001,1501840.935
Czech Republic,2002,2437062.924
Czech Republic,2003,3496541.314
Czech Republic,2004,3619970.855
Czech Republic,2005,3604559.248
Czech Republic,2006,4904435.495
Czech Republic,2007,5345091.732
Czech Republic,2008,6542299.89
Czech Republic,2009,6725894.784
Czech Republic,2010,7206394.08
Czech Republic,2011,7221308.544
Czech Republic,2012,7410103.425
Czech Republic,2013,7717475.648
Denmark,1990,5140.939
Denmark,1991,10308.596
Denmark,1993,31131.768
Denmark,1994,67680.34
Denmark,1995,198868.174
Denmark,1996,299995.218
Denmark,1997,602488.974
Denmark,1998,1204057.713
Denmark,1999,1628470.494
Denmark,2000,2093129.472
Denmark,2001,2304276.69
Denmark,2002,3456723.633
Denmark,2003,4113007.962
Denmark,2004,4372259.107
Denmark,2005,4481870.264
Denmark,2006,4714114.824
Denmark,2007,4642222.3
Denmark,2008,4669577.85
Denmark,2009,4794046.46
Denmark,2010,4920794.821
Denmark,2011,4941097.364
Denmark,2012,5021231.656
Denmark,2013,5182582.236
Djibouti,1997,687.897
Djibouti,1998,699.922
Djibouti,1999,711.652
Djibouti,2000,1445.774
Djibouti,2001,2201.196
Djibouti,2002,3722.17
Djibouti,2003,4530.51
Djibouti,2004,6126.208
Djibouti,2005,7765.85
Djibouti,2006,10238.072
Djibouti,2007,12779.04
Djibouti,2008,18632.3
Djibouti,2009,32874.6
Djibouti,2010,54212.34
Djibouti,2011,55031.99
Djibouti,2012,60175.64
Djibouti,2013,72453.356
Dominica,1995,356.835
Dominica,1996,853.752
Dominica,1998,2038.555
Dominica,1999,2027.158
Dominica,2000,6131.752
Dominica,2001,9195.12
Dominica,2002,12844.304
Dominica,2003,16533.688
Dominica,2004,21308.475
Dominica,2005,27158.67
Dominica,2006,27851.86
Dominica,2007,28530.385
Dominica,2008,29203.796
Dominica,2009,29818.32
Dominica,2010,33804.325
Dominica,2011,33915.475
Dominica,2012,36773.892
Dominica,2013,39745.656
Dominican Republic,1996,8118.57
Dominican Republic,1997,8256.496
Dominican Republic,1998,16785.068
Dominican Republic,1999,93806.691
Dominican Republic,2000,320546.577
Dominican Republic,2001,387169.112
Dominican Republic,2002,607597.748
Dominican Republic,2003,716634.122
Dominican Republic,2004,819457.621
Dominican Republic,2005,1074486.63
Dominican Republic,2006,1402931.812
Dominican Republic,2007,1701857.655
Dominican Republic,2008,2028040.56
Dominican Republic,2009,2737941.405
Dominican Republic,2010,3145274.258
Dominican Republic,2011,3186345.772
Dominican Republic,2012,3905115.98
Dominican Republic,2013,4286349.532
Ecuador,1996,11557.151
Ecuador,1997,11799.289
Ecuador,1998,12042.454
Ecuador,1999,98295.96
Ecuador,2000,187996.305
Ecuador,2001,345083.463
Ecuador,2002,560291.763
Ecuador,2003,597591.27
Ecuador,2004,649396.368
Ecuador,2005,826627.86
Ecuador,2006,1009692.216
Ecuador,2007,1540986.876
Ecuador,2008,2728331.576
Ecuador,2009,3630080.304
Ecuador,2010,4350310.88
Ecuador,2011,4421479.49
Ecuador,2012,4864570.896
Ecuador,2013,5523995.178
Egypt,1996,62123.592
Egypt,1997,63094.069
Egypt,1998,64084.443
Egypt,1999,195293.331
Egypt,2000,396819.54
Egypt,2001,537633.512
Egypt,2002,1844178.678
Egypt,2003,2777299.08
Egypt,2004,8400363.272
Egypt,2005,9187542.784
Egypt,2006,9999733.298
Egypt,2007,11876732.32
Egypt,2008,13588545.96
Egypt,2009,19731180.91
Egypt,2010,24515771.37
Egypt,2011,24929234.32
Egypt,2012,32127305.85
Egypt,2013,36104806.32
El Salvador,1996,5806.75
El Salvador,1997,17565.678
El Salvador,1998,23580.072
El Salvador,1999,47430.472
El Salvador,2000,71505.528
El Salvador,2001,89779.485
El Salvador,2002,114157.852
El Salvador,2003,150734.15
El Salvador,2004,193609.504
El Salvador,2005,255046.596
El Salvador,2006,335318.06
El Salvador,2007,373500.072
El Salvador,2008,621329.376
El Salvador,2009,748201.564
El Salvador,2010,988693.005
El Salvador,2011,994742.478
El Salvador,2012,1190207.466
El Salvador,2013,1287112.162
Equatorial Guinea,1998,486.542
Equatorial Guinea,1999,502.169
Equatorial Guinea,2000,518.179
Equatorial Guinea,2001,1069.184
Equatorial Guinea,2002,1654.197
Equatorial Guinea,2003,2842.76
Equatorial Guinea,2004,4687.864
Equatorial Guinea,2005,6640.128
Equatorial Guinea,2006,8079.721
Equatorial Guinea,2007,10233.888
Equatorial Guinea,2008,11844.45
Equatorial Guinea,2009,14213.871
Equatorial Guinea,2010,41770.02
Equatorial Guinea,2011,42959.76
Equatorial Guinea,2012,84674.04
Equatorial Guinea,2013,105224.946
Eritrea,2000,3939.348
Eritrea,2001,8203.218
Eritrea,2002,8563.152
Eritrea,2007,20839.384
Eritrea,2008,26910.815
Eritrea,2009,27789.445
Eritrea,2010,34446.954
Eritrea,2011,35597.112
Eritrea,2012,42916.454
Eritrea,2013,50665.08
Estonia,1993,4482.384
Estonia,1994,17550.168
Estonia,1995,40225.752
Estonia,1996,49545.79
Estonia,1997,79773.495
Estonia,1998,149704.848
Estonia,1999,200189.9
Estonia,2000,399537.71
Estonia,2001,437256.225
Estonia,2002,572430.25
Estonia,2003,620936.16
Estonia,2004,724876.6
Estonia,2005,833186.625
Estonia,2006,855224.35
Estonia,2007,887530.16
Estonia,2008,943985.54
Estonia,2009,967523.375
Estonia,2010,986622.975
Estonia,2011,983632.299
Estonia,2012,1011862.44
Estonia,2013,1033309.648
Ethiopia,2002,69948.344
Ethiopia,2003,71989.666
Ethiopia,2004,148132.294
Ethiopia,2005,152334.48
Ethiopia,2006,234871.947
Ethiopia,2007,321762.832
Ethiopia,2008,413105.95
Ethiopia,2009,424190.16
Ethiopia,2010,696762.248
Ethiopia,2011,715144.504
Ethiopia,2012,1009017.339
Ethiopia,2013,1411511.34
Faeroe Islands,1996,1013.334
Faeroe Islands,1997,2042.998
Faeroe Islands,1998,5090.65
Faeroe Islands,1999,10210.724
Faeroe Islands,2000,15295.539
Faeroe Islands,2001,20362.32
Faeroe Islands,2002,25451.283
Faeroe Islands,2003,28453.412
Faeroe Islands,2004,32440.03
Faeroe Islands,2005,33377.603
Faeroe Islands,2006,34293.316
Faeroe Islands,2007,37661.04
Faeroe Islands,2008,37498.356
Faeroe Islands,2009,37299.2
