Entity,Year,Human Development Index (without GDP metric)
Austria,1938,0.30
Austria,1950,0.35
Austria,1955,0.36
Austria,1960,0.38
Austria,1965,0.39
Austria,1970,0.44
Austria,1975,0.45
Austria,1980,0.46
Austria,1985,0.47
Austria,1990,0.50
Austria,1995,0.56
Austria,2000,0.61
Austria,2005,0.64
Austria,2007,0.65
Austria,2010,0.68
Austria,2015,0.75
Azerbaijan,1990,0.39
Azerbaijan,1995,0.38
Azerbaijan,2000,0.38
Azerbaijan,2005,0.41
Azerbaijan,2007,0.43
Azerbaijan,2010,0.43
Azerbaijan,2015,0.43
Bahamas,1950,0.23
Bahamas,1955,0.24
Bahamas,1960,0.27
Bahamas,1965,0.30
Bahamas,1970,0.32
Bahamas,1975,0.33
Bahamas,1980,0.37
Bahamas,1985,0.37
Bahamas,1990,0.39
Bahamas,1995,0.38
Bahamas,2000,0.38
Bahamas,2005,0.42
Bahamas,2007,0.42
Bahamas,2010,0.48
Bahamas,2015,0.49
Bahrain,1950,0.09
Bahrain,1955,0.12
Bahrain,1960,0.17
Bahrain,1965,0.21
Bahrain,1970,0.21
Bahrain,1975,0.24
Bahrain,1980,0.27
Bahrain,1985,0.31
Bahrain,1990,0.37
Bahrain,1995,0.40
Bahrain,2000,0.42
Bahrain,2005,0.46
Bahrain,2007,0.49
Bahrain,2010,0.52
Bahrain,2015,0.54
Bangladesh,1950,0.05
Bangladesh,1955,0.06
Bangladesh,1960,0.06
Bangladesh,1965,0.07
Bangladesh,1970,0.08
Bangladesh,1975,0.10
Bangladesh,1980,0.11
Bangladesh,1985,0.11
Bangladesh,1990,0.13
Bangladesh,1995,0.14
Bangladesh,2000,0.18
Bangladesh,2005,0.20
Bangladesh,2007,0.22
Bangladesh,2010,0.24
Bangladesh,2015,0.28
Barbados,1950,0.24
Barbados,1955,0.29
Barbados,1960,0.34
Barbados,1965,0.37
Barbados,1970,0.39
Barbados,1975,0.41
Barbados,1980,0.43
Barbados,1985,0.47
Barbados,1990,0.49
Barbados,1995,0.50
Barbados,2000,0.56
Barbados,2005,0.57
Barbados,2007,0.64
Barbados,2010,0.68
Barbados,2015,0.62
Belarus,1980,0.45
Belarus,1985,0.45
Belarus,1990,0.44
Belarus,1995,0.52
Belarus,2000,0.57
Belarus,2005,0.58
Belarus,2007,0.51
Belarus,2010,0.52
Belarus,2015,0.61
Belgium,1870,0.12
Belgium,1880,0.13
Belgium,1890,0.14
Belgium,1900,0.17
Belgium,1913,0.19
Belgium,1925,0.22
Belgium,1929,0.24
Belgium,1933,0.26
Belgium,1938,0.28
Belgium,1950,0.30
Belgium,1955,0.34
Belgium,1960,0.40
Belgium,1965,0.40
Belgium,1970,0.47
Belgium,1975,0.48
Belgium,1980,0.48
Belgium,1985,0.51
Belgium,1990,0.54
Belgium,1995,0.54
Belgium,2000,0.56
Belgium,2005,0.75
Belgium,2007,0.68
Belgium,2010,0.74
Belgium,2015,0.82
Belize,1950,0.21
Belize,1955,0.21
Belize,1960,0.22
Belize,1965,0.23
Belize,1970,0.24
Belize,1975,0.26
Belize,1980,0.33
Belize,1985,0.34
Belize,1990,0.37
Belize,1995,0.40
Belize,2000,0.41
Belize,2005,0.45
Belize,2007,0.39
Belize,2010,0.42
Belize,2015,0.35
Benin,1870,0.01
Benin,1880,0.01
Benin,1890,0.01
Benin,1900,0.01
Benin,1913,0.01
Benin,1925,0.01
Benin,1929,0.01
Benin,1933,0.02
Benin,1938,0.02
Benin,1950,0.02
Benin,1955,0.03
Benin,1960,0.04
Benin,1965,0.05
Benin,1970,0.06
Benin,1975,0.07
Benin,1980,0.09
Benin,1985,0.10
Benin,1990,0.11
Benin,1995,0.13
Benin,2000,0.15
Benin,2005,0.18
Benin,2007,0.16
Benin,2010,0.19
Benin,2015,0.19
Bolivia,1870,0.01
Bolivia,1880,0.02
Bolivia,1890,0.02
Bolivia,1900,0.02
Bolivia,1913,0.03
Bolivia,1925,0.04
Bolivia,1929,0.05
Bolivia,1933,0.05
Bolivia,1938,0.06
Bolivia,1950,0.08
Bolivia,1955,0.08
Bolivia,1960,0.09
Bolivia,1965,0.12
Bolivia,1970,0.14
Bolivia,1975,0.15
Bolivia,1980,0.19
Bolivia,1985,0.22
Bolivia,1990,0.24
Bolivia,1995,0.27
Bolivia,2000,0.31
Bolivia,2005,0.35
Bolivia,2007,0.36
Bolivia,2010,0.37
Bolivia,2015,0.42
Botswana,1870,0.01
Botswana,1880,0.01
Botswana,1890,0.01
Botswana,1900,0.02
Botswana,1913,0.02
Botswana,1925,0.03
Botswana,1929,0.03
Botswana,1933,0.03
Botswana,1938,0.04
Botswana,1950,0.07
Botswana,1955,0.08
Botswana,1960,0.09
Botswana,1965,0.12
Botswana,1970,0.13
Botswana,1975,0.15
Botswana,1980,0.19
Botswana,1985,0.22
Botswana,1990,0.24
Botswana,1995,0.24
Botswana,2000,0.21
Botswana,2005,0.22
Botswana,2007,0.24
Botswana,2010,0.26
Botswana,2015,0.31
Brazil,1870,0.02
Brazil,1880,0.02
Brazil,1890,0.03
Brazil,1900,0.04
Brazil,1913,0.04
Brazil,1925,0.05
Brazil,1929,0.06
Brazil,1933,0.06
Brazil,1938,0.07
Brazil,1950,0.12
Brazil,1955,0.14
Brazil,1960,0.15
Brazil,1965,0.18
Brazil,1970,0.19
Brazil,1975,0.23
Brazil,1980,0.25
Brazil,1985,0.27
Brazil,1990,0.30
Brazil,1995,0.34
Brazil,2000,0.41
Brazil,2005,0.42
Brazil,2007,0.42
Brazil,2010,0.43
Brazil,2015,0.48
Brunei,1990,0.37
Brunei,1995,0.40
Brunei,2000,0.43
Brunei,2005,0.46
Brunei,2007,0.49
Brunei,2010,0.50
Brunei,2015,0.54
Bulgaria,1870,0.05
Bulgaria,1880,0.05
Bulgaria,1890,0.06
Bulgaria,1900,0.08
Bulgaria,1913,0.10
Bulgaria,1925,0.13
Bulgaria,1929,0.14
Bulgaria,1933,0.16
Bulgaria,1938,0.19
Bulgaria,1950,0.25
Bulgaria,1955,0.28
Bulgaria,1960,0.32
Bulgaria,1965,0.36
Bulgaria,1970,0.37
Bulgaria,1975,0.38
Bulgaria,1980,0.39
Bulgaria,1985,0.41
Bulgaria,1990,0.43
Bulgaria,1995,0.43
Bulgaria,2000,0.45
Bulgaria,2005,0.47
Bulgaria,2007,0.47
Bulgaria,2010,0.48
Bulgaria,2015,0.52
Burkina Faso,1870,0.01
Burkina Faso,1880,0.01
Burkina Faso,1890,0.01
Burkina Faso,1900,0.01
Burkina Faso,1913,0.01
Burkina Faso,1925,0.01
Burkina Faso,1929,0.01
Burkina Faso,1933,0.01
Burkina Faso,1938,0.01
Burkina Faso,1950,0.02
Burkina Faso,1955,0.02
Burkina Faso,1960,0.03
Burkina Faso,1965,0.03
Burkina Faso,1970,0.04
Burkina Faso,1975,0.04
Burkina Faso,1980,0.05
Burkina Faso,1985,0.06
Burkina Faso,1990,0.07
Burkina Faso,1995,0.08
Burkina Faso,2000,0.09
Burkina Faso,2005,0.10
Burkina Faso,2007,0.12
Burkina Faso,2010,0.13
Burkina Faso,2015,0.16
Burundi,1870,0.01
Burundi,1880,0.01
Burundi,1890,0.01
Burundi,1900,0.01
Burundi,1913,0.01
Burundi,1925,0.01
Burundi,1929,0.01
Burundi,1933,0.02
Burundi,1938,0.02
Burundi,1950,0.03
Burundi,1955,0.04
Burundi,1960,0.05
Burundi,1965,0.05
Burundi,1970,0.07
Burundi,1975,0.07
Burundi,1980,0.07
Burundi,1985,0.09
Burundi,1990,0.10
Burundi,1995,0.11
Burundi,2000,0.13
Burundi,2005,0.13
Burundi,2007,0.19
Burundi,2010,0.20
Burundi,2015,0.24
Cambodia,1870,0.01
Cambodia,1880,0.01
Cambodia,1890,0.01
Cambodia,1900,0.01
Cambodia,1913,0.01
Cambodia,1925,0.01
Cambodia,1929,0.02
Cambodia,1933,0.03
Cambodia,1938,0.03
Cambodia,1950,0.05
Cambodia,1955,0.08
Cambodia,1960,0.09
Cambodia,1965,0.11
Cambodia,1970,0.09
Cambodia,1975,0.07
Cambodia,1980,0.12
Cambodia,1985,0.19
Cambodia,1990,0.18
Cambodia,1995,0.19
Cambodia,2000,0.20
Cambodia,2005,0.23
Cambodia,2007,0.25
Cambodia,2010,0.25
Cambodia,2015,0.30
Cameroon,1870,0.01
Cameroon,1880,0.01
Cameroon,1890,0.01
Cameroon,1900,0.01
Cameroon,1913,0.01
Cameroon,1925,0.01
Cameroon,1929,0.02
Cameroon,1933,0.02
Cameroon,1938,0.03
Cameroon,1950,0.04
Cameroon,1955,0.04
Cameroon,1960,0.05
Cameroon,1965,0.06
Cameroon,1970,0.10
Cameroon,1975,0.12
Cameroon,1980,0.14
Cameroon,1985,0.16
Cameroon,1990,0.18
Cameroon,1995,0.18
Cameroon,2000,0.17
Cameroon,2005,0.18
Cameroon,2007,0.18
Cameroon,2010,0.18
Cameroon,2015,0.23
Canada,1870,0.14
Canada,1880,0.16
Canada,1890,0.18
Canada,1900,0.19
Canada,1913,0.23
Canada,1925,0.29
Canada,1929,0.31
Canada,1933,0.30
Canada,1938,0.33
Canada,1950,0.38
Canada,1955,0.42
Canada,1960,0.45
Canada,1965,0.50
Canada,1970,0.51
Canada,1975,0.51
Canada,1980,0.52
Canada,1985,0.59
Canada,1990,0.64
Canada,1995,0.74
Canada,2000,0.69
Canada,2005,0.79
Canada,2007,0.80
Canada,2010,0.82
Canada,2015,0.87
Cape Verde,1950,0.07
Cape Verde,1955,0.08
Cape Verde,1960,0.10
Cape Verde,1965,0.12
Cape Verde,1970,0.15
Cape Verde,1975,0.18
Cape Verde,1980,0.19
Cape Verde,1985,0.21
Cape Verde,1990,0.24
Cape Verde,1995,0.29
Cape Verde,2000,0.31
Cape Verde,2005,0.33
Cape Verde,2007,0.35
Cape Verde,2010,0.36
Cape Verde,2015,0.40
Central African Republic,1870,0.01
Central African Republic,1880,0.01
Central African Republic,1890,0.01
Central African Republic,1900,0.01
Central African Republic,1913,0.01
Central African Republic,1925,0.01
Central African Republic,1929,0.01
Central African Republic,1933,0.01
Central African Republic,1938,0.01
Central African Republic,1950,0.02
Central African Republic,1955,0.03
Central African Republic,1960,0.05
Central African Republic,1965,0.07
Central African Republic,1970,0.07
Central African Republic,1975,0.08
Central African Republic,1980,0.10
Central African Republic,1985,0.11
Central African Republic,1990,0.11
Central African Republic,1995,0.11
Central African Republic,2000,0.12
Central African Republic,2005,0.12
Central African Republic,2007,0.12
Central African Republic,2010,0.12
Central African Republic,2015,0.13
Chad,1870,0.01
Chad,1880,0.01
Chad,1890,0.01
Chad,1900,0.01
Chad,1913,0.01
Chad,1925,0.01
Chad,1929,0.01
Chad,1933,0.01
Chad,1938,0.01
Chad,1950,0.01
Chad,1955,0.02
Chad,1960,0.03
Chad,1965,0.04
Chad,1970,0.05
Chad,1975,0.05
Chad,1980,0.07
Chad,1985,0.08
Chad,1990,0.10
Chad,1995,0.11
Chad,2000,0.10
Chad,2005,0.11
Chad,2007,0.12
Chad,2010,0.13
Chad,2015,0.14
Chile,1870,0.03
Chile,1880,0.03
Chile,1890,0.04
Chile,1900,0.05
Chile,1913,0.07
Chile,1925,0.10
Chile,1929,0.10
Chile,1933,0.11
Chile,1938,0.12
Chile,1950,0.19
Chile,1955,0.21
Chile,1960,0.23
Chile,1965,0.26
Chile,1970,0.29
Chile,1975,0.33
Chile,1980,0.35
Chile,1985,0.38
Chile,1990,0.41
Chile,1995,0.45
Chile,2000,0.49
Chile,2005,0.55
Chile,2007,0.60
Chile,2010,0.59
Chile,2015,0.70
China,1870,0.01
China,1880,0.01
China,1890,0.02
China,1900,0.02
China,1913,0.02
China,1925,0.02
China,1929,0.04
China,1933,0.04
China,1938,0.05
China,1950,0.09
China,1955,0.12
China,1960,0.11
China,1965,0.19
China,1970,0.21
China,1975,0.25
China,1980,0.26
China,1985,0.25
China,1990,0.27
China,1995,0.29
China,2000,0.34
China,2005,0.36
China,2007,0.39
China,2010,0.40
China,2015,0.47
Colombia,1870,0.03
Colombia,1880,0.03
Colombia,1890,0.03
Colombia,1900,0.04
Colombia,1913,0.05
Colombia,1925,0.06
Colombia,1929,0.07
Colombia,1933,0.07
Colombia,1938,0.08
Colombia,1950,0.12
Colombia,1955,0.15
Colombia,1960,0.17
Colombia,1965,0.19
Colombia,1970,0.23
Colombia,1975,0.25
Colombia,1980,0.28
Colombia,1985,0.29
Colombia,1990,0.31
Colombia,1995,0.33
Colombia,2000,0.37
Colombia,2005,0.41
Colombia,2007,0.43
Colombia,2010,0.46
Colombia,2015,0.49
Comoros,1980,0.15
Comoros,1985,0.16
Comoros,1990,0.16
Comoros,1995,0.19
Comoros,2000,0.22
Comoros,2005,0.22
Comoros,2007,0.24
Comoros,2010,0.27
Comoros,2015,0.27
Congo,1870,0.01
Congo,1880,0.01
Congo,1890,0.01
Congo,1900,0.01
Congo,1913,0.01
Congo,1925,0.01
Congo,1929,0.01
Congo,1933,0.01
Congo,1938,0.02
Congo,1950,0.04
Congo,1955,0.06
Congo,1960,0.07
Congo,1965,0.08
Congo,1970,0.12
Congo,1975,0.14
Congo,1980,0.22
Congo,1985,0.24
Congo,1990,0.25
Congo,1995,0.23
Congo,2000,0.20
Congo,2005,0.22
Congo,2007,0.21
Congo,2010,0.22
Congo,2015,0.27
Costa Rica,1913,0.07
Costa Rica,1925,0.10
Costa Rica,1929,0.11
Costa Rica,1933,0.12
Costa Rica,1938,0.14
Costa Rica,1950,0.20
Costa Rica,1955,0.22
Costa Rica,1960,0.24
Costa Rica,1965,0.28
Costa Rica,1970,0.31
Costa Rica,1975,0.33
Costa Rica,1980,0.36
Costa Rica,1985,0.38
Costa Rica,1990,0.40
Costa Rica,1995,0.44
Costa Rica,2000,0.45
Costa Rica,2005,0.52
Costa Rica,2007,0.52
Costa Rica,2010,0.57
Costa Rica,2015,0.63
Cote d'Ivoire,1870,0.01
Cote d'Ivoire,1880,0.01
Cote d'Ivoire,1890,0.01
Cote d'Ivoire,1900,0.01
Cote d'Ivoire,1913,0.01
Cote d'Ivoire,1925,0.01
Cote d'Ivoire,1929,0.01
Cote d'Ivoire,1933,0.01
Cote d'Ivoire,1938,0.02
Cote d'Ivoire,1950,0.02
Cote d'Ivoire,1955,0.03
Cote d'Ivoire,1960,0.05
Cote d'Ivoire,1965,0.06
Cote d'Ivoire,1970,0.08
Cote d'Ivoire,1975,0.09
Cote d'Ivoire,1980,0.13
Cote d'Ivoire,1985,0.14
Cote d'Ivoire,1990,0.15
Cote d'Ivoire,1995,0.15
Cote d'Ivoire,2000,0.16
Cote d'Ivoire,2005,0.16
Cote d'Ivoire,2007,0.16
Cote d'Ivoire,2010,0.18
Cote d'Ivoire,2015,0.15
Croatia,1980,0.38
Croatia,1985,0.40
Croatia,1990,0.40
Croatia,1995,0.43
Croatia,2000,0.46
Croatia,2005,0.50
Croatia,2007,0.53
Croatia,2010,0.55
Croatia,2015,0.59
Cuba,1870,0.04
Cuba,1880,0.04
Cuba,1890,0.06
Cuba,1900,0.07
Cuba,1913,0.09
Cuba,1925,0.11
Cuba,1929,0.12
Cuba,1933,0.12
Cuba,1938,0.13
Cuba,1950,0.19
Cuba,1955,0.21
Cuba,1960,0.25
Cuba,1965,0.29
Cuba,1970,0.33
Cuba,1975,0.35
Cuba,1980,0.41
Cuba,1985,0.42
Cuba,1990,0.42
Cuba,1995,0.43
Cuba,2000,0.47
Cuba,2005,0.53
Cuba,2007,0.70
Cuba,2010,0.75
Cuba,2015,0.61
Cyprus,1913,0.08
Cyprus,1925,0.12
Cyprus,1929,0.14
Cyprus,1933,0.15
Cyprus,1938,0.17
Cyprus,1950,0.22
Cyprus,1955,0.26
Cyprus,1960,0.30
Cyprus,1965,0.30
Cyprus,1970,0.31
Cyprus,1975,0.33
Cyprus,1980,0.35
Cyprus,1985,0.36
Cyprus,1990,0.39
Cyprus,1995,0.46
Cyprus,2000,0.51
Cyprus,2005,0.55
Cyprus,2007,0.57
Cyprus,2010,0.59
Cyprus,2015,0.62
Czech Republic,1870,0.09
Czech Republic,1880,0.10
Czech Republic,1890,0.12
Czech Republic,1900,0.15
Czech Republic,1913,0.18
Czech Republic,1925,0.20
Czech Republic,1929,0.22
Czech Republic,1933,0.25
Czech Republic,1938,0.27
Czech Republic,1950,0.32
Czech Republic,1955,0.37
Czech Republic,1960,0.40
Czech Republic,1965,0.41
Czech Republic,1970,0.41
Czech Republic,1975,0.42
Czech Republic,1980,0.44
Czech Republic,1985,0.46
Czech Republic,1990,0.46
Czech Republic,1995,0.46
Czech Republic,2000,0.46
Czech Republic,2005,0.53
Czech Republic,2007,0.55
Czech Republic,2010,0.57
Czech Republic,2015,0.63
Democratic Republic of Congo,1870,0.01
Democratic Republic of Congo,1880,0.01
Democratic Republic of Congo,1890,0.01
Democratic Republic of Congo,1900,0.01
Democratic Republic of Congo,1913,0.01
Democratic Republic of Congo,1925,0.01
Democratic Republic of Congo,1929,0.01
Democratic Republic of Congo,1933,0.02
Democratic Republic of Congo,1938,0.03
Democratic Republic of Congo,1950,0.04
Democratic Republic of Congo,1955,0.06
Democratic Republic of Congo,1960,0.07
Democratic Republic of Congo,1965,0.08
Democratic Republic of Congo,1970,0.10
Democratic Republic of Congo,1975,0.11
Democratic Republic of Congo,1980,0.12
Democratic Republic of Congo,1985,0.13
Democratic Republic of Congo,1990,0.13
Democratic Republic of Congo,1995,0.13
Democratic Republic of Congo,2000,0.12
Democratic Republic of Congo,2005,0.14
Democratic Republic of Congo,2007,0.16
Democratic Republic of Congo,2010,0.17
Democratic Republic of Congo,2015,0.23
Denmark,1870,0.17
Denmark,1880,0.17
Denmark,1890,0.20
Denmark,1900,0.23
Denmark,1913,0.25
Denmark,1925,0.28
Denmark,1929,0.29
Denmark,1933,0.30
Denmark,1938,0.31
Denmark,1950,0.36
Denmark,1955,0.39
Denmark,1960,0.40
Denmark,1965,0.40
Denmark,1970,0.46
Denmark,1975,0.47
Denmark,1980,0.50
Denmark,1985,0.51
Denmark,1990,0.52
Denmark,1995,0.54
Denmark,2000,0.61
Denmark,2005,0.73
Denmark,2007,0.74
Denmark,2010,0.75
Denmark,2015,0.80
Djibouti,1950,0.03
Djibouti,1955,0.04
Djibouti,1960,0.05
Djibouti,1965,0.05
Djibouti,1970,0.06
Djibouti,1975,0.07
Djibouti,1980,0.09
Djibouti,1985,0.10
Djibouti,1990,0.11
Djibouti,1995,0.12
Djibouti,2000,0.13
Djibouti,2005,0.15
Djibouti,2007,0.16
Djibouti,2010,0.17
Djibouti,2015,0.20
Dominican Republic,1950,0.11
Dominican Republic,1955,0.14
Dominican Republic,1960,0.17
Dominican Republic,1965,0.18
Dominican Republic,1970,0.21
Dominican Republic,1975,0.22
Dominican Republic,1980,0.26
Dominican Republic,1985,0.29
Dominican Republic,1990,0.31
Dominican Republic,1995,0.31
Dominican Republic,2000,0.35
Dominican Republic,2005,0.37
Dominican Republic,2007,0.38
Dominican Republic,2010,0.39
Dominican Republic,2015,0.42
Ecuador,1870,0.02
Ecuador,1880,0.02
Ecuador,1890,0.02
Ecuador,1900,0.03
Ecuador,1913,0.03
Ecuador,1925,0.05
Ecuador,1929,0.05
Ecuador,1933,0.06
Ecuador,1938,0.07
Ecuador,1950,0.13
Ecuador,1955,0.15
Ecuador,1960,0.16
Ecuador,1965,0.19
Ecuador,1970,0.21
Ecuador,1975,0.23
Ecuador,1980,0.28
Ecuador,1985,0.32
Ecuador,1990,0.35
Ecuador,1995,0.37
Ecuador,2000,0.40
Ecuador,2005,0.43
Ecuador,2007,0.40
Ecuador,2010,0.46
Ecuador,2015,0.51
Egypt,1870,0.01
Egypt,1880,0.01
Egypt,1890,0.02
Egypt,1900,0.02
Egypt,1913,0.02
Egypt,1925,0.03
Egypt,1929,0.04
Egypt,1933,0.04
Egypt,1938,0.05
Egypt,1950,0.07
Egypt,1955,0.09
Egypt,1960,0.10
Egypt,1965,0.11
Egypt,1970,0.12
Egypt,1975,0.14
Egypt,1980,0.16
Egypt,1985,0.18
Egypt,1990,0.21
Egypt,1995,0.24
Egypt,2000,0.27
Egypt,2005,0.31
Egypt,2007,0.31
Egypt,2010,0.31
Egypt,2015,0.34
El Salvador,1913,0.03
El Salvador,1925,0.04
El Salvador,1929,0.03
El Salvador,1933,0.04
El Salvador,1938,0.06
El Salvador,1950,0.09
El Salvador,1955,0.11
El Salvador,1960,0.13
El Salvador,1965,0.15
El Salvador,1970,0.18
El Salvador,1975,0.19
El Salvador,1980,0.20
El Salvador,1985,0.21
El Salvador,1990,0.26
El Salvador,1995,0.29
El Salvador,2000,0.32
El Salvador,2005,0.35
El Salvador,2007,0.37
El Salvador,2010,0.38
El Salvador,2015,0.40
Equatorial Guinea,1950,0.06
Equatorial Guinea,1955,0.07
Equatorial Guinea,1960,0.08
Equatorial Guinea,1965,0.10
Equatorial Guinea,1970,0.12
Equatorial Guinea,1975,0.12
Equatorial Guinea,1980,0.15
Equatorial Guinea,1985,0.17
Equatorial Guinea,1990,0.19
Equatorial Guinea,1995,0.19
Equatorial Guinea,2000,0.20
Equatorial Guinea,2005,0.21
Equatorial Guinea,2007,0.23
Equatorial Guinea,2010,0.24
Equatorial Guinea,2015,0.28
Eritrea,1950,0.02
Eritrea,1955,0.02
Eritrea,1960,0.03
Eritrea,1965,0.05
Eritrea,1970,0.07
Eritrea,1975,0.08
Eritrea,1980,0.10
Eritrea,1985,0.10
Eritrea,1990,0.11
Eritrea,1995,0.13
Eritrea,2000,0.15
Eritrea,2005,0.17
Eritrea,2007,0.18
Eritrea,2010,0.19
Eritrea,2015,0.21
Estonia,1980,0.47
Estonia,1985,0.47
Estonia,1990,0.44
Estonia,1995,0.43
Estonia,2000,0.48
Estonia,2005,0.54
Estonia,2007,0.55
Estonia,2010,0.56
Estonia,2015,0.66
Ethiopia,1870,0.01
Ethiopia,1880,0.01
Ethiopia,1890,0.01
Ethiopia,1900,0.01
Ethiopia,1913,0.01
Ethiopia,1925,0.01
Ethiopia,1929,0.01
Ethiopia,1933,0.01
Ethiopia,1938,0.01
Ethiopia,1950,0.02
Ethiopia,1955,0.02
Ethiopia,1960,0.02
Ethiopia,1965,0.03
Ethiopia,1970,0.05
Ethiopia,1975,0.05
Ethiopia,1980,0.07
Ethiopia,1985,0.08
Ethiopia,1990,0.09
Ethiopia,1995,0.09
Ethiopia,2000,0.11
Ethiopia,2005,0.14
Ethiopia,2007,0.15
Ethiopia,2010,0.17
Ethiopia,2015,0.21
Finland,1870,0.04
Finland,1880,0.05
Finland,1890,0.06
Finland,1900,0.09
Finland,1913,0.11
Finland,1925,0.17
Finland,1929,0.19
Finland,1933,0.21
Finland,1938,0.24
Finland,1950,0.35
Finland,1955,0.38
Finland,1960,0.39
Finland,1965,0.39
Finland,1970,0.42
Finland,1975,0.44
Finland,1980,0.48
Finland,1985,0.50
Finland,1990,0.53
Finland,1995,0.61
Finland,2000,0.72
Finland,2005,0.75
Finland,2007,0.77
Finland,2010,0.79
Finland,2015,0.82
France,1870,0.12
France,1880,0.14
France,1890,0.17
France,1900,0.18
France,1913,0.20
France,1925,0.21
France,1929,0.24
France,1933,0.26
France,1938,0.28
France,1950,0.32
France,1955,0.37
France,1960,0.41
France,1965,0.41
France,1970,0.45
France,1975,0.46
France,1980,0.48
France,1985,0.50
France,1990,0.54
France,1995,0.60
France,2000,0.65
France,2005,0.68
France,2007,0.72
France,2010,0.75
France,2015,0.79
Gabon,1870,0.01
Gabon,1880,0.01
Gabon,1890,0.01
Gabon,1900,0.01
Gabon,1913,0.01
Gabon,1925,0.01
Gabon,1929,0.01
Gabon,1933,0.01
Gabon,1938,0.01
Gabon,1950,0.04
Gabon,1955,0.05
Gabon,1960,0.07
Gabon,1965,0.10
Gabon,1970,0.12
Gabon,1975,0.14
Gabon,1980,0.18
Gabon,1985,0.23
Gabon,1990,0.25
Gabon,1995,0.28
Gabon,2000,0.26
Gabon,2005,0.27
Gabon,2007,0.31
Gabon,2010,0.30
Gabon,2015,0.32
Gambia,1913,0.01
Gambia,1925,0.01
Gambia,1929,0.01
Gambia,1933,0.01
Gambia,1938,0.02
Gambia,1950,0.02
Gambia,1955,0.03
Gambia,1960,0.03
Gambia,1965,0.04
Gambia,1970,0.04
Gambia,1975,0.05
Gambia,1980,0.08
Gambia,1985,0.10
