Entity,Year,J. Doyne Farmer and François Lafond (2016)
Corn (US),1987,8.42
Corn (US),1988,12.02
Corn (US),1989,8.693384335
Corn (US),1990,8.51
Corn (US),1991,9.06
Corn (US),1992,7.47
Corn (US),1993,10.09
Corn (US),1994,6.985679357
Corn (US),1995,8.634087377
Corn (US),1996,7.695267411
Corn (US),1997,7.692307692
Corn (US),1998,7.352941176
Corn (US),1999,7.407407407
Corn (US),2000,7.246376812
Corn (US),2001,6.944444444
Corn (US),2002,7.462686567
Corn (US),2003,6.711409396
Corn (US),2004,5.917159763
Corn (US),2005,6.711409396
Corn (US),2006,7.246376812
Corn (US),2007,6.993006993
Corn (US),2008,6.944444444
Crude Oil,1946,2.14
Crude Oil,1947,2.64
Crude Oil,1948,3.32
Crude Oil,1949,3.3
Crude Oil,1950,3.23
Crude Oil,1951,3.01
Crude Oil,1952,2.95
Crude Oil,1953,3.08
Crude Oil,1954,3.15
Crude Oil,1955,3.09
Crude Oil,1956,2.99
Crude Oil,1957,3.17
Crude Oil,1958,3.03
Crude Oil,1959,2.9
Crude Oil,1960,2.85
Crude Oil,1961,2.82
Crude Oil,1962,2.79
Crude Oil,1963,2.74
Crude Oil,1964,2.69
Crude Oil,1965,2.63
Crude Oil,1966,2.59
Crude Oil,1967,2.54
Crude Oil,1968,2.47
Cyclohexane,1956,5.995670996
Cyclohexane,1957,5.599169263
Cyclohexane,1958,5.622523462
Cyclohexane,1959,5.395252838
Cyclohexane,1960,5.345603272
Cyclohexane,1961,5.140816327
Cyclohexane,1962,4.60593654
Cyclohexane,1963,4.154554759
Cyclohexane,1964,3.940451745
Cyclohexane,1965,4.137931034
Cyclohexane,1966,4.026785714
Cyclohexane,1967,3.72303207
Cyclohexane,1968,3.221153846
Cyclohexane,1969,3.14797361
Cyclohexane,1970,3.103074141
Cyclohexane,1971,2.81255374
Cyclohexane,1972,2.495812395
DNA Sequencing,2001,121225.5074
DNA Sequencing,2002,76886.3754
DNA Sequencing,2003,49266.05485
DNA Sequencing,2004,22038.84084
DNA Sequencing,2005,15887.27687
DNA Sequencing,2006,11747.28789
DNA Sequencing,2007,7821.621396
DNA Sequencing,2008,367.858221
DNA Sequencing,2009,75.27177405
DNA Sequencing,2010,30.59317788
DNA Sequencing,2011,7.998164802
DNA Sequencing,2012,6.714180065
DNA Sequencing,2013,5.09608
DRAM,1971,49.617952
DRAM,1972,32.9276677
DRAM,1973,25.1259413
DRAM,1974,15.60088634
DRAM,1975,7.299822299
DRAM,1976,3.62459676
DRAM,1977,2.043005538
DRAM,1978,1.239024459
DRAM,1979,0.901530955
DRAM,1980,0.638162733
DRAM,1981,0.270379735
DRAM,1982,0.148350229
DRAM,1983,0.110235974
DRAM,1984,0.087626193
DRAM,1985,0.027144296
DRAM,1986,0.016425558
DRAM,1987,0.015803998
DRAM,1988,0.022024975
DRAM,1989,0.01900752
DRAM,1990,0.008998422
DRAM,1991,0.005673695
DRAM,1992,0.003908046
DRAM,1993,0.003998369
DRAM,1994,0.003901705
DRAM,1995,0.003850863
DRAM,1996,0.001295655
DRAM,1997,0.00051369
DRAM,1998,0.000192708
DRAM,1999,0.000162376
DRAM,2000,0.000123933
DRAM,2001,2.95E-5
DRAM,2002,2.81E-5
DRAM,2003,2.15E-5
DRAM,2004,2.1E-5
DRAM,2005,1.28E-5
DRAM,2006,1.11E-5
DRAM,2007,5.24E-6
Electric Range,1946,275
Electric Range,1947,301
Electric Range,1948,295
Electric Range,1949,288
Electric Range,1950,280
Electric Range,1951,288
Electric Range,1952,282
Electric Range,1953,285
Electric Range,1954,285
Electric Range,1955,282
Electric Range,1956,271
Electric Range,1957,257
Electric Range,1958,259
Electric Range,1959,250
Electric Range,1960,245
Electric Range,1961,240
Electric Range,1962,230
Electric Range,1963,227
Electric Range,1964,200
Electric Range,1965,200
Electric Range,1966,197
Electric Range,1967,190
Ethanol (Brazil),1980,29.27
Ethanol (Brazil),1981,27.37
Ethanol (Brazil),1982,26.25
Ethanol (Brazil),1983,23.65
Ethanol (Brazil),1984,23.26
Ethanol (Brazil),1985,24.25
Ethanol (Brazil),1986,18.44
Ethanol (Brazil),1987,19.44
Ethanol (Brazil),1988,16.9
Ethanol (Brazil),1989,14.18
Ethanol (Brazil),1990,12.89
Ethanol (Brazil),1991,13.12
Ethanol (Brazil),1992,13.6
Ethanol (Brazil),1993,12.22
Ethanol (Brazil),1994,12.2
Ethanol (Brazil),1995,10.95
Ethanol (Brazil),1996,11.88
Ethanol (Brazil),1997,10.35
Ethanol (Brazil),1998,9.46
Ethanol (Brazil),1999,4.98
Ethanol (Brazil),2000,9.61
Ethanol (Brazil),2001,11.26
Ethanol (Brazil),2002,10.06
Ethanol (Brazil),2003,10.63
Ethanol (Brazil),2004,8.4
Ethanolamine,1955,26.65957447
Ethanolamine,1956,25.68831169
Ethanolamine,1957,24.35410177
Ethanolamine,1958,23.63816475
Ethanolamine,1959,22.43240454
Ethanolamine,1960,21.82924335
Ethanolamine,1961,20.99285714
Ethanolamine,1962,21.2272262
Ethanolamine,1963,20.23234391
Ethanolamine,1964,19.03593429
Ethanolamine,1965,18.0851927
Ethanolamine,1966,16.5109127
Ethanolamine,1967,15.17103984
Ethanolamine,1968,13.0625
Ethanolamine,1969,11.64373233
Ethanolamine,1970,10.24954792
Ethanolamine,1971,9.845227859
Ethanolamine,1972,9.793132328
Ethylene,1960,5.110429448
Ethylene,1961,5.1
Ethylene,1962,4.812691914
Ethylene,1963,4.615148414
Ethylene,1964,4.784394251
Ethylene,1965,4.10851927
Ethylene,1966,4.096230159
Ethylene,1967,3.839650146
Ethylene,1968,3.3
Ethylene,1969,3.110273327
Ethylene,1970,2.792947559
Ethylene,1971,2.606190886
Ethylene,1972,2.495812395
Formaldehyde,1962,3.245649949
Formaldehyde,1963,3.090071648
Formaldehyde,1964,2.689938398
Formaldehyde,1965,2.576064909
Formaldehyde,1966,2.677579365
Formaldehyde,1967,2.535471331
Formaldehyde,1968,2.365384615
Formaldehyde,1969,2.176248822
Formaldehyde,1970,2.151898734
Formaldehyde,1971,1.909716251
Formaldehyde,1972,1.617252931
Free Standing Gas Range,1946,106.6
Free Standing Gas Range,1947,116.6
Free Standing Gas Range,1948,119.4
Free Standing Gas Range,1949,114.7
Free Standing Gas Range,1950,117.2
Free Standing Gas Range,1951,117.8
Free Standing Gas Range,1952,112.5
Free Standing Gas Range,1953,115.8
Free Standing Gas Range,1954,105.1
Free Standing Gas Range,1955,106
Free Standing Gas Range,1956,101.2
Free Standing Gas Range,1957,98.6
Free Standing Gas Range,1958,96.4
Free Standing Gas Range,1959,97
Free Standing Gas Range,1960,92.4
Free Standing Gas Range,1961,91.2
Free Standing Gas Range,1962,90.6
Free Standing Gas Range,1963,93.2
Free Standing Gas Range,1964,86.1
Free Standing Gas Range,1965,84.6
Free Standing Gas Range,1966,84.2
Free Standing Gas Range,1967,83.1
Geothermal Electricity,1980,12.375
Geothermal Electricity,1981,11.74342105
Geothermal Electricity,1982,11.11111111
Geothermal Electricity,1983,10.47794118
Geothermal Electricity,1984,9.84375
Geothermal Electricity,1985,9.208333333
Geothermal Electricity,1986,8.571428571
Geothermal Electricity,1987,8.254869668
Geothermal Electricity,1988,7.932692308
Geothermal Electricity,1989,7.325581395
Geothermal Electricity,1990,7.181756297
Geothermal Electricity,1991,6.86277995
Geothermal Electricity,1992,6.428571429
Geothermal Electricity,1993,5.86306914
Geothermal Electricity,1994,5.676521739
Geothermal Electricity,1995,5.5125
Geothermal Electricity,1996,5.436231884
Geothermal Electricity,1997,5.0243309
Geothermal Electricity,1998,4.675324675
Geothermal Electricity,1999,4.426373626
Geothermal Electricity,2000,4.322033898
Geothermal Electricity,2001,4.219653179
Geothermal Electricity,2002,4.117159763
Geothermal Electricity,2003,3.945679012
Geothermal Electricity,2004,3.705263158
Geothermal Electricity,2005,3.61952862
Hard Disk Drive,1988,17.2279084
Hard Disk Drive,1989,13.38268249
Hard Disk Drive,1990,9.50486357
Hard Disk Drive,1991,6.997576581
Hard Disk Drive,1992,3.925980122
Hard Disk Drive,1993,1.870505757
Hard Disk Drive,1994,0.883271817
Hard Disk Drive,1995,0.405048884
Hard Disk Drive,1996,0.216065177
Hard Disk Drive,1997,0.111202621
Hard Disk Drive,1998,0.040066604
Hard Disk Drive,1999,0.018487629
Hard Disk Drive,2000,0.009924938
Hard Disk Drive,2001,0.006980927
Hard Disk Drive,2002,0.001892621
Hard Disk Drive,2003,0.001963277
Hard Disk Drive,2004,0.001094871
Hard Disk Drive,2005,0.0006954
Hard Disk Drive,2006,0.000342648
Hard Disk Drive,2007,0.000307196
HydrofluoricAcid,1962,14.55987718
HydrofluoricAcid,1963,14.24257932
HydrofluoricAcid,1964,13.71252567
HydrofluoricAcid,1965,13.8336714
HydrofluoricAcid,1966,13.23710317
HydrofluoricAcid,1967,13.24198251
HydrofluoricAcid,1968,13.70480769
HydrofluoricAcid,1969,13.7464656
HydrofluoricAcid,1970,14.54520796
HydrofluoricAcid,1971,14.54170249
HydrofluoricAcid,1972,13.31239531
IsopropylAlcohol,1964,6.394250513
IsopropylAlcohol,1965,6.277890467
IsopropylAlcohol,1966,5.929563492
IsopropylAlcohol,1967,5.950437318
IsopropylAlcohol,1968,5.701923077
IsopropylAlcohol,1969,5.533459001
IsopropylAlcohol,1970,5.161844485
IsopropylAlcohol,1971,4.952708512
IsopropylAlcohol,1972,4.663316583
Laser Diode,1982,10000
Laser Diode,1983,3500
Laser Diode,1984,2000
Laser Diode,1985,1500
Laser Diode,1986,1000
Laser Diode,1987,750
Laser Diode,1988,400
Laser Diode,1989,300
Laser Diode,1990,200
Laser Diode,1991,170
Laser Diode,1992,140
Laser Diode,1993,140
Laser Diode,1994,140
Low Density Polyethylene,1952,0.561
Low Density Polyethylene,1953,0.498
Low Density Polyethylene,1954,0.458
Low Density Polyethylene,1955,0.43
Low Density Polyethylene,1956,0.386
Low Density Polyethylene,1957,0.329
Low Density Polyethylene,1958,0.32
Low Density Polyethylene,1959,0.315
Low Density Polyethylene,1960,0.27
Low Density Polyethylene,1961,0.22
Low Density Polyethylene,1962,0.199
Low Density Polyethylene,1963,0.168
Low Density Polyethylene,1964,0.156
Low Density Polyethylene,1965,0.153
Low Density Polyethylene,1966,0.149
Low Density Polyethylene,1967,0.128
Low Density Polyethylene,1968,0.107
Magnesium,1954,30.4785553
Magnesium,1955,33.0212766
Magnesium,1956,36.67316017
Magnesium,1957,36.66043614
Magnesium,1958,36.81334724
Magnesium,1959,36.43343653
Magnesium,1960,36.09815951
Magnesium,1961,36.0244898
Magnesium,1962,36.13510747
Magnesium,1963,36.13510747
Magnesium,1964,35.81416838
Magnesium,1965,34.99087221
Magnesium,1966,33.81944444
Magnesium,1967,33.03012634
Magnesium,1968,32.3875
Magnesium,1969,31.58812441
Magnesium,1970,30.12206148
Magnesium,1971,30.17454858
Magnesium,1972,30.16499162
MaleicAnhydride,1959,26.9370485
MaleicAnhydride,1960,24.17280164
MaleicAnhydride,1961,22.11428571
MaleicAnhydride,1962,17.06857728
MaleicAnhydride,1963,13.62947799
MaleicAnhydride,1964,12.52053388
MaleicAnhydride,1965,11.80020284
MaleicAnhydride,1966,12.60416667
MaleicAnhydride,1967,12.8765792
MaleicAnhydride,1968,11.86730769
MaleicAnhydride,1969,13.7737983
MaleicAnhydride,1970,14.34267631
MaleicAnhydride,1971,12.6672399
MaleicAnhydride,1972,10.99748744
Methanol,1957,4.173416407
Methanol,1958,3.713242961
Methanol,1959,3.809081527
Methanol,1960,3.680981595
Methanol,1961,3.633673469
Methanol,1962,3.481064483
Methanol,1963,3.512794268
Methanol,1964,2.925051335
Methanol,1965,3.193711968
Methanol,1966,3.235119048
Methanol,1967,3.041788144
Methanol,1968,2.549038462
Methanol,1969,2.525918944
Methanol,1970,2.59403255
Methanol,1971,1.702493551
Methanol,1972,1.215242881
Milk (US),1930,221.8354999
Milk (US),1931,224.2494832
Milk (US),1932,232.2059532
Milk (US),1933,236.8530574
Milk (US),1934,247.9487508
Milk (US),1935,238.9684304
Milk (US),1936,231.6775705
Milk (US),1937,228.999686
Milk (US),1938,219.3720642
Milk (US),1939,217.939546
Milk (US),1940,216.3455562
Milk (US),1941,211.0341652
Milk (US),1942,211.1369829
Milk (US),1943,217.4966031
Milk (US),1944,218.732215
Milk (US),1945,208.9244584
Milk (US),1946,204.671317
Milk (US),1947,199.7123632
Milk (US),1948,198.3207746
Milk (US),1949,189.6953567
Milk (US),1950,188.197458
Milk (US),1951,187.5227806
Milk (US),1952,186.0801772
Milk (US),1953,180.4277123
Milk (US),1954,176.7597097
Milk (US),1955,171.1684086
Milk (US),1956,164.1894922
Milk (US),1957,158.6665918
Milk (US),1958,151.8535952
Milk (US),1959,146.7451983
Milk (US),1960,142.2836673
Milk (US),1961,137.1586308
Milk (US),1962,133.416765
Milk (US),1963,129.8765195
Milk (US),1964,123.4722408
Milk (US),1965,120.4139153
Milk (US),1966,117.3477217
Milk (US),1967,112.9813361
Milk (US),1968,109.4612924
Milk (US),1969,105.9935577
Milk (US),1970,102.5340364
Milk (US),1971,99.84143852
Milk (US),1972,97.45053114
Milk (US),1973,98.82848014
Milk (US),1974,97.16142093
Milk (US),1975,96.98175012
Milk (US),1976,91.78981528
Milk (US),1977,89.23076923
Milk (US),1978,88.94780175
Milk (US),1979,87.01175517
Milk (US),1980,84.07083781
Milk (US),1981,82.08179559
Milk (US),1982,80.96567061
Milk (US),1983,79.22815715
Milk (US),1984,79.73934437
Milk (US),1985,76.78446564
Milk (US),1986,75.41445519
Milk (US),1987,72.44119896
Milk (US),1988,70.49381524
Milk (US),1989,69.81576588
Milk (US),1990,67.64779551
Milk (US),1991,66.52809468
Milk (US),1992,64.20784041
Milk (US),1993,63.60365384
Milk (US),1994,61.80909103
Milk (US),1995,60.95613425
Milk (US),1996,64.92604184
Milk (US),1997,59.27311632
Milk (US),1998,58.18633872
Milk (US),1999,56.29175405
Milk (US),2000,54.95600174
Milk (US),2001,55.05437544
Milk (US),2002,53.74037857
Milk (US),2003,53.30146601
Milk (US),2004,52.71818363
Milk (US),2005,51.1094846
Milk (US),2006,50.26212716
Milk (US),2007,49.4948668
Milk (US),2008,49.03011706
Monochrome Television,1947,376
Monochrome Television,1948,296
Monochrome Television,1949,249
Monochrome Television,1950,226
Monochrome Television,1951,208
Monochrome Television,1952,197
Monochrome Television,1953,193
Monochrome Television,1954,156
Monochrome Television,1955,152
Monochrome Television,1956,135
Monochrome Television,1957,134
Monochrome Television,1958,135
Monochrome Television,1959,126
Monochrome Television,1960,127
Monochrome Television,1961,118
Monochrome Television,1962,121
Monochrome Television,1963,110
Monochrome Television,1964,100
Monochrome Television,1965,85.5
Monochrome Television,1966,93
Monochrome Television,1967,90.5
Monochrome Television,1968,89
Motor Gasoline,1946,0.096
Motor Gasoline,1947,0.113
Motor Gasoline,1948,0.128
Motor Gasoline,1949,0.131
Motor Gasoline,1950,0.134
Motor Gasoline,1951,0.132
Motor Gasoline,1952,0.129
Motor Gasoline,1953,0.134
Motor Gasoline,1954,0.128
Motor Gasoline,1955,0.126
Motor Gasoline,1956,0.123
Motor Gasoline,1957,0.124
Motor Gasoline,1958,0.116
Motor Gasoline,1959,0.114
Motor Gasoline,1960,0.113
Motor Gasoline,1961,0.112
Motor Gasoline,1962,0.109
Motor Gasoline,1963,0.106
Motor Gasoline,1964,0.104
Motor Gasoline,1965,0.104
Motor Gasoline,1966,0.101
Motor Gasoline,1967,0.1
Motor Gasoline,1968,0.094
NeopreneRubber,1960,43.95807771
NeopreneRubber,1961,43.86836735
NeopreneRubber,1962,44.00307062
NeopreneRubber,1963,44.00307062
NeopreneRubber,1964,44.1386037
NeopreneRubber,1965,43.60141988
NeopreneRubber,1966,41.68055556
NeopreneRubber,1967,39.86200194
NeopreneRubber,1968,39.44038462
NeopreneRubber,1969,38.65975495
NeopreneRubber,1970,37.08679928
NeopreneRubber,1971,35.26913156
NeopreneRubber,1972,34.35343384
Nuclear Electricity,1970,0.261509517
Nuclear Electricity,1971,0.401551308
Nuclear Electricity,1972,0.641807999
Nuclear Electricity,1973,0.559623668
Nuclear Electricity,1974,0.858936763
Nuclear Electricity,1975,1.014712183
Nuclear Electricity,1976,1.454413931
Nuclear Electricity,1977,1.502013351
Nuclear Electricity,1978,1.806956125
Nuclear Electricity,1979,1.914172156
Nuclear Electricity,1980,1.335587374
Nuclear Electricity,1981,1.713469344
Nuclear Electricity,1982,2.045859134
Nuclear Electricity,1983,2.719525695
Nuclear Electricity,1984,2.464479773
Nuclear Electricity,1985,2.848508198
Nuclear Electricity,1986,2.932466362
Nuclear Electricity,1987,2.977187961
Nuclear Electricity,1988,2.652277744
Nuclear Electricity,1989,3.374219115
Onshore Gas Pipeline,1979,1017.201449
Onshore Gas Pipeline,1980,1100.857653
Onshore Gas Pipeline,1981,1344.168761
Onshore Gas Pipeline,1982,1269.087998
Onshore Gas Pipeline,1983,1093.767385
Onshore Gas Pipeline,1984,899.3719363
Onshore Gas Pipeline,1985,880.9327245
Onshore Gas Pipeline,1986,1017.384558
Onshore Gas Pipeline,1987,1182.683369
Onshore Gas Pipeline,1988,1218.19917
Onshore Gas Pipeline,1989,1169.700718
Onshore Gas Pipeline,1990,1109.240881
Onshore Gas Pipeline,1991,1040.934204
Onshore Gas Pipeline,1992,777.7948949
Paraxylene,1957,0.175
Paraxylene,1958,0.16
Paraxylene,1959,0.135
Paraxylene,1960,0.135
Paraxylene,1961,0.125
Paraxylene,1962,0.11
Paraxylene,1963,0.084
Paraxylene,1964,0.082
Paraxylene,1965,0.082
Paraxylene,1966,0.07
Paraxylene,1967,0.07
Paraxylene,1968,0.057
Pentaerythritol,1952,38.55902778
Pentaerythritol,1953,38.34733258
Pentaerythritol,1954,36.56320542
Pentaerythritol,1955,35.52295633
Pentaerythritol,1956,35.02380952
Pentaerythritol,1957,32.32087227
Pentaerythritol,1958,29.93013556
Pentaerythritol,1959,30.37151703
Pentaerythritol,1960,30.21267894
Pentaerythritol,1961,29.17142857
Pentaerythritol,1962,26.2395087
Pentaerythritol,1963,24.41658137
Pentaerythritol,1964,24.81211499
Pentaerythritol,1965,22.53549696
Pentaerythritol,1966,23.2202381
Pentaerythritol,1967,21.8765792
Pentaerythritol,1968,21.25865385
Pentaerythritol,1969,21.667295
Pentaerythritol,1970,20.74412297
Pentaerythritol,1971,18.06534824
Pentaerythritol,1972,14.05108878
Phenol,1959,14.96181631
Phenol,1960,14.61758691
Phenol,1961,14.79387755
Phenol,1962,12.46878199
Phenol,1963,9.759467758
Phenol,1964,9.977412731
Phenol,1965,9.545638945
Phenol,1966,9.347222222
Phenol,1967,8.587949466
Phenol,1968,7.098076923
Phenol,1969,7.372290292
Phenol,1970,6.2920434
Phenol,1971,5.640584695
Phenol,1972,5.42881072
Photovoltaics,1980,22.55750824
Photovoltaics,1981,17.18003886
Photovoltaics,1982,17.44450609
Photovoltaics,1983,16.39248853
Photovoltaics,1984,13.36644757
Photovoltaics,1985,12.2033955
Photovoltaics,1986,11.43434667
Photovoltaics,1987,9.547166513
Photovoltaics,1988,9.454650701
Photovoltaics,1989,9.537099644
Photovoltaics,1990,9.738847608
Photovoltaics,1991,9.071851916
Photovoltaics,1992,8.572511469
Photovoltaics,1993,7.643175056
Photovoltaics,1994,7.472130626
Photovoltaics,1995,6.916481881
Photovoltaics,1996,5.75872869
Photovoltaics,1997,5.709596962
Photovoltaics,1998,4.798070304
Photovoltaics,1999,4.391410837
Photovoltaics,2000,3.568907385
Photovoltaics,2001,3.372215363
Photovoltaics,2002,3.440894447
Photovoltaics,2003,3.251070636
Photovoltaics,2004,3.451134572
Photovoltaics,2005,3.488009257
Photovoltaics,2006,3.801908603
Photovoltaics,2007,3.830066661
Photovoltaics,2008,3.490604461
Photovoltaics,2009,2.333068368
Photovoltaics,2010,1.556384006
Photovoltaics,2011,1.415066918
Photovoltaics,2012,0.764410265
Photovoltaics,2013,0.821315
PhthalicAnhydride,1955,21.43784994
PhthalicAnhydride,1956,20.2478355
PhthalicAnhydride,1957,19.84008307
PhthalicAnhydride,1958,20.14285714
PhthalicAnhydride,1959,16.58513932
PhthalicAnhydride,1960,17.94376278
PhthalicAnhydride,1961,17.99693878
PhthalicAnhydride,1962,14.27123849
PhthalicAnhydride,1963,9.957011259
PhthalicAnhydride,1964,9.987679671
PhthalicAnhydride,1965,8.542596349
PhthalicAnhydride,1966,9.393849206
PhthalicAnhydride,1967,11.60447036
PhthalicAnhydride,1968,12.04615385
PhthalicAnhydride,1969,10.56738926
PhthalicAnhydride,1970,8.226039783
PhthalicAnhydride,1971,6.283748925
PhthalicAnhydride,1972,5.845896147
PolyesterFiber,1960,128.797546
PolyesterFiber,1961,120.4459184
PolyesterFiber,1962,116.6601842
PolyesterFiber,1963,116.6601842
PolyesterFiber,1964,100.6190965
PolyesterFiber,1965,85.20791075
PolyesterFiber,1966,81.37202381
