Entity,Year,Health
France,1980,5.4
France,1985,6
France,1990,6
France,1995,7.8
France,2000,7.5
France,2005,8
France,2010,8.4
France,2013,8.6
France,2014,..
France,2015,..
Germany,1980,6.3
Germany,1985,6.5
Germany,1990,6.1
Germany,1995,7.4
Germany,2000,7.4
Germany,2005,7.4
Germany,2010,8
Germany,2013,7.9
Germany,2014,..
Germany,2015,..
Greece,1980,3.1
Greece,1985,4.4
Greece,1990,3.3
Greece,1995,4.2
Greece,2000,4.5
Greece,2005,5.6
Greece,2010,6.2
Greece,2013,6.1
Greece,2014,..
Greece,2015,..
Hungary,1980,..
Hungary,1985,..
Hungary,1990,..
Hungary,1995,5.6
Hungary,2000,4.7
Hungary,2005,5.6
Hungary,2010,4.9
Hungary,2013,4.7
Hungary,2014,..
Hungary,2015,..
Iceland,1980,5.1
Iceland,1985,5.8
Iceland,1990,5.5
Iceland,1995,5.5
Iceland,2000,6.1
Iceland,2005,5.6
Iceland,2010,5.5
Iceland,2013,5.3
Iceland,2014,..
Iceland,2015,..
Ireland,1980,6.1
Ireland,1985,5.2
Ireland,1990,4.1
Ireland,1995,4.5
Ireland,2000,4.2
Ireland,2005,5.2
Ireland,2010,5.8
Ireland,2013,5.5
Ireland,2014,..
Ireland,2015,..
Israel,1980,..
Israel,1985,..
Israel,1990,..
Israel,1995,5.2
Israel,2000,5
Israel,2005,5.1
Israel,2010,5
Israel,2013,5.1
Israel,2014,5.2
Israel,2015,5
Italy,1980,5.3
Italy,1985,5.1
Italy,1990,5.7
Italy,1995,4.9
Italy,2000,5.5
Italy,2005,6.5
Italy,2010,7
Italy,2013,6.8
Italy,2014,..
Italy,2015,..
Japan,1980,4.4
Japan,1985,4.6
Japan,1990,4.4
Japan,1995,5.6
Japan,2000,5.8
Japan,2005,6.3
Japan,2010,7.3
Japan,2013,7.8
Japan,2014,..
Japan,2015,..
Korea,1980,..
Korea,1985,..
Korea,1990,1.4
Korea,1995,1.4
Korea,2000,2
Korea,2005,2.8
Korea,2010,3.7
Korea,2013,3.8
Korea,2014,3.9
Korea,2015,..
Latvia,1980,..
Latvia,1985,..
Latvia,1990,..
Latvia,1995,0
Latvia,2000,2.2
Latvia,2005,3.3
Latvia,2010,3.7
Latvia,2013,2.8
Latvia,2014,..
Latvia,2015,..
Luxembourg,1980,4.2
Luxembourg,1985,4
Luxembourg,1990,4.7
Luxembourg,1995,4.9
Luxembourg,2000,4.8
Luxembourg,2005,6
Luxembourg,2010,6.1
Luxembourg,2013,5.6
Luxembourg,2014,..
Luxembourg,2015,..
Mexico,1980,..
Mexico,1985,0.9
Mexico,1990,1.7
Mexico,1995,2.1
Mexico,2000,2.2
Mexico,2005,2.4
Mexico,2010,2.8
Mexico,2013,..
Mexico,2014,..
Mexico,2015,..
Netherlands,1980,4.8
Netherlands,1985,4.9
Netherlands,1990,5
Netherlands,1995,5.6
Netherlands,2000,4.7
Netherlands,2005,6.7
Netherlands,2010,7.6
Netherlands,2013,7.9
Netherlands,2014,..
Netherlands,2015,..
New Zealand,1980,5.1
New Zealand,1985,4.3
New Zealand,1990,5.5
New Zealand,1995,5.4
New Zealand,2000,5.8
New Zealand,2005,6.6
New Zealand,2010,7.8
New Zealand,2013,7.5
New Zealand,2014,7.5
New Zealand,2015,..
Norway,1980,4.3
Norway,1985,4.1
Norway,1990,3.9
Norway,1995,3.9
Norway,2000,4.3
Norway,2005,5.1
Norway,2010,5.6
Norway,2013,5.5
Norway,2014,..
Norway,2015,..
OECD - Total,1980,4.2
OECD - Total,1985,4.2
OECD - Total,1990,4.4
OECD - Total,1995,4.7
OECD - Total,2000,4.9
OECD - Total,2005,5.4
OECD - Total,2010,6
OECD - Total,2013,6
OECD - Total,2014,..
OECD - Total,2015,..
Poland,1980,..
Poland,1985,..
Poland,1990,4.3
Poland,1995,3.6
Poland,2000,3.6
Poland,2005,4
Poland,2010,4.6
Poland,2013,..
Poland,2014,..
Poland,2015,..
Portugal,1980,3
Portugal,1985,2.9
Portugal,1990,3.6
Portugal,1995,4.4
Portugal,2000,5.9
Portugal,2005,6.8
Portugal,2010,6.9
Portugal,2013,6.1
Portugal,2014,..
Portugal,2015,..
Slovak Republic,1980,..
Slovak Republic,1985,..
Slovak Republic,1990,..
Slovak Republic,1995,5.6
Slovak Republic,2000,4.7
Slovak Republic,2005,5
Slovak Republic,2010,5.6
Slovak Republic,2013,5.6
Slovak Republic,2014,..
Slovak Republic,2015,..
Slovenia,1980,..
Slovenia,1985,..
Slovenia,1990,..
Slovenia,1995,5.7
Slovenia,2000,6
Slovenia,2005,5.9
Slovenia,2010,6.3
Slovenia,2013,6.1
Slovenia,2014,..
Slovenia,2015,..
Spain,1980,4
Spain,1985,4.1
Spain,1990,4.8
Spain,1995,5.1
Spain,2000,4.9
Spain,2005,5.5
Spain,2010,6.7
Spain,2013,6.4
Spain,2014,..
Spain,2015,..
Sweden,1980,7.2
Sweden,1985,6.6
Sweden,1990,5.8
Sweden,1995,5.8
Sweden,2000,5.7
Sweden,2005,6.1
Sweden,2010,6.3
Sweden,2013,6.6
Sweden,2014,..
Sweden,2015,..
Switzerland,1980,3.3
Switzerland,1985,3.4
Switzerland,1990,3.4
Switzerland,1995,4.2
Switzerland,2000,4.6
Switzerland,2005,5.4
Switzerland,2010,6
Switzerland,2013,6.6
Switzerland,2014,..
Switzerland,2015,..
Turkey,1980,1.4
Turkey,1985,0.8
Turkey,1990,1.5
Turkey,1995,1.8
Turkey,2000,2.9
Turkey,2005,3.5
Turkey,2010,4.2
Turkey,2013,4
Turkey,2014,..
Turkey,2015,..
United Kingdom,1980,4.4
United Kingdom,1985,4.3
United Kingdom,1990,4.2
United Kingdom,1995,5
United Kingdom,2000,5.3
United Kingdom,2005,6.3
United Kingdom,2010,7.5
United Kingdom,2013,7.1
United Kingdom,2014,..
United Kingdom,2015,..
United States,1980,3.5
United States,1985,3.9
United States,1990,4.6
United States,1995,5.8
United States,2000,5.6
United States,2005,6.7
United States,2010,8
United States,2013,8
United States,2014,..
United States,2015,..
