Entity,Year,Carbon Monoxide,NOx,Non-methane Volatile Organic Compounds (VOCs),PM₁₀,PM₂.₅,SO₂,Carbon Monoxide (Index),NOx (Index),Non-methane Volatile Organic Compounds (VOCs) (Index),PM₁₀ (Index),PM₂.₅ (Index),SO₂ (Index)
Estonia,1993,122,41,35,,,155,56.67,52.73,53.25,,,56.99
Estonia,1994,158,46,37,,,150,73.34,59.79,57.04,,,55.09
Estonia,1995,212,47,42,,,116,98.80,61.09,64.55,,,42.49
Estonia,1996,236,52,43,,,125,109.70,66.79,65.54,,,45.78
Estonia,1997,248,51,45,,,116,115.51,65.58,69.23,,,42.56
Estonia,1998,196,46,39,,,104,91.05,58.96,59.99,,,38.24
Estonia,1999,204,43,39,,,98,94.85,56.32,59.60,,,35.90
Estonia,2000,195,44,38,32,15,97,90.66,57.45,58.05,,,35.65
Estonia,2001,197,46,37,32,16,91,91.70,59.95,57.16,,,33.30
Estonia,2002,186,47,37,28,17,87,86.75,60.82,56.02,,,31.95
Estonia,2003,177,48,35,24,14,100,82.14,61.90,53.89,,,36.83
Estonia,2004,169,45,35,25,15,88,78.83,58.03,53.46,,,32.37
Estonia,2005,153,41,33,22,14,76,71.34,53.32,50.35,,,27.99
Estonia,2006,139,40,31,16,10,70,64.51,51.51,47.88,,,25.66
Estonia,2007,155,44,29,23,13,88,71.92,57.15,44.45,,,32.32
Estonia,2008,155,41,27,19,12,69,72.06,53.58,41.08,,,25.50
Estonia,2009,154,36,24,15,10,55,71.58,46.44,37.11,,,20.14
Estonia,2010,155,42,24,23,14,83,71.97,54.68,36.62,,,30.57
Estonia,2011,130,40,24,34,18,73,60.57,52.24,36.04,,,26.71
Estonia,2012,140,37,23,13,8,41,65.28,47.99,35.65,,,14.91
Estonia,2013,134,34,23,17,11,37,62.12,44.52,34.86,,,13.41
Estonia,2014,128,34,23,13,8,41,59.61,44.04,34.50,,,14.99
Estonia,2015,128,31,23,14,9,32,59.54,39.70,35.03,,,11.68
Europe,1990,62721,17557,17480,,,25460,100.00,100.00,100.00,,,100.00
Europe,1991,60716,17279,16895,,,23417,96.80,98.42,96.65,,,91.97
Europe,1992,57782,16968,16419,,,21678,92.13,96.65,93.93,,,85.14
Europe,1993,55731,16395,15751,,,20033,88.86,93.38,90.11,,,78.68
Europe,1994,51750,15695,14922,,,18362,82.51,89.40,85.37,,,72.12
Europe,1995,49881,15484,14392,,,16489,79.53,88.19,82.34,,,64.76
Europe,1996,48597,15283,14215,,,15409,77.48,87.05,81.32,,,60.52
Europe,1997,45965,14727,13777,,,14619,73.29,83.88,78.82,,,57.42
Europe,1998,43185,14373,13291,,,13297,68.85,81.86,76.04,,,52.23
Europe,1999,40825,14003,12668,,,11909,65.09,79.76,72.47,,,46.77
Europe,2000,38193,13405,11966,,,10825,60.89,76.35,68.46,,,42.52
Europe,2001,36301,13148,11431,,,10143,57.88,74.89,65.40,,,39.84
Europe,2002,34370,12815,10874,,,9593,54.80,72.99,62.21,,,37.68
Europe,2003,33392,12714,10471,,,8998,53.24,72.41,59.91,,,35.34
Europe,2004,32235,12591,10106,,,8546,51.39,71.72,57.82,,,33.57
Europe,2005,30490,12335,9695,,,8263,48.61,70.26,55.46,,,32.45
Europe,2006,29443,12034,9452,,,8215,46.94,68.54,54.08,,,32.26
Europe,2007,28650,11786,9095,,,8302,45.68,67.13,52.03,,,32.61
Europe,2008,28226,10916,8688,,,7017,45.00,62.17,49.70,,,27.56
Europe,2009,25916,10054,8187,,,6514,41.32,57.26,46.84,,,25.59
Europe,2010,26870,9896,8249,,,6285,42.84,56.37,47.19,,,24.69
Europe,2011,24600,9609,7870,,,6154,39.22,54.73,45.02,,,24.17
Europe,2012,23940,9217,7774,,,6041,38.17,52.50,44.48,,,23.73
Europe,2013,23012,8841,7624,,,4915,36.69,50.36,43.62,,,19.31
Europe,2014,21579,8417,7417,,,4853,34.41,47.94,42.44,,,19.06
Europe,2015,21787,8354,7391,,,4452,34.74,47.58,42.29,,,17.49
Finland,1990,709,299,225,,,250,100.00,100.00,100.00,,,100.00
Finland,1991,681,283,213,,,202,96.04,94.51,94.88,,,80.80
Finland,1992,667,271,207,,,158,94.15,90.65,92.20,,,63.14
Finland,1993,649,272,200,,,138,91.64,91.07,88.88,,,55.16
Finland,1994,631,272,196,,,124,89.02,90.99,86.93,,,49.41
Finland,1995,616,252,191,,,105,87.00,84.28,85.04,,,41.94
Finland,1996,609,256,186,,,110,85.95,85.67,82.48,,,44.13
Finland,1997,603,253,182,,,102,85.16,84.47,80.86,,,40.61
Finland,1998,589,240,177,,,94,83.06,80.19,78.63,,,37.46
Finland,1999,575,238,172,,,91,81.09,79.48,76.46,,,36.55
Finland,2000,548,229,165,55,39,81,77.32,76.43,73.19,,,32.38
Finland,2001,548,231,165,54,40,90,77.31,77.19,73.18,,,36.11
Finland,2002,534,229,159,54,40,89,75.35,76.64,70.53,,,35.74
Finland,2003,514,239,153,54,40,102,72.51,79.87,67.81,,,40.96
Finland,2004,496,226,148,56,40,85,69.94,75.57,65.71,,,33.81
Finland,2005,469,198,138,49,36,69,66.22,66.29,61.24,,,27.64
Finland,2006,459,215,134,50,35,84,64.75,71.84,59.44,,,33.60
Finland,2007,442,204,129,47,33,83,62.36,68.12,57.56,,,33.10
Finland,2008,420,186,118,47,34,68,59.29,62.25,52.26,,,27.09
Finland,2009,399,169,109,46,35,60,56.35,56.39,48.34,,,23.80
Finland,2010,411,178,113,50,37,67,58.01,59.44,50.13,,,26.83
Finland,2011,375,163,101,47,34,60,52.92,54.42,44.70,,,24.15
Finland,2012,372,154,99,47,36,51,52.48,51.49,44.14,,,20.37
Finland,2013,358,149,94,45,34,48,50.51,49.94,41.65,,,19.36
Finland,2014,351,141,91,34,24,43,49.49,47.03,40.26,,,17.27
Finland,2015,335,130,85,32,22,41,47.35,43.58,37.91,,,16.36
France,1990,10421,1949,2393,564,420,1314,100.00,100.00,100.00,100.00,100.00,100.00
France,1991,10749,1985,2434,613,468,1388,103.14,101.81,101.68,108.69,111.39,105.59
France,1992,10186,1975,2362,591,449,1245,97.74,101.33,98.68,104.67,106.71,94.76
France,1993,9712,1869,2242,568,434,1075,93.19,95.89,93.68,100.59,103.21,81.79
France,1994,9009,1817,2073,535,400,1022,86.45,93.24,86.62,94.78,95.14,77.74
France,1995,8974,1771,2006,538,403,956,86.11,90.87,83.80,95.37,95.83,72.76
France,1996,8443,1746,1967,552,415,928,81.02,89.57,82.18,97.78,98.59,70.62
France,1997,7917,1682,1847,513,377,794,75.97,86.29,77.17,90.98,89.55,60.43
France,1998,7616,1714,1793,504,369,847,73.09,87.93,74.92,89.33,87.72,64.44
France,1999,7161,1654,1703,481,347,711,68.72,84.86,71.17,85.16,82.48,54.08
France,2000,6531,1610,1607,450,318,631,62.67,82.61,67.14,79.67,75.64,48.03
France,2001,6177,1565,1532,436,307,554,59.27,80.31,64.00,77.26,73.07,42.13
France,2002,5960,1534,1403,409,283,518,57.19,78.69,58.60,72.42,67.41,39.43
France,2003,5686,1493,1328,412,285,498,54.57,76.58,55.49,72.91,67.83,37.89
France,2004,5774,1461,1251,397,272,478,55.41,74.97,52.25,70.31,64.74,36.41
France,2005,5273,1413,1165,371,252,455,50.60,72.49,48.68,65.65,60.01,34.62
France,2006,4750,1337,1060,351,235,427,45.58,68.57,44.31,62.26,55.78,32.50
France,2007,4548,1271,951,334,220,416,43.64,65.20,39.72,59.15,52.21,31.68
France,2008,4339,1173,869,325,214,349,41.64,60.20,36.31,57.62,50.85,26.54
France,2009,3893,1093,785,311,205,300,37.36,56.08,32.82,55.09,48.80,22.82
France,2010,4295,1073,788,317,212,280,41.21,55.07,32.92,56.25,50.40,21.30
France,2011,3614,1011,731,290,184,242,34.68,51.87,30.55,51.38,43.84,18.44
France,2012,3219,975,701,290,185,228,30.89,50.02,29.30,51.34,44.08,17.36
France,2013,3332,952,698,295,190,201,31.97,48.82,29.17,52.23,45.12,15.28
France,2014,3067,866,646,267,165,160,29.43,44.44,26.98,47.33,39.25,12.21
France,2015,2989,832,622,266,165,153,28.68,42.70,25.99,47.10,39.17,11.63
Germany,1990,12498,2887,3389,,,5485,100.00,100.00,100.00,,,100.00
Germany,1991,10270,2644,2904,,,3969,82.18,91.61,85.69,,,72.35
Germany,1992,8886,2498,2669,,,3241,71.10,86.54,78.77,,,59.08
Germany,1993,8088,2391,2517,,,2905,64.72,82.82,74.29,,,52.96
Germany,1994,6732,2203,2106,,,2418,53.86,76.33,62.16,,,44.09
Germany,1995,6436,2168,2025,329,195,1745,51.50,75.11,59.76,,,31.81
Germany,1996,5984,2096,1957,315,184,1476,47.88,72.61,57.75,,,26.91
Germany,1997,5848,2030,1931,321,184,1226,46.79,70.33,56.98,,,22.35
Germany,1998,5405,2007,1890,308,174,980,43.25,69.52,55.77,,,17.86
Germany,1999,5061,1982,1746,307,171,800,40.50,68.66,51.51,,,14.58
Germany,2000,4790,1928,1599,290,160,644,38.33,66.81,47.19,,,11.75
Germany,2001,4614,1851,1497,276,155,623,36.92,64.12,44.17,,,11.36
Germany,2002,4340,1773,1429,271,149,560,34.73,61.43,42.17,,,10.21
Germany,2003,4159,1717,1359,261,144,532,33.28,59.49,40.10,,,9.70
Germany,2004,3923,1650,1367,255,140,491,31.39,57.15,40.34,,,8.96
Germany,2005,3718,1575,1311,245,132,472,29.75,54.55,38.69,,,8.60
Germany,2006,3621,1558,1316,241,127,473,28.97,53.97,38.85,,,8.62
Germany,2007,3503,1486,1252,233,122,456,28.03,51.46,36.96,,,8.32
Germany,2008,3398,1412,1197,227,116,453,27.19,48.91,35.33,,,8.26
Germany,2009,2952,1311,1101,218,110,396,23.62,45.42,32.47,,,7.23
Germany,2010,3317,1334,1216,232,117,409,26.54,46.22,35.87,,,7.46
Germany,2011,3230,1314,1130,232,112,399,25.84,45.51,33.36,,,7.28
Germany,2012,2855,1271,1105,225,106,381,22.85,44.03,32.59,,,6.95
Germany,2013,2828,1267,1092,229,106,373,22.63,43.88,32.21,,,6.80
Germany,2014,2715,1220,1016,223,100,357,21.72,42.25,29.98,,,6.51
Germany,2015,2678,1186,1020,221,100,352,21.43,41.09,30.09,,,6.41
Greece,1990,1134,328,238,,,478,100.00,100.00,100.00,,,100.00
Greece,1991,1120,338,238,,,517,98.77,103.05,100.27,,,108.30
Greece,1992,1076,345,234,,,534,94.85,105.03,98.30,,,111.76
Greece,1993,1071,342,232,,,528,94.43,104.12,97.64,,,110.53
Greece,1994,1049,351,229,,,524,92.51,106.98,96.15,,,109.61
Greece,1995,956,332,216,,,541,84.28,101.04,90.77,,,113.31
Greece,1996,951,337,215,,,535,83.82,102.54,90.63,,,112.03
Greece,1997,949,350,217,,,534,83.62,106.66,91.14,,,111.68
Greece,1998,950,373,218,,,539,83.73,113.58,91.72,,,112.89
Greece,1999,956,371,220,,,556,84.29,112.94,92.73,,,116.47
Greece,2000,925,363,209,,,499,81.51,110.66,87.79,,,104.39
Greece,2001,915,386,207,,,508,80.66,117.62,87.19,,,106.28
Greece,2002,858,387,198,,,517,75.68,117.89,83.44,,,108.26
Greece,2003,814,397,194,,,556,71.73,121.02,81.61,,,116.31
Greece,2004,810,403,191,,,552,71.45,122.71,80.39,,,115.49
Greece,2005,725,421,179,,,541,63.92,128.09,75.24,,,113.35
Greece,2006,742,419,178,,,534,65.44,127.66,75.04,,,111.68
Greece,2007,684,420,172,,,537,60.34,127.85,72.43,,,112.42
Greece,2008,626,399,162,,,444,55.17,121.41,68.20,,,92.94
Greece,2009,594,384,155,,,423,52.40,116.87,65.25,,,88.55
Greece,2010,557,325,144,,,248,49.14,98.80,60.74,,,51.84
Greece,2011,524,303,134,,,190,46.20,92.31,56.33,,,39.81
Greece,2012,580,243,128,,,151,51.16,74.03,53.89,,,31.59
Greece,2013,466,249,127,,,141,41.10,75.71,53.41,,,29.47
Greece,2014,456,243,125,,,123,40.24,74.07,52.64,,,25.75
Greece,2015,436,241,122,,,120,38.48,73.32,51.40,,,25.06
Hungary,1990,1217,283,269,,,825,100.00,100.00,100.00,,,100.00
Hungary,1991,1092,242,228,,,826,89.72,85.43,85.10,,,100.02
Hungary,1992,876,219,202,,,711,71.94,77.31,75.07,,,86.15
Hungary,1993,868,206,204,,,724,71.33,72.80,76.06,,,87.75
Hungary,1994,775,211,198,,,636,63.62,74.47,73.62,,,77.01
Hungary,1995,762,213,195,,,620,62.56,75.32,72.77,,,75.16
Hungary,1996,760,219,196,,,619,62.46,77.39,73.17,,,75.03
Hungary,1997,741,221,192,,,632,60.86,78.00,71.58,,,76.61
Hungary,1998,691,217,182,,,569,56.76,76.43,67.67,,,68.94
Hungary,1999,679,219,179,,,561,55.78,77.20,66.64,,,67.97
Hungary,2000,649,206,176,69,48,428,53.31,72.83,65.59,,,51.80
Hungary,2001,657,209,178,74,52,347,53.97,73.75,66.28,,,42.00
Hungary,2002,638,216,176,58,37,273,52.37,76.20,65.47,,,33.10
Hungary,2003,666,207,178,66,46,246,54.70,72.99,66.21,,,29.77
Hungary,2004,594,204,176,61,41,149,48.76,72.02,65.53,,,18.11
Hungary,2005,447,169,146,56,38,41,36.69,59.74,54.49,,,4.99
Hungary,2006,466,172,143,58,40,39,38.31,60.54,53.25,,,4.76
Hungary,2007,427,167,135,57,40,35,35.08,58.79,50.43,,,4.22
Hungary,2008,388,164,130,53,36,35,31.87,57.74,48.25,,,4.28
Hungary,2009,392,157,128,63,46,30,32.21,55.30,47.72,,,3.61
Hungary,2010,383,154,125,67,50,31,31.49,54.35,46.59,,,3.78
Hungary,2011,366,140,118,72,57,34,30.05,49.40,44.06,,,4.15
Hungary,2012,350,124,117,75,60,31,28.73,43.78,43.69,,,3.74
Hungary,2013,326,121,120,76,61,29,26.74,42.54,44.84,,,3.55
