Entity,Year,Gender-equal inheritance for women (How Was Life (2014))
India,1920,0
India,1980,0
India,2000,1
Indonesia,1920,1
Indonesia,1980,0
Indonesia,2000,0
Iran,1920,0
Iran,1980,0
Iran,2000,0
Iraq,1920,0
Ireland,1920,0
Israel,1920,0
Italy,1920,0
Italy,1980,1
Italy,2000,1
Jamaica,1980,1
Jamaica,2000,1
Japan,1920,0
Japan,1980,1
Japan,2000,1
Jordan,1920,0
Jordan,1980,0
Jordan,2000,0
Kazakhstan,1920,0
Kazakhstan,1980,1
Kazakhstan,2000,1
Kenya,1920,0
Kenya,2000,1
Kuwait,1920,0
Kyrgyzstan,1920,0
Kyrgyzstan,1980,1
Kyrgyzstan,2000,1
Laos,1920,1
Laos,2000,1
Latvia,1920,0
Lebanon,1920,0
Lesotho,1920,0
Lesotho,1980,0
Lesotho,2000,0
Liberia,1920,0
Liberia,1980,1
Liberia,2000,1
Libya,1920,0
Lithuania,1920,0
Madagascar,1920,1
Madagascar,1980,0
Madagascar,2000,0
Malawi,1920,1
Malawi,1980,1
Malawi,2000,1
Malaysia,1920,0
Malaysia,1980,0
Malaysia,2000,0
Mali,1920,0
Mali,2000,0
Malta,1920,1
Mauritania,1920,0
Mexico,1980,1
Mexico,2000,1
Moldova,1920,0
Monaco,1920,0
Mongolia,1920,0
Mongolia,1980,1
Mongolia,2000,1
Morocco,1920,0
Morocco,1980,0
Morocco,2000,0
Mozambique,1920,1
Mozambique,1980,1
Mozambique,2000,1
Myanmar,1920,1
Namibia,1920,0
Namibia,1980,1
Namibia,2000,1
Nepal,1980,0
Nepal,2000,0
Netherlands,1920,1
Netherlands,1980,1
Netherlands,2000,1
New Caledonia,1920,0
New Zealand,1920,1
Nicaragua,1980,1
Nicaragua,2000,1
Niger,1920,0
Niger,1980,0
Niger,2000,0
Nigeria,1920,0
Norfolk Island,1920,1
North Korea,1920,0
Norway,1980,1
Norway,2000,1
Pakistan,1920,0
Pakistan,1980,0
Pakistan,2000,0
Papua New Guinea,1980,1
Papua New Guinea,2000,1
Paraguay,1980,1
Paraguay,2000,1
Peru,1920,0
Peru,1980,1
Peru,2000,1
Philippines,1980,1
Philippines,2000,1
Portugal,1980,1
Portugal,2000,1
Qatar,1920,0
Russia,1920,0
Rwanda,1920,0
Rwanda,2000,1
Saint Helena,1920,1
San Marino,1920,0
Senegal,1920,0
Senegal,1980,0
Senegal,2000,0
Sierra Leone,1920,0
Sierra Leone,1980,1
Sierra Leone,2000,1
Singapore,1920,0
Singapore,1980,1
Singapore,2000,1
Slovakia,1920,0
Somalia,1920,0
South Africa,1920,0
South Africa,1980,0
South Africa,2000,1
South Korea,1920,0
South Korea,1980,0
South Korea,2000,1
Spain,1920,1
Spain,1980,1
Spain,2000,1
Sri Lanka,1920,1
Sri Lanka,1980,1
Sri Lanka,2000,1
Sudan,1920,0
Sudan,2000,0
Suriname,1920,1
Swaziland,1920,0
Sweden,1980,1
Sweden,2000,1
Switzerland,1920,0
Switzerland,1980,1
Switzerland,2000,1
Syria,1920,0
Syria,1980,0
Syria,2000,0
Tajikistan,1920,0
Tajikistan,1980,1
Tajikistan,2000,1
Tanzania,1920,0
Tanzania,1980,0
Tanzania,2000,0
Thailand,1920,1
Thailand,1980,1
Thailand,2000,1
Timor,1920,0
Togo,1920,0
Tonga,1920,0
Tunisia,1980,0
Tunisia,2000,0
Turkey,1920,0
Turkey,1980,1
Turkey,2000,1
Turkmenistan,1920,0
Tuvalu,1920,0
Uganda,1920,0
Uganda,1980,0
Uganda,2000,0
Ukraine,1920,0
Ukraine,1980,1
Ukraine,2000,1
United Arab Emirates,1920,0
United Kingdom,1920,1
United Kingdom,1980,1
United Kingdom,2000,1
United States,1920,1
United States,1980,1
United States,2000,1
Uruguay,1920,0
Uzbekistan,1920,0
Uzbekistan,1980,1
Uzbekistan,2000,1
Vatican,1920,0
Venezuela,1980,1
Venezuela,2000,1
Vietnam,1920,1
Vietnam,2000,1
Western Sahara,1920,0
Yemen,1980,0
Yemen,2000,0
Zambia,1920,1
Zambia,2000,1
Zimbabwe,1920,0
Zimbabwe,2000,1
