Entity,Year,Life Expectancy (1950-2015) (UN Population Division (2015))
Austria,2010,80.1
Austria,2015,81.1
Azerbaijan,1955,58
Azerbaijan,1960,60
Azerbaijan,1965,62.1
Azerbaijan,1970,64.1
Azerbaijan,1975,65.6
Azerbaijan,1980,65.1
Azerbaijan,1985,65
Azerbaijan,1990,66.1
Azerbaijan,1995,63.8
Azerbaijan,2000,66
Azerbaijan,2005,67.8
Azerbaijan,2010,70.1
Azerbaijan,2015,70.6
Bahamas,1955,60
Bahamas,1960,62
Bahamas,1965,63.7
Bahamas,1970,65.2
Bahamas,1975,66.6
Bahamas,1980,67.9
Bahamas,1985,69.1
Bahamas,1990,70.2
Bahamas,1995,71.1
Bahamas,2000,71.7
Bahamas,2005,73.2
Bahamas,2010,74.3
Bahamas,2015,75.1
Bahrain,1955,43
Bahrain,1960,48.5
Bahrain,1965,55.3
Bahrain,1970,61.1
Bahrain,1975,65.4
Bahrain,1980,68.4
Bahrain,1985,70.5
Bahrain,1990,71.8
Bahrain,1995,72.9
Bahrain,2000,74
Bahrain,2005,75
Bahrain,2010,75.7
Bahrain,2015,76.4
Bangladesh,1955,40.7
Bangladesh,1960,44.2
Bangladesh,1965,47.2
Bangladesh,1970,49.3
Bangladesh,1975,46.3
Bangladesh,1980,52.2
Bangladesh,1985,54.3
Bangladesh,1990,57
Bangladesh,1995,60
Bangladesh,2000,63.8
Bangladesh,2005,66.7
Bangladesh,2010,69
Bangladesh,2015,71
Barbados,1955,57.2
Barbados,1960,59.8
Barbados,1965,62.2
Barbados,1970,64.6
Barbados,1975,66.4
Barbados,1980,68
Barbados,1985,69.5
Barbados,1990,70.8
Barbados,1995,71.9
Barbados,2000,73
Barbados,2005,73.8
Barbados,2010,74.6
Barbados,2015,75.4
Belarus,1955,60.7
Belarus,1960,66.3
Belarus,1965,69.1
Belarus,1970,70.4
Belarus,1975,70.5
Belarus,1980,70.4
Belarus,1985,70.1
Belarus,1990,71.4
Belarus,1995,69.5
Belarus,2000,67.4
Belarus,2005,67.8
Belarus,2010,69.3
Belarus,2015,71.1
Belgium,1955,67.6
Belgium,1960,69.4
Belgium,1965,70.2
Belgium,1970,70.7
Belgium,1975,71.4
Belgium,1980,72.5
Belgium,1985,73.8
Belgium,1990,75.1
Belgium,1995,76.3
Belgium,2000,77.3
Belgium,2005,78.3
Belgium,2010,79.5
Belgium,2015,80.5
Belize,1955,55.9
Belize,1960,58.6
Belize,1965,61.3
Belize,1970,64.3
Belize,1975,66.7
Belize,1980,68.7
Belize,1985,70.4
Belize,1990,71.5
Belize,1995,70.6
Belize,2000,68.6
Belize,2005,68.5
Belize,2010,69.6
Belize,2015,69.8
Benin,1955,33.7
Benin,1960,36.1
Benin,1965,38.4
Benin,1970,41
Benin,1975,43.8
Benin,1980,46.3
Benin,1985,48.4
Benin,1990,51.8
Benin,1995,54.8
Benin,2000,54.8
Benin,2005,56
Benin,2010,58.2
Benin,2015,59.2
Bhutan,1955,29.5
Bhutan,1960,31.4
Bhutan,1965,33.4
Bhutan,1970,35.3
Bhutan,1975,38.9
Bhutan,1980,43.1
Bhutan,1985,46.8
Bhutan,1990,50.5
Bhutan,1995,54.5
Bhutan,2000,58.4
Bhutan,2005,62.9
Bhutan,2010,66.7
Bhutan,2015,68.9
Bolivia,1955,40
Bolivia,1960,41.4
Bolivia,1965,43
Bolivia,1970,44.7
Bolivia,1975,46.7
Bolivia,1980,48.9
Bolivia,1985,51.2
Bolivia,1990,53.8
Bolivia,1995,56.5
Bolivia,2000,59.3
Bolivia,2005,62.1
Bolivia,2010,64.9
Bolivia,2015,67.7
Bosnia and Herzegovina,1955,53.7
Bosnia and Herzegovina,1960,58.5
Bosnia and Herzegovina,1965,61.9
Bosnia and Herzegovina,1970,64.7
Bosnia and Herzegovina,1975,67.5
Bosnia and Herzegovina,1980,69.9
Bosnia and Herzegovina,1985,70.7
Bosnia and Herzegovina,1990,71.9
Bosnia and Herzegovina,1995,70.1
Bosnia and Herzegovina,2000,73.6
Bosnia and Herzegovina,2005,74.8
Bosnia and Herzegovina,2010,75.5
Bosnia and Herzegovina,2015,76.3
Botswana,1955,47.7
Botswana,1960,49.7
Botswana,1965,51.6
Botswana,1970,53.4
Botswana,1975,56.1
Botswana,1980,59.3
Botswana,1985,61.7
Botswana,1990,62.8
Botswana,1995,61
Botswana,2000,51.7
Botswana,2005,49
Botswana,2010,61.1
Botswana,2015,64.1
Brazil,1955,50.8
Brazil,1960,53
Brazil,1965,55.5
Brazil,1970,58
Brazil,1975,60.1
Brazil,1980,61.3
Brazil,1985,62.7
Brazil,1990,64.4
Brazil,1995,66.3
Brazil,2000,68.9
Brazil,2005,71.1
Brazil,2010,72.6
Brazil,2015,74.1
Brunei,1955,58.3
Brunei,1960,61
Brunei,1965,63.8
Brunei,1970,65.9
Brunei,1975,67.8
Brunei,1980,69.5
Brunei,1985,70.9
Brunei,1990,72.3
Brunei,1995,73.5
Brunei,2000,74.7
Brunei,2005,75.7
Brunei,2010,76.7
Brunei,2015,78.4
Bulgaria,1955,62.1
Bulgaria,1960,66.3
Bulgaria,1965,70.1
Bulgaria,1970,71
Bulgaria,1975,71.1
Bulgaria,1980,71.1
Bulgaria,1985,71.3
Bulgaria,1990,71.4
Bulgaria,1995,71.1
Bulgaria,2000,70.9
Bulgaria,2005,72.1
Bulgaria,2010,73
Bulgaria,2015,74
Burkina Faso,1955,30.9
Burkina Faso,1960,33.3
Burkina Faso,1965,35.6
Burkina Faso,1970,38
Burkina Faso,1975,40.3
Burkina Faso,1980,43.4
Burkina Faso,1985,48.4
Burkina Faso,1990,49.5
Burkina Faso,1995,49.3
Burkina Faso,2000,49.9
Burkina Faso,2005,51.6
Burkina Faso,2010,55.8
Burkina Faso,2015,58.1
Burundi,1955,39
Burundi,1960,40.5
Burundi,1965,42
Burundi,1970,43.5
Burundi,1975,44.2
Burundi,1980,46.4
Burundi,1985,48
Burundi,1990,49.2
Burundi,1995,47.3
Burundi,2000,50.9
Burundi,2005,52
Burundi,2010,53.7
Burundi,2015,56.1
Cambodia,1955,40.3
Cambodia,1960,41
Cambodia,1965,41.4
Cambodia,1970,42
Cambodia,1975,37.8
Cambodia,1980,14.5
Cambodia,1985,45.1
Cambodia,1990,52
Cambodia,1995,54.3
Cambodia,2000,56.4
Cambodia,2005,60.8
Cambodia,2010,65.1
Cambodia,2015,67.6
Cameroon,1955,38.5
Cameroon,1960,40.5
Cameroon,1965,42.7
Cameroon,1970,44.9
Cameroon,1975,47.4
Cameroon,1980,50.1
Cameroon,1985,52.2
Cameroon,1990,53.3
Cameroon,1995,53.6
Cameroon,2000,52.7
Cameroon,2005,51.6
Cameroon,2010,52.7
Cameroon,2015,54.9
Canada,1955,68.9
Canada,1960,70.2
Canada,1965,71.3
Canada,1970,72.1
Canada,1975,72.9
Canada,1980,74.2
Canada,1985,75.7
Canada,1990,76.7
Canada,1995,77.7
Canada,2000,78.5
Canada,2005,79.7
Canada,2010,80.7
Canada,2015,81.8
Cape Verde,1955,48.1
Cape Verde,1960,48.8
Cape Verde,1965,49.5
Cape Verde,1970,52.4
Cape Verde,1975,55.4
Cape Verde,1980,58.9
Cape Verde,1985,62.4
Cape Verde,1990,64.7
Cape Verde,1995,66.7
Cape Verde,2000,69
Cape Verde,2005,70.7
Cape Verde,2010,72.5
Cape Verde,2015,73
Caribbean,1955,52
Caribbean,1960,55.3
Caribbean,1965,58.4
Caribbean,1970,61
Caribbean,1975,63
Caribbean,1980,64.5
Caribbean,1985,65.5
Caribbean,1990,66.8
Caribbean,1995,67.7
Caribbean,2000,68.9
Caribbean,2005,70
Caribbean,2010,71.3
Caribbean,2015,72.4
Central African Republic,1955,33.4
Central African Republic,1960,35.5
Central African Republic,1965,37.6
Central African Republic,1970,40.2
Central African Republic,1975,43.9
Central African Republic,1980,47.6
Central African Republic,1985,49.6
Central African Republic,1990,49.6
Central African Republic,1995,48.1
Central African Republic,2000,45.7
Central African Republic,2005,44.2
Central African Republic,2010,46.1
Central African Republic,2015,49.5
Central America,1955,49
Central America,1960,53.2
Central America,1965,56.4
Central America,1970,58.6
Central America,1975,61.1
Central America,1980,63.6
Central America,1985,65.9
Central America,1990,68.3
Central America,1995,70.5
Central America,2000,72.5
Central America,2005,73.9
Central America,2010,74.8
Central America,2015,75.7
Central Asia,1955,54.6
Central Asia,1960,56.8
Central Asia,1965,58.9
Central Asia,1970,60.9
Central Asia,1975,62.5
Central Asia,1980,63.6
Central Asia,1985,65
Central Asia,1990,66.3
Central Asia,1995,65
Central Asia,2000,64.3
Central Asia,2005,65.4
Central Asia,2010,66.5
Central Asia,2015,68.4
Chad,1955,36.1
Chad,1960,37.4
Chad,1965,38.7
Chad,1970,40.1
Chad,1975,42.5
Chad,1980,44
Chad,1985,45.4
Chad,1990,46.6
Chad,1995,47.1
Chad,2000,47.6
Chad,2005,47.7
Chad,2010,48.7
Chad,2015,51.1
Channel Islands,1955,69.2
Channel Islands,1960,70.5
Channel Islands,1965,70.9
Channel Islands,1970,71.6
Channel Islands,1975,72.1
Channel Islands,1980,72.9
Channel Islands,1985,74
Channel Islands,1990,74.9
Channel Islands,1995,76.1
Channel Islands,2000,77
Channel Islands,2005,78.3
Channel Islands,2010,79.6
Channel Islands,2015,80.4
Chile,1955,53.6
Chile,1960,56.2
Chile,1965,58.8
Chile,1970,61.5
Chile,1975,64.1
Chile,1980,66.7
Chile,1985,69.2
Chile,1990,71.6
Chile,1995,73.8
Chile,2000,75.9
Chile,2005,77.9
Chile,2010,79.6
Chile,2015,81.2
China,1955,43.4
China,1960,44
China,1965,44.1
China,1970,55.1
China,1975,61.3
China,1980,65.2
China,1985,67.4
China,1990,68.6
China,1995,69.4
China,2000,70.6
China,2005,72.9
China,2010,74.4
China,2015,75.4
Colombia,1955,50.6
Colombia,1960,55.2
Colombia,1965,57.9
Colombia,1970,60.1
Colombia,1975,61.8
Colombia,1980,64
Colombia,1985,66.9
Colombia,1990,68
Colombia,1995,68.7
Colombia,2000,70.3
Colombia,2005,71.7
Colombia,2010,72.9
Colombia,2015,73.7
Comoros,1955,38.7
Comoros,1960,40.5
Comoros,1965,42.5
Comoros,1970,44.5
Comoros,1975,46.8
Comoros,1980,49.1
Comoros,1985,52.3
Comoros,1990,55.3
Comoros,1995,57.8
Comoros,2000,59.3
Comoros,2005,59.6
Comoros,2010,60.9
Comoros,2015,62.8
Congo,1955,43.2
Congo,1960,46.8
Congo,1965,50.2
Congo,1970,52.5
Congo,1975,54.1
Congo,1980,55.4
Congo,1985,56.5
Congo,1990,56
Congo,1995,53.8
Congo,2000,51.1
Congo,2005,51.4
Congo,2010,56.5
Congo,2015,61.4
Costa Rica,1955,56
Costa Rica,1960,58.8
Costa Rica,1965,62.4
Costa Rica,1970,65.2
Costa Rica,1975,67.7
Costa Rica,1980,70.5
Costa Rica,1985,73.4
Costa Rica,1990,75.1
Costa Rica,1995,76.1
Costa Rica,2000,77
Costa Rica,2005,77.8
Costa Rica,2010,78.4
Costa Rica,2015,79.2
Cote d'Ivoire,1955,32.1
Cote d'Ivoire,1960,35.1
Cote d'Ivoire,1965,38.7
Cote d'Ivoire,1970,41.6
Cote d'Ivoire,1975,45.8
Cote d'Ivoire,1980,49.2
Cote d'Ivoire,1985,51.6
Cote d'Ivoire,1990,52.8
Cote d'Ivoire,1995,51.4
Cote d'Ivoire,2000,47.6
Cote d'Ivoire,2005,46.7
Cote d'Ivoire,2010,49.2
Cote d'Ivoire,2015,51
Croatia,1955,61.3
Croatia,1960,63.6
Croatia,1965,65.7
Croatia,1970,67.5
Croatia,1975,69.1
Croatia,1980,69.9
Croatia,1985,70.6
Croatia,1990,71.9
Croatia,1995,72.8
Croatia,2000,74.6
Croatia,2005,74.9
Croatia,2010,76.1
Croatia,2015,77
Cuba,1955,59.4
Cuba,1960,62.3
Cuba,1965,65.3
Cuba,1970,68.5
Cuba,1975,71
Cuba,1980,73.1
Cuba,1985,74.2
Cuba,1990,74.6
Cuba,1995,74.8
Cuba,2000,76.2
Cuba,2005,77.2
Cuba,2010,78.7
Cuba,2015,79.2
Cura�ao,1955,60.7
Cura�ao,1960,64.3
Cura�ao,1965,66.5
Cura�ao,1970,68.2
Cura�ao,1975,69.9
Cura�ao,1980,72.2
Cura�ao,1985,73.7
Cura�ao,1990,74.4
Cura�ao,1995,74.5
Cura�ao,2000,74.6
Cura�ao,2005,75
Cura�ao,2010,76.1
Cura�ao,2015,77.8
Cyprus,1955,66.7
Cyprus,1960,68.7
Cyprus,1965,70.4
Cyprus,1970,71.9
Cyprus,1975,73.2
Cyprus,1980,74.3
Cyprus,1985,75.3
Cyprus,1990,76.1
Cyprus,1995,76.9
Cyprus,2000,77.7
Cyprus,2005,78.3
Cyprus,2010,79
Cyprus,2015,79.9
Czech Republic,1955,66.4
Czech Republic,1960,69.4
Czech Republic,1965,70.4
Czech Republic,1970,70
Czech Republic,1975,69.9
Czech Republic,1980,70.6
Czech Republic,1985,70.7
Czech Republic,1990,71.4
Czech Republic,1995,72.3
Czech Republic,2000,74
Czech Republic,2005,75.4
Czech Republic,2010,76.9
Czech Republic,2015,78.3
Democratic Republic of Congo,1955,39.1
Democratic Republic of Congo,1960,40.5
Democratic Republic of Congo,1965,41.6
Democratic Republic of Congo,1970,43
Democratic Republic of Congo,1975,44.8
Democratic Republic of Congo,1980,45.6
Democratic Republic of Congo,1985,47.1
Democratic Republic of Congo,1990,48.2
Democratic Republic of Congo,1995,49.6
Democratic Republic of Congo,2000,48.9
Democratic Republic of Congo,2005,51.8
Democratic Republic of Congo,2010,55.5
Democratic Republic of Congo,2015,58.1
Denmark,1955,70.9
Denmark,1960,72.1
Denmark,1965,72.4
Denmark,1970,72.9
Denmark,1975,73.6
Denmark,1980,74.3
Denmark,1985,74.4
Denmark,1990,74.7
Denmark,1995,75.2
Denmark,2000,76
Denmark,2005,77.3
Denmark,2010,78.6
Denmark,2015,80
Djibouti,1955,41
Djibouti,1960,42.9
Djibouti,1965,45.2
Djibouti,1970,47.3
Djibouti,1975,50.9
Djibouti,1980,52.6
Djibouti,1985,54.7
Djibouti,1990,56.1
Djibouti,1995,57
Djibouti,2000,57
Djibouti,2005,57.3
Djibouti,2010,59.1
Djibouti,2015,61.6
Dominican Republic,1955,46
Dominican Republic,1960,49.9
Dominican Republic,1965,53.6
Dominican Republic,1970,56.9
Dominican Republic,1975,59.8
Dominican Republic,1980,62
Dominican Republic,1985,64
Dominican Republic,1990,66.5
Dominican Republic,1995,69
Dominican Republic,2000,70
Dominican Republic,2005,71.1
Dominican Republic,2010,72.2
Dominican Republic,2015,73.2
Eastern Africa,1955,37
Eastern Africa,1960,39.4
Eastern Africa,1965,42
Eastern Africa,1970,44.1
Eastern Africa,1975,45.9
Eastern Africa,1980,47.5
Eastern Africa,1985,48.1
Eastern Africa,1990,48.8
Eastern Africa,1995,47.4
Eastern Africa,2000,49
Eastern Africa,2005,51.2
Eastern Africa,2010,56.2
Eastern Africa,2015,60.5
Eastern Asia,1955,45.2
Eastern Asia,1960,46.2
Eastern Asia,1965,46.6
Eastern Asia,1970,56.7
Eastern Asia,1975,62.6
Eastern Asia,1980,66.3
Eastern Asia,1985,68.5
Eastern Asia,1990,69.7
Eastern Asia,1995,70.6
Eastern Asia,2000,71.7
Eastern Asia,2005,74
Eastern Asia,2010,75.6
Eastern Asia,2015,76.6
Eastern Europe,1955,60.3
Eastern Europe,1960,65.5
Eastern Europe,1965,68.4
Eastern Europe,1970,69
Eastern Europe,1975,69.2
Eastern Europe,1980,68.8
Eastern Europe,1985,68.7
Eastern Europe,1990,69.8
Eastern Europe,1995,68.3
Eastern Europe,2000,67.8
Eastern Europe,2005,67.9
Eastern Europe,2010,69.5
Eastern Europe,2015,71.9
Ecuador,1955,48.7
Ecuador,1960,51.6
Ecuador,1965,54.7
Ecuador,1970,56.8
Ecuador,1975,58.9
Ecuador,1980,61.7
Ecuador,1985,64.6
Ecuador,1990,67.6
Ecuador,1995,70.2
Ecuador,2000,72.1
Ecuador,2005,73.6
Ecuador,2010,74.6
Ecuador,2015,75.5
Egypt,1955,41.1
Egypt,1960,46.3
Egypt,1965,49.3
Egypt,1970,51.6
Egypt,1975,53
Egypt,1980,56.8
Egypt,1985,59.9
Egypt,1990,63.5
Egypt,1995,65.4
Egypt,2000,68
Egypt,2005,69
Egypt,2010,69.9
Egypt,2015,70.8
El Salvador,1955,44.3
El Salvador,1960,48.1
El Salvador,1965,51.6
El Salvador,1970,53.9
El Salvador,1975,55.8
El Salvador,1980,56.2
El Salvador,1985,57.1
El Salvador,1990,61.6
El Salvador,1995,66.1
El Salvador,2000,68
El Salvador,2005,69.6
El Salvador,2010,71.1
El Salvador,2015,72.6
Equatorial Guinea,1955,34.5
Equatorial Guinea,1960,36
Equatorial Guinea,1965,37.5
Equatorial Guinea,1970,39
Equatorial Guinea,1975,40.5
Equatorial Guinea,1980,42.1
Equatorial Guinea,1985,45.6
Equatorial Guinea,1990,47.2
Equatorial Guinea,1995,49.2
Equatorial Guinea,2000,51.3
Equatorial Guinea,2005,52.8
Equatorial Guinea,2010,54.6
Equatorial Guinea,2015,57.1
Eritrea,1955,35.8
Eritrea,1960,36.8
Eritrea,1965,38
Eritrea,1970,39.6
Eritrea,1975,41.4
Eritrea,1980,42.9
Eritrea,1985,44
Eritrea,1990,46.5
Eritrea,1995,50.3
Eritrea,2000,54.5
Eritrea,2005,57.4
Eritrea,2010,59.9
Eritrea,2015,63.1
Estonia,1955,61.8
Estonia,1960,66.9
Estonia,1965,69.4
Estonia,1970,70.3
Estonia,1975,70.3
Estonia,1980,69.4
Estonia,1985,69.3
Estonia,1990,70.3
Estonia,1995,68.5
Estonia,2000,69.4
Estonia,2005,71.6
Estonia,2010,73.8
Estonia,2015,76.5
Ethiopia,1955,34.1
Ethiopia,1960,36.7
Ethiopia,1965,40.1
Ethiopia,1970,42.1
Ethiopia,1975,43.5
Ethiopia,1980,44.3
Ethiopia,1985,43.5
Ethiopia,1990,46.2
Ethiopia,1995,48.1
Ethiopia,2000,50.7
Ethiopia,2005,53.6
Ethiopia,2010,59.1
Ethiopia,2015,63.1
Europe,1955,63.6
Europe,1960,67.1
Europe,1965,69.2
Europe,1970,70
Europe,1975,70.6
Europe,1980,71
Europe,1985,71.6
Europe,1990,72.8
Europe,1995,72.6
Europe,2000,73.1
Europe,2005,73.8
Europe,2010,75.3
Europe,2015,77
Fiji,1955,52.2
Fiji,1960,54.7
Fiji,1965,56.9
Fiji,1970,58.9
Fiji,1975,60.7
Fiji,1980,62.2
Fiji,1985,63.7
Fiji,1990,64.9
Fiji,1995,66.1
Fiji,2000,67.1
Fiji,2005,68
Fiji,2010,68.8
Fiji,2015,69.7
Finland,1955,66.1
Finland,1960,68
Finland,1965,69.1
Finland,1970,69.6
Finland,1975,70.8
Finland,1980,72.5
Finland,1985,74.3
Finland,1990,74.7
Finland,1995,75.7
Finland,2000,77
Finland,2005,78.3
Finland,2010,79.5
Finland,2015,80.5
France,1955,67.1
France,1960,69.2
France,1965,70.7
France,1970,71.3
France,1975,72.3
France,1980,73.5
France,1985,74.6
France,1990,75.9
France,1995,77.2
France,2000,78.3
France,2005,79.4
France,2010,80.8
France,2015,81.8
French Guiana,1955,53.3
French Guiana,1960,56.1
French Guiana,1965,59.5
French Guiana,1970,64.4
French Guiana,1975,65.7
French Guiana,1980,66.5
French Guiana,1985,69.2
French Guiana,1990,71.1
French Guiana,1995,72.8
French Guiana,2000,74.2
French Guiana,2005,76.1
French Guiana,2010,78
French Guiana,2015,79
French Polynesia,1955,48.9
French Polynesia,1960,54.9
French Polynesia,1965,57.1
French Polynesia,1970,59.3
French Polynesia,1975,61
French Polynesia,1980,62.8
French Polynesia,1985,66.3
French Polynesia,1990,68
French Polynesia,1995,69.5
French Polynesia,2000,71.4
French Polynesia,2005,73.2
French Polynesia,2010,75
French Polynesia,2015,76.1
Gabon,1955,37
Gabon,1960,39
Gabon,1965,40.5
Gabon,1970,44.6
Gabon,1975,48.8
Gabon,1980,52.9
Gabon,1985,57
Gabon,1990,60.7
Gabon,1995,61.2
Gabon,2000,60.3
Gabon,2005,58.9
Gabon,2010,60.8
Gabon,2015,63.7
Gambia,1955,30.3
Gambia,1960,31.5
Gambia,1965,32.8
Gambia,1970,35.8
Gambia,1975,40
Gambia,1980,44.2
Gambia,1985,48.2
Gambia,1990,51.3
Gambia,1995,52.7
Gambia,2000,54.3
Gambia,2005,56.8
Gambia,2010,58.7
Gambia,2015,59.8
Georgia,1955,60.6
Georgia,1960,62.6
Georgia,1965,64.7
Georgia,1970,66.7
Georgia,1975,68.2
Georgia,1980,69.6
Georgia,1985,69.6
Georgia,1990,70.5
Georgia,1995,70.1
Georgia,2000,71.1
Georgia,2005,72.6
Georgia,2010,73.7
Georgia,2015,74.6
Germany,1955,67.5
Germany,1960,68.9
Germany,1965,70
Germany,1970,70.7
Germany,1975,71.2
Germany,1980,72.3
Germany,1985,73.7
Germany,1990,75
Germany,1995,75.9
Germany,2000,77.2
Germany,2005,78.6
Germany,2010,79.8
Germany,2015,80.6
Ghana,1955,42.2
Ghana,1960,44.7
Ghana,1965,46.9
Ghana,1970,48.6
Ghana,1975,50
Ghana,1980,51.6
Ghana,1985,53
Ghana,1990,55.3
Ghana,1995,57.8
Ghana,2000,57
Ghana,2005,57.5
Ghana,2010,60
Ghana,2015,61
Greece,1955,65.7
Greece,1960,67.2
Greece,1965,69.2
Greece,1970,70.1
Greece,1975,71.8
Greece,1980,72.8
Greece,1985,74.5
Greece,1990,75.7
Greece,1995,77.4
Greece,2000,78
Greece,2005,79.1
Greece,2010,79.8
Greece,2015,80.6
Grenada,1955,56.3
Grenada,1960,58.9
Grenada,1965,61.1
Grenada,1970,63
Grenada,1975,64.6
Grenada,1980,66
Grenada,1985,67.1
Grenada,1990,68.2
Grenada,1995,69
Grenada,2000,69.8
Grenada,2005,70.9
Grenada,2010,72
Grenada,2015,73.2
Guadeloupe,1955,53.3
Guadeloupe,1960,57.2
Guadeloupe,1965,60.5
Guadeloupe,1970,63.6
Guadeloupe,1975,66.2
Guadeloupe,1980,68.6
Guadeloupe,1985,70.8
Guadeloupe,1990,72.8
Guadeloupe,1995,74.6
Guadeloupe,2000,76.3
Guadeloupe,2005,77.9
Guadeloupe,2010,79.4
Guadeloupe,2015,80.5
Guam,1955,57.1
Guam,1960,59.7
Guam,1965,62.2
Guam,1970,64.6
Guam,1975,66.7
Guam,1980,68.4
Guam,1985,70
Guam,1990,71.3
Guam,1995,72.5
Guam,2000,74.1
Guam,2005,75.9
Guam,2010,77.4
Guam,2015,78.7
Guatemala,1955,42
Guatemala,1960,44.2
Guatemala,1965,47
Guatemala,1970,50.1
Guatemala,1975,53.8
Guatemala,1980,56.1
Guatemala,1985,58.3
Guatemala,1990,60.9
Guatemala,1995,63.6
Guatemala,2000,66.4
Guatemala,2005,69
Guatemala,2010,70.3
Guatemala,2015,71.5
Guinea,1955,33.1
Guinea,1960,34.3
Guinea,1965,35.4
Guinea,1970,36.1
Guinea,1975,37.4
Guinea,1980,39.9
Guinea,1985,43.1
Guinea,1990,47.9
Guinea,1995,51.3
Guinea,2000,51.6
Guinea,2005,51.3
Guinea,2010,54.5
Guinea,2015,58
Guinea-Bissau,1955,35.9
Guinea-Bissau,1960,37.2
Guinea-Bissau,1965,38.6
Guinea-Bissau,1970,40.6
Guinea-Bissau,1975,42.5
Guinea-Bissau,1980,44.5
Guinea-Bissau,1985,46.6
Guinea-Bissau,1990,48.2
Guinea-Bissau,1995,49.9
Guinea-Bissau,2000,51.1
Guinea-Bissau,2005,51.9
Guinea-Bissau,2010,53
Guinea-Bissau,2015,54.7
Guyana,1955,58.8
Guyana,1960,59.8
Guyana,1965,60.7
Guyana,1970,61.6
Guyana,1975,62
Guyana,1980,62.4
Guyana,1985,62.8
Guyana,1990,63.2
Guyana,1995,63.8
Guyana,2000,64.6
Guyana,2005,65.3
Guyana,2010,65.8
Guyana,2015,66.3
Haiti,1955,37.5
Haiti,1960,40.6
