Entity,Year,Unemployment
Slovak Republic,2015,..
Slovenia,1980,..
Slovenia,1985,..
Slovenia,1990,..
Slovenia,1995,..
Slovenia,2000,0.9
Slovenia,2005,0.6
Slovenia,2010,0.5
Slovenia,2013,0.7
Slovenia,2014,..
Slovenia,2015,..
Spain,1980,1.9
Spain,1985,2.7
Spain,1990,3.1
Spain,1995,3.1
Spain,2000,1.6
Spain,2005,1.8
Spain,2010,3.2
Spain,2013,3.1
Spain,2014,..
Spain,2015,..
Sweden,1980,0.3
Sweden,1985,0.8
Sweden,1990,0.8
Sweden,1995,2.2
Sweden,2000,1.3
Sweden,2005,1.1
Sweden,2010,0.6
Sweden,2013,0.5
Sweden,2014,..
Sweden,2015,..
Switzerland,1980,0.1
Switzerland,1985,0.2
Switzerland,1990,0.1
Switzerland,1995,1
Switzerland,2000,0.5
Switzerland,2005,0.9
Switzerland,2010,1
Switzerland,2013,0.8
Switzerland,2014,..
Switzerland,2015,..
Turkey,1980,0.3
Turkey,1985,0.3
Turkey,1990,0.4
Turkey,1995,0.5
Turkey,2000,0
Turkey,2005,0.1
Turkey,2010,0.1
Turkey,2013,0.1
Turkey,2014,..
Turkey,2015,..
United Kingdom,1980,1.2
United Kingdom,1985,1.9
United Kingdom,1990,0.7
United Kingdom,1995,0.8
United Kingdom,2000,0.3
United Kingdom,2005,0.2
United Kingdom,2010,0.4
United Kingdom,2013,0.3
United Kingdom,2014,..
United Kingdom,2015,..
United States,1980,0.7
United States,1985,0.4
United States,1990,0.4
United States,1995,0.3
United States,2000,0.2
United States,2005,0.3
United States,2010,1.1
United States,2013,0.4
United States,2014,..
United States,2015,..
