Entity,Year,Share of agriculture in GDP at current prices (Herrendorf et al. data),Share of industry in GDP at current prices (Herrendorf et al. data),Share of services in GDP at current prices (Herrendorf et al. data),Number of people employed in agriculture  (Herrendorf et al. data),Number of people employed in industry  (Herrendorf et al. data),Number of people employed in services (Herrendorf et al. data)
Finland,1940,29.46,33.1,37.44,1158000,375000,338000
Finland,1941,32.82,32.68,34.5,,,
Finland,1942,33.92,32.91,33.17,,,
Finland,1943,42.17,34.53,23.29,,,
Finland,1944,38.51,27.18,34.32,,,
Finland,1947,51.71,44.89,3.39,,,
Finland,1948,42.98,51.42,5.6,,,
Finland,1949,29.36,42.21,28.43,,,
Finland,1950,32.39,50.5,17.11,912000,550000,494000
Finland,1951,38.96,59.49,1.55,,,
Finland,1952,30.23,36.41,33.36,,,
Finland,1953,24.24,37.76,38,,,
Finland,1954,26.33,44.48,29.18,,,
Finland,1955,26.58,44.08,29.33,,,
Finland,1956,23.55,42.33,34.12,,,
Finland,1957,21.49,41.44,37.07,,,
Finland,1958,22.05,41.52,36.43,,,
Finland,1959,20.9,42.28,36.82,,,
Finland,1960,21.23,44.46,34.31,721000,640000,666000
Finland,1961,18.96,38.03,43.01,,,
Finland,1962,16.82,37.7,45.48,,,
Finland,1963,16.23,37.21,46.57,,,
Finland,1964,16.34,36.64,47.02,,,
Finland,1965,15.98,36.49,47.53,,,
Finland,1966,14.27,36.68,49.04,,,
Finland,1967,13.41,36.55,50.04,,,
Finland,1968,13.67,36.63,49.7,,,
Finland,1969,13.2,38.46,48.33,,,
Finland,1970,9.89,39.78,50.33,471500,736600,1052300
Finland,1971,12.37,38.68,48.95,444900,736100,1063300
Finland,1972,11.04,39.97,48.99,419200,763600,1092300
Finland,1973,10.67,40.83,48.51,394300,805300,1123700
Finland,1974,10.2,42.79,47,369900,806500,1150000
Finland,1975,10.54,39.56,49.9,348300,800800,1174000
Finland,1976,9.84,38.1,52.06,336900,769300,1195500
Finland,1977,9.68,37.64,52.69,316500,743200,1200300
Finland,1978,9.02,38.09,52.89,304000,721200,1213800
Finland,1979,9.02,38.69,52.29,306100,739600,1242200
Finland,1980,9.49,38.44,52.07,308600,769000,1276800
Finland,1981,8.67,38.01,53.32,305800,765900,1312500
Finland,1982,8.72,37.11,54.17,310500,760000,1340400
Finland,1983,8.42,36.94,54.63,300500,755300,1364000
Finland,1984,8.43,36.52,55.05,298000,749000,1387700
Finland,1985,8.03,35.38,56.59,281900,740500,1416000
Finland,1986,7.4,34.73,57.87,267800,726900,1436000
Finland,1987,6.4,35.16,58.44,254800,718400,1471100
Finland,1988,6.31,35.33,58.36,243700,718400,1507000
Finland,1989,6.55,35.57,57.89,223700,726700,1541900
Finland,1990,6.63,33.71,59.67,213200,720500,1546900
Finland,1991,5.76,30.09,64.15,202500,649200,1489200
Finland,1992,5.09,29.69,65.22,188000,579000,1408700
Finland,1993,5.22,30.5,64.28,174800,529900,1341000
Finland,1994,5.58,31.48,62.95,170600,519100,1327900
Finland,1995,4.78,33.06,62.17,161400,537900,1353700
Finland,1996,4.29,31.67,64.04,152700,545400,1383100
Finland,1997,4.25,32.32,63.44,149900,572200,1427700
Finland,1998,3.82,33.37,62.81,138800,590200,1463300
Finland,1999,3.76,33.02,63.22,139800,605600,1501600
Finland,2000,3.62,34.14,62.24,136800,620100,1539700
Finland,2001,3.36,33.5,63.14,131400,621000,1578000.01
Finland,2002,,,,126600,613000,1612999.95
Finland,2003,,,,124300,602600.02,1628200.01
Finland,2004,,,,121800,594599.993,1648399.971
Finland,2005,,,,121300,602897.4457,1672578.828
Finland,2006,,,,121700,613797.7669,1703616.462
Finland,2007,,,,122000,628596.4935,1742379.607
France,1815,37.3,36.73,25.98,,,
France,1816,43.16,33.8,23.04,,,
France,1817,49.72,29.23,21.04,,,
France,1818,42.42,35.71,21.87,,,
France,1819,41.9,35.08,23.01,,,
France,1820,40.57,36.28,23.16,,,
France,1821,40.61,36.46,22.93,,,
France,1822,35.71,40.68,23.61,,,
France,1823,39.42,36.87,23.71,,,
France,1824,39.29,37.3,23.41,,,
France,1825,36.4,40.94,22.66,,,
France,1826,37.88,39.22,22.91,,,
France,1827,38.74,38.93,22.33,,,
France,1828,39.17,38.38,22.45,,,
France,1829,40.48,37.98,21.53,,,
France,1830,40.02,38.77,21.21,,,
France,1831,40.96,36.73,22.31,,,
France,1832,44.15,34.07,21.78,,,
France,1833,38.51,39.23,22.27,,,
France,1834,37.49,40.34,22.18,,,
France,1835,36.51,41.69,21.8,,,
France,1836,32.35,45.84,21.81,,,
France,1837,35.45,42.03,22.52,,,
France,1838,34.58,43.28,22.13,,,
France,1839,34.26,42.72,23.02,,,
France,1840,36.95,40.61,22.44,,,
France,1841,34.22,42.17,23.61,,,
France,1842,34.04,42.73,23.23,,,
France,1843,35.56,40.97,23.47,,,
France,1844,35.86,41.02,23.12,,,
France,1845,34.09,42.77,23.14,,,
France,1846,33.97,43.47,22.56,,,
France,1847,40.28,38.19,21.53,,,
France,1848,39.9,35.9,24.19,,,
France,1849,33.16,43.35,23.48,,,
France,1850,31.8,44.7,23.5,,,
France,1851,32.31,43.79,23.9,,,
France,1852,34.1,43.01,22.89,,,
France,1853,32.51,44.1,23.4,,,
France,1854,35.26,41.93,22.8,,,
France,1855,34.78,41.53,23.69,,,
France,1856,34.91,41.91,23.18,7305000,3793000,3025000
France,1857,39.05,38.04,22.91,,,
France,1858,39.63,36.75,23.63,,,
France,1859,37.05,38.24,24.71,,,
France,1860,38.72,38.02,23.26,,,
France,1861,35.67,40.77,23.56,,,
France,1862,39.34,37.24,23.42,,,
France,1863,38.98,37.41,23.61,,,
France,1864,38.19,38.01,23.8,,,
France,1865,36.38,38.59,25.03,,,
France,1866,35.95,39.78,24.27,7536000,3861000,3370000
France,1867,33.27,41.69,25.05,,,
France,1868,37.11,39.23,23.67,,,
France,1869,37.7,38.86,23.43,,,
France,1870,39.41,35.11,25.49,,,
France,1871,39.69,32.74,27.57,,,
France,1872,36.96,37.26,25.77,,,
France,1873,32.98,40.27,26.76,,,
France,1874,36.12,37.69,26.19,,,
France,1875,33.79,39.39,26.82,,,
France,1876,31.65,40.09,28.26,,,
France,1877,33.89,38.22,27.89,,,
France,1878,33.55,37.24,29.22,,,
France,1879,30.44,38.53,31.02,,,
France,1880,31.97,37.68,30.35,,,
France,1881,30.33,39.51,30.15,,,
France,1882,30.7,39.27,30.03,,,
France,1883,30.73,38.57,30.7,,,
France,1884,30.72,37.81,31.47,,,
France,1885,29.52,37.15,33.33,,,
France,1886,28.14,38.04,33.83,7846000,4295000,4567000
France,1887,27.43,38.01,34.56,,,
France,1888,26.92,38.53,34.55,,,
France,1889,25.05,40.7,34.25,,,
France,1890,27.28,39.02,33.7,,,
France,1891,26.1,39.79,34.11,,,
France,1892,25.99,39.33,34.68,,,
France,1893,26.61,38.06,35.32,,,
France,1894,27.75,36.66,35.6,,,
France,1895,27.36,35.8,36.84,,,
France,1896,25.38,38.11,36.5,8501000,5394000,5036000
France,1897,23.67,40.28,36.05,,,
France,1898,26.91,37.5,35.59,,,
France,1899,25.41,38.9,35.69,,,
France,1900,27.55,36.17,36.27,,,
France,1901,23.96,38.75,37.29,8245000,5847000,5812000
France,1902,25.15,37.9,36.96,,,
France,1903,26.16,37.62,36.22,,,
France,1904,25.52,37.67,36.81,,,
France,1905,25.12,37.18,37.7,,,
France,1906,24.53,38.51,36.96,8855000,6053000,5821000
France,1907,25.36,38.58,36.06,,,
France,1908,25.19,37.65,37.16,,,
France,1909,25.4,38.14,36.45,,,
France,1910,26.57,36.73,36.7,,,
France,1911,26.59,37.89,35.52,8572000,6931000,5429000
France,1912,26.8,38.67,34.53,,,
France,1913,26.27,38.76,34.97,,,
France,1920,22.73,49.19,28.08,,,
France,1921,25.35,39.51,35.14,9023000,6371000,6323000
France,1922,21.07,44.4,34.52,,,
France,1923,20.25,46.76,32.98,,,
France,1924,20.34,47.38,32.29,,,
France,1925,20.04,47.57,32.39,,,
France,1926,20.44,47.48,32.08,8200000,7021000,6176000
France,1927,21.71,44.05,34.25,,,
France,1928,21.19,43.93,34.87,,,
France,1929,20.24,44.3,35.46,,,
France,1930,19.86,44.22,35.92,,,
France,1931,21.14,39.57,39.29,7704000,7195000,6715000
France,1932,25.08,34.28,40.65,,,
France,1933,21.32,37.64,41.05,,,
France,1934,21.42,35.33,43.25,,,
France,1935,18.03,36.2,45.77,,,
France,1936,21.72,35.05,43.23,7204000,6182000,6877000
France,1938,20.05,39.26,40.69,,,
France,1946,,,,7484000,6186000,7124000
France,1954,,,,5195000,7003000,7550000
France,1962,,,,3907000,7426000,8160000
France,1968,,,,3133000,8087000,8782000
France,1970,9.64,38.22,52.14,2842823.419,7494729.733,10533637.97
France,1971,9.2,38.17,52.63,2699836.65,7525567.567,10743241.8
France,1972,10.04,37.44,52.53,2553243.488,7573049.921,10988698.06
France,1973,9.87,37.54,52.59,2425554.341,7695992.292,11297179.97
France,1974,8.37,37.55,54.07,2319525.058,7734684.564,11590422.24
France,1975,7.48,36.33,56.19,2227155.572,7497638.58,11743202.46
France,1976,7.02,36.34,56.65,2143763.904,7444960.211,12121229.14
France,1977,6.63,35.66,57.71,2063989.497,7405835.67,12464425.9
France,1978,6.67,35.09,58.24,2002053.295,7285673.431,12745006.72
France,1979,6.77,34.51,58.72,1950420.626,7193017.918,13001861.4
France,1980,6.03,34.48,59.48,1890627.592,7138653.356,13173372.93
France,1981,5.96,33.37,60.67,1822389.621,6919852.866,13376062.63
France,1982,6.71,32.15,61.15,1757923.365,6798498.694,13588512.33
France,1983,5.79,31.58,62.63,1698831.12,6608331.966,13769271.89
France,1984,5.45,30.81,63.75,1642774.112,6344934.838,14038654.86
France,1985,5.47,30.49,64.04,1585639.773,6159997.686,14111551.47
France,1986,5.33,30.28,64.4,1534551.128,6072384.254,14332437.18
France,1987,5,29.94,65.06,1476537.629,5963969.1,14665982.81
France,1988,4.69,30.05,65.26,1420838.517,5927442.113,14959214.53
France,1989,5.12,29.66,65.22,1363824.989,5978264.131,15340701.7
France,1990,5.12,29.3,65.58,1300400,5987200,15575800
France,1991,4.17,28.97,66.85,1242200,5892800,15752600
France,1992,4.26,28.41,67.33,1190400,5684700,15879000
France,1993,4,26.79,69.21,1134000,5386700,15940400
France,1994,4.33,26.23,69.44,1084300,5229500,16181200
France,1995,4.32,26.35,69.33,1051100,5230900,16411900
France,1996,4.29,25.45,70.25,1026600,5153200,16599700
France,1997,4.19,25.48,70.32,1011300,5068300,16799900
France,1998,4.21,25.31,70.48,998800,5052900,17175500
France,1999,3.99,28.01,68,981500,5062200,17652600
France,2000,3.76,28.29,67.94,961100,5157300,18214200
France,2001,3.81,27.84,68.35,945300,5228000,18591300
France,2002,3.61,26.78,69.61,928300,5177300,18813500
France,2003,3.32,26.2,70.48,912200,5103600,18934000
France,2004,3.33,26.08,70.6,905600,5022400,19048700
France,2005,3.14,26.19,70.67,895918.1748,5011346.622,19204600.38
France,2006,2.91,26.06,71.03,875656.2107,5018736.256,19455915.15
France,2007,3.09,26.46,70.45,851903.7098,5051018.547,19785540.03
France,2008,2.86,26.23,70.91,,,
France,2009,2.46,24.31,73.23,,,
France,2010,2.88,23.29,73.83,,,
France,2011,2.91,23.11,73.98,,,
Japan,1872,,,,14495000,833000,1746000
Japan,1880,,,,16076000,1290000,2175000
Japan,1885,42.94,13.93,43.12,,,
Japan,1886,42.09,14.83,43.07,,,
Japan,1887,40.01,16.69,43.3,,,
Japan,1888,38.35,17.36,44.29,,,
Japan,1889,37.32,19.2,43.48,,,
Japan,1890,46.04,14.6,39.36,17198000,2340000,3045000
Japan,1891,42.02,15.77,42.2,,,
Japan,1892,42.16,15.39,42.45,,,
Japan,1893,40.63,16.7,42.67,,,
Japan,1894,43.14,15.91,40.95,,,
Japan,1895,40.72,17.4,41.87,,,
Japan,1896,38.24,19.79,41.97,,,
Japan,1897,36.94,21.37,41.69,,,
Japan,1898,43.43,18.85,37.72,,,
Japan,1899,37.63,22.5,39.87,,,
Japan,1900,37.73,20.47,41.8,17331000,3427000,4010000
Japan,1901,37.66,20.56,41.78,,,
Japan,1902,35.71,20.28,44.01,,,
Japan,1903,39.35,19.14,41.51,,,
Japan,1904,38.57,17.81,43.62,,,
Japan,1905,31.47,20.44,48.09,,,
Japan,1906,34.3,22.37,43.32,,,
Japan,1907,36.33,24.09,39.58,,,
Japan,1908,35.76,22.69,41.55,,,
Japan,1909,32.69,24.16,43.16,,,
Japan,1910,30.84,25.33,43.83,16489000,4619000,5061000
Japan,1911,35.1,22.92,41.97,,,
Japan,1912,36.65,22.96,40.39,,,
Japan,1913,35.95,24.63,39.42,,,
Japan,1914,30.51,27.03,42.46,,,
Japan,1915,27.77,29.93,42.3,,,
Japan,1916,26.7,32.6,40.71,,,
Japan,1917,27.65,32.93,39.42,,,
Japan,1918,31.57,34.13,34.3,,,
Japan,1919,35.06,30.45,34.49,,,
Japan,1920,29.52,29.87,40.6,14441000,5668000,6445000
Japan,1921,28.31,27.85,43.83,,,
Japan,1922,25.11,29.21,45.69,,,
Japan,1923,25.88,29.1,45.02,,,
Japan,1924,26.65,28.86,44.49,,,
Japan,1925,26.92,28.77,44.31,,,
Japan,1926,23.62,29.39,46.99,,,
Japan,1927,23.35,30.22,46.43,,,
Japan,1928,20.92,31.96,47.12,,,
Japan,1929,20.45,33.94,45.62,,,
Japan,1930,16.56,34,49.43,14489000,6117000,8056000
Japan,1931,15.49,34.45,50.07,,,
Japan,1932,17.35,34.72,47.93,,,
Japan,1933,18.75,35.14,46.1,,,
Japan,1934,16.2,36.73,47.07,,,
Japan,1935,17.31,38.24,44.45,,,
Japan,1936,18.14,39.5,42.36,,,
Japan,1937,17.83,41.25,40.92,,,
Japan,1938,16.21,46.05,37.74,,,
Japan,1939,19.21,47.05,33.74,,,
Japan,1940,18.31,48.15,33.54,15417000,8563000,9027000
Japan,1950,,,,17158000,8100000,10382000
Japan,1953,17.12,36.71,46.17,17081689.87,9453817.654,14196613.58
Japan,1954,17.15,34.87,47.98,16569955.6,9742288.935,14903398.21
Japan,1955,18.37,32.72,48.91,16928169.58,9899853.259,15764527.38
Japan,1956,15.64,35.53,48.83,16560275.46,10569274.17,16491093.63
Japan,1957,14.92,36.4,48.68,16309301.1,11543690.58,17246142.33
Japan,1958,14.4,35.28,50.32,15737805.29,12197838.52,17986076.11
Japan,1959,13.62,36.76,49.62,15167317.41,12686762.87,18604803.06
Japan,1960,12.23,39.21,48.56,15057453.14,13486464.12,19335568.49
Japan,1961,11.41,39.72,48.86,14645210.13,14337073.54,20060201.03
Japan,1962,10.86,38.96,50.18,14220871.97,15128892.61,20912496.09
Japan,1963,10.12,39.2,50.69,13442750.68,15571945.86,22072563.64
Japan,1964,9.09,39.63,51.28,12898468.96,16147960.17,23112852.37
Japan,1965,9.1,38.33,52.57,12433813.63,16597646.18,24087359.07
Japan,1966,8.71,37.54,53.74,12127403.18,17006263.52,25200130.98
Japan,1967,8.57,38.54,52.89,11889531.91,17857048.98,25967374.47
Japan,1968,7.57,39.27,53.16,11609327.61,18065219.39,26590224.71
Japan,1969,6.71,40.44,52.85,11335170.89,18465623.41,27302276.76
Japan,1970,5.69,41.41,52.89,10821127.04,18698328.11,27912011.75
Japan,1971,4.94,41.01,54.05,10036958.19,19017920.03,28851196.31
Japan,1972,5.08,40.44,54.48,9553152.208,19184251.97,29379725.04
