Entity,Year,"Sumatran Rhino population (AfRSG & other sources, 2019)","Indian Rhino population (AfRSG & other sources, 2019)","Javan Rhino population (AfRSG & other sources, 2019)","Southern White Rhino population (AfRSG & other sources, 2019)","Northern White Rhino population (AfRSG & other sources, 2019)","White Rhino population (AfRSG & other sources, 2019)","Black Rhino population (AfRSG & other sources, 2019)"
Sudan,1998,,,,,0,,
Swaziland,1895,,,,0,,,
Swaziland,1929,,,,0,,,
Swaziland,1948,,,,0,,,
Swaziland,1968,,,,0,,,
Swaziland,1980,,,,,,,0
Swaziland,1984,,,,60,,,0
Swaziland,1987,,,,80,,,6
Swaziland,1991,,,,60,,,6
Swaziland,1992,,,,46,,,6
Swaziland,1993,,,,33,,,4
Swaziland,1995,,,,41,,,9
Swaziland,1997,,,,50,,,10
Swaziland,2005,,,,75,,,16
Swaziland,2010,,,,88,,,17
Swaziland,2017,,,,66,,,21
Tanzania,1980,,,,,,,3795
Tanzania,1984,,,,,,,3130
Tanzania,1987,,,,,,,275
Tanzania,1991,,,,,,,185
Tanzania,1992,,,,,,,127
Tanzania,1993,,,,,,,132
Tanzania,1995,,,,,,,32
Tanzania,1997,,,,,,,46
Tanzania,2005,,,,,,,101
Tanzania,2010,,,,,,,113
Tanzania,2017,,,,,,,160
Uganda,1960,,,,,80,,
Uganda,1971,,,,,2,,
Uganda,1976,,,,,2,,
Uganda,1980,,,,,,,5
Uganda,1981,,,,,2,,
Uganda,1983,,,,,2,,
Uganda,1984,,,,,0,,0
Uganda,1991,,,,,0,,3
Uganda,1992,,,,,,,0
Uganda,1995,,,,,0,,0
Uganda,1998,,,,,0,,
Uganda,2005,,,,4,,,
Uganda,2010,,,,9,,,
Uganda,2017,,,,22,,,0
Vietnam,2007,,,5,,,,
Vietnam,2009,,,1,,,,
Vietnam,2010,,,0,,,,
Vietnam,2011,,,0,,,,
Vietnam,2012,,,0,,,,
Vietnam,2013,,,0,,,,
Vietnam,2014,,,0,,,,
Vietnam,2015,,,0,,,,
Vietnam,2016,,,0,,,,
Vietnam,2017,,,0,,,,
Vietnam,2018,,,0,,,,
World,1895,,,,20,,,
World,1910,,40,,,,,
World,1929,,,,150,,,
World,1948,,,,550,,,
World,1960,,,,,2230,,100000
World,1965,,,25,,,,
World,1966,,40,,,,,
World,1968,,,,1800,,,
World,1970,,,,,,,65000
World,1971,,,,,650,,
World,1972,,670,,,,,
World,1975,,,30,,,,
World,1976,,,,,500,,
World,1980,,1250,50,,,,14785
World,1981,,,,,350,,
World,1983,,,,,70,,
World,1984,,,,3800,15,3815,8800
World,1985,600,,60,,,,
World,1986,,1711,,,,,
World,1987,,,,4665,,,3665
World,1990,,,60,,,,
World,1991,,,,5565,30,5595,3450
World,1992,,,,5790,,,2475
World,1993,,,,6760,,,2550
World,1995,300,,50,7530,31,7561,2410
World,2000,,,45,,,,
World,2005,,,40,14543,4,14547,3726
World,2007,280,2565,50,,,,
World,2009,220,2800,41,,,,
World,2010,,,40,20160,4,20164,4880
World,2012,,,,21316,4,21320,4845
World,2013,100,,58,,,,
World,2015,,,,20053,3,20056,5214
World,2016,76,3557,,,,,
World,2017,,,,18064,3,18067,5495
World,2018,76,3588,68,,,,
Zambia,1895,,,,0,,,
Zambia,1929,,,,0,,,
Zambia,1948,,,,0,,,
Zambia,1968,,,,0,,,
Zambia,1980,,,,,,,2750
Zambia,1984,,,,10,,,1650
Zambia,1987,,,,6,,,106
Zambia,1991,,,,0,,,40
Zambia,1992,,,,,,,40
Zambia,1993,,,,6,,,33
Zambia,1995,,,,5,,,0
Zambia,1997,,,,6,,,0
Zambia,2005,,,,2,,,6
Zambia,2010,,,,7,,,27
Zambia,2017,,,,14,,,48
Zimbabwe,1895,,,,0,,,
Zimbabwe,1929,,,,0,,,
Zimbabwe,1948,,,,0,,,
Zimbabwe,1968,,,,0,,,
Zimbabwe,1980,,,,,,,1400
Zimbabwe,1984,,,,200,,,1680
Zimbabwe,1987,,,,208,,,1775
Zimbabwe,1991,,,,250,,,1400
Zimbabwe,1992,,,,249,,,425
Zimbabwe,1993,,,,134,,,381
Zimbabwe,1995,,,,138,,,315
Zimbabwe,1997,,,,167,,,339
Zimbabwe,2005,,,,308,,,527
Zimbabwe,2010,,,,290,,,431
Zimbabwe,2017,,,,367,,,520
