Entity,Year,GDP per capita in 1990 Int. GK$ (Maddison-Project 2013) 
Belgium,1859,2197.5
Belgium,1860,2292.6
Belgium,1861,2310.2
Belgium,1862,2353.9
Belgium,1863,2403.8
Belgium,1864,2466.1
Belgium,1865,2448
Belgium,1866,2502.6
Belgium,1867,2497.4
Belgium,1868,2569.2
Belgium,1869,2662.6
Belgium,1870,2691.5
Belgium,1871,2682.5
Belgium,1872,2823.6
Belgium,1873,2820.1
Belgium,1874,2889.8
Belgium,1875,2860.8
Belgium,1876,2874.6
Belgium,1877,2884.5
Belgium,1878,2942.3
Belgium,1879,2944.9
Belgium,1880,3064.8
Belgium,1881,3069.7
Belgium,1882,3136.1
Belgium,1883,3144.5
Belgium,1884,3136.1
Belgium,1885,3137.8
Belgium,1886,3153.3
Belgium,1887,3249.9
Belgium,1888,3247.1
Belgium,1889,3378.5
Belgium,1890,3427.8
Belgium,1891,3395.3
Belgium,1892,3441.8
Belgium,1893,3455.5
Belgium,1894,3468.3
Belgium,1895,3511.5
Belgium,1896,3551.5
Belgium,1897,3586.4
Belgium,1898,3614.8
Belgium,1899,3656.2
Belgium,1900,3731.1
Belgium,1901,3719.4
Belgium,1902,3739.4
Belgium,1903,3772.4
Belgium,1904,3820.8
Belgium,1905,3881.6
Belgium,1906,3917.5
Belgium,1907,3932.1
Belgium,1908,3932.6
Belgium,1909,3970.9
Belgium,1910,4063.9
Belgium,1911,4148.3
Belgium,1912,4206.4
Belgium,1913,4219.5
Belgium,1914,3923.3
Belgium,1915,3858.1
Belgium,1916,4080.4
Belgium,1917,3519.1
Belgium,1918,2861.3
Belgium,1919,3389.4
Belgium,1920,3962
Belgium,1921,4056.3
Belgium,1922,4413.5
Belgium,1923,4533.2
Belgium,1924,4637.8
Belgium,1925,4665.6
Belgium,1926,4783.6
Belgium,1927,4923.3
Belgium,1928,5139.5
Belgium,1929,5054.2
Belgium,1930,4978.6
Belgium,1931,4860.4
Belgium,1932,4607.5
Belgium,1933,4680.5
Belgium,1934,4623.8
Belgium,1935,4894.2
Belgium,1936,4913.3
Belgium,1937,4961
Belgium,1938,4832.3
Belgium,1939,5149.6
Belgium,1940,4561.8
Belgium,1941,4358
Belgium,1942,3996.8
Belgium,1943,3906.6
Belgium,1944,4112.1
Belgium,1945,4332.8
Belgium,1946,4573.5
Belgium,1947,4800.4
Belgium,1948,5023.9
Belgium,1949,5193.4
Belgium,1950,5462.2
Belgium,1951,5746.9
Belgium,1952,5668.2
Belgium,1953,5818.2
Belgium,1954,6029.1
Belgium,1955,6280.2
Belgium,1956,6422.5
Belgium,1957,6494.6
Belgium,1958,6441.8
Belgium,1959,6608.3
Belgium,1960,6952.1
Belgium,1961,7252.8
Belgium,1962,7583.1
Belgium,1963,7862.5
Belgium,1964,8340.8
Belgium,1965,8559.4
Belgium,1966,8776
Belgium,1967,9071.8
Belgium,1968,9415.5
Belgium,1969,10018.2
Belgium,1970,10610.8
Belgium,1971,10969.6
Belgium,1972,11502.5
Belgium,1973,12170
Belgium,1974,12643
Belgium,1975,12440.8
Belgium,1976,13122.3
Belgium,1977,13189.9
Belgium,1978,13553.9
Belgium,1979,13860.7
Belgium,1980,14467.4
Belgium,1981,14278.8
Belgium,1982,14474.5
Belgium,1983,14473.9
Belgium,1984,14832.6
Belgium,1985,14977.4
Belgium,1986,15195.4
Belgium,1987,15540.9
Belgium,1988,16251.7
Belgium,1989,16743.9
Belgium,1990,17197
Belgium,1991,17450.6
Belgium,1992,17645.2
Belgium,1993,17406.5
Belgium,1994,17901.7
Belgium,1995,18269.8
Belgium,1996,18487.4
Belgium,1997,19138.7
Belgium,1998,19474.9
Belgium,1999,20127.6
Belgium,2000,20809.4
Belgium,2001,20920.3
Belgium,2002,21163
Belgium,2003,21294.8
Belgium,2004,21954.9
Belgium,2005,22304.7
Belgium,2006,22867
Belgium,2007,23496.5
Belgium,2008,23701.3
Belgium,2009,23020.3
Belgium,2010,23556.8
Bolivia,1950,1919.4
Bolivia,1951,2012.6
Bolivia,1952,2030.6
Bolivia,1953,1800
Bolivia,1954,1798.8
Bolivia,1955,1853.4
Bolivia,1956,1705.9
Bolivia,1957,1613.8
Bolivia,1958,1615.9
Bolivia,1959,1575.2
Bolivia,1960,1606.3
Bolivia,1961,1603
Bolivia,1962,1654.2
Bolivia,1963,1720.4
Bolivia,1964,1761.9
Bolivia,1965,1805.7
Bolivia,1966,1891
Bolivia,1967,1962.1
Bolivia,1968,2078.7
Bolivia,1969,2119.6
Bolivia,1970,2176.4
Bolivia,1971,2204.4
Bolivia,1972,2260.5
Bolivia,1973,2356.9
Bolivia,1974,2418.1
Bolivia,1975,2515.9
Bolivia,1976,2647
Bolivia,1977,2691.1
Bolivia,1978,2714.5
Bolivia,1979,2651.6
Bolivia,1980,2572
Bolivia,1981,2547.1
Bolivia,1982,2394.1
Bolivia,1983,2249.3
Bolivia,1984,2234
Bolivia,1985,2180.8
Bolivia,1986,2074
Bolivia,1987,2088.6
Bolivia,1988,2124.4
Bolivia,1989,2138.4
Bolivia,1990,2197.5
Bolivia,1991,2259.1
Bolivia,1992,2242.3
Bolivia,1993,2284.7
Bolivia,1994,2338.2
Bolivia,1995,2394.4
Bolivia,1996,2445.9
Bolivia,1997,2513.5
Bolivia,1998,2584.9
Bolivia,1999,2542
Bolivia,2000,2551.9
Bolivia,2001,2541.4
Bolivia,2002,2551.2
Bolivia,2003,2567.3
Bolivia,2004,2621.2
Bolivia,2005,2683.8
Bolivia,2006,2758.7
Bolivia,2007,2830.7
Bolivia,2008,2949.9
Bolivia,2009,2994.7
Bolivia,2010,3064.3
Botswana,1960,402.6
Botswana,1961,410.2
Botswana,1962,415.4
Botswana,1963,422.2
Botswana,1964,430.2
Botswana,1965,436.8
Botswana,1966,472.6
Botswana,1967,513
Botswana,1968,557.1
Botswana,1969,601.5
Botswana,1970,647.3
Botswana,1971,747.2
Botswana,1972,955.9
Botswana,1973,1122.7
Botswana,1974,1299.6
Botswana,1975,1223.5
Botswana,1976,1381.5
Botswana,1977,1357.6
Botswana,1978,1537.3
Botswana,1979,1612.5
Botswana,1980,1764.6
Botswana,1981,1857.8
Botswana,1982,1921.4
Botswana,1983,2143.9
Botswana,1984,2300.2
Botswana,1985,2386.8
Botswana,1986,2485.4
Botswana,1987,2618.9
Botswana,1988,2937.1
Botswana,1989,3215.6
Botswana,1990,3303.8
Botswana,1991,3360.1
Botswana,1992,3353.8
Botswana,1993,3311
Botswana,1994,3320.8
Botswana,1995,3367
Botswana,1996,3457.8
Botswana,1997,3589.5
Botswana,1998,3704.5
Botswana,1999,3844.9
Botswana,2000,4084.1
Botswana,2001,4210.6
Botswana,2002,4338.6
Botswana,2003,4429.1
Botswana,2004,4488.8
Botswana,2005,4480.7
Botswana,2006,4619.4
Botswana,2007,4728.2
Botswana,2008,4768.8
Brazil,1950,1671.7
Brazil,1951,1702.1
Brazil,1952,1752.2
Brazil,1953,1784.2
Brazil,1954,1847.6
Brazil,1955,1925.7
Brazil,1956,1896.4
Brazil,1957,1994.1
Brazil,1958,2111.2
Brazil,1959,2221
Brazil,1960,2334.9
Brazil,1961,2437.3
Brazil,1962,2511
Brazil,1963,2463.2
Brazil,1964,2472.2
Brazil,1965,2448.4
Brazil,1966,2526.7
Brazil,1967,2554
Brazil,1968,2704.2
Brazil,1969,2859.8
Brazil,1970,3056.7
Brazil,1971,3278.5
Brazil,1972,3537.9
Brazil,1973,3880.1
Brazil,1974,4080.9
Brazil,1975,4187.4
Brazil,1976,4469.6
Brazil,1977,4565.4
Brazil,1978,4678.4
Brazil,1979,4890
Brazil,1980,5195
Brazil,1981,4849.6
Brazil,1982,4762.8
Brazil,1983,4498.1
Brazil,1984,4643.2
Brazil,1985,4914
Brazil,1986,5201.7
Brazil,1987,5269.5
Brazil,1988,5154.6
Brazil,1989,5223.7
Brazil,1990,4920.1
Brazil,1991,4887.8
Brazil,1992,4782.2
Brazil,1993,4937.5
Brazil,1994,5144.9
Brazil,1995,5280.4
Brazil,1996,5313.3
Brazil,1997,5411.3
Brazil,1998,5333.9
Brazil,1999,5269.9
Brazil,2000,5417.9
Brazil,2001,5412.3
Brazil,2002,5481.2
Brazil,2003,5472.4
Brazil,2004,5713.4
Brazil,2005,5824.5
Brazil,2006,5987.8
Brazil,2007,6284.5
Brazil,2008,6542
Brazil,2009,6457
Brazil,2010,6879.1
Chile,1950,3669.7
Chile,1951,3731
Chile,1952,3893
Chile,1953,4112.1
Chile,1954,3907.3
Chile,1955,3975.4
Chile,1956,3956.8
Chile,1957,4264.2
Chile,1958,4391.6
Chile,1959,4042
Chile,1960,4270.3
Chile,1961,4366.3
Chile,1962,4465.2
Chile,1963,4639.3
Chile,1964,4638.3
Chile,1965,4577.1
Chile,1966,4984.5
Chile,1967,5045.8
Chile,1968,5127.6
Chile,1969,5220.4
Chile,1970,5231.4
Chile,1971,5597.3
Chile,1972,5428.6
Chile,1973,5033.7
Chile,1974,4992
Chile,1975,4273.3
Chile,1976,4347
Chile,1977,4700.1
Chile,1978,5010.7
Chile,1979,5344.7
Chile,1980,5680.4
Chile,1981,5932.4
Chile,1982,5034.9
Chile,1983,4810.2
Chile,1984,5010.9
Chile,1985,5029.6
Chile,1986,5227.4
Chile,1987,5480.2
Chile,1988,5780.4
Chile,1989,6282.9
Chile,1990,6400.9
Chile,1991,6784.5
Chile,1992,7482.8
Chile,1993,7869.5
Chile,1994,8181.7
Chile,1995,8910.4
Chile,1996,9427
Chile,1997,9906.2
Chile,1998,10088.4
Chile,1999,9883.6
Chile,2000,10198.9
Chile,2001,10421.5
Chile,2002,10532.7
Chile,2003,10837.4
Chile,2004,11485.3
Chile,2005,12079.9
Chile,2006,12648
Chile,2007,13176.1
Chile,2008,13479.1
Chile,2009,13210.1
Chile,2010,13883.2
China,1950,448
China,1951,491
China,1952,537.6
China,1953,552.2
China,1954,556.9
China,1955,576.5
China,1956,616.1
China,1957,636
China,1958,690.4
China,1959,686.4
China,1960,662.1
China,1961,552.9
China,1962,550.4
China,1963,590.3
China,1964,644.8
China,1965,701.6
China,1966,746.3
China,1967,706.9
China,1968,674.9
China,1969,713
China,1970,778.4
China,1971,795
China,1972,798.3
China,1973,838.4
China,1974,835.1
China,1975,871.2
China,1976,852.7
China,1977,893.6
China,1978,978
China,1979,1039.4
China,1980,1061.1
China,1981,1110.2
China,1982,1186.1
China,1983,1257.7
China,1984,1395.9
China,1985,1519.2
China,1986,1597
China,1987,1737.1
China,1988,1830
China,1989,1834.2
China,1990,1870.9
China,1991,1967.2
China,1992,2132.2
China,1993,2311.8
China,1994,2514.7
China,1995,2863.5
China,1996,2892
China,1997,3013.4
China,1998,2993.2
China,1999,3162.2
China,2000,3420.9
China,2001,3758.9
China,2002,4197.1
China,2003,4802.8
China,2004,5168.7
China,2005,5575.4
China,2006,6047.6
China,2007,6303
China,2008,6724.8
China,2009,7308.2
China,2010,8031.9
Colombia,1950,2152.8
Colombia,1951,2150.1
Colombia,1952,2214.4
Colombia,1953,2276.6
Colombia,1954,2358.5
Colombia,1955,2372.8
Colombia,1956,2390.6
Colombia,1957,2400
Colombia,1958,2382.6
Colombia,1959,2473.5
Colombia,1960,2496.8
Colombia,1961,2539.9
Colombia,1962,2593.8
Colombia,1963,2597.2
Colombia,1964,2674.9
Colombia,1965,2688.8
Colombia,1966,2750.1
Colombia,1967,2784.3
Colombia,1968,2873.7
Colombia,1969,2976.5
Colombia,1970,3094.2
Colombia,1971,3194.3
Colombia,1972,3355.2
Colombia,1973,3499.4
Colombia,1974,3617.7
Colombia,1975,3620.6
Colombia,1976,3713.3
Colombia,1977,3793.3
Colombia,1978,4041.7
Colombia,1979,4177.1
Colombia,1980,4257.3
Colombia,1981,4254.6
Colombia,1982,4202.5
Colombia,1983,4175.2
Colombia,1984,4228.7
Colombia,1985,4271.7
Colombia,1986,4435.7
Colombia,1987,4577.2
Colombia,1988,4669.5
Colombia,1989,4726.1
Colombia,1990,4825.7
Colombia,1991,4840.2
Colombia,1992,4950.2
Colombia,1993,5131
Colombia,1994,5292.6
Colombia,1995,5469.8
Colombia,1996,5497
Colombia,1997,5606.7
Colombia,1998,5562.8
Colombia,1999,5269.4
Colombia,2000,5375.2
Colombia,2001,5409.5
Colombia,2002,5476.3
Colombia,2003,5613.9
Colombia,2004,5830.8
Colombia,2005,6022
Colombia,2006,6339.9
Colombia,2007,6689.8
Colombia,2008,6839.7
Colombia,2009,6853.8
Colombia,2010,7062.5
Costa Rica,1950,1963.1
Costa Rica,1951,1951.2
Costa Rica,1952,2113.7
Costa Rica,1953,2352.7
Costa Rica,1954,2289.2
Costa Rica,1955,2459.8
Costa Rica,1956,2301.1
Costa Rica,1957,2405.8
Costa Rica,1958,2604.8
Costa Rica,1959,2598
Costa Rica,1960,2715.5
Costa Rica,1961,2722.5
Costa Rica,1962,2784.7
Costa Rica,1963,2918.7
Costa Rica,1964,2961.4
Costa Rica,1965,3126.5
Costa Rica,1966,3258.5
Costa Rica,1967,3348.6
Costa Rica,1968,3497.2
Costa Rica,1969,3622.2
Costa Rica,1970,3753.9
Costa Rica,1971,3889.4
Costa Rica,1972,4118.2
Costa Rica,1973,4318.6
Costa Rica,1974,4430.1
Costa Rica,1975,4396
Costa Rica,1976,4506.1
Costa Rica,1977,4768.9
Costa Rica,1978,4870.1
Costa Rica,1979,4959.5
Costa Rica,1980,4910.6
Costa Rica,1981,4681.2
Costa Rica,1982,4234.5
Costa Rica,1983,4230
Costa Rica,1984,4431.9
Costa Rica,1985,4340.3
Costa Rica,1986,4446
Costa Rica,1987,4529.9
Costa Rica,1988,4561
Costa Rica,1989,4698.4
Costa Rica,1990,4747
Costa Rica,1991,4745.1
Costa Rica,1992,5056.2
Costa Rica,1993,5284
Costa Rica,1994,5377.6
Costa Rica,1995,5436.7
Costa Rica,1996,5343.3
Costa Rica,1997,5502.4
Costa Rica,1998,5822.5
Costa Rica,1999,6157.9
Costa Rica,2000,6135.7
Costa Rica,2001,6086.3
Costa Rica,2002,6162.1
Costa Rica,2003,6455.9
Costa Rica,2004,6628.8
Costa Rica,2005,6915.6
Costa Rica,2006,7415.1
Costa Rica,2007,7890.2
Costa Rica,2008,7990.4
Costa Rica,2009,7777.8
Costa Rica,2010,7996.8
Denmark,1950,6943.1
Denmark,1951,6936.5
Denmark,1952,6955.2
Denmark,1953,7291.6
Denmark,1954,7371.3
Denmark,1955,7395.4
Denmark,1956,7438.8
Denmark,1957,7965.1
Denmark,1958,8095.2
Denmark,1959,8637.2
Denmark,1960,8811.8
Denmark,1961,9311.9
Denmark,1962,9747.4
Denmark,1963,9731.7
Denmark,1964,10559.6
Denmark,1965,10953.3
Denmark,1966,11159.8
Denmark,1967,11436.5
Denmark,1968,11836.7
Denmark,1969,12530.6
Denmark,1970,12685.6
Denmark,1971,12933.6
Denmark,1972,13538.4
Denmark,1973,13945.4
Denmark,1974,13751.2
Denmark,1975,13621.1
Denmark,1976,14466.4
Denmark,1977,14655.4
Denmark,1978,14825.7
Denmark,1979,15313.5
Denmark,1980,15227.3
Denmark,1981,15096.1
Denmark,1982,15563.3
Denmark,1983,15966.2
Denmark,1984,16675.9
Denmark,1985,17384.1
Denmark,1986,17993.2
Denmark,1987,18023.3
Denmark,1988,18224.3
Denmark,1989,18261.3
Denmark,1990,18452.4
Denmark,1991,18643.8
Denmark,1992,18949.4
Denmark,1993,18870.4
Denmark,1994,19847.3
Denmark,1995,20350
Denmark,1996,20809.7
Denmark,1997,21387.5
Denmark,1998,21770.9
Denmark,1999,22255.4
Denmark,2000,22966.1
Denmark,2001,23048.5
Denmark,2002,23074.6
Denmark,2003,23079.7
Denmark,2004,23525.7
Denmark,2005,24016.9
Denmark,2006,24748.7
Denmark,2007,25060.3
Denmark,2008,24788.6
Denmark,2009,23275.5
Denmark,2010,23512.6
Egypt,1950,909.9
Egypt,1951,904.7
Egypt,1952,900
Egypt,1953,894.3
Egypt,1954,889.1
Egypt,1955,884.5
Egypt,1956,904.9
Egypt,1957,925.5
Egypt,1958,946.8
Egypt,1959,968.8
Egypt,1960,991.5
Egypt,1961,1030.9
Egypt,1962,1074.2
Egypt,1963,1120.3
Egypt,1964,1166.4
Egypt,1965,1213.4
Egypt,1966,1192
Egypt,1967,1151.3
Egypt,1968,1145.8
Egypt,1969,1201.2
Egypt,1970,1254.1
Egypt,1971,1283.1
Egypt,1972,1283.9
Egypt,1973,1294.4
Egypt,1974,1316.5
Egypt,1975,1420.8
Egypt,1976,1606.4
Egypt,1977,1767
Egypt,1978,1843.9
Egypt,1979,1929.8
Egypt,1980,2069.3
Egypt,1981,2075.6
Egypt,1982,2222.6
Egypt,1983,2321.8
Egypt,1984,2389.6
Egypt,1985,2470.9
Egypt,1986,2460.3
Egypt,1987,2465
Egypt,1988,2510.3
Egypt,1989,2527.8
Egypt,1990,2522.8
Egypt,1991,2531.8
Egypt,1992,2505.1
Egypt,1993,2543.7
Egypt,1994,2615
Egypt,1995,2695.7
Egypt,1996,2788.8
Egypt,1997,2890.3
Egypt,1998,3041.6
Egypt,1999,3158.5
Egypt,2000,3257.8
Egypt,2001,3300.9
Egypt,2002,3333.5
Egypt,2003,3366.7
Egypt,2004,3430.1
Egypt,2005,3507.7
Egypt,2006,3669
Egypt,2007,3847.2
Egypt,2008,4037.7
Egypt,2009,4140.7
Egypt,2010,4267
Ethiopia,1960,440
Ethiopia,1961,452.7
Ethiopia,1962,462.1
Ethiopia,1963,513
Ethiopia,1964,527.4
Ethiopia,1965,547.2
Ethiopia,1966,556.8
Ethiopia,1967,568.6
Ethiopia,1968,566.2
Ethiopia,1969,574.8
Ethiopia,1970,594.7
Ethiopia,1971,606.7
Ethiopia,1972,623.8
Ethiopia,1973,630
Ethiopia,1974,623.1
Ethiopia,1975,609.7
Ethiopia,1976,610.8
Ethiopia,1977,613.4
Ethiopia,1978,596.6
Ethiopia,1979,627.2
Ethiopia,1980,648.2
Ethiopia,1981,632.7
Ethiopia,1982,614.8
Ethiopia,1983,627.3
Ethiopia,1984,599.8
Ethiopia,1985,551.6
Ethiopia,1986,576.9
Ethiopia,1987,614.5
Ethiopia,1988,607.8
Ethiopia,1989,599.7
Ethiopia,1990,574.2
Ethiopia,1991,512.4
Ethiopia,1992,450.7
Ethiopia,1993,498.1
Ethiopia,1994,501.1
Ethiopia,1995,515.6
Ethiopia,1996,566.2
Ethiopia,1997,569.9
Ethiopia,1998,531.6
Ethiopia,1999,547.7
Ethiopia,2000,563.7
Ethiopia,2001,588.5
Ethiopia,2002,581.1
Ethiopia,2003,552.7
Ethiopia,2004,599.8
Ethiopia,2005,656.5
Ethiopia,2006,711.3
Ethiopia,2007,772.4
Ethiopia,2008,834.1
Ethiopia,2009,891.3
Ethiopia,2010,934.7
Finland,1820,781
Finland,1850,910.9
Finland,1860,959.1
Finland,1861,957.8
Finland,1862,896.3
Finland,1863,957.6
Finland,1864,968.6
Finland,1865,951.4
Finland,1866,958.2
Finland,1867,885.9
Finland,1868,1003.4
Finland,1869,1101.5
Finland,1870,1139.7
Finland,1871,1126.8
Finland,1872,1145
Finland,1873,1193.4
Finland,1874,1204.1
Finland,1875,1211.2
Finland,1876,1259.2
Finland,1877,1211.2
Finland,1878,1172.8
Finland,1879,1167.4
Finland,1880,1154.8
Finland,1881,1110.1
Finland,1882,1202.9
Finland,1883,1229.8
Finland,1884,1219.3
Finland,1885,1231.2
Finland,1886,1275.5
Finland,1887,1275.5
Finland,1888,1302.3
Finland,1889,1326.6
Finland,1890,1381
Finland,1891,1350.4
Finland,1892,1279.9
Finland,1893,1340.9
Finland,1894,1399.4
Finland,1895,1492.4
Finland,1896,1569.9
Finland,1897,1624.2
Finland,1898,1668.2
Finland,1899,1607
Finland,1900,1668.5
Finland,1901,1636.2
Finland,1902,1591.3
Finland,1903,1685.8
Finland,1904,1731
Finland,1905,1741.8
Finland,1906,1794.3
Finland,1907,1834.5
Finland,1908,1828.9
Finland,1909,1884.3
Finland,1910,1906.4
Finland,1911,1939.1
Finland,1912,2022.4
Finland,1913,2110.7
Finland,1914,2000.6
Finland,1915,1881.7
Finland,1916,1893
Finland,1917,1580.9
Finland,1918,1369.8
Finland,1919,1658.2
Finland,1920,1845.5
Finland,1921,1884.5
Finland,1922,2058
Finland,1923,2186.8
Finland,1924,2224
Finland,1925,2328.2
Finland,1926,2391.8
Finland,1927,2557.1
Finland,1928,2707.2
Finland,1929,2716.8
Finland,1930,2665.6
Finland,1931,2580.6
Finland,1932,2549.8
Finland,1933,2701.6
Finland,1934,2988.4
Finland,1935,3092.7
Finland,1936,3278.8
Finland,1937,3441.2
Finland,1938,3589.4
Finland,1939,3407.7
Finland,1940,3220.4
Finland,1941,3322.2
Finland,1942,3327.2
Finland,1943,3696.7
Finland,1944,3684.6
Finland,1945,3449.5
Finland,1946,3683
Finland,1947,3716.8
Finland,1948,3957.2
Finland,1949,4143.3
Finland,1950,4253.3
Finland,1951,4571.2
Finland,1952,4674.5
Finland,1953,4651.6
Finland,1954,5001.6
Finland,1955,5196.8
Finland,1956,5295.3
Finland,1957,5490.1
Finland,1958,5474.3
Finland,1959,5753.5
Finland,1960,6230.4
Finland,1961,6657.9
Finland,1962,6819
Finland,1963,6994
Finland,1964,7306.7
Finland,1965,7669.6
Finland,1966,7824.5
Finland,1967,7946.6
Finland,1968,8093
Finland,1969,8877.6
Finland,1970,9576.9
Finland,1971,9764.7
Finland,1972,10447.5
Finland,1973,11085.1
Finland,1974,11361.3
Finland,1975,11441.3
Finland,1976,11358.4
Finland,1977,11354.5
Finland,1978,11558.9
Finland,1979,12331.5
Finland,1980,12949
Finland,1981,13134.1
Finland,1982,13484.8
Finland,1983,13766.9
Finland,1984,14106.7
Finland,1985,14522.1
Finland,1986,14819.5
Finland,1987,15382.2
Finland,1988,16087.9
Finland,1989,16945.7
Finland,1990,16866.4
Finland,1991,15767.9
Finland,1992,15136.1
Finland,1993,14942.8
Finland,1994,15424.3
Finland,1995,15977
Finland,1996,16496.7
Finland,1997,17472.3
Finland,1998,18306.5
Finland,1999,18981
Finland,2000,19950.9
Finland,2001,20360.4
Finland,2002,20683
Finland,2003,21053.1
Finland,2004,21879.1
Finland,2005,22478.6
Finland,2006,23434.5
Finland,2007,24651.3
Finland,2008,24694.1
Finland,2009,22561.7
Finland,2010,23290.5
France,1820,1135
France,1821,1224.5
France,1822,1176.2
France,1823,1213.2
France,1824,1245.8
France,1825,1190.9
France,1826,1222.7
France,1827,1197.1
France,1828,1189.6
France,1829,1220.7
France,1830,1190.8
France,1831,1207.5
France,1832,1312.3
France,1833,1287.6
France,1834,1289.6
France,1835,1332.7
France,1836,1310.9
France,1837,1329.2
France,1838,1386.9
France,1839,1335.5
France,1840,1427.7
France,1841,1456
France,1842,1417.8
France,1843,1486.7
France,1844,1533.4
France,1845,1479.9
France,1846,1478.3
France,1847,1635.4
France,1848,1529.5
France,1849,1571.9
France,1850,1596.7
France,1851,1567.7
France,1852,1664.4
France,1853,1577.9
France,1854,1648.1
France,1855,1617.4
France,1856,1685.6
France,1857,1779
France,1858,1900.1
France,1859,1773.5
France,1860,1892.1
France,1861,1769.3
France,1862,1914
France,1863,1973.4
France,1864,1987.7
France,1865,1924.2
France,1866,1934.1
France,1867,1812.9
France,1868,1981.7
France,1869,2006.4
France,1870,1875.7
France,1871,1899.4
France,1872,2078.4
France,1873,1922.1
France,1874,2157.2
France,1875,2219.1
France,1876,2028.2
France,1877,2127.5
France,1878,2091.1
France,1879,1953.3
France,1880,2120.4
France,1881,2193.6
France,1882,2288.3
France,1883,2287.8
France,1884,2253.3
France,1885,2207.4
France,1886,2236.7
France,1887,2249.4
France,1888,2269.4
France,1889,2322.4
France,1890,2376
France,1891,2432.1
France,1892,2492.9
France,1893,2534.9
France,1894,2626
France,1895,2569.2
France,1896,2685.4
France,1897,2639.2
France,1898,2759.6
France,1899,2911.4
France,1900,2875.7
France,1901,2826.5
France,1902,2775.3
France,1903,2830.5
France,1904,2846.7
France,1905,2894
France,1906,2943.3
France,1907,3070.3
France,1908,3044.9
France,1909,3166.8
France,1910,2965.2
France,1911,3249.6
France,1912,3514.5
France,1913,3484.8
France,1914,3236.3
France,1915,3248.1
France,1916,3463.3
France,1917,2978.9
France,1918,2395.5
France,1919,2811.4
France,1920,3226.9
France,1921,3074.6
France,1922,3610.4
France,1923,3753.5
France,1924,4179.5
France,1925,4166.4
France,1926,4249.5
France,1927,4154
France,1928,4431.5
France,1929,4710
France,1930,4531.6
France,1931,4235.3
France,1932,3959.1
France,1933,4239.1
France,1934,4191.7
France,1935,4085.9
France,1936,4244
France,1937,4486.6
France,1938,4466.2
France,1939,4793.3
France,1940,4042.2
France,1941,3309.4
France,1942,2981.5
France,1943,2860.1
France,1944,2421.8
France,1945,2573.1
France,1946,3855.2
France,1947,4137.9
France,1948,4393.4
France,1949,4946.3
France,1950,5185.9
France,1951,5461.1
France,1952,5564.3
France,1953,5683.9
France,1954,5915.2
France,1955,6198.8
France,1956,6448.5
France,1957,6761.8
France,1958,6855.2
France,1959,6978.8
France,1960,7397.6
France,1961,7718.4
France,1962,8067.1
France,1963,8362.7
France,1964,8819.3
France,1965,9165.4
France,1966,9544.1
France,1967,9907.2
France,1968,10267
France,1969,10885.6
France,1970,11410.1
France,1971,11845
France,1972,12263.5
France,1973,12824.4
France,1974,13112.5
France,1975,12957.2
France,1976,13466.4
France,1977,13912.7
France,1978,14240.2
France,1979,14634.4
France,1980,14766.2
France,1981,14839.9
France,1982,15131.6
France,1983,15245.1
