Entity,Year,Freshwater crabs (total endemics),Freshwater crabs (threatened endemics),Freshwater crabs (non-threatened endemics),Freshwater crayfish (total endemics),Freshwater crayfish (threatened endemics),Freshwater crayfish (non-threatened endemics),Lobsters (total endemics),Lobsters (threatened endemics),Lobsters (non-threatened endemics),Cone snails (total endemics),Cone snails (threatened endemics),Cone snails (non-threatened endemics),Reef-forming corals (total endemics),Reef-forming corals (threatened endemics),Reef-forming corals (non-threatened endemics)
Laos,2019,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lebanon,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lesotho,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liberia,2019,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0
Libya,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liechtenstein,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luxembourg,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macao,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macedonia,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madagascar,2019,1,1,0,7,4,3,1,0,1,7,0,7,3,2,1
Malawi,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malaysia,2019,33,28,5,0,0,0,0,0,0,0,0,0,0,0,0
Maldives,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mali,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malta,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marshall Islands,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martinique,2019,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0
Mauritania,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritius,2019,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0
Mayotte,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico,2019,6,6,0,51,16,35,1,0,1,6,0,6,2,1,1
Micronesia (region),2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moldova,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monaco,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mongolia,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montserrat,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morocco,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mozambique,2019,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Myanmar,2019,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Namibia,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nauru,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nepal,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Caledonia,2019,0,0,0,0,0,0,1,0,1,8,0,8,0,0,0
New Zealand,2019,0,0,0,2,0,2,2,0,2,0,0,0,0,0,0
Nicaragua,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niger,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nigeria,2019,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Niue,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norfolk Island,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Korea,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Mariana Islands,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oman,2019,0,0,0,0,0,0,0,0,0,5,2,3,2,0,2
Pakistan,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palau,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palestine,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Panama,2019,1,0,1,0,0,0,0,0,0,2,0,2,1,1,0
Papua New Guinea,2019,0,0,0,2,1,1,0,0,0,1,0,1,0,0,0
Paraguay,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peru,2019,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Philippines,2019,4,4,0,0,0,0,3,0,3,18,0,18,0,0,0
Pitcairn,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poland,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Portugal,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puerto Rico,2019,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Qatar,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reunion,2019,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0
Romania,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russia,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rwanda,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Barthlemy,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Helena,2019,0,0,0,0,0,0,2,0,2,1,0,1,0,0,0
Saint Kitts and Nevis,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Lucia,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Martin (French part),2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Pierre and Miquelon,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Vincent and the Grenadines,2019,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Samoa,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Marino,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sao Tome and Principe,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saudi Arabia,2019,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Senegal,2019,0,0,0,0,0,0,0,0,0,13,10,3,0,0,0
Serbia,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seychelles,2019,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Sierra Leone,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Singapore,2019,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Sint Maarten (Dutch part),2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovakia,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovenia,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solomon Islands,2019,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0
Somalia,2019,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0
South Africa,2019,1,1,0,0,0,0,1,0,1,12,1,11,0,0,0
South Georgia and the South Sandwich Islands,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Korea,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Sudan,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka,2019,40,40,0,0,0,0,0,0,0,0,0,0,1,0,1
Sudan,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suriname,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Svalbard and Jan Mayen,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Swaziland,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweden,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Syria,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taiwan,2019,11,11,0,0,0,0,2,0,2,0,0,0,0,0,0
Tajikistan,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanzania,2019,7,4,3,0,0,0,0,0,0,0,0,0,0,0,0
Thailand,2019,19,16,3,0,0,0,0,0,0,2,1,1,0,0,0
Timor,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Togo,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tokelau,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tonga,2019,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Trinidad and Tobago,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tunisia,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkey,2019,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkmenistan,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turks and Caicos Islands,2019,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0
Tuvalu,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uganda,2019,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Arab Emirates,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States,2019,0,0,0,343,56,287,2,0,2,6,2,4,9,3,6
United States Minor Outlying Islands,2019,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
United States Virgin Islands,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uruguay,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uzbekistan,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vanuatu,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vatican,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Venezuela,2019,5,3,2,0,0,0,0,0,0,1,1,0,0,0,0
Vietnam,2019,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Wallis and Futuna,2019,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Western Sahara,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yemen,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zambia,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zimbabwe,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
