Entity,Year,Violent deaths in conflicts and one-sided violence (UCDP 2019)
Burundi,1993,5
Burundi,1994,56
Burundi,1995,1547
Burundi,1996,2673
Burundi,1997,1573
Burundi,1998,1398
Burundi,1999,1012
Burundi,2000,2071
Burundi,2001,1253
Burundi,2002,1576
Burundi,2003,1245
Burundi,2004,679
Burundi,2005,378
Burundi,2006,185
Burundi,2007,79
Burundi,2008,220
Burundi,2012,9
Burundi,2013,9
Burundi,2014,50
Burundi,2015,220
Burundi,2016,15
Burundi,2017,60
Burundi,2018,94
Cambodia,1989,814
Cambodia,1990,377
Cambodia,1991,322
Cambodia,1992,193
Cambodia,1993,484
Cambodia,1994,572
Cambodia,1995,723
Cambodia,1996,846
Cambodia,1997,444
Cambodia,1998,274
Cambodia,1999,0
Cambodia,2000,4
Cambodia,2003,1
Cambodia,2007,2
Cambodia,2008,2
Cambodia,2009,2
Cambodia,2011,10
Cambodia,2012,1
Cameroon,1990,6
Cameroon,1991,50
Cameroon,1992,25
Cameroon,1993,47
Cameroon,1994,102
Cameroon,1996,56
Cameroon,1998,52
Cameroon,2000,2
Cameroon,2001,0
Cameroon,2004,0
Cameroon,2005,0
Cameroon,2008,0
Cameroon,2009,0
Cameroon,2013,6
Cameroon,2014,1047
Cameroon,2015,1263
Cameroon,2016,491
Cameroon,2017,410
Cameroon,2018,983
Canada,1994,3
Canada,1995,24
Canada,1996,2
Canada,1997,2
Canada,1998,27
Canada,1999,11
Canada,2000,23
Canada,2001,1
Central African Republic,1991,0
Central African Republic,1992,3
Central African Republic,1993,4
Central African Republic,1999,5
Central African Republic,2000,6
Central African Republic,2001,255
Central African Republic,2002,152
Central African Republic,2003,19
Central African Republic,2004,23
Central African Republic,2005,8
Central African Republic,2006,190
Central African Republic,2007,143
Central African Republic,2008,8
Central African Republic,2009,244
Central African Republic,2010,148
Central African Republic,2011,195
Central African Republic,2012,132
Central African Republic,2013,3396
Central African Republic,2014,3368
Central African Republic,2015,715
Central African Republic,2016,688
Central African Republic,2017,1792
Central African Republic,2018,581
Chad,1989,50
Chad,1990,686
Chad,1991,95
Chad,1992,1190
Chad,1993,313
Chad,1994,521
Chad,1995,53
Chad,1996,4
Chad,1997,134
Chad,1998,198
Chad,1999,394
Chad,2000,1070
Chad,2001,230
Chad,2002,297
Chad,2003,37
Chad,2004,78
Chad,2005,267
Chad,2006,1956
Chad,2007,431
Chad,2008,994
Chad,2009,135
Chad,2010,4
Chad,2014,16
Chad,2015,397
Chad,2016,26
Chad,2017,91
Chad,2018,168
China,1989,2600
China,1990,22
China,1997,4
China,1999,0
China,2005,12
China,2007,0
China,2008,87
China,2009,189
China,2015,5
China,2017,6
Colombia,1989,384
Colombia,1990,712
Colombia,1991,872
Colombia,1992,1500
Colombia,1993,302
Colombia,1994,1211
Colombia,1995,943
Colombia,1996,1401
Colombia,1997,891
Colombia,1998,1646
Colombia,1999,2093
Colombia,2000,2028
Colombia,2001,2357
Colombia,2002,3427
Colombia,2003,1190
Colombia,2004,1781
Colombia,2005,1702
Colombia,2006,588
Colombia,2007,362
Colombia,2008,252
Colombia,2009,419
Colombia,2010,442
Colombia,2011,227
Colombia,2012,227
Colombia,2013,140
Colombia,2014,156
Colombia,2015,143
Colombia,2016,38
Colombia,2017,34
Colombia,2018,149
Comoros,1989,29
Comoros,1997,56
Comoros,1998,40
Congo,1992,2
Congo,1993,135
Congo,1994,18
Congo,1995,2
Congo,1996,1
Congo,1997,10412
Congo,1998,3763
Congo,1999,973
Congo,2001,3
Congo,2002,234
Congo,2003,33
Congo,2005,15
Congo,2007,2
Congo,2008,1
Congo,2011,1
Congo,2012,2
Congo,2015,0
Congo,2016,53
Congo,2017,20
Congo,2018,13
Cote d'Ivoire,1990,9
Cote d'Ivoire,1991,0
Cote d'Ivoire,1993,1
Cote d'Ivoire,1994,4
Cote d'Ivoire,1995,37
Cote d'Ivoire,1996,5
Cote d'Ivoire,1998,0
Cote d'Ivoire,1999,0
Cote d'Ivoire,2000,132
Cote d'Ivoire,2001,2
Cote d'Ivoire,2002,1028
Cote d'Ivoire,2003,492
Cote d'Ivoire,2004,304
Cote d'Ivoire,2005,153
Cote d'Ivoire,2006,11
Cote d'Ivoire,2007,3
Cote d'Ivoire,2008,4
Cote d'Ivoire,2009,1
Cote d'Ivoire,2010,80
Cote d'Ivoire,2011,1256
Cote d'Ivoire,2012,21
Cote d'Ivoire,2013,4
Cote d'Ivoire,2016,47
Croatia,1992,142
Croatia,1993,373
Croatia,1995,963
Democratic Republic of Congo,1989,28
Democratic Republic of Congo,1990,147
Democratic Republic of Congo,1991,32
Democratic Republic of Congo,1992,67
Democratic Republic of Congo,1993,3288
Democratic Republic of Congo,1994,330
Democratic Republic of Congo,1995,523
Democratic Republic of Congo,1996,34530
Democratic Republic of Congo,1997,13884
Democratic Republic of Congo,1998,8019
Democratic Republic of Congo,1999,7545
Democratic Republic of Congo,2000,3052
Democratic Republic of Congo,2001,1341
Democratic Republic of Congo,2002,7877
Democratic Republic of Congo,2003,3855
Democratic Republic of Congo,2004,799
Democratic Republic of Congo,2005,278
Democratic Republic of Congo,2006,389
Democratic Republic of Congo,2007,880
Democratic Republic of Congo,2008,1736
Democratic Republic of Congo,2009,5160
Democratic Republic of Congo,2010,806
Democratic Republic of Congo,2011,501
Democratic Republic of Congo,2012,1808
Democratic Republic of Congo,2013,2164
Democratic Republic of Congo,2014,1574
Democratic Republic of Congo,2015,650
Democratic Republic of Congo,2016,2138
Democratic Republic of Congo,2017,5916
Democratic Republic of Congo,2018,2903
Djibouti,1989,6
Djibouti,1990,60
Djibouti,1991,74
Djibouti,1992,129
Djibouti,1993,33
Djibouti,1994,39
Djibouti,1995,17
Djibouti,1997,11
Djibouti,1998,16
Djibouti,1999,25
Djibouti,2008,35
Djibouti,2014,1
Djibouti,2018,6
Ecuador,1995,11
Ecuador,2001,2
Ecuador,2003,26
Ecuador,2008,25
Egypt,1990,4
Egypt,1992,13
Egypt,1993,108
Egypt,1994,162
Egypt,1995,233
Egypt,1996,149
Egypt,1997,143
Egypt,1998,29
Egypt,1999,4
Egypt,2000,5
Egypt,2004,35
Egypt,2005,124
Egypt,2006,2
Egypt,2008,2
Egypt,2009,1
Egypt,2010,1
Egypt,2011,31
Egypt,2012,75
Egypt,2013,135
Egypt,2014,249
Egypt,2015,991
Egypt,2016,404
Egypt,2017,902
Egypt,2018,716
El Salvador,1989,4924
El Salvador,1990,848
El Salvador,1991,88
El Salvador,1992,4
Eritrea,1993,21
Eritrea,1996,14
Eritrea,1997,31
Eritrea,1998,792
Eritrea,1999,17203
Eritrea,2000,1793
Eritrea,2003,57
Eritrea,2016,25
Ethiopia,1989,25385
Ethiopia,1990,49856
Ethiopia,1991,12442
Ethiopia,1992,1026
Ethiopia,1993,133
Ethiopia,1994,76
Ethiopia,1995,1043
Ethiopia,1996,65
Ethiopia,1997,12
Ethiopia,1998,1024
Ethiopia,1999,30786
Ethiopia,2000,48666
Ethiopia,2001,388
Ethiopia,2002,809
Ethiopia,2003,1093
Ethiopia,2004,475
Ethiopia,2005,290
Ethiopia,2006,430
Ethiopia,2007,500
Ethiopia,2008,311
Ethiopia,2009,590
Ethiopia,2010,152
Ethiopia,2011,66
Ethiopia,2012,385
Ethiopia,2013,88
Ethiopia,2014,39
Ethiopia,2015,307
Ethiopia,2016,529
Ethiopia,2017,475
Ethiopia,2018,467
France,1992,0
France,1995,8
France,1996,0
France,2007,2
France,2012,4
France,2015,133
France,2016,87
France,2017,2
France,2018,13
Gambia,1996,0
Gambia,2005,8
Georgia,1991,52
Georgia,1992,775
Georgia,1993,1837
Georgia,1995,52
Georgia,1997,26
Georgia,1998,38
Georgia,2002,0
Georgia,2004,27
Georgia,2008,621
Georgia,2010,3
Georgia,2011,0
Germany,1989,3
Germany,1990,1
Germany,1992,4
Germany,2016,12
Ghana,1991,30
Ghana,1992,63
Ghana,1993,2
Ghana,1994,2004
Ghana,1995,155
Ghana,2000,30
Ghana,2001,50
Ghana,2002,36
Ghana,2008,55
Ghana,2009,8
Ghana,2010,1
Guatemala,1989,491
Guatemala,1990,681
Guatemala,1991,426
Guatemala,1992,393
Guatemala,1993,218
Guatemala,1994,287
Guatemala,1995,122
Guatemala,1996,20
Guatemala,1997,2
Guatemala,1998,1
Guatemala,2001,5
Guatemala,2002,2
Guatemala,2004,1
Guatemala,2005,58
Guatemala,2007,5
Guatemala,2008,41
Guatemala,2009,1
Guatemala,2011,27
Guatemala,2015,20
Guinea,1994,0
Guinea,1996,27
Guinea,1998,12
Guinea,1999,13
Guinea,2000,256
Guinea,2001,430
Guinea,2005,3
Guinea,2006,15
Guinea,2007,45
Guinea,2009,160
Guinea,2010,1
Guinea,2011,25
Guinea,2012,9
Guinea,2013,98
Guinea,2015,3
Guinea,2018,3
Guinea-Bissau,1992,2
Guinea-Bissau,1998,505
Guinea-Bissau,1999,199
Guinea-Bissau,2000,0
Guyana,2008,29
Haiti,1989,48
Haiti,1990,2
Haiti,1991,270
Haiti,1993,37
Haiti,1994,44
Haiti,1995,1
Haiti,1999,11
Haiti,2004,231
Haiti,2005,40
Haiti,2018,22
Honduras,1999,9
Honduras,2000,6
Honduras,2002,1
Honduras,2003,47
Honduras,2004,30
Honduras,2008,18
Honduras,2010,58
Honduras,2011,18
Honduras,2012,18
Honduras,2014,21
Honduras,2016,10
India,1989,1850
India,1990,4732
India,1991,3720
India,1992,4161
India,1993,2326
India,1994,1439
India,1995,1080
India,1996,1328
India,1997,1421
India,1998,1553
India,1999,2547
India,2000,3978
India,2001,1716
India,2002,2900
India,2003,2243
India,2004,1767
India,2005,2015
India,2006,2155
India,2007,1720
India,2008,1848
India,2009,1621
India,2010,1641
India,2011,798
India,2012,800
India,2013,703
India,2014,733
India,2015,619
India,2016,784
India,2017,843
India,2018,945
Indonesia,1989,7
Indonesia,1990,200
Indonesia,1991,429
Indonesia,1992,53
Indonesia,1993,27
Indonesia,1994,12
Indonesia,1995,63
Indonesia,1996,34
Indonesia,1997,441
Indonesia,1998,97
Indonesia,1999,1805
Indonesia,2000,917
Indonesia,2001,834
Indonesia,2002,762
Indonesia,2003,1068
Indonesia,2004,1082
Indonesia,2005,242
Indonesia,2006,13
Indonesia,2007,2
Indonesia,2008,6
Indonesia,2011,9
Indonesia,2012,1
Indonesia,2013,20
Indonesia,2014,12
Indonesia,2015,4
Indonesia,2017,2
Indonesia,2018,32
Iran,1990,31
Iran,1991,44
Iran,1992,4
Iran,1993,153
Iran,1994,16
Iran,1995,17
Iran,1996,34
Iran,1997,37
Iran,1998,13
Iran,1999,19
Iran,2000,40
Iran,2001,112
Iran,2003,2
Iran,2005,29
Iran,2006,52
Iran,2007,72
Iran,2008,117
Iran,2009,158
Iran,2010,96
Iran,2011,206
Iran,2012,17
Iran,2013,11
Iran,2014,2
Iran,2015,9
Iran,2016,59
Iran,2017,42
Iran,2018,68
Iraq,1989,50
Iraq,1990,117
Iraq,1991,23928
Iraq,1992,833
Iraq,1993,366
Iraq,1994,903
Iraq,1995,1437
Iraq,1996,765
Iraq,1997,2233
Iraq,1998,79
Iraq,1999,307
Iraq,2000,185
Iraq,2001,27
Iraq,2002,111
Iraq,2003,7999
Iraq,2004,4365
Iraq,2005,3521
Iraq,2006,4609
Iraq,2007,4489
Iraq,2008,2732
Iraq,2009,1718
Iraq,2010,1851
Iraq,2011,1394
Iraq,2012,1407
Iraq,2013,4009
Iraq,2014,15092
Iraq,2015,11251
Iraq,2016,12023
Iraq,2017,11400
Iraq,2018,1430
Israel,1989,93
Israel,1990,43
Israel,1991,47
Israel,1992,72
Israel,1993,88
Israel,1994,116
Israel,1995,77
Israel,1996,132
Israel,1997,25
Israel,1998,6
Israel,1999,2
Israel,2000,108
Israel,2001,355
Israel,2002,888
Israel,2003,471
Israel,2004,514
Israel,2005,211
Israel,2006,664
Israel,2007,538
Israel,2008,735
Israel,2009,706
Israel,2010,64
Israel,2011,73
Israel,2012,73
Israel,2013,8
Israel,2014,1685
Israel,2015,15
Israel,2016,11
Israel,2017,19
Israel,2018,70
Italy,1993,0
Jamaica,1989,1
Jamaica,1994,5
Jamaica,2001,116
Jamaica,2002,15
Jamaica,2003,7
Jordan,1992,1
Jordan,2005,59
Jordan,2016,34
Kenya,1989,63
Kenya,1990,7
Kenya,1991,17
Kenya,1992,159
Kenya,1993,287
Kenya,1994,34
Kenya,1995,60
Kenya,1996,170
Kenya,1997,212
Kenya,1998,322
Kenya,1999,194
Kenya,2000,254
Kenya,2001,192
Kenya,2002,32
Kenya,2003,7
Kenya,2004,20
Kenya,2005,215
Kenya,2006,219
Kenya,2007,186
Kenya,2008,783
Kenya,2009,170
Kenya,2010,85
Kenya,2011,144
Kenya,2012,309
Kenya,2013,267
Kenya,2014,344
Kenya,2015,389
Kenya,2016,130
Kenya,2017,228
Kenya,2018,149
Kuwait,1990,1329
Kuwait,1991,460
Kuwait,1996,1
Kuwait,2015,26
Kyrgyzstan,1999,14
Kyrgyzstan,2000,174
Kyrgyzstan,2006,6
Kyrgyzstan,2010,44
Laos,1989,30
Laos,1990,255
Laos,1993,3
Laos,1997,2
Laos,1999,2
Laos,2000,7
Laos,2002,4
Laos,2003,5
Laos,2004,4
Laos,2006,73
Lebanon,1989,1097
Lebanon,1990,1903
Lebanon,1991,68
Lebanon,1992,132
Lebanon,1993,163
Lebanon,1994,144
Lebanon,1995,126
Lebanon,1996,213
Lebanon,1997,99
Lebanon,1998,85
Lebanon,1999,74
Lebanon,2000,55
Lebanon,2001,4
Lebanon,2002,0
Lebanon,2003,1
Lebanon,2005,3
Lebanon,2006,747
Lebanon,2008,38
Lebanon,2012,52
Lebanon,2013,173
Lebanon,2014,201
Lebanon,2015,200
Lebanon,2016,56
Lebanon,2017,293
Lebanon,2018,2
Lesotho,1998,68
Liberia,1989,45
Liberia,1990,3729
Liberia,1991,578
Liberia,1992,453
Liberia,1993,2673
Liberia,1994,4167
Liberia,1995,2290
Liberia,1996,3091
Liberia,1997,13
Liberia,1998,13
Liberia,1999,70
Liberia,2000,101
Liberia,2001,481
Liberia,2002,2259
Liberia,2003,3281
Libya,2008,6
Libya,2011,3914
Libya,2012,378
Libya,2013,36
Libya,2014,1455
Libya,2015,1594
Libya,2016,2349
Libya,2017,1096
Libya,2018,670
Macedonia,1999,6
Macedonia,2000,3
Macedonia,2001,72
Madagascar,2002,79
Madagascar,2009,113
Madagascar,2012,15
Madagascar,2017,1
Malaysia,2013,70
Malaysia,2017,1
Mali,1990,582
Mali,1991,247
Mali,1992,86
Mali,1993,0
Mali,1994,729
Mali,1995,4
Mali,1997,22
Mali,1999,59
Mali,2004,20
Mali,2005,12
Mali,2007,39
Mali,2008,113
Mali,2009,127
Mali,2010,28
Mali,2011,19
Mali,2012,359
Mali,2013,881
Mali,2014,291
Mali,2015,256
Mali,2016,182
Mali,2017,593
Mali,2018,1237
Malta,1995,0
Mauritania,1989,128
Mauritania,1990,30
Mauritania,1992,0
Mauritania,2007,4
Mauritania,2008,12
Mauritania,2009,1
Mauritania,2010,1
Mauritania,2011,9
Mauritania,2012,1
Mexico,1989,3
Mexico,1990,4
Mexico,1992,16
Mexico,1993,34
Mexico,1994,153
Mexico,1995,22
Mexico,1996,43
Mexico,1997,58
Mexico,1998,7
Mexico,2002,26
Mexico,2004,220
Mexico,2005,204
Mexico,2006,669
Mexico,2007,610
Mexico,2008,1869
Mexico,2009,2263
Mexico,2010,3313
Mexico,2011,2715
Mexico,2012,1699
Mexico,2013,776
Mexico,2014,1646
Mexico,2015,1654
Mexico,2016,1320
Mexico,2017,1451
Mexico,2018,4903
Moldova,1992,585
Morocco,1989,207
Morocco,1991,19
Morocco,2003,34
Mozambique,1989,1552
Mozambique,1990,1759
Mozambique,1991,1914
Mozambique,1992,521
Mozambique,2004,1
Mozambique,2005,12
Mozambique,2012,2
Mozambique,2013,31
Mozambique,2014,24
Mozambique,2015,3
Mozambique,2016,30
Mozambique,2018,169
Myanmar,1989,1024
Myanmar,1990,779
Myanmar,1991,1361
Myanmar,1992,1749
Myanmar,1993,143
Myanmar,1994,783
Myanmar,1995,1496
Myanmar,1996,590
Myanmar,1997,788
Myanmar,1998,581
Myanmar,1999,356
Myanmar,2000,738
Myanmar,2001,384
Myanmar,2002,542
Myanmar,2003,256
Myanmar,2004,177
Myanmar,2005,447
Myanmar,2006,452
Myanmar,2007,699
Myanmar,2008,101
Myanmar,2009,220
Myanmar,2010,185
Myanmar,2011,808
Myanmar,2012,971
Myanmar,2013,358
Myanmar,2014,255
Myanmar,2015,707
Myanmar,2016,181
Myanmar,2017,2331
Myanmar,2018,112
Namibia,1989,0
Namibia,1994,0
Namibia,1996,2
Namibia,1999,1
Namibia,2000,66
Namibia,2002,5
Nepal,1990,14
Nepal,1991,2
Nepal,1992,0
Nepal,1993,3
Nepal,1994,0
Nepal,1995,0
Nepal,1996,77
Nepal,1997,48
Nepal,1998,357
Nepal,1999,295
Nepal,2000,365
Nepal,2001,569
Nepal,2002,4432
Nepal,2003,1732
Nepal,2004,2456
Nepal,2005,1399
Nepal,2006,566
Nepal,2007,31
Nepal,2008,0
Nepal,2009,9
Netherlands,1990,2
Netherlands,2015,0
Nicaragua,1989,526
Nicaragua,1990,39
Nicaragua,2018,34
Niger,1989,170
Niger,1990,200
Niger,1991,40
Niger,1992,29
Niger,1993,6
Niger,1994,50
Niger,1995,67
Niger,1996,14
Niger,1997,81
Niger,1998,147
Niger,2004,4
Niger,2007,98
Niger,2008,56
Niger,2012,1
Niger,2013,31
Niger,2014,5
Niger,2015,533
Niger,2016,299
Niger,2017,250
Niger,2018,179
Nigeria,1990,89
Nigeria,1991,380
Nigeria,1992,943
Nigeria,1993,1185
Nigeria,1994,90
Nigeria,1995,1
Nigeria,1996,87
Nigeria,1997,595
Nigeria,1998,337
Nigeria,1999,3519
Nigeria,2000,2104
Nigeria,2001,2417
Nigeria,2002,612
Nigeria,2003,444
Nigeria,2004,2095
Nigeria,2005,216
Nigeria,2006,225
Nigeria,2007,153
Nigeria,2008,426
Nigeria,2009,530
Nigeria,2010,980
Nigeria,2011,1813
Nigeria,2012,2013
Nigeria,2013,3371
Nigeria,2014,10281
Nigeria,2015,8996
Nigeria,2016,3918
Nigeria,2017,3557
Nigeria,2018,3196
Pakistan,1989,114
Pakistan,1990,385
Pakistan,1991,61
Pakistan,1992,72
Pakistan,1993,48
Pakistan,1994,139
Pakistan,1995,127
Pakistan,1996,59
Pakistan,1997,78
Pakistan,1998,69
Pakistan,1999,25
Pakistan,2000,1
Pakistan,2001,26
Pakistan,2002,65
Pakistan,2003,241
Pakistan,2004,430
Pakistan,2005,153
Pakistan,2006,427
Pakistan,2007,1366
Pakistan,2008,4620
Pakistan,2009,7460
Pakistan,2010,7226
Pakistan,2011,3474
Pakistan,2012,3540
Pakistan,2013,2902
Pakistan,2014,3614
Pakistan,2015,2419
Pakistan,2016,1044
Pakistan,2017,924
Pakistan,2018,464
Panama,1989,920
Papua New Guinea,1989,14
Papua New Guinea,1990,61
Papua New Guinea,1991,29
Papua New Guinea,1992,61
Papua New Guinea,1993,40
Papua New Guinea,1994,26
Papua New Guinea,1995,33
Papua New Guinea,1996,106
Papua New Guinea,1997,12
Papua New Guinea,1999,60
Papua New Guinea,2000,13
Papua New Guinea,2001,65
Papua New Guinea,2002,7
Papua New Guinea,2012,57
Paraguay,1989,150
Peru,1989,1945
Peru,1990,1228
Peru,1991,1353
Peru,1992,1189
Peru,1993,779
Peru,1994,369
Peru,1995,274
Peru,1996,105
Peru,1997,116
Peru,1998,33
Peru,1999,89
Peru,2000,5
Peru,2001,21
Peru,2002,13
Peru,2003,13
Peru,2004,3
Peru,2005,0
Peru,2006,11
Peru,2007,32
Peru,2008,40
Peru,2009,54
Peru,2010,29
Peru,2011,15
Peru,2013,3
Peru,2014,14
Peru,2015,9
Peru,2016,11
Peru,2017,7
Philippines,1989,984
Philippines,1990,1352
Philippines,1991,1549
Philippines,1992,445
Philippines,1993,318
Philippines,1994,308
Philippines,1995,188
Philippines,1996,199
Philippines,1997,322
Philippines,1998,138
Philippines,1999,219
Philippines,2000,1761
Philippines,2001,792
Philippines,2002,763
Philippines,2003,1119
Philippines,2004,470
Philippines,2005,487
Philippines,2006,434
Philippines,2007,483
Philippines,2008,566
Philippines,2009,1047
Philippines,2010,372
Philippines,2011,414
Philippines,2012,311
Philippines,2013,537
Philippines,2014,484
Philippines,2015,628
Philippines,2016,616
Philippines,2017,1708
Philippines,2018,436
Qatar,2004,0
Romania,1989,448
Russia,1989,160
Russia,1990,393
Russia,1991,340
Russia,1992,1
Russia,1993,145
Russia,1994,485
Russia,1995,1910
Russia,1996,2764
Russia,1997,13
Russia,1998,7
Russia,1999,6197
Russia,2000,4333
Russia,2001,992
Russia,2002,1509
Russia,2003,539
Russia,2004,1317
Russia,2005,674
Russia,2006,260
Russia,2007,182
Russia,2008,410
Russia,2009,697
Russia,2010,481
Russia,2011,396
Russia,2012,525
Russia,2013,365
Russia,2014,176
Russia,2015,86
Russia,2016,78
Russia,2017,53
Russia,2018,37
Rwanda,1990,2644
Rwanda,1991,1102
Rwanda,1992,943
Rwanda,1993,959
Rwanda,1994,501961
Rwanda,1995,4141
Rwanda,1996,309
Rwanda,1997,4698
Rwanda,1998,1737
Rwanda,1999,29
Rwanda,2001,2044
Rwanda,2004,16
Rwanda,2009,2
Rwanda,2011,0
Rwanda,2012,13
Rwanda,2013,4
Rwanda,2016,27
Rwanda,2017,10
Rwanda,2018,11
Saudi Arabia,1991,91
Saudi Arabia,2003,26
Saudi Arabia,2004,91
Saudi Arabia,2005,31
Saudi Arabia,2006,11
Saudi Arabia,2007,2
Saudi Arabia,2015,110
Saudi Arabia,2016,115
Saudi Arabia,2017,3
Saudi Arabia,2018,11
Senegal,1989,121
Senegal,1990,84
Senegal,1991,16
Senegal,1992,135
Senegal,1993,285
Senegal,1995,329
Senegal,1996,5
Senegal,1997,366
Senegal,1998,343
Senegal,1999,31
Senegal,2000,56
Senegal,2001,47
Senegal,2002,45
Senegal,2003,39
Senegal,2004,3
Senegal,2005,46
Senegal,2006,126
Senegal,2008,11
Senegal,2009,19
Senegal,2010,19
Senegal,2011,37
Senegal,2012,23
Senegal,2013,8
Senegal,2018,1
Serbia,1991,3295
Serbia,1992,342
Serbia,1995,0
Serbia,1996,2
Serbia,1997,9
Serbia,1998,1446
Serbia,1999,2173
Serbia,2001,0
Sierra Leone,1991,1225
Sierra Leone,1992,531
Sierra Leone,1993,642
Sierra Leone,1994,2097
Sierra Leone,1995,3194
Sierra Leone,1996,943
Sierra Leone,1997,1233
Sierra Leone,1998,5155
Sierra Leone,1999,4493
Sierra Leone,2000,856
Sierra Leone,2001,73
Sierra Leone,2002,1
Solomon Islands,1992,2
Somalia,1989,1061
Somalia,1990,2700
Somalia,1991,8455
Somalia,1992,4729
Somalia,1993,483
Somalia,1994,626
Somalia,1995,444
Somalia,1996,949
Somalia,1997,277
Somalia,1998,330
Somalia,1999,542
Somalia,2000,185
Somalia,2001,486
Somalia,2002,638
Somalia,2003,426
Somalia,2004,670
Somalia,2005,309
Somalia,2006,1174
Somalia,2007,1620
