Entity,Year,"Age-standardised death rates from air pollution (per 100,000)- IHME GBD SDG indicators"
Djibouti,2015,133.8
Dominica,1990,78.2
Dominica,1995,65.2
Dominica,2000,51.3
Dominica,2005,43.1
Dominica,2010,37.4
Dominica,2015,35.4
Dominican Republic,1990,75.6
Dominican Republic,1995,66.6
Dominican Republic,2000,63.1
Dominican Republic,2005,58.2
Dominican Republic,2010,56.4
Dominican Republic,2015,52.3
Ecuador,1990,77.7
Ecuador,1995,67
Ecuador,2000,55.8
Ecuador,2005,45.7
Ecuador,2010,34.6
Ecuador,2015,29.9
Egypt,1990,142.1
Egypt,1995,130.9
Egypt,2000,114.7
Egypt,2005,115.9
Egypt,2010,122
Egypt,2015,115
El Salvador,1990,127.3
El Salvador,1995,111.4
El Salvador,2000,90.3
El Salvador,2005,75.4
El Salvador,2010,60.1
El Salvador,2015,56.2
Equatorial Guinea,1990,418.6
Equatorial Guinea,1995,398.9
Equatorial Guinea,2000,319.5
Equatorial Guinea,2005,246.6
Equatorial Guinea,2010,226.9
Equatorial Guinea,2015,214.5
Eritrea,1990,316.4
Eritrea,1995,251.7
Eritrea,2000,220.5
Eritrea,2005,219.4
Eritrea,2010,229.5
Eritrea,2015,228.4
Estonia,1990,113.5
Estonia,1995,108.4
Estonia,2000,81.4
Estonia,2005,58.3
Estonia,2010,35.7
Estonia,2015,33
Ethiopia,1990,337.2
Ethiopia,1995,295.4
Ethiopia,2000,263.2
Ethiopia,2005,231.3
Ethiopia,2010,192.1
Ethiopia,2015,181.4
Fiji,1990,138.3
Fiji,1995,131.2
Fiji,2000,114
Fiji,2005,90.2
Fiji,2010,67.6
Fiji,2015,58.6
Finland,1990,34
Finland,1995,27.1
Finland,2000,22
Finland,2005,16.9
Finland,2010,15
Finland,2015,14.2
France,1990,27
France,1995,24
France,2000,22.1
France,2005,17.6
France,2010,15.5
France,2015,15.4
Gabon,1990,261.9
Gabon,1995,242.1
Gabon,2000,211.8
Gabon,2005,169.1
Gabon,2010,126.4
Gabon,2015,114.8
Gambia,1990,250.7
Gambia,1995,236
Gambia,2000,231.8
Gambia,2005,218.9
Gambia,2010,209
Gambia,2015,201.1
Georgia,1990,181.3
Georgia,1995,158.8
Georgia,2000,155.7
Georgia,2005,145.3
Georgia,2010,122.8
Georgia,2015,105.3
Germany,1990,49.7
Germany,1995,40.7
Germany,2000,34.7
Germany,2005,27.9
Germany,2010,24.8
Germany,2015,23.8
Ghana,1990,280.8
Ghana,1995,249.3
Ghana,2000,252.8
Ghana,2005,242.6
Ghana,2010,224.1
Ghana,2015,204.9
Greece,1990,40.3
Greece,1995,36.4
Greece,2000,34.7
Greece,2005,29.1
Greece,2010,27.8
Greece,2015,29.1
Grenada,1990,113.4
Grenada,1995,86.8
Grenada,2000,69
Grenada,2005,58.8
Grenada,2010,48.3
Grenada,2015,47.7
Guatemala,1990,170.1
Guatemala,1995,157.9
Guatemala,2000,144
Guatemala,2005,121.6
Guatemala,2010,100.3
Guatemala,2015,89.3
Guinea,1990,270.1
Guinea,1995,266.8
Guinea,2000,274.3
Guinea,2005,258.3
Guinea,2010,262.6
Guinea,2015,258.7
Guinea-Bissau,1990,297.5
Guinea-Bissau,1995,295.5
Guinea-Bissau,2000,302.2
Guinea-Bissau,2005,301.9
Guinea-Bissau,2010,304
Guinea-Bissau,2015,290.3
Guyana,1990,136.1
Guyana,1995,143
Guyana,2000,107.5
Guyana,2005,96
Guyana,2010,79.4
Guyana,2015,75.1
Haiti,1990,300.3
Haiti,1995,266.2
Haiti,2000,237.6
Haiti,2005,224.4
Haiti,2010,212.4
Haiti,2015,201.7
Honduras,1990,134
Honduras,1995,158.1
Honduras,2000,157.2
Honduras,2005,147.7
Honduras,2010,128.2
Honduras,2015,116.9
Hungary,1990,133.8
Hungary,1995,115.4
Hungary,2000,95.8
Hungary,2005,80.4
Hungary,2010,71
Hungary,2015,57.4
Iceland,1990,27.4
Iceland,1995,23.9
Iceland,2000,19.6
Iceland,2005,16.1
Iceland,2010,13.7
Iceland,2015,12.7
India,1990,312.9
India,1995,301.8
India,2000,287.9
India,2005,259.8
India,2010,241.5
India,2015,223.1
Indonesia,1990,139.7
Indonesia,1995,129.2
Indonesia,2000,116.2
Indonesia,2005,111.5
Indonesia,2010,99.2
Indonesia,2015,82.5
Iran,1990,103.8
Iran,1995,93
Iran,2000,86.7
Iran,2005,80.9
Iran,2010,80.2
Iran,2015,73.6
Iraq,1990,133.5
Iraq,1995,139.8
Iraq,2000,141.6
Iraq,2005,141.1
Iraq,2010,147.8
Iraq,2015,113.8
Ireland,1990,40.4
Ireland,1995,36.1
Ireland,2000,31.1
Ireland,2005,23.7
Ireland,2010,20.1
Ireland,2015,20
Israel,1990,45.8
Israel,1995,38.8
Israel,2000,31.1
Israel,2005,26.1
Israel,2010,21.9
Israel,2015,23.4
Italy,1990,38.1
Italy,1995,32.2
Italy,2000,28.3
Italy,2005,23
Italy,2010,20.5
Italy,2015,23.6
Jamaica,1990,80.1
Jamaica,1995,72.1
Jamaica,2000,56.2
Jamaica,2005,45.5
Jamaica,2010,40.5
Jamaica,2015,42
Japan,1990,27.4
Japan,1995,24.1
Japan,2000,20.7
Japan,2005,19.6
Japan,2010,17.2
Japan,2015,17.3
Jordan,1990,77
Jordan,1995,71.8
Jordan,2000,66.6
Jordan,2005,59
Jordan,2010,44.7
Jordan,2015,43.7
Kazakhstan,1990,162.9
Kazakhstan,1995,181.5
Kazakhstan,2000,162.6
Kazakhstan,2005,142.6
Kazakhstan,2010,106.1
Kazakhstan,2015,95.8
Kenya,1990,160.2
Kenya,1995,161.7
Kenya,2000,149.7
Kenya,2005,139.4
Kenya,2010,134.4
Kenya,2015,129
Kiribati,1990,139.7
Kiribati,1995,129.3
Kiribati,2000,120
Kiribati,2005,106.6
Kiribati,2010,84.7
Kiribati,2015,70.3
Kuwait,1990,61.6
Kuwait,1995,76.2
Kuwait,2000,65.8
Kuwait,2005,68.1
Kuwait,2010,76.7
Kuwait,2015,55.2
Kyrgyzstan,1990,222.7
Kyrgyzstan,1995,231
Kyrgyzstan,2000,203.8
Kyrgyzstan,2005,186.9
Kyrgyzstan,2010,161.8
Kyrgyzstan,2015,133.5
Laos,1990,314.7
Laos,1995,303.2
Laos,2000,280
Laos,2005,247.2
Laos,2010,212.7
Laos,2015,191.1
Latvia,1990,137.2
Latvia,1995,138.5
Latvia,2000,97.1
Latvia,2005,85.5
Latvia,2010,64.9
Latvia,2015,59.3
Lebanon,1990,78
Lebanon,1995,63
Lebanon,2000,51.9
Lebanon,2005,46.3
Lebanon,2010,47.3
Lebanon,2015,46
Lesotho,1990,222
Lesotho,1995,216.2
Lesotho,2000,239.8
Lesotho,2005,308.3
Lesotho,2010,288.7
Lesotho,2015,275.9
Liberia,1990,229.8
Liberia,1995,208.3
Liberia,2000,189.9
Liberia,2005,188.4
Liberia,2010,192.1
Liberia,2015,177.1
Libya,1990,81
Libya,1995,73.3
Libya,2000,72.8
Libya,2005,70.4
Libya,2010,72.9
Libya,2015,82
Lithuania,1990,121.9
Lithuania,1995,118.7
Lithuania,2000,85.6
Lithuania,2005,77.1
Lithuania,2010,63.8
Lithuania,2015,55.6
Luxembourg,1990,50.6
Luxembourg,1995,41.1
Luxembourg,2000,34.9
Luxembourg,2005,28.4
Luxembourg,2010,23.3
Luxembourg,2015,20.9
Macedonia,1990,161.6
Macedonia,1995,159.5
Macedonia,2000,143.1
Macedonia,2005,120.4
Macedonia,2010,107.8
Macedonia,2015,89.3
Madagascar,1990,284.6
Madagascar,1995,282
Madagascar,2000,273.1
Madagascar,2005,259.3
Madagascar,2010,249.2
Madagascar,2015,246.9
Malawi,1990,225.5
Malawi,1995,236.1
Malawi,2000,245.9
Malawi,2005,212
Malawi,2010,182.5
Malawi,2015,167.8
Malaysia,1990,82.9
Malaysia,1995,74.1
Malaysia,2000,65.8
Malaysia,2005,67.8
Malaysia,2010,57.4
Malaysia,2015,53.5
Maldives,1990,147.5
Maldives,1995,120.5
Maldives,2000,86
Maldives,2005,57.8
Maldives,2010,43.4
Maldives,2015,43.5
Mali,1990,230
Mali,1995,223.3
Mali,2000,205.4
Mali,2005,180.6
Mali,2010,177.6
Mali,2015,175.4
Malta,1990,42.2
Malta,1995,35.3
Malta,2000,32.4
Malta,2005,24.3
Malta,2010,24.7
Malta,2015,24.6
Marshall Islands,1990,105.7
Marshall Islands,1995,107.3
Marshall Islands,2000,113
Marshall Islands,2005,107.9
Marshall Islands,2010,92.3
Marshall Islands,2015,77
Mauritania,1990,255.8
Mauritania,1995,244.2
Mauritania,2000,215.2
Mauritania,2005,177.6
Mauritania,2010,161.4
Mauritania,2015,157.9
Mauritius,1990,114.7
Mauritius,1995,98.1
Mauritius,2000,80.1
Mauritius,2005,61.5
Mauritius,2010,40.8
Mauritius,2015,39.2
Mexico,1990,63.2
Mexico,1995,59.8
Mexico,2000,55.1
Mexico,2005,50.1
Mexico,2010,43.6
Mexico,2015,42.3
Moldova,1990,202.7
Moldova,1995,229.1
Moldova,2000,168.8
Moldova,2005,125.5
Moldova,2010,103
Moldova,2015,75.6
Mongolia,1990,227.4
Mongolia,1995,245.9
Mongolia,2000,253.8
Mongolia,2005,235.3
Mongolia,2010,196
Mongolia,2015,161.8
Montenegro,1990,126.5
Montenegro,1995,128.2
Montenegro,2000,118.3
Montenegro,2005,96.9
Montenegro,2010,90.8
Montenegro,2015,86.9
Morocco,1990,76.7
Morocco,1995,67.3
Morocco,2000,56.4
Morocco,2005,49.9
Morocco,2010,45.9
Morocco,2015,46.6
Mozambique,1990,201.1
Mozambique,1995,195.4
Mozambique,2000,203.6
Mozambique,2005,190.5
Mozambique,2010,192.1
Mozambique,2015,185.8
Myanmar,1990,237.9
Myanmar,1995,231.6
Myanmar,2000,220
Myanmar,2005,202.7
Myanmar,2010,178.3
Myanmar,2015,166.4
Namibia,1990,265.4
Namibia,1995,266.9
Namibia,2000,306.7
Namibia,2005,258.4
Namibia,2010,181.3
Namibia,2015,154.9
Nepal,1990,256
Nepal,1995,234.2
Nepal,2000,217.2
Nepal,2005,210.5
Nepal,2010,209.6
Nepal,2015,197.2
Netherlands,1990,44.8
Netherlands,1995,41.1
Netherlands,2000,37.2
Netherlands,2005,29.9
Netherlands,2010,25.5
Netherlands,2015,24
New Zealand,1990,22.8
New Zealand,1995,19.5
New Zealand,2000,16.3
New Zealand,2005,13.2
New Zealand,2010,9.2
New Zealand,2015,9
Nicaragua,1990,85
Nicaragua,1995,79.8
Nicaragua,2000,73
Nicaragua,2005,72.8
Nicaragua,2010,64.6
Nicaragua,2015,59.8
Niger,1990,308.8
Niger,1995,293.8
Niger,2000,278.1
Niger,2005,257.7
Niger,2010,245.2
Niger,2015,236.8
Nigeria,1990,281
Nigeria,1995,258.4
Nigeria,2000,241.8
Nigeria,2005,213.2
Nigeria,2010,177.9
Nigeria,2015,153.2
North Korea,1990,200
North Korea,1995,196.5
North Korea,2000,202.6
North Korea,2005,197.4
North Korea,2010,184.4
North Korea,2015,169.6
Norway,1990,35.6
Norway,1995,30.4
Norway,2000,25.8
Norway,2005,19.5
Norway,2010,17.7
Norway,2015,16.5
Oman,1990,87
Oman,1995,79.2
Oman,2000,76.3
Oman,2005,70.2
Oman,2010,71.5
Oman,2015,65.1
Pakistan,1990,247.5
Pakistan,1995,268.8
Pakistan,2000,281.6
Pakistan,2005,262.1
Pakistan,2010,236.3
Pakistan,2015,227.9
Palestine,1990,64.7
Palestine,1995,58.8
Palestine,2000,53.2
Palestine,2005,52.6
Palestine,2010,58.5
Palestine,2015,61.9
Panama,1990,69.6
Panama,1995,60
Panama,2000,49.1
Panama,2005,43.7
Panama,2010,35.3
Panama,2015,32.2
Papua New Guinea,1990,340.7
Papua New Guinea,1995,320.1
Papua New Guinea,2000,306.4
Papua New Guinea,2005,295.8
Papua New Guinea,2010,272.2
Papua New Guinea,2015,256.8
Paraguay,1990,116.1
Paraguay,1995,111.5
Paraguay,2000,102.2
Paraguay,2005,97.4
Paraguay,2010,85.2
Paraguay,2015,71.7
Peru,1990,142.3
Peru,1995,118.9
Peru,2000,97.7
Peru,2005,89.9
Peru,2010,71.3
Peru,2015,61.4
Philippines,1990,152
Philippines,1995,142.4
Philippines,2000,142
Philippines,2005,164.1
Philippines,2010,155
Philippines,2015,142.9
Poland,1990,137.5
Poland,1995,111.4
Poland,2000,86.5
Poland,2005,71.3
Poland,2010,64.3
Poland,2015,53.1
Portugal,1990,36.2
Portugal,1995,32.1
Portugal,2000,29.3
Portugal,2005,24.7
Portugal,2010,19.5
Portugal,2015,17.8
Qatar,1990,90
Qatar,1995,95.2
Qatar,2000,90.7
Qatar,2005,77.3
Qatar,2010,57
Qatar,2015,51.9
Romania,1990,159.6
Romania,1995,153.2
Romania,2000,127.9
Romania,2005,101.7
Romania,2010,88.9
Romania,2015,74.3
Russia,1990,115
Russia,1995,131
Russia,2000,119.6
Russia,2005,106.1
Russia,2010,82
Russia,2015,68.1
Rwanda,1990,348.7
Rwanda,1995,450.8
Rwanda,2000,326.5
Rwanda,2005,205.1
Rwanda,2010,191.6
Rwanda,2015,191.7
Saint Lucia,1990,100.9
Saint Lucia,1995,80
Saint Lucia,2000,63.6
Saint Lucia,2005,51.4
Saint Lucia,2010,37.3
Saint Lucia,2015,37.4
Saint Vincent and the Grenadines,1990,126.5
Saint Vincent and the Grenadines,1995,116.3
Saint Vincent and the Grenadines,2000,84.4
Saint Vincent and the Grenadines,2005,61.6
Saint Vincent and the Grenadines,2010,51.3
Saint Vincent and the Grenadines,2015,47.7
Samoa,1990,110.3
Samoa,1995,97.3
Samoa,2000,88.9
Samoa,2005,80.3
Samoa,2010,67.8
Samoa,2015,60
Sao Tome and Principe,1990,245.7
Sao Tome and Principe,1995,247.9
Sao Tome and Principe,2000,252
Sao Tome and Principe,2005,244.1
Sao Tome and Principe,2010,218.2
Sao Tome and Principe,2015,198
Saudi Arabia,1990,83
Saudi Arabia,1995,78.7
Saudi Arabia,2000,75.2
Saudi Arabia,2005,70.5
Saudi Arabia,2010,72.8
Saudi Arabia,2015,67.3
Senegal,1990,213.5
Senegal,1995,207.3
Senegal,2000,198.5
Senegal,2005,181.6
Senegal,2010,191.2
Senegal,2015,196.3
Serbia,1990,142.4
Serbia,1995,149.3
Serbia,2000,143.6
Serbia,2005,113.1
Serbia,2010,94.6
Serbia,2015,81.9
Seychelles,1990,78
Seychelles,1995,68.1
Seychelles,2000,58.3
Seychelles,2005,53.8
Seychelles,2010,42.4
Seychelles,2015,35.9
Sierra Leone,1990,264.5
Sierra Leone,1995,259.4
Sierra Leone,2000,271.6
Sierra Leone,2005,285.7
Sierra Leone,2010,281.4
Sierra Leone,2015,253.2
Singapore,1990,65.3
Singapore,1995,60.2
Singapore,2000,48.9
Singapore,2005,48.6
Singapore,2010,35.3
Singapore,2015,33
Slovakia,1990,128.8
Slovakia,1995,99.2
Slovakia,2000,83.7
Slovakia,2005,69.8
Slovakia,2010,60.6
Slovakia,2015,49.7
Slovenia,1990,82.8
Slovenia,1995,68.4
Slovenia,2000,54.3
Slovenia,2005,41.2
Slovenia,2010,32.3
Slovenia,2015,31.2
Solomon Islands,1990,245
Solomon Islands,1995,229.2
Solomon Islands,2000,219.4
Solomon Islands,2005,221.3
Solomon Islands,2010,195.7
Solomon Islands,2015,179.1
Somalia,1990,310.7
Somalia,1995,305.2
Somalia,2000,293.3
Somalia,2005,271.5
Somalia,2010,274.3
Somalia,2015,264.5
South Africa,1990,197.6
South Africa,1995,180.5
South Africa,2000,202.6
South Africa,2005,164.1
South Africa,2010,124.4
South Africa,2015,106.7
South Korea,1990,69.3
South Korea,1995,52.5
South Korea,2000,42
South Korea,2005,32.8
South Korea,2010,27.6
South Korea,2015,28.3
South Sudan,1990,276.5
South Sudan,1995,265.8
South Sudan,2000,241
South Sudan,2005,227.1
South Sudan,2010,230.4
South Sudan,2015,232.6
Spain,1990,29.7
Spain,1995,27
Spain,2000,24.8
Spain,2005,21.2
Spain,2010,16.8
Spain,2015,15.4
Sri Lanka,1990,120.2
Sri Lanka,1995,108.6
Sri Lanka,2000,110.3
Sri Lanka,2005,110.9
Sri Lanka,2010,94
Sri Lanka,2015,79.4
Sudan,1990,281.4
Sudan,1995,271.5
Sudan,2000,253.9
Sudan,2005,240.2
Sudan,2010,211.7
Sudan,2015,191.6
Suriname,1990,116.8
Suriname,1995,104
Suriname,2000,94.9
Suriname,2005,71.5
Suriname,2010,54.5
Suriname,2015,50.5
Swaziland,1990,273.4
Swaziland,1995,227.7
Swaziland,2000,279.2
Swaziland,2005,337.6
Swaziland,2010,297
Swaziland,2015,251.8
Sweden,1990,21.4
Sweden,1995,17.2
Sweden,2000,14.5
Sweden,2005,10.7
Sweden,2010,9.6
Sweden,2015,11.4
Switzerland,1990,31.2
Switzerland,1995,27.6
Switzerland,2000,23.4
Switzerland,2005,18.8
Switzerland,2010,16.2
Switzerland,2015,16.4
Syria,1990,105
Syria,1995,89.4
Syria,2000,80.3
Syria,2005,73.7
Syria,2010,73.9
Syria,2015,74.6
Taiwan,1990,53.5
Taiwan,1995,47.3
Taiwan,2000,42.1
Taiwan,2005,39.7
Taiwan,2010,37.6
Taiwan,2015,35.8
Tajikistan,1990,292.5
Tajikistan,1995,304.3
Tajikistan,2000,292.6
Tajikistan,2005,222.4
Tajikistan,2010,183.7
Tajikistan,2015,153.9
Tanzania,1990,233.2
Tanzania,1995,230.9
Tanzania,2000,210.3
Tanzania,2005,187.6
Tanzania,2010,175.5
Tanzania,2015,176.3
Thailand,1990,118.7
Thailand,1995,109.2
Thailand,2000,99.9
Thailand,2005,83.8
Thailand,2010,73.7
Thailand,2015,71.7
Timor-Leste,1990,212.4
Timor-Leste,1995,190
Timor-Leste,2000,172.4
Timor-Leste,2005,157.6
Timor-Leste,2010,129.9
Timor-Leste,2015,121.8
Togo,1990,260.7
Togo,1995,265.3
Togo,2000,277.4
Togo,2005,260.2
Togo,2010,249.6
Togo,2015,234.1
Tonga,1990,108.8
Tonga,1995,101.8
Tonga,2000,93.1
Tonga,2005,77.5
Tonga,2010,58.8
Tonga,2015,51
Trinidad and Tobago,1990,73.2
Trinidad and Tobago,1995,68.2
Trinidad and Tobago,2000,60.2
Trinidad and Tobago,2005,43.2
Trinidad and Tobago,2010,36.3
Trinidad and Tobago,2015,38.5
Tunisia,1990,79.2
Tunisia,1995,74.8
Tunisia,2000,59.7
Tunisia,2005,46
Tunisia,2010,45.7
Tunisia,2015,49.4
Turkey,1990,119.8
Turkey,1995,101.4
Turkey,2000,77.9
Turkey,2005,58.9
Turkey,2010,46.4
Turkey,2015,45.5
Turkmenistan,1990,158.1
Turkmenistan,1995,163.2
Turkmenistan,2000,160.1
Turkmenistan,2005,115.6
Turkmenistan,2010,113.3
Turkmenistan,2015,102
Uganda,1990,270.3
Uganda,1995,276.5
Uganda,2000,276.1
Uganda,2005,255.2
Uganda,2010,223.9
Uganda,2015,217.1
Ukraine,1990,144.3
Ukraine,1995,153.2
Ukraine,2000,128.1
Ukraine,2005,115.9
Ukraine,2010,93.2
Ukraine,2015,82.9
United Arab Emirates,1990,117
United Arab Emirates,1995,112
United Arab Emirates,2000,106.1
United Arab Emirates,2005,85.6
United Arab Emirates,2010,89.1
United Arab Emirates,2015,87.5
United Kingdom,1990,50.6
United Kingdom,1995,44.5
United Kingdom,2000,37.5
United Kingdom,2005,29.7
United Kingdom,2010,24.7
United Kingdom,2015,23.7
United States,1990,38.4
United States,1995,35.6
United States,2000,32.6
United States,2005,28.2
United States,2010,21.6
United States,2015,20.7
Uruguay,1990,48.4
Uruguay,1995,44.3
Uruguay,2000,38.4
Uruguay,2005,33.4
Uruguay,2010,30
Uruguay,2015,27.5
Uzbekistan,1990,197
Uzbekistan,1995,197.7
Uzbekistan,2000,176.5
Uzbekistan,2005,151.9
Uzbekistan,2010,134.6
Uzbekistan,2015,122.3
Vanuatu,1990,243
Vanuatu,1995,235.5
Vanuatu,2000,223.1
Vanuatu,2005,216.3
Vanuatu,2010,185.9
Vanuatu,2015,167.9
Venezuela,1990,70.7
Venezuela,1995,63.3
Venezuela,2000,58.4
Venezuela,2005,51
Venezuela,2010,44.2
Venezuela,2015,45.9
Vietnam,1990,138.3
Vietnam,1995,136.1
Vietnam,2000,128.7
Vietnam,2005,116.3
Vietnam,2010,96.4
Vietnam,2015,86.7
Yemen,1990,302.4
Yemen,1995,265.5
Yemen,2000,235.4
Yemen,2005,204.8
Yemen,2010,193.5
Yemen,2015,183.4
Zambia,1990,239.6
Zambia,1995,275.1
Zambia,2000,292
Zambia,2005,295.1
Zambia,2010,271
Zambia,2015,243.1
