Entity,Year,Total population (Gapminder)
Albania,1920,932000
Albania,1921,937000
Albania,1922,942000
Albania,1923,947000
Albania,1924,952000
Albania,1925,956000
Albania,1926,962000
Albania,1927,967000
Albania,1928,972000
Albania,1929,977000
Albania,1930,982000
Albania,1931,988000
Albania,1932,993000
Albania,1933,998000
Albania,1934,1003000
Albania,1935,1009000
Albania,1936,1014000
Albania,1937,1030000
Albania,1938,1040000
Albania,1939,1070000
Albania,1940,1088000
Albania,1941,1100000
Albania,1942,1117000
Albania,1943,1119000
Albania,1944,1122000
Albania,1945,1138000
Albania,1946,1154000
Albania,1947,1175000
Albania,1948,1192000
Albania,1949,1209000
Albania,1950,1215002
Albania,1951,1239971
Albania,1952,1269302
Albania,1953,1302536
Albania,1954,1339240
Albania,1955,1378998
Albania,1956,1421417
Albania,1957,1466124
Albania,1958,1512765
Albania,1959,1561012
Albania,1960,1610565
Albania,1961,1661158
Albania,1962,1712563
Albania,1963,1764593
Albania,1964,1817098
Albania,1965,1869942
Albania,1966,1922993
Albania,1967,1976140
Albania,1968,2029314
Albania,1969,2082474
Albania,1970,2135599
Albania,1971,2188650
Albania,1972,2241623
Albania,1973,2294578
Albania,1974,2347607
Albania,1975,2400801
Albania,1976,2454255
Albania,1977,2508026
Albania,1978,2562121
Albania,1979,2616530
Albania,1980,2671300
Albania,1981,2725029
Albania,1982,2777592
Albania,1983,2831682
Albania,1984,2891004
Albania,1985,2957390
Albania,1986,3033393
Albania,1987,3116009
Albania,1988,3194854
Albania,1989,3255859
Albania,1990,3289483
Albania,1991,3291695
Albania,1992,3266983
Albania,1993,3224901
Albania,1994,3179442
Albania,1995,3141102
Albania,1996,3112597
Albania,1997,3091902
Albania,1998,3079037
Albania,1999,3072725
Albania,2000,3071856
Albania,2001,3077378
Albania,2002,3089778
Albania,2003,3106701
Albania,2004,3124861
Albania,2005,3141800
Albania,2006,3156607
Albania,2007,3169665
Albania,2008,3181397
Albania,2009,3192723
Albania,2010,3204284
Albania,2011,3215988
Albania,2012,3227373
Albania,2013,3238316
Algeria,1700,1750000
Algeria,1800,2503218
Algeria,1820,2689000
Algeria,1870,3776000
Algeria,1913,5497000
Algeria,1950,8752997
Algeria,1951,8953373
Algeria,1952,9140990
Algeria,1953,9326099
Algeria,1954,9515990
Algeria,1955,9715002
Algeria,1956,9924347
Algeria,1957,10142284
Algeria,1958,10364614
Algeria,1959,10585506
Algeria,1960,10799997
Algeria,1961,11006643
Algeria,1962,11209845
Algeria,1963,11420845
Algeria,1964,11654905
Algeria,1965,11923002
Algeria,1966,12229853
Algeria,1967,12572629
Algeria,1968,12945462
Algeria,1969,13338918
Algeria,1970,13746185
Algeria,1971,14165889
Algeria,1972,14600659
Algeria,1973,15052371
Algeria,1974,15524137
Algeria,1975,16018195
Algeria,1976,16533323
Algeria,1977,17068212
Algeria,1978,17624756
Algeria,1979,18205468
Algeria,1980,18811199
Algeria,1981,19442423
Algeria,1982,20095648
Algeria,1983,20762767
Algeria,1984,21433070
Algeria,1985,22098298
Algeria,1986,22753511
Algeria,1987,23398470
Algeria,1988,24035237
Algeria,1989,24668100
Algeria,1990,25299182
Algeria,1991,25930560
Algeria,1992,26557969
Algeria,1993,27169903
Algeria,1994,27751086
Algeria,1995,28291591
Algeria,1996,28786855
Algeria,1997,29242917
Algeria,1998,29673694
Algeria,1999,30099010
Algeria,2000,30533827
Algeria,2001,30982214
Algeria,2002,31441848
Algeria,2003,31913462
Algeria,2004,32396048
Algeria,2005,32888449
Algeria,2006,33391954
Algeria,2007,33906605
Algeria,2008,34428028
Algeria,2009,34950168
Algeria,2010,35468208
Algeria,2011,35980193
Algeria,2012,36485828
Algeria,2013,36983924
American Samoa,1700,7427
American Samoa,1800,8170
American Samoa,1850,8100
American Samoa,1900,5700
American Samoa,1912,7300
American Samoa,1920,8100
American Samoa,1930,10000
American Samoa,1940,13000
American Samoa,1950,18937
American Samoa,1951,19287
American Samoa,1952,19525
American Samoa,1953,19659
American Samoa,1954,19706
American Samoa,1955,19688
American Samoa,1956,19640
American Samoa,1957,19603
American Samoa,1958,19624
American Samoa,1959,19757
American Samoa,1960,20041
American Samoa,1961,20500
American Samoa,1962,21124
American Samoa,1963,21870
American Samoa,1964,22672
American Samoa,1965,23480
American Samoa,1966,24283
American Samoa,1967,25087
American Samoa,1968,25869
American Samoa,1969,26608
American Samoa,1970,27288
American Samoa,1971,27907
American Samoa,1972,28470
American Samoa,1973,28983
American Samoa,1974,29453
American Samoa,1975,29897
American Samoa,1976,30305
American Samoa,1977,30696
American Samoa,1978,31139
American Samoa,1979,31727
American Samoa,1980,32526
American Samoa,1981,33557
American Samoa,1982,34797
American Samoa,1983,36203
American Samoa,1984,37706
American Samoa,1985,39253
American Samoa,1986,40834
American Samoa,1987,42446
American Samoa,1988,44048
American Samoa,1989,45595
American Samoa,1990,47052
American Samoa,1991,48402
American Samoa,1992,49648
American Samoa,1993,50801
American Samoa,1994,51885
American Samoa,1995,52919
American Samoa,1996,53901
American Samoa,1997,54834
American Samoa,1998,55745
American Samoa,1999,56667
American Samoa,2000,57625
American Samoa,2001,58633
American Samoa,2002,59687
American Samoa,2003,60774
American Samoa,2004,61871
American Samoa,2005,62962
American Samoa,2006,64045
American Samoa,2007,65130
American Samoa,2008,66217
American Samoa,2009,67312
American Samoa,2010,68420
American Samoa,2011,69543
American Samoa,2012,70680
American Samoa,2013,71834
Andorra,1800,2654
Andorra,1820,2654
Andorra,1950,6197
Andorra,1951,6692
Andorra,1952,7247
Andorra,1953,7856
Andorra,1954,8514
Andorra,1955,9217
Andorra,1956,9964
Andorra,1957,10754
Andorra,1958,11585
Andorra,1959,12460
Andorra,1960,13377
Andorra,1961,14337
Andorra,1962,15337
Andorra,1963,16373
Andorra,1964,17438
Andorra,1965,18529
Andorra,1966,19640
Andorra,1967,20772
Andorra,1968,21931
Andorra,1969,23127
Andorra,1970,24364
Andorra,1971,25656
Andorra,1972,26997
Andorra,1973,28357
Andorra,1974,29688
Andorra,1975,30967
Andorra,1976,32156
Andorra,1977,33279
Andorra,1978,34432
Andorra,1979,35753
Andorra,1980,37328
Andorra,1981,39226
Andorra,1982,41390
Andorra,1983,43636
Andorra,1984,45702
Andorra,1985,47414
Andorra,1986,48653
Andorra,1987,49504
Andorra,1988,50236
Andorra,1989,51241
Andorra,1990,52773
Andorra,1991,54996
Andorra,1992,57767
Andorra,1993,60670
Andorra,1994,63111
Andorra,1995,64699
Andorra,1996,65227
Andorra,1997,64905
Andorra,1998,64246
Andorra,1999,63985
Andorra,2000,64634
Andorra,2001,66390
Andorra,2002,69043
Andorra,2003,72203
Andorra,2004,75292
Andorra,2005,77888
Andorra,2006,79874
Andorra,2007,81390
Andorra,2008,82577
Andorra,2009,83677
Andorra,2010,84864
Andorra,2011,86165
Andorra,2012,87518
Andorra,2013,88909
Angola,1800,1567028
Angola,1820,1567028
Angola,1940,3738000
Angola,1950,4147509
Angola,1951,4219332
Angola,1952,4296534
Angola,1953,4376947
Angola,1954,4458962
Angola,1955,4541519
Angola,1956,4624143
Angola,1957,4706909
Angola,1958,4790376
Angola,1959,4875462
Angola,1960,4963068
Angola,1961,5053693
Angola,1962,5147083
Angola,1963,5242084
Angola,1964,5337063
Angola,1965,5431135
Angola,1966,5524090
Angola,1967,5617242
Angola,1968,5713156
Angola,1969,5815282
Angola,1970,5926333
Angola,1971,6047736
Angola,1972,6179685
Angola,1973,6322194
Angola,1974,6474796
Angola,1975,6637419
Angola,1976,6808850
Angola,1977,6989988
Angola,1978,7185188
Angola,1979,7400231
Angola,1980,7638420
Angola,1981,7903368
Angola,1982,8191774
Angola,1983,8491682
Angola,1984,8786652
Angola,1985,9065562
Angola,1986,9322550
Angola,1987,9562796
Angola,1988,9799680
Angola,1989,10052567
Angola,1990,10335052
Angola,1991,10653515
Angola,1992,11002910
Angola,1993,11371750
Angola,1994,11742960
Angola,1995,12105105
Angola,1996,12452725
Angola,1997,12792237
Angola,1998,13138265
Angola,1999,13511575
Angola,2000,13926373
Angola,2001,14388244
Angola,2002,14890474
Angola,2003,15419943
Angola,2004,15957460
Angola,2005,16489021
Angola,2006,17010366
Angola,2007,17525367
Angola,2008,18037964
Angola,2009,18555115
Angola,2010,19081912
Angola,2011,19618432
Angola,2012,20162517
Angola,2013,20714494
Anguilla,1800,2025
Anguilla,1820,2025
Anguilla,1950,5121
Anguilla,1951,5297
Anguilla,1952,5438
Anguilla,1953,5549
Anguilla,1954,5635
Anguilla,1955,5697
Anguilla,1956,5743
Anguilla,1957,5777
Anguilla,1958,5805
Anguilla,1959,5831
Anguilla,1960,5863
Anguilla,1961,5901
Anguilla,1962,5948
Anguilla,1963,6001
Anguilla,1964,6057
Anguilla,1965,6114
Anguilla,1966,6171
Anguilla,1967,6228
Anguilla,1968,6287
Anguilla,1969,6344
Anguilla,1970,6400
Anguilla,1971,6454
Anguilla,1972,6506
Anguilla,1973,6554
Anguilla,1974,6596
Anguilla,1975,6630
Anguilla,1976,6662
Anguilla,1977,6691
Anguilla,1978,6713
Anguilla,1979,6716
Anguilla,1980,6698
Anguilla,1981,6651
Anguilla,1982,6586
Anguilla,1983,6536
Anguilla,1984,6551
Anguilla,1985,6661
Anguilla,1986,6881
Anguilla,1987,7197
Anguilla,1988,7575
Anguilla,1989,7964
Anguilla,1990,8332
Anguilla,1991,8669
Anguilla,1992,8985
Anguilla,1993,9277
Anguilla,1994,9549
Anguilla,1995,9805
Anguilla,1996,10036
Anguilla,1997,10244
Anguilla,1998,10461
Anguilla,1999,10727
Anguilla,2000,11068
Anguilla,2001,11498
Anguilla,2002,12003
Anguilla,2003,12548
Anguilla,2004,13083
Anguilla,2005,13574
Anguilla,2006,14008
Anguilla,2007,14393
Anguilla,2008,14737
Anguilla,2009,15055
Anguilla,2010,15358
Anguilla,2011,15645
Anguilla,2012,15911
Anguilla,2013,16158
Antigua and Barbuda,1800,37000
Antigua and Barbuda,1851,37000
Antigua and Barbuda,1861,37000
Antigua and Barbuda,1871,35000
Antigua and Barbuda,1881,35000
Antigua and Barbuda,1891,37000
Antigua and Barbuda,1901,35000
Antigua and Barbuda,1911,32000
Antigua and Barbuda,1921,30000
Antigua and Barbuda,1946,42000
Antigua and Barbuda,1950,46301
Antigua and Barbuda,1951,48316
Antigua and Barbuda,1952,49906
Antigua and Barbuda,1953,51117
Antigua and Barbuda,1954,52002
Antigua and Barbuda,1955,52625
Antigua and Barbuda,1956,53061
Antigua and Barbuda,1957,53393
Antigua and Barbuda,1958,53711
Antigua and Barbuda,1959,54107
Antigua and Barbuda,1960,54657
Antigua and Barbuda,1961,55408
Antigua and Barbuda,1962,56362
Antigua and Barbuda,1963,57472
Antigua and Barbuda,1964,58653
Antigua and Barbuda,1965,59844
Antigua and Barbuda,1966,61032
Antigua and Barbuda,1967,62226
Antigua and Barbuda,1968,63401
Antigua and Barbuda,1969,64528
Antigua and Barbuda,1970,65587
Antigua and Barbuda,1971,66554
Antigua and Barbuda,1972,67419
Antigua and Barbuda,1973,68182
Antigua and Barbuda,1974,68848
Antigua and Barbuda,1975,69420
Antigua and Barbuda,1976,69910
Antigua and Barbuda,1977,70301
Antigua and Barbuda,1978,70533
Antigua and Barbuda,1979,70525
Antigua and Barbuda,1980,70228
Antigua and Barbuda,1981,69639
Antigua and Barbuda,1982,68803
Antigua and Barbuda,1983,67792
Antigua and Barbuda,1984,66701
Antigua and Barbuda,1985,65614
Antigua and Barbuda,1986,64539
Antigua and Barbuda,1987,63510
Antigua and Barbuda,1988,62669
Antigua and Barbuda,1989,62192
Antigua and Barbuda,1990,62202
Antigua and Barbuda,1991,62754
Antigua and Barbuda,1992,63802
Antigua and Barbuda,1993,65238
Antigua and Barbuda,1994,66895
Antigua and Barbuda,1995,68642
Antigua and Barbuda,1996,70450
Antigua and Barbuda,1997,72322
Antigua and Barbuda,1998,74190
Antigua and Barbuda,1999,75985
Antigua and Barbuda,2000,77656
Antigua and Barbuda,2001,79165
Antigua and Barbuda,2002,80507
Antigua and Barbuda,2003,81716
Antigua and Barbuda,2004,82838
Antigua and Barbuda,2005,83916
Antigua and Barbuda,2006,84952
Antigua and Barbuda,2007,85935
Antigua and Barbuda,2008,86881
Antigua and Barbuda,2009,87802
Antigua and Barbuda,2010,88710
Antigua and Barbuda,2011,89612
Antigua and Barbuda,2012,90510
Antigua and Barbuda,2013,91404
Argentina,1800,534000
Argentina,1820,534000
Argentina,1850,1100000
Argentina,1870,1796000
Argentina,1890,3376000
Argentina,1900,4693000
Argentina,1901,4873000
Argentina,1902,5060000
Argentina,1903,5254000
Argentina,1904,5455000
Argentina,1905,5664000
Argentina,1906,5881000
Argentina,1907,6107000
Argentina,1908,6341000
Argentina,1909,6584000
Argentina,1910,6836000
Argentina,1911,7098000
Argentina,1912,7370000
Argentina,1913,7653000
Argentina,1914,7885000
Argentina,1915,8072000
Argentina,1916,8226000
Argentina,1917,8374000
Argentina,1918,8518000
Argentina,1919,8672000
Argentina,1920,8861000
Argentina,1921,9092000
Argentina,1922,9368000
Argentina,1923,9707000
Argentina,1924,10054000
Argentina,1925,10358000
Argentina,1926,10652000
Argentina,1927,10965000
Argentina,1928,11282000
Argentina,1929,11592000
Argentina,1930,11896000
Argentina,1931,12167000
Argentina,1932,12402000
Argentina,1933,12623000
Argentina,1934,12834000
Argentina,1935,13044000
Argentina,1936,13260000
Argentina,1937,13490000
Argentina,1938,13724000
Argentina,1939,13984000
Argentina,1940,14169000
Argentina,1941,14402000
Argentina,1942,14638000
Argentina,1943,14877000
Argentina,1944,15130000
Argentina,1945,15390000
Argentina,1946,15654000
Argentina,1947,15942000
Argentina,1948,16307000
Argentina,1949,16737000
Argentina,1950,17150335
Argentina,1951,17506378
Argentina,1952,17865382
Argentina,1953,18223955
Argentina,1954,18579614
Argentina,1955,18930778
Argentina,1956,19276813
Argentina,1957,19617988
Argentina,1958,19955368
Argentina,1959,20290620
Argentina,1960,20625451
Argentina,1961,20961000
Argentina,1962,21297317
Argentina,1963,21633126
Argentina,1964,21966478
Argentina,1965,22296628
Argentina,1966,22622012
Argentina,1967,22944941
Argentina,1968,23273148
Argentina,1969,23616971
Argentina,1970,23983358
Argentina,1971,24376109
Argentina,1972,24791983
Argentina,1973,25222223
Argentina,1974,25654154
Argentina,1975,26078731
Argentina,1976,26492716
Argentina,1977,26899177
Argentina,1978,27303001
Argentina,1979,27711808
Argentina,1980,28131040
Argentina,1981,28561561
Argentina,1982,29001060
Argentina,1983,29447973
Argentina,1984,29899743
Argentina,1985,30354240
Argentina,1986,30810984
Argentina,1987,31269799
Argentina,1988,31729130
Argentina,1989,32187173
Argentina,1990,32642442
Argentina,1991,33093579
Argentina,1992,33540023
Argentina,1993,33982035
Argentina,1994,34420352
Argentina,1995,34855160
Argentina,1996,35287113
Argentina,1997,35714929
Argentina,1998,36134642
Argentina,1999,36541029
Argentina,2000,36930709
Argentina,2001,37302116
Argentina,2002,37657340
Argentina,2003,38001251
Argentina,2004,38340778
Argentina,2005,38681174
Argentina,2006,39023850
Argentina,2007,39368066
Argentina,2008,39714298
Argentina,2009,40062470
Argentina,2010,40412376
Argentina,2011,40764561
Argentina,2012,41118986
Argentina,2013,41473982
Armenia,1800,413326
Armenia,1820,413326
Armenia,1950,1353506
Armenia,1951,1382982
Armenia,1952,1419913
Armenia,1953,1463017
Armenia,1954,1511188
Armenia,1955,1563508
Armenia,1956,1619242
Armenia,1957,1677837
Armenia,1958,1738902
Armenia,1959,1802171
Armenia,1960,1867396
Armenia,1961,1934239
Armenia,1962,2002170
Armenia,1963,2070427
Armenia,1964,2138133
Armenia,1965,2204650
Armenia,1966,2269475
Armenia,1967,2332624
Armenia,1968,2394635
Armenia,1969,2456370
Armenia,1970,2518408
Armenia,1971,2580894
Armenia,1972,2643464
Armenia,1973,2705584
Armenia,1974,2766495
Armenia,1975,2825650
Armenia,1976,2882831
Armenia,1977,2938181
Armenia,1978,2991954
Armenia,1979,3044564
Armenia,1980,3096298
Armenia,1981,3145885
Armenia,1982,3192877
Armenia,1983,3239212
Armenia,1984,3287588
Armenia,1985,3339147
Armenia,1986,3396511
Armenia,1987,3457054
Armenia,1988,3510439
Armenia,1989,3542720
Armenia,1990,3544695
Armenia,1991,3512051
Armenia,1992,3449940
Armenia,1993,3370373
Armenia,1994,3290540
Armenia,1995,3223173
Armenia,1996,3172185
Armenia,1997,3134836
Armenia,1998,3109101
Armenia,1999,3090624
Armenia,2000,3076098
Armenia,2001,3065810
Armenia,2002,3061067
Armenia,2003,3060554
Armenia,2004,3062612
Armenia,2005,3065954
Armenia,2006,3069844
Armenia,2007,3074181
Armenia,2008,3079087
Armenia,2009,3084979
Armenia,2010,3092072
Armenia,2011,3100236
Armenia,2012,3108972
Armenia,2013,3117722
Aruba,1800,19286
Aruba,1820,19286
Aruba,1950,38066
Aruba,1951,38263
Aruba,1952,38966
Aruba,1953,40151
Aruba,1954,41765
Aruba,1955,43729
Aruba,1956,45935
Aruba,1957,48244
Aruba,1958,50500
Aruba,1959,52536
Aruba,1960,54209
Aruba,1961,55436
Aruba,1962,56227
Aruba,1963,56698
Aruba,1964,57031
Aruba,1965,57362
Aruba,1966,57714
Aruba,1967,58052
Aruba,1968,58388
Aruba,1969,58725
Aruba,1970,59066
Aruba,1971,59439
Aruba,1972,59849
Aruba,1973,60238
Aruba,1974,60524
Aruba,1975,60654
Aruba,1976,60589
Aruba,1977,60366
Aruba,1978,60108
Aruba,1979,59980
Aruba,1980,60099
Aruba,1981,60570
Aruba,1982,61347
Aruba,1983,62208
Aruba,1984,62833
Aruba,1985,63030
Aruba,1986,62645
Aruba,1987,61830
Aruba,1988,61069
Aruba,1989,61026
Aruba,1990,62147
Aruba,1991,64642
Aruba,1992,68286
Aruba,1993,72573
Aruba,1994,76762
Aruba,1995,80323
Aruba,1996,83069
Aruba,1997,85161
Aruba,1998,86827
Aruba,1999,88442
Aruba,2000,90271
Aruba,2001,92363
Aruba,2002,94596
Aruba,2003,96875
Aruba,2004,99046
Aruba,2005,100996
Aruba,2006,102711
Aruba,2007,104225
Aruba,2008,105526
Aruba,2009,106612
Aruba,2010,107488
Aruba,2011,108141
Aruba,2012,108587
Aruba,2013,108883
Australia,1700,450000
Australia,1800,351014
Australia,1820,334000
Australia,1821,331000
Australia,1822,329000
Australia,1823,329000
Australia,1824,332000
Australia,1825,333000
Australia,1826,330000
Australia,1827,328000
Australia,1828,326000
Australia,1829,326000
Australia,1830,330000
Australia,1831,333000
Australia,1832,338000
Australia,1833,349000
Australia,1834,354000
Australia,1835,358000
Australia,1836,367000
Australia,1837,373000
Australia,1838,388000
Australia,1839,403000
Australia,1840,420000
Australia,1841,448000
Australia,1842,465000
Australia,1843,472000
Australia,1844,482000
Australia,1845,494000
Australia,1846,505000
Australia,1847,518000
Australia,1848,538000
Australia,1849,576000
Australia,1850,605000
Australia,1851,636000
Australia,1852,710000
Australia,1853,795000
Australia,1854,887000
Australia,1855,983000
Australia,1856,1065000
Australia,1857,1156000
Australia,1858,1235000
Australia,1859,1279000
Australia,1860,1326000
Australia,1861,1346000
Australia,1862,1382000
Australia,1863,1432000
Australia,1864,1495000
Australia,1865,1558000
Australia,1866,1609000
Australia,1867,1647000
Australia,1868,1700000
Australia,1869,1750000
Australia,1870,1775000
Australia,1871,1675000
Australia,1872,1722000
Australia,1873,1769000
Australia,1874,1822000
Australia,1875,1874000
Australia,1876,1929000
Australia,1877,1995000
Australia,1878,2062000
Australia,1879,2127000
Australia,1880,2197000
Australia,1881,2269000
Australia,1882,2348000
Australia,1883,2447000
Australia,1884,2556000
Australia,1885,2650000
Australia,1886,2741000
Australia,1887,2835000
Australia,1888,2932000
Australia,1889,3022000
Australia,1890,3107000
Australia,1891,3196000
Australia,1892,3274000
Australia,1893,3334000
Australia,1894,3395000
Australia,1895,3460000
Australia,1896,3523000
Australia,1897,3586000
Australia,1898,3642000
Australia,1899,3691000
Australia,1900,3741000
Australia,1901,3795000
Australia,1902,3850000
Australia,1903,3896000
Australia,1904,3946000
Australia,1905,4004000
Australia,1906,4062000
Australia,1907,4127000
Australia,1908,4197000
Australia,1909,4278000
Australia,1910,4375000
Australia,1911,4500000
Australia,1912,4661000
Australia,1913,4821000
Australia,1914,4933000
Australia,1915,4971000
Australia,1916,4955000
Australia,1917,4950000
Australia,1918,5032000
Australia,1919,5193000
Australia,1920,5358000
Australia,1921,5461000
Australia,1922,5574000
Australia,1923,5697000
Australia,1924,5819000
Australia,1925,5943000
Australia,1926,6064000
Australia,1927,6188000
Australia,1928,6304000
Australia,1929,6396000
Australia,1930,6469000
Australia,1931,6527000
Australia,1932,6579000
Australia,1933,6631000
Australia,1934,6682000
Australia,1935,6732000
Australia,1936,6783000
Australia,1937,6841000
Australia,1938,6904000
Australia,1939,6971000
Australia,1940,7042000
Australia,1941,7111000
Australia,1942,7173000
Australia,1943,7236000
Australia,1944,7309000
Australia,1945,7389000
Australia,1946,7474000
Australia,1947,7578000
Australia,1948,7715000
Australia,1949,7919000
Australia,1950,8177344
Australia,1951,8398540
Australia,1952,8604679
Australia,1953,8804552
Australia,1954,9004634
Australia,1955,9209085
Australia,1956,9419635
Australia,1957,9635700
Australia,1958,9854726
Australia,1959,10072762
Australia,1960,10286184
Australia,1961,10493531
Australia,1962,10697112
Australia,1963,10903699
Australia,1964,11122567
Australia,1965,11359763
Australia,1966,11617580
Australia,1967,11892163
Australia,1968,12175746
Australia,1969,12457299
Australia,1970,12728362
Australia,1971,12987847
Australia,1972,13236895
Australia,1973,13472175
Australia,1974,13690285
Australia,1975,13889696
Australia,1976,14067994
Australia,1977,14227905
Australia,1978,14379565
Australia,1979,14536839
Australia,1980,14709918
Australia,1981,14901610
Australia,1982,15109659
Australia,1983,15332790
Australia,1984,15567927
Australia,1985,15812088
Australia,1986,16066496
Australia,1987,16330369
Australia,1988,16596096
Australia,1989,16853690
Australia,1990,17096153
Australia,1991,17320633
Australia,1992,17529469
Australia,1993,17727413
Australia,1994,17921818
Australia,1995,18118416
Australia,1996,18319637
Australia,1997,18525153
Australia,1998,18734878
Australia,1999,18947894
Australia,2000,19164351
Australia,2001,19382188
Australia,2002,19604051
Australia,2003,19840120
Australia,2004,20103822
Australia,2005,20403520
Australia,2006,20744295
Australia,2007,21119988
Australia,2008,21513817
Australia,2009,21902300
Australia,2010,22268384
Australia,2011,22605732
Australia,2012,22918688
Australia,2013,23213944
Austria,1700,2500000
Austria,1800,3205587
Austria,1820,3369000
Austria,1821,3386000
Austria,1822,3402000
Austria,1823,3419000
Austria,1824,3436000
Austria,1825,3452000
Austria,1826,3469000
Austria,1827,3486000
Austria,1828,3504000
Austria,1829,3521000
Austria,1830,3538000
Austria,1831,3555000
Austria,1832,3573000
Austria,1833,3590000
Austria,1834,3608000
Austria,1835,3626000
Austria,1836,3614000
Austria,1837,3662000
Austria,1838,3680000
Austria,1839,3698000
Austria,1840,3716000
Austria,1841,3739000
Austria,1842,3762000
Austria,1843,3785000
Austria,1844,3808000
Austria,1845,3831000
Austria,1846,3855000
Austria,1847,3878000
Austria,1848,3902000
Austria,1849,3926000
Austria,1850,3950000
Austria,1851,3978000
Austria,1852,4006000
Austria,1853,4035000
Austria,1854,4063000
Austria,1855,4092000
Austria,1856,4120000
Austria,1857,4150000
Austria,1858,4178000
Austria,1859,4206000
Austria,1860,4235000
Austria,1861,4263000
Austria,1862,4292000
Austria,1863,4321000
Austria,1864,4350000
Austria,1865,4380000
Austria,1866,4409000
Austria,1867,4439000
Austria,1868,4469000
Austria,1869,4499000
Austria,1870,4520000
Austria,1871,4562000
Austria,1872,4604000
Austria,1873,4646000
Austria,1874,4688000
Austria,1875,4730000
Austria,1876,4772000
Austria,1877,4815000
Austria,1878,4857000
Austria,1879,4899000
Austria,1880,4941000
Austria,1881,4985000
Austria,1882,5030000
Austria,1883,5075000
Austria,1884,5121000
Austria,1885,5166000
Austria,1886,5212000
Austria,1887,5257000
Austria,1888,5303000
Austria,1889,5348000
Austria,1890,5394000
Austria,1891,5446000
Austria,1892,5504000
Austria,1893,5563000
Austria,1894,5622000
Austria,1895,5680000
Austria,1896,5739000
Austria,1897,5798000
Austria,1898,5856000
Austria,1899,5915000
Austria,1900,5973000
Austria,1901,6035000
Austria,1902,6099000
Austria,1903,6164000
Austria,1904,6228000
Austria,1905,6292000
Austria,1906,6357000
Austria,1907,6421000
Austria,1908,6485000
Austria,1909,6550000
Austria,1910,6614000
Austria,1911,6669000
Austria,1912,6724000
Austria,1913,6767000
Austria,1914,6806000
Austria,1915,6843000
Austria,1916,6825000
Austria,1917,6785000
Austria,1918,6727000
Austria,1919,6420000
Austria,1920,6455000
Austria,1921,6504000
Austria,1922,6528000
Austria,1923,6543000
Austria,1924,6562000
Austria,1925,6582000
Austria,1926,6603000
Austria,1927,6623000
Austria,1928,6643000
Austria,1929,6664000
Austria,1930,6684000
Austria,1931,6705000
Austria,1932,6725000
Austria,1933,6746000
Austria,1934,6760000
Austria,1935,6761000
Austria,1936,6758000
Austria,1937,6755000
Austria,1938,6753000
Austria,1939,6653000
Austria,1940,6705000
Austria,1941,6745000
Austria,1942,6783000
Austria,1943,6808000
Austria,1944,6834000
Austria,1945,6799000
Austria,1946,7000000
Austria,1947,6971000
Austria,1948,6956000
Austria,1949,6943000
Austria,1950,6936445
Austria,1951,6930746
Austria,1952,6929474
Austria,1953,6931618
Austria,1954,6936580
Austria,1955,6944174
Austria,1956,6954658
Austria,1957,6968701
Austria,1958,6987299
Austria,1959,7011632
Austria,1960,7042634
Austria,1961,7080528
Austria,1962,7124432
Austria,1963,7172179
Austria,1964,7220812
Austria,1965,7268015
