Entity,Year,Antibiotic use in livestock
Lithuania,2013,29.1
Lithuania,2014,35.5
Lithuania,2015,35.1
Luxembourg,2010,60.3
Luxembourg,2012,43.2
Luxembourg,2013,52.1
Luxembourg,2014,40.9
Luxembourg,2015,34.6
Madagascar,2010,16.2
Malaysia,2010,115.3
Mali,2010,24.2
Mauritania,2010,36.1
Mexico,2010,65.4
Mongolia,2010,10.5
Montenegro,2010,26.8
Morocco,2010,83
Mozambique,2010,16
Myanmar,2010,26.2
Namibia,2010,16.5
Nepal,2010,23.5
Netherlands,2010,164.8
Netherlands,2011,113.8
Netherlands,2012,74.9
Netherlands,2013,69.9
Netherlands,2014,68.4
Netherlands,2015,64.4
New Zealand,2010,30
Nicaragua,2010,25.2
Niger,2010,32.8
Nigeria,2010,33.9
North Korea,2010,31.2
Norway,2010,4.1
Norway,2011,3.7
Norway,2012,3.8
Norway,2013,3.7
Norway,2014,3.1
Norway,2015,2.9
Oman,2010,143.4
Pakistan,2010,29.8
Panama,2010,138.8
Papua New Guinea,2010,44.1
Paraguay,2010,24.8
Peru,2010,76
Philippines,2010,66.4
Poland,2010,121.1
Poland,2011,127.3
Poland,2012,135.2
Poland,2013,151.5
Poland,2014,140.8
Poland,2015,138.9
Portugal,2010,177.9
Portugal,2011,161.8
Portugal,2012,156.9
Portugal,2013,187.2
Portugal,2014,201.6
Portugal,2015,134.4
Puerto Rico,2010,64
Qatar,2010,111.7
Romania,2010,70.4
Romania,2014,39.1
Romania,2015,100.5
Russia,2010,91.4
Saudi Arabia,2010,124.9
Senegal,2010,18.3
Serbia,2010,23.5
Sierra Leone,2010,17.8
Slovakia,2010,97.7
Slovakia,2011,43.7
Slovakia,2012,43.3
Slovakia,2013,63.1
Slovakia,2014,65.9
Slovakia,2015,53.8
Slovenia,2010,46.9
Slovenia,2011,46.1
Slovenia,2012,37
Slovenia,2013,22.4
Slovenia,2014,33.4
Slovenia,2015,26.4
Solomon Islands,2010,43.9
Somalia,2010,20.8
South Africa,2010,42.3
South Korea,2010,118.7
Spain,2010,259.5
Spain,2011,335.8
Spain,2013,317.1
Spain,2014,418.8
Spain,2015,402
Sri Lanka,2010,54
Sudan,2010,32.2
Suriname,2010,75.8
Swaziland,2010,19.4
Sweden,2010,15.2
Sweden,2011,13.6
Sweden,2012,13.5
Sweden,2013,12.7
Sweden,2014,11.5
Sweden,2015,11.8
Switzerland,2010,89.1
Switzerland,2015,50.6
Syria,2010,52.1
Taiwan,2010,0
Tajikistan,2010,15.7
Tanzania,2010,30.8
Thailand,2010,82.4
Timor,2010,25.7
Togo,2010,24.7
Tunisia,2010,65.7
Turkey,2010,65.1
Turkmenistan,2010,21.6
Uganda,2010,33.3
Ukraine,2010,68.9
United Arab Emirates,2010,98.8
United Kingdom,2010,67.9
United Kingdom,2011,51.1
United Kingdom,2012,66
United Kingdom,2013,62.1
United Kingdom,2014,62.1
United Kingdom,2015,56.7
United Kingdom,2016,45
United States,2010,84.5
Uruguay,2010,24.3
Uzbekistan,2010,20.3
Venezuela,2010,45.2
Vietnam,2010,51.4
Western Sahara,2010,0
Yemen,2010,36.4
Zambia,2010,25.6
Zimbabwe,2010,11.6
