Entity,Year,Total wealth,Produced capital (including urban land),"Natural capital (timber, non-timber, protected areas, land, sub-soil assets)","Natural capital, renewable (excluding sub-soil assets)","Forest, timber","Forest, non-timber",Protected areas,"Land (crop, pasture)",Cropland,Pastureland,"Sub-soil assets (fossil energy resources, metals and minerals)","Fossil energy resources (oil, natural gas, coal)",Oil,Natural gas,Coal,Metals and minerals,Human capital,"Human capital, total male","Human capital, total female",Net foreign assets,Adjusted net national income,Adjusted net saving,Gross domestic product,Gross national income
Latin America & Caribbean,2005,124248.89,27858.75,19793.30,14888.71,608.62,4493.10,2430.13,7356.85,3670.56,3686.29,4904.59,3273.55,3097.38,134.57,46.12,1631.05,78924.92,45459.85,33465.07,-2328.08,6486.43,619.65,7968.87,7678.78
Latin America & Caribbean,2010,137548.06,30133.34,24292.15,15690.57,607.69,4144.56,3187.88,7750.43,3810.88,3939.55,8601.58,4234.84,3893.74,191.16,155.41,4366.74,85812.83,48461.43,37351.40,-2690.25,7459.76,810.20,9054.58,8831.46
Latin America & Caribbean,2014,144242.90,32568.35,25346.98,16485.80,733.45,3925.86,3675.96,8150.52,4278.32,3872.20,8861.18,4485.38,4171.41,178.46,141.13,4375.80,88699.98,49528.14,39171.84,-2372.41,7781.89,360.10,9790.15,9586.37
Latin America & Caribbean (developing countries),1995,112848.57,24221.28,17688.25,15699.50,745.11,5823.33,1617.32,7513.75,3378.48,4135.27,1988.75,1437.05,1376.56,46.67,13.82,551.70,72936.77,44290.61,28646.16,-1997.73,5764.03,468.08,6790.83,6531.60
Latin America & Caribbean (developing countries),2000,112977.24,24300.96,16002.64,14332.13,579.93,5243.19,1817.07,6691.94,3165.90,3526.04,1670.51,1213.67,1172.26,38.53,2.88,456.84,75472.27,43414.84,32057.43,-2798.63,6026.58,334.44,7263.29,7004.79
Latin America & Caribbean (developing countries),2005,125447.80,26681.24,19050.73,15688.64,637.31,4765.01,2702.27,7584.06,3672.78,3911.28,3362.09,2062.42,1939.09,73.44,49.90,1299.66,82396.61,47532.53,34864.08,-2680.78,6291.74,497.98,7716.25,7446.80
Latin America & Caribbean (developing countries),2010,136665.02,29154.94,23106.52,16636.12,619.08,4392.12,3595.45,8029.48,3860.26,4169.21,6470.40,3001.89,2706.48,119.55,175.85,3468.51,87687.93,49370.85,38317.08,-3284.37,7158.51,682.59,8717.96,8527.96
Latin America & Caribbean (developing countries),2014,140662.82,29233.14,24340.92,17619.85,752.13,4156.96,4187.04,8523.72,4359.31,4164.41,6721.07,3213.64,2925.67,125.03,162.94,3507.43,90191.28,50312.86,39878.42,-3102.52,7394.51,291.45,9373.06,9182.18
Low income,1995,11600.55,1938.72,6214.36,6074.87,730.23,194.80,1268.11,3881.73,2114.68,1767.04,139.49,27.73,22.70,0.00,15.76,111.76,3920.53,2577.26,1343.27,-473.05,349.25,-19.58,426.84,406.32
Low income,2000,10435.08,1730.46,5042.96,4999.18,696.52,164.53,964.53,3173.61,1824.13,1349.48,43.78,18.97,20.64,0.00,7.74,24.81,4015.66,2651.96,1363.70,-354.00,388.44,8.24,447.14,438.47
Low income,2005,10240.09,1611.50,4911.57,4751.56,561.29,139.46,945.92,3104.89,1843.21,1261.68,160.01,100.94,156.12,2.92,11.60,59.07,4045.93,2676.11,1369.82,-328.91,401.63,22.74,486.30,470.98
Low income,2010,11802.10,1536.48,6029.38,5698.62,585.70,117.93,1189.82,3805.16,2333.86,1471.30,330.76,138.91,210.98,11.87,15.93,191.85,4446.90,3001.66,1445.23,-210.66,453.81,20.96,560.05,547.68
Low income,2014,13629.26,1967.00,6420.94,5852.97,564.82,103.39,1194.67,3990.09,2472.21,1517.88,567.97,151.94,213.57,20.37,15.60,416.03,5563.69,3737.41,1826.27,-322.37,510.63,30.99,644.08,625.30
Lower middle income,1995,17717.64,4110.89,6176.17,5273.23,229.99,159.23,409.03,4474.98,3022.28,1452.70,902.94,835.82,730.44,35.16,75.48,67.12,7991.98,5761.21,2230.77,-561.40,889.29,96.59,1038.35,1018.21
Lower middle income,2000,16744.96,4039.45,5305.43,4494.75,186.29,138.98,384.24,3785.24,2492.43,1292.81,810.68,744.55,665.60,31.13,53.37,66.13,7917.33,5820.46,2096.87,-517.24,969.42,125.66,1140.38,1116.74
Lower middle income,2005,19426.00,5010.86,5490.36,4202.60,131.58,125.94,333.12,3611.96,2396.41,1215.55,1287.76,1142.78,914.23,89.18,147.24,144.98,9300.59,6765.92,2534.67,-375.82,1194.14,212.93,1393.64,1379.31
Lower middle income,2010,23674.80,5937.41,6793.77,4685.89,137.61,113.72,403.00,4031.56,2654.28,1377.27,2107.88,1651.99,1145.17,147.91,367.45,455.89,11420.69,7996.43,3424.26,-477.07,1526.43,344.48,1743.92,1746.52
Lower middle income,2014,25947.60,6531.24,6949.44,5005.93,137.64,105.35,500.38,4262.57,2646.24,1616.33,1943.51,1463.61,952.65,145.31,372.93,479.91,13116.55,9238.26,3878.29,-649.63,1772.91,341.64,2020.95,2012.99
Middle East & North Africa,1995,91202.87,24022.17,26707.87,5103.97,24.62,35.38,231.10,4812.86,2231.56,2581.31,21603.90,21585.48,21303.60,365.08,0.49,18.42,35620.07,21502.71,14117.36,4852.76,4332.86,452.49,6153.07,5203.72
Middle East & North Africa,2000,95075.67,20235.45,28865.28,4756.85,24.15,32.54,343.88,4356.28,2022.77,2333.51,24108.43,24074.81,24093.69,451.19,0.11,33.61,39177.46,24036.28,15141.18,6797.48,4438.40,825.93,6894.24,5451.20
Middle East & North Africa,2005,113730.98,19319.41,44194.83,4863.64,18.44,30.40,504.22,4310.58,2095.11,2215.46,39331.19,39289.91,39100.82,961.75,0.17,41.28,44513.12,26838.02,17675.10,5703.62,5949.57,1240.72,7511.60,7557.76
Middle East & North Africa,2010,143964.53,22444.67,63548.44,5716.10,13.56,27.61,683.50,4991.43,2292.06,2699.37,57832.34,57380.24,56517.59,1991.42,0.00,452.10,50439.92,29525.80,20914.12,7531.51,6975.49,1079.81,8612.87,8572.27
Middle East & North Africa,2014,158892.30,23984.08,70136.75,5601.34,19.15,25.05,879.58,4677.56,2164.72,2512.84,64535.41,64018.13,62278.07,3008.18,0.00,517.28,54870.98,32312.97,22558.01,9900.49,7521.42,1602.90,9303.22,9317.14
Middle East & North Africa (developing countries),1995,24972.82,6412.34,6799.89,5216.35,28.37,32.51,107.60,5047.88,2276.53,2771.35,1583.54,1562.23,1509.42,52.24,0.57,21.31,12622.30,8184.53,4437.77,-861.71,1596.10,186.83,1874.40,1858.76
Middle East & North Africa (developing countries),2000,27262.74,6112.86,7697.89,4895.66,27.93,30.01,188.39,4649.33,2119.04,2530.29,2802.23,2762.97,2708.53,54.31,0.13,39.26,14142.74,9574.30,4568.43,-690.75,1829.07,191.97,2138.24,2128.64
Middle East & North Africa (developing countries),2005,34790.24,7885.84,13346.72,5149.67,21.57,28.73,364.50,4734.88,2274.19,2460.69,8197.05,8152.39,7962.61,189.58,0.21,44.66,15670.33,10313.36,5356.97,-2112.65,2518.42,175.49,3111.12,3093.24
Middle East & North Africa (developing countries),2010,46547.69,9092.51,20426.05,6334.61,15.88,26.93,634.41,5657.38,2538.26,3119.13,14091.44,13547.90,13029.26,518.64,0.00,543.54,18075.14,11730.15,6344.99,-1046.01,3103.90,230.59,3720.05,3663.53
Middle East & North Africa (developing countries),2014,48494.95,9777.50,20758.78,6200.38,22.62,24.57,889.14,5264.05,2386.37,2877.67,14558.40,13953.17,13470.08,483.09,0.00,605.23,19384.03,12382.37,7001.65,-1425.36,3210.66,433.28,3858.40,3780.88
North America,1995,782369.88,144283.24,19376.08,15067.93,1272.85,7340.60,1357.95,5096.53,2862.08,2234.45,4308.15,4003.34,1716.36,1005.81,1281.17,304.81,622124.35,384854.48,237269.87,-3413.79,34486.69,3080.79,41213.10,40781.20
North America,2000,901889.36,165051.79,19264.07,14457.88,1118.61,6945.25,1383.74,5010.29,2950.30,2059.99,4806.19,4582.86,1329.52,1549.37,1703.96,223.33,724656.13,451315.87,273340.26,-7082.63,40894.07,4259.06,48001.23,48467.14
North America,2005,962328.59,196548.31,21841.29,13140.60,837.93,6652.77,1205.97,4443.94,2629.71,1814.22,8700.69,8441.73,2739.49,2976.52,2725.72,258.96,751681.57,454675.59,297005.98,-7742.59,43933.57,3090.31,51937.64,52303.81
North America,2010,945003.76,206688.59,27665.01,14544.37,720.43,6424.58,1583.86,5815.50,3622.24,2193.26,13120.64,11673.95,4348.93,2416.06,4908.96,1446.70,720484.94,423877.23,296607.71,-9834.78,43519.59,1580.13,51592.34,51989.21
North America,2014,986620.53,217570.78,26513.60,15930.59,655.76,6242.69,2031.62,7000.53,4389.25,2611.28,10583.01,9012.88,4296.67,157.48,4558.74,1570.12,762896.49,449328.90,313567.59,-20360.34,46615.20,3976.88,54128.58,55473.24
South Asia,1995,9250.63,2105.94,2875.80,2702.20,22.09,42.29,138.42,2499.40,1444.15,1055.25,173.60,146.44,59.47,6.90,80.08,27.16,4453.81,3679.55,774.26,-184.91,570.52,78.28,642.28,639.09
South Asia,2000,10523.18,2303.73,2852.30,2673.04,19.39,38.60,148.38,2466.66,1367.67,1099.00,179.26,152.10,71.30,11.42,69.40,27.16,5540.67,4679.55,861.12,-173.51,674.50,93.39,764.15,758.29
South Asia,2005,12511.38,2876.16,2930.65,2566.70,16.09,36.37,146.16,2368.08,1266.48,1101.60,363.95,296.27,112.48,35.72,148.10,67.68,6884.54,5856.65,1027.89,-179.98,846.77,190.17,951.07,951.06
South Asia,2010,15709.88,3923.96,4074.20,3235.04,26.34,34.63,171.54,3002.52,1741.68,1260.84,839.16,559.19,154.36,53.86,351.02,279.97,8033.10,6561.57,1471.53,-321.37,1108.66,295.93,1256.52,1257.11
South Asia,2014,18399.67,4796.74,4633.18,3745.07,32.17,33.04,136.94,3542.92,1941.03,1601.89,888.11,611.92,179.92,55.32,376.73,276.20,9393.06,7719.37,1673.69,-423.31,1343.76,305.03,1512.18,1511.84
South Asia (developing countries),1995,9250.63,2105.94,2875.80,2702.20,22.09,42.29,138.42,2499.40,1444.15,1055.25,173.60,146.44,59.46,6.89,80.08,27.16,4453.81,3679.55,774.26,-184.91,570.52,78.28,642.28,639.09
South Asia (developing countries),2000,10523.18,2303.73,2852.30,2673.04,19.39,38.60,148.38,2466.66,1367.67,1099.00,179.26,152.10,71.29,11.41,69.40,27.16,5540.67,4679.55,861.12,-173.51,674.50,93.39,764.15,758.29
South Asia (developing countries),2005,12511.38,2876.16,2930.65,2566.70,16.09,36.37,146.16,2368.08,1266.48,1101.60,363.95,296.27,112.45,35.71,148.10,67.68,6884.54,5856.65,1027.89,-179.98,846.77,190.17,951.07,951.06
South Asia (developing countries),2010,15709.88,3923.96,4074.20,3235.04,26.34,34.63,171.54,3002.52,1741.68,1260.84,839.16,559.19,154.32,53.85,351.02,279.97,8033.10,6561.57,1471.53,-321.37,1108.66,295.86,1256.52,1257.11
South Asia (developing countries),2014,18399.67,4796.74,4633.18,3745.07,32.17,33.04,136.94,3542.92,1941.03,1601.89,888.11,611.92,179.88,55.30,376.73,276.20,9393.06,7719.37,1673.69,-423.31,1343.76,304.96,1512.18,1511.84
Sub-Saharan Africa,1995,26402.80,4354.28,13679.89,11249.90,985.21,328.83,1261.49,8674.38,5980.03,2694.35,2429.99,2254.72,2871.51,20.22,162.53,175.26,9397.06,5645.05,3752.01,-1028.43,894.99,-50.34,1168.30,1113.94
Sub-Saharan Africa,2000,21963.52,3816.35,10046.38,8125.78,815.76,280.16,915.15,6114.71,4257.24,1857.47,1920.60,1854.00,2402.23,18.70,111.74,66.59,8771.06,5293.62,3477.44,-670.27,913.11,16.92,1194.91,1122.76
Sub-Saharan Africa,2005,22668.58,4945.31,9601.05,7146.03,608.21,239.40,816.41,5482.01,3943.07,1538.94,2455.02,2322.32,2846.10,61.84,201.41,132.70,8507.37,4946.62,3560.75,-385.15,1066.04,5.19,1395.47,1311.58
Sub-Saharan Africa,2010,25361.50,3882.76,10299.73,7005.18,583.75,203.07,990.95,5227.41,3524.18,1703.23,3294.55,2806.21,3284.85,122.79,325.57,488.34,11297.63,6848.09,4449.53,-118.61,1245.17,90.39,1579.02,1520.62
Sub-Saharan Africa,2014,25562.30,4017.44,9224.91,6402.72,525.42,179.33,1138.23,4559.74,2824.35,1735.39,2822.19,2165.91,2480.06,107.71,233.39,656.28,12680.12,7730.68,4949.44,-360.16,1350.11,46.55,1710.68,1657.13
Sub-Saharan Africa (developing countries),1995,26402.80,4354.28,13679.89,11249.90,985.21,328.83,1261.49,8674.38,5980.03,2694.35,2429.99,2254.72,2082.82,12.42,159.48,175.26,9397.06,5645.05,3752.01,-1028.43,891.43,-33.69,1168.30,1109.52
Sub-Saharan Africa (developing countries),2000,21963.52,3816.35,10046.38,8125.78,815.76,280.16,915.15,6114.71,4257.24,1857.47,1920.60,1854.00,1730.87,11.40,111.74,66.59,8771.06,5293.62,3477.44,-670.27,913.11,11.15,1194.91,1122.76
Sub-Saharan Africa (developing countries),2005,22668.58,4945.31,9601.05,7146.03,608.21,239.40,816.41,5482.01,3943.07,1538.94,2455.02,2322.32,2078.22,42.69,201.41,132.70,8507.37,4946.62,3560.75,-385.15,1066.04,3.85,1395.47,1311.58
Sub-Saharan Africa (developing countries),2010,25361.50,3882.76,10299.73,7005.18,583.75,203.07,990.95,5227.41,3524.18,1703.23,3294.55,2806.21,2396.71,83.94,325.57,488.34,11297.63,6848.09,4449.53,-118.61,1245.17,69.58,1579.02,1520.62
Sub-Saharan Africa (developing countries),2014,25562.30,4017.44,9224.91,6402.72,525.42,179.33,1138.23,4559.74,2824.35,1735.39,2822.19,2165.91,1855.30,77.22,233.39,656.28,12680.12,7730.68,4949.44,-360.16,1350.11,31.72,1710.68,1657.13
Upper middle income,1995,52135.48,10809.87,9129.05,8028.25,568.90,1507.35,533.09,5418.92,3560.69,1858.23,1100.80,921.56,656.12,133.03,133.46,179.24,32898.72,19650.46,13248.26,-702.16,2660.90,416.72,3139.33,3057.03
Upper middle income,2000,58652.46,12424.01,9286.67,8290.85,424.86,1412.48,648.23,5805.27,3962.50,1842.77,995.82,853.45,721.65,69.44,63.40,142.37,37745.52,21971.29,15774.24,-803.74,3117.78,382.84,3785.24,3690.23
Upper middle income,2005,68118.48,16144.81,12171.05,9461.13,373.75,1342.02,1051.29,6694.07,4530.20,2163.87,2709.92,2253.85,1570.42,142.73,542.71,456.07,40420.30,24432.89,15987.41,-617.68,3948.33,745.94,4886.46,4783.97
Upper middle income,2010,95606.54,22082.63,17187.67,10850.04,460.94,1286.88,1340.91,7761.30,5289.01,2472.29,6337.63,4467.85,2562.31,203.82,1704.92,1869.78,56535.64,33620.97,22914.67,-199.41,5323.51,1192.91,6764.90,6671.40
Upper middle income,2014,114444.87,28526.93,18960.00,12337.10,468.62,1247.63,1635.08,8985.76,6176.00,2809.76,6622.90,4650.49,2850.18,235.19,1568.65,1972.41,67389.66,40348.52,27041.14,-431.71,6354.40,1288.36,8273.64,8196.84
World,1995,130032.24,30792.50,9802.66,7544.55,489.68,1522.67,699.98,4832.22,3060.44,1771.78,2258.11,2071.74,1613.54,336.46,182.64,186.37,89977.11,56883.58,33093.53,-540.04,6570.40,696.78,7930.01,7838.51
World,2000,139030.60,32801.35,9462.65,7130.68,405.68,1418.95,735.32,4570.73,2945.52,1625.21,2331.97,2174.76,1765.62,324.69,154.83,157.21,97444.82,61430.91,36013.91,-678.22,7350.25,930.17,8817.67,8763.97
World,2005,147107.46,37237.28,11486.58,7232.74,341.82,1329.69,833.82,4727.41,3068.71,1658.71,4253.84,3880.27,2912.95,622.93,463.05,373.57,98922.71,61532.88,37389.83,-539.11,8031.52,1058.12,9653.15,9650.62
World,2010,159404.18,41569.86,15018.52,7923.22,360.37,1248.87,989.94,5324.04,3485.57,1838.48,7095.30,5709.56,4128.36,616.11,1135.72,1385.74,103210.91,63029.53,40181.38,-395.10,8571.68,1096.98,10389.29,10397.29
World,2014,169349.10,44760.26,15840.88,8578.93,353.50,1194.66,1148.77,5882.01,3819.11,2062.90,7261.95,5764.70,4408.47,507.72,1022.62,1497.25,109423.50,67008.47,42415.03,-675.55,9141.64,1265.93,11121.33,11176.49
