Entity,Year,Gini coefficient (World Bank (2016))
Belarus,2005,27.78
Belarus,2006,28.17
Belarus,2007,28.78
Belarus,2008,27.22
Belarus,2009,27.69
Belarus,2010,27.72
Belarus,2011,26.46
Belarus,2012,26.01
Belgium,2004,30.63
Belgium,2005,29.88
Belgium,2006,28.26
Belgium,2007,29.57
Belgium,2008,29
Belgium,2009,28.7
Belgium,2010,28.53
Belgium,2011,28.43
Belgium,2012,27.59
Belize,1993,60.25
Belize,1994,60.91
Belize,1995,57.55
Belize,1996,56.59
Belize,1997,60.43
Belize,1998,54.91
Belize,1999,53.26
Benin,2003,38.58
Benin,2011,43.44
Bhutan,2003,69.47
Bhutan,2007,38.09
Bhutan,2012,38.65
Bolivia,1990,42.04
Bolivia,1993,49.11
Bolivia,1997,58.16
Bolivia,1999,58.1
Bolivia,2000,63
Bolivia,2001,58.88
Bolivia,2002,60.16
Bolivia,2004,55.01
Bolivia,2005,58.47
Bolivia,2006,56.87
Bolivia,2007,55.44
Bolivia,2008,51.43
Bolivia,2009,49.65
Bolivia,2011,46.26
Bolivia,2012,46.7
Bolivia,2013,48.06
Bosnia and Herzegovina,2001,29.3
Bosnia and Herzegovina,2004,34.04
Bosnia and Herzegovina,2007,33.04
Botswana,1985,54.21
Botswana,1993,60.79
Botswana,2002,64.73
Botswana,2009,60.46
Brazil,1981,57.93
Brazil,1982,58.42
Brazil,1983,58.99
Brazil,1984,58.38
Brazil,1985,55.59
Brazil,1986,58.46
Brazil,1987,59.69
Brazil,1988,61.43
Brazil,1989,63.3
Brazil,1990,60.49
Brazil,1992,53.17
Brazil,1993,60.12
Brazil,1995,59.57
Brazil,1996,59.89
Brazil,1997,59.8
Brazil,1998,59.61
Brazil,1999,58.99
Brazil,2001,59.33
Brazil,2002,58.62
Brazil,2003,58.01
Brazil,2004,56.88
Brazil,2005,56.64
Brazil,2006,55.93
Brazil,2007,55.23
Brazil,2008,54.37
Brazil,2009,53.87
Brazil,2011,53.1
Brazil,2012,52.67
Brazil,2013,52.87
Bulgaria,1989,23.43
Bulgaria,1992,30.71
Bulgaria,1994,24.32
Bulgaria,1995,35.4
Bulgaria,1997,26.38
Bulgaria,2001,32.68
Bulgaria,2003,28.92
Bulgaria,2006,35.73
Bulgaria,2007,28.14
Bulgaria,2008,33.57
Bulgaria,2009,33.82
Bulgaria,2010,35.65
Bulgaria,2011,34.28
Bulgaria,2012,36.01
Burkina Faso,1994,48.07
Burkina Faso,1998,49.94
Burkina Faso,2003,43.25
Burkina Faso,2009,39.76
Burundi,1992,33.33
Burundi,1998,42.35
Burundi,2006,33.36
Cambodia,1994,38.15
Cambodia,2004,35.46
Cambodia,2007,41.14
Cambodia,2008,35.1
Cambodia,2009,34.65
Cambodia,2010,33.44
Cambodia,2011,31.7
Cambodia,2012,30.76
Cameroon,1996,44.45
Cameroon,2001,42.14
Cameroon,2007,42.82
Canada,1981,32.6
Canada,1987,31.6
Canada,1991,31.15
Canada,1994,31.39
Canada,1997,31.77
Canada,1998,33.59
Canada,2000,33.65
Canada,2004,33.88
Canada,2007,33.9
Canada,2010,33.68
Cape Verde,2001,52.5
Cape Verde,2007,47.19
Central African Republic,1992,61.33
Central African Republic,2003,43.61
Central African Republic,2008,56.24
Chad,2003,39.82
Chad,2011,43.32
Chile,1987,56.21
Chile,1990,57.25
Chile,1992,54.81
Chile,1994,56.43
Chile,1996,54.87
Chile,1998,55.52
Chile,2000,55.25
Chile,2003,54.74
Chile,2006,51.79
Chile,2009,52
Chile,2011,50.84
Chile,2013,50.45
China,1981,29.11
China,1984,27.69
China,1987,29.85
China,1990,32.43
China,1993,35.5
China,1996,35.7
China,1999,39.23
China,2002,42.59
China,2005,42.48
China,2008,42.63
China,2010,42.06
Colombia,1988,53.11
Colombia,1989,53.59
Colombia,1991,51.32
Colombia,1992,51.45
Colombia,1996,56.93
Colombia,1999,58.74
Colombia,2000,58.68
Colombia,2001,57.76
Colombia,2002,58.26
Colombia,2003,54.41
Colombia,2004,56.11
Colombia,2005,55.04
Colombia,2006,60.08
Colombia,2007,59.37
Colombia,2008,56.04
Colombia,2009,55.92
Colombia,2010,55.5
Colombia,2011,54.18
Colombia,2012,53.54
Colombia,2013,53.49
Comoros,2004,55.93
Congo,2005,47.33
Congo,2011,40.16
Costa Rica,1981,47.49
Costa Rica,1986,34.42
Costa Rica,1989,46.69
Costa Rica,1990,45.3
Costa Rica,1991,46.65
Costa Rica,1992,45.71
Costa Rica,1993,46
Costa Rica,1994,46.75
Costa Rica,1995,45.71
Costa Rica,1996,46.54
Costa Rica,1997,45.62
Costa Rica,1998,45.67
Costa Rica,1999,47.67
Costa Rica,2000,47.44
Costa Rica,2001,51.1
Costa Rica,2002,50.89
Costa Rica,2003,49.93
Costa Rica,2004,48.92
Costa Rica,2005,47.77
Costa Rica,2006,49.31
Costa Rica,2007,49.49
Costa Rica,2008,49.14
Costa Rica,2009,50.97
Costa Rica,2010,48.1
Costa Rica,2011,48.6
Costa Rica,2012,48.61
Costa Rica,2013,49.18
Cote d'Ivoire,1985,45.53
Cote d'Ivoire,1986,37.97
Cote d'Ivoire,1987,40.51
Cote d'Ivoire,1988,36.89
Cote d'Ivoire,1992,39.39
Cote d'Ivoire,1993,39.35
Cote d'Ivoire,1995,40.56
Cote d'Ivoire,1998,38.96
Cote d'Ivoire,2002,41.34
Cote d'Ivoire,2008,43.18
Croatia,1988,22.78
Croatia,1998,28.75
Croatia,1999,27.71
Croatia,2000,31.33
Croatia,2001,31.1
Croatia,2004,29.68
Croatia,2008,33.71
Croatia,2009,33.18
Croatia,2010,27.35
Croatia,2011,31.98
Cyprus,2004,30.09
Cyprus,2005,30.26
Cyprus,2006,31.13
Cyprus,2007,31.11
Cyprus,2008,31.71
Cyprus,2009,32.11
Cyprus,2010,31.46
Cyprus,2011,32.63
Cyprus,2012,34.31
Czech Republic,1988,19.4
Czech Republic,1993,26.6
Czech Republic,1996,25.82
Czech Republic,2004,27.53
Czech Republic,2005,26.95
Czech Republic,2006,26.74
Czech Republic,2007,26
Czech Republic,2008,26.29
Czech Republic,2009,26.18
Czech Republic,2010,26.63
Czech Republic,2011,26.39
Czech Republic,2012,26.13
Democratic Republic of Congo,2004,44.21
Democratic Republic of Congo,2012,42.1
Denmark,2004,25.89
Denmark,2005,25.94
Denmark,2006,27.08
Denmark,2007,26.85
Denmark,2008,28.89
Denmark,2009,28.84
Denmark,2010,29.02
Denmark,2011,29.54
Denmark,2012,29.08
Djibouti,2002,40
Djibouti,2012,45.13
Dominican Republic,1986,47.78
Dominican Republic,1989,50.46
Dominican Republic,1992,51.36
Dominican Republic,1996,47.43
Dominican Republic,1997,48.92
Dominican Republic,2000,52.01
Dominican Republic,2001,50.43
Dominican Republic,2002,50.12
Dominican Republic,2003,52.09
Dominican Republic,2004,51.95
Dominican Republic,2005,49.96
Dominican Republic,2006,51.9
Dominican Republic,2007,48.69
Dominican Republic,2008,49
Dominican Republic,2009,48.86
Dominican Republic,2010,47.2
Dominican Republic,2011,47.4
Dominican Republic,2012,45.68
Dominican Republic,2013,47.07
Ecuador,1987,50.49
Ecuador,1994,53.37
Ecuador,1995,50.97
Ecuador,1998,49.66
Ecuador,1999,58.6
Ecuador,2000,56.38
Ecuador,2003,54.99
Ecuador,2004,54.12
Ecuador,2005,54.12
Ecuador,2006,53.2
Ecuador,2007,54.33
Ecuador,2008,50.61
Ecuador,2009,49.28
Ecuador,2010,49.25
Ecuador,2011,46.21
Ecuador,2012,46.57
Ecuador,2013,47.29
Egypt,2008,30.75
El Salvador,1991,53.95
El Salvador,1995,49.88
El Salvador,1996,51.39
El Salvador,1998,54.52
El Salvador,1999,52.2
El Salvador,2000,51.31
El Salvador,2001,51.14
El Salvador,2002,51.54
El Salvador,2003,50.72
El Salvador,2004,47.38
El Salvador,2005,47.88
El Salvador,2006,45.44
El Salvador,2007,45.24
El Salvador,2008,46.65
El Salvador,2009,45.93
El Salvador,2010,44.53
El Salvador,2011,42.43
El Salvador,2012,41.8
El Salvador,2013,43.51
Estonia,1988,22.97
Estonia,1993,39.5
Estonia,1995,30.06
Estonia,1998,37.64
Estonia,2000,35.78
Estonia,2001,36.01
Estonia,2002,35.79
Estonia,2003,34.91
Estonia,2004,35.38
Estonia,2005,33.63
Estonia,2006,33.75
Estonia,2007,31.25
Estonia,2008,32
Estonia,2009,31.59
Estonia,2010,32.16
Estonia,2011,32.69
Estonia,2012,33.15
Ethiopia,1981,32.42
Ethiopia,1995,44.56
Ethiopia,1999,29.98
Ethiopia,2004,29.81
Ethiopia,2010,33.17
Fiji,2002,39.62
Fiji,2008,42.78
Finland,2004,27.92
Finland,2005,27.64
Finland,2006,28.02
Finland,2007,28.29
Finland,2008,27.85
Finland,2009,27.47
Finland,2010,27.74
Finland,2011,27.66
Finland,2012,27.12
France,2004,30.8
France,2005,29.93
France,2006,29.92
France,2007,32.63
France,2008,33.08
France,2010,33.78
France,2011,33.35
France,2012,33.1
Gabon,2005,42.18
Gambia,1998,47.56
Gambia,2003,47.33
Georgia,1996,37.13
Georgia,1997,41.95
Georgia,1998,41.25
Georgia,1999,40.15
Georgia,2000,40.48
Georgia,2001,39.57
Georgia,2002,39.63
Georgia,2003,39.53
Georgia,2004,39.78
Georgia,2005,40.34
Georgia,2006,40.09
Georgia,2007,40.6
Georgia,2008,40.57
Georgia,2009,41.74
Georgia,2010,42.13
Georgia,2011,41.58
Georgia,2012,41.35
Georgia,2013,40.03
Germany,2006,32.78
Germany,2007,32.4
Germany,2008,31.29
Germany,2009,31.51
Germany,2010,31.14
Germany,2011,30.13
Ghana,1987,35.35
Ghana,1988,35.99
Ghana,1991,38.44
Ghana,1998,40.07
Ghana,2005,42.77
Greece,2004,33.97
Greece,2005,35.1
Greece,2006,35.41
Greece,2007,34.61
Greece,2008,34.22
Greece,2009,33.82
Greece,2010,34.48
Greece,2011,35.69
Greece,2012,36.68
Guatemala,1986,58.26
Guatemala,1989,59.6
Guatemala,2000,54.84
Guatemala,2002,56.94
Guatemala,2003,54.1
Guatemala,2004,50.73
Guatemala,2006,54.89
Guatemala,2011,52.35
Guinea,1991,46.84
Guinea,1994,46.08
Guinea,2002,43
Guinea,2007,39.36
Guinea,2012,33.73
Guinea-Bissau,1993,43.61
Guinea-Bissau,2002,35.57
Guinea-Bissau,2010,50.66
Guyana,1998,44.55
Haiti,2001,59.48
Haiti,2012,60.79
Honduras,1986,55.09
Honduras,1989,59.49
Honduras,1990,57.36
Honduras,1991,51.85
Honduras,1992,51.83
Honduras,1993,53.47
Honduras,1994,55.01
Honduras,1995,55.49
Honduras,1996,55.72
Honduras,1997,52.73
Honduras,1998,57.43
Honduras,1999,55.35
Honduras,2001,54.08
Honduras,2002,58.78
Honduras,2003,58.66
Honduras,2004,58.41
Honduras,2005,59.51
Honduras,2006,57.42
Honduras,2007,56.16
Honduras,2008,55.74
Honduras,2009,51.56
Honduras,2010,53.39
Honduras,2011,57.4
Honduras,2012,57.4
Honduras,2013,53.67
Hungary,1987,20.96
Hungary,1989,25.05
Hungary,1993,27.94
Hungary,1998,26.38
Hungary,1999,27.64
Hungary,2000,27.22
Hungary,2001,26.92
Hungary,2002,26.84
Hungary,2003,30.93
Hungary,2004,30.02
Hungary,2005,30.19
Hungary,2006,28.3
Hungary,2007,31.16
Hungary,2008,27.53
Hungary,2009,26.97
Hungary,2010,29.37
Hungary,2011,28.94
Hungary,2012,30.55
Iceland,2004,28.11
Iceland,2005,29.38
Iceland,2006,30.25
Iceland,2007,29.58
Iceland,2008,31.89
Iceland,2009,28.74
Iceland,2010,26.43
Iceland,2011,27.03
Iceland,2012,26.94
India,1983,31.11
India,1987,31.88
India,1993,30.82
India,2004,33.38
India,2009,33.9
Indonesia,1984,30.47
Indonesia,1987,29.27
Indonesia,1990,29.19
Indonesia,1993,29.31
Indonesia,1996,31.33
Indonesia,1999,28.99
Indonesia,2002,29.74
Indonesia,2005,34.01
Indonesia,2008,34.11
Indonesia,2010,35.57
Iran,1986,47.42
Iran,1990,43.6
Iran,1994,43
Iran,1998,44.1
Iran,2005,38.34
Iran,2009,42.02
Iran,2013,37.35
Iraq,2012,29.54
Ireland,2004,33.72
Ireland,2005,33.76
Ireland,2006,32.73
Ireland,2007,31.96
Ireland,2008,30.91
Ireland,2009,32.84
Ireland,2010,32.3
Ireland,2011,32.33
Ireland,2012,32.52
Israel,1986,36.49
Israel,1992,35.5
Israel,1997,38.1
Israel,2001,39.2
Israel,2005,41.86
Israel,2007,41.18
Israel,2010,42.78
Italy,2004,34.53
Italy,2005,34.07
Italy,2006,34.26
Italy,2007,33.19
Italy,2008,33.74
Italy,2009,33.66
Italy,2010,34.41
Italy,2011,34.52
Italy,2012,35.16
Jamaica,1988,43.16
Jamaica,1990,41.11
Jamaica,1993,35.67
Jamaica,1996,40.39
Jamaica,1999,44.08
Jamaica,2002,48.32
Jamaica,2004,45.46
Japan,2008,32.11
Jordan,1986,36.06
Jordan,1992,43.36
Jordan,1997,36.42
Jordan,2002,36.95
Jordan,2006,33.86
Jordan,2008,32.57
Jordan,2010,33.66
Kazakhstan,1988,25.74
Kazakhstan,1993,32.67
Kazakhstan,1996,35.38
Kazakhstan,2001,35.29
Kazakhstan,2002,34.05
Kazakhstan,2003,33.15
Kazakhstan,2004,31.47
Kazakhstan,2005,29.65
Kazakhstan,2006,29.99
Kazakhstan,2007,28.54
Kazakhstan,2008,29.07
Kazakhstan,2009,28.79
Kazakhstan,2010,28.56
Kazakhstan,2011,27.42
Kazakhstan,2012,27.43
Kazakhstan,2013,26.35
Kenya,1992,57.46
Kenya,1994,43.86
Kenya,1997,46.3
Kenya,2005,48.51
Kiribati,2006,37.61
Kosovo,2003,28.95
Kosovo,2005,31.24
Kosovo,2006,30.32
Kosovo,2009,31.78
Kosovo,2010,33.25
Kosovo,2011,27.83
Kosovo,2012,29.4
Kosovo,2013,26.71
Kyrgyzstan,1988,26.01
Kyrgyzstan,1993,53.7
Kyrgyzstan,1998,46.4
Kyrgyzstan,2000,31.03
Kyrgyzstan,2001,30.16
Kyrgyzstan,2002,30.3
Kyrgyzstan,2003,28.71
Kyrgyzstan,2004,34.77
Kyrgyzstan,2005,38.32
Kyrgyzstan,2006,38.4
Kyrgyzstan,2007,33.43
Kyrgyzstan,2008,32.06
Kyrgyzstan,2009,29.83
Kyrgyzstan,2010,29.89
Kyrgyzstan,2011,27.77
Kyrgyzstan,2012,27.37
Laos,1992,34.31
Laos,1997,34.9
Laos,2002,34.66
Laos,2007,36.64
Laos,2012,37.89
Latvia,1988,22.49
Latvia,1993,26.99
Latvia,1995,30.98
Latvia,1996,31.64
Latvia,1997,32.65
Latvia,1998,33.1
Latvia,2002,35.09
Latvia,2003,36.53
Latvia,2004,34.96
Latvia,2005,39.4
Latvia,2006,35.6
Latvia,2007,36.05
Latvia,2008,35.82
Latvia,2009,34.83
Latvia,2010,35.27
Latvia,2011,36.03
Latvia,2012,35.48
Lesotho,1986,56.02
Lesotho,1994,63.24
Lesotho,2002,51.57
Lesotho,2010,54.18
Liberia,2007,36.48
Lithuania,1988,22.48
Lithuania,1993,33.64
Lithuania,1996,32.26
Lithuania,1998,32.1
Lithuania,1999,32.02
Lithuania,2000,31.67
Lithuania,2001,32.01
Lithuania,2002,31.92
Lithuania,2003,35.46
Lithuania,2004,35.2
Lithuania,2005,35.3
Lithuania,2006,34.44
Lithuania,2007,34.59
Lithuania,2008,37.06
Lithuania,2009,37.33
Lithuania,2010,33.76
Lithuania,2011,32.63
Lithuania,2012,35.15
Luxembourg,2004,30.25
Luxembourg,2005,31.11
Luxembourg,2006,30.96
Luxembourg,2007,31.28
Luxembourg,2008,32.61
Luxembourg,2009,31.53
Luxembourg,2010,30.9
Luxembourg,2011,32.42
Luxembourg,2012,34.79
Macedonia,1998,28.13
Macedonia,2000,34.26
Macedonia,2002,38.51
Macedonia,2003,38.72
Macedonia,2004,38.77
Macedonia,2005,39.31
Macedonia,2006,42.64
Macedonia,2008,44.05
Madagascar,1993,45.26
Madagascar,1997,39.47
Madagascar,1999,38.61
Madagascar,2001,47.44
Madagascar,2005,38.88
Madagascar,2010,40.63
Malawi,1997,65.76
Malawi,2004,39.87
Malawi,2010,46.12
Malaysia,1984,48.62
Malaysia,1987,47.04
Malaysia,1989,46.17
Malaysia,1992,47.65
Malaysia,1995,48.52
Malaysia,1997,49.15
Malaysia,2004,46.05
Malaysia,2007,46
Malaysia,2009,46.26
Maldives,1998,62.68
Maldives,2004,37.37
Maldives,2009,36.78
Mali,1994,50.44
Mali,2001,39.87
Mali,2006,38.93
Mali,2009,33.04
Mauritania,1987,43.94
Mauritania,1993,50.05
Mauritania,1995,37.75
Mauritania,2000,39.03
Mauritania,2004,40.17
Mauritania,2008,37.48
Mauritius,2006,35.65
Mauritius,2012,35.84
Mexico,1984,48.95
Mexico,1989,54.34
Mexico,1992,50.95
Mexico,1994,51.7
Mexico,1996,48.47
Mexico,1998,48.97
Mexico,2000,51.67
Mexico,2002,49.54
Mexico,2004,46.03
Mexico,2005,51.11
Mexico,2006,48.01
Mexico,2008,48.23
Mexico,2010,48.13
Mexico,2012,48.07
Micronesia (country),2000,61.18
Moldova,1988,24.14
Moldova,1992,34.32
Moldova,1997,36.94
Moldova,1998,39.52
Moldova,1999,42.62
Moldova,2000,36.43
Moldova,2001,38.16
Moldova,2002,35.76
Moldova,2003,35.26
Moldova,2004,35.35
Moldova,2005,36.28
Moldova,2006,35.4
Moldova,2007,34.42
Moldova,2008,34.69
Moldova,2009,32.91
Moldova,2010,32.05
Moldova,2011,30.63
Moldova,2012,29.16
Moldova,2013,28.53
Mongolia,1995,33.2
Mongolia,1998,30.27
Mongolia,2002,32.89
Mongolia,2007,35.82
Mongolia,2010,33.08
Mongolia,2011,33.88
Mongolia,2012,33.75
Montenegro,2005,30.14
Montenegro,2006,29.39
Montenegro,2007,30.82
Montenegro,2008,30.01
Montenegro,2009,30.27
Montenegro,2010,28.6
Montenegro,2011,30.63
Montenegro,2012,32.16
Montenegro,2013,33.19
Morocco,1984,39.19
Morocco,1990,39.2
Morocco,1998,39.46
Morocco,2000,40.64
Morocco,2007,40.72
Mozambique,1996,44.41
Mozambique,2002,47.04
Mozambique,2008,45.58
Namibia,2003,63.32
Namibia,2009,60.97
Nepal,1984,30.06
Nepal,1995,35.21
Nepal,2003,43.26
Nepal,2010,32.75
Netherlands,2004,30.74
Netherlands,2005,29.86
Netherlands,2006,30.76
Netherlands,2007,30.35
Netherlands,2008,29.93
Netherlands,2009,28.38
Netherlands,2010,28.73
Netherlands,2011,28.17
Netherlands,2012,27.99
Nicaragua,1993,50.36
Nicaragua,1998,45.16
Nicaragua,2001,43.08
Nicaragua,2005,40.49
Nicaragua,2009,45.73
Niger,1992,36.1
Niger,1994,41.53
Niger,2005,44.43
Niger,2007,37.3
Niger,2011,31.45
Nigeria,1985,38.68
Nigeria,1992,44.98
Nigeria,1996,51.92
Nigeria,2003,40.06
Nigeria,2009,42.97
Norway,2004,31.72
Norway,2005,32.27
Norway,2006,27.29
Norway,2007,28.07
Norway,2008,27.14
Norway,2009,26.39
Norway,2010,25.86
Norway,2011,25.54
Norway,2012,25.9
Pakistan,1987,33.32
Pakistan,1990,33.25
Pakistan,1996,28.67
Pakistan,1998,33.12
Pakistan,2001,30.5
Pakistan,2004,32.33
Pakistan,2005,32.69
Pakistan,2007,31.42
Pakistan,2010,29.59
Palestine,2004,33.97
Palestine,2005,34.72
Palestine,2006,33.96
Palestine,2007,35.61
Palestine,2009,34.46
Panama,1989,58.91
Panama,1991,58.19
Panama,1995,57.81
Panama,1997,58.23
Panama,1998,57.48
Panama,1999,56.46
Panama,2000,57.66
Panama,2001,57.3
Panama,2002,56.59
Panama,2003,56.37
Panama,2004,55.06
Panama,2005,53.99
Panama,2006,55.06
Panama,2007,52.97
Panama,2008,52.63
Panama,2009,52.03
Panama,2010,51.91
Panama,2011,51.83
Panama,2012,51.9
Panama,2013,51.67
Papua New Guinea,1996,55.43
Papua New Guinea,2009,43.88
Paraguay,1990,40.84
Paraguay,1995,58.16
Paraguay,1997,54.89
Paraguay,1999,54.58
Paraguay,2001,54.83
Paraguay,2002,57.34
Paraguay,2003,55.55
Paraguay,2004,52.59
Paraguay,2005,51.37
Paraguay,2006,53.63
Paraguay,2007,52.09
Paraguay,2008,51.04
Paraguay,2009,49.67
Paraguay,2010,51.83
Paraguay,2011,52.6
Paraguay,2012,48.17
Paraguay,2013,48.3
Peru,1985,45.63
Peru,1994,44.02
Peru,1997,53.72
Peru,1998,56.14
Peru,1999,56.34
Peru,2000,50.77
Peru,2001,51.83
Peru,2002,54.04
Peru,2003,53.71
Peru,2004,51.2
Peru,2005,51.84
Peru,2006,51.67
Peru,2007,51.35
Peru,2008,48.55
Peru,2009,47.96
Peru,2010,46.21
Peru,2011,45.48
Peru,2012,45.11
Peru,2013,44.73
Philippines,1985,41.04
Philippines,1988,40.75
Philippines,1991,43.82
Philippines,1994,38.52
Philippines,1997,45.96
Philippines,2000,46.17
Philippines,2003,44.04
Philippines,2006,44.2
Philippines,2009,42.91
Philippines,2012,43.04
Poland,1985,25.16
Poland,1987,25.53
Poland,1989,26.89
Poland,1992,26.7
Poland,1996,32.66
Poland,1998,32.32
Poland,1999,32.59
Poland,2000,33
Poland,2001,32.85
Poland,2002,34.05
Poland,2003,34.91
Poland,2004,35.43
Poland,2005,35.86
Poland,2006,33.71
Poland,2007,33.51
Poland,2008,33.72
Poland,2009,33.58
Poland,2010,33.22
Poland,2011,32.78
Poland,2012,32.39
Portugal,2004,38.9
Portugal,2005,38.47
Portugal,2006,38.06
Portugal,2007,36.75
Portugal,2008,36.63
Portugal,2009,34.91
Portugal,2010,35.84
Portugal,2011,36.34
Portugal,2012,36.04
Romania,1989,23.31
Romania,1992,25.46
Romania,1994,28.2
Romania,1998,31.08
Romania,1999,29.42
Romania,2000,29.32
Romania,2001,29.43
Romania,2002,30.23
Romania,2003,29.91
Romania,2004,30.04
Romania,2005,29.82
Romania,2006,39.18
Romania,2007,37.61
Romania,2008,29.4
Romania,2009,28.19
Romania,2010,28.16
Romania,2011,27.21
Romania,2012,27.33
Russia,1988,23.8
Russia,1993,48.38
Russia,1996,46.1
Russia,1997,38.41
Russia,1998,38.14
Russia,1999,37.44
Russia,2000,37.09
Russia,2001,39.6
Russia,2002,37.28
Russia,2003,40.8
Russia,2004,40.92
Russia,2005,41.37
Russia,2006,41.54
Russia,2007,42.33
Russia,2008,41.42
Russia,2009,39.69
Russia,2010,40.94
Russia,2011,41.04
Russia,2012,41.59
Rwanda,1984,28.9
Rwanda,2000,48.55
Rwanda,2005,52.04
Rwanda,2010,51.34
Saint Lucia,1995,42.58
Samoa,2008,42.69
Sao Tome and Principe,2000,32.13
Sao Tome and Principe,2010,30.82
Senegal,1991,54.14
Senegal,1994,41.44
Senegal,2001,41.23
Senegal,2005,39.22
Senegal,2011,40.28
Serbia,2002,32.74
Serbia,2003,32.83
Serbia,2004,32.98
Serbia,2005,33.43
Serbia,2006,29.67
Serbia,2007,29.43
Serbia,2008,28.18
Serbia,2009,28.67
Serbia,2010,29.65
Seychelles,1999,42.78
Seychelles,2006,42.77
Sierra Leone,2003,40.17
Sierra Leone,2011,33.99
Slovakia,1988,19.54
Slovakia,1992,19.49
Slovakia,1996,25.81
Slovakia,2004,28.94
Slovakia,2005,29.83
Slovakia,2006,27.71
Slovakia,2007,28
Slovakia,2008,26.87
Slovakia,2009,26.02
Slovakia,2010,27.32
Slovakia,2011,26.58
Slovakia,2012,26.12
Slovenia,1987,23.6
Slovenia,1993,29.18
Slovenia,1998,28.41
Slovenia,2002,29.12
Slovenia,2003,30.87
Slovenia,2004,31.15
Slovenia,2005,24.63
Slovenia,2006,24.48
Slovenia,2007,24.37
Slovenia,2008,23.72
Slovenia,2009,24.83
Slovenia,2010,24.94
Slovenia,2011,24.87
Slovenia,2012,25.59
Solomon Islands,2005,46.1
South Africa,1993,59.33
South Africa,1995,62.97
South Africa,2000,57.77
South Africa,2006,64.79
South Africa,2008,63.01
South Africa,2011,63.38
Spain,2004,33.38
Spain,2005,32.5
Spain,2006,32.67
Spain,2007,33.86
Spain,2008,34.8
Spain,2009,35.39
Spain,2010,35.79
Spain,2011,36.1
Spain,2012,35.89
Sri Lanka,1985,32.47
Sri Lanka,1990,32.45
Sri Lanka,1995,35.4
Sri Lanka,2002,40.72
Sri Lanka,2006,39.97
Sri Lanka,2009,36.2
Sri Lanka,2012,38.58
Sudan,2009,35.39
Suriname,1999,57.61
Swaziland,1994,60.45
Swaziland,2000,53.11
Swaziland,2009,51.45
Sweden,2004,26.43
Sweden,2005,27.1
Sweden,2006,26.47
Sweden,2007,26.92
Sweden,2008,27.13
Sweden,2009,26.61
Sweden,2010,26.81
Sweden,2011,27.24
Sweden,2012,27.32
Switzerland,2007,34.47
Switzerland,2008,33.96
Switzerland,2009,32.96
Switzerland,2010,32.72
Switzerland,2011,31.83
Switzerland,2012,31.64
Syria,2004,35.77
Tajikistan,1999,29.54
Tajikistan,2003,32.72
Tajikistan,2004,33.6
Tajikistan,2007,32.19
Tajikistan,2009,30.77
Tanzania,1991,35.29
Tanzania,2000,37.3
Tanzania,2007,40.28
Tanzania,2011,37.78
Thailand,1981,45.22
Thailand,1988,43.84
Thailand,1990,45.26
Thailand,1992,47.86
Thailand,1994,43.47
Thailand,1996,42.9
Thailand,1998,41.46
Thailand,1999,43.09
Thailand,2000,42.83
Thailand,2002,41.94
Thailand,2004,42.54
Thailand,2006,41.82
Thailand,2007,39.76
