Entity,Year,Global Hunger Index (IFPRI 2017)
Ecuador,2000,20.5
Ecuador,2008,16.4
Ecuador,2017,14.4
Egypt,1992,20.1
Egypt,2000,16.4
Egypt,2008,16.6
Egypt,2017,14.7
El Salvador,1992,19.5
El Salvador,2000,16.2
El Salvador,2008,12.7
El Salvador,2017,11.1
Estonia,2000,6.2
Estonia,2008,2.5
Estonia,2017,2.5
Ethiopia,2000,56
Ethiopia,2008,40.2
Ethiopia,2017,32.3
Fiji,1992,11.5
Fiji,2000,9.8
Fiji,2008,9.1
Fiji,2017,8.1
Gabon,1992,24.2
Gabon,2000,20.7
Gabon,2008,17.4
Gabon,2017,13.8
Gambia,1992,35.2
Gambia,2000,27.5
Gambia,2008,23.8
Gambia,2017,23.2
Georgia,2000,14.7
Georgia,2008,8.3
Georgia,2017,7.7
Ghana,1992,41.9
Ghana,2000,29.2
Ghana,2008,21.9
Ghana,2017,16.2
Guatemala,1992,28.5
Guatemala,2000,27.4
Guatemala,2008,22.2
Guatemala,2017,20.7
Guinea,1992,46.5
Guinea,2000,44
Guinea,2008,33.4
Guinea,2017,28.6
Guinea-Bissau,1992,44.5
Guinea-Bissau,2000,43.1
Guinea-Bissau,2008,31.4
Guinea-Bissau,2017,30.6
Guyana,1992,22.3
Guyana,2000,17.9
Guyana,2008,17
Guyana,2017,13.7
Haiti,1992,51.6
Haiti,2000,42.7
Haiti,2008,42.6
Haiti,2017,34.2
Honduras,1992,25.9
Honduras,2000,20.6
Honduras,2008,17
Honduras,2017,14.3
India,1992,46.2
India,2000,38.2
India,2008,35.6
India,2017,31.4
Indonesia,1992,35
Indonesia,2000,25.5
Indonesia,2008,28.3
Indonesia,2017,22
Iran,1992,17.5
Iran,2000,13.6
Iran,2008,8.7
Iran,2017,7.6
Iraq,1992,21.8
Iraq,2000,26.5
Iraq,2008,25.7
Iraq,2017,22.9
Jamaica,1992,12
Jamaica,2000,8.4
Jamaica,2008,7.6
Jamaica,2017,8
Jordan,1992,13.4
Jordan,2000,10.3
Jordan,2008,6.5
Jordan,2017,6.7
Kazakhstan,2000,11.3
Kazakhstan,2008,10.9
Kazakhstan,2017,5.8
Kenya,1992,39.1
Kenya,2000,37.6
Kenya,2008,29.6
Kenya,2017,21
Kuwait,1992,20
Kuwait,2000,2.5
Kuwait,2008,2.5
Kuwait,2017,2.5
Kyrgyzstan,2000,19.7
Kyrgyzstan,2008,13.4
Kyrgyzstan,2017,9.3
Laos,1992,52.3
Laos,2000,48.1
Laos,2008,33.4
Laos,2017,27.5
Latvia,2000,6.7
Latvia,2008,2.5
Latvia,2017,2.5
Lebanon,1992,11.4
Lebanon,2000,9
Lebanon,2008,8.2
Lebanon,2017,8.1
Lesotho,1992,26.5
Lesotho,2000,33.2
Lesotho,2008,28.4
Lesotho,2017,24.1
Liberia,1992,51.2
Liberia,2000,48.2
Liberia,2008,38.9
Liberia,2017,35.3
Lithuania,2000,5.9
Lithuania,2008,2.5
Lithuania,2017,2.5
Macedonia,2000,7.7
Macedonia,2008,6.4
Macedonia,2017,5.3
Madagascar,1992,43.9
Madagascar,2000,43.6
Madagascar,2008,36.8
Madagascar,2017,38.3
Malawi,1992,58.2
Malawi,2000,44.6
Malawi,2008,31.5
Malawi,2017,27.2
Malaysia,1992,19.8
Malaysia,2000,15.5
Malaysia,2008,13.7
Malaysia,2017,10.2
Mali,1992,51.4
Mali,2000,44.2
Mali,2008,35.1
Mali,2017,28.6
Mauritania,1992,39.4
Mauritania,2000,33.6
Mauritania,2008,23.7
Mauritania,2017,25.2
Mauritius,1992,17.4
Mauritius,2000,15.9
Mauritius,2008,14.3
Mauritius,2017,13.3
Mexico,1992,14
Mexico,2000,10.8
Mexico,2008,8.4
Mexico,2017,6.5
Moldova,2000,16.3
Moldova,2008,13.3
Moldova,2017,7.6
Mongolia,1992,37.5
Mongolia,2000,31.7
Mongolia,2008,18.1
Mongolia,2017,13.4
Montenegro,2008,5.2
Montenegro,2017,2.5
Morocco,1992,18.7
Morocco,2000,15.7
Morocco,2008,12
Morocco,2017,10.2
Mozambique,1992,63.6
Mozambique,2000,48.7
Mozambique,2008,37.5
Mozambique,2017,30.5
Myanmar,1992,55.6
Myanmar,2000,43.6
Myanmar,2008,30.1
Myanmar,2017,22.6
Namibia,1992,35.4
Namibia,2000,30.8
Namibia,2008,30.9
Namibia,2017,25.7
Nepal,1992,42.5
Nepal,2000,36.8
Nepal,2008,28.9
Nepal,2017,22
Nicaragua,1992,36.1
Nicaragua,2000,24.7
Nicaragua,2008,18.2
Nicaragua,2017,13.6
Niger,1992,66.2
Niger,2000,52.6
Niger,2008,37
Niger,2017,34.5
Nigeria,1992,48.8
Nigeria,2000,41
Nigeria,2008,33.7
Nigeria,2017,25.5
North Korea,1992,31.9
North Korea,2000,40.3
North Korea,2008,30.7
North Korea,2017,28.2
Oman,1992,20.8
Oman,2000,13.7
Oman,2008,10.2
Oman,2017,11.3
Pakistan,1992,42.7
Pakistan,2000,38.2
Pakistan,2008,34.7
Pakistan,2017,32.6
Panama,1992,19.9
Panama,2000,20
Panama,2008,14.1
Panama,2017,9.2
Paraguay,1992,16.7
Paraguay,2000,14.1
Paraguay,2008,12.1
Paraguay,2017,11
Peru,1992,28.7
Peru,2000,20.9
Peru,2008,15.3
Peru,2017,8.7
Philippines,1992,30.5
Philippines,2000,25.9
Philippines,2008,20.2
Philippines,2017,20
Romania,1992,9.3
Romania,2000,8.7
Romania,2008,6
Romania,2017,5.2
Russia,2000,10.5
Russia,2008,6.8
Russia,2017,6.2
Rwanda,1992,53.3
Rwanda,2000,56.3
Rwanda,2008,36.2
Rwanda,2017,31.4
Saudi Arabia,1992,14.3
Saudi Arabia,2000,12.5
Saudi Arabia,2008,11.2
Saudi Arabia,2017,7.1
Senegal,1992,37.5
Senegal,2000,37.3
Senegal,2008,23.7
Senegal,2017,18.4
Serbia,2008,7.2
Serbia,2017,6.6
Sierra Leone,1992,57.2
Sierra Leone,2000,54.7
Sierra Leone,2008,44.5
Sierra Leone,2017,38.5
Slovakia,2000,8
Slovakia,2008,6.4
Slovakia,2017,2.5
South Africa,1992,18.5
South Africa,2000,18.8
South Africa,2008,16.6
South Africa,2017,13.2
Sri Lanka,1992,31.6
Sri Lanka,2000,26.8
Sri Lanka,2008,24.2
Sri Lanka,2017,25.5
Sudan,2017,35.5
Suriname,1992,17
Suriname,2000,16
Suriname,2008,11.4
Suriname,2017,9.9
Swaziland,1992,24
Swaziland,2000,29.9
Swaziland,2008,30.7
Swaziland,2017,21.2
Tajikistan,2000,41.8
Tajikistan,2008,32.6
Tajikistan,2017,28.7
Tanzania,1992,42.9
Tanzania,2000,42.4
Tanzania,2008,33
Tanzania,2017,28.8
Thailand,1992,25.8
Thailand,2000,18.1
Thailand,2008,12
Thailand,2017,10.6
Timor,2008,46.8
Timor,2017,34.3
Togo,1992,45.8
Togo,2000,39
Togo,2008,28.3
Togo,2017,22.5
Trinidad and Tobago,1992,14.5
Trinidad and Tobago,2000,11.7
Trinidad and Tobago,2008,10.4
Trinidad and Tobago,2017,6.9
Tunisia,1992,15.4
Tunisia,2000,10.7
Tunisia,2008,8
Tunisia,2017,7.4
Turkey,1992,14.3
Turkey,2000,10.4
Turkey,2008,5.6
Turkey,2017,2.5
Turkmenistan,2000,21.9
Turkmenistan,2008,16.5
Turkmenistan,2017,12.2
Uganda,1992,41.2
Uganda,2000,39.2
Uganda,2008,33.3
Uganda,2017,32
Ukraine,2000,13.7
Ukraine,2008,2.5
Ukraine,2017,2.5
Uruguay,1992,9.7
Uruguay,2000,7.7
Uruguay,2008,6.4
Uruguay,2017,2.5
Uzbekistan,2000,23.8
Uzbekistan,2008,16.1
Uzbekistan,2017,13.1
Venezuela,1992,15.2
Venezuela,2000,15.2
Venezuela,2008,9.3
Venezuela,2017,13
Vietnam,1992,40.2
Vietnam,2000,28.6
Vietnam,2008,21.6
Vietnam,2017,16
Yemen,1992,43.5
Yemen,2000,43.4
Yemen,2008,36.2
Yemen,2017,36.1
Zambia,1992,48.5
Zambia,2000,52.3
Zambia,2008,45
Zambia,2017,38.2
Zimbabwe,1992,35.8
Zimbabwe,2000,40.9
Zimbabwe,2008,34.5
Zimbabwe,2017,33.8
