Entity,Year,Share of services in total exports (WDI)
Australia,2008,18.79562
Australia,2009,20.66933
Australia,2010,17.84431
Australia,2011,16.10862
Australia,2012,17.17909
Australia,2013,17.27433
Australia,2014,18.33028
Australia,2015,20.65760
Australia,2016,21.72686
Austria,2005,28.26618
Austria,2006,26.03873
Austria,2007,25.77824
Austria,2008,26.74164
Austria,2009,29.04977
Austria,2010,26.66251
Austria,2011,25.80005
Austria,2012,26.55379
Austria,2013,28.21488
Austria,2014,28.85716
Austria,2015,29.03528
Austria,2016,29.60224
Azerbaijan,1995,21.96560
Azerbaijan,1996,18.82347
Azerbaijan,1997,29.72002
Azerbaijan,1998,32.85838
Azerbaijan,1999,20.03009
Azerbaijan,2000,12.26418
Azerbaijan,2001,12.23555
Azerbaijan,2002,13.54575
Azerbaijan,2003,14.05989
Azerbaijan,2004,13.00953
Azerbaijan,2005,9.10938
Azerbaijan,2006,7.03863
Azerbaijan,2007,6.51042
Azerbaijan,2008,5.23242
Azerbaijan,2009,9.23099
Azerbaijan,2010,8.83184
Azerbaijan,2011,8.21437
Azerbaijan,2012,13.10789
Azerbaijan,2013,11.50288
Azerbaijan,2014,13.19896
Azerbaijan,2015,22.18661
Azerbaijan,2016,24.84976
Bahamas,1976,65.91760
Bahamas,1977,70.47382
Bahamas,1978,72.21053
Bahamas,1979,71.59512
Bahamas,1980,66.42329
Bahamas,1981,70.33762
Bahamas,1982,71.47614
Bahamas,1983,72.80228
Bahamas,1984,72.46692
Bahamas,1985,75.17422
Bahamas,1986,78.56138
Bahamas,1987,79.57746
Bahamas,1988,80.40353
Bahamas,1989,86.96396
Bahamas,1990,84.10518
Bahamas,1991,85.51219
Bahamas,1992,86.51476
Bahamas,1993,88.35998
Bahamas,1994,88.38570
Bahamas,1995,87.24897
Bahamas,1996,85.23899
Bahamas,1997,84.37417
Bahamas,1998,80.85870
Bahamas,1999,81.57108
Bahamas,2000,80.93535
Bahamas,2001,81.23171
Bahamas,2002,83.00762
Bahamas,2003,82.80946
Bahamas,2004,82.45625
Bahamas,2005,82.05470
Bahamas,2006,77.59156
Bahamas,2007,76.42388
Bahamas,2008,72.61056
Bahamas,2009,76.78682
Bahamas,2010,78.02149
Bahamas,2011,74.94733
Bahamas,2012,73.22691
Bahamas,2013,73.66593
Bahamas,2014,76.56632
Bahamas,2015,84.76211
Bahamas,2016,86.83224
Bahrain,1975,11.49554
Bahrain,1976,11.71714
Bahrain,1977,12.15324
Bahrain,1978,16.14232
Bahrain,1979,11.15148
Bahrain,1980,8.83927
Bahrain,1981,7.95288
Bahrain,1982,13.31495
Bahrain,1983,10.52029
Bahrain,1984,20.25551
Bahrain,1985,23.93324
Bahrain,1986,25.78966
Bahrain,1987,26.22355
Bahrain,1988,27.21362
Bahrain,1989,22.23683
Bahrain,1990,8.70351
Bahrain,1991,10.47709
Bahrain,1992,13.54257
Bahrain,1993,14.89879
Bahrain,1994,18.45545
Bahrain,1995,14.24137
Bahrain,1996,12.41021
Bahrain,1997,12.69337
Bahrain,1998,18.14127
Bahrain,1999,16.44939
Bahrain,2000,13.67278
Bahrain,2001,15.59978
Bahrain,2002,16.68806
Bahrain,2003,16.90686
Bahrain,2004,26.87972
Bahrain,2005,23.54947
Bahrain,2006,22.10580
Bahrain,2007,21.25895
Bahrain,2008,18.44294
Bahrain,2009,24.39458
Bahrain,2010,23.67544
Bahrain,2011,14.36304
Bahrain,2012,13.49967
Bahrain,2013,13.62708
Bahrain,2014,13.84519
Bangladesh,1976,14.54635
Bangladesh,1977,11.86575
Bangladesh,1978,15.53263
Bangladesh,1979,16.82626
Bangladesh,1980,21.04878
Bangladesh,1981,21.07967
Bangladesh,1982,22.11479
Bangladesh,1983,22.97242
Bangladesh,1984,18.21248
Bangladesh,1985,19.22565
Bangladesh,1986,19.63725
Bangladesh,1987,18.71507
Bangladesh,1988,17.69936
Bangladesh,1989,20.40041
Bangladesh,1990,18.97160
Bangladesh,1991,20.33531
Bangladesh,1992,18.72572
Bangladesh,1993,17.22186
Bangladesh,1994,16.73558
Bangladesh,1995,15.75531
Bangladesh,1996,13.12031
Bangladesh,1997,12.43849
Bangladesh,1998,12.35183
Bangladesh,1999,12.48003
Bangladesh,2000,11.30836
Bangladesh,2001,11.01787
Bangladesh,2002,13.00787
Bangladesh,2003,14.05020
Bangladesh,2004,12.49912
Bangladesh,2005,13.00324
Bangladesh,2006,12.83200
Bangladesh,2007,13.85771
Bangladesh,2008,12.55635
Bangladesh,2009,11.70693
Bangladesh,2010,11.29124
Bangladesh,2011,9.08810
Bangladesh,2012,9.73812
Bangladesh,2013,9.47365
Bangladesh,2014,9.47673
Bangladesh,2015,8.94231
Barbados,1970,56.88367
Barbados,1971,59.97053
Barbados,1972,62.35033
Barbados,1973,61.45066
Barbados,1974,51.71468
Barbados,1975,47.13805
Barbados,1976,55.37798
Barbados,1977,57.91700
Barbados,1978,58.03984
Barbados,1979,62.95857
Barbados,1980,60.13761
Barbados,1981,64.72631
Barbados,1982,58.32122
Barbados,1983,52.78287
Barbados,1984,50.67377
Barbados,1985,55.14424
Barbados,1986,62.31132
Barbados,1987,75.65579
Barbados,1988,76.93197
Barbados,1989,78.91421
Barbados,1990,74.90978
Barbados,1991,74.94237
Barbados,1992,76.58378
Barbados,1993,78.62380
Barbados,1994,81.93229
Barbados,1995,77.48856
Barbados,1996,75.91370
Barbados,1997,76.20828
Barbados,1998,78.55548
Barbados,1999,78.54067
Barbados,2000,78.81924
Barbados,2001,79.24983
Barbados,2002,79.98049
Barbados,2003,81.21227
Barbados,2004,80.33206
Barbados,2005,80.08447
Barbados,2006,75.86598
Barbados,2007,76.39600
Barbados,2008,78.83175
Barbados,2009,79.81780
Barbados,2010,79.18488
Barbados,2011,59.99650
Barbados,2012,59.54020
Barbados,2013,61.83772
Belarus,1993,8.58005
Belarus,1994,9.10408
Belarus,1995,8.84591
Belarus,1996,13.55608
Belarus,1997,11.72313
Belarus,1998,13.24429
Belarus,1999,11.79118
Belarus,2000,14.36619
Belarus,2001,14.69387
Belarus,2002,15.73185
Belarus,2003,15.66144
Belarus,2004,13.10218
Belarus,2005,13.35687
Belarus,2006,12.39493
Belarus,2007,13.19037
Belarus,2008,12.67298
Belarus,2009,15.28118
Belarus,2010,16.36629
Belarus,2011,12.05382
Belarus,2012,12.16455
Belarus,2013,17.04124
Belarus,2014,18.19647
Belarus,2015,20.22544
Belarus,2016,22.86883
Belgium,2002,19.96160
Belgium,2003,21.17330
Belgium,2004,20.70262
Belgium,2005,20.07276
Belgium,2006,19.69379
Belgium,2007,20.45501
Belgium,2008,23.52011
Belgium,2009,27.65017
Belgium,2010,26.62196
Belgium,2011,24.53330
Belgium,2012,26.12054
Belgium,2013,26.60189
Belgium,2014,28.42785
Belgium,2015,30.72956
Belgium,2016,28.55040
Belize,1984,27.52722
Belize,1985,29.70760
Belize,1986,31.61004
Belize,1987,35.23300
Belize,1988,38.40598
Belize,1989,40.83234
Belize,1990,47.16827
Belize,1991,49.31672
Belize,1992,50.35311
Belize,1993,53.27434
Belize,1994,43.63912
Belize,1995,44.66199
Belize,1996,44.59881
Belize,1997,41.61333
Belize,1998,43.00236
Belize,1999,39.44041
Belize,2000,38.18217
Belize,2001,40.29862
Belize,2002,38.45191
Belize,2003,41.79284
Belize,2004,45.09744
Belize,2005,49.91082
Belize,2006,47.30066
Belize,2007,49.00914
Belize,2008,44.61200
Belize,2009,47.28054
Belize,2010,42.65389
Belize,2011,36.04553
Belize,2012,39.30343
Belize,2013,42.42417
Belize,2014,45.64299
Belize,2015,47.95969
Benin,1974,19.14310
Benin,1975,19.50501
Benin,1976,26.42112
Benin,1977,20.13903
Benin,1978,23.54767
Benin,1979,24.59996
Benin,1980,27.53138
Benin,1981,14.68818
Benin,1982,26.18206
Benin,1983,27.49421
Benin,1984,20.67097
Benin,1985,11.21433
Benin,1986,18.83068
Benin,1987,19.86900
Benin,1988,37.54837
Benin,1989,34.84088
Benin,1990,34.72957
Benin,1991,28.10043
Benin,1992,31.13947
Benin,1993,27.13981
Benin,1994,26.32391
Benin,1995,31.63607
Benin,1996,19.43694
Benin,1997,21.47940
Benin,1998,25.57176
Benin,1999,29.56024
Benin,2000,25.74904
Benin,2001,28.25514
Benin,2002,25.36325
Benin,2003,24.16517
Benin,2004,27.49864
Benin,2005,25.10309
Benin,2006,22.78870
Benin,2007,22.36422
Benin,2008,21.34901
Benin,2009,15.28439
Benin,2010,22.70576
Benin,2011,24.73925
Benin,2012,23.12410
Benin,2013,20.60628
Benin,2014,15.73910
Benin,2015,17.27106
Bermuda,2006,98.42683
Bermuda,2007,98.44778
Bermuda,2008,98.41930
Bermuda,2009,97.88485
Bermuda,2010,98.96304
Bermuda,2011,99.14106
Bermuda,2012,99.20422
Bermuda,2013,99.08795
Bermuda,2014,98.43545
Bermuda,2015,98.52767
Bhutan,2006,14.21838
Bhutan,2007,9.45308
Bhutan,2008,8.37893
Bhutan,2009,9.80666
Bhutan,2010,11.65738
Bhutan,2011,10.98296
Bhutan,2012,14.01292
Bhutan,2013,18.46689
Bhutan,2014,18.88354
Bhutan,2015,17.73000
Bhutan,2016,22.50573
Bolivia,1976,9.68880
Bolivia,1977,8.74694
Bolivia,1978,10.83156
Bolivia,1979,12.16185
Bolivia,1980,8.53315
Bolivia,1981,9.25005
Bolivia,1982,9.04396
Bolivia,1983,12.00326
Bolivia,1984,11.43032
Bolivia,1985,13.40464
Bolivia,1986,18.16682
Bolivia,1987,20.22455
Bolivia,1988,19.12642
Bolivia,1989,16.53207
Bolivia,1990,14.93806
Bolivia,1991,17.11545
Bolivia,1992,21.29366
Bolivia,1993,20.22522
Bolivia,1994,16.59470
Bolivia,1995,15.59410
Bolivia,1996,13.78139
Bolivia,1997,22.90500
Bolivia,1998,23.84888
Bolivia,1999,23.27941
Bolivia,2000,22.51201
Bolivia,2001,21.83476
Bolivia,2002,23.85185
Bolivia,2003,23.89069
Bolivia,2004,20.20904
Bolivia,2005,20.03927
Bolivia,2006,15.80464
Bolivia,2007,13.96460
Bolivia,2008,10.70225
Bolivia,2009,13.26216
Bolivia,2010,10.35096
Bolivia,2011,10.39188
Bolivia,2012,9.17905
Bolivia,2013,9.51923
Bolivia,2014,8.50107
Bolivia,2015,12.52761
Bosnia and Herzegovina,1998,40.94056
Bosnia and Herzegovina,1999,35.79470
Bosnia and Herzegovina,2000,28.48321
Bosnia and Herzegovina,2001,30.45829
Bosnia and Herzegovina,2002,32.08104
Bosnia and Herzegovina,2003,32.79539
Bosnia and Herzegovina,2004,29.27044
Bosnia and Herzegovina,2005,27.90281
Bosnia and Herzegovina,2006,25.20886
Bosnia and Herzegovina,2007,46.37835
Bosnia and Herzegovina,2008,43.37296
Bosnia and Herzegovina,2009,42.53464
Bosnia and Herzegovina,2010,36.58251
Bosnia and Herzegovina,2011,31.28055
Bosnia and Herzegovina,2012,31.05955
Bosnia and Herzegovina,2013,28.86970
Bosnia and Herzegovina,2014,28.84922
Bosnia and Herzegovina,2015,29.51348
Bosnia and Herzegovina,2016,28.41776
Botswana,1975,17.84037
Botswana,1976,21.61445
Botswana,1977,21.16324
Botswana,1978,18.43033
Botswana,1979,12.14042
Botswana,1980,15.62999
Botswana,1981,19.47242
Botswana,1982,18.19593
Botswana,1983,14.99456
Botswana,1984,13.65911
Botswana,1985,9.48676
Botswana,1986,10.50338
Botswana,1987,7.31062
Botswana,1988,6.98456
Botswana,1989,5.72384
Botswana,1990,10.45040
Botswana,1991,10.08581
Botswana,1992,9.78815
Botswana,1993,9.99892
Botswana,1994,9.03355
Botswana,1995,10.75660
Botswana,1996,6.84641
Botswana,1997,6.93696
Botswana,1998,11.00777
Botswana,1999,11.07927
Botswana,2000,10.82524
Botswana,2001,13.35279
Botswana,2002,17.31418
Botswana,2003,17.54153
Botswana,2004,16.84853
Botswana,2005,15.77849
Botswana,2006,14.56398
Botswana,2007,14.11832
Botswana,2008,11.84263
Botswana,2009,20.16474
Botswana,2010,17.58181
Botswana,2011,16.00836
Botswana,2012,15.64349
Botswana,2013,13.55204
Botswana,2014,13.70222
Botswana,2015,16.65161
Brazil,1975,11.09715
Brazil,1976,9.27225
Brazil,1977,9.19269
Brazil,1978,9.76633
Brazil,1979,8.82230
Brazil,1980,7.94275
Brazil,1981,8.86809
Brazil,1982,8.22946
Brazil,1983,7.29828
Brazil,1984,6.72562
Brazil,1985,7.52525
Brazil,1986,7.51531
Brazil,1987,6.93133
Brazil,1988,6.32142
Brazil,1989,8.35044
Brazil,1990,10.69662
Brazil,1991,9.49969
Brazil,1992,10.25050
Brazil,1993,9.10884
Brazil,1994,10.01428
Brazil,1995,11.65441
Brazil,1996,9.06563
Brazil,1997,10.45490
Brazil,1998,13.01070
Brazil,1999,11.54629
Brazil,2000,13.24097
Brazil,2001,12.50370
Brazil,2002,12.46420
Brazil,2003,11.59919
Brazil,2004,10.87572
Brazil,2005,11.25963
Brazil,2006,11.83281
Brazil,2007,12.97607
Brazil,2008,13.33254
Brazil,2009,15.34298
Brazil,2010,13.27260
Brazil,2011,12.68350
Brazil,2012,13.91451
Brazil,2013,13.62917
Brazil,2014,15.13476
Brazil,2015,15.08805
Brazil,2016,15.29267
Brunei,2001,11.68615
Brunei,2002,10.31822
Brunei,2003,8.97790
Brunei,2004,9.69589
Brunei,2005,8.98508
Brunei,2006,8.89380
Brunei,2007,9.56315
Brunei,2008,7.49898
Brunei,2009,11.31365
Brunei,2010,4.98911
Brunei,2011,3.89576
Brunei,2012,3.61293
Brunei,2013,3.99568
Brunei,2014,4.77203
Brunei,2015,9.46030
Bulgaria,1980,13.01871
Bulgaria,1981,13.75321
Bulgaria,1982,13.26228
Bulgaria,1983,10.70995
Bulgaria,1984,11.63195
Bulgaria,1985,9.21655
Bulgaria,1986,9.75560
Bulgaria,1987,10.10912
Bulgaria,1988,11.32869
Bulgaria,1989,12.88589
Bulgaria,1990,12.04317
Bulgaria,1991,9.66666
Bulgaria,1992,21.29230
Bulgaria,1993,23.91482
Bulgaria,1994,24.20840
Bulgaria,1995,21.12331
Bulgaria,1996,21.83434
Bulgaria,1997,30.31145
Bulgaria,1998,29.88994
Bulgaria,1999,30.86242
Bulgaria,2000,31.07477
Bulgaria,2001,29.56400
Bulgaria,2002,29.03456
Bulgaria,2003,29.48034
Bulgaria,2004,28.83475
Bulgaria,2005,27.02823
Bulgaria,2006,25.68171
Bulgaria,2007,25.72264
Bulgaria,2008,26.08717
Bulgaria,2009,29.59358
Bulgaria,2010,25.93424
Bulgaria,2011,21.93384
Bulgaria,2012,22.65640
Bulgaria,2013,21.70279
Bulgaria,2014,24.31152
Bulgaria,2015,24.13958
Bulgaria,2016,25.01796
Burkina Faso,2005,11.79987
Burkina Faso,2006,9.06464
Burkina Faso,2007,11.58535
Burkina Faso,2008,12.83045
Burkina Faso,2009,14.51548
Burkina Faso,2010,15.78100
Burkina Faso,2011,14.76681
Burkina Faso,2012,12.79377
Burkina Faso,2013,15.71927
Burkina Faso,2014,14.10856
Burundi,1985,10.37637
Burundi,1986,8.33126
Burundi,1987,10.80526
Burundi,1988,8.74928
Burundi,1989,14.10740
Burundi,1990,18.65901
Burundi,1991,21.63028
Burundi,1992,18.50202
Burundi,1993,16.54489
Burundi,1994,15.61555
Burundi,1995,12.71709
Burundi,1996,20.65499
Burundi,1997,5.64114
Burundi,1998,6.50013
Burundi,1999,7.47398
Burundi,2000,7.49615
Burundi,2001,11.78605
Burundi,2002,19.49553
Burundi,2003,16.29800
Burundi,2004,24.55059
Burundi,2005,36.39609
Burundi,2006,37.02055
Burundi,2007,34.35764
Burundi,2008,54.47011
Burundi,2009,42.19153
Burundi,2010,43.98412
Burundi,2011,47.39044
Burundi,2012,39.90890
Burundi,2013,57.45510
Burundi,2014,35.99288
Burundi,2015,32.16171
Cambodia,1992,15.81795
Cambodia,1993,18.38468
Cambodia,1994,10.01102
Cambodia,1995,11.76228
Cambodia,1996,20.18849
Cambodia,1997,17.89380
Cambodia,1998,18.10692
Cambodia,1999,20.63706
Cambodia,2000,23.46918
Cambodia,2001,25.03127
Cambodia,2002,25.45020
Cambodia,2003,20.79788
Cambodia,2004,23.71719
Cambodia,2005,27.77152
Cambodia,2006,26.40300
Cambodia,2007,30.61257
Cambodia,2008,30.42319
Cambodia,2009,36.48915
Cambodia,2010,34.07785
Cambodia,2011,35.03717
Cambodia,2012,36.04265
Cambodia,2013,34.73199
Cambodia,2014,33.85614
Cameroon,1977,16.66527
Cameroon,1978,15.85395
Cameroon,1979,20.60802
Cameroon,1980,19.47989
Cameroon,1981,21.63958
Cameroon,1982,23.93672
Cameroon,1983,24.38585
Cameroon,1984,20.69584
Cameroon,1985,23.46730
Cameroon,1986,18.36332
Cameroon,1987,19.58995
Cameroon,1988,19.95212
Cameroon,1989,20.42146
Cameroon,1990,15.24073
Cameroon,1991,17.17761
Cameroon,1992,17.40134
Cameroon,1993,20.59037
Cameroon,1994,18.53407
Cameroon,1995,14.91835
Cameroon,1996,19.83379
Cameroon,1997,18.37829
Cameroon,1998,21.98394
Cameroon,1999,20.20013
Cameroon,2000,25.96944
Cameroon,2001,33.57169
Cameroon,2002,34.25483
Cameroon,2003,20.60724
Cameroon,2004,29.04938
Cameroon,2005,22.90187
Cameroon,2006,20.89403
Cameroon,2007,21.65607
Cameroon,2008,20.25388
Cameroon,2009,23.50591
Cameroon,2010,23.08412
Cameroon,2011,24.73821
Cameroon,2012,22.04643
Cameroon,2013,24.24529
Cameroon,2014,23.61137
Cameroon,2015,22.51519
Canada,1960,16.46956
Canada,1961,13.82184
Canada,1962,14.15208
Canada,1963,14.02952
Canada,1964,13.29033
Canada,1965,13.83720
Canada,1966,13.79396
Canada,1967,16.47160
Canada,1968,12.24514
Canada,1969,12.82403
Canada,1970,12.89464
Canada,1971,12.69283
Canada,1972,11.63838
Canada,1973,10.87317
Canada,1974,10.83097
Canada,1975,11.32125
Canada,1976,11.22129
Canada,1977,10.44590
Canada,1978,10.23913
Canada,1979,10.18137
Canada,1980,9.92958
Canada,1981,11.25606
Canada,1982,11.28860
Canada,1983,11.42867
Canada,1984,10.31329
Canada,1985,10.75911
Canada,1986,11.85029
Canada,1987,11.88488
Canada,1988,12.03106
Canada,1989,12.51053
Canada,1990,12.67297
Canada,1991,13.45409
Canada,1992,13.03769
Canada,1993,12.57703
Canada,1994,12.04716
Canada,1995,11.56703
Canada,1996,12.17365
Canada,1997,12.24908
Canada,1998,13.05955
Canada,1999,12.54539
Canada,2000,12.24193
Canada,2001,12.57985
Canada,2002,13.45804
Canada,2003,13.75153
Canada,2004,13.92717
Canada,2005,13.99274
Canada,2006,14.27799
Canada,2007,14.18208
Canada,2008,14.09145
Canada,2009,17.62434
Canada,2010,16.39279
Canada,2011,15.60626
Canada,2012,16.20227
Canada,2013,16.26904
Canada,2014,15.63271
Canada,2015,16.30607
Canada,2016,17.06695
Cape Verde,1977,43.52470
Cape Verde,1978,60.37051
Cape Verde,1979,66.51485
Cape Verde,1980,52.50940
Cape Verde,1981,73.53247
Cape Verde,1982,87.35808
Cape Verde,1983,91.02734
Cape Verde,1984,77.40932
Cape Verde,1985,80.21307
Cape Verde,1986,88.95657
Cape Verde,1987,55.42820
Cape Verde,1988,64.98370
Cape Verde,1989,58.58481
Cape Verde,1990,68.16248
Cape Verde,1991,73.60234
Cape Verde,1992,78.77602
Cape Verde,1993,85.26272
Cape Verde,1994,80.10044
Cape Verde,1995,82.64977
Cape Verde,1996,81.32432
Cape Verde,1997,70.13906
Cape Verde,1998,81.34529
Cape Verde,1999,88.12972
