Entity,Year,Child mortality by income level (1960-2012) (World Bank (WDI) (2016))
Lower middle income,1989,120.9
Lower middle income,1990,118.1
Lower middle income,1991,115.5
Lower middle income,1992,113
Lower middle income,1993,110.5
Lower middle income,1994,108.2
Lower middle income,1995,105.9
Lower middle income,1996,103.6
Lower middle income,1997,101.2
Lower middle income,1998,98.6
Lower middle income,1999,95.9
Lower middle income,2000,93
Lower middle income,2001,90
Lower middle income,2002,86.9
Lower middle income,2003,83.6
Lower middle income,2004,80.6
Lower middle income,2005,77.7
Lower middle income,2006,74.9
Lower middle income,2007,72.3
Lower middle income,2008,69.9
Lower middle income,2009,67.6
Lower middle income,2010,65.4
Lower middle income,2011,63.2
Lower middle income,2012,61.2
Upper middle income,1969,122.4
Upper middle income,1970,116.9
Upper middle income,1971,111.7
Upper middle income,1972,106.8
Upper middle income,1973,102
Upper middle income,1974,97.9
Upper middle income,1975,93.2
Upper middle income,1976,88.7
Upper middle income,1977,84.6
Upper middle income,1978,80.7
Upper middle income,1979,76.9
Upper middle income,1980,74.4
Upper middle income,1981,70.9
Upper middle income,1982,67.7
Upper middle income,1983,64.6
Upper middle income,1984,61.8
Upper middle income,1985,59.7
Upper middle income,1986,58.1
Upper middle income,1987,56.9
Upper middle income,1988,56
Upper middle income,1989,55.1
Upper middle income,1990,54.3
Upper middle income,1991,53.3
Upper middle income,1992,52
Upper middle income,1993,50.3
Upper middle income,1994,48.6
Upper middle income,1995,46.8
Upper middle income,1996,45
Upper middle income,1997,43.3
Upper middle income,1998,41.5
Upper middle income,1999,39.7
Upper middle income,2000,37.9
Upper middle income,2001,36.1
Upper middle income,2002,34.3
Upper middle income,2003,32.5
Upper middle income,2004,30.8
Upper middle income,2005,29.2
Upper middle income,2006,27.7
Upper middle income,2007,26.2
Upper middle income,2008,24.9
Upper middle income,2009,23.6
Upper middle income,2010,22.3
Upper middle income,2011,21.1
Upper middle income,2012,20.2
World,1960,181
World,1961,179.1
World,1962,179.7
World,1963,175.6
World,1964,173.5
World,1965,170.6
World,1966,169.1
World,1967,168.7
World,1968,163.3
World,1969,149.6
World,1970,144.6
World,1971,140.6
World,1972,137.3
World,1973,133.9
World,1974,130.5
World,1975,127.9
World,1976,125.1
World,1977,122.6
World,1978,120.4
World,1979,118.2
World,1980,115.7
World,1981,112.4
World,1982,109.2
World,1983,105.8
World,1984,102.3
World,1985,99.2
World,1986,96.7
World,1987,94.5
World,1988,92.6
World,1989,91.1
World,1990,89.8
World,1991,88.6
World,1992,87.5
World,1993,86.6
World,1994,85.7
World,1995,84.5
World,1996,83.3
World,1997,81.8
World,1998,79.9
World,1999,77.7
World,2000,75.4
World,2001,73
World,2002,70.4
World,2003,67.8
World,2004,65.3
World,2005,62.8
World,2006,60.3
World,2007,58
World,2008,55.7
World,2009,53.5
World,2010,51.7
World,2011,49.6
World,2012,47.8
