Entity,Year,Death rate from ambient PM2.5 air pollution (State of Global Air (2017))
Bosnia and Herzegovina,2015,49
Botswana,1990,82
Botswana,1995,83
Botswana,2000,96
Botswana,2005,93
Botswana,2010,75
Botswana,2015,67
Brazil,1990,61
Brazil,1995,58
Brazil,2000,53
Brazil,2005,41
Brazil,2010,31
Brazil,2015,31
Brunei,1990,20
Brunei,1995,19
Brunei,2000,16
Brunei,2005,21
Brunei,2010,16
Brunei,2015,11
Bulgaria,1990,121
Bulgaria,1995,111
Bulgaria,2000,97
Bulgaria,2005,78
Bulgaria,2010,73
Bulgaria,2015,70
Burkina Faso,1990,123
Burkina Faso,1995,119
Burkina Faso,2000,119
Burkina Faso,2005,105
Burkina Faso,2010,101
Burkina Faso,2015,86
Burundi,1990,175
Burundi,1995,174
Burundi,2000,147
Burundi,2005,107
Burundi,2010,88
Burundi,2015,95
Cambodia,1990,113
Cambodia,1995,111
Cambodia,2000,106
Cambodia,2005,101
Cambodia,2010,85
Cambodia,2015,82
Cameroon,1990,144
Cameroon,1995,150
Cameroon,2000,164
Cameroon,2005,147
Cameroon,2010,131
Cameroon,2015,123
Canada,1990,24
Canada,1995,21
Canada,2000,18
Canada,2005,16
Canada,2010,12
Canada,2015,12
Cape Verde,1990,86
Cape Verde,1995,96
Cape Verde,2000,94
Cape Verde,2005,77
Cape Verde,2010,69
Cape Verde,2015,65
Central African Republic,1990,179
Central African Republic,1995,180
Central African Republic,2000,178
Central African Republic,2005,174
Central African Republic,2010,164
Central African Republic,2015,163
Chad,1990,112
Chad,1995,117
Chad,2000,135
Chad,2005,127
Chad,2010,123
Chad,2015,110
Chile,1990,56
Chile,1995,45
Chile,2000,36
Chile,2005,32
Chile,2010,30
Chile,2015,28
China,1990,147
China,1995,137
China,2000,128
China,2005,121
China,2010,99
China,2015,84
Colombia,1990,49
Colombia,1995,47
Colombia,2000,44
Colombia,2005,42
Colombia,2010,34
Colombia,2015,32
Comoros,1990,86
Comoros,1995,81
Comoros,2000,68
Comoros,2005,54
Comoros,2010,46
Comoros,2015,47
Congo,1990,171
Congo,1995,174
Congo,2000,169
Congo,2005,136
Congo,2010,122
Congo,2015,123
Costa Rica,1990,40
Costa Rica,1995,38
Costa Rica,2000,34
Costa Rica,2005,28
Costa Rica,2010,21
Costa Rica,2015,24
Cote d'Ivoire,1990,102
Cote d'Ivoire,1995,116
Cote d'Ivoire,2000,115
Cote d'Ivoire,2005,98
Cote d'Ivoire,2010,91
Cote d'Ivoire,2015,81
Croatia,1990,69
Croatia,1995,62
Croatia,2000,59
Croatia,2005,48
Croatia,2010,43
Croatia,2015,43
Cuba,1990,57
Cuba,1995,57
Cuba,2000,54
Cuba,2005,48
Cuba,2010,38
Cuba,2015,39
Cyprus,1990,47
Cyprus,1995,43
Cyprus,2000,36
Cyprus,2005,27
Cyprus,2010,23
Cyprus,2015,21
Czech Republic,1990,104
Czech Republic,1995,79
Czech Republic,2000,63
Czech Republic,2005,51
Czech Republic,2010,46
Czech Republic,2015,42
Denmark,1990,44
Denmark,1995,39
Denmark,2000,31
Denmark,2005,25
Denmark,2010,23
Denmark,2015,21
Djibouti,1990,98
Djibouti,1995,100
Djibouti,2000,102
Djibouti,2005,92
Djibouti,2010,89
Djibouti,2015,91
Dominica,1990,40
Dominica,1995,39
Dominica,2000,34
Dominica,2005,31
Dominica,2010,29
Dominica,2015,29
Dominican Republic,1990,41
Dominican Republic,1995,43
Dominican Republic,2000,48
Dominican Republic,2005,43
Dominican Republic,2010,44
Dominican Republic,2015,43
Ecuador,1990,42
Ecuador,1995,40
Ecuador,2000,40
Ecuador,2005,40
Ecuador,2010,29
Ecuador,2015,26
Egypt,1990,140
Egypt,1995,129
Egypt,2000,111
Egypt,2005,114
Egypt,2010,120
Egypt,2015,114
El Salvador,1990,68
El Salvador,1995,63
El Salvador,2000,56
El Salvador,2005,50
El Salvador,2010,42
El Salvador,2015,44
Equatorial Guinea,1990,175
Equatorial Guinea,1995,168
Equatorial Guinea,2000,139
Equatorial Guinea,2005,99
Equatorial Guinea,2010,93
Equatorial Guinea,2015,92
Eritrea,1990,134
Eritrea,1995,108
Eritrea,2000,99
Eritrea,2005,96
Eritrea,2010,103
Eritrea,2015,105
Estonia,1990,65
Estonia,1995,61
Estonia,2000,47
Estonia,2005,37
Estonia,2010,25
Estonia,2015,26
Ethiopia,1990,132
Ethiopia,1995,115
Ethiopia,2000,102
Ethiopia,2005,85
Ethiopia,2010,73
Ethiopia,2015,71
Fiji,1990,45
Fiji,1995,47
Fiji,2000,46
Fiji,2005,42
Fiji,2010,31
Fiji,2015,33
Finland,1990,33
Finland,1995,27
Finland,2000,22
Finland,2005,17
Finland,2010,15
Finland,2015,14
France,1990,26
France,1995,23
France,2000,21
France,2005,17
France,2010,15
France,2015,15
Gabon,1990,116
Gabon,1995,115
Gabon,2000,111
Gabon,2005,96
Gabon,2010,82
Gabon,2015,83
Gambia,1990,115
Gambia,1995,109
Gambia,2000,108
Gambia,2005,92
Gambia,2010,92
Gambia,2015,89
Georgia,1990,89
Georgia,1995,77
Georgia,2000,78
Georgia,2005,74
Georgia,2010,72
Georgia,2015,68
Germany,1990,49
Germany,1995,40
Germany,2000,34
Germany,2005,27
Germany,2010,24
Germany,2015,23
Ghana,1990,114
Ghana,1995,100
Ghana,2000,103
Ghana,2005,88
Ghana,2010,85
Ghana,2015,75
Greece,1990,39
Greece,1995,35
Greece,2000,33
Greece,2005,28
Greece,2010,26
Greece,2015,27
Greenland,1990,33
Greenland,1995,29
Greenland,2000,27
Greenland,2005,21
Greenland,2010,14
Greenland,2015,15
Grenada,1990,67
Grenada,1995,63
Grenada,2000,56
Grenada,2005,50
Grenada,2010,42
Grenada,2015,43
Guatemala,1990,81
Guatemala,1995,78
Guatemala,2000,74
Guatemala,2005,63
Guatemala,2010,51
Guatemala,2015,52
Guinea,1990,96
Guinea,1995,95
Guinea,2000,98
Guinea,2005,87
Guinea,2010,93
Guinea,2015,82
Guinea-Bissau,1990,121
Guinea-Bissau,1995,120
Guinea-Bissau,2000,122
Guinea-Bissau,2005,109
Guinea-Bissau,2010,118
Guinea-Bissau,2015,108
Guyana,1990,94
Guyana,1995,105
Guyana,2000,82
Guyana,2005,72
Guyana,2010,61
Guyana,2015,62
Haiti,1990,125
Haiti,1995,111
Haiti,2000,99
Haiti,2005,93
Haiti,2010,79
Haiti,2015,81
Honduras,1990,66
Honduras,1995,80
Honduras,2000,82
Honduras,2005,82
Honduras,2010,70
Honduras,2015,72
Hungary,1990,101
Hungary,1995,87
Hungary,2000,73
Hungary,2005,62
Hungary,2010,57
Hungary,2015,48
Iceland,1990,27
Iceland,1995,24
Iceland,2000,19
Iceland,2005,16
Iceland,2010,13
Iceland,2015,12
India,1990,164
India,1995,161
India,2000,155
India,2005,143
India,2010,135
India,2015,134
Indonesia,1990,58
Indonesia,1995,58
Indonesia,2000,57
Indonesia,2005,57
Indonesia,2010,51
Indonesia,2015,50
Iran,1990,92
Iran,1995,87
Iran,2000,83
Iran,2005,78
Iran,2010,78
Iran,2015,71
Iraq,1990,123
Iraq,1995,132
Iraq,2000,133
Iraq,2005,131
Iraq,2010,144
Iraq,2015,111
Ireland,1990,39
Ireland,1995,35
Ireland,2000,30
Ireland,2005,23
Ireland,2010,19
Ireland,2015,19
Israel,1990,44
Israel,1995,37
Israel,2000,30
Israel,2005,25
Israel,2010,21
Israel,2015,22
Italy,1990,36
Italy,1995,30
Italy,2000,26
Italy,2005,21
Italy,2010,19
Italy,2015,22
Jamaica,1990,40
Jamaica,1995,41
Jamaica,2000,37
Jamaica,2005,32
Jamaica,2010,28
Jamaica,2015,32
Japan,1990,27
Japan,1995,23
Japan,2000,20
Japan,2005,19
Japan,2010,17
Japan,2015,17
Jordan,1990,74
Jordan,1995,70
Jordan,2000,65
Jordan,2005,57
Jordan,2010,44
Jordan,2015,43
Kazakhstan,1990,88
Kazakhstan,1995,99
Kazakhstan,2000,97
Kazakhstan,2005,91
Kazakhstan,2010,78
Kazakhstan,2015,75
Kenya,1990,43
Kenya,1995,44
Kenya,2000,41
Kenya,2005,37
Kenya,2010,36
Kenya,2015,37
Kiribati,1990,19
Kiribati,1995,19
Kiribati,2000,20
Kiribati,2005,17
Kiribati,2010,7
Kiribati,2015,7
Kuwait,1990,61
Kuwait,1995,75
Kuwait,2000,65
Kuwait,2005,67
Kuwait,2010,76
Kuwait,2015,55
Kyrgyzstan,1990,97
Kyrgyzstan,1995,102
Kyrgyzstan,2000,95
Kyrgyzstan,2005,93
Kyrgyzstan,2010,90
Kyrgyzstan,2015,82
Laos,1990,139
Laos,1995,135
Laos,2000,124
Laos,2005,113
Laos,2010,96
Laos,2015,91
Latvia,1990,101
Latvia,1995,104
Latvia,2000,75
Latvia,2005,69
Latvia,2010,55
Latvia,2015,52
Lebanon,1990,76
Lebanon,1995,61
Lebanon,2000,51
Lebanon,2005,45
Lebanon,2010,46
Lebanon,2015,45
Lesotho,1990,81
Lesotho,1995,81
Lesotho,2000,92
Lesotho,2005,117
Lesotho,2010,106
Lesotho,2015,111
Liberia,1990,45
Liberia,1995,40
Liberia,2000,38
Liberia,2005,35
Liberia,2010,37
Liberia,2015,29
Libya,1990,75
Libya,1995,69
Libya,2000,69
Libya,2005,67
Libya,2010,70
Libya,2015,80
Lithuania,1990,91
Lithuania,1995,90
Lithuania,2000,67
Lithuania,2005,63
Lithuania,2010,55
Lithuania,2015,49
Luxembourg,1990,49
Luxembourg,1995,40
Luxembourg,2000,34
Luxembourg,2005,27
Luxembourg,2010,22
Luxembourg,2015,20
Macedonia,1990,98
Macedonia,1995,99
Macedonia,2000,90
Macedonia,2005,75
Macedonia,2010,71
Macedonia,2015,64
Madagascar,1990,85
Madagascar,1995,85
Madagascar,2000,83
Madagascar,2005,77
Madagascar,2010,72
Madagascar,2015,76
Malawi,1990,79
Malawi,1995,83
Malawi,2000,87
Malawi,2005,75
Malawi,2010,62
Malawi,2015,56
Malaysia,1990,66
Malaysia,1995,65
Malaysia,2000,62
Malaysia,2005,66
Malaysia,2010,55
Malaysia,2015,52
Maldives,1990,81
Maldives,1995,68
Maldives,2000,54
Maldives,2005,45
Maldives,2010,37
Maldives,2015,37
Mali,1990,106
Mali,1995,102
Mali,2000,93
Mali,2005,79
Mali,2010,80
Mali,2015,72
Malta,1990,40
Malta,1995,33
Malta,2000,31
Malta,2005,23
Malta,2010,24
Malta,2015,23
Marshall Islands,1990,59
Marshall Islands,1995,58
Marshall Islands,2000,59
Marshall Islands,2005,57
Marshall Islands,2010,53
Marshall Islands,2015,49
Mauritania,1990,141
Mauritania,1995,137
Mauritania,2000,121
Mauritania,2005,93
Mauritania,2010,90
Mauritania,2015,93
Mauritius,1990,88
Mauritius,1995,83
Mauritius,2000,74
Mauritius,2005,58
Mauritius,2010,38
Mauritius,2015,36
Mexico,1990,41
Mexico,1995,41
Mexico,2000,39
Mexico,2005,36
Mexico,2010,31
Mexico,2015,32
Moldova,1990,117
Moldova,1995,128
Moldova,2000,98
Moldova,2005,86
Moldova,2010,83
Moldova,2015,64
Mongolia,1990,89
Mongolia,1995,95
Mongolia,2000,106
Mongolia,2005,100
Mongolia,2010,91
Mongolia,2015,90
Montenegro,1990,61
Montenegro,1995,65
Montenegro,2000,66
Montenegro,2005,55
Montenegro,2010,52
Montenegro,2015,52
Morocco,1990,56
Morocco,1995,52
Morocco,2000,46
Morocco,2005,43
Morocco,2010,40
Morocco,2015,42
Mozambique,1990,63
Mozambique,1995,61
Mozambique,2000,65
Mozambique,2005,61
Mozambique,2010,58
Mozambique,2015,57
Myanmar,1990,122
Myanmar,1995,119
Myanmar,2000,114
Myanmar,2005,107
Myanmar,2010,94
Myanmar,2015,94
Namibia,1990,97
Namibia,1995,100
Namibia,2000,122
Namibia,2005,102
Namibia,2010,70
Namibia,2015,61
Nepal,1990,135
Nepal,1995,128
Nepal,2000,115
Nepal,2005,111
Nepal,2010,110
Nepal,2015,113
Netherlands,1990,44
Netherlands,1995,40
Netherlands,2000,36
Netherlands,2005,29
Netherlands,2010,24
Netherlands,2015,23
New Zealand,1990,23
New Zealand,1995,19
New Zealand,2000,16
New Zealand,2005,13
New Zealand,2010,9
New Zealand,2015,9
Nicaragua,1990,39
Nicaragua,1995,38
Nicaragua,2000,36
Nicaragua,2005,36
Nicaragua,2010,31
Nicaragua,2015,33
Niger,1990,176
Niger,1995,168
Niger,2000,158
Niger,2005,141
Niger,2010,135
Niger,2015,111
Nigeria,1990,148
Nigeria,1995,136
Nigeria,2000,128
Nigeria,2005,106
Nigeria,2010,85
Nigeria,2015,69
North Korea,1990,89
North Korea,1995,88
North Korea,2000,92
North Korea,2005,91
North Korea,2010,86
North Korea,2015,85
Norway,1990,35
Norway,1995,30
Norway,2000,25
Norway,2005,19
Norway,2010,17
Norway,2015,16
Oman,1990,82
Oman,1995,76
Oman,2000,73
Oman,2005,67
Oman,2010,69
Oman,2015,63
Pakistan,1990,139
Pakistan,1995,154
Pakistan,2000,158
Pakistan,2005,148
Pakistan,2010,140
Pakistan,2015,136
Palestine,1990,63
Palestine,1995,57
Palestine,2000,52
Palestine,2005,51
Palestine,2010,56
Palestine,2015,59
Panama,1990,38
Panama,1995,34
Panama,2000,30
Panama,2005,26
Panama,2010,21
Panama,2015,24
Papua New Guinea,1990,115
Papua New Guinea,1995,109
Papua New Guinea,2000,108
Papua New Guinea,2005,97
Papua New Guinea,2010,82
Papua New Guinea,2015,88
Paraguay,1990,51
Paraguay,1995,52
Paraguay,2000,48
Paraguay,2005,47
Paraguay,2010,41
Paraguay,2015,38
Peru,1990,66
Peru,1995,64
Peru,2000,56
Peru,2005,53
Peru,2010,40
Peru,2015,37
Philippines,1990,77
Philippines,1995,77
Philippines,2000,81
Philippines,2005,92
Philippines,2010,80
Philippines,2015,77
Poland,1990,110
Poland,1995,90
Poland,2000,70
Poland,2005,58
Poland,2010,54
Poland,2015,45
Portugal,1990,35
Portugal,1995,31
Portugal,2000,28
Portugal,2005,23
Portugal,2010,18
Portugal,2015,17
Qatar,1990,89
Qatar,1995,94
Qatar,2000,89
Qatar,2005,76
Qatar,2010,56
Qatar,2015,51
Romania,1990,103
Romania,1995,97
Romania,2000,81
Romania,2005,65
Romania,2010,62
Romania,2015,55
Russia,1990,87
Russia,1995,100
Russia,2000,95
Russia,2005,91
Russia,2010,74
Russia,2015,63
Rwanda,1990,153
Rwanda,1995,199
Rwanda,2000,145
Rwanda,2005,88
Rwanda,2010,79
Rwanda,2015,83
Saint Lucia,1990,54
Saint Lucia,1995,50
Saint Lucia,2000,44
Saint Lucia,2005,38
Saint Lucia,2010,30
Saint Lucia,2015,31
Saint Vincent and the Grenadines,1990,53
Saint Vincent and the Grenadines,1995,54
Saint Vincent and the Grenadines,2000,52
Saint Vincent and the Grenadines,2005,46
Saint Vincent and the Grenadines,2010,41
Saint Vincent and the Grenadines,2015,41
Samoa,1990,14
Samoa,1995,14
Samoa,2000,13
Samoa,2005,12
Samoa,2010,5
Samoa,2015,7
Sao Tome and Principe,1990,65
Sao Tome and Principe,1995,67
Sao Tome and Principe,2000,69
Sao Tome and Principe,2005,69
Sao Tome and Principe,2010,59
Sao Tome and Principe,2015,59
Saudi Arabia,1990,80
Saudi Arabia,1995,77
Saudi Arabia,2000,74
Saudi Arabia,2005,69
Saudi Arabia,2010,72
Saudi Arabia,2015,66
Senegal,1990,93
Senegal,1995,92
Senegal,2000,92
Senegal,2005,76
Senegal,2010,80
Senegal,2015,86
Serbia,1990,74
Serbia,1995,78
Serbia,2000,77
Serbia,2005,63
Serbia,2010,57
Serbia,2015,50
Seychelles,1990,67
Seychelles,1995,62
Seychelles,2000,55
Seychelles,2005,51
Seychelles,2010,41
Seychelles,2015,35
Sierra Leone,1990,87
Sierra Leone,1995,85
Sierra Leone,2000,89
Sierra Leone,2005,87
Sierra Leone,2010,91
Sierra Leone,2015,72
Singapore,1990,62
Singapore,1995,58
Singapore,2000,48
Singapore,2005,48
Singapore,2010,35
Singapore,2015,32
Slovakia,1990,110
Slovakia,1995,88
Slovakia,2000,76
Slovakia,2005,65
Slovakia,2010,56
Slovakia,2015,46
Slovenia,1990,56
Slovenia,1995,48
Slovenia,2000,40
Slovenia,2005,32
Slovenia,2010,25
Slovenia,2015,26
Solomon Islands,1990,52
Solomon Islands,1995,49
Solomon Islands,2000,48
Solomon Islands,2005,55
Solomon Islands,2010,36
Solomon Islands,2015,39
Somalia,1990,94
Somalia,1995,91
Somalia,2000,90
Somalia,2005,78
Somalia,2010,79
Somalia,2015,76
South Africa,1990,102
South Africa,1995,99
South Africa,2000,116
South Africa,2005,99
South Africa,2010,75
South Africa,2015,74
South Korea,1990,68
South Korea,1995,51
South Korea,2000,41
South Korea,2005,32
South Korea,2010,27
South Korea,2015,27
South Sudan,1990,113
South Sudan,1995,108
South Sudan,2000,99
South Sudan,2005,86
South Sudan,2010,89
South Sudan,2015,86
Spain,1990,27
Spain,1995,24
Spain,2000,22
Spain,2005,19
Spain,2010,15
Spain,2015,14
Sri Lanka,1990,59
Sri Lanka,1995,54
Sri Lanka,2000,57
Sri Lanka,2005,58
Sri Lanka,2010,47
Sri Lanka,2015,42
Sudan,1990,149
Sudan,1995,145
Sudan,2000,135
Sudan,2005,126
Sudan,2010,121
Sudan,2015,111
Suriname,1990,66
Suriname,1995,64
Suriname,2000,63
Suriname,2005,47
Suriname,2010,39
Suriname,2015,41
Swaziland,1990,98
Swaziland,1995,83
Swaziland,2000,106
Swaziland,2005,129
Swaziland,2010,108
Swaziland,2015,96
Sweden,1990,21
Sweden,1995,17
Sweden,2000,14
Sweden,2005,10
Sweden,2010,9
Sweden,2015,11
Switzerland,1990,30
Switzerland,1995,26
Switzerland,2000,22
Switzerland,2005,18
Switzerland,2010,15
Switzerland,2015,16
Syria,1990,99
Syria,1995,86
Syria,2000,78
Syria,2005,72
Syria,2010,73
Syria,2015,74
Taiwan,1990,53
Taiwan,1995,47
Taiwan,2000,41
Taiwan,2005,39
Taiwan,2010,36
Taiwan,2015,34
Tajikistan,1990,170
Tajikistan,1995,171
Tajikistan,2000,170
Tajikistan,2005,135
Tajikistan,2010,121
Tajikistan,2015,105
Tanzania,1990,72
Tanzania,1995,73
Tanzania,2000,68
Tanzania,2005,59
Tanzania,2010,55
Tanzania,2015,59
Thailand,1990,60
Thailand,1995,62
Thailand,2000,61
Thailand,2005,52
Thailand,2010,47
Thailand,2015,51
Timor-Leste,1990,79
Timor-Leste,1995,72
Timor-Leste,2000,66
Timor-Leste,2005,61
Timor-Leste,2010,49
Timor-Leste,2015,47
Togo,1990,116
Togo,1995,118
Togo,2000,123
Togo,2005,105
Togo,2010,99
Togo,2015,88
Tonga,1990,17
Tonga,1995,16
Tonga,2000,16
Tonga,2005,16
Tonga,2010,8
Tonga,2015,8
Trinidad and Tobago,1990,66
Trinidad and Tobago,1995,64
Trinidad and Tobago,2000,58
Trinidad and Tobago,2005,42
Trinidad and Tobago,2010,35
Trinidad and Tobago,2015,38
Tunisia,1990,63
Tunisia,1995,62
Tunisia,2000,52
Tunisia,2005,42
Tunisia,2010,44
Tunisia,2015,48
Turkey,1990,88
Turkey,1995,76
Turkey,2000,62
Turkey,2005,49
Turkey,2010,41
Turkey,2015,42
Turkmenistan,1990,149
Turkmenistan,1995,156
Turkmenistan,2000,155
Turkmenistan,2005,112
Turkmenistan,2010,111
Turkmenistan,2015,100
Uganda,1990,127
Uganda,1995,130
Uganda,2000,130
Uganda,2005,117
Uganda,2010,101
Uganda,2015,102
Ukraine,1990,106
Ukraine,1995,118
Ukraine,2000,106
Ukraine,2005,100
Ukraine,2010,84
Ukraine,2015,76
United Arab Emirates,1990,114
United Arab Emirates,1995,109
United Arab Emirates,2000,103
United Arab Emirates,2005,83
United Arab Emirates,2010,86
United Arab Emirates,2015,85
United Kingdom,1990,50
United Kingdom,1995,44
United Kingdom,2000,37
United Kingdom,2005,29
United Kingdom,2010,24
United Kingdom,2015,23
United States,1990,36
United States,1995,33
United States,2000,30
United States,2005,26
United States,2010,19
United States,2015,18
Uruguay,1990,43
Uruguay,1995,41
Uruguay,2000,37
Uruguay,2005,31
Uruguay,2010,28
Uruguay,2015,27
Uzbekistan,1990,133
Uzbekistan,1995,138
Uzbekistan,2000,131
Uzbekistan,2005,114
Uzbekistan,2010,105
Uzbekistan,2015,98
Vanuatu,1990,70
Vanuatu,1995,69
Vanuatu,2000,66
Vanuatu,2005,66
Vanuatu,2010,47
Vanuatu,2015,49
Venezuela,1990,67
Venezuela,1995,62
Venezuela,2000,58
Venezuela,2005,50
Venezuela,2010,43
Venezuela,2015,45
Vietnam,1990,63
Vietnam,1995,63
Vietnam,2000,62
Vietnam,2005,61
Vietnam,2010,55
Vietnam,2015,55
Yemen,1990,167
Yemen,1995,159
Yemen,2000,153
Yemen,2005,130
Yemen,2010,128
Yemen,2015,128
Zambia,1990,91
Zambia,1995,103
Zambia,2000,110
Zambia,2005,108
Zambia,2010,97
Zambia,2015,89
Zimbabwe,1990,61
Zimbabwe,1995,60
Zimbabwe,2000,76
Zimbabwe,2005,91
Zimbabwe,2010,82
Zimbabwe,2015,65
