Entity,Year,Deaths in civil conflicts,Deaths in colonial or imperial conflicts,Deaths in civil conflicts with foreign state intervention,Deaths in conflicts between states,Deaths in all state-based conflict types,"Deaths in colonial or imperial conflicts per 100,000","Deaths in conflicts between states per 100,000","Deaths in civil conflicts per 100,000","Deaths in civil conflicts with foreign state intervention per 100,000","Deaths in all state-based conflict types per 100,000"
Africa,2011,2993,0,5429,0,8422,NA,NA,NA,NA,NA
Africa,2012,1910,0,4245,367,6522,NA,NA,NA,NA,NA
Africa,2013,2169,0,5000,0,7169,NA,NA,NA,NA,NA
Africa,2014,1446,0,8705,0,10151,NA,NA,NA,NA,NA
Africa,2015,2237,0,7952,0,10189,NA,NA,NA,NA,NA
Africa,2016,3127,0,6712,25,9864,NA,NA,NA,NA,NA
Africa,2017,4243,0,5147,0,9390,NA,NA,NA,NA,NA
Africa,2018,2057,0,4751,0,6808,NA,NA,NA,NA,NA
Africa,2019,1518,0,6819,0,8337,NA,NA,NA,NA,NA
Africa,2020,3538,0,7083,0,10621,NA,NA,NA,NA,NA
Americas,1946,1000,0,0,0,1000,NA,NA,NA,NA,NA
Americas,1947,4000,0,0,0,4000,NA,NA,NA,NA,NA
Americas,1948,2000,0,0,0,2000,NA,NA,NA,NA,NA
Americas,1949,40,0,0,0,40,NA,NA,NA,NA,NA
Americas,1950,0,34,0,0,34,NA,NA,NA,NA,NA
Americas,1951,0,0,0,0,0,NA,NA,NA,NA,NA
Americas,1952,1725,0,0,0,1725,NA,NA,NA,NA,NA
Americas,1953,28,0,0,0,28,NA,NA,NA,NA,NA
Americas,1954,78,0,0,0,78,NA,NA,NA,NA,NA
Americas,1955,850,0,0,0,850,NA,NA,NA,NA,NA
Americas,1956,982.5,0,0,0,982.5,NA,NA,NA,NA,NA
Americas,1957,983,0,0,40,1023,NA,NA,NA,NA,NA
Americas,1958,983.5,0,0,0,983.5,NA,NA,NA,NA,NA
Americas,1959,0,0,0,0,0,NA,NA,NA,NA,NA
Americas,1960,0,0,0,0,0,NA,NA,NA,NA,NA
Americas,1961,0,0,823.5,0,823.5,NA,NA,NA,NA,NA
Americas,1962,400,0,0,0,400,NA,NA,NA,NA,NA
Americas,1963,25,0,0,0,25,NA,NA,NA,NA,NA
Americas,1964,230,0,0,0,230,NA,NA,NA,NA,NA
Americas,1965,4665,0,0,0,4665,NA,NA,NA,NA,NA
Americas,1966,400,0,0,0,400,NA,NA,NA,NA,NA
Americas,1967,502,0,0,0,502,NA,NA,NA,NA,NA
Americas,1968,1010,0,0,0,1010,NA,NA,NA,NA,NA
Americas,1969,1690,0,0,2107,3797,NA,NA,NA,NA,NA
Americas,1970,1720,0,0,0,1720,NA,NA,NA,NA,NA
Americas,1971,1650,0,0,0,1650,NA,NA,NA,NA,NA
Americas,1972,2061,0,0,0,2061,NA,NA,NA,NA,NA
Americas,1973,3395,0,0,0,3395,NA,NA,NA,NA,NA
Americas,1974,2575,0,0,0,2575,NA,NA,NA,NA,NA
Americas,1975,2040,0,0,0,2040,NA,NA,NA,NA,NA
Americas,1976,2580,0,0,0,2580,NA,NA,NA,NA,NA
Americas,1977,1717,0,0,0,1717,NA,NA,NA,NA,NA
Americas,1978,4300,0,0,0,4300,NA,NA,NA,NA,NA
Americas,1979,9570,0,0,0,9570,NA,NA,NA,NA,NA
Americas,1980,3599,0,0,0,3599,NA,NA,NA,NA,NA
Americas,1981,19541,0,0,0,19541,NA,NA,NA,NA,NA
Americas,1982,14838,0,0,0,14838,NA,NA,NA,NA,NA
Americas,1983,16737,0,0,176,16913,NA,NA,NA,NA,NA
Americas,1984,16898,0,0,0,16898,NA,NA,NA,NA,NA
Americas,1985,13168,0,0,0,13168,NA,NA,NA,NA,NA
Americas,1986,11638,0,0,0,11638,NA,NA,NA,NA,NA
Americas,1987,11419,0,0,0,11419,NA,NA,NA,NA,NA
Americas,1988,6798,0,0,0,6798,NA,NA,NA,NA,NA
Americas,1989,7872,0,0,843,8715,NA,NA,NA,NA,NA
Americas,1990,2610,0,0,0,2610,NA,NA,NA,NA,NA
Americas,1991,2183,0,0,0,2183,NA,NA,NA,NA,NA
Americas,1992,2726,0,0,0,2726,NA,NA,NA,NA,NA
Americas,1993,912,0,0,0,912,NA,NA,NA,NA,NA
Americas,1994,1558,0,0,0,1558,NA,NA,NA,NA,NA
Americas,1995,1028,0,0,99,1127,NA,NA,NA,NA,NA
Americas,1996,1309,0,0,0,1309,NA,NA,NA,NA,NA
Americas,1997,653,0,0,0,653,NA,NA,NA,NA,NA
Americas,1998,964,0,0,0,964,NA,NA,NA,NA,NA
Americas,1999,1449,0,0,0,1449,NA,NA,NA,NA,NA
Americas,2000,1078,0,0,0,1078,NA,NA,NA,NA,NA
Americas,2001,1864,0,1583,465.666666666667,3912.66666666667,NA,NA,NA,NA,NA
Americas,2002,2263,0,878,0,3141,NA,NA,NA,NA,NA
Americas,2003,730,0,65,1981.75,2776.75,NA,NA,NA,NA,NA
Americas,2004,1441,0,378,0,1819,NA,NA,NA,NA,NA
Americas,2005,1389,0,108,0,1497,NA,NA,NA,NA,NA
Americas,2006,502,0,246,0,748,NA,NA,NA,NA,NA
Americas,2007,348,0,174,0,522,NA,NA,NA,NA,NA
Americas,2008,284,0,290,0,574,NA,NA,NA,NA,NA
Americas,2009,427,0,450,0,877,NA,NA,NA,NA,NA
Americas,2010,447,0,313,0,760,NA,NA,NA,NA,NA
Americas,2011,202,0,203,0,405,NA,NA,NA,NA,NA
Americas,2012,211,0,225,0,436,NA,NA,NA,NA,NA
Americas,2013,140,0,38,0,178,NA,NA,NA,NA,NA
Americas,2014,119,0,131,0,250,NA,NA,NA,NA,NA
Americas,2015,134,0,65,0,199,NA,NA,NA,NA,NA
Americas,2016,30,0,117,0,147,NA,NA,NA,NA,NA
Americas,2017,0,0,111,0,111,NA,NA,NA,NA,NA
Americas,2018,147,0,0,0,147,NA,NA,NA,NA,NA
Americas,2019,134,0,37,0,171,NA,NA,NA,NA,NA
Americas,2020,33,0,0,0,33,NA,NA,NA,NA,NA
Asia & Oceania,1946,201077,45798.5,0,188.5,247064,NA,NA,NA,NA,NA
Asia & Oceania,1947,307576.5,45508,0,0,353084.5,NA,NA,NA,NA,NA
Asia & Oceania,1948,363838,44959,0,9860,418657,NA,NA,NA,NA,NA
Asia & Oceania,1949,361362.5,45303,0,18012,424677.5,NA,NA,NA,NA,NA
Asia & Oceania,1950,21112.5,44658,0,529512.5,595283,NA,NA,NA,NA,NA
Asia & Oceania,1951,11263,45087,0,348250,404600,NA,NA,NA,NA,NA
Asia & Oceania,1952,5251.5,44732,0,99500,149483.5,NA,NA,NA,NA,NA
Asia & Oceania,1953,6013,44107,0,49750,99870,NA,NA,NA,NA,NA
Asia & Oceania,1954,4765,42854,0,1000,48619,NA,NA,NA,NA,NA
Asia & Oceania,1955,9487,561,0,0,10048,NA,NA,NA,NA,NA
Asia & Oceania,1956,12767.5,384,0,0,13151.5,NA,NA,NA,NA,NA
Asia & Oceania,1957,9279.5,273,0,0,9552.5,NA,NA,NA,NA,NA
Asia & Oceania,1958,22079.5,0,166,1800.5,24046,NA,NA,NA,NA,NA
Asia & Oceania,1959,29039.5,0,25,0,29064.5,NA,NA,NA,NA,NA
Asia & Oceania,1960,15220.5,0,1346.5,0,16567,NA,NA,NA,NA,NA
Asia & Oceania,1961,20829,0,1333.5,0,22162.5,NA,NA,NA,NA,NA
Asia & Oceania,1962,6325,45,21912,17155,45437,NA,NA,NA,NA,NA
Asia & Oceania,1963,6722.5,0,57400,185,64307.5,NA,NA,NA,NA,NA
Asia & Oceania,1964,11197,0,47580,437,59214,NA,NA,NA,NA,NA
Asia & Oceania,1965,12460.5,0,2272.5,75612,90345,NA,NA,NA,NA,NA
Asia & Oceania,1966,11752,0,2272.5,78320.5,92345,NA,NA,NA,NA,NA
Asia & Oceania,1967,13446.5,0,2273,87515.5,103235,NA,NA,NA,NA,NA
Asia & Oceania,1968,18474,0,2273,184625,205372,NA,NA,NA,NA,NA
Asia & Oceania,1969,18808,0,2273,143112,164193,NA,NA,NA,NA,NA
Asia & Oceania,1970,56882,0,2273,146312,205467,NA,NA,NA,NA,NA
Asia & Oceania,1971,165223.5,0,39693,150835,355751.5,NA,NA,NA,NA,NA
Asia & Oceania,1972,14392.5,0,39693,240487,294572.5,NA,NA,NA,NA,NA
Asia & Oceania,1973,14392.5,0,39693,154509,208594.5,NA,NA,NA,NA,NA
Asia & Oceania,1974,16650,0,37420,187740,241810,NA,NA,NA,NA,NA
Asia & Oceania,1975,22127,0,60000,30794.5,112921.5,NA,NA,NA,NA,NA
Asia & Oceania,1976,23087.5,0,0,1416.5,24504,NA,NA,NA,NA,NA
Asia & Oceania,1977,23088,0,0,1696,24784,NA,NA,NA,NA,NA
Asia & Oceania,1978,36715.5,0,32500,335,69550.5,NA,NA,NA,NA,NA
Asia & Oceania,1979,43629.5,0,32500,45109,121238.5,NA,NA,NA,NA,NA
Asia & Oceania,1980,14680.5,0,41971,200,56851.5,NA,NA,NA,NA,NA
Asia & Oceania,1981,14093,0,36971,358,51422,NA,NA,NA,NA,NA
Asia & Oceania,1982,14175.5,0,41971,0,56146.5,NA,NA,NA,NA,NA
Asia & Oceania,1983,13767.5,0,61971,126,75864.5,NA,NA,NA,NA,NA
Asia & Oceania,1984,16813.5,0,86972,562.5,104348,NA,NA,NA,NA,NA
Asia & Oceania,1985,15344,0,71972,0,87316,NA,NA,NA,NA,NA
Asia & Oceania,1986,15908,0,66972,624.5,83504.5,NA,NA,NA,NA,NA
Asia & Oceania,1987,16939,0,46000,2649,65588,NA,NA,NA,NA,NA
Asia & Oceania,1988,21779.5,0,30200,400,52379.5,NA,NA,NA,NA,NA
Asia & Oceania,1989,3697,0,5992,25,9714,NA,NA,NA,NA,NA
Asia & Oceania,1990,10027,0,0,28,10055,NA,NA,NA,NA,NA
Asia & Oceania,1991,15409,0,0,99,15508,NA,NA,NA,NA,NA
Asia & Oceania,1992,13659,0,3355,25,17039,NA,NA,NA,NA,NA
Asia & Oceania,1993,7990,0,1395,0,9385,NA,NA,NA,NA,NA
Asia & Oceania,1994,12244,0,356,42,12642,NA,NA,NA,NA,NA
Asia & Oceania,1995,12351,0,368,0,12719,NA,NA,NA,NA,NA
Asia & Oceania,1996,9209,0,2790,35,12034,NA,NA,NA,NA,NA
Asia & Oceania,1997,11366,0,0,127,11493,NA,NA,NA,NA,NA
Asia & Oceania,1998,12084,0,0,147,12231,NA,NA,NA,NA,NA
Asia & Oceania,1999,8310,0,0,934,9244,NA,NA,NA,NA,NA
Asia & Oceania,2000,12940,0,471,198,13609,NA,NA,NA,NA,NA
Asia & Oceania,2001,3944,0,2328,511.666666666667,6783.66666666667,NA,NA,NA,NA,NA
Asia & Oceania,2002,7184,0,0,212,7396,NA,NA,NA,NA,NA
Asia & Oceania,2003,4784,0,660,2218.75,7662.75,NA,NA,NA,NA,NA
Asia & Oceania,2004,4799,0,711,0,5510,NA,NA,NA,NA,NA
Asia & Oceania,2005,3666,0,1628,0,5294,NA,NA,NA,NA,NA
Asia & Oceania,2006,4913,0,4694,0,9607,NA,NA,NA,NA,NA
Asia & Oceania,2007,5232,0,6843,0,12075,NA,NA,NA,NA,NA
Asia & Oceania,2008,13244,0,5655,0,18899,NA,NA,NA,NA,NA
Asia & Oceania,2009,18886,0,6381,0,25267,NA,NA,NA,NA,NA
Asia & Oceania,2010,7264,0,7029,0,14293,NA,NA,NA,NA,NA
Asia & Oceania,2011,4313,0,7423,29,11765,NA,NA,NA,NA,NA
Asia & Oceania,2012,4335,0,7730,0,12065,NA,NA,NA,NA,NA
Asia & Oceania,2013,3214,0,8048,31,11293,NA,NA,NA,NA,NA
Asia & Oceania,2014,4204,0,12345,49,16598,NA,NA,NA,NA,NA
Asia & Oceania,2015,1842,0,19209,63,21114,NA,NA,NA,NA,NA
Asia & Oceania,2016,1517,0,18435,100,20052,NA,NA,NA,NA,NA
Asia & Oceania,2017,2830,0,19558,151,22539,NA,NA,NA,NA,NA
Asia & Oceania,2018,1353,0,25826,129,27308,NA,NA,NA,NA,NA
Asia & Oceania,2019,1619,0,29903,164,31686,NA,NA,NA,NA,NA
Asia & Oceania,2020,1326,0,20473,187,21986,NA,NA,NA,NA,NA
Europe,1946,51380,0,0,41,51421,NA,NA,NA,NA,NA
Europe,1947,48684,0,0,0,48684,NA,NA,NA,NA,NA
Europe,1948,42849,0,0,0,42849,NA,NA,NA,NA,NA
Europe,1949,39012,0,0,0,39012,NA,NA,NA,NA,NA
Europe,1950,512,0,0,0,512,NA,NA,NA,NA,NA
Europe,1951,0,0,0,0,0,NA,NA,NA,NA,NA
Europe,1952,0,0,0,0,0,NA,NA,NA,NA,NA
Europe,1953,0,0,0,0,0,NA,NA,NA,NA,NA
Europe,1954,0,0,0,0,0,NA,NA,NA,NA,NA
Europe,1955,0,96,0,0,96,NA,NA,NA,NA,NA
Europe,1956,0,96,0,3171,3267,NA,NA,NA,NA,NA
Europe,1957,0,96.5,0,0,96.5,NA,NA,NA,NA,NA
Europe,1958,0,97,0,0,97,NA,NA,NA,NA,NA
Europe,1959,0,97,0,0,97,NA,NA,NA,NA,NA
Europe,1960,0,0,0,0,0,NA,NA,NA,NA,NA
Europe,1961,1180,0,0,0,1180,NA,NA,NA,NA,NA
Europe,1962,1180,0,0,0,1180,NA,NA,NA,NA,NA
Europe,1963,0,0,0,0,0,NA,NA,NA,NA,NA
Europe,1964,0,0,0,0,0,NA,NA,NA,NA,NA
Europe,1965,0,0,0,0,0,NA,NA,NA,NA,NA
Europe,1966,0,0,0,0,0,NA,NA,NA,NA,NA
Europe,1967,0,0,0,0,0,NA,NA,NA,NA,NA
Europe,1968,0,0,0,0,0,NA,NA,NA,NA,NA
Europe,1969,0,0,0,0,0,NA,NA,NA,NA,NA
Europe,1970,0,0,0,0,0,NA,NA,NA,NA,NA
Europe,1971,171,0,0,0,171,NA,NA,NA,NA,NA
Europe,1972,479,0,0,0,479,NA,NA,NA,NA,NA
Europe,1973,253,0,0,0,253,NA,NA,NA,NA,NA
Europe,1974,294,0,0,0,294,NA,NA,NA,NA,NA
Europe,1975,260,0,0,0,260,NA,NA,NA,NA,NA
Europe,1976,295,0,0,0,295,NA,NA,NA,NA,NA
Europe,1977,111,0,0,0,111,NA,NA,NA,NA,NA
Europe,1978,81,0,0,0,81,NA,NA,NA,NA,NA
Europe,1979,121,0,0,0,121,NA,NA,NA,NA,NA
Europe,1980,171,0,0,0,171,NA,NA,NA,NA,NA
Europe,1981,143,0,0,0,143,NA,NA,NA,NA,NA
Europe,1982,110,0,0,964,1074,NA,NA,NA,NA,NA
Europe,1983,85,0,0,0,85,NA,NA,NA,NA,NA
Europe,1984,69,0,0,0,69,NA,NA,NA,NA,NA
Europe,1985,57,0,0,0,57,NA,NA,NA,NA,NA
Europe,1986,61,0,0,0,61,NA,NA,NA,NA,NA
Europe,1987,150,0,0,0,150,NA,NA,NA,NA,NA
Europe,1988,104,0,0,0,104,NA,NA,NA,NA,NA
Europe,1989,287,0,0,0,287,NA,NA,NA,NA,NA
Europe,1990,236,0,0,0,236,NA,NA,NA,NA,NA
Europe,1991,3364,0,35,0,3399,NA,NA,NA,NA,NA
Europe,1992,1509,0,18828,0,20337,NA,NA,NA,NA,NA
Europe,1993,2101,0,6839,0,8940,NA,NA,NA,NA,NA
Europe,1994,4564,0,0,0,4564,NA,NA,NA,NA,NA
Europe,1995,3969,0,0,0,3969,NA,NA,NA,NA,NA
Europe,1996,2721,0,0,0,2721,NA,NA,NA,NA,NA
Europe,1997,0,0,29,0,29,NA,NA,NA,NA,NA
Europe,1998,1264,0,34,0,1298,NA,NA,NA,NA,NA
Europe,1999,5854,0,1404,0,7258,NA,NA,NA,NA,NA
Europe,2000,2907,0,0,0,2907,NA,NA,NA,NA,NA
Europe,2001,863,0,0,465.666666666667,1328.66666666667,NA,NA,NA,NA,NA
Europe,2002,1289,0,0,0,1289,NA,NA,NA,NA,NA
Europe,2003,480,0,0,1981.75,2461.75,NA,NA,NA,NA,NA
Europe,2004,1178,0,0,0,1178,NA,NA,NA,NA,NA
Europe,2005,682,0,25,0,707,NA,NA,NA,NA,NA
Europe,2006,259,0,0,0,259,NA,NA,NA,NA,NA
Europe,2007,176,0,0,0,176,NA,NA,NA,NA,NA
Europe,2008,404,0,651,0,1055,NA,NA,NA,NA,NA
Europe,2009,696,0,0,0,696,NA,NA,NA,NA,NA
Europe,2010,418,0,0,0,418,NA,NA,NA,NA,NA
Europe,2011,359,0,0,0,359,NA,NA,NA,NA,NA
Europe,2012,516,0,25,0,541,NA,NA,NA,NA,NA
Europe,2013,321,0,0,0,321,NA,NA,NA,NA,NA
Europe,2014,261,0,4337,0,4598,NA,NA,NA,NA,NA
Europe,2015,85,0,1386,0,1471,NA,NA,NA,NA,NA
Europe,2016,69,0,393,0,462,NA,NA,NA,NA,NA
Europe,2017,53,0,445,0,498,NA,NA,NA,NA,NA
Europe,2018,30,0,243,0,273,NA,NA,NA,NA,NA
Europe,2019,26,0,234,0,260,NA,NA,NA,NA,NA
Europe,2020,30,0,7828,0,7858,NA,NA,NA,NA,NA
Middle East,1946,0,92,45,0,137,NA,NA,NA,NA,NA
Middle East,1947,0,0,0,0,0,NA,NA,NA,NA,NA
Middle East,1948,4000,0,0,19792,23792,NA,NA,NA,NA,NA
Middle East,1949,256,0,0,1319,1575,NA,NA,NA,NA,NA
Middle East,1950,256,0,0,0,256,NA,NA,NA,NA,NA
Middle East,1951,256,0,0,94,350,NA,NA,NA,NA,NA
Middle East,1952,256,0,0,89,345,NA,NA,NA,NA,NA
Middle East,1953,256,0,0,0,256,NA,NA,NA,NA,NA
Middle East,1954,256,0,0,0,256,NA,NA,NA,NA,NA
Middle East,1955,256,0,0,0,256,NA,NA,NA,NA,NA
Middle East,1956,256,0,0,2142,2398,NA,NA,NA,NA,NA
Middle East,1957,256,0,42.5,0,298.5,NA,NA,NA,NA,NA
Middle East,1958,2168,0,0,0,2168,NA,NA,NA,NA,NA
Middle East,1959,2256,0,0,0,2256,NA,NA,NA,NA,NA
Middle East,1960,256,0,0,0,256,NA,NA,NA,NA,NA
Middle East,1961,5839,0,0,0,5839,NA,NA,NA,NA,NA
Middle East,1962,5839.5,0,6211,0,12050.5,NA,NA,NA,NA,NA
Middle East,1963,6189.5,0,6211.5,0,12401,NA,NA,NA,NA,NA
Middle East,1964,3054,25,6211.5,0,9290.5,NA,NA,NA,NA,NA
Middle East,1965,3541.5,100,6110.5,0,9752,NA,NA,NA,NA,NA
Middle East,1966,4253.5,175,6211.5,0,10640,NA,NA,NA,NA,NA
Middle East,1967,3566,271,6211.5,5413,15461.5,NA,NA,NA,NA,NA
Middle East,1968,3566.5,0,6110.5,0,9677,NA,NA,NA,NA,NA
Middle East,1969,3542,0,6111,2930,12583,NA,NA,NA,NA,NA
Middle East,1970,3054.5,0,6111,2590,11755.5,NA,NA,NA,NA,NA
Middle East,1971,256,0,0,0,256,NA,NA,NA,NA,NA
Middle East,1972,257,0,239,200,696,NA,NA,NA,NA,NA
Middle East,1973,769,0,240,11084,12093,NA,NA,NA,NA,NA
Middle East,1974,8819.5,0,240,6641,15700.5,NA,NA,NA,NA,NA
Middle East,1975,18319.5,0,240,0,18559.5,NA,NA,NA,NA,NA
Middle East,1976,62769,0,0,0,62769,NA,NA,NA,NA,NA
Middle East,1977,769,0,0,0,769,NA,NA,NA,NA,NA
Middle East,1978,769,0,0,512,1281,NA,NA,NA,NA,NA
Middle East,1979,4522,0,0,325,4847,NA,NA,NA,NA,NA
Middle East,1980,8028.5,0,0,35600,43628.5,NA,NA,NA,NA,NA
Middle East,1981,7479,0,0,95550,103029,NA,NA,NA,NA,NA
Middle East,1982,59268,0,0,95550,154818,NA,NA,NA,NA,NA
Middle East,1983,9379,0,6000,95550,110929,NA,NA,NA,NA,NA
Middle East,1984,9487,0,6000,64450,79937,NA,NA,NA,NA,NA
Middle East,1985,11378,0,0,64450,75828,NA,NA,NA,NA,NA
Middle East,1986,23640.5,0,0,64450,88090.5,NA,NA,NA,NA,NA
Middle East,1987,6176.5,0,0,64450,70626.5,NA,NA,NA,NA,NA
Middle East,1988,104020,0,0,64450,168470,NA,NA,NA,NA,NA
Middle East,1989,331,0,711,0,1042,NA,NA,NA,NA,NA
Middle East,1990,441,0,700,1058,2199,NA,NA,NA,NA,NA
Middle East,1991,1929,0,0,21790,23719,NA,NA,NA,NA,NA
Middle East,1992,2010,0,0,0,2010,NA,NA,NA,NA,NA
Middle East,1993,2652,0,0,0,2652,NA,NA,NA,NA,NA
Middle East,1994,5774,0,0,0,5774,NA,NA,NA,NA,NA
Middle East,1995,3991,0,0,0,3991,NA,NA,NA,NA,NA
Middle East,1996,4135,0,0,0,4135,NA,NA,NA,NA,NA
Middle East,1997,4478,0,0,0,4478,NA,NA,NA,NA,NA
Middle East,1998,2033,0,0,0,2033,NA,NA,NA,NA,NA
Middle East,1999,1459,0,0,0,1459,NA,NA,NA,NA,NA
Middle East,2000,291,0,0,0,291,NA,NA,NA,NA,NA
Middle East,2001,493,0,0,0,493,NA,NA,NA,NA,NA
Middle East,2002,662,0,0,0,662,NA,NA,NA,NA,NA
Middle East,2003,388,0,0,1981.75,2369.75,NA,NA,NA,NA,NA
Middle East,2004,562,0,4094,0,4656,NA,NA,NA,NA,NA
Middle East,2005,507,0,2608,0,3115,NA,NA,NA,NA,NA
Middle East,2006,1402,0,3923,0,5325,NA,NA,NA,NA,NA
Middle East,2007,820,0,2212,0,3032,NA,NA,NA,NA,NA
Middle East,2008,1299,0,2112,0,3411,NA,NA,NA,NA,NA
Middle East,2009,962,0,1130,0,2092,NA,NA,NA,NA,NA
Middle East,2010,428,0,1164,0,1592,NA,NA,NA,NA,NA
Middle East,2011,2066,0,2004,0,4070,NA,NA,NA,NA,NA
Middle East,2012,52171,0,2330,0,54501,NA,NA,NA,NA,NA
Middle East,2013,73254,0,582,0,73836,NA,NA,NA,NA,NA
Middle East,2014,67238,0,13887,0,81125,NA,NA,NA,NA,NA
Middle East,2015,2286,0,67110,0,69396,NA,NA,NA,NA,NA
Middle East,2016,3138,0,53637,0,56775,NA,NA,NA,NA,NA
Middle East,2017,2102,0,33245,0,35347,NA,NA,NA,NA,NA
Middle East,2018,1764,0,18503,111,20378,NA,NA,NA,NA,NA
Middle East,2019,1061,0,9591,138,10790,NA,NA,NA,NA,NA
Middle East,2020,756,0,7589,461,8806,NA,NA,NA,NA,NA
World,1946,253457,45890.5,45,229.5,299622,1.88458250740081,0.0094248632167548,10.4087039491461,0.00184801239544212,12.3045593321591
World,1947,360260.5,55074,0,0,415334.5,2.24421236573067,0,14.6802678030344,0,16.924480168765
