Entity,Year,Gini - SEDLARC (for IARC paper)
Ecuador,2011,0.438
Ecuador,2012,0.442
ElSalvador,2004,0.451
ElSalvador,2005,0.457
ElSalvador,2006,0.433
ElSalvador,2007,0.431
ElSalvador,2008,0.446
ElSalvador,2009,0.439
ElSalvador,2010,0.424
ElSalvador,2011,0.401
ElSalvador,2012,0.396
Guatemala,2000,0.523
Guatemala,2006,0.522
Guatemala,2011,0.503
Guyana,1993,0.499
Haiti,2001,0.585
Honduras,2001,0.518
Honduras,2002,0.558
Honduras,2003,0.564
Honduras,2004,0.566
Honduras,2005,0.576
Honduras,2006,0.554
Honduras,2007,0.541
Honduras,2008,0.538
Honduras,2009,0.497
Honduras,2010,0.516
Honduras,2011,0.557
Jamaica,1990,0.565
Jamaica,1996,0.663
Jamaica,1999,0.533
Jamaica,2001,0.607
Jamaica,2002,0.58
Mexico,1989,0.492
Mexico,1992,0.513
Mexico,1994,0.518
Mexico,1996,0.521
Mexico,1998,0.51
Mexico,2000,0.516
Mexico,2002,0.49
Mexico,2004,0.485
Mexico,2005,0.489
Mexico,2006,0.472
Mexico,2008,0.48
Mexico,2010,0.449
Mexico,2012,0.467
Nicaragua,1993,0.544
Nicaragua,1998,0.518
Nicaragua,2001,0.558
Nicaragua,2005,0.488
Nicaragua,2009,0.436
Panama,1989,0.533
Panama,1991,0.538
Panama,1995,0.532
Panama,1997,0.548
Panama,1998,0.532
Panama,1999,0.522
Panama,2000,0.534
Panama,2001,0.544
Panama,2002,0.543
Panama,2003,0.542
Panama,2004,0.528
Panama,2005,0.516
Panama,2006,0.528
Panama,2007,0.503
Panama,2008,0.502
Panama,2009,0.496
Paraguay,1995,0.561
Paraguay,1997,0.529
Paraguay,1999,0.522
Paraguay,2001,0.523
Paraguay,2002,0.556
Paraguay,2003,0.533
Paraguay,2004,0.502
Paraguay,2005,0.494
Paraguay,2006,0.513
Paraguay,2007,0.5
Paraguay,2008,0.486
Paraguay,2009,0.477
Paraguay,2010,0.498
Paraguay,2011,0.51
Peru,1997,0.514
Peru,1998,0.538
Peru,1999,0.543
Peru,2000,0.487
Peru,2001,0.499
Peru,2002,0.52
Peru,2003,0.517
Peru,2004,0.467
Peru,2005,0.472
Peru,2006,0.468
Peru,2007,0.477
Peru,2008,0.449
Peru,2009,0.443
Peru,2010,0.431
Peru,2011,0.437
Peru,2012,0.435
Suriname,1999,0.619
Uruguay,2006,0.45
Uruguay,2007,0.453
Uruguay,2008,0.442
Uruguay,2009,0.441
Uruguay,2010,0.43
Uruguay,2011,0.411
Uruguay,2012,0.389
Venezuela,1989,0.398
Venezuela,1992,0.387
Venezuela,1995,0.44
Venezuela,1997,0.457
Venezuela,1998,0.448
Venezuela,1999,0.446
Venezuela,2000,0.417
Venezuela,2001,0.441
Venezuela,2002,0.451
Venezuela,2003,0.437
Venezuela,2004,0.429
Venezuela,2005,0.453
Venezuela,2006,0.409
