Entity,Year,Share of Buddhists ,Share of Christians ,Share of followers of folk religions,Share of Hindus,Share of Jews ,Share of Muslims,Share of followers of other religions ,Share of unaffiliated ,Main religion 
Mozambique,2010,1,56.7,7.4,1,1,18,1,17.9,Christianity
Myanmar,2010,80.1,7.8,5.8,1.7,1,4,1,1,Buddhism
Namibia,2010,1,97.5,1,1,1,1,1,1.9,Christianity
Nauru,2010,1.1,79,8.1,1,1,1,7.4,4.5,Christianity
Nepal,2010,10.3,1,3.7,80.7,1,4.6,1,1,Hinduism
Netherlands,2010,1,50.6,1,1,1,6,1,42.1,Christianity
New Caledonia,2010,1,85.2,1,1,1,2.8,1,10.4,Christianity
New Zealand,2010,1.6,57,1,2.1,1,1.2,1,36.6,Christianity
Nicaragua,2010,1,85.8,1.4,1,1,1,1,12.5,Christianity
Niger,2010,1,1,1,1,1,98.4,1,1,Islam
Nigeria,2010,1,49.3,1.4,1,1,48.8,1,1,Christianity
Niue,2010,1,96.4,1,1,1,1,1,3.3,Christianity
North America,2010,1.1,77.4,1,1,1.8,1,1,17.1,Christianity
North Korea,2010,1.5,2,12.3,1,1,1,12.9,71.3,Unaffiliated Religions
Northern Mariana Islands,2010,10.6,81.3,5.3,1,1,1,1.1,1,Christianity
Norway,2010,1,84.7,1,1,1,3.7,1,10.1,Christianity
Oman,2010,1,6.5,1,5.5,1,85.9,1,1,Islam
Pakistan,2010,1,1.6,1,1.9,1,96.4,1,1,Islam
Palau,2010,1,86.7,1,1,1,1,10.4,1.2,Christianity
Palestine,2010,1,2.4,1,1,1,97.6,1,1,Islam
Panama,2010,1,93,1,1,1,1,1,4.8,Christianity
Papua New Guinea,2010,1,99,1,1,1,1,1,1,Christianity
Paraguay,2010,1,96.9,1.7,1,1,1,1,1.1,Christianity
Peru,2010,1,95.5,1,1,1,1,1,3,Christianity
Philippines,2010,1,92.6,1.5,1,1,5.5,1,1,Christianity
Poland,2010,1,94.3,1,1,1,1,1,5.6,Christianity
Portugal,2010,1,91.9,1,1,1,1,1,7.5,Christianity
Puerto Rico,2010,1,96.7,1,1,1,1,1,1.9,Christianity
Qatar,2010,3.1,13.8,1,13.8,1,67.7,1,1,Islam
Reunion,2010,1,87.6,1,4.5,1,4.2,1.1,2,Christianity
Romania,2010,1,99,1,1,1,1,1,1,Christianity
Russia,2010,1,73.3,1,1,1,10,1,16.2,Christianity
Rwanda,2010,1,93.4,1,1,1,1.8,1,3.6,Christianity
Saint Helena,2010,1,96.5,1,1,1,1,1,3.3,Christianity
Saint Kitts and Nevis,2010,1,94.6,1.3,1.5,1,1,1,1.6,Christianity
Saint Lucia,2010,1,91.1,1,1,1,1,2,6,Christianity
Saint Pierre and Miquelon,2010,1,94.7,1,1,1,1,1.3,3.8,Christianity
Saint Vincent and the Grenadines,2010,1,88.7,2,3.4,1,1.5,2,2.5,Christianity
Samoa,2010,1,96.8,1,1,1,1,1,2.5,Christianity
San Marino,2010,1,91.6,1,1,1,1,1,7.2,Christianity
Sao Tome and Principe,2010,1,82.2,2.9,1,1,1,2.4,12.6,Christianity
Saudi Arabia,2010,1,4.4,1,1.1,1,93,1,1,Islam
Senegal,2010,1,3.6,1,1,1,96.4,1,1,Islam
Serbia,2010,1,92.6,1,1,1,4.1,1,3.3,Christianity
Seychelles,2010,1,94,1,2.1,1,1.1,1,2.1,Christianity
Sierra Leone,2010,1,20.9,1,1,1,78,1,1,Islam
Singapore,2010,33.9,18.2,2.3,5.2,1,14.3,9.7,16.4,Buddhism
Sint Maarten (Dutch part),2010,1,93.9,1.2,1,1,1,1,3.3,Christianity
Slovakia,2010,1,85.3,1,1,1,1,1,14.3,Christianity
Slovenia,2010,1,78.4,1,1,1,3.6,1,18,Christianity
Solomon Islands,2010,1,97.4,1.3,1,1,1,1,1,Christianity
Somalia,2010,1,1,1,1,1,99,1,1,Islam
South Africa,2010,1,81.2,1,1.1,1,1.7,1,14.9,Christianity
South Korea,2010,22.9,29.4,1,1,1,1,1,46.4,Unaffiliated Religions
South Sudan,2010,1,60.5,32.9,1,1,6.2,1,1,Christianity
Spain,2010,1,78.6,1,1,1,2.1,1,19,Christianity
Sri Lanka,2010,69.3,7.3,1,13.6,1,9.8,1,1,Buddhism
Sub-Saharan Africa,2010,1,62.9,3.3,1,1,30.2,1,3.2,Christianity
Sudan,2010,1,5.4,2.8,1,1,90.7,1,1,Islam
Suriname,2010,1,51.6,5.3,19.8,1,15.2,1.8,5.4,Christianity
Swaziland,2010,1,88.1,1,1,1,1,1,10.1,Christianity
Sweden,2010,1,67.2,1,1,1,4.6,1,27,Christianity
Switzerland,2010,1,72.7,1,1,1,4.9,1,20.9,Christianity
Syria,2010,1,5.2,1,1,1,92.8,1,2,Islam
Taiwan,2010,21.3,5.5,44.2,1,1,1,16.2,12.7,Folk Religions
Tajikistan,2010,1,1.6,1,1,1,96.7,1,1.5,Islam
Tanzania,2010,1,61.4,1.8,1,1,35.2,1,1.4,Christianity
Thailand,2010,93.2,1,1,1,1,5.5,1,1,Buddhism
Timor,2010,1,99,1,1,1,1,1,1,Christianity
Togo,2010,1,43.7,35.6,1,1,14,1,6.2,Christianity
Tokelau,2010,1,99,1,1,1,1,1,1,Christianity
Tonga,2010,1,98.9,1,1,1,1,1,1,Christianity
Trinidad and Tobago,2010,1,65.9,1.9,22.7,1,5.9,1.4,1.9,Christianity
Tunisia,2010,1,1,1,1,1,99,1,1,Islam
Turkey,2010,1,1,1,1,1,98,1,1.2,Islam
Turkmenistan,2010,1,6.4,1,1,1,93,1,1,Islam
Turks and Caicos Islands,2010,1,92.1,2.7,1,1,1,1,4.6,Christianity
Tuvalu,2010,1,96.7,1,1,1,1,1.9,1.3,Christianity
Uganda,2010,1,86.7,1,1,1,11.5,1,1,Christianity
Ukraine,2010,1,83.8,1,1,1,1.2,1,14.7,Christianity
United Arab Emirates,2010,2,12.6,1,6.6,1,76.9,1,1.1,Islam
United Kingdom,2010,1,64.3,1,1.4,1,4.8,1,27.8,Christianity
United States,2010,1.2,78.3,1,1,1.8,1,1,16.4,Christianity
United States Virgin Islands,2010,1,94.8,1,1,1,1,1,3.7,Christianity
Uruguay,2010,1,57.9,1,1,1,1,1,40.7,Christianity
Uzbekistan,2010,1,2.3,1,1,1,96.7,1,1,Islam
Vanuatu,2010,1,93.3,4.1,1,1,1,1.4,1.2,Christianity
Vatican,2010,1,99,1,1,1,1,1,1,Christianity
Venezuela,2010,1,89.3,1,1,1,1,1,10,Christianity
Vietnam,2010,16.4,8.2,45.3,1,1,1,1,29.6,Folk Religions
Wallis and Futuna,2010,1,97.4,1.2,1,1,1,1,1,Christianity
Western Sahara,2010,1,1,1,1,1,99,1,1,Islam
World,2010,7.1,31.4,5.9,15,1,23.2,1,16.4,Christianity
Yemen,2010,1,1,1,1,1,99,1,1,Islam
Zambia,2010,1,97.6,1,1,1,1,1,1,Christianity
Zimbabwe,2010,1,87,3.8,1,1,1,1,7.9,Christianity
