Entity,Year,Percentage reporting homosexuality is never justified ,Percentage reporting that they do not want  homosexual neighbors
India,2012,82.649666,64.982834
Indonesia,2001,94.994995,54.799999
Indonesia,2006,89.367088,66.052765
Iran,2000,94.040283,0.90837282
Iran,2007,82.301559,92.420265
Iraq,2013,72.829857,80.333336
Israel,2001,37.987858,
Italy,2005,50.912994,21.73913
Japan,1981,53.943127,
Japan,1990,59.562843,68.54599
Japan,1995,42.371132,
Japan,2000,29.750002,
Japan,2005,24.180326,
Japan,2010,21.449999,
Jordan,2001,98.085648,98.37294
Jordan,2007,99.57592,95.108788
Jordan,2014,87.107719,62
Kazakhstan,2011,66.915443,73.637421
Kyrgyzstan,2003,80.542114,65.96357
Kyrgyzstan,2011,68.741631,77
Latvia,1996,54.991089,59.166664
Lebanon,2013,47.666664,58.499996
Libya,2014,78.581543,76.460861
Lithuania,1997,75.02726,76.511398
Macedonia,1998,80.511185,65.929642
Macedonia,2001,75.530365,53.499786
Malaysia,2006,42.964195,70.583328
Malaysia,2012,60.46154,58.692307
Mali,2007,63.030304,66.166885
Mexico,1981,72.454163,
Mexico,1990,54.521275,60.222076
Mexico,1996,54.489796,39.86755
Mexico,2000,53.067162,44.607616
Mexico,2005,34.392265,29.807693
Mexico,2012,39.918324,23.25
Moldova,1996,74.222221,77.439026
Moldova,2002,64.518265,77.40831
Moldova,2006,62.345676,70.363289
Montenegro,1996,67.57991,82.083336
Montenegro,2001,85.617104,73.679245
Morocco,2001,,92.970154
Morocco,2011,90.441841,85.5
Netherlands,2006,16.317272,4.4771171
Netherlands,2012,12.647554,6.8874865
New Zealand,1998,30.355427,22.314737
New Zealand,2004,22.370012,17.295597
New Zealand,2011,22.088354,14.744351
Nigeria,1990,72.004028,76.423576
Nigeria,1995,79.376556,89.542213
Nigeria,2000,77.596436,73.590508
Nigeria,2012,63.852711,70.488541
Norway,1996,27.231329,14.285715
Norway,2007,6.4000001,5.6585364
Pakistan,2001,96.350006,0
Pakistan,2012,73.379181,59.025978
Palestine,2013,80.78141,65.300003
Peru,1996,44.260868,53.839802
Peru,2001,56.745762,49.167221
Peru,2006,,41.947697
Peru,2012,32.056053,44.291794
Philippines,1996,28.595459,32.5
Philippines,2001,29.183779,23.64328
Philippines,2012,31.110424,27.936283
Poland,1989,78.626801,
Poland,1997,59.751774,66.00174
Poland,2005,52.756447,51.281895
Poland,2012,47.320786,39.593197
Puerto Rico,1995,59.509201,32.302406
Puerto Rico,2001,50.857143,21.944445
Qatar,2010,91.95092,83.413139
Romania,1998,67.004219,55.770786
Romania,2005,72.983116,59.065319
Romania,2012,70.834282,54.184299
Russia,1990,88.344231,80.520142
Russia,1995,79.513298,70.931374
Russia,2006,66.445724,65.976395
Russia,2011,60.190956,66.341255
Rwanda,2007,76.072388,62.57465
Rwanda,2012,63.130318,88.408646
Saudi Arabia,2003,84.852638,
Serbia,1996,64.864861,74.21875
Serbia,2001,74.706413,49.083336
Serbia,2006,36.405109,68.688522
Singapore,2002,55.001934,45.667683
Singapore,2012,30.359444,31.655338
Slovakia,1990,47.526882,69.313309
Slovakia,1998,17.775572,46.118721
Slovenia,1995,50.151054,60.675274
Slovenia,2005,25.878593,35.101254
Slovenia,2011,34.221313,35.453693
South Africa,1982,66.666672,
South Africa,1990,73.366028,
South Africa,1996,60.679688,50.494785
South Africa,2001,47.545223,46.169548
South Africa,2006,48.473309,45.908157
South Africa,2013,28.913588,37.902969
South Korea,1982,62.723213,
South Korea,1990,89.863235,4.1566749
South Korea,1996,66.773674,
South Korea,2001,52.710594,82.416664
South Korea,2005,47.642513,86.860359
South Korea,2010,42.485996,79.818306
Spain,1990,37.951527,26.345304
Spain,1995,23.818203,20.265375
Spain,2000,12.007803,14.814565
Spain,2007,10.43461,7.3752589
Spain,2011,8.1580048,5.1372643
Sweden,1981,37.824486,
Sweden,1996,12.234042,11.199207
Sweden,2006,4.2434583,3.5680692
Sweden,2011,7.8845396,4.1967664
Switzerland,1989,40.444912,
Switzerland,1996,17.302578,18.544724
Switzerland,2007,11.081554,10.771528
Taiwan,1994,65.354332,72.692307
Taiwan,2006,39.697071,55.368443
Taiwan,2012,25.17281,40.80164
Tanzania,2001,94.396553,74.12468
Thailand,2007,22.759974,33.72781
Thailand,2013,47.027378,39.812302
Trinidad and Tobago,2006,73.034218,65.652267
Trinidad and Tobago,2010,78.898132,47.347347
Tunisia,2013,96.59613,68.879669
Turkey,1990,84.300003,91.747574
Turkey,1996,,89.73922
Turkey,2001,,90.315315
Turkey,2007,73.221352,87.963234
Turkey,2012,78.946014,85.445305
Uganda,2001,90.983902,76.12159
Ukraine,1996,71.398834,65.172539
Ukraine,2006,57.168312,57.922058
Ukraine,2011,52.824276,61.69796
United Kingdom,1998,19.830843,21.678564
United Kingdom,2005,20.272047,16.841543
United States,1981,64.876648,
United States,1995,45.249672,29.469717
United States,1999,31.573895,23.311768
United States,2006,32.481079,25.08699
United States,2011,24.865978,20.382425
Uruguay,1996,46.144001,31.896538
Uruguay,2006,18.144331,16.200001
Uruguay,2011,19.213974,9.6000004
Uzbekistan,2011,77.291107,65
Venezuela,1996,70.978722,67.5
Venezuela,2000,61.648445,57.416664
Vietnam,2001,81.697906,38.600002
Vietnam,2006,71.3964,29.096991
Yemen,2014,87.920486,68.699997
Zambia,2007,58.551723,73.26667
Zimbabwe,2001,96.173996,66.522339
Zimbabwe,2012,72.914871,90.21183
