Entity,Year,Reported cases of measles (WHO (2015))
Bhutan,1988,382
Bhutan,1989,554
Bhutan,1990,173
Bhutan,1991,441
Bhutan,1992,103
Bhutan,1993,505
Bhutan,1994,683
Bhutan,1995,148
Bhutan,1996,9
Bhutan,1997,169
Bhutan,1998,66
Bhutan,1999,9920
Bhutan,2000,418
Bhutan,2001,756
Bhutan,2002,27
Bhutan,2003,0
Bhutan,2004,3
Bhutan,2005,11
Bhutan,2006,0
Bhutan,2007,11
Bhutan,2008,7
Bhutan,2009,6
Bhutan,2010,21
Bhutan,2011,10
Bhutan,2012,1
Bhutan,2013,0
Bhutan,2014,0
Bolivia,1980,4181
Bolivia,1981,7654
Bolivia,1982,720
Bolivia,1983,2034
Bolivia,1984,1270
Bolivia,1985,217
Bolivia,1986,346
Bolivia,1987,987
Bolivia,1988,1793
Bolivia,1989,669
Bolivia,1990,820
Bolivia,1991,2108
Bolivia,1992,4937
Bolivia,1993,3391
Bolivia,1994,1441
Bolivia,1995,76
Bolivia,1996,7
Bolivia,1997,7
Bolivia,1998,1004
Bolivia,1999,1441
Bolivia,2000,122
Bolivia,2001,0
Bolivia,2002,0
Bolivia,2003,0
Bolivia,2004,0
Bolivia,2005,0
Bolivia,2006,0
Bolivia,2007,0
Bolivia,2008,0
Bolivia,2009,0
Bolivia,2010,0
Bolivia,2011,0
Bolivia,2012,0
Bolivia,2013,0
Bolivia,2014,0
Bosnia and Herzegovina,1990,512
Bosnia and Herzegovina,1991,179
Bosnia and Herzegovina,1992,144
Bosnia and Herzegovina,1993,249
Bosnia and Herzegovina,1994,875
Bosnia and Herzegovina,1995,125
Bosnia and Herzegovina,1997,3937
Bosnia and Herzegovina,1998,2811
Bosnia and Herzegovina,1999,133
Bosnia and Herzegovina,2000,43
Bosnia and Herzegovina,2002,28
Bosnia and Herzegovina,2003,18
Bosnia and Herzegovina,2004,28
Bosnia and Herzegovina,2005,23
Bosnia and Herzegovina,2006,17
Bosnia and Herzegovina,2007,166
Bosnia and Herzegovina,2008,8
Bosnia and Herzegovina,2009,22
Bosnia and Herzegovina,2010,45
Bosnia and Herzegovina,2011,10
Bosnia and Herzegovina,2012,22
Bosnia and Herzegovina,2014,3000
Botswana,1980,4091
Botswana,1981,2157
Botswana,1982,1512
Botswana,1983,6542
Botswana,1984,9249
Botswana,1985,1684
Botswana,1986,1018
Botswana,1987,126
Botswana,1988,711
Botswana,1989,3771
Botswana,1990,1218
Botswana,1991,565
Botswana,1992,566
Botswana,1993,5327
Botswana,1994,2447
Botswana,1995,478
Botswana,1996,1030
Botswana,1997,5032
Botswana,1998,700
Botswana,1999,439
Botswana,2000,2672
Botswana,2001,1
Botswana,2002,7
Botswana,2003,59
Botswana,2004,1
Botswana,2005,5
Botswana,2006,6
Botswana,2007,1
Botswana,2008,0
Botswana,2009,184
Botswana,2010,853
Botswana,2011,8
Botswana,2012,7
Botswana,2013,1
Botswana,2014,1
Brazil,1980,99263
Brazil,1981,61281
Brazil,1982,39370
Brazil,1983,58259
Brazil,1984,80875
Brazil,1985,75993
Brazil,1986,129126
Brazil,1987,66059
Brazil,1988,26179
Brazil,1989,22853
Brazil,1990,61435
Brazil,1991,42537
Brazil,1992,7934
Brazil,1993,6037
Brazil,1994,35
Brazil,1995,793
Brazil,1996,580
Brazil,1997,52284
Brazil,1998,2781
Brazil,1999,908
Brazil,2000,36
Brazil,2001,1
Brazil,2002,1
Brazil,2003,2
Brazil,2004,0
Brazil,2005,6
Brazil,2006,57
Brazil,2007,0
Brazil,2008,0
Brazil,2009,0
Brazil,2010,68
Brazil,2011,43
Brazil,2012,2
Brazil,2013,220
Brazil,2014,733
Brunei,1980,485
Brunei,1981,775
Brunei,1982,243
Brunei,1983,558
Brunei,1984,541
Brunei,1985,617
Brunei,1986,440
Brunei,1987,63
Brunei,1988,28
Brunei,1989,39
Brunei,1990,12
Brunei,1992,51
Brunei,1993,50
Brunei,1997,13
Brunei,1998,12
Brunei,1999,23
Brunei,2000,42
Brunei,2001,11
Brunei,2003,24
Brunei,2004,16
Brunei,2005,9
Brunei,2008,3
Brunei,2009,2
Brunei,2010,0
Brunei,2011,4
Brunei,2012,1
Brunei,2014,1
Bulgaria,1980,10763
Bulgaria,1981,9239
Bulgaria,1982,281
Bulgaria,1983,326
Bulgaria,1984,292
Bulgaria,1985,972
Bulgaria,1986,1370
Bulgaria,1987,1560
Bulgaria,1988,404
Bulgaria,1989,111
Bulgaria,1990,147
Bulgaria,1991,2028
Bulgaria,1992,20258
Bulgaria,1993,354
Bulgaria,1994,121
Bulgaria,1995,172
Bulgaria,1996,695
Bulgaria,1997,23
Bulgaria,1998,80
Bulgaria,1999,24
Bulgaria,2000,46
Bulgaria,2001,8
Bulgaria,2002,0
Bulgaria,2003,0
Bulgaria,2004,0
Bulgaria,2005,3
Bulgaria,2006,1
Bulgaria,2007,1
Bulgaria,2008,1
Bulgaria,2009,2249
Bulgaria,2010,22004
Bulgaria,2011,157
Bulgaria,2012,1
Bulgaria,2013,14
Bulgaria,2014,0
Burkina Faso,1980,13713
Burkina Faso,1981,17327
Burkina Faso,1982,20940
Burkina Faso,1983,21395
Burkina Faso,1984,30094
Burkina Faso,1985,17461
Burkina Faso,1986,11722
Burkina Faso,1987,28282
Burkina Faso,1988,7782
Burkina Faso,1989,7474
Burkina Faso,1990,9804
Burkina Faso,1991,6590
Burkina Faso,1992,21751
Burkina Faso,1993,14445
Burkina Faso,1994,2925
Burkina Faso,1995,5669
Burkina Faso,1996,18534
Burkina Faso,1997,1438
Burkina Faso,1999,5516
Burkina Faso,2000,6074
Burkina Faso,2001,4174
Burkina Faso,2002,1744
Burkina Faso,2003,2946
Burkina Faso,2004,77
Burkina Faso,2005,253
Burkina Faso,2006,125
Burkina Faso,2007,12
Burkina Faso,2008,395
Burkina Faso,2009,54118
Burkina Faso,2010,2511
Burkina Faso,2011,860
Burkina Faso,2012,7362
Burkina Faso,2013,375
Burkina Faso,2014,343
Burundi,1980,49227
Burundi,1981,58970
Burundi,1982,42051
Burundi,1983,49302
Burundi,1984,28587
Burundi,1985,36740
Burundi,1986,39631
Burundi,1987,23297
Burundi,1988,33261
Burundi,1989,28014
Burundi,1990,13282
Burundi,1991,10397
Burundi,1992,22344
Burundi,1993,23869
Burundi,1994,7192
Burundi,1995,14782
Burundi,1996,16099
Burundi,1997,1273
Burundi,1998,1449
Burundi,1999,2928
Burundi,2000,18363
Burundi,2002,1016
Burundi,2003,224
Burundi,2004,2
Burundi,2005,0
Burundi,2006,784
Burundi,2007,43
Burundi,2008,173
Burundi,2009,305
Burundi,2010,495
Burundi,2011,129
Burundi,2012,49
Burundi,2013,0
Burundi,2014,0
Cambodia,1980,32240
Cambodia,1981,40774
Cambodia,1982,57605
Cambodia,1983,10368
Cambodia,1984,38329
Cambodia,1985,44557
Cambodia,1986,17219
Cambodia,1987,9281
Cambodia,1988,4934
Cambodia,1989,9256
Cambodia,1990,2473
Cambodia,1991,2186
Cambodia,1992,2759
Cambodia,1993,1262
Cambodia,1994,946
Cambodia,1995,2038
Cambodia,1996,2814
Cambodia,1997,3826
Cambodia,1998,1993
Cambodia,1999,13827
Cambodia,2000,12237
Cambodia,2001,3761
Cambodia,2002,1361
Cambodia,2003,653
Cambodia,2004,352
Cambodia,2005,264
Cambodia,2006,188
Cambodia,2007,394
Cambodia,2008,4211
Cambodia,2009,4779
Cambodia,2010,1156
Cambodia,2011,722
Cambodia,2012,15
Cambodia,2013,0
Cambodia,2014,0
Cameroon,1981,10546
Cameroon,1982,33876
Cameroon,1983,58904
Cameroon,1984,38580
Cameroon,1985,47178
Cameroon,1986,31936
Cameroon,1987,16654
Cameroon,1988,23207
Cameroon,1989,24314
Cameroon,1990,21150
Cameroon,1991,14622
Cameroon,1992,27442
Cameroon,1993,10892
Cameroon,1994,1548
Cameroon,1995,2463
Cameroon,1996,11770
Cameroon,1997,7504
Cameroon,1998,10731
Cameroon,1999,10894
Cameroon,2000,14629
Cameroon,2001,23934
Cameroon,2002,1448
Cameroon,2003,899
Cameroon,2004,358
Cameroon,2005,605
Cameroon,2006,196
Cameroon,2007,100
Cameroon,2008,495
Cameroon,2009,251
Cameroon,2010,240
Cameroon,2011,504
Cameroon,2012,609
Cameroon,2013,760
Cameroon,2014,831
Canada,1980,13864
Canada,1981,2307
Canada,1982,1064
Canada,1983,934
Canada,1984,4078
Canada,1985,2816
Canada,1986,14941
Canada,1987,2385
Canada,1988,609
Canada,1989,11145
Canada,1990,1033
Canada,1991,6178
Canada,1992,2742
Canada,1993,203
Canada,1994,523
Canada,1995,2361
Canada,1996,327
Canada,1997,579
Canada,1998,12
Canada,1999,29
Canada,2000,206
Canada,2001,34
Canada,2002,6
Canada,2003,15
Canada,2004,7
Canada,2005,6
Canada,2006,13
Canada,2007,101
Canada,2008,62
Canada,2009,14
Canada,2010,99
Canada,2011,759
Canada,2012,10
Canada,2013,82
Canada,2014,418
Cape Verde,1980,1279
Cape Verde,1981,150
Cape Verde,1982,1282
Cape Verde,1983,1385
Cape Verde,1984,49
Cape Verde,1985,3048
Cape Verde,1987,450
Cape Verde,1988,7
Cape Verde,1989,1
Cape Verde,1990,0
Cape Verde,1991,7
Cape Verde,1992,1
Cape Verde,1993,0
Cape Verde,1994,30
Cape Verde,1995,10
Cape Verde,1996,0
Cape Verde,1997,8584
Cape Verde,1998,289
Cape Verde,1999,1
Cape Verde,2000,2
Cape Verde,2001,0
Cape Verde,2002,0
Cape Verde,2003,0
Cape Verde,2004,0
Cape Verde,2005,0
Cape Verde,2006,0
Cape Verde,2007,0
Cape Verde,2008,0
Cape Verde,2009,0
Cape Verde,2010,0
Cape Verde,2011,0
Cape Verde,2012,0
Cape Verde,2013,0
Cape Verde,2014,0
Central African Republic,1980,8280
Central African Republic,1981,3820
Central African Republic,1982,2563
Central African Republic,1983,1564
Central African Republic,1984,6395
Central African Republic,1985,2446
Central African Republic,1986,1785
Central African Republic,1987,2148
Central African Republic,1988,1898
Central African Republic,1989,331
Central African Republic,1990,1275
Central African Republic,1991,3644
Central African Republic,1992,3022
Central African Republic,1993,1694
Central African Republic,1995,902
Central African Republic,1996,248
Central African Republic,1997,194
Central African Republic,1998,146
Central African Republic,1999,600
Central African Republic,2000,3207
Central African Republic,2001,2837
Central African Republic,2002,938
Central African Republic,2003,652
Central African Republic,2004,1233
Central African Republic,2005,471
Central African Republic,2006,3
Central African Republic,2007,49
Central African Republic,2008,12
Central African Republic,2009,11
Central African Republic,2010,2
Central African Republic,2011,679
Central African Republic,2012,141
Central African Republic,2013,596
Central African Republic,2014,210
Chad,1981,36
Chad,1982,1223
Chad,1983,5160
Chad,1984,6921
Chad,1985,6430
Chad,1986,3500
Chad,1987,3623
Chad,1988,3645
Chad,1989,7449
Chad,1990,7226
Chad,1991,21182
Chad,1992,19035
Chad,1993,20894
Chad,1994,9696
Chad,1995,21952
Chad,1996,24162
Chad,1997,10446
Chad,1998,12371
Chad,1999,6868
Chad,2000,3546
Chad,2001,24908
Chad,2002,7277
Chad,2003,15801
Chad,2004,10324
Chad,2005,2
Chad,2006,1594
Chad,2007,441
Chad,2008,63
Chad,2009,165
Chad,2010,194
Chad,2011,8650
Chad,2012,120
Chad,2013,226
Chad,2014,1275
Chile,1980,3844
Chile,1981,6527
Chile,1982,9438
Chile,1983,6752
Chile,1984,4785
Chile,1985,17101
Chile,1986,12563
Chile,1987,2623
Chile,1988,45079
Chile,1989,13008
Chile,1990,1958
Chile,1991,2098
Chile,1992,1
Chile,1993,1
Chile,1994,0
Chile,1995,0
Chile,1996,0
Chile,1997,58
Chile,1998,6
Chile,1999,31
Chile,2000,0
Chile,2001,0
Chile,2002,0
Chile,2003,1
Chile,2004,0
Chile,2005,0
Chile,2006,0
Chile,2007,0
Chile,2008,0
Chile,2009,1
Chile,2010,0
Chile,2011,6
Chile,2012,0
Chile,2013,0
Chile,2014,0
China,1980,1122285
China,1981,1010755
China,1982,892870
China,1983,781475
China,1984,619709
China,1985,418159
China,1986,198738
China,1987,104925
China,1988,96994
China,1989,85049
China,1990,85705
China,1991,123428
China,1992,140048
China,1993,117851
China,1994,76204
China,1995,53232
China,1996,68404
China,1997,79621
China,1998,53030
China,1999,61840
China,2000,71093
China,2001,88962
China,2002,58341
China,2003,71879
China,2004,70549
China,2005,124219
China,2006,99602
China,2007,109023
China,2008,131441
China,2009,52461
China,2010,38159
China,2011,9943
China,2012,6183
China,2013,26883
China,2014,52628
Colombia,1980,9222
Colombia,1981,19612
Colombia,1982,9273
Colombia,1983,13099
Colombia,1984,11849
Colombia,1985,5572
Colombia,1986,5180
Colombia,1987,20620
Colombia,1988,14801
Colombia,1989,12598
Colombia,1990,12520
Colombia,1991,10391
Colombia,1992,7976
Colombia,1993,9105
Colombia,1994,525
Colombia,1995,410
Colombia,1996,160
Colombia,1997,67
Colombia,1998,61
Colombia,1999,44
Colombia,2000,1
Colombia,2001,3
Colombia,2002,139
Colombia,2003,0
Colombia,2004,0
Colombia,2005,0
Colombia,2006,0
Colombia,2007,0
Colombia,2008,0
Colombia,2009,0
Colombia,2010,0
Colombia,2011,6
Colombia,2012,1
Colombia,2013,1
Colombia,2014,0
Comoros,1980,1801
Comoros,1981,0
Comoros,1982,0
Comoros,1983,0
Comoros,1984,0
Comoros,1985,0
Comoros,1986,0
Comoros,1987,0
Comoros,1988,0
Comoros,1989,170
Comoros,1990,2328
Comoros,1991,0
Comoros,1992,0
Comoros,1993,0
Comoros,1994,2
Comoros,1995,0
Comoros,1996,0
Comoros,1997,0
Comoros,1998,0
Comoros,1999,0
Comoros,2002,0
Comoros,2003,0
Comoros,2004,0
Comoros,2005,912
Comoros,2006,85
Comoros,2007,0
Comoros,2008,0
Comoros,2009,1
Comoros,2010,0
Comoros,2011,3
Comoros,2012,1
Comoros,2013,0
Comoros,2014,0
Congo,1980,11892
Congo,1981,9668
Congo,1982,12931
Congo,1983,16642
Congo,1984,18615
Congo,1985,7600
Congo,1986,6424
Congo,1987,1420
Congo,1988,454
Congo,1989,498
Congo,1990,3608
Congo,1991,4042
Congo,1992,4302
Congo,1993,693
Congo,1994,226
Congo,1995,2381
Congo,1996,3897
Congo,1997,1267
Congo,1998,174
Congo,1999,313
Congo,2000,1678
Congo,2001,2152
Congo,2002,2788
Congo,2003,3712
Congo,2004,3524
Congo,2005,146
Congo,2006,126
Congo,2007,84
Congo,2008,2
Congo,2009,1
Congo,2010,4
Congo,2011,315
Congo,2012,260
Congo,2013,124
Congo,2014,71
Cook Islands,1980,363
Cook Islands,1981,57
Cook Islands,1982,14
Cook Islands,1983,4
Cook Islands,1984,1
Cook Islands,1985,50
Cook Islands,1986,5
Cook Islands,1987,16
Cook Islands,1988,15
Cook Islands,1989,691
Cook Islands,1990,36
Cook Islands,1991,61
Cook Islands,1992,9
Cook Islands,1993,3
Cook Islands,1994,0
Cook Islands,1995,7
Cook Islands,1996,0
Cook Islands,1997,194
Cook Islands,1998,9
Cook Islands,1999,0
Cook Islands,2000,2
Cook Islands,2001,0
Cook Islands,2002,0
Cook Islands,2003,17
Cook Islands,2004,0
Cook Islands,2005,0
Cook Islands,2006,6
Cook Islands,2007,1
Cook Islands,2008,0
Cook Islands,2009,0
Cook Islands,2010,0
Cook Islands,2011,0
Cook Islands,2012,0
Costa Rica,1980,1000
Costa Rica,1981,170
Costa Rica,1982,167
Costa Rica,1983,39
Costa Rica,1984,11
Costa Rica,1985,1
