Entity,Year,Mobile cellular subscriptions (World Bank (2015))
Algeria,2004,14.59120666
Algeria,2005,40.22671305
Algeria,2006,60.85091077
Algeria,2007,78.53288666
Algeria,2008,75.6646235
Algeria,2009,89.95836607
Algeria,2010,88.44487548
Algeria,2011,94.31443964
Algeria,2012,97.52089467
Algeria,2013,100.7877205
American Samoa,1980,0
American Samoa,1981,0
American Samoa,1982,0
American Samoa,1983,0
American Samoa,1984,0
American Samoa,1985,0
American Samoa,1986,0
American Samoa,1990,0
American Samoa,1991,0
American Samoa,1992,1.411375688
American Samoa,1993,1.774273041
American Samoa,1994,2.316289305
American Samoa,1995,2.364110905
American Samoa,1996,2.410710974
American Samoa,1997,2.548141677
American Samoa,1998,2.683411152
American Samoa,1999,3.170800451
American Samoa,2000,3.463022843
American Samoa,2001,3.7059956
American Samoa,2002,3.466771101
American Samoa,2003,3.552277687
American Samoa,2004,3.796699403
Andorra,1980,0
Andorra,1981,0
Andorra,1982,0
Andorra,1983,0
Andorra,1984,0
Andorra,1985,0
Andorra,1986,0
Andorra,1987,0
Andorra,1988,0
Andorra,1989,0
Andorra,1990,0
Andorra,1991,0
Andorra,1992,1.307211734
Andorra,1993,1.278625641
Andorra,1994,1.250259142
Andorra,1995,4.424155104
Andorra,1996,8.538444783
Andorra,1997,13.44671556
Andorra,1998,22.12730607
Andorra,1999,32.14530928
Andorra,2000,35.99902139
Andorra,2001,43.27794118
Andorra,2002,45.77115817
Andorra,2003,68.60251444
Andorra,2004,73.82494308
Andorra,2005,79.48487497
Andorra,2006,84.27763597
Andorra,2007,78.1171579
Andorra,2008,80.2836099
Andorra,2009,82.06181111
Andorra,2010,84.06818386
Andorra,2011,83.53432222
Andorra,2012,81.50204186
Andorra,2013,80.70261809
Angola,1980,0
Angola,1981,0
Angola,1982,0
Angola,1983,0
Angola,1984,0
Angola,1985,0
Angola,1986,0
Angola,1987,0
Angola,1988,0
Angola,1989,0
Angola,1990,0
Angola,1991,0
Angola,1992,0
Angola,1993,0.009672748
Angola,1994,0.015532086
Angola,1995,0.016472597
Angola,1996,0.026485822
Angola,1997,0.055130843
Angola,1998,0.07474762
Angola,1999,0.177638088
Angola,2000,0.185322296
Angola,2001,0.521366177
Angola,2002,0.940444726
Angola,2003,2.269621281
Angola,2004,4.63174063
Angola,2005,9.738161173
Angola,2006,17.83989624
Angola,2007,28.01098233
Angola,2008,36.98368954
Angola,2009,42.84657348
Angola,2010,48.10120904
Angola,2011,59.82618856
Angola,2012,61.40627578
Angola,2013,61.87329711
Antigua and Barbuda,1980,0
Antigua and Barbuda,1981,0
Antigua and Barbuda,1982,0
Antigua and Barbuda,1983,0
Antigua and Barbuda,1984,0
Antigua and Barbuda,1985,0
Antigua and Barbuda,1986,0
Antigua and Barbuda,1987,0
Antigua and Barbuda,1988,0
Antigua and Barbuda,1990,0
Antigua and Barbuda,1996,1.850665528
Antigua and Barbuda,1997,1.938199136
Antigua and Barbuda,1998,2.021399887
Antigua and Barbuda,1999,11.17818019
Antigua and Barbuda,2000,28.3329899
Antigua and Barbuda,2001,31.65678975
Antigua and Barbuda,2002,47.73834812
Antigua and Barbuda,2003,56.98111342
Antigua and Barbuda,2004,66.08091241
Antigua and Barbuda,2005,104.1603585
Antigua and Barbuda,2006,132.0006709
Antigua and Barbuda,2007,133.1575767
Antigua and Barbuda,2008,160.0393678
Antigua and Barbuda,2009,156.3441483
Antigua and Barbuda,2010,192.5532769
Antigua and Barbuda,2011,199.6642164
Antigua and Barbuda,2012,143.0138432
Antigua and Barbuda,2013,127.0856254
Argentina,1980,0
Argentina,1981,0
Argentina,1982,0
Argentina,1983,0
Argentina,1984,0
Argentina,1985,0
Argentina,1986,0
Argentina,1987,0
Argentina,1988,0
Argentina,1989,0.007149428
Argentina,1990,0.036781751
Argentina,1991,0.075585347
Argentina,1992,0.138988317
Argentina,1993,0.329780857
Argentina,1994,0.701068622
Argentina,1995,1.163818921
Argentina,1996,1.891500329
Argentina,1997,5.62910957
Argentina,1998,7.396595596
Argentina,1999,10.54064245
Argentina,2000,17.58105905
Argentina,2001,18.08742442
Argentina,2002,17.4519491
Argentina,2003,20.6535373
Argentina,2004,35.27228837
Argentina,2005,57.32899426
Argentina,2006,80.81882641
Argentina,2007,102.7215283
Argentina,2008,117.2211834
Argentina,2009,131.1294492
Argentina,2010,141.383022
Argentina,2011,149.0906224
Argentina,2012,156.564756
Argentina,2013,162.5274217
Armenia,1980,0
Armenia,1981,0
Armenia,1982,0
Armenia,1983,0
Armenia,1984,0
Armenia,1985,0
Armenia,1986,0
Armenia,1987,0
Armenia,1988,0
Armenia,1989,0
Armenia,1990,0
Armenia,1991,0
Armenia,1992,0
Armenia,1993,0
Armenia,1994,0
Armenia,1995,0
Armenia,1996,0.009453508
Armenia,1997,0.15935483
Armenia,1998,0.251561377
Armenia,1999,0.263783931
Armenia,2000,0.568447429
Armenia,2001,0.833474947
Armenia,2002,2.341613166
Armenia,2003,3.767384533
Armenia,2004,6.719510373
Armenia,2005,10.54901346
Armenia,2006,41.95135986
Armenia,2007,62.7586975
Armenia,2008,48.43008603
Armenia,2009,73.83377008
Armenia,2010,130.4322327
Armenia,2011,108.336201
Armenia,2012,111.9146632
Armenia,2013,112.4206552
Aruba,1980,0
Aruba,1981,0
Aruba,1982,0
Aruba,1983,0
Aruba,1984,0
Aruba,1985,0
Aruba,1986,0
Aruba,1987,0
Aruba,1988,0
Aruba,1989,0
Aruba,1990,0
Aruba,1991,0
Aruba,1992,0.029310471
Aruba,1995,2.138784453
Aruba,1996,3.605985937
Aruba,1997,3.98141538
Aruba,1998,6.16435217
Aruba,1999,13.48254011
Aruba,2000,16.50927821
Aruba,2001,57.05427692
Aruba,2002,65.05605558
Aruba,2003,72.10431377
Aruba,2004,99.64250268
Aruba,2005,103.3849507
Aruba,2006,108.1325002
Aruba,2007,112.2180618
Aruba,2008,119.2038996
Aruba,2009,126.2103374
Aruba,2010,129.72824
Aruba,2012,131.8565401
Aruba,2013,134.873823
Australia,1980,0
Australia,1981,0
Australia,1982,0
Australia,1983,0
Australia,1984,0
Australia,1985,0
Australia,1986,0
Australia,1987,0.027108122
Australia,1988,0.19063123
Australia,1989,0.560966912
Australia,1990,1.081736077
Australia,1991,1.682627998
Australia,1992,2.835372025
Australia,1993,3.892879466
Australia,1994,6.807810813
Australia,1995,12.37017796
Australia,1996,21.7568676
Australia,1997,24.66137476
Australia,1998,26.16715738
Australia,1999,33.18891382
Australia,2000,44.45626668
Australia,2001,57.12450962
Australia,2002,64.2670099
Australia,2003,71.9035383
Australia,2004,81.50958522
Australia,2005,89.76286231
Australia,2006,94.70140374
Australia,2007,100.0646043
Australia,2008,102.1940537
Australia,2009,100.7390114
Australia,2010,100.4263074
Australia,2011,104.610551
Australia,2012,105.585695
Australia,2013,106.8434974
Austria,1980,0
Austria,1981,0
Austria,1982,0
Austria,1983,0
Austria,1984,0
Austria,1985,0.128856131
Austria,1986,0.25189156
Austria,1987,0.345358749
Austria,1988,0.48515954
Austria,1989,0.664667026
Austria,1990,0.96086037
Austria,1991,1.493599184
Austria,1992,2.211730703
Austria,1993,2.805498884
Austria,1994,3.504549191
Austria,1995,4.80296973
Austria,1996,7.475118128
Austria,1997,14.47070198
Austria,1998,28.62886002
Austria,1999,53.07787628
Austria,2000,76.26932886
Austria,2001,81.26031128
Austria,2002,83.24472516
Austria,2003,89.33569564
Austria,2004,97.54481697
Austria,2005,105.1755856
Austria,2006,112.124675
Austria,2007,119.2569828
Austria,2008,129.6551516
Austria,2009,136.57901
Austria,2010,145.6928199
Austria,2011,154.426039
Austria,2012,160.5397387
Austria,2013,156.2304116
Azerbaijan,1980,0
Azerbaijan,1981,0
Azerbaijan,1982,0
Azerbaijan,1983,0
Azerbaijan,1984,0
Azerbaijan,1985,0
Azerbaijan,1986,0
Azerbaijan,1987,0
Azerbaijan,1988,0
Azerbaijan,1989,0
Azerbaijan,1990,0
Azerbaijan,1991,0
Azerbaijan,1992,0
Azerbaijan,1993,0
Azerbaijan,1994,0.006514549
Azerbaijan,1995,0.077212068
Azerbaijan,1996,0.216497822
Azerbaijan,1997,0.504939253
Azerbaijan,1998,0.814081353
Azerbaijan,1999,4.597452067
Azerbaijan,2000,5.178780011
Azerbaijan,2001,8.907406533
Azerbaijan,2002,9.592056203
Azerbaijan,2003,12.62937463
Azerbaijan,2004,17.20615651
Azerbaijan,2005,26.18119583
Azerbaijan,2006,38.35542641
Azerbaijan,2007,51.52721935
Azerbaijan,2008,73.75810024
Azerbaijan,2009,86.32194952
Azerbaijan,2010,100.0593201
Azerbaijan,2011,109.9720704
Azerbaijan,2012,108.7683381
Azerbaijan,2013,107.6134072
Bahamas,1980,0
Bahamas,1981,0
Bahamas,1982,0
Bahamas,1983,0
Bahamas,1984,0
Bahamas,1985,0
Bahamas,1986,0
Bahamas,1987,0
Bahamas,1988,0
Bahamas,1989,0
Bahamas,1990,0.749791291
Bahamas,1991,0.773644017
Bahamas,1992,0.977087303
Bahamas,1993,0.885634717
Bahamas,1995,1.464024281
Bahamas,1996,1.744231135
Bahamas,1997,2.161446077
Bahamas,1998,2.784158716
Bahamas,1999,5.422195868
Bahamas,2000,10.58708553
Bahamas,2001,19.98481873
Bahamas,2002,39.3992344
Bahamas,2003,38.72582567
Bahamas,2004,57.69447891
Bahamas,2005,69.21279415
Bahamas,2006,75.37855087
Bahamas,2007,109.340767
Bahamas,2008,102.7875065
Bahamas,2009,101.2186453
Bahamas,2010,118.8292307
Bahamas,2011,81.5628489
Bahamas,2012,80.65383375
Bahamas,2013,76.05187427
Bahrain,1980,0
Bahrain,1981,0
Bahrain,1982,0
Bahrain,1983,0
Bahrain,1984,0
Bahrain,1985,0
Bahrain,1986,0.142563513
Bahrain,1987,0.381286664
Bahrain,1988,0.620306327
Bahrain,1989,0.883522952
Bahrain,1990,1.037818786
Bahrain,1991,1.442965201
Bahrain,1992,1.852315921
Bahrain,1993,2.120546339
Bahrain,1994,3.207749877
Bahrain,1995,4.895960832
Bahrain,1996,6.913956774
Bahrain,1997,9.799631738
Bahrain,1998,14.90809458
Bahrain,1999,20.82466731
Bahrain,2000,30.78644018
Bahrain,2001,42.87476619
Bahrain,2002,53.10146463
Bahrain,2003,57.39322693
Bahrain,2004,79.19074229
Bahrain,2005,87.21698081
Bahrain,2006,95.42373897
Bahrain,2007,108.1005238
Bahrain,2008,129.0979339
Bahrain,2009,117.6607732
Bahrain,2010,125.2084477
Bahrain,2011,131.009991
Bahrain,2012,161.1670576
Bahrain,2013,165.9088811
Bangladesh,1980,0
Bangladesh,1981,0
Bangladesh,1982,0
Bangladesh,1983,0
Bangladesh,1984,0
Bangladesh,1985,0
Bangladesh,1986,0
Bangladesh,1987,0
Bangladesh,1988,0
Bangladesh,1989,0
Bangladesh,1990,0
Bangladesh,1991,0
Bangladesh,1992,0.000222359
Bangladesh,1993,0.00043517
Bangladesh,1994,0.000940619
Bangladesh,1995,0.0020856
Bangladesh,1996,0.00326795
Bangladesh,1997,0.020809104
Bangladesh,1998,0.058833439
Bangladesh,1999,0.114644643
Bangladesh,2000,0.210751714
Bangladesh,2001,0.385958523
Bangladesh,2002,0.784635571
Bangladesh,2003,0.980702181
Bangladesh,2004,1.969454675
Bangladesh,2005,6.28776238
Bangladesh,2006,13.20573922
Bangladesh,2007,23.46762823
Bangladesh,2008,30.16828408
Bangladesh,2009,34.35334451
Bangladesh,2010,44.94535882
Bangladesh,2011,55.19256723
Bangladesh,2012,62.82023906
Bangladesh,2013,74.42964608
Barbados,1980,0
Barbados,1981,0
Barbados,1982,0
Barbados,1983,0
Barbados,1984,0
Barbados,1985,0
Barbados,1986,0
Barbados,1987,0
Barbados,1988,0
Barbados,1989,0
Barbados,1990,0
Barbados,1991,0.186797348
Barbados,1992,0.305024084
Barbados,1993,0.59607052
Barbados,1994,1.130539817
Barbados,1995,1.753272662
Barbados,1996,2.380970426
Barbados,1997,3.028276003
Barbados,1998,4.521988167
Barbados,1999,7.628652994
Barbados,2000,10.6542161
Barbados,2001,19.79567344
Barbados,2002,36.06098158
Barbados,2003,51.69027189
Barbados,2004,73.5247332
Barbados,2005,75.37065739
Barbados,2006,86.2492407
Barbados,2007,93.23830793
Barbados,2008,103.972136
Barbados,2009,120.8077962
Barbados,2010,124.8452189
Barbados,2011,123.4606322
Barbados,2012,123.3298378
Barbados,2013,108.1027529
Belarus,1980,0
Belarus,1981,0
Belarus,1982,0
Belarus,1983,0
Belarus,1984,0
Belarus,1985,0
Belarus,1986,0
Belarus,1987,0
Belarus,1988,0
Belarus,1989,0
Belarus,1990,0
Belarus,1991,0
Belarus,1992,0
Belarus,1993,0.003162103
Belarus,1994,0.016869419
Belarus,1995,0.057875715
Belarus,1996,0.064472565
Belarus,1997,0.080697147
Belarus,1998,0.120576083
Belarus,1999,0.23375711
Belarus,2000,0.494446704
Belarus,2001,1.394421246
Belarus,2002,4.695385079
Belarus,2003,11.42668966
Belarus,2004,23.03795343
Belarus,2005,42.41718896
Belarus,2006,61.95195003
Belarus,2007,72.61067076
Belarus,2008,85.05828031
Belarus,2009,101.6840082
Belarus,2010,108.8697059
Belarus,2011,113.1688625
Belarus,2012,113.5179254
Belarus,2013,118.786176
Belgium,1980,0
Belgium,1981,0
Belgium,1982,0
Belgium,1983,0
Belgium,1984,0
Belgium,1985,0
Belgium,1986,0.038348549
Belgium,1987,0.072839954
Belgium,1988,0.192853855
Belgium,1989,0.309387231
Belgium,1990,0.429735061
Belgium,1991,0.513631256
Belgium,1992,0.611545879
Belgium,1993,0.671587939
Belgium,1994,1.264320986
Belgium,1995,2.315095365
Belgium,1996,4.694050625
Belgium,1997,9.548274196
Belgium,1998,17.1799361
Belgium,1999,31.11171947
Belgium,2000,54.81877375
Belgium,2001,74.72253301
Belgium,2002,78.36155617
Belgium,2003,82.86829993
Belgium,2004,87.46025396
Belgium,2005,91.40294897
Belgium,2006,93.00741585
Belgium,2007,100.5624899
Belgium,2008,105.283158
Belgium,2009,108.4032585
Belgium,2010,111.0841886
Belgium,2011,113.5309512
Belgium,2012,111.3315482
Belgium,2013,110.9031799
Belize,1980,0
Belize,1981,0
Belize,1982,0
Belize,1983,0
Belize,1984,0
Belize,1985,0
Belize,1986,0
Belize,1987,0
Belize,1988,0
Belize,1989,0
Belize,1990,0
Belize,1991,0
Belize,1992,0
Belize,1993,0.201592581
Belize,1994,0.411172831
Belize,1995,0.747480214
Belize,1996,1.028369629
Belize,1997,1.164387324
Belize,1998,1.570531759
Belize,1999,2.842663676
Belize,2000,7.046515722
Belize,2001,15.96872731
Belize,2002,20.54645981
Belize,2003,23.38066005
Belize,2004,28.29761545
Belize,2005,35.30450132
Belize,2006,42.2961808
Belize,2007,41.34020042
Belize,2008,54.51721037
Belize,2009,53.74564807
Belize,2010,62.93070205
Belize,2011,70.31965347
Belize,2012,53.20712214
Belize,2013,52.61072612
Benin,1980,0
Benin,1981,0
Benin,1982,0
Benin,1983,0
Benin,1984,0
Benin,1985,0
Benin,1986,0
Benin,1987,0
Benin,1988,0
Benin,1989,0
Benin,1990,0
Benin,1991,0
Benin,1992,0
Benin,1993,0
Benin,1994,0
Benin,1995,0.017541931
Benin,1996,0.043828702
Benin,1997,0.067517635
Benin,1998,0.096020877
Benin,1999,0.107840809
Benin,2000,0.79828865
Benin,2001,1.742181889
Benin,2002,2.950472734
Benin,2003,3.08093958
Benin,2004,5.797473518
Benin,2005,7.28722342
Benin,2006,12.50317546
Benin,2007,23.56334604
Benin,2008,40.40173435
Benin,2009,54.46885832
Benin,2010,74.39604921
Benin,2011,79.40049868
Benin,2012,83.65431589
Benin,2013,93.25782193
Bermuda,1980,0
Bermuda,1981,0
Bermuda,1982,0
Bermuda,1983,0
Bermuda,1984,0
Bermuda,1985,0
Bermuda,1986,0
Bermuda,1989,1.253828806
Bermuda,1990,1.859593966
Bermuda,1991,2.393935364
Bermuda,1992,3.200793585
Bermuda,1993,5.592013289
Bermuda,1994,8.390338101
Bermuda,1995,10.29850017
Bermuda,1996,12.9329206
Bermuda,1997,16.57633243
Bermuda,1998,20.18755219
Bermuda,1999,20.46133926
Bermuda,2000,20.68844789
Bermuda,2001,21.12459598
Bermuda,2002,47.32383702
Bermuda,2003,62.83281758
Bermuda,2004,76.66911799
Bermuda,2005,82.19904267
Bermuda,2006,93.41436498
Bermuda,2007,106.9568452
Bermuda,2008,122.1643187
Bermuda,2009,131.1485527
Bermuda,2010,135.794676
Bermuda,2012,139.5363101
Bermuda,2013,144.3197992
Bhutan,1980,0
Bhutan,1981,0
Bhutan,1982,0
Bhutan,1983,0
Bhutan,1984,0
Bhutan,1985,0
Bhutan,1986,0
Bhutan,1987,0
Bhutan,1988,0
Bhutan,1989,0
Bhutan,1990,0
Bhutan,1991,0
Bhutan,1992,0
Bhutan,1993,0
Bhutan,1994,0
Bhutan,1995,0
Bhutan,1996,0
Bhutan,1997,0
Bhutan,1998,0
Bhutan,1999,0
Bhutan,2000,0
Bhutan,2001,0
Bhutan,2002,0
Bhutan,2003,0.365843964
Bhutan,2004,3.019121524
Bhutan,2005,5.53491068
Bhutan,2006,12.33202317
Bhutan,2007,21.99686472
Bhutan,2008,36.61427504
Bhutan,2009,48.10756491
Bhutan,2010,54.99993723
Bhutan,2011,66.37918152
Bhutan,2012,75.6097824
Bhutan,2013,72.19831102
Bolivia,1980,0
Bolivia,1981,0
Bolivia,1982,0
Bolivia,1983,0
Bolivia,1984,0
Bolivia,1985,0
Bolivia,1986,0
Bolivia,1987,0
Bolivia,1988,0
Bolivia,1989,0
Bolivia,1990,0
Bolivia,1991,0.004240494
Bolivia,1992,0.021773635
Bolivia,1993,0.036460894
Bolivia,1994,0.054342489
Bolivia,1995,0.094677895
Bolivia,1996,0.427823762
Bolivia,1997,1.484397923
Bolivia,1998,2.935775674
Bolivia,1999,5.050749735
Bolivia,2000,6.858168503
Bolivia,2001,8.996551647
Bolivia,2002,11.57177993
Bolivia,2003,14.18292347
Bolivia,2004,19.60018982
Bolivia,2005,25.88431131
Bolivia,2006,30.21985533
Bolivia,2007,33.63225131
Bolivia,2008,51.23601575
Bolivia,2009,64.68655431
Bolivia,2010,70.68598048
Bolivia,2011,80.90771949
Bolivia,2012,90.44349501
Bolivia,2013,97.69945273
Bosnia and Herzegovina,1980,0
Bosnia and Herzegovina,1981,0
Bosnia and Herzegovina,1982,0
Bosnia and Herzegovina,1983,0
Bosnia and Herzegovina,1984,0
Bosnia and Herzegovina,1985,0
Bosnia and Herzegovina,1986,0
Bosnia and Herzegovina,1987,0
Bosnia and Herzegovina,1988,0
Bosnia and Herzegovina,1989,0
Bosnia and Herzegovina,1990,0
Bosnia and Herzegovina,1991,0
Bosnia and Herzegovina,1992,0
Bosnia and Herzegovina,1993,0
Bosnia and Herzegovina,1994,0
Bosnia and Herzegovina,1995,0
Bosnia and Herzegovina,1996,0.043034507
Bosnia and Herzegovina,1997,0.254525031
Bosnia and Herzegovina,1998,0.691629718
Bosnia and Herzegovina,1999,1.402104049
Bosnia and Herzegovina,2000,2.435501689
Bosnia and Herzegovina,2001,11.46353529
Bosnia and Herzegovina,2002,19.21141303
Bosnia and Herzegovina,2003,27.58857728
Bosnia and Herzegovina,2004,36.21150774
Bosnia and Herzegovina,2005,41.09375467
Bosnia and Herzegovina,2006,48.7159617
Bosnia and Herzegovina,2007,63.34032541
Bosnia and Herzegovina,2008,82.33282857
Bosnia and Herzegovina,2009,84.52795238
Bosnia and Herzegovina,2010,80.87078571
Bosnia and Herzegovina,2011,82.60007887
Bosnia and Herzegovina,2012,87.57471473
Bosnia and Herzegovina,2013,91.09530785
Botswana,1980,0
Botswana,1981,0
Botswana,1982,0
Botswana,1983,0
Botswana,1984,0
Botswana,1985,0
Botswana,1986,0
Botswana,1987,0
Botswana,1988,0
Botswana,1989,0
Botswana,1990,0
Botswana,1991,0
Botswana,1992,0
Botswana,1993,0
Botswana,1994,0
Botswana,1995,0
Botswana,1996,0
Botswana,1997,0
Botswana,1998,0.897675617
Botswana,1999,5.33356832
Botswana,2000,12.65769422
Botswana,2001,18.63146249
Botswana,2002,18.36751842
Botswana,2003,24.28121327
Botswana,2004,28.18941102
Botswana,2005,30.05546952
Botswana,2006,43.41214719
Botswana,2007,60.13830503
Botswana,2008,76.83593118
Botswana,2009,96.02329234
Botswana,2010,120.0102471
Botswana,2011,145.9838697
Botswana,2012,153.7856491
Botswana,2013,160.6410528
Brazil,1980,0
Brazil,1981,0
Brazil,1982,0
Brazil,1983,0
Brazil,1984,0
Brazil,1985,0
Brazil,1986,0
Brazil,1987,0
Brazil,1988,0
Brazil,1989,0
Brazil,1990,0.000445712
Brazil,1991,0.004403447
Brazil,1992,0.020698847
Brazil,1993,0.115915349
Brazil,1994,0.360031692
Brazil,1995,0.794074075
Brazil,1996,1.519628432
Brazil,1997,2.725767586
Brazil,1998,4.347740579
Brazil,1999,8.739617433
Brazil,2000,13.28797717
Brazil,2001,16.24346532
Brazil,2002,19.44379918
Brazil,2003,25.51445011
Brazil,2004,35.65289881
Brazil,2005,46.31418452
Brazil,2006,53.11025849
Brazil,2007,63.67475185
Brazil,2008,78.5549801
Brazil,2009,87.54187651
Brazil,2010,100.8810115
Brazil,2011,119.0023853
Brazil,2012,125.0018521
Brazil,2013,135.3050481
Brunei,1980,0
Brunei,1981,0
Brunei,1982,0
Brunei,1983,0
Brunei,1984,0
Brunei,1985,0
Brunei,1986,0
Brunei,1987,0
Brunei,1988,0
Brunei,1990,0.689684699
Brunei,1991,1.144394171
Brunei,1992,1.508816445
Brunei,1993,2.969404832
Brunei,1994,5.43654522
Brunei,1995,12.16292716
Brunei,1996,14.38757599
Brunei,1997,14.52062574
Brunei,1998,15.48765187
Brunei,1999,20.33892037
Brunei,2000,28.63161956
Brunei,2001,42.16988977
Brunei,2002,44.35447321
Brunei,2003,50.15283516
Brunei,2004,56.11299429
Brunei,2005,63.31987548
Brunei,2006,80.4383275
Brunei,2007,95.9883599
Brunei,2008,102.793692
Brunei,2009,104.6861055
Brunei,2010,108.6214859
Brunei,2011,109.015478
Brunei,2012,113.9487384
Brunei,2013,112.2144457
Bulgaria,1980,0
Bulgaria,1981,0
Bulgaria,1982,0
Bulgaria,1983,0
Bulgaria,1984,0
Bulgaria,1985,0
Bulgaria,1986,0
Bulgaria,1987,0
Bulgaria,1988,0
Bulgaria,1989,0
Bulgaria,1990,0
Bulgaria,1991,0
Bulgaria,1992,0
Bulgaria,1993,0.011692572
Bulgaria,1994,0.076908205
Bulgaria,1995,0.250295641
Bulgaria,1996,0.321320979
Bulgaria,1997,0.853688207
Bulgaria,1998,1.561842059
Bulgaria,1999,4.339230099
Bulgaria,2000,9.224411944
Bulgaria,2001,19.53377787
Bulgaria,2002,33.00364603
Bulgaria,2003,44.84272118
Bulgaria,2004,61.07153717
Bulgaria,2005,81.27954474
Bulgaria,2006,108.2720221
Bulgaria,2007,130.8646368
Bulgaria,2008,138.9755558
Bulgaria,2009,140.4048536
Bulgaria,2010,138.0389827
Bulgaria,2011,142.8461575
Bulgaria,2012,148.1311121
Bulgaria,2013,145.1876887
Burkina Faso,1980,0
Burkina Faso,1981,0
Burkina Faso,1982,0
Burkina Faso,1983,0
Burkina Faso,1984,0
Burkina Faso,1985,0
Burkina Faso,1986,0
Burkina Faso,1987,0
Burkina Faso,1988,0
Burkina Faso,1989,0
Burkina Faso,1990,0
Burkina Faso,1991,0
Burkina Faso,1992,0
Burkina Faso,1993,0
Burkina Faso,1994,0
Burkina Faso,1995,0
Burkina Faso,1996,0.00506143
Burkina Faso,1997,0.014092851
Burkina Faso,1998,0.024890963
Burkina Faso,1999,0.044637705
Burkina Faso,2000,0.217480374
Burkina Faso,2001,0.637748952
Burkina Faso,2002,0.902809026
Burkina Faso,2003,1.880815092
Burkina Faso,2004,3.037679629
Burkina Faso,2005,4.720290206
Burkina Faso,2006,7.354840819
Burkina Faso,2007,13.05253397
Burkina Faso,2008,20.62907931
Burkina Faso,2009,25.3304628
Burkina Faso,2010,36.72938024
Burkina Faso,2011,48.02719397
Burkina Faso,2012,60.60765215
Burkina Faso,2013,66.37728295
Burundi,1980,0
Burundi,1981,0
Burundi,1982,0
Burundi,1983,0
Burundi,1984,0
Burundi,1985,0
Burundi,1986,0
Burundi,1987,0
Burundi,1988,0
Burundi,1989,0
Burundi,1990,0
Burundi,1991,0
Burundi,1992,0
Burundi,1993,0.005879704
Burundi,1994,0.006184101
Burundi,1995,0.009082238
Burundi,1996,0.008912568
Burundi,1997,0.009718077
Burundi,1998,0.009615874
Burundi,1999,0.012222561
Burundi,2000,0.244520537
Burundi,2001,0.488582584
Burundi,2002,0.738874924
Burundi,2003,0.881016032
Burundi,2004,1.338877194
Burundi,2005,1.969012632
Burundi,2006,2.486764507
Burundi,2007,3.241953471
Burundi,2008,5.572453585
Burundi,2009,10.31456575
Burundi,2010,18.1747416
Burundi,2011,20.06827414
Burundi,2012,22.81446021
Burundi,2013,24.96258806
Cambodia,1980,0
Cambodia,1981,0
Cambodia,1982,0
Cambodia,1983,0
Cambodia,1984,0
Cambodia,1985,0
Cambodia,1986,0
Cambodia,1987,0
Cambodia,1988,0
Cambodia,1989,0
Cambodia,1990,0
Cambodia,1991,0
Cambodia,1992,0
Cambodia,1993,0.047730546
Cambodia,1994,0.098166222
Cambodia,1995,0.13092897
Cambodia,1996,0.208266253
Cambodia,1997,0.29445528
Cambodia,1998,0.524974387
