Entity,Year,Economic Freedom of the World (Fraser Institute (2015))
Belize,2004,6.9
Belize,2005,6.83
Belize,2006,6.74
Belize,2007,6.81
Belize,2008,6.79
Belize,2009,6.53
Belize,2010,6.45
Belize,2011,6.45
Belize,2012,6.48
Belize,2013,6.48
Benin,1980,5.14
Benin,1985,4.89
Benin,1990,5.16
Benin,1995,4.83
Benin,2000,5.39
Benin,2001,5.47
Benin,2002,5.6
Benin,2003,5.63
Benin,2004,5.53
Benin,2005,5.67
Benin,2006,5.98
Benin,2007,5.88
Benin,2008,5.74
Benin,2009,5.86
Benin,2010,5.84
Benin,2011,5.82
Benin,2012,5.6
Benin,2013,5.79
Bolivia,1980,4.01
Bolivia,1985,3.44
Bolivia,1990,5.43
Bolivia,1995,6.61
Bolivia,2000,6.98
Bolivia,2001,6.7
Bolivia,2002,6.55
Bolivia,2003,6.49
Bolivia,2004,6.42
Bolivia,2005,6.36
Bolivia,2006,6.4
Bolivia,2007,6.17
Bolivia,2008,6.12
Bolivia,2009,6.34
Bolivia,2010,6.39
Bolivia,2011,6.36
Bolivia,2012,6.45
Bolivia,2013,6.49
Botswana,1980,5.25
Botswana,1985,5.57
Botswana,1990,5.92
Botswana,1995,6.4
Botswana,2000,7.36
Botswana,2001,7.37
Botswana,2002,7.4
Botswana,2003,7.19
Botswana,2004,7.21
Botswana,2005,7.29
Botswana,2006,7.19
Botswana,2007,7.34
Botswana,2008,7.04
Botswana,2009,6.9
Botswana,2010,7.22
Botswana,2011,7.43
Botswana,2012,7.45
Botswana,2013,7.33
Brazil,1970,5.11
Brazil,1975,4.07
Brazil,1980,3.84
Brazil,1985,3.28
Brazil,1990,4.5
Brazil,1995,4.73
Brazil,2000,6
Brazil,2001,5.92
Brazil,2002,6.23
Brazil,2003,6.04
Brazil,2004,6.18
Brazil,2005,6.3
Brazil,2006,6.28
Brazil,2007,6.28
Brazil,2008,6.39
Brazil,2009,6.4
Brazil,2010,6.55
Brazil,2011,6.59
Brazil,2012,6.56
Brazil,2013,6.36
Bulgaria,1985,5.02
Bulgaria,1990,3.9
Bulgaria,1995,4.62
Bulgaria,2000,5.41
Bulgaria,2001,5.88
Bulgaria,2002,6.45
Bulgaria,2003,6.69
Bulgaria,2004,6.65
Bulgaria,2005,6.85
Bulgaria,2006,7
Bulgaria,2007,7.03
Bulgaria,2008,7.1
Bulgaria,2009,7.24
Bulgaria,2010,7.22
Bulgaria,2011,7.28
Bulgaria,2012,7.28
Bulgaria,2013,7.23
Burundi,1975,3.88
Burundi,1980,3.99
Burundi,1985,4.42
Burundi,1990,4.63
Burundi,1995,3.94
Burundi,2000,4.73
Burundi,2001,4.95
Burundi,2002,4.73
Burundi,2003,4.5
Burundi,2004,4.73
Burundi,2005,4.87
Burundi,2006,5.35
Burundi,2007,5.26
Burundi,2008,4.84
Burundi,2009,5.25
Burundi,2010,5.02
Burundi,2011,5.16
Burundi,2012,5.16
Burundi,2013,5.79
Cameroon,1980,5.62
Cameroon,1985,5.73
Cameroon,1990,5.81
Cameroon,1995,5.68
Cameroon,2000,5.84
Cameroon,2001,6.04
Cameroon,2002,6.07
Cameroon,2003,6.1
Cameroon,2004,6.13
Cameroon,2005,6.14
Cameroon,2006,6.11
Cameroon,2007,5.99
Cameroon,2008,5.92
Cameroon,2009,6.06
Cameroon,2010,6.56
Cameroon,2011,6.58
Cameroon,2012,6.63
Cameroon,2013,6.59
Canada,1970,7.91
Canada,1975,7.12
Canada,1980,7.68
Canada,1985,7.78
Canada,1990,8.15
Canada,1995,8.12
Canada,2000,8.37
Canada,2001,8.15
Canada,2002,8.12
Canada,2003,8.23
Canada,2004,8.23
Canada,2005,8.23
Canada,2006,8.2
Canada,2007,8.18
Canada,2008,8.13
Canada,2009,8.09
Canada,2010,8.05
Canada,2011,7.98
Canada,2012,8.01
Canada,2013,8
Central African Republic,1985,4.38
Central African Republic,1990,4.83
Central African Republic,1995,4.42
Central African Republic,2000,5.23
Central African Republic,2001,5.35
Central African Republic,2002,5.21
Central African Republic,2003,5.75
Central African Republic,2004,5.84
Central African Republic,2005,5.28
Central African Republic,2006,5.49
Central African Republic,2007,5.77
Central African Republic,2008,5.71
Central African Republic,2009,5.78
Central African Republic,2010,5.72
Central African Republic,2011,5.84
Central African Republic,2012,5.82
Central African Republic,2013,5.81
Chad,1985,4.93
Chad,1990,4.93
Chad,1995,4.9
Chad,2000,5.43
Chad,2001,5.9
Chad,2002,5.89
Chad,2003,5.8
Chad,2004,5.61
Chad,2005,5.43
Chad,2006,5.5
Chad,2007,5.21
Chad,2008,5.06
Chad,2009,5.36
Chad,2010,5.77
Chad,2011,5.6
Chad,2012,5.36
Chad,2013,5.67
Chile,1970,3.96
Chile,1975,3.62
Chile,1980,5.39
Chile,1985,5.84
Chile,1990,6.79
Chile,1995,7.54
Chile,2000,7.42
Chile,2001,7.57
Chile,2002,7.7
Chile,2003,7.89
Chile,2004,7.84
Chile,2005,7.92
Chile,2006,7.93
Chile,2007,8.05
Chile,2008,7.97
Chile,2009,7.92
Chile,2010,7.94
Chile,2011,7.97
Chile,2012,7.87
Chile,2013,7.9
China,1980,3.74
China,1985,4.74
China,1990,4.43
China,1995,5.17
China,2000,5.78
China,2001,5.81
China,2002,5.79
China,2003,5.87
China,2004,5.69
China,2005,5.87
China,2006,5.96
China,2007,6.08
China,2008,6.06
China,2009,6.11
China,2010,6.07
China,2011,6.13
China,2012,6.2
China,2013,6.25
Colombia,1970,5.28
Colombia,1975,4.84
Colombia,1980,4.74
Colombia,1985,5.22
Colombia,1990,5.07
Colombia,1995,5.59
Colombia,2000,5.52
Colombia,2001,5.64
Colombia,2002,5.67
Colombia,2003,5.81
Colombia,2004,5.84
Colombia,2005,5.76
Colombia,2006,5.93
Colombia,2007,6.12
Colombia,2008,6.08
Colombia,2009,6.29
Colombia,2010,6.33
Colombia,2011,6.4
Colombia,2012,6.39
Colombia,2013,6.36
Congo,1980,4.5
Congo,1985,4.31
Congo,1990,4.97
Congo,1995,5.02
Congo,2000,4.35
Congo,2001,4.62
Congo,2002,4.47
Congo,2003,4.71
Congo,2004,4.75
Congo,2005,4.74
Congo,2006,4.83
Congo,2007,4.76
Congo,2008,4.96
Congo,2009,5.21
Congo,2010,4.92
Congo,2011,4.7
Congo,2012,4.68
Congo,2013,4.9
Costa Rica,1975,5.92
Costa Rica,1980,5.07
Costa Rica,1985,5.03
Costa Rica,1990,6.64
Costa Rica,1995,6.97
Costa Rica,2000,7.52
Costa Rica,2001,7.32
Costa Rica,2002,7.21
Costa Rica,2003,7.44
Costa Rica,2004,7.23
Costa Rica,2005,7.66
Costa Rica,2006,7.85
Costa Rica,2007,7.67
Costa Rica,2008,7.46
Costa Rica,2009,7.47
Costa Rica,2010,7.41
Costa Rica,2011,7.71
Costa Rica,2012,7.67
Costa Rica,2013,7.63
Cote d'Ivoire,1980,5.39
Cote d'Ivoire,1985,6.08
Cote d'Ivoire,1990,5.57
Cote d'Ivoire,1995,5.2
Cote d'Ivoire,2000,5.91
Cote d'Ivoire,2001,5.96
Cote d'Ivoire,2002,5.82
Cote d'Ivoire,2003,5.9
Cote d'Ivoire,2004,5.94
Cote d'Ivoire,2005,6.05
Cote d'Ivoire,2006,5.7
Cote d'Ivoire,2007,5.69
Cote d'Ivoire,2008,5.69
Cote d'Ivoire,2009,5.91
Cote d'Ivoire,2010,5.91
Cote d'Ivoire,2011,6
Cote d'Ivoire,2012,5.92
Cote d'Ivoire,2013,6.05
Croatia,1995,5.05
Croatia,2000,6.35
Croatia,2001,6.28
Croatia,2002,6.44
Croatia,2003,6.55
Croatia,2004,6.66
Croatia,2005,6.77
Croatia,2006,6.84
Croatia,2007,6.94
Croatia,2008,7.06
Croatia,2009,7.09
Croatia,2010,6.97
Croatia,2011,7.21
Croatia,2012,7.24
Croatia,2013,7.21
Cyprus,1975,5.8
Cyprus,1980,5.53
Cyprus,1985,5.53
Cyprus,1990,6.04
Cyprus,1995,6.41
Cyprus,2000,6.66
Cyprus,2001,6.59
Cyprus,2002,7.06
Cyprus,2003,6.97
Cyprus,2004,7.65
Cyprus,2005,7.66
Cyprus,2006,7.6
Cyprus,2007,7.77
Cyprus,2008,7.73
Cyprus,2009,7.58
Cyprus,2010,7.6
Cyprus,2011,7.53
Cyprus,2012,7.38
Cyprus,2013,6.94
Czech Republic,1995,6.16
Czech Republic,2000,6.9
Czech Republic,2001,6.92
Czech Republic,2002,7.03
Czech Republic,2003,6.98
Czech Republic,2004,7.09
Czech Republic,2005,7.15
Czech Republic,2006,7.19
Czech Republic,2007,7.38
Czech Republic,2008,7.41
Czech Republic,2009,7.33
Czech Republic,2010,7.35
Czech Republic,2011,7.39
Czech Republic,2012,7.54
Czech Republic,2013,7.49
Democratic Republic of Congo,1970,4.31
Democratic Republic of Congo,1975,3.71
Democratic Republic of Congo,1980,2.76
Democratic Republic of Congo,1985,3.84
Democratic Republic of Congo,1990,3.22
Democratic Republic of Congo,1995,3.51
Democratic Republic of Congo,2000,3.97
Democratic Republic of Congo,2001,3.96
Democratic Republic of Congo,2002,4.83
Democratic Republic of Congo,2003,4.91
Democratic Republic of Congo,2004,4.91
Democratic Republic of Congo,2005,4.88
Democratic Republic of Congo,2006,5.4
Democratic Republic of Congo,2007,5.49
Democratic Republic of Congo,2008,5.45
Democratic Republic of Congo,2009,5.53
Democratic Republic of Congo,2010,5.61
Democratic Republic of Congo,2011,5.58
Democratic Republic of Congo,2012,5.54
Democratic Republic of Congo,2013,5.8
Denmark,1970,6.83
Denmark,1975,6.23
Denmark,1980,6.38
Denmark,1985,6.52
Denmark,1990,7.25
Denmark,1995,7.73
Denmark,2000,8.07
Denmark,2001,7.84
Denmark,2002,7.93
Denmark,2003,8.06
Denmark,2004,8.04
Denmark,2005,7.94
Denmark,2006,7.95
Denmark,2007,7.96
Denmark,2008,7.87
Denmark,2009,7.64
Denmark,2010,7.75
Denmark,2011,7.69
Denmark,2012,7.55
Denmark,2013,7.63
Dominican Republic,1980,5.17
Dominican Republic,1985,4.92
Dominican Republic,1990,4.34
Dominican Republic,1995,5.99
Dominican Republic,2000,6.75
Dominican Republic,2001,6.73
Dominican Republic,2002,6.69
Dominican Republic,2003,6.19
Dominican Republic,2004,5.67
Dominican Republic,2005,6.42
Dominican Republic,2006,6.33
Dominican Republic,2007,6.41
Dominican Republic,2008,6.36
Dominican Republic,2009,6.85
Dominican Republic,2010,7.06
Dominican Republic,2011,7.08
Dominican Republic,2012,6.95
Dominican Republic,2013,7.12
Ecuador,1970,3.89
Ecuador,1975,4.91
Ecuador,1980,5.3
Ecuador,1985,4.39
Ecuador,1990,5.36
Ecuador,1995,6.17
Ecuador,2000,5.76
Ecuador,2001,5.59
Ecuador,2002,6.2
Ecuador,2003,6.19
Ecuador,2004,5.59
Ecuador,2005,5.85
Ecuador,2006,5.93
Ecuador,2007,5.77
Ecuador,2008,5.77
Ecuador,2009,5.76
Ecuador,2010,5.7
Ecuador,2011,5.71
Ecuador,2012,5.88
Ecuador,2013,5.86
Egypt,1975,3.59
Egypt,1980,4.4
Egypt,1985,4.86
Egypt,1990,4.6
Egypt,1995,5.99
Egypt,2000,6.8
Egypt,2001,6.6
Egypt,2002,6.21
Egypt,2003,6.09
Egypt,2004,6.17
Egypt,2005,6.58
Egypt,2006,6.71
Egypt,2007,6.95
Egypt,2008,6.78
Egypt,2009,6.68
Egypt,2010,6.79
Egypt,2011,6.61
Egypt,2012,6.57
Egypt,2013,6.62
El Salvador,1980,4.46
El Salvador,1985,4.19
El Salvador,1990,4.69
El Salvador,1995,7.47
El Salvador,2000,7.69
El Salvador,2001,7.64
El Salvador,2002,7.57
El Salvador,2003,7.61
El Salvador,2004,7.68
El Salvador,2005,7.67
El Salvador,2006,7.79
El Salvador,2007,7.87
El Salvador,2008,7.76
El Salvador,2009,7.53
El Salvador,2010,7.43
El Salvador,2011,7.36
El Salvador,2012,7.41
El Salvador,2013,7.47
Estonia,1995,6.07
Estonia,2000,7.51
Estonia,2001,7.57
Estonia,2002,7.65
Estonia,2003,7.76
Estonia,2004,7.89
Estonia,2005,7.97
Estonia,2006,7.95
Estonia,2007,7.84
Estonia,2008,7.73
Estonia,2009,7.67
Estonia,2010,7.76
Estonia,2011,7.69
Estonia,2012,7.62
Estonia,2013,7.59
Fiji,1975,5.27
Fiji,1980,5.57
Fiji,1985,5.97
Fiji,1990,5.72
Fiji,1995,6.11
Fiji,2000,6.23
Fiji,2001,6.13
Fiji,2002,6.18
Fiji,2003,6.15
Fiji,2004,6.29
Fiji,2005,6.63
Fiji,2006,6.46
Fiji,2007,6.47
Fiji,2008,6.51
Fiji,2009,6.39
Fiji,2010,6.36
Fiji,2011,6.47
Fiji,2012,6.38
Fiji,2013,6.21
Finland,1970,6.81
Finland,1975,6.15
Finland,1980,6.64
Finland,1985,6.92
Finland,1990,7.23
Finland,1995,7.5
Finland,2000,8.03
Finland,2001,8.01
Finland,2002,7.93
Finland,2003,7.95
Finland,2004,7.91
Finland,2005,7.87
Finland,2006,7.87
Finland,2007,7.91
Finland,2008,7.8
Finland,2009,7.69
Finland,2010,7.73
Finland,2011,7.81
Finland,2012,7.75
Finland,2013,7.62
France,1970,6.63
France,1975,5.93
France,1980,6.09
France,1985,5.99
France,1990,7.07
France,1995,7
France,2000,7.51
France,2001,7.17
France,2002,7.34
France,2003,7.38
France,2004,7.42
France,2005,7.36
France,2006,7.36
France,2007,7.56
France,2008,7.48
France,2009,7.47
France,2010,7.43
France,2011,7.34
France,2012,7.27
France,2013,7.17
Gabon,1980,4.51
Gabon,1985,5.09
Gabon,1990,5.48
Gabon,1995,5.39
Gabon,2000,5.82
Gabon,2001,5.63
Gabon,2002,5.57
Gabon,2003,5.64
Gabon,2004,5.67
Gabon,2005,5.6
Gabon,2006,5.78
Gabon,2007,5.69
Gabon,2008,5.73
Gabon,2009,5.69
Gabon,2010,5.63
Gabon,2011,5.53
Gabon,2012,5.5
Gabon,2013,5.52
Germany,1970,7.44
Germany,1975,6.85
Germany,1980,7.16
Germany,1985,7.25
Germany,1990,7.65
Germany,1995,7.65
Germany,2000,7.88
Germany,2001,7.65
Germany,2002,7.74
Germany,2003,7.84
Germany,2004,7.76
Germany,2005,7.78
Germany,2006,7.71
Germany,2007,7.63
Germany,2008,7.55
Germany,2009,7.59
Germany,2010,7.53
Germany,2011,7.63
Germany,2012,7.57
Germany,2013,7.53
Ghana,1975,3.64
Ghana,1980,3.05
Ghana,1985,3.2
Ghana,1990,5.06
Ghana,1995,5.53
Ghana,2000,5.66
Ghana,2001,5.77
Ghana,2002,6.13
Ghana,2003,6.39
Ghana,2004,6.4
Ghana,2005,6.48
Ghana,2006,6.98
Ghana,2007,7
Ghana,2008,6.88
Ghana,2009,7.02
Ghana,2010,6.67
Ghana,2011,6.55
Ghana,2012,6.22
Ghana,2013,6.31
Greece,1970,6.31
Greece,1975,5.84
Greece,1980,5.74
Greece,1985,5.12
Greece,1990,5.97
Greece,1995,6.46
Greece,2000,6.93
Greece,2001,6.81
Greece,2002,7.03
Greece,2003,7.36
Greece,2004,7.27
Greece,2005,7.33
Greece,2006,7.24
Greece,2007,7.2
Greece,2008,6.88
Greece,2009,6.74
Greece,2010,6.75
Greece,2011,6.64
Greece,2012,6.64
Greece,2013,6.82
Guatemala,1970,5.98
Guatemala,1975,6.46
Guatemala,1980,5.87
Guatemala,1985,4.68
Guatemala,1990,5.62
Guatemala,1995,6.96
Guatemala,2000,6.57
Guatemala,2001,6.62
Guatemala,2002,6.8
Guatemala,2003,6.91
Guatemala,2004,7.02
Guatemala,2005,7.15
Guatemala,2006,7.36
Guatemala,2007,7.38
Guatemala,2008,6.96
Guatemala,2009,7.16
Guatemala,2010,7.24
Guatemala,2011,7.26
Guatemala,2012,7.22
Guatemala,2013,7.38
Guinea-Bissau,1990,2.98
Guinea-Bissau,1995,3.17
Guinea-Bissau,2000,4.07
Guinea-Bissau,2001,4.55
Guinea-Bissau,2002,4.6
Guinea-Bissau,2003,4.79
Guinea-Bissau,2004,4.69
Guinea-Bissau,2005,4.83
Guinea-Bissau,2006,5.11
Guinea-Bissau,2007,4.82
Guinea-Bissau,2008,4.86
Guinea-Bissau,2009,5.26
Guinea-Bissau,2010,5.48
Guinea-Bissau,2011,5.54
Guinea-Bissau,2012,5.78
Guinea-Bissau,2013,5.83
Guyana,1995,5.05
Guyana,2000,6.53
Guyana,2001,6.36
Guyana,2002,6.13
Guyana,2003,6.01
Guyana,2004,5.84
Guyana,2005,6.12
Guyana,2006,6.28
Guyana,2007,6.48
Guyana,2008,6.7
Guyana,2009,6.62
Guyana,2010,6.5
Guyana,2011,6.64
Guyana,2012,6.69
Guyana,2013,6.53
Haiti,1980,6.57
Haiti,1985,5.81
Haiti,1990,5.66
Haiti,1995,5.64
Haiti,2000,6.95
Haiti,2001,6.75
Haiti,2002,6.71
Haiti,2003,6.82
Haiti,2004,6.91
Haiti,2005,6.94
Haiti,2006,6.92
Haiti,2007,6.89
Haiti,2008,7.06
Haiti,2009,7.17
Haiti,2010,6.87
Haiti,2011,7
Haiti,2012,6.83
Haiti,2013,7.22
Honduras,1980,5.97
Honduras,1985,5.38
Honduras,1990,5.45
Honduras,1995,6.26
Honduras,2000,6.67
Honduras,2001,6.47
Honduras,2002,6.72
Honduras,2003,6.78
Honduras,2004,6.78
Honduras,2005,6.85
Honduras,2006,7.17
Honduras,2007,7.21
Honduras,2008,7.12
Honduras,2009,6.96
Honduras,2010,7.04
Honduras,2011,7.11
Honduras,2012,7
Honduras,2013,7.05
Hong Kong,1970,8.7
Hong Kong,1975,8.72
Hong Kong,1980,9.03
Hong Kong,1985,8.64
Hong Kong,1990,8.6
Hong Kong,1995,9.15
Hong Kong,2000,8.86
Hong Kong,2001,8.81
Hong Kong,2002,8.77
Hong Kong,2003,8.82
Hong Kong,2004,8.76
Hong Kong,2005,8.95
Hong Kong,2006,8.96
Hong Kong,2007,9.03
Hong Kong,2008,9.07
Hong Kong,2009,9
Hong Kong,2010,8.86
Hong Kong,2011,8.82
Hong Kong,2012,8.88
Hong Kong,2013,8.87
Hungary,1980,3.94
Hungary,1985,4.68
Hungary,1990,5.04
Hungary,1995,6.2
Hungary,2000,7.08
Hungary,2001,7.3
Hungary,2002,7.04
Hungary,2003,7.12
Hungary,2004,7.26
Hungary,2005,7.24
Hungary,2006,7.15
Hungary,2007,7.16
Hungary,2008,7.21
Hungary,2009,7.31
Hungary,2010,7.32
Hungary,2011,7.4
Hungary,2012,7.34
Hungary,2013,7.29
Iceland,1970,6.13
Iceland,1975,4.4
Iceland,1980,5.25
Iceland,1985,5.53
Iceland,1990,6.95
Iceland,1995,7.69
Iceland,2000,8.04
Iceland,2001,7.93
Iceland,2002,7.8
Iceland,2003,8.06
Iceland,2004,8.07
Iceland,2005,8.11
Iceland,2006,8
Iceland,2007,7.86
Iceland,2008,7.05
Iceland,2009,6.63
Iceland,2010,6.41
Iceland,2011,6.74
Iceland,2012,6.82
Iceland,2013,6.85
India,1970,5.35
India,1975,4.49
India,1980,5.34
India,1985,5.01
India,1990,5.05
India,1995,5.8
India,2000,6.34
India,2001,6.17
India,2002,6.4
India,2003,6.51
India,2004,6.47
India,2005,6.9
India,2006,6.7
India,2007,6.78
India,2008,6.69
India,2009,6.64
India,2010,6.59
India,2011,6.79
India,2012,6.78
India,2013,6.61
Indonesia,1970,4.54
Indonesia,1975,5.2
Indonesia,1980,5.05
Indonesia,1985,6.13
Indonesia,1990,6.5
Indonesia,1995,6.62
Indonesia,2000,6.07
Indonesia,2001,5.68
Indonesia,2002,6.02
Indonesia,2003,6.39
Indonesia,2004,6.31
Indonesia,2005,6.64
Indonesia,2006,6.7
Indonesia,2007,6.77
Indonesia,2008,6.75
Indonesia,2009,6.78
Indonesia,2010,7.05
Indonesia,2011,7.07
Indonesia,2012,7.05
Indonesia,2013,7.17
Iran,1970,5.81
Iran,1975,5.65
Iran,1980,3.37
Iran,1985,3.84
Iran,1990,4.4
Iran,1995,4.32
Iran,2000,5.87
Iran,2001,6.27
Iran,2002,6.11
Iran,2003,6.21
Iran,2004,6.37
Iran,2005,6.49
Iran,2006,6.36
Iran,2007,6.31
Iran,2008,6.35
Iran,2009,6.46
Iran,2010,6.41
Iran,2011,6.04
Iran,2012,5.42
Iran,2013,5.65
Ireland,1970,6.79
Ireland,1975,5.97
Ireland,1980,6.47
Ireland,1985,6.54
Ireland,1990,7.13
Ireland,1995,8.28
Ireland,2000,8.21
Ireland,2001,7.91
Ireland,2002,7.96
Ireland,2003,8.15
Ireland,2004,8.25
Ireland,2005,8.4
Ireland,2006,8.26
Ireland,2007,8.2
Ireland,2008,7.97
Ireland,2009,7.75
Ireland,2010,7.75
Ireland,2011,7.91
Ireland,2012,8.07
Ireland,2013,8.07
Israel,1970,4.83
Israel,1975,4.08
Israel,1980,3.67
Israel,1985,4.25
Israel,1990,4.92
Israel,1995,6.38
Israel,2000,7.12
Israel,2001,7.04
Israel,2002,7.48
Israel,2003,7.49
Israel,2004,7.46
Israel,2005,7.63
Israel,2006,7.52
Israel,2007,7.53
Israel,2008,7.49
Israel,2009,7.39
Israel,2010,7.6
Israel,2011,7.62
Israel,2012,7.63
Israel,2013,7.69
Italy,1970,5.99
Italy,1975,5.18
Italy,1980,5.38
Italy,1985,5.57
Italy,1990,6.61
Italy,1995,6.66
Italy,2000,7.56
Italy,2001,7.4
Italy,2002,7.49
Italy,2003,7.15
Italy,2004,7.24
Italy,2005,7.33
Italy,2006,7.22
Italy,2007,7.15
Italy,2008,7.06
Italy,2009,6.92
Italy,2010,7.11
Italy,2011,7.14
Italy,2012,7.14
Italy,2013,7.09
Jamaica,1980,3.92
Jamaica,1985,4.85
Jamaica,1990,5.48
Jamaica,1995,6.65
Jamaica,2000,7.58
Jamaica,2001,7.34
Jamaica,2002,7.38
Jamaica,2003,7.46
Jamaica,2004,7.56
Jamaica,2005,7.64
Jamaica,2006,7.62
Jamaica,2007,7.47
Jamaica,2008,7.25
Jamaica,2009,7.33
Jamaica,2010,7.12
Jamaica,2011,7.15
Jamaica,2012,7.28
Jamaica,2013,7.46
Japan,1970,6.79
Japan,1975,6.38
Japan,1980,6.89
Japan,1985,7.06
Japan,1990,7.56
Japan,1995,7.47
Japan,2000,7.91
Japan,2001,7.53
Japan,2002,7.47
Japan,2003,7.83
Japan,2004,7.75
Japan,2005,7.81
Japan,2006,7.8
Japan,2007,7.78
Japan,2008,7.64
Japan,2009,7.49
Japan,2010,7.51
Japan,2011,7.42
Japan,2012,7.58
Japan,2013,7.5
Jordan,1975,5.31
Jordan,1980,5.35
Jordan,1985,5.74
Jordan,1990,5.85
Jordan,1995,6.51
Jordan,2000,7.45
Jordan,2001,7.09
Jordan,2002,7.42
Jordan,2003,7.42
Jordan,2004,7.3
Jordan,2005,7.58
Jordan,2006,7.51
Jordan,2007,7.66
Jordan,2008,7.5
Jordan,2009,7.53
Jordan,2010,7.75
Jordan,2011,7.75
Jordan,2012,7.84
