Entity,Year,"Human Development Index (HDI), 1980-2014 - UN"
Chile,2010,0.808
Chile,2011,0.815
Chile,2012,0.819
Chile,2013,0.822
China,1980,0.423
China,1990,0.502
China,2000,0.591
China,2005,0.645
China,2008,0.682
China,2010,0.701
China,2011,0.71
China,2012,0.715
China,2013,0.719
Colombia,1980,0.557
Colombia,1990,0.596
Colombia,2000,0.655
Colombia,2005,0.68
Colombia,2008,0.7
Colombia,2010,0.706
Colombia,2011,0.71
Colombia,2012,0.708
Colombia,2013,0.711
Comoros,2005,0.464
Comoros,2008,0.474
Comoros,2010,0.479
Comoros,2011,0.483
Comoros,2012,0.486
Comoros,2013,0.488
Congo,1980,0.542
Congo,1990,0.553
Congo,2000,0.501
Congo,2005,0.525
Congo,2008,0.548
Congo,2010,0.565
Congo,2011,0.549
Congo,2012,0.561
Congo,2013,0.564
Costa Rica,1980,0.605
Costa Rica,1990,0.652
Costa Rica,2000,0.705
Costa Rica,2005,0.721
Costa Rica,2008,0.744
Costa Rica,2010,0.75
Costa Rica,2011,0.758
Costa Rica,2012,0.761
Costa Rica,2013,0.763
Cote d'Ivoire,1980,0.377
Cote d'Ivoire,1990,0.38
Cote d'Ivoire,2000,0.393
Cote d'Ivoire,2005,0.407
Cote d'Ivoire,2008,0.427
Cote d'Ivoire,2010,0.439
Cote d'Ivoire,2011,0.443
Cote d'Ivoire,2012,0.448
Cote d'Ivoire,2013,0.452
Croatia,1990,0.689
Croatia,2000,0.748
Croatia,2005,0.781
Croatia,2008,0.801
Croatia,2010,0.806
Croatia,2011,0.812
Croatia,2012,0.812
Croatia,2013,0.812
Cuba,1980,0.681
Cuba,1990,0.729
Cuba,2000,0.742
Cuba,2005,0.786
Cuba,2008,0.83
Cuba,2010,0.824
Cuba,2011,0.819
Cuba,2012,0.813
Cuba,2013,0.815
Cyprus,1980,0.661
Cyprus,1990,0.726
Cyprus,2000,0.8
Cyprus,2005,0.828
Cyprus,2008,0.844
Cyprus,2010,0.848
Cyprus,2011,0.85
Cyprus,2012,0.848
Cyprus,2013,0.845
Czech Republic,1990,0.762
Czech Republic,2000,0.806
Czech Republic,2005,0.845
Czech Republic,2008,0.856
Czech Republic,2010,0.858
Czech Republic,2011,0.861
Czech Republic,2012,0.861
Czech Republic,2013,0.861
Democratic Republic of Congo,1980,0.336
Democratic Republic of Congo,1990,0.319
Democratic Republic of Congo,2000,0.274
Democratic Republic of Congo,2005,0.292
Democratic Republic of Congo,2008,0.307
Democratic Republic of Congo,2010,0.319
Democratic Republic of Congo,2011,0.323
Democratic Republic of Congo,2012,0.333
Democratic Republic of Congo,2013,0.338
Denmark,1980,0.781
Denmark,1990,0.806
Denmark,2000,0.859
Denmark,2005,0.891
Denmark,2008,0.896
Denmark,2010,0.898
Denmark,2011,0.899
Denmark,2012,0.9
Denmark,2013,0.9
Djibouti,2005,0.412
Djibouti,2008,0.438
Djibouti,2010,0.452
Djibouti,2011,0.461
Djibouti,2012,0.465
Djibouti,2013,0.467
Dominica,2000,0.691
Dominica,2005,0.708
Dominica,2008,0.712
Dominica,2010,0.717
Dominica,2011,0.718
Dominica,2012,0.716
Dominica,2013,0.717
Dominican Republic,1980,0.527
Dominican Republic,1990,0.589
Dominican Republic,2000,0.645
Dominican Republic,2005,0.668
Dominican Republic,2008,0.684
Dominican Republic,2010,0.691
Dominican Republic,2011,0.695
Dominican Republic,2012,0.698
Dominican Republic,2013,0.7
Ecuador,1980,0.605
Ecuador,1990,0.643
Ecuador,2000,0.658
Ecuador,2005,0.687
Ecuador,2008,0.697
Ecuador,2010,0.701
Ecuador,2011,0.705
Ecuador,2012,0.708
Ecuador,2013,0.711
Egypt,1980,0.452
Egypt,1990,0.546
Egypt,2000,0.621
Egypt,2005,0.645
Egypt,2008,0.667
Egypt,2010,0.678
Egypt,2011,0.679
Egypt,2012,0.681
Egypt,2013,0.682
El Salvador,1980,0.517
El Salvador,1990,0.529
El Salvador,2000,0.607
El Salvador,2005,0.64
El Salvador,2008,0.648
El Salvador,2010,0.652
El Salvador,2011,0.657
El Salvador,2012,0.66
El Salvador,2013,0.662
Equatorial Guinea,2000,0.476
Equatorial Guinea,2005,0.517
Equatorial Guinea,2008,0.543
Equatorial Guinea,2010,0.559
Equatorial Guinea,2011,0.553
Equatorial Guinea,2012,0.556
Equatorial Guinea,2013,0.556
Eritrea,2010,0.373
Eritrea,2011,0.377
Eritrea,2012,0.38
Eritrea,2013,0.381
Estonia,1990,0.73
Estonia,2000,0.776
Estonia,2005,0.821
Estonia,2008,0.832
Estonia,2010,0.83
Estonia,2011,0.836
Estonia,2012,0.839
Estonia,2013,0.84
Ethiopia,2000,0.284
Ethiopia,2005,0.339
Ethiopia,2008,0.394
Ethiopia,2010,0.409
Ethiopia,2011,0.422
Ethiopia,2012,0.429
Ethiopia,2013,0.435
Fiji,1980,0.587
Fiji,1990,0.619
Fiji,2000,0.674
Fiji,2005,0.694
Fiji,2008,0.712
Fiji,2010,0.721
Fiji,2011,0.722
Fiji,2012,0.722
Fiji,2013,0.724
Finland,1980,0.752
Finland,1990,0.792
Finland,2000,0.841
Finland,2005,0.869
Finland,2008,0.878
Finland,2010,0.877
Finland,2011,0.879
Finland,2012,0.879
Finland,2013,0.879
France,1980,0.722
France,1990,0.779
France,2000,0.848
France,2005,0.867
France,2008,0.875
France,2010,0.879
France,2011,0.882
France,2012,0.884
France,2013,0.884
Gabon,1980,0.54
Gabon,1990,0.619
Gabon,2000,0.632
Gabon,2005,0.644
Gabon,2008,0.654
Gabon,2010,0.662
Gabon,2011,0.666
Gabon,2012,0.67
Gabon,2013,0.674
Gambia,1980,0.3
Gambia,1990,0.334
Gambia,2000,0.383
Gambia,2005,0.414
Gambia,2008,0.432
Gambia,2010,0.44
Gambia,2011,0.436
Gambia,2012,0.438
Gambia,2013,0.441
Georgia,2005,0.71
Georgia,2008,0.73
Georgia,2010,0.733
Georgia,2011,0.736
Georgia,2012,0.741
Georgia,2013,0.744
Germany,1980,0.739
Germany,1990,0.782
Germany,2000,0.854
Germany,2005,0.887
Germany,2008,0.902
Germany,2010,0.904
Germany,2011,0.908
Germany,2012,0.911
Germany,2013,0.911
Ghana,1980,0.423
Ghana,1990,0.502
Ghana,2000,0.487
Ghana,2005,0.511
Ghana,2008,0.544
Ghana,2010,0.556
Ghana,2011,0.566
Ghana,2012,0.571
Ghana,2013,0.573
Greece,1980,0.713
Greece,1990,0.749
Greece,2000,0.798
Greece,2005,0.853
Greece,2008,0.858
Greece,2010,0.856
Greece,2011,0.854
Greece,2012,0.854
Greece,2013,0.853
Grenada,2010,0.746
Grenada,2011,0.747
Grenada,2012,0.743
Grenada,2013,0.744
Guatemala,1980,0.445
Guatemala,1990,0.483
Guatemala,2000,0.551
Guatemala,2005,0.576
Guatemala,2008,0.601
Guatemala,2010,0.613
Guatemala,2011,0.62
Guatemala,2012,0.626
Guatemala,2013,0.628
Guinea,2005,0.366
Guinea,2008,0.377
Guinea,2010,0.38
Guinea,2011,0.387
Guinea,2012,0.391
Guinea,2013,0.392
Guinea-Bissau,2005,0.387
Guinea-Bissau,2008,0.397
Guinea-Bissau,2010,0.401
Guinea-Bissau,2011,0.402
Guinea-Bissau,2012,0.396
Guinea-Bissau,2013,0.396
Guyana,1980,0.516
Guyana,1990,0.505
Guyana,2000,0.57
Guyana,2005,0.584
Guyana,2008,0.621
Guyana,2010,0.626
Guyana,2011,0.632
Guyana,2012,0.635
Guyana,2013,0.638
Haiti,1980,0.352
Haiti,1990,0.413
Haiti,2000,0.433
Haiti,2005,0.447
Haiti,2008,0.458
Haiti,2010,0.462
Haiti,2011,0.466
Haiti,2012,0.469
Haiti,2013,0.471
Honduras,1980,0.461
Honduras,1990,0.507
Honduras,2000,0.558
Honduras,2005,0.584
Honduras,2008,0.604
Honduras,2010,0.612
Honduras,2011,0.615
Honduras,2012,0.616
Honduras,2013,0.617
Hong Kong,1980,0.698
Hong Kong,1990,0.775
Hong Kong,2000,0.81
Hong Kong,2005,0.839
Hong Kong,2008,0.877
Hong Kong,2010,0.882
Hong Kong,2011,0.886
Hong Kong,2012,0.889
Hong Kong,2013,0.891
Hungary,1980,0.696
Hungary,1990,0.701
Hungary,2000,0.774
Hungary,2005,0.805
Hungary,2008,0.814
Hungary,2010,0.817
Hungary,2011,0.817
Hungary,2012,0.817
Hungary,2013,0.818
Iceland,1980,0.754
Iceland,1990,0.8
Iceland,2000,0.858
Iceland,2005,0.888
Iceland,2008,0.886
Iceland,2010,0.886
Iceland,2011,0.89
Iceland,2012,0.893
Iceland,2013,0.895
India,1980,0.369
India,1990,0.431
India,2000,0.483
India,2005,0.527
India,2008,0.554
India,2010,0.57
India,2011,0.581
India,2012,0.583
India,2013,0.586
Indonesia,1980,0.471
Indonesia,1990,0.528
Indonesia,2000,0.609
Indonesia,2005,0.64
Indonesia,2008,0.654
Indonesia,2010,0.671
Indonesia,2011,0.678
Indonesia,2012,0.681
Indonesia,2013,0.684
Iran,1980,0.49
Iran,1990,0.552
Iran,2000,0.652
Iran,2005,0.681
Iran,2008,0.711
Iran,2010,0.725
Iran,2011,0.733
Iran,2012,0.749
Iran,2013,0.749
Iraq,1980,0.5
Iraq,1990,0.508
Iraq,2000,0.606
Iraq,2005,0.621
Iraq,2008,0.632
Iraq,2010,0.638
Iraq,2011,0.639
Iraq,2012,0.641
Iraq,2013,0.642
Ireland,1980,0.734
Ireland,1990,0.775
Ireland,2000,0.862
Ireland,2005,0.89
Ireland,2008,0.902
Ireland,2010,0.899
Ireland,2011,0.9
Ireland,2012,0.901
Ireland,2013,0.899
Israel,1980,0.749
Israel,1990,0.785
Israel,2000,0.849
Israel,2005,0.869
Israel,2008,0.877
Israel,2010,0.881
Israel,2011,0.885
Israel,2012,0.886
Israel,2013,0.888
Italy,1980,0.718
Italy,1990,0.763
Italy,2000,0.825
Italy,2005,0.858
Italy,2008,0.868
Italy,2010,0.869
Italy,2011,0.872
Italy,2012,0.872
Italy,2013,0.872
Jamaica,1980,0.614
Jamaica,1990,0.638
Jamaica,2000,0.671
Jamaica,2005,0.7
Jamaica,2008,0.71
Jamaica,2010,0.712
Jamaica,2011,0.714
Jamaica,2012,0.715
Jamaica,2013,0.715
Japan,1980,0.772
Japan,1990,0.817
Japan,2000,0.858
Japan,2005,0.873
Japan,2008,0.881
Japan,2010,0.884
Japan,2011,0.887
Japan,2012,0.888
Japan,2013,0.89
Jordan,1980,0.587
Jordan,1990,0.622
Jordan,2000,0.705
Jordan,2005,0.733
Jordan,2008,0.746
Jordan,2010,0.744
Jordan,2011,0.744
Jordan,2012,0.744
Jordan,2013,0.745
Kazakhstan,1990,0.686
Kazakhstan,2000,0.679
Kazakhstan,2005,0.734
Kazakhstan,2008,0.744
Kazakhstan,2010,0.747
Kazakhstan,2011,0.75
Kazakhstan,2012,0.755
Kazakhstan,2013,0.757
Kenya,1980,0.446
Kenya,1990,0.471
Kenya,2000,0.455
Kenya,2005,0.479
Kenya,2008,0.508
Kenya,2010,0.522
Kenya,2011,0.527
Kenya,2012,0.531
Kenya,2013,0.535
Kiribati,2010,0.599
Kiribati,2011,0.599
Kiribati,2012,0.606
Kiribati,2013,0.607
Kuwait,1980,0.702
Kuwait,1990,0.723
Kuwait,2000,0.804
Kuwait,2005,0.795
Kuwait,2008,0.8
Kuwait,2010,0.807
Kuwait,2011,0.81
Kuwait,2012,0.813
Kuwait,2013,0.814
Kyrgyzstan,1990,0.607
Kyrgyzstan,2000,0.586
Kyrgyzstan,2005,0.605
Kyrgyzstan,2008,0.617
Kyrgyzstan,2010,0.614
Kyrgyzstan,2011,0.618
Kyrgyzstan,2012,0.621
Kyrgyzstan,2013,0.628
Laos,1980,0.34
Laos,1990,0.395
Laos,2000,0.473
Laos,2005,0.511
Laos,2008,0.533
Laos,2010,0.549
Laos,2011,0.56
Laos,2012,0.565
Laos,2013,0.569
Latvia,1990,0.71
Latvia,2000,0.729
Latvia,2005,0.786
Latvia,2008,0.813
Latvia,2010,0.809
Latvia,2011,0.804
Latvia,2012,0.808
Latvia,2013,0.81
Lebanon,2005,0.741
Lebanon,2008,0.75
Lebanon,2010,0.759
Lebanon,2011,0.764
Lebanon,2012,0.764
Lebanon,2013,0.765
Lesotho,1980,0.443
Lesotho,1990,0.493
Lesotho,2000,0.443
Lesotho,2005,0.437
Lesotho,2008,0.456
Lesotho,2010,0.472
Lesotho,2011,0.476
Lesotho,2012,0.481
Lesotho,2013,0.486
Liberia,2000,0.339
Liberia,2005,0.335
Liberia,2008,0.374
Liberia,2010,0.393
Liberia,2011,0.402
Liberia,2012,0.407
Liberia,2013,0.412
Libya,1980,0.641
Libya,1990,0.684
Libya,2000,0.745
Libya,2005,0.772
Libya,2008,0.789
Libya,2010,0.799
Libya,2011,0.753
Libya,2012,0.789
Libya,2013,0.784
Liechtenstein,2010,0.882
Liechtenstein,2011,0.887
Liechtenstein,2012,0.888
Liechtenstein,2013,0.889
Lithuania,1990,0.737
Lithuania,2000,0.757
Lithuania,2005,0.806
Lithuania,2008,0.827
Lithuania,2010,0.829
Lithuania,2011,0.828
Lithuania,2012,0.831
Lithuania,2013,0.834
Luxembourg,1980,0.729
Luxembourg,1990,0.786
Luxembourg,2000,0.866
Luxembourg,2005,0.876
Luxembourg,2008,0.882
Luxembourg,2010,0.881
Luxembourg,2011,0.881
Luxembourg,2012,0.88
Luxembourg,2013,0.881
Macedonia,2005,0.699
Macedonia,2008,0.724
Macedonia,2010,0.728
Macedonia,2011,0.73
Macedonia,2012,0.73
Macedonia,2013,0.732
Madagascar,2000,0.453
Madagascar,2005,0.47
Madagascar,2008,0.487
Madagascar,2010,0.494
Madagascar,2011,0.495
Madagascar,2012,0.496
Madagascar,2013,0.498
Malawi,1980,0.27
Malawi,1990,0.283
Malawi,2000,0.341
Malawi,2005,0.368
Malawi,2008,0.395
Malawi,2010,0.406
Malawi,2011,0.411
Malawi,2012,0.411
Malawi,2013,0.414
Malaysia,1980,0.577
Malaysia,1990,0.641
Malaysia,2000,0.717
Malaysia,2005,0.747
Malaysia,2008,0.76
Malaysia,2010,0.766
Malaysia,2011,0.768
Malaysia,2012,0.77
Malaysia,2013,0.773
Maldives,2000,0.599
Maldives,2005,0.659
Maldives,2008,0.675
Maldives,2010,0.688
Maldives,2011,0.692
Maldives,2012,0.695
Maldives,2013,0.698
Mali,1980,0.208
Mali,1990,0.232
Mali,2000,0.309
Mali,2005,0.359
Mali,2008,0.385
Mali,2010,0.398
Mali,2011,0.405
Mali,2012,0.406
Mali,2013,0.407
Malta,1980,0.704
Malta,1990,0.73
Malta,2000,0.77
Malta,2005,0.801
Malta,2008,0.809
Malta,2010,0.821
Malta,2011,0.823
Malta,2012,0.827
Malta,2013,0.829
Mauritania,1980,0.347
Mauritania,1990,0.367
Mauritania,2000,0.433
Mauritania,2005,0.455
Mauritania,2008,0.466
Mauritania,2010,0.475
Mauritania,2011,0.475
Mauritania,2012,0.485
Mauritania,2013,0.487
Mauritius,1980,0.558
Mauritius,1990,0.621
Mauritius,2000,0.686
Mauritius,2005,0.722
Mauritius,2008,0.741
Mauritius,2010,0.753
Mauritius,2011,0.759
Mauritius,2012,0.769
Mauritius,2013,0.771
Mexico,1980,0.595
Mexico,1990,0.647
Mexico,2000,0.699
Mexico,2005,0.724
Mexico,2008,0.739
Mexico,2010,0.748
Mexico,2011,0.752
Mexico,2012,0.755
Mexico,2013,0.756
Micronesia (country),2010,0.627
Micronesia (country),2011,0.627
Micronesia (country),2012,0.629
Micronesia (country),2013,0.63
Moldova,1990,0.645
Moldova,2000,0.598
Moldova,2005,0.639
Moldova,2008,0.652
Moldova,2010,0.652
Moldova,2011,0.656
Moldova,2012,0.657
Moldova,2013,0.663
Mongolia,1980,0.515
Mongolia,1990,0.552
Mongolia,2000,0.58
Mongolia,2005,0.637
Mongolia,2008,0.665
Mongolia,2010,0.671
Mongolia,2011,0.682
Mongolia,2012,0.692
Mongolia,2013,0.698
Montenegro,2005,0.75
Montenegro,2008,0.78
Montenegro,2010,0.784
Montenegro,2011,0.787
Montenegro,2012,0.787
Montenegro,2013,0.789
Morocco,1980,0.399
Morocco,1990,0.459
Morocco,2000,0.526
Morocco,2005,0.569
Morocco,2008,0.588
Morocco,2010,0.603
Morocco,2011,0.612
Morocco,2012,0.614
Morocco,2013,0.617
Mozambique,1980,0.246
Mozambique,1990,0.216
Mozambique,2000,0.285
Mozambique,2005,0.343
Mozambique,2008,0.366
Mozambique,2010,0.38
Mozambique,2011,0.384
Mozambique,2012,0.389
Mozambique,2013,0.393
Myanmar,1980,0.328
Myanmar,1990,0.347
Myanmar,2000,0.421
Myanmar,2005,0.472
Myanmar,2008,0.5
Myanmar,2010,0.514
Myanmar,2011,0.517
Myanmar,2012,0.52
Myanmar,2013,0.524
Namibia,1980,0.55
Namibia,1990,0.577
Namibia,2000,0.556
Namibia,2005,0.57
Namibia,2008,0.598
Namibia,2010,0.61
Namibia,2011,0.616
Namibia,2012,0.62
Namibia,2013,0.624
Nepal,1980,0.286
Nepal,1990,0.388
Nepal,2000,0.449
Nepal,2005,0.477
Nepal,2008,0.501
Nepal,2010,0.527
Nepal,2011,0.533
Nepal,2012,0.537
Nepal,2013,0.54
Netherlands,1980,0.783
Netherlands,1990,0.826
Netherlands,2000,0.874
Netherlands,2005,0.888
Netherlands,2008,0.901
Netherlands,2010,0.904
Netherlands,2011,0.914
Netherlands,2012,0.915
Netherlands,2013,0.915
New Zealand,1980,0.793
New Zealand,1990,0.821
New Zealand,2000,0.873
New Zealand,2005,0.894
New Zealand,2008,0.899
New Zealand,2010,0.903
New Zealand,2011,0.904
New Zealand,2012,0.908
New Zealand,2013,0.91
Nicaragua,1980,0.483
Nicaragua,1990,0.491
Nicaragua,2000,0.554
Nicaragua,2005,0.585
Nicaragua,2008,0.599
Nicaragua,2010,0.604
Nicaragua,2011,0.608
Nicaragua,2012,0.611
Nicaragua,2013,0.614
Niger,1980,0.191
Niger,1990,0.218
Niger,2000,0.262
Niger,2005,0.293
Niger,2008,0.309
Niger,2010,0.323
Niger,2011,0.328
Niger,2012,0.335
Niger,2013,0.337
Nigeria,2005,0.466
Nigeria,2008,0.483
Nigeria,2010,0.492
Nigeria,2011,0.496
Nigeria,2012,0.5
Nigeria,2013,0.504
Norway,1980,0.793
Norway,1990,0.841
Norway,2000,0.91
Norway,2005,0.935
Norway,2008,0.937
Norway,2010,0.939
Norway,2011,0.941
Norway,2012,0.943
Norway,2013,0.944
Oman,2005,0.733
Oman,2008,0.714
Oman,2010,0.78
Oman,2011,0.781
Oman,2012,0.781
Oman,2013,0.783
Pakistan,1980,0.356
Pakistan,1990,0.402
Pakistan,2000,0.454
Pakistan,2005,0.504
Pakistan,2008,0.536
Pakistan,2010,0.526
Pakistan,2011,0.531
Pakistan,2012,0.535
Pakistan,2013,0.537
Palau,2000,0.741
Palau,2005,0.771
Palau,2008,0.772
Palau,2010,0.768
Palau,2011,0.77
Palau,2012,0.773
Palau,2013,0.775
Palestine,2005,0.649
Palestine,2008,0.672
Palestine,2010,0.671
Palestine,2011,0.679
Palestine,2012,0.683
Palestine,2013,0.686
Panama,1980,0.627
Panama,1990,0.651
Panama,2000,0.709
Panama,2005,0.728
Panama,2008,0.752
Panama,2010,0.759
Panama,2011,0.757
Panama,2012,0.761
Panama,2013,0.765
Papua New Guinea,1980,0.323
Papua New Guinea,1990,0.363
Papua New Guinea,2000,0.423
Papua New Guinea,2005,0.441
Papua New Guinea,2008,0.467
Papua New Guinea,2010,0.479
Papua New Guinea,2011,0.484
Papua New Guinea,2012,0.49
Papua New Guinea,2013,0.491
Paraguay,1980,0.55
Paraguay,1990,0.581
Paraguay,2000,0.625
Paraguay,2005,0.648
Paraguay,2008,0.661
Paraguay,2010,0.669
Paraguay,2011,0.672
Paraguay,2012,0.67
Paraguay,2013,0.676
Peru,1980,0.595
Peru,1990,0.615
Peru,2000,0.682
Peru,2005,0.694
Peru,2008,0.707
Peru,2010,0.722
Peru,2011,0.727
Peru,2012,0.734
Peru,2013,0.737
Philippines,1980,0.566
Philippines,1990,0.591
Philippines,2000,0.619
Philippines,2005,0.638
Philippines,2008,0.648
Philippines,2010,0.651
Philippines,2011,0.652
Philippines,2012,0.656
Philippines,2013,0.66
Poland,1980,0.687
Poland,1990,0.714
Poland,2000,0.784
Poland,2005,0.803
Poland,2008,0.817
Poland,2010,0.826
Poland,2011,0.83
Poland,2012,0.833
Poland,2013,0.834
Portugal,1980,0.643
Portugal,1990,0.708
Portugal,2000,0.78
Portugal,2005,0.79
Portugal,2008,0.805
Portugal,2010,0.816
Portugal,2011,0.819
Portugal,2012,0.822
Portugal,2013,0.822
Qatar,1980,0.729
Qatar,1990,0.756
Qatar,2000,0.811
Qatar,2005,0.84
Qatar,2008,0.855
