Entity,Year,SRES A1 (GDP per capita; downscaling by Pretis & Roser (2016))
Argentina,2085,5420000000000
Argentina,2090,5780000000000
Argentina,2095,6140000000000
Argentina,2100,6510000000000
Armenia,1990,4120000000
Armenia,1995,3620000000
Armenia,2000,3170000000
Armenia,2005,4320000000
Armenia,2010,5880000000
Armenia,2015,8400000000
Armenia,2020,10900000000
Armenia,2025,15600000000
Armenia,2030,20200000000
Armenia,2035,27000000000
Armenia,2040,33700000000
Armenia,2045,40500000000
Armenia,2050,47300000000
Armenia,2055,54600000000
Armenia,2060,61800000000
Armenia,2065,69100000000
Armenia,2070,76400000000
Armenia,2075,83700000000
Armenia,2080,93100000000
Armenia,2085,102000000000
Armenia,2090,112000000000
Armenia,2095,121000000000
Armenia,2100,130000000000
Australia,1990,310000000000
Australia,1995,340000000000
Australia,2000,372000000000
Australia,2005,404000000000
Australia,2010,441000000000
Australia,2015,482000000000
Australia,2020,523000000000
Australia,2025,571000000000
Australia,2030,620000000000
Australia,2035,673000000000
Australia,2040,726000000000
Australia,2045,780000000000
Australia,2050,833000000000
Australia,2055,896000000000
Australia,2060,958000000000
Australia,2065,1020000000000
Australia,2070,1080000000000
Australia,2075,1150000000000
Australia,2080,1220000000000
Australia,2085,1290000000000
Australia,2090,1370000000000
Australia,2095,1440000000000
Australia,2100,1510000000000
Austria,1990,162000000000
Austria,1995,182000000000
Austria,2000,203000000000
Austria,2005,224000000000
Austria,2010,248000000000
Austria,2015,276000000000
Austria,2020,304000000000
Austria,2025,338000000000
Austria,2030,372000000000
Austria,2035,410000000000
Austria,2040,449000000000
Austria,2045,487000000000
Austria,2050,525000000000
Austria,2055,580000000000
Austria,2060,635000000000
Austria,2065,689000000000
Austria,2070,744000000000
Austria,2075,799000000000
Austria,2080,875000000000
Austria,2085,952000000000
Austria,2090,1030000000000
Austria,2095,1110000000000
Austria,2100,1180000000000
Azerbaijan,1990,9840000000
Azerbaijan,1995,8630000000
Azerbaijan,2000,7570000000
Azerbaijan,2005,10300000000
Azerbaijan,2010,14000000000
Azerbaijan,2015,20000000000
Azerbaijan,2020,26000000000
Azerbaijan,2025,37100000000
Azerbaijan,2030,48200000000
Azerbaijan,2035,64300000000
Azerbaijan,2040,80500000000
Azerbaijan,2045,96600000000
Azerbaijan,2050,113000000000
Azerbaijan,2055,130000000000
Azerbaijan,2060,148000000000
Azerbaijan,2065,165000000000
Azerbaijan,2070,182000000000
Azerbaijan,2075,200000000000
Azerbaijan,2080,222000000000
Azerbaijan,2085,244000000000
Azerbaijan,2090,267000000000
Azerbaijan,2095,289000000000
Azerbaijan,2100,311000000000
Bahamas,1990,3110000000
Bahamas,1995,3660000000
Bahamas,2000,4290000000
Bahamas,2005,6060000000
Bahamas,2010,8550000000
Bahamas,2015,12700000000
Bahamas,2020,16800000000
Bahamas,2025,24800000000
Bahamas,2030,32800000000
Bahamas,2035,40400000000
Bahamas,2040,47900000000
Bahamas,2045,55400000000
Bahamas,2050,63000000000
Bahamas,2055,71000000000
Bahamas,2060,79000000000
Bahamas,2065,87000000000
Bahamas,2070,95100000000
Bahamas,2075,103000000000
Bahamas,2080,111000000000
Bahamas,2085,119000000000
Bahamas,2090,127000000000
Bahamas,2095,135000000000
Bahamas,2100,143000000000
Bahrain,1990,4010000000
Bahrain,1995,4760000000
Bahrain,2000,5550000000
Bahrain,2005,7990000000
Bahrain,2010,11400000000
Bahrain,2015,16800000000
Bahrain,2020,22200000000
Bahrain,2025,32000000000
Bahrain,2030,41900000000
Bahrain,2035,59900000000
Bahrain,2040,78000000000
Bahrain,2045,96000000000
Bahrain,2050,114000000000
Bahrain,2055,132000000000
Bahrain,2060,151000000000
Bahrain,2065,169000000000
Bahrain,2070,187000000000
Bahrain,2075,206000000000
Bahrain,2080,226000000000
Bahrain,2085,246000000000
Bahrain,2090,267000000000
Bahrain,2095,287000000000
Bahrain,2100,307000000000
Bangladesh,1990,30100000000
Bangladesh,1995,37900000000
Bangladesh,2000,47200000000
Bangladesh,2005,67100000000
Bangladesh,2010,95200000000
Bangladesh,2015,142000000000
Bangladesh,2020,189000000000
Bangladesh,2025,281000000000
Bangladesh,2030,372000000000
Bangladesh,2035,509000000000
Bangladesh,2040,646000000000
Bangladesh,2045,783000000000
Bangladesh,2050,920000000000
Bangladesh,2055,1210000000000
Bangladesh,2060,1510000000000
Bangladesh,2065,1800000000000
Bangladesh,2070,2100000000000
Bangladesh,2075,2390000000000
Bangladesh,2080,2660000000000
Bangladesh,2085,2930000000000
Bangladesh,2090,3190000000000
Bangladesh,2095,3460000000000
Bangladesh,2100,3730000000000
Barbados,1990,1710000000
Barbados,1995,2020000000
Barbados,2000,2360000000
Barbados,2005,3340000000
Barbados,2010,4710000000
Barbados,2015,6990000000
Barbados,2020,9270000000
Barbados,2025,13700000000
Barbados,2030,18100000000
Barbados,2035,22200000000
Barbados,2040,26400000000
Barbados,2045,30500000000
Barbados,2050,34700000000
Barbados,2055,39100000000
Barbados,2060,43500000000
Barbados,2065,47900000000
Barbados,2070,52400000000
Barbados,2075,56800000000
Barbados,2080,61200000000
Barbados,2085,65600000000
Barbados,2090,69900000000
Barbados,2095,74300000000
Barbados,2100,78700000000
Belarus,1990,34900000000
Belarus,1995,30600000000
Belarus,2000,26900000000
Belarus,2005,36500000000
Belarus,2010,49800000000
Belarus,2015,71100000000
Belarus,2020,92300000000
Belarus,2025,132000000000
Belarus,2030,171000000000
Belarus,2035,228000000000
Belarus,2040,286000000000
Belarus,2045,343000000000
Belarus,2050,400000000000
Belarus,2055,462000000000
Belarus,2060,524000000000
Belarus,2065,585000000000
Belarus,2070,647000000000
Belarus,2075,709000000000
Belarus,2080,788000000000
Belarus,2085,867000000000
Belarus,2090,946000000000
Belarus,2095,1020000000000
Belarus,2100,1100000000000
Belgium,1990,198000000000
Belgium,1995,221000000000
Belgium,2000,247000000000
Belgium,2005,273000000000
Belgium,2010,303000000000
Belgium,2015,337000000000
Belgium,2020,371000000000
Belgium,2025,412000000000
Belgium,2030,453000000000
Belgium,2035,500000000000
Belgium,2040,547000000000
Belgium,2045,593000000000
Belgium,2050,640000000000
Belgium,2055,707000000000
Belgium,2060,774000000000
Belgium,2065,840000000000
Belgium,2070,907000000000
Belgium,2075,974000000000
Belgium,2080,1070000000000
Belgium,2085,1160000000000
Belgium,2090,1250000000000
Belgium,2095,1350000000000
Belgium,2100,1440000000000
Belize,1990,403000000
Belize,1995,475000000
Belize,2000,556000000
Belize,2005,786000000
Belize,2010,1110000000
Belize,2015,1650000000
Belize,2020,2180000000
Belize,2025,3220000000
Belize,2030,4260000000
Belize,2035,5230000000
Belize,2040,6210000000
Belize,2045,7190000000
Belize,2050,8170000000
Belize,2055,9210000000
Belize,2060,10300000000
Belize,2065,11300000000
Belize,2070,12300000000
Belize,2075,13400000000
Belize,2080,14400000000
Belize,2085,15400000000
Belize,2090,16500000000
Belize,2095,17500000000
Belize,2100,18500000000
Benin,1990,1850000000
Benin,1995,2200000000
Benin,2000,2580000000
Benin,2005,3600000000
Benin,2010,4960000000
Benin,2015,7020000000
Benin,2020,9080000000
Benin,2025,12600000000
Benin,2030,16100000000
Benin,2035,32400000000
Benin,2040,48700000000
Benin,2045,65100000000
Benin,2050,81400000000
Benin,2055,110000000000
Benin,2060,139000000000
Benin,2065,167000000000
Benin,2070,196000000000
Benin,2075,225000000000
Benin,2080,257000000000
Benin,2085,288000000000
Benin,2090,320000000000
Benin,2095,352000000000
Benin,2100,384000000000
Bhutan,1990,285000000
Bhutan,1995,358000000
Bhutan,2000,446000000
Bhutan,2005,634000000
Bhutan,2010,899000000
Bhutan,2015,1340000000
Bhutan,2020,1790000000
Bhutan,2025,2650000000
Bhutan,2030,3510000000
Bhutan,2035,4810000000
Bhutan,2040,6110000000
Bhutan,2045,7400000000
Bhutan,2050,8700000000
Bhutan,2055,11500000000
Bhutan,2060,14300000000
Bhutan,2065,17000000000
Bhutan,2070,19800000000
Bhutan,2075,22600000000
Bhutan,2080,25100000000
Bhutan,2085,27600000000
Bhutan,2090,30200000000
Bhutan,2095,32700000000
Bhutan,2100,35200000000
Bolivia,1990,4870000000
Bolivia,1995,5740000000
Bolivia,2000,6720000000
Bolivia,2005,9490000000
Bolivia,2010,13400000000
Bolivia,2015,19900000000
Bolivia,2020,26400000000
Bolivia,2025,38900000000
Bolivia,2030,51400000000
Bolivia,2035,63200000000
Bolivia,2040,75100000000
Bolivia,2045,86900000000
Bolivia,2050,98700000000
Bolivia,2055,111000000000
Bolivia,2060,124000000000
Bolivia,2065,136000000000
Bolivia,2070,149000000000
Bolivia,2075,162000000000
Bolivia,2080,174000000000
Bolivia,2085,187000000000
Bolivia,2090,199000000000
Bolivia,2095,212000000000
Bolivia,2100,224000000000
Bosnia and Herzegovina,1990,13000000000
Bosnia and Herzegovina,1995,11400000000
Bosnia and Herzegovina,2000,10000000000
Bosnia and Herzegovina,2005,13600000000
Bosnia and Herzegovina,2010,18600000000
Bosnia and Herzegovina,2015,26500000000
Bosnia and Herzegovina,2020,34400000000
Bosnia and Herzegovina,2025,49100000000
Bosnia and Herzegovina,2030,63800000000
Bosnia and Herzegovina,2035,85100000000
Bosnia and Herzegovina,2040,106000000000
Bosnia and Herzegovina,2045,128000000000
Bosnia and Herzegovina,2050,149000000000
Bosnia and Herzegovina,2055,172000000000
Bosnia and Herzegovina,2060,195000000000
Bosnia and Herzegovina,2065,218000000000
Bosnia and Herzegovina,2070,241000000000
Bosnia and Herzegovina,2075,264000000000
Bosnia and Herzegovina,2080,294000000000
Bosnia and Herzegovina,2085,323000000000
Bosnia and Herzegovina,2090,353000000000
Bosnia and Herzegovina,2095,382000000000
Bosnia and Herzegovina,2100,412000000000
Botswana,1990,3770000000
Botswana,1995,4500000000
Botswana,2000,5260000000
Botswana,2005,7350000000
Botswana,2010,10100000000
Botswana,2015,14300000000
Botswana,2020,18500000000
Botswana,2025,25700000000
Botswana,2030,32800000000
Botswana,2035,66100000000
Botswana,2040,99500000000
Botswana,2045,133000000000
Botswana,2050,166000000000
Botswana,2055,225000000000
Botswana,2060,283000000000
Botswana,2065,342000000000
Botswana,2070,400000000000
Botswana,2075,459000000000
Botswana,2080,524000000000
Botswana,2085,589000000000
Botswana,2090,654000000000
Botswana,2095,719000000000
Botswana,2100,784000000000
Brazil,1990,465000000000
Brazil,1995,549000000000
Brazil,2000,642000000000
Brazil,2005,907000000000
Brazil,2010,1280000000000
Brazil,2015,1900000000000
Brazil,2020,2520000000000
Brazil,2025,3720000000000
Brazil,2030,4910000000000
Brazil,2035,6040000000000
Brazil,2040,7170000000000
Brazil,2045,8300000000000
Brazil,2050,9430000000000
Brazil,2055,10600000000000
Brazil,2060,11800000000000
Brazil,2065,13000000000000
Brazil,2070,14200000000000
Brazil,2075,15400000000000
Brazil,2080,16600000000000
Brazil,2085,17800000000000
Brazil,2090,19000000000000
Brazil,2095,20200000000000
Brazil,2100,21400000000000
Brunei,1990,3590000000
Brunei,1995,4510000000
Brunei,2000,5620000000
Brunei,2005,7990000000
Brunei,2010,11400000000
Brunei,2015,17000000000
Brunei,2020,22600000000
Brunei,2025,33400000000
Brunei,2030,44300000000
Brunei,2035,60700000000
Brunei,2040,77000000000
Brunei,2045,93400000000
Brunei,2050,110000000000
Brunei,2055,145000000000
Brunei,2060,180000000000
Brunei,2065,215000000000
Brunei,2070,250000000000
Brunei,2075,285000000000
Brunei,2080,317000000000
Brunei,2085,349000000000
Brunei,2090,380000000000
Brunei,2095,412000000000
Brunei,2100,444000000000
Bulgaria,1990,20700000000
Bulgaria,1995,18200000000
Bulgaria,2000,15900000000
Bulgaria,2005,21700000000
Bulgaria,2010,29600000000
Bulgaria,2015,42200000000
Bulgaria,2020,54800000000
Bulgaria,2025,78200000000
Bulgaria,2030,102000000000
Bulgaria,2035,136000000000
Bulgaria,2040,170000000000
Bulgaria,2045,204000000000
Bulgaria,2050,237000000000
Bulgaria,2055,274000000000
Bulgaria,2060,311000000000
Bulgaria,2065,347000000000
Bulgaria,2070,384000000000
Bulgaria,2075,421000000000
Bulgaria,2080,468000000000
Bulgaria,2085,515000000000
Bulgaria,2090,562000000000
Bulgaria,2095,609000000000
Bulgaria,2100,655000000000
Burkina Faso,1990,2770000000
Burkina Faso,1995,3300000000
Burkina Faso,2000,3860000000
Burkina Faso,2005,5400000000
Burkina Faso,2010,7440000000
Burkina Faso,2015,10500000000
Burkina Faso,2020,13600000000
Burkina Faso,2025,18800000000
Burkina Faso,2030,24100000000
Burkina Faso,2035,48600000000
Burkina Faso,2040,73000000000
Burkina Faso,2045,97500000000
Burkina Faso,2050,122000000000
Burkina Faso,2055,165000000000
Burkina Faso,2060,208000000000
Burkina Faso,2065,251000000000
Burkina Faso,2070,294000000000
Burkina Faso,2075,337000000000
Burkina Faso,2080,384000000000
Burkina Faso,2085,432000000000
Burkina Faso,2090,480000000000
Burkina Faso,2095,528000000000
Burkina Faso,2100,575000000000
Burundi,1990,1130000000
Burundi,1995,1350000000
Burundi,2000,1580000000
Burundi,2005,2210000000
Burundi,2010,3050000000
Burundi,2015,4310000000
Burundi,2020,5570000000
Burundi,2025,7710000000
Burundi,2030,9850000000
Burundi,2035,19900000000
Burundi,2040,29900000000
Burundi,2045,39900000000
Burundi,2050,50000000000
Burundi,2055,67600000000
Burundi,2060,85100000000
Burundi,2065,103000000000
Burundi,2070,120000000000
Burundi,2075,138000000000
Burundi,2080,157000000000
Burundi,2085,177000000000
Burundi,2090,196000000000
Burundi,2095,216000000000
Burundi,2100,236000000000
Cambodia,1990,1120000000
Cambodia,1995,1700000000
Cambodia,2000,2570000000
Cambodia,2005,3900000000
Cambodia,2010,5940000000
Cambodia,2015,9820000000
Cambodia,2020,13700000000
Cambodia,2025,22700000000
Cambodia,2030,31600000000
Cambodia,2035,42000000000
Cambodia,2040,52500000000
Cambodia,2045,62900000000
Cambodia,2050,73300000000
Cambodia,2055,83900000000
Cambodia,2060,94500000000
Cambodia,2065,105000000000
Cambodia,2070,116000000000
Cambodia,2075,126000000000
Cambodia,2080,138000000000
Cambodia,2085,150000000000
Cambodia,2090,163000000000
Cambodia,2095,175000000000
Cambodia,2100,187000000000
Cameroon,1990,11200000000
Cameroon,1995,13300000000
Cameroon,2000,15600000000
Cameroon,2005,21800000000
Cameroon,2010,30000000000
Cameroon,2015,42400000000
Cameroon,2020,54900000000
Cameroon,2025,76000000000
Cameroon,2030,97100000000
Cameroon,2035,196000000000
Cameroon,2040,295000000000
Cameroon,2045,393000000000
Cameroon,2050,492000000000
Cameroon,2055,665000000000
Cameroon,2060,839000000000
Cameroon,2065,1010000000000
Cameroon,2070,1180000000000
Cameroon,2075,1360000000000
Cameroon,2080,1550000000000
Cameroon,2085,1740000000000
Cameroon,2090,1940000000000
Cameroon,2095,2130000000000
Cameroon,2100,2320000000000
Canada,1990,573000000000
Canada,1995,641000000000
Canada,2000,715000000000
Canada,2005,791000000000
Canada,2010,877000000000
Canada,2015,975000000000
Canada,2020,1070000000000
Canada,2025,1190000000000
Canada,2030,1310000000000
Canada,2035,1450000000000
Canada,2040,1580000000000
Canada,2045,1720000000000
Canada,2050,1850000000000
Canada,2055,2050000000000
Canada,2060,2240000000000
Canada,2065,2430000000000
Canada,2070,2630000000000
Canada,2075,2820000000000
Canada,2080,3090000000000
Canada,2085,3360000000000
Canada,2090,3630000000000
Canada,2095,3900000000000
Canada,2100,4170000000000
Cape Verde,1990,339000000
Cape Verde,1995,404000000
Cape Verde,2000,473000000
Cape Verde,2005,661000000
Cape Verde,2010,911000000
Cape Verde,2015,1290000000
Cape Verde,2020,1670000000
Cape Verde,2025,2310000000
Cape Verde,2030,2950000000
Cape Verde,2035,5950000000
Cape Verde,2040,8950000000
Cape Verde,2045,12000000000
Cape Verde,2050,15000000000
Cape Verde,2055,20200000000
Cape Verde,2060,25500000000
Cape Verde,2065,30700000000
Cape Verde,2070,36000000000
Cape Verde,2075,41300000000
Cape Verde,2080,47100000000
Cape Verde,2085,52900000000
Cape Verde,2090,58800000000
Cape Verde,2095,64600000000
Cape Verde,2100,70500000000
Central African Republic,1990,1490000000
Central African Republic,1995,1780000000
Central African Republic,2000,2080000000
Central African Republic,2005,2900000000
Central African Republic,2010,4000000000
Central African Republic,2015,5660000000
Central African Republic,2020,7320000000
Central African Republic,2025,10100000000
Central African Republic,2030,13000000000
Central African Republic,2035,26100000000
Central African Republic,2040,39300000000
Central African Republic,2045,52500000000
Central African Republic,2050,65700000000
Central African Republic,2055,88800000000
Central African Republic,2060,112000000000
Central African Republic,2065,135000000000
Central African Republic,2070,158000000000
Central African Republic,2075,181000000000
Central African Republic,2080,207000000000
Central African Republic,2085,232000000000
Central African Republic,2090,258000000000
Central African Republic,2095,284000000000
Central African Republic,2100,310000000000
Chad,1990,1740000000
Chad,1995,2080000000
Chad,2000,2430000000
Chad,2005,3390000000
Chad,2010,4680000000
Chad,2015,6620000000
Chad,2020,8560000000
Chad,2025,11800000000
Chad,2030,15100000000
Chad,2035,30500000000
Chad,2040,45900000000
Chad,2045,61300000000
Chad,2050,76700000000
Chad,2055,104000000000
Chad,2060,131000000000
Chad,2065,158000000000
Chad,2070,185000000000
Chad,2075,212000000000
Chad,2080,242000000000
Chad,2085,272000000000
Chad,2090,302000000000
Chad,2095,332000000000
Chad,2100,362000000000
Chile,1990,30300000000
Chile,1995,35800000000
Chile,2000,41900000000
Chile,2005,59100000000
Chile,2010,83500000000
Chile,2015,124000000000
Chile,2020,164000000000
Chile,2025,242000000000
Chile,2030,320000000000
Chile,2035,394000000000
Chile,2040,468000000000
Chile,2045,541000000000
Chile,2050,615000000000
Chile,2055,693000000000
Chile,2060,771000000000
Chile,2065,850000000000
Chile,2070,928000000000
Chile,2075,1010000000000
Chile,2080,1080000000000
Chile,2085,1160000000000
Chile,2090,1240000000000
Chile,2095,1320000000000
Chile,2100,1400000000000
China,1990,355000000000
China,1995,540000000000
China,2000,817000000000
China,2005,1240000000000
China,2010,1890000000000
China,2015,3120000000000
China,2020,4360000000000
China,2025,7210000000000
China,2030,10100000000000
China,2035,13400000000000
China,2040,16700000000000
China,2045,20000000000000
China,2050,23300000000000
China,2055,26700000000000
China,2060,30100000000000
China,2065,33400000000000
China,2070,36800000000000
China,2075,40100000000000
China,2080,44000000000000
China,2085,47900000000000
China,2090,51700000000000
China,2095,55600000000000
China,2100,59500000000000
Colombia,1990,40300000000
Colombia,1995,47500000000
Colombia,2000,55600000000
Colombia,2005,78500000000
Colombia,2010,111000000000
Colombia,2015,165000000000
Colombia,2020,218000000000
Colombia,2025,322000000000
Colombia,2030,426000000000
Colombia,2035,523000000000
Colombia,2040,621000000000
Colombia,2045,719000000000
Colombia,2050,816000000000
Colombia,2055,921000000000
Colombia,2060,1020000000000
Colombia,2065,1130000000000
Colombia,2070,1230000000000
Colombia,2075,1340000000000
Colombia,2080,1440000000000
Colombia,2085,1540000000000
Colombia,2090,1650000000000
Colombia,2095,1750000000000
Colombia,2100,1850000000000
Comoros,1990,250000000
Comoros,1995,299000000
Comoros,2000,349000000
Comoros,2005,488000000
Comoros,2010,673000000
Comoros,2015,952000000
Comoros,2020,1230000000
Comoros,2025,1700000000
Comoros,2030,2180000000
Comoros,2035,4390000000
Comoros,2040,6610000000
Comoros,2045,8820000000
Comoros,2050,11000000000
Comoros,2055,14900000000
Comoros,2060,18800000000
Comoros,2065,22700000000
Comoros,2070,26600000000
Comoros,2075,30500000000
Comoros,2080,34800000000
Comoros,2085,39100000000
Comoros,2090,43400000000
Comoros,2095,47700000000
Comoros,2100,52000000000
Congo,1990,2800000000
Congo,1995,3340000000
Congo,2000,3910000000
Congo,2005,5460000000
Congo,2010,7530000000
Congo,2015,10700000000
Congo,2020,13800000000
Congo,2025,19100000000
Congo,2030,24400000000
Congo,2035,49200000000
Congo,2040,73900000000
Congo,2045,98700000000
Congo,2050,124000000000
Congo,2055,167000000000
Congo,2060,210000000000
Congo,2065,254000000000
Congo,2070,297000000000
Congo,2075,341000000000
Congo,2080,389000000000
Congo,2085,437000000000
Congo,2090,486000000000
Congo,2095,534000000000
Congo,2100,582000000000
Costa Rica,1990,7190000000
Costa Rica,1995,8480000000
Costa Rica,2000,9920000000
Costa Rica,2005,14000000000
Costa Rica,2010,19800000000
Costa Rica,2015,29400000000
Costa Rica,2020,39000000000
Costa Rica,2025,57500000000
Costa Rica,2030,75900000000
Costa Rica,2035,93400000000
Costa Rica,2040,111000000000
Costa Rica,2045,128000000000
Costa Rica,2050,146000000000
Costa Rica,2055,164000000000
Costa Rica,2060,183000000000
Costa Rica,2065,201000000000
Costa Rica,2070,220000000000
Costa Rica,2075,239000000000
Costa Rica,2080,257000000000
Costa Rica,2085,275000000000
Costa Rica,2090,294000000000
Costa Rica,2095,312000000000
Costa Rica,2100,331000000000
Cote d'Ivoire,1990,10800000000
Cote d'Ivoire,1995,12900000000
Cote d'Ivoire,2000,15100000000
Cote d'Ivoire,2005,21100000000
Cote d'Ivoire,2010,29000000000
Cote d'Ivoire,2015,41100000000
Cote d'Ivoire,2020,53100000000
Cote d'Ivoire,2025,73500000000
Cote d'Ivoire,2030,94000000000
Cote d'Ivoire,2035,190000000000
Cote d'Ivoire,2040,285000000000
Cote d'Ivoire,2045,381000000000
Cote d'Ivoire,2050,476000000000
Cote d'Ivoire,2055,644000000000
Cote d'Ivoire,2060,812000000000
Cote d'Ivoire,2065,979000000000
Cote d'Ivoire,2070,1150000000000
Cote d'Ivoire,2075,1310000000000
Cote d'Ivoire,2080,1500000000000
Cote d'Ivoire,2085,1690000000000
Cote d'Ivoire,2090,1870000000000
Cote d'Ivoire,2095,2060000000000
Cote d'Ivoire,2100,2250000000000
Croatia,1990,24800000000
Croatia,1995,21800000000
Croatia,2000,19100000000
Croatia,2005,25900000000
Croatia,2010,35400000000
Croatia,2015,50500000000
Croatia,2020,65500000000
Croatia,2025,93500000000
Croatia,2030,121000000000
Croatia,2035,162000000000
Croatia,2040,203000000000
Croatia,2045,243000000000
Croatia,2050,284000000000
Croatia,2055,328000000000
Croatia,2060,372000000000
Croatia,2065,415000000000
Croatia,2070,459000000000
Croatia,2075,503000000000
Croatia,2080,559000000000
Croatia,2085,615000000000
Croatia,2090,671000000000
Croatia,2095,728000000000
Croatia,2100,784000000000
Cuba,1990,19600000000
Cuba,1995,23200000000
Cuba,2000,27100000000
Cuba,2005,38300000000
Cuba,2010,54100000000
Cuba,2015,80300000000
Cuba,2020,106000000000
Cuba,2025,157000000000
Cuba,2030,208000000000
Cuba,2035,255000000000
Cuba,2040,303000000000
Cuba,2045,351000000000
Cuba,2050,398000000000
Cuba,2055,449000000000
Cuba,2060,500000000000
Cuba,2065,551000000000
Cuba,2070,601000000000
Cuba,2075,652000000000
Cuba,2080,702000000000
Cuba,2085,753000000000
Cuba,2090,803000000000
Cuba,2095,854000000000
Cuba,2100,904000000000
Cyprus,1990,5590000000
Cyprus,1995,6260000000
Cyprus,2000,6990000000
Cyprus,2005,7730000000
Cyprus,2010,8560000000
Cyprus,2015,9520000000
Cyprus,2020,10500000000
Cyprus,2025,11700000000
Cyprus,2030,12800000000
Cyprus,2035,14100000000
Cyprus,2040,15500000000
Cyprus,2045,16800000000
Cyprus,2050,18100000000
Cyprus,2055,20000000000
Cyprus,2060,21900000000
Cyprus,2065,23800000000
Cyprus,2070,25600000000
Cyprus,2075,27500000000
Cyprus,2080,30200000000
Cyprus,2085,32800000000
Cyprus,2090,35500000000
Cyprus,2095,38100000000
Cyprus,2100,40700000000
Czech Republic,1990,34900000000
Czech Republic,1995,30600000000
Czech Republic,2000,26800000000
Czech Republic,2005,36500000000
Czech Republic,2010,49800000000
Czech Republic,2015,71000000000
Czech Republic,2020,92300000000
Czech Republic,2025,132000000000
Czech Republic,2030,171000000000
Czech Republic,2035,228000000000
Czech Republic,2040,285000000000
Czech Republic,2045,342000000000
Czech Republic,2050,400000000000
Czech Republic,2055,461000000000
Czech Republic,2060,523000000000
Czech Republic,2065,585000000000
Czech Republic,2070,646000000000
Czech Republic,2075,708000000000
Czech Republic,2080,787000000000
Czech Republic,2085,866000000000
Czech Republic,2090,945000000000
Czech Republic,2095,1020000000000
Czech Republic,2100,1100000000000
Democratic Republic of Congo,1990,11200000000
Democratic Republic of Congo,1995,13400000000
Democratic Republic of Congo,2000,15600000000
Democratic Republic of Congo,2005,21900000000
Democratic Republic of Congo,2010,30100000000
Democratic Republic of Congo,2015,42600000000
Democratic Republic of Congo,2020,55100000000
Democratic Republic of Congo,2025,76300000000
Democratic Republic of Congo,2030,97400000000
Democratic Republic of Congo,2035,197000000000
Democratic Republic of Congo,2040,296000000000
Democratic Republic of Congo,2045,395000000000
Democratic Republic of Congo,2050,494000000000
Democratic Republic of Congo,2055,668000000000
