Entity,Year,Human Height (University of Tuebingen (2015))
Tunisia,1910,162.9
Tunisia,1970,165.3
Turkey,1850,168.7
Turkey,1860,169.1
Turkey,1870,170.1
Turkey,1880,167.4
Turkey,1890,168.4
Turkey,1900,168.4
Turkey,1910,168
Turkey,1920,169.3
Turkey,1930,169.3
Turkey,1940,167.2
Turkey,1950,166.6
Turkey,1960,167.4
Turkey,1970,168.6
Turkmenistan,1890,168.9
Turkmenistan,1910,167.9
Turkmenistan,1920,167.5
Uganda,1870,168.1
Uganda,1880,166.3
Uganda,1890,166.4
Uganda,1910,166
Uganda,1920,167.5
Uganda,1930,164.9
Uganda,1950,169.8
Uganda,1960,170.1
Uganda,1970,169.6
Uganda,1980,169.3
Ukraine,1820,164.1
Ukraine,1830,164.8
Ukraine,1840,164.1
Ukraine,1850,163.1
Ukraine,1870,164.6
Ukraine,1880,165.4
United Arab Emirates,1980,169.1
United Kingdom,1810,169.7
United Kingdom,1820,169.1
United Kingdom,1830,166.7
United Kingdom,1840,166.5
United Kingdom,1850,165.6
United Kingdom,1860,166.6
United Kingdom,1870,167.2
United Kingdom,1880,168
United Kingdom,1890,167.4
United Kingdom,1900,169.4
United Kingdom,1910,170.9
United Kingdom,1920,171
United Kingdom,1930,173.9
United Kingdom,1940,174.9
United Kingdom,1950,176
United Kingdom,1960,176.9
United Kingdom,1970,177.1
United Kingdom,1980,176.8
United States,1820,172.2
United States,1830,173.5
United States,1840,172.2
United States,1850,171.1
United States,1860,170.6
United States,1870,171.1
United States,1880,169.5
United States,1890,169.1
United States,1900,170
United States,1910,172.1
United States,1920,173.1
United States,1930,173.4
United States,1940,176.1
United States,1950,177.1
United States,1960,177.3
United States,1970,178.3
United States,1980,179
Uruguay,1880,165
Uruguay,1930,168.1
Uzbekistan,1890,165.2
Uzbekistan,1900,165.5
Uzbekistan,1910,166
Uzbekistan,1920,165
Uzbekistan,1940,170.3
Uzbekistan,1950,171.5
Uzbekistan,1960,171.2
Uzbekistan,1970,172
Vietnam,1830,157.9
Vietnam,1840,157.5
Vietnam,1850,158.4
Vietnam,1860,158.3
Vietnam,1870,158.3
Vietnam,1880,157.7
Vietnam,1890,158.5
Vietnam,1900,161.2
Vietnam,1910,158
Vietnam,1920,157.5
Vietnam,1930,158.4
Vietnam,1980,160
Yemen,1850,162.3
Yemen,1860,161.1
Yemen,1880,160.8
Yemen,1890,162.7
Yemen,1900,162
Yemen,1980,167.6
Zambia,1940,168.1
Zambia,1950,169.6
Zambia,1960,169.7
Zambia,1970,168.9
Zambia,1980,168.2
Zimbabwe,1890,169
Zimbabwe,1900,167.6
Zimbabwe,1950,171
Zimbabwe,1960,171.1
Zimbabwe,1970,171.3
Zimbabwe,1980,171
