Entity,Year,Under five mortality rate (UN World Population Prospects (2015))
Aruba,1970,4.42
Aruba,1975,3.53
Aruba,1980,2.93
Aruba,1985,2.41
Aruba,1990,2.29
Aruba,1995,2.2
Aruba,2000,2.16
Aruba,2005,2.08
Aruba,2010,1.87
Aruba,2015,1.72
Australia,1955,2.99
Australia,1960,2.64
Australia,1965,2.37
Australia,1970,2.16
Australia,1975,2.03
Australia,1980,1.54
Australia,1985,1.2
Australia,1990,1.06
Australia,1995,0.82
Australia,2000,0.69
Australia,2005,0.6
Australia,2010,0.53
Australia,2015,0.47
Austria,1955,6.37
Austria,1960,4.96
Austria,1965,3.78
Austria,1970,3.06
Austria,1975,2.79
Austria,1980,1.98
Austria,1985,1.48
Austria,1990,1.12
Austria,1995,0.86
Austria,2000,0.6
Austria,2005,0.54
Austria,2010,0.46
Austria,2015,0.38
Azerbaijan,1955,17.43
Azerbaijan,1960,16.05
Azerbaijan,1965,14.75
Azerbaijan,1970,13.51
Azerbaijan,1975,12.55
Azerbaijan,1980,12.31
Azerbaijan,1985,11.95
Azerbaijan,1990,11.11
Azerbaijan,1995,10
Azerbaijan,2000,8.29
Azerbaijan,2005,6.13
Azerbaijan,2010,4.76
Azerbaijan,2015,4.71
Bahamas,1955,9.8
Bahamas,1960,8.17
Bahamas,1965,6.81
Bahamas,1970,5.67
Bahamas,1975,4.71
Bahamas,1980,3.92
Bahamas,1985,3.25
Bahamas,1990,2.7
Bahamas,1995,2.32
Bahamas,2000,2.14
Bahamas,2005,1.75
Bahamas,2010,1.49
Bahamas,2015,1.33
Bahrain,1955,26.83
Bahrain,1960,22.87
Bahrain,1965,16.03
Bahrain,1970,10.24
Bahrain,1975,6.44
Bahrain,1980,4.03
Bahrain,1985,2.67
Bahrain,1990,2.11
Bahrain,1995,1.86
Bahrain,2000,1.39
Bahrain,2005,1.18
Bahrain,2010,1.06
Bahrain,2015,0.93
Bangladesh,1955,32.83
Bangladesh,1960,28.3
Bangladesh,1965,24.86
Bangladesh,1970,22.83
Bangladesh,1975,25.99
Bangladesh,1980,20.82
Bangladesh,1985,18.63
Bangladesh,1990,15.86
Bangladesh,1995,12.89
Bangladesh,2000,10.09
Bangladesh,2005,7.49
Bangladesh,2010,5.56
Bangladesh,2015,4.1
Barbados,1955,12.1
Barbados,1960,9.91
Barbados,1965,8.1
Barbados,1970,6.07
Barbados,1975,4.88
Barbados,1980,3.92
Barbados,1985,3.15
Barbados,1990,2.53
Barbados,1995,2.03
Barbados,2000,1.64
Barbados,2005,1.47
Barbados,2010,1.28
Barbados,2015,1.1
Belarus,1955,12.78
Belarus,1960,7.1
Belarus,1965,4.4
Belarus,1970,3.04
Belarus,1975,2.62
Belarus,1980,2.63
Belarus,1985,2.3
Belarus,1990,1.98
Belarus,1995,1.82
Belarus,2000,1.81
Belarus,2005,1.22
Belarus,2010,0.81
Belarus,2015,0.53
Belgium,1955,5.25
Belgium,1960,4.06
Belgium,1965,3.16
Belgium,1970,2.62
Belgium,1975,2.21
Belgium,1980,1.67
Belgium,1985,1.32
Belgium,1990,1.09
Belgium,1995,0.94
Belgium,2000,0.65
Belgium,2005,0.54
Belgium,2010,0.47
Belgium,2015,0.41
Belize,1955,13.59
Belize,1960,11.9
Belize,1965,10.39
Belize,1970,8.85
Belize,1975,7.63
Belize,1980,6.42
Belize,1985,5.01
Belize,1990,4.33
Belize,1995,3.65
Belize,2000,2.74
Belize,2005,2.32
Belize,2010,1.99
Belize,2015,1.66
Benin,1955,34.92
Benin,1960,32.22
Benin,1965,29.72
Benin,1970,27.38
Benin,1975,24.92
Benin,1980,22.59
Benin,1985,20.53
Benin,1990,18.76
Benin,1995,16.84
Benin,2000,14.9
Benin,2005,13.14
Benin,2010,11.61
Benin,2015,10.82
Bhutan,1955,39.52
Bhutan,1960,36.29
Bhutan,1965,33.25
Bhutan,1970,30.42
Bhutan,1975,26.21
Bhutan,1980,21.96
Bhutan,1985,18.44
Bhutan,1990,15.36
Bhutan,1995,12.48
Bhutan,2000,10.01
Bhutan,2005,6.86
Bhutan,2010,5.01
Bhutan,2015,3.73
Bolivia,1955,29.84
Bolivia,1960,28.29
Bolivia,1965,26.45
Bolivia,1970,24.31
Bolivia,1975,21.87
Bolivia,1980,19.64
Bolivia,1985,17.76
Bolivia,1990,15.79
Bolivia,1995,13.82
Bolivia,2000,11.91
Bolivia,2005,10.13
Bolivia,2010,8.52
Bolivia,2015,7.22
Bosnia and Herzegovina,1955,20.3
Bosnia and Herzegovina,1960,14.71
Bosnia and Herzegovina,1965,10.75
Bosnia and Herzegovina,1970,8.06
Bosnia and Herzegovina,1975,5.54
Bosnia and Herzegovina,1980,3.89
Bosnia and Herzegovina,1985,3
Bosnia and Herzegovina,1990,2.08
Bosnia and Herzegovina,1995,2.15
Bosnia and Herzegovina,2000,1.3
Bosnia and Herzegovina,2005,1.18
Bosnia and Herzegovina,2010,1.06
Bosnia and Herzegovina,2015,0.9
Botswana,1955,20.12
Botswana,1960,18.21
Botswana,1965,16.52
Botswana,1970,15.03
Botswana,1975,12.84
Botswana,1980,10.38
Botswana,1985,8.63
Botswana,1990,7.74
Botswana,1995,7.33
Botswana,2000,8.42
Botswana,2005,7.75
Botswana,2010,4.84
Botswana,2015,4.01
Brazil,1955,19.02
Brazil,1960,17.29
Brazil,1965,15.54
Brazil,1970,13.88
Brazil,1975,12.17
Brazil,1980,10.37
Brazil,1985,8.44
Brazil,1990,6.47
Brazil,1995,4.95
Brazil,2000,4.09
Brazil,2005,3.42
Brazil,2010,2.87
Brazil,2015,2.43
Brunei,1955,11.18
Brunei,1960,9.03
Brunei,1965,6.49
Brunei,1970,5.13
Brunei,1975,4.06
Brunei,1980,3.21
Brunei,1985,2.54
Brunei,1990,2
Brunei,1995,1.58
Brunei,2000,1.25
Brunei,2005,0.99
Brunei,2010,0.78
Brunei,2015,0.49
Bulgaria,1955,11.83
Bulgaria,1960,8.38
Bulgaria,1965,4.58
Bulgaria,1970,3.61
Bulgaria,1975,3.03
Bulgaria,1980,2.64
Bulgaria,1985,2.21
Bulgaria,1990,1.81
Bulgaria,1995,1.92
Bulgaria,2000,1.92
Bulgaria,2005,1.58
Bulgaria,2010,1.18
Bulgaria,2015,1.08
Burkina Faso,1955,37.63
Burkina Faso,1960,35.1
Burkina Faso,1965,32.75
Burkina Faso,1970,30.14
Burkina Faso,1975,28.28
Burkina Faso,1980,25.85
Burkina Faso,1985,22.9
Burkina Faso,1990,21.24
Burkina Faso,1995,20.39
Burkina Faso,2000,19.03
Burkina Faso,2005,17.3
Burkina Faso,2010,12.65
Burkina Faso,2015,10.84
Burundi,1955,28.09
Burundi,1960,26.6
Burundi,1965,25.14
Burundi,1970,23.73
Burundi,1975,23.08
Burundi,1980,21.11
Burundi,1985,19.65
Burundi,1990,18.67
Burundi,1995,20.28
Burundi,2000,16.74
Burundi,2005,15.2
Burundi,2010,13.77
Burundi,2015,12.32
Cambodia,1955,21.31
Cambodia,1960,20.2
Cambodia,1965,19.98
Cambodia,1970,19.61
Cambodia,1975,20.7
Cambodia,1980,46.19
Cambodia,1985,20.45
Cambodia,1990,11.84
Cambodia,1995,11.86
Cambodia,2000,11.92
Cambodia,2005,8.48
Cambodia,2010,5.39
Cambodia,2015,3.49
Cameroon,1955,28.55
Cameroon,1960,26.63
Cameroon,1965,24.49
Cameroon,1970,22.49
Cameroon,1975,20.16
Cameroon,1980,17.81
Cameroon,1985,16.05
Cameroon,1990,15.11
Cameroon,1995,14.4
Cameroon,2000,14.03
Cameroon,2005,13.76
Cameroon,2010,13.06
Cameroon,2015,11.55
Canada,1955,4.53
Canada,1960,3.78
Canada,1965,3.08
Canada,1970,2.5
Canada,1975,2
Canada,1980,1.52
Canada,1985,1.12
Canada,1990,0.92
Canada,1995,0.76
Canada,2000,0.66
Canada,2005,0.61
Canada,2010,0.59
Canada,2015,0.54
Cape Verde,1955,19.66
Cape Verde,1960,19.03
Cape Verde,1965,18.4
Cape Verde,1970,15.74
Cape Verde,1975,13.28
Cape Verde,1980,10.64
Cape Verde,1985,8.18
Cape Verde,1990,6.58
Cape Verde,1995,5.36
Cape Verde,2000,4.06
Cape Verde,2005,3.22
Cape Verde,2010,2.54
Cape Verde,2015,2.36
Central African Republic,1955,34.08
Central African Republic,1960,31.78
Central African Republic,1965,29.57
Central African Republic,1970,26.94
Central African Republic,1975,23.38
Central African Republic,1980,20.01
Central African Republic,1985,18.26
Central African Republic,1990,17.94
Central African Republic,1995,18.23
Central African Republic,2000,18.5
Central African Republic,2005,18.37
Central African Republic,2010,17.26
Central African Republic,2015,15.07
Chad,1955,31.23
Chad,1960,29.83
Chad,1965,28.42
Chad,1970,26.94
Chad,1975,24.66
Chad,1980,23.28
Chad,1985,21.99
Chad,1990,20.69
Chad,1995,19.88
Chad,2000,18.89
Chad,2005,18.21
Chad,2010,17.34
Chad,2015,15.5
Channel Islands,1955,3.96
Channel Islands,1960,3.4
Channel Islands,1965,3.23
Channel Islands,1970,2.96
Channel Islands,1975,2.79
Channel Islands,1980,2.5
Channel Islands,1985,2.12
Channel Islands,1990,1.85
Channel Islands,1995,1.59
Channel Islands,2000,1.4
Channel Islands,2005,1.19
Channel Islands,2010,1.01
Channel Islands,2015,0.92
Chile,1955,17.99
Chile,1960,16.05
Chile,1965,13.88
Chile,1970,11.09
Chile,1975,8.36
Chile,1980,6.46
Chile,1985,4.72
Chile,1990,3.48
Chile,1995,2.52
Chile,2000,1.84
Chile,2005,1.45
Chile,2010,1.26
Chile,2015,1.19
China,1955,20.53
China,1960,20.4
China,1965,21
China,1970,14.35
China,1975,9.99
China,1980,7.33
China,1985,5.7
China,1990,5.35
China,1995,5
China,2000,4.24
China,2005,3.05
China,2010,1.96
China,2015,1.35
Colombia,1955,18.87
Colombia,1960,15.35
Colombia,1965,13.12
Colombia,1970,11.47
Colombia,1975,10.11
Colombia,1980,8.02
Colombia,1985,5.98
Colombia,1990,4.85
Colombia,1995,3.8
Colombia,2000,3.32
Colombia,2005,2.88
Colombia,2010,2.68
Colombia,2015,2.52
Comoros,1955,28.76
Comoros,1960,26.96
Comoros,1965,24.94
Comoros,1970,23
Comoros,1975,20.8
Comoros,1980,18.73
Comoros,1985,15.83
Comoros,1990,13.35
Comoros,1995,11.38
Comoros,2000,10.29
Comoros,2005,10.06
Comoros,2010,9.14
Comoros,2015,7.79
Congo,1955,24.02
Congo,1960,20.69
Congo,1965,17.71
Congo,1970,15.76
Congo,1975,14.5
Congo,1980,13.46
Congo,1985,12.54
Congo,1990,12.16
Congo,1995,12.46
Congo,2000,13.41
Congo,2005,12.89
Congo,2010,9.83
Congo,2015,7.46
Costa Rica,1955,15.35
Costa Rica,1960,13.29
Costa Rica,1965,11.24
Costa Rica,1970,9.25
Costa Rica,1975,7.2
Costa Rica,1980,4.32
Costa Rica,1985,2.69
Costa Rica,1990,2.05
Costa Rica,1995,1.75
Costa Rica,2000,1.51
Costa Rica,2005,1.35
Costa Rica,2010,1.23
Costa Rica,2015,1.14
Cote d'Ivoire,1955,39.38
Cote d'Ivoire,1960,35.12
Cote d'Ivoire,1965,29.89
Cote d'Ivoire,1970,25.38
Cote d'Ivoire,1975,21.55
Cote d'Ivoire,1980,18.41
Cote d'Ivoire,1985,16.4
Cote d'Ivoire,1990,15.44
Cote d'Ivoire,1995,14.9
Cote d'Ivoire,2000,14.26
Cote d'Ivoire,2005,13.1
Cote d'Ivoire,2010,12
Cote d'Ivoire,2015,10.5
Croatia,1955,10.43
Croatia,1960,7.77
Croatia,1965,5.49
Croatia,1970,3.88
Croatia,1975,2.84
Croatia,1980,2.46
Croatia,1985,2.08
Croatia,1990,1.55
Croatia,1995,1.19
Croatia,2000,0.82
Croatia,2005,0.76
Croatia,2010,0.68
Croatia,2015,0.5
Cuba,1955,11.28
Cuba,1960,9.42
Cuba,1965,7.62
Cuba,1970,5.88
Cuba,1975,4.38
Cuba,1980,2.71
Cuba,1985,2.15
Cuba,1990,1.69
Cuba,1995,1.4
Cuba,2000,1.04
Cuba,2005,0.77
Cuba,2010,0.71
Cuba,2015,0.69
Curacao,1955,8.72
Curacao,1960,6.36
Curacao,1965,5.19
Curacao,1970,4.29
Curacao,1975,3.35
Curacao,1980,2.59
Curacao,1985,2.1
Curacao,1990,1.98
Curacao,1995,1.75
Curacao,2000,1.8
Curacao,2005,1.74
Curacao,2010,1.54
Curacao,2015,1.22
Cyprus,1955,7.84
Cyprus,1960,6.15
Cyprus,1965,4.82
Cyprus,1970,3.77
Cyprus,1975,2.95
Cyprus,1980,2.3
Cyprus,1985,1.8
Cyprus,1990,1.4
Cyprus,1995,1.09
Cyprus,2000,0.85
Cyprus,2005,0.67
Cyprus,2010,0.52
Cyprus,2015,0.5
Czech Republic,1955,5.43
Czech Republic,1960,2.92
Czech Republic,1965,2.4
Czech Republic,1970,2.53
Czech Republic,1975,2.31
Czech Republic,1980,2.01
Czech Republic,1985,1.69
Czech Republic,1990,1.33
Czech Republic,1995,1.11
Czech Republic,2000,0.71
Czech Republic,2005,0.5
Czech Republic,2010,0.39
Czech Republic,2015,0.31
Democratic Republic of Congo,1955,28.09
Democratic Republic of Congo,1960,26.6
Democratic Republic of Congo,1965,25.55
Democratic Republic of Congo,1970,24.25
Democratic Republic of Congo,1975,22.6
Democratic Republic of Congo,1980,21.83
Democratic Republic of Congo,1985,20.46
Democratic Republic of Congo,1990,19.43
Democratic Republic of Congo,1995,18.23
Democratic Republic of Congo,2000,18.84
Democratic Republic of Congo,2005,16.31
Democratic Republic of Congo,2010,13.43
Democratic Republic of Congo,2015,11.51
Denmark,1955,3.34
Denmark,1960,2.73
Denmark,1965,2.39
Denmark,1970,1.94
Denmark,1975,1.49
Denmark,1980,1.13
Denmark,1985,0.97
Denmark,1990,0.98
Denmark,1995,0.79
Denmark,2000,0.61
Denmark,2005,0.56
Denmark,2010,0.45
Denmark,2015,0.42
Djibouti,1955,26.06
Djibouti,1960,24.23
Djibouti,1965,22.2
Djibouti,1970,20.22
Djibouti,1975,17.11
Djibouti,1980,15.72
Djibouti,1985,14.05
Djibouti,1990,12.95
Djibouti,1995,12
Djibouti,2000,11.2
Djibouti,2005,10.55
Djibouti,2010,9.75
Djibouti,2015,8.34
Dominican Republic,1955,25.21
Dominican Republic,1960,21.85
Dominican Republic,1965,18.79
Dominican Republic,1970,16.01
Dominican Republic,1975,13.01
Dominican Republic,1980,10.42
Dominican Republic,1985,8.61
Dominican Republic,1990,7.14
Dominican Republic,1995,5.47
Dominican Republic,2000,4.65
Dominican Republic,2005,3.84
Dominican Republic,2010,3.28
Dominican Republic,2015,2.81
Ecuador,1955,20.58
Ecuador,1960,18.99
Ecuador,1965,17.49
Ecuador,1970,15.58
Ecuador,1975,13.64
Ecuador,1980,11.52
Ecuador,1985,9.4
Ecuador,1990,7.17
Ecuador,1995,5.47
Ecuador,2000,4.37
Ecuador,2005,3.48
Ecuador,2010,2.88
Ecuador,2015,2.54
Egypt,1955,38.73
Egypt,1960,31.55
Egypt,1965,27.79
Egypt,1970,25.09
Egypt,1975,23.77
Egypt,1980,18.87
Egypt,1985,14.9
Egypt,1990,10.22
Egypt,1995,8.04
Egypt,2000,4.87
Egypt,2005,3.83
Egypt,2010,3
Egypt,2015,2.42
El Salvador,1955,22.98
El Salvador,1960,21.62
El Salvador,1965,20.13
El Salvador,1970,18.02
El Salvador,1975,16.26
El Salvador,1980,14.72
El Salvador,1985,12.48
El Salvador,1990,8.92
El Salvador,1995,5.3
El Salvador,2000,3.55
El Salvador,2005,2.79
El Salvador,2010,2.41
El Salvador,2015,1.97
Equatorial Guinea,1955,32.89
Equatorial Guinea,1960,31.24
Equatorial Guinea,1965,29.64
Equatorial Guinea,1970,28.1
Equatorial Guinea,1975,26.57
Equatorial Guinea,1980,25.1
Equatorial Guinea,1985,21.87
Equatorial Guinea,1990,20.35
Equatorial Guinea,1995,18.41
Equatorial Guinea,2000,16.32
Equatorial Guinea,2005,14.47
Equatorial Guinea,2010,12.65
Equatorial Guinea,2015,10.9
Eritrea,1955,29.22
Eritrea,1960,27.93
Eritrea,1965,26.39
Eritrea,1970,23.95
Eritrea,1975,20.99
Eritrea,1980,18.86
Eritrea,1985,17.52
Eritrea,1990,15.57
Eritrea,1995,13.01
Eritrea,2000,10.2
Eritrea,2005,8.38
Eritrea,2010,7.17
Eritrea,2015,5.98
Estonia,1955,11.19
Estonia,1960,6.22
Estonia,1965,3.86
Estonia,1970,2.81
Estonia,1975,2.56
Estonia,1980,2.64
Estonia,1985,2.5
Estonia,1990,2.2
Estonia,1995,1.98
Estonia,2000,1.49
Estonia,2005,0.92
Estonia,2010,0.6
Estonia,2015,0.43
Ethiopia,1955,33.36
Ethiopia,1960,30.51
Ethiopia,1965,27.01
Ethiopia,1970,25
Ethiopia,1975,23.72
Ethiopia,1980,23.05
Ethiopia,1985,23.7
Ethiopia,1990,21.25
Ethiopia,1995,19.06
Ethiopia,2000,15.57
Ethiopia,2005,12.27
Ethiopia,2010,9.13
Ethiopia,2015,7.4
Fiji,1955,15.08
Fiji,1960,12.57
Fiji,1965,10.5
Fiji,1970,8.8
Fiji,1975,7.41
Fiji,1980,6.33
Fiji,1985,5.13
Fiji,1990,4.19
Fiji,1995,3.45
Fiji,2000,2.86
Fiji,2005,2.38
Fiji,2010,2.25
Fiji,2015,1.99
Finland,1955,4.21
Finland,1960,3.25
Finland,1965,2.36
Finland,1970,1.85
Finland,1975,1.46
Finland,1980,1.08
Finland,1985,0.79
Finland,1990,0.72
Finland,1995,0.61
Finland,2000,0.47
Finland,2005,0.4
Finland,2010,0.35
Finland,2015,0.29
France,1955,5.39
France,1960,3.96
France,1965,2.98
France,1970,2.41
France,1975,1.93
France,1980,1.43
France,1985,1.16
France,1990,0.97
France,1995,0.82
France,2000,0.58
France,2005,0.52
France,2010,0.45
France,2015,0.4
French Guiana,1955,14.89
French Guiana,1960,12.62
French Guiana,1965,10.09
French Guiana,1970,6.69
French Guiana,1975,5.86
French Guiana,1980,5.42
French Guiana,1985,3.92
French Guiana,1990,3.06
French Guiana,1995,2.44
French Guiana,2000,1.98
French Guiana,2005,1.58
French Guiana,2010,1.23
French Guiana,2015,1.1
French Polynesia,1955,14.19
French Polynesia,1960,10.75
French Polynesia,1965,9.53
French Polynesia,1970,8.45
French Polynesia,1975,7.56
French Polynesia,1980,6.23
French Polynesia,1985,3.73
French Polynesia,1990,2.15
French Polynesia,1995,1.97
French Polynesia,2000,1.14
French Polynesia,2005,1.02
French Polynesia,2010,0.96
French Polynesia,2015,0.76
Gabon,1955,30.17
Gabon,1960,28.09
Gabon,1965,26.6
Gabon,1970,22.7
Gabon,1975,18.96
Gabon,1980,15.47
Gabon,1985,12.31
Gabon,1990,9.66
Gabon,1995,9.09
Gabon,2000,8.91
Gabon,2005,8.91
Gabon,2010,7.74
Gabon,2015,6.19
Gambia,1955,38.29
Gambia,1960,36.68
Gambia,1965,35.13
Gambia,1970,30.65
Gambia,1975,26.77
Gambia,1980,23.22
Gambia,1985,20
Gambia,1990,17.5
Gambia,1995,15.57
Gambia,2000,13.84
Gambia,2005,10.84
Gambia,2010,8.96
Gambia,2015,8.29
Georgia,1955,9.04
Georgia,1960,8.13
Georgia,1965,7.25
Georgia,1970,6.38
Georgia,1975,5.58
Georgia,1980,5.22
Georgia,1985,4.96
Georgia,1990,4.65
Georgia,1995,4.9
Georgia,2000,3.98
Georgia,2005,3.2
Georgia,2010,2.24
Georgia,2015,1.64
Germany,1955,5.48
Germany,1960,4.45
Germany,1965,3.51
Germany,1970,2.67
Germany,1975,2.42
Germany,1980,1.83
Germany,1985,1.33
Germany,1990,1
Germany,1995,0.77
Germany,2000,0.6
Germany,2005,0.51
Germany,2010,0.45
Germany,2015,0.38
Ghana,1955,24.94
Ghana,1960,22.59
Ghana,1965,20.54
Ghana,1970,18.93
Ghana,1975,17.68
Ghana,1980,16.31
Ghana,1985,15.09
Ghana,1990,13.28
Ghana,1995,11.43
Ghana,2000,10.43
Ghana,2005,9.37
Ghana,2010,8.39
Ghana,2015,7.75
Greece,1955,5.8
Greece,1960,5.05
Greece,1965,4.45
Greece,1970,3.8
Greece,1975,2.82
Greece,1980,2.34
Greece,1985,1.65
Greece,1990,1.31
Greece,1995,0.93
Greece,2000,0.8
Greece,2005,0.56
Greece,2010,0.49
Greece,2015,0.35
Grenada,1955,14.11
Grenada,1960,11.36
Grenada,1965,9.11
Grenada,1970,7.29
Grenada,1975,5.83
Grenada,1980,4.65
Grenada,1985,3.71
Grenada,1990,2.96
Grenada,1995,2.36
Grenada,2000,1.89
Grenada,2005,1.64
Grenada,2010,1.39
Grenada,2015,1.31
Guadeloupe,1955,13.44
Guadeloupe,1960,10.24
Guadeloupe,1965,7.81
Guadeloupe,1970,5.98
Guadeloupe,1975,4.59
Guadeloupe,1980,3.53
Guadeloupe,1985,2.73
Guadeloupe,1990,2.11
Guadeloupe,1995,1.64
Guadeloupe,2000,1.28
Guadeloupe,2005,1
Guadeloupe,2010,0.78
Guadeloupe,2015,0.64
Guam,1955,11.67
Guam,1960,9.82
Guam,1965,8.05
Guam,1970,6.5
Guam,1975,5.19
Guam,1980,4.21
Guam,1985,3.46
Guam,1990,2.9
Guam,1995,2.45
Guam,2000,1.99
Guam,2005,1.57
Guam,2010,1.32
Guam,2015,1.12
Guatemala,1955,25.9
Guatemala,1960,24.09
Guatemala,1965,21.92
Guatemala,1970,19.38
Guatemala,1975,16.4
Guatemala,1980,13.97
Guatemala,1985,11.78
Guatemala,1990,9.59
Guatemala,1995,7.43
Guatemala,2000,5.88
Guatemala,2005,4.86
Guatemala,2010,3.96
Guatemala,2015,3.16
Guinea,1955,34.61
Guinea,1960,33.52
Guinea,1965,32.69
Guinea,1970,32.19
Guinea,1975,31.15
Guinea,1980,28.91
Guinea,1985,26.48
Guinea,1990,24.09
Guinea,1995,21.59
Guinea,2000,18.74
Guinea,2005,16.12
Guinea,2010,13.95
Guinea,2015,10.07
Guinea-Bissau,1955,31.21
Guinea-Bissau,1960,30.18
Guinea-Bissau,1965,29.04
Guinea-Bissau,1970,27.43
Guinea-Bissau,1975,26.01
Guinea-Bissau,1980,24.36
Guinea-Bissau,1985,22.82
Guinea-Bissau,1990,21.72
Guinea-Bissau,1995,20.45
Guinea-Bissau,2000,19.25
Guinea-Bissau,2005,17.96
Guinea-Bissau,2010,16.81
Guinea-Bissau,2015,15.18
Guyana,1955,9.7
Guyana,1960,8.95
Guyana,1965,8.3
Guyana,1970,7.67
Guyana,1975,7.43
Guyana,1980,7.21
Guyana,1985,6.94
Guyana,1990,6.56
Guyana,1995,5.77
Guyana,2000,5.14
Guyana,2005,4.6
Guyana,2010,4.29
Guyana,2015,4.11
Haiti,1955,33.13
Haiti,1960,29.09
Haiti,1965,25.48
Haiti,1970,22.3
Haiti,1975,20.49
Haiti,1980,18.85
Haiti,1985,17.28
Haiti,1990,14.66
Haiti,1995,12.69
Haiti,2000,10.74
Haiti,2005,9.26
Haiti,2010,8.59
Haiti,2015,7.74
Honduras,1955,27.68
Honduras,1960,24.95
Honduras,1965,21.7
Honduras,1970,19
Honduras,1975,16.47
Honduras,1980,13.13
Honduras,1985,10.08
Honduras,1990,7.4
Honduras,1995,6
Honduras,2000,4.97
Honduras,2005,4.47
Honduras,2010,4.25
Honduras,2015,4.01
Hong Kong,1955,8.73
Hong Kong,1960,6.6
Hong Kong,1965,4.28
Hong Kong,1970,3.17
Hong Kong,1975,2.34
Hong Kong,1980,1.73
Hong Kong,1985,1.28
Hong Kong,1990,0.94
Hong Kong,1995,0.69
Hong Kong,2000,0.51
Hong Kong,2005,0.39
Hong Kong,2010,0.31
Hong Kong,2015,0.26
Hungary,1955,8.27
Hungary,1960,6.22
Hungary,1965,4.86
Hungary,1970,4.14
Hungary,1975,3.97
Hungary,1980,2.84
Hungary,1985,2.22
Hungary,1990,1.92
Hungary,1995,1.51
Hungary,2000,1.13
Hungary,2005,0.87
Hungary,2010,0.66
Hungary,2015,0.55
Iceland,1955,2.67
Iceland,1960,2.24
Iceland,1965,2.13
Iceland,1970,1.71
Iceland,1975,1.47
Iceland,1980,1.23
Iceland,1985,0.78
Iceland,1990,0.69
Iceland,1995,0.59
Iceland,2000,0.52
Iceland,2005,0.34
Iceland,2010,0.29
Iceland,2015,0.26
India,1955,27.87
India,1960,25.55
India,1965,23.62
India,1970,21.97
India,1975,20.21
India,1980,17.8
India,1985,15.34
India,1990,13.34
India,1995,11.56
India,2000,9.84
India,2005,8.1
India,2010,6.57
India,2015,5.26
Indonesia,1955,29.89
Indonesia,1960,25.37
Indonesia,1965,21.46
Indonesia,1970,18.09
Indonesia,1975,14.95
Indonesia,1980,12.75
Indonesia,1985,10.9
Indonesia,1990,9.11
Indonesia,1995,7.31
Indonesia,2000,5.76
Indonesia,2005,4.56
Indonesia,2010,3.66
Indonesia,2015,3.03
Iran,1955,29.84
Iran,1960,26.78
Iran,1965,23.63
Iran,1970,20.62
Iran,1975,16.7
Iran,1980,12.26
Iran,1985,8.76
Iran,1990,6.53
Iran,1995,5.04
Iran,2000,3.99
Iran,2005,3.01
Iran,2010,2.23
Iran,2015,1.72
Iraq,1955,32.66
Iraq,1960,24.54
Iraq,1965,18.52
Iraq,1970,13.18
Iraq,1975,10.38
Iraq,1980,8.08
