Entity,Year,Share of the population in extreme poverty,Extreme Poverty to 2030 (On or Off-track)
Asia,2023,1.16,
Asia,2024,1.05,
Asia,2025,0.97,
Asia,2026,0.90,
Asia,2027,0.85,
Asia,2028,0.81,
Asia,2029,0.78,
Asia,2030,0.76,
Australia,2015,0.21,Target reached
Australia,2016,0.21,Target reached
Australia,2017,0.21,Target reached
Australia,2018,0.21,Target reached
Australia,2019,0.21,Target reached
Australia,2020,0.20,Target reached
Australia,2021,0.20,Target reached
Australia,2022,0.20,Target reached
Australia,2023,0.20,Target reached
Australia,2024,0.20,Target reached
Australia,2025,0.20,Target reached
Australia,2026,0.20,Target reached
Australia,2027,0.20,Target reached
Australia,2028,0.20,Target reached
Australia,2029,0.20,Target reached
Australia,2030,0.20,Target reached
Austria,2015,0.39,Target reached
Austria,2016,0.39,Target reached
Austria,2017,0.39,Target reached
Austria,2018,0.39,Target reached
Austria,2019,0.39,Target reached
Austria,2020,0.39,Target reached
Austria,2021,0.39,Target reached
Austria,2022,0.38,Target reached
Austria,2023,0.38,Target reached
Austria,2024,0.38,Target reached
Austria,2025,0.38,Target reached
Austria,2026,0.38,Target reached
Austria,2027,0.38,Target reached
Austria,2028,0.38,Target reached
Austria,2029,0.38,Target reached
Austria,2030,0.38,Target reached
Azerbaijan,2015,0.24,Target reached
Azerbaijan,2016,0.27,Target reached
Azerbaijan,2017,0.29,Target reached
Azerbaijan,2018,0.28,Target reached
Azerbaijan,2019,0.26,Target reached
Azerbaijan,2020,0.25,Target reached
Azerbaijan,2021,0.24,Target reached
Azerbaijan,2022,0.22,Target reached
Azerbaijan,2023,0.22,Target reached
Azerbaijan,2024,0.21,Target reached
Azerbaijan,2025,0.21,Target reached
Azerbaijan,2026,0.20,Target reached
Azerbaijan,2027,0.20,Target reached
Azerbaijan,2028,0.20,Target reached
Azerbaijan,2029,0.19,Target reached
Azerbaijan,2030,0.19,Target reached
Bahamas,2015,1.90,Target reached
Bahamas,2016,1.93,Target reached
Bahamas,2017,1.92,Target reached
Bahamas,2018,1.90,Target reached
Bahamas,2019,1.88,Target reached
Bahamas,2020,1.86,Target reached
Bahamas,2021,1.85,Target reached
Bahamas,2022,1.85,Target reached
Bahamas,2023,1.87,Target reached
Bahamas,2024,1.89,Target reached
Bahamas,2025,1.91,Target reached
Bahamas,2026,1.93,Target reached
Bahamas,2027,1.94,Target reached
Bahamas,2028,1.96,Target reached
Bahamas,2029,1.98,Target reached
Bahamas,2030,2.00,Target reached
Bahrain,2015,0.11,Target reached
Bahrain,2016,0.10,Target reached
Bahrain,2017,0.09,Target reached
Bahrain,2018,0.09,Target reached
Bahrain,2019,0.08,Target reached
Bahrain,2020,0.08,Target reached
Bahrain,2021,0.07,Target reached
Bahrain,2022,0.07,Target reached
Bahrain,2023,0.07,Target reached
Bahrain,2024,0.07,Target reached
Bahrain,2025,0.06,Target reached
Bahrain,2026,0.06,Target reached
Bahrain,2027,0.06,Target reached
Bahrain,2028,0.06,Target reached
Bahrain,2029,0.06,Target reached
Bahrain,2030,0.05,Target reached
Bangladesh,2015,10.62,On-track
Bangladesh,2016,8.06,On-track
Bangladesh,2017,5.84,On-track
Bangladesh,2018,3.98,On-track
Bangladesh,2019,2.55,Target reached
Bangladesh,2020,1.53,Target reached
Bangladesh,2021,0.88,Target reached
Bangladesh,2022,0.50,Target reached
Bangladesh,2023,0.31,Target reached
Bangladesh,2024,0.19,Target reached
Bangladesh,2025,0.12,Target reached
Bangladesh,2026,0.08,Target reached
Bangladesh,2027,0.05,Target reached
Bangladesh,2028,0.04,Target reached
Bangladesh,2029,0.03,Target reached
Bangladesh,2030,0.02,Target reached
Barbados,2015,1.51,Target reached
Barbados,2016,1.49,Target reached
Barbados,2017,1.47,Target reached
Barbados,2018,1.44,Target reached
Barbados,2019,1.42,Target reached
Barbados,2020,1.41,Target reached
Barbados,2021,1.39,Target reached
Barbados,2022,1.38,Target reached
Barbados,2023,1.38,Target reached
Barbados,2024,1.38,Target reached
Barbados,2025,1.37,Target reached
Barbados,2026,1.38,Target reached
Barbados,2027,1.38,Target reached
Barbados,2028,1.38,Target reached
Barbados,2029,1.38,Target reached
Barbados,2030,1.39,Target reached
Belarus,2015,0.07,Target reached
Belarus,2016,0.07,Target reached
Belarus,2017,0.07,Target reached
Belarus,2018,0.07,Target reached
Belarus,2019,0.07,Target reached
Belarus,2020,0.07,Target reached
Belarus,2021,0.07,Target reached
Belarus,2022,0.06,Target reached
Belarus,2023,0.06,Target reached
Belarus,2024,0.06,Target reached
Belarus,2025,0.06,Target reached
Belarus,2026,0.06,Target reached
Belarus,2027,0.06,Target reached
Belarus,2028,0.06,Target reached
Belarus,2029,0.06,Target reached
Belarus,2030,0.06,Target reached
Belgium,2015,0.32,Target reached
Belgium,2016,0.32,Target reached
Belgium,2017,0.32,Target reached
Belgium,2018,0.31,Target reached
Belgium,2019,0.31,Target reached
Belgium,2020,0.31,Target reached
Belgium,2021,0.31,Target reached
Belgium,2022,0.31,Target reached
Belgium,2023,0.31,Target reached
Belgium,2024,0.31,Target reached
Belgium,2025,0.31,Target reached
Belgium,2026,0.31,Target reached
Belgium,2027,0.31,Target reached
Belgium,2028,0.31,Target reached
Belgium,2029,0.31,Target reached
Belgium,2030,0.31,Target reached
Belize,2015,10.23,Poverty rising
Belize,2016,10.74,Poverty rising
Belize,2017,10.60,Off-track
Belize,2018,10.56,Off-track
Belize,2019,10.55,Off-track
Belize,2020,10.54,Off-track
Belize,2021,10.53,Off-track
Belize,2022,10.52,Off-track
Belize,2023,10.22,Off-track
Belize,2024,9.94,Off-track
Belize,2025,9.67,Off-track
Belize,2026,9.38,Off-track
Belize,2027,9.10,Off-track
Belize,2028,8.83,Off-track
Belize,2029,8.58,Off-track
Belize,2030,8.33,Off-track
Benin,2015,49.23,Off-track
Benin,2016,48.47,Off-track
Benin,2017,47.02,Off-track
Benin,2018,45.28,Off-track
Benin,2019,43.41,Off-track
Benin,2020,41.38,Off-track
Benin,2021,39.17,Off-track
Benin,2022,37.39,Off-track
Benin,2023,35.68,Off-track
Benin,2024,34.01,Off-track
Benin,2025,32.38,Off-track
Benin,2026,30.56,Off-track
Benin,2027,28.80,Off-track
Benin,2028,27.09,Off-track
Benin,2029,25.42,Off-track
Benin,2030,23.81,Off-track
Bhutan,2015,0.22,Target reached
Bhutan,2016,0.16,Target reached
Bhutan,2017,0.12,Target reached
Bhutan,2018,0.07,Target reached
Bhutan,2019,0.04,Target reached
Bhutan,2020,0.02,Target reached
Bhutan,2021,0.02,Target reached
Bhutan,2022,0.02,Target reached
Bhutan,2023,0.01,Target reached
Bhutan,2024,0.01,Target reached
Bhutan,2025,0.02,Target reached
Bhutan,2026,0.01,Target reached
Bhutan,2027,0.01,Target reached
Bhutan,2028,0.01,Target reached
Bhutan,2029,0.01,Target reached
Bhutan,2030,0.00,Target reached
Bolivia,2015,5.85,Off-track
Bolivia,2016,5.62,Off-track
Bolivia,2017,5.41,Off-track
Bolivia,2018,5.23,Off-track
Bolivia,2019,5.07,Off-track
Bolivia,2020,4.91,Off-track
Bolivia,2021,4.76,Off-track
Bolivia,2022,4.61,Off-track
Bolivia,2023,4.35,Off-track
Bolivia,2024,4.11,Off-track
Bolivia,2025,3.89,Off-track
Bolivia,2026,3.67,Off-track
Bolivia,2027,3.46,Off-track
Bolivia,2028,3.27,Off-track
Bolivia,2029,3.09,Off-track
Bolivia,2030,2.92,Target reached
Bosnia and Herzegovina,2015,0.05,Target reached
Bosnia and Herzegovina,2016,0.05,Target reached
Bosnia and Herzegovina,2017,0.04,Target reached
Bosnia and Herzegovina,2018,0.04,Target reached
Bosnia and Herzegovina,2019,0.04,Target reached
Bosnia and Herzegovina,2020,0.03,Target reached
Bosnia and Herzegovina,2021,0.03,Target reached
Bosnia and Herzegovina,2022,0.02,Target reached
Bosnia and Herzegovina,2023,0.02,Target reached
Bosnia and Herzegovina,2024,0.03,Target reached
Bosnia and Herzegovina,2025,0.02,Target reached
Bosnia and Herzegovina,2026,0.02,Target reached
Bosnia and Herzegovina,2027,0.02,Target reached
Bosnia and Herzegovina,2028,0.03,Target reached
Bosnia and Herzegovina,2029,0.02,Target reached
Bosnia and Herzegovina,2030,0.02,Target reached
Botswana,2015,18.57,Off-track
Botswana,2016,18.32,Off-track
Botswana,2017,17.76,Off-track
Botswana,2018,17.17,Off-track
Botswana,2019,16.55,Off-track
Botswana,2020,15.92,Off-track
Botswana,2021,15.35,Off-track
Botswana,2022,14.79,Off-track
Botswana,2023,13.83,Off-track
Botswana,2024,12.91,Off-track
Botswana,2025,12.02,Off-track
Botswana,2026,11.20,Off-track
Botswana,2027,10.41,Off-track
Botswana,2028,9.64,Off-track
Botswana,2029,8.88,Off-track
Botswana,2030,8.14,Off-track
Brazil,2015,3.75,Poverty rising
Brazil,2016,4.14,Poverty rising
Brazil,2017,4.19,Poverty rising
Brazil,2018,4.11,Off-track
Brazil,2019,4.00,Off-track
Brazil,2020,3.89,Off-track
Brazil,2021,3.79,Off-track
Brazil,2022,3.68,Off-track
Brazil,2023,3.62,Off-track
Brazil,2024,3.56,Off-track
Brazil,2025,3.50,Off-track
Brazil,2026,3.44,Off-track
Brazil,2027,3.39,Off-track
Brazil,2028,3.33,Off-track
Brazil,2029,3.28,Off-track
Brazil,2030,3.23,Off-track
Brunei,2015,0.02,Target reached
Brunei,2016,0.02,Target reached
Brunei,2017,0.02,Target reached
Brunei,2018,0.02,Target reached
Brunei,2019,0.02,Target reached
Brunei,2020,0.02,Target reached
Brunei,2021,0.02,Target reached
Brunei,2022,0.02,Target reached
Brunei,2023,0.01,Target reached
Brunei,2024,0.01,Target reached
Brunei,2025,0.01,Target reached
Brunei,2026,0.01,Target reached
Brunei,2027,0.01,Target reached
Brunei,2028,0.01,Target reached
Brunei,2029,0.01,Target reached
Brunei,2030,0.01,Target reached
Bulgaria,2015,1.44,Target reached
Bulgaria,2016,1.37,Target reached
Bulgaria,2017,1.32,Target reached
Bulgaria,2018,1.27,Target reached
Bulgaria,2019,1.23,Target reached
Bulgaria,2020,1.18,Target reached
Bulgaria,2021,1.15,Target reached
Bulgaria,2022,1.11,Target reached
Bulgaria,2023,1.09,Target reached
Bulgaria,2024,1.06,Target reached
Bulgaria,2025,1.04,Target reached
Bulgaria,2026,1.02,Target reached
Bulgaria,2027,1.01,Target reached
Bulgaria,2028,0.99,Target reached
Bulgaria,2029,0.98,Target reached
Bulgaria,2030,0.97,Target reached
Burkina Faso,2015,36.57,Off-track
Burkina Faso,2016,34.95,Off-track
Burkina Faso,2017,32.88,Off-track
Burkina Faso,2018,30.67,Off-track
Burkina Faso,2019,28.40,Off-track
Burkina Faso,2020,26.11,Off-track
Burkina Faso,2021,23.89,Off-track
Burkina Faso,2022,21.86,Off-track
Burkina Faso,2023,19.59,Off-track
Burkina Faso,2024,17.41,Off-track
Burkina Faso,2025,15.31,Off-track
Burkina Faso,2026,13.04,Off-track
Burkina Faso,2027,10.91,Off-track
Burkina Faso,2028,8.91,Off-track
Burkina Faso,2029,7.06,Off-track
Burkina Faso,2030,5.39,Off-track
Burundi,2015,81.40,Poverty rising
Burundi,2016,84.02,Poverty rising
Burundi,2017,85.88,Poverty rising
Burundi,2018,87.54,Poverty rising
Burundi,2019,88.94,Poverty rising
Burundi,2020,90.19,Poverty rising
Burundi,2021,91.36,Poverty rising
Burundi,2022,92.44,Poverty rising
Burundi,2023,90.89,Off-track
Burundi,2024,89.38,Off-track
Burundi,2025,87.91,Off-track
Burundi,2026,86.13,Off-track
Burundi,2027,84.39,Off-track
Burundi,2028,82.69,Off-track
Burundi,2029,81.01,Off-track
Burundi,2030,79.36,Off-track
Cambodia,2015,0.52,Target reached
Cambodia,2016,0.23,Target reached
Cambodia,2017,0.10,Target reached
Cambodia,2018,0.05,Target reached
Cambodia,2019,0.02,Target reached
Cambodia,2020,0.01,Target reached
Cambodia,2021,0.01,Target reached
Cambodia,2022,0.00,Target reached
Cambodia,2023,0.00,Target reached
Cambodia,2024,0.00,Target reached
Cambodia,2025,0.00,Target reached
Cambodia,2026,0.00,Target reached
Cambodia,2027,0.00,Target reached
Cambodia,2028,0.00,Target reached
Cambodia,2029,0.00,Target reached
Cambodia,2030,0.00,Target reached
Cameroon,2015,23.88,Off-track
Cameroon,2016,23.24,Off-track
Cameroon,2017,22.84,Off-track
Cameroon,2018,22.25,Off-track
Cameroon,2019,21.50,Off-track
Cameroon,2020,20.72,Off-track
Cameroon,2021,19.86,Off-track
Cameroon,2022,19.01,Off-track
Cameroon,2023,17.84,Off-track
Cameroon,2024,16.71,Off-track
Cameroon,2025,15.63,Off-track
Cameroon,2026,14.52,Off-track
Cameroon,2027,13.46,Off-track
Cameroon,2028,12.45,Off-track
Cameroon,2029,11.48,Off-track
Cameroon,2030,10.54,Off-track
Canada,2015,0.28,Target reached
Canada,2016,0.28,Target reached
Canada,2017,0.28,Target reached
Canada,2018,0.28,Target reached
Canada,2019,0.28,Target reached
Canada,2020,0.27,Target reached
Canada,2021,0.27,Target reached
Canada,2022,0.27,Target reached
Canada,2023,0.27,Target reached
Canada,2024,0.27,Target reached
Canada,2025,0.27,Target reached
Canada,2026,0.27,Target reached
Canada,2027,0.27,Target reached
Canada,2028,0.27,Target reached
Canada,2029,0.27,Target reached
Canada,2030,0.27,Target reached
Cape Verde,2015,18.57,Off-track
Cape Verde,2016,17.68,Off-track
Cape Verde,2017,16.80,Off-track
Cape Verde,2018,15.91,Off-track
Cape Verde,2019,15.03,Off-track
Cape Verde,2020,14.17,Off-track
Cape Verde,2021,13.28,Off-track
Cape Verde,2022,12.41,Off-track
Cape Verde,2023,11.85,Off-track
Cape Verde,2024,11.31,Off-track
Cape Verde,2025,10.78,Off-track
Cape Verde,2026,10.28,Off-track
Cape Verde,2027,9.79,Off-track
Cape Verde,2028,9.31,Off-track
Cape Verde,2029,8.85,Off-track
Cape Verde,2030,8.40,Off-track
Central African Republic,2015,85.96,Off-track
Central African Republic,2016,85.94,Off-track
Central African Republic,2017,85.54,Off-track
Central African Republic,2018,84.78,Off-track
Central African Republic,2019,83.74,Off-track
Central African Republic,2020,82.48,Off-track
Central African Republic,2021,81.01,Off-track
Central African Republic,2022,79.40,Off-track
Central African Republic,2023,79.99,Off-track
Central African Republic,2024,80.53,Poverty rising
Central African Republic,2025,81.04,Poverty rising
Central African Republic,2026,81.33,Poverty rising
Central African Republic,2027,81.61,Poverty rising
Central African Republic,2028,81.87,Poverty rising
Central African Republic,2029,82.12,Poverty rising
Central African Republic,2030,82.34,Poverty rising
Chad,2015,36.44,Poverty rising
Chad,2016,40.87,Poverty rising
Chad,2017,42.23,Poverty rising
Chad,2018,42.65,Poverty rising
Chad,2019,42.76,Poverty rising
Chad,2020,42.61,Off-track
Chad,2021,42.37,Off-track
Chad,2022,41.92,Off-track
Chad,2023,41.49,Off-track
Chad,2024,41.09,Off-track
Chad,2025,40.70,Off-track
Chad,2026,40.07,Off-track
Chad,2027,39.46,Off-track
Chad,2028,38.86,Off-track
Chad,2029,38.29,Off-track
Chad,2030,37.74,Off-track
Chile,2015,0.05,Target reached
Chile,2016,0.05,Target reached
Chile,2017,0.05,Target reached
Chile,2018,0.04,Target reached
Chile,2019,0.04,Target reached
Chile,2020,0.03,Target reached
Chile,2021,0.03,Target reached
Chile,2022,0.03,Target reached
Chile,2023,0.03,Target reached
Chile,2024,0.03,Target reached
Chile,2025,0.02,Target reached
Chile,2026,0.02,Target reached
Chile,2027,0.02,Target reached
Chile,2028,0.01,Target reached
Chile,2029,0.01,Target reached
Chile,2030,0.01,Target reached
China,2015,0.93,Target reached
China,2016,0.70,Target reached
China,2017,0.53,Target reached
China,2018,0.42,Target reached
China,2019,0.33,Target reached
China,2020,0.27,Target reached
China,2021,0.22,Target reached
China,2022,0.19,Target reached
China,2023,0.15,Target reached
China,2024,0.13,Target reached
China,2025,0.11,Target reached
China,2026,0.10,Target reached
China,2027,0.09,Target reached
China,2028,0.08,Target reached
China,2029,0.07,Target reached
China,2030,0.07,Target reached
Colombia,2015,6.49,Off-track
Colombia,2016,6.35,Off-track
Colombia,2017,6.17,Off-track
Colombia,2018,5.89,Off-track
Colombia,2019,5.56,Off-track
Colombia,2020,5.23,Off-track
Colombia,2021,4.90,Off-track
Colombia,2022,4.58,Off-track
Colombia,2023,4.39,Off-track
Colombia,2024,4.20,Off-track
Colombia,2025,4.01,Off-track
Colombia,2026,3.82,Off-track
Colombia,2027,3.63,Off-track
Colombia,2028,3.44,Off-track
Colombia,2029,3.26,Off-track
Colombia,2030,3.09,Off-track
Comoros,2015,16.18,Off-track
Comoros,2016,16.25,Off-track
Comoros,2017,15.94,Off-track
Comoros,2018,15.39,Off-track
Comoros,2019,14.84,Off-track
Comoros,2020,14.29,Off-track
Comoros,2021,13.73,Off-track
Comoros,2022,13.17,Off-track
Comoros,2023,12.48,Off-track
Comoros,2024,11.81,Off-track
Comoros,2025,11.16,Off-track
Comoros,2026,10.46,Off-track
Comoros,2027,9.79,Off-track
Comoros,2028,9.14,Off-track
Comoros,2029,8.52,Off-track
Comoros,2030,7.92,Off-track
Congo,2015,40.94,Poverty rising
Congo,2016,43.11,Poverty rising
Congo,2017,43.96,Poverty rising
Congo,2018,41.58,Off-track
Congo,2019,42.05,Poverty rising
Congo,2020,41.94,Off-track
Congo,2021,42.04,Poverty rising
Congo,2022,42.21,Poverty rising
Congo,2023,41.18,Off-track
Congo,2024,40.17,Off-track
Congo,2025,39.17,Off-track
Congo,2026,38.23,Off-track
Congo,2027,37.30,Off-track
Congo,2028,36.40,Off-track
Congo,2029,35.51,Off-track
Congo,2030,34.63,Off-track
Cote d'Ivoire,2015,28.69,Off-track
Cote d'Ivoire,2016,26.55,Off-track
Cote d'Ivoire,2017,24.50,Off-track
Cote d'Ivoire,2018,22.64,Off-track
Cote d'Ivoire,2019,20.94,Off-track
Cote d'Ivoire,2020,19.37,Off-track
Cote d'Ivoire,2021,17.94,Off-track
Cote d'Ivoire,2022,16.61,Off-track
Cote d'Ivoire,2023,14.79,Off-track
Cote d'Ivoire,2024,13.10,Off-track
Cote d'Ivoire,2025,11.54,Off-track
Cote d'Ivoire,2026,10.04,Off-track
Cote d'Ivoire,2027,8.68,Off-track
Cote d'Ivoire,2028,7.43,Off-track
Cote d'Ivoire,2029,6.32,Off-track
Cote d'Ivoire,2030,5.32,Off-track
Croatia,2015,0.70,Target reached
Croatia,2016,0.67,Target reached
Croatia,2017,0.64,Target reached
Croatia,2018,0.61,Target reached
Croatia,2019,0.59,Target reached
Croatia,2020,0.57,Target reached
Croatia,2021,0.56,Target reached
Croatia,2022,0.54,Target reached
Croatia,2023,0.53,Target reached
Croatia,2024,0.53,Target reached
Croatia,2025,0.52,Target reached
Croatia,2026,0.51,Target reached
Croatia,2027,0.52,Target reached
Croatia,2028,0.51,Target reached
Croatia,2029,0.51,Target reached
Croatia,2030,0.50,Target reached
Cuba,2015,2.11,Target reached
Cuba,2016,1.92,Target reached
Cuba,2017,1.76,Target reached
Cuba,2018,1.61,Target reached
Cuba,2019,1.47,Target reached
Cuba,2020,1.34,Target reached
Cuba,2021,1.23,Target reached
Cuba,2022,1.13,Target reached
Cuba,2023,1.05,Target reached
Cuba,2024,0.97,Target reached
Cuba,2025,0.91,Target reached
Cuba,2026,0.84,Target reached
Cuba,2027,0.79,Target reached
Cuba,2028,0.73,Target reached
Cuba,2029,0.69,Target reached
Cuba,2030,0.64,Target reached
Cyprus,2015,0.05,Target reached
Cyprus,2016,0.05,Target reached
Cyprus,2017,0.05,Target reached
Cyprus,2018,0.05,Target reached
Cyprus,2019,0.05,Target reached
Cyprus,2020,0.05,Target reached
Cyprus,2021,0.05,Target reached
Cyprus,2022,0.05,Target reached
Cyprus,2023,0.05,Target reached
Cyprus,2024,0.05,Target reached
Cyprus,2025,0.05,Target reached
Cyprus,2026,0.05,Target reached
Cyprus,2027,0.05,Target reached
Cyprus,2028,0.05,Target reached
Cyprus,2029,0.05,Target reached
Cyprus,2030,0.05,Target reached
Czech Republic,2015,0.20,Target reached
Czech Republic,2016,0.20,Target reached
Czech Republic,2017,0.20,Target reached
Czech Republic,2018,0.19,Target reached
Czech Republic,2019,0.19,Target reached
Czech Republic,2020,0.19,Target reached
Czech Republic,2021,0.19,Target reached
Czech Republic,2022,0.18,Target reached
Czech Republic,2023,0.18,Target reached
Czech Republic,2024,0.18,Target reached
Czech Republic,2025,0.18,Target reached
Czech Republic,2026,0.18,Target reached
Czech Republic,2027,0.18,Target reached
Czech Republic,2028,0.18,Target reached
Czech Republic,2029,0.18,Target reached
Czech Republic,2030,0.18,Target reached
Democratic Republic of Congo,2015,71.57,Poverty rising
Democratic Republic of Congo,2016,71.82,Poverty rising
Democratic Republic of Congo,2017,71.89,Poverty rising
Democratic Republic of Congo,2018,71.65,Off-track
Democratic Republic of Congo,2019,71.26,Off-track
Democratic Republic of Congo,2020,70.73,Off-track
Democratic Republic of Congo,2021,69.96,Off-track
Democratic Republic of Congo,2022,69.05,Off-track
Democratic Republic of Congo,2023,66.46,Off-track
Democratic Republic of Congo,2024,63.89,Off-track
Democratic Republic of Congo,2025,61.33,Off-track
Democratic Republic of Congo,2026,58.91,Off-track
Democratic Republic of Congo,2027,56.54,Off-track
Democratic Republic of Congo,2028,54.21,Off-track
Democratic Republic of Congo,2029,51.93,Off-track
Democratic Republic of Congo,2030,49.69,Off-track
Denmark,2015,0.85,Target reached
Denmark,2016,0.85,Target reached
Denmark,2017,0.85,Target reached
Denmark,2018,0.85,Target reached
Denmark,2019,0.85,Target reached
Denmark,2020,0.84,Target reached
Denmark,2021,0.84,Target reached
Denmark,2022,0.84,Target reached
Denmark,2023,0.84,Target reached
Denmark,2024,0.84,Target reached
Denmark,2025,0.84,Target reached
Denmark,2026,0.84,Target reached
Denmark,2027,0.84,Target reached
Denmark,2028,0.84,Target reached
Denmark,2029,0.84,Target reached
Denmark,2030,0.84,Target reached
Djibouti,2015,18.57,Off-track
Djibouti,2016,17.01,Off-track
Djibouti,2017,15.40,Off-track
Djibouti,2018,13.91,Off-track
Djibouti,2019,12.51,Off-track
Djibouti,2020,11.42,Off-track
Djibouti,2021,10.39,Off-track
Djibouti,2022,9.42,Off-track
Djibouti,2023,8.65,Off-track
Djibouti,2024,7.93,Off-track
Djibouti,2025,7.25,Off-track
Djibouti,2026,6.54,Off-track
Djibouti,2027,5.90,Off-track
Djibouti,2028,5.31,Off-track
Djibouti,2029,4.77,Off-track
Djibouti,2030,4.28,Off-track
Dominican Republic,2015,0.74,Target reached
Dominican Republic,2016,0.34,Target reached
Dominican Republic,2017,0.17,Target reached
Dominican Republic,2018,0.08,Target reached
Dominican Republic,2019,0.03,Target reached
Dominican Republic,2020,0.01,Target reached
Dominican Republic,2021,0.01,Target reached
Dominican Republic,2022,0.00,Target reached
Dominican Republic,2023,0.00,Target reached
Dominican Republic,2024,0.00,Target reached
Dominican Republic,2025,0.00,Target reached
Dominican Republic,2026,0.00,Target reached
Dominican Republic,2027,0.00,Target reached
Dominican Republic,2028,0.00,Target reached
Dominican Republic,2029,0.00,Target reached
