Entity,Year,Number of direct national elections
Austria,1945,1
Austria,1949,1
Austria,1951,2
Austria,1953,1
Austria,1956,1
Austria,1957,1
Austria,1959,1
Austria,1962,1
Austria,1963,1
Austria,1965,1
Austria,1966,1
Austria,1970,1
Austria,1971,2
Austria,1974,1
Austria,1975,1
Austria,1979,1
Austria,1980,1
Austria,1983,1
Austria,1986,3
Austria,1990,1
Austria,1992,2
Austria,1994,1
Austria,1995,1
Austria,1998,1
Austria,1999,1
Austria,2002,1
Austria,2004,1
Austria,2006,1
Austria,2008,1
Austria,2010,1
Azerbaijan,1991,1
Azerbaijan,1992,1
Azerbaijan,1993,1
Azerbaijan,1995,2
Azerbaijan,1998,1
Azerbaijan,2000,1
Azerbaijan,2001,1
Azerbaijan,2003,1
Azerbaijan,2005,1
Azerbaijan,2006,1
Azerbaijan,2008,1
Azerbaijan,2010,1
Bahrain,1972,1
Bahrain,1973,1
Bahrain,2002,1
Bahrain,2006,2
Bahrain,2010,2
Bangladesh,1973,1
Bangladesh,1978,1
Bangladesh,1979,1
Bangladesh,1981,1
Bangladesh,1986,2
Bangladesh,1988,1
Bangladesh,1991,1
Bangladesh,1996,2
Bangladesh,2001,1
Bangladesh,2008,1
Belarus,1994,2
Belarus,1995,4
Belarus,2000,2
Belarus,2001,1
Belarus,2004,1
Belarus,2006,1
Belarus,2008,1
Belarus,2010,1
Belarus,2012,1
Belgium,1946,1
Belgium,1949,1
Belgium,1950,1
Belgium,1954,1
Belgium,1958,1
Belgium,1961,1
Belgium,1965,1
Belgium,1968,1
Belgium,1971,1
Belgium,1974,1
Belgium,1977,1
Belgium,1978,1
Belgium,1981,1
Belgium,1985,1
Belgium,1987,1
Belgium,1991,1
Belgium,1995,1
Belgium,1999,1
Belgium,2003,1
Belgium,2007,1
Belgium,2010,1
Benin,1960,2
Benin,1964,2
Benin,1968,3
Benin,1970,1
Benin,1979,1
Benin,1984,1
Benin,1989,1
Benin,1991,3
Benin,1995,2
Benin,1996,2
Benin,1999,1
Benin,2001,2
Benin,2003,1
Benin,2006,2
Benin,2007,1
Benin,2011,2
Bhutan,2007,1
Bhutan,2008,1
Bolivia,1947,1
Bolivia,1951,2
Bolivia,1956,2
Bolivia,1958,1
Bolivia,1960,2
Bolivia,1962,1
Bolivia,1964,2
Bolivia,1966,2
Bolivia,1978,2
Bolivia,1979,2
Bolivia,1980,2
Bolivia,1985,2
Bolivia,1989,2
Bolivia,1993,2
Bolivia,1997,2
Bolivia,2002,2
Bolivia,2005,2
Bolivia,2006,1
Bolivia,2008,1
Bolivia,2009,2
Bosnia and Herzegovina,1996,2
Bosnia and Herzegovina,1998,2
Bosnia and Herzegovina,2000,1
Bosnia and Herzegovina,2002,2
Bosnia and Herzegovina,2006,2
Bosnia and Herzegovina,2010,2
Botswana,1969,1
Botswana,1974,1
Botswana,1979,1
Botswana,1984,1
Botswana,1989,1
Botswana,1994,1
Botswana,1999,1
Botswana,2004,1
Botswana,2009,1
Brazil,1945,2
Brazil,1947,1
Brazil,1950,2
Brazil,1954,1
Brazil,1955,1
Brazil,1958,1
Brazil,1960,1
Brazil,1962,1
Brazil,1966,1
Brazil,1970,1
Brazil,1974,1
Brazil,1978,1
Brazil,1982,1
Brazil,1986,1
Brazil,1989,2
Brazil,1990,1
Brazil,1994,2
Brazil,1998,2
Brazil,2002,3
Brazil,2006,3
Brazil,2010,3
Bulgaria,1945,1
Bulgaria,1946,1
Bulgaria,1949,1
Bulgaria,1953,1
Bulgaria,1957,1
Bulgaria,1962,1
Bulgaria,1966,1
Bulgaria,1971,1
Bulgaria,1976,1
Bulgaria,1990,2
Bulgaria,1991,1
Bulgaria,1992,2
Bulgaria,1994,1
Bulgaria,1996,2
Bulgaria,1997,1
Bulgaria,2001,3
Bulgaria,2005,1
Bulgaria,2006,2
Bulgaria,2009,1
Bulgaria,2011,2
Burkina Faso,1965,2
Burkina Faso,1970,1
Burkina Faso,1978,3
Burkina Faso,1991,1
Burkina Faso,1992,1
Burkina Faso,1997,2
Burkina Faso,1998,1
Burkina Faso,2002,1
Burkina Faso,2005,1
Burkina Faso,2007,1
Burkina Faso,2010,1
Burkina Faso,2012,1
Burundi,1965,1
Burundi,1981,1
Burundi,1982,1
Burundi,1984,1
Burundi,1993,2
Burundi,2005,1
Burundi,2010,2
Cambodia,1955,1
Cambodia,1958,1
Cambodia,1962,1
Cambodia,1966,1
Cambodia,1972,3
Cambodia,1976,1
Cambodia,1981,1
Cambodia,1993,1
Cambodia,1998,1
Cambodia,2003,1
Cambodia,2008,1
Cameroon,1960,1
Cameroon,1964,1
Cameroon,1965,1
Cameroon,1970,2
Cameroon,1973,1
Cameroon,1975,1
Cameroon,1978,1
Cameroon,1980,1
Cameroon,1983,1
Cameroon,1984,1
Cameroon,1988,2
Cameroon,1992,2
Cameroon,1997,2
Cameroon,2002,1
Cameroon,2004,1
Cameroon,2007,1
Cameroon,2011,1
Canada,1945,1
Canada,1949,1
Canada,1953,1
Canada,1957,1
Canada,1958,1
Canada,1962,1
Canada,1963,1
Canada,1965,1
Canada,1968,1
Canada,1972,1
Canada,1974,1
Canada,1979,1
Canada,1980,1
Canada,1984,1
Canada,1988,1
Canada,1993,1
Canada,1997,1
Canada,2000,1
Canada,2004,1
Canada,2006,1
Canada,2008,1
Canada,2011,1
Cape Verde,2011,3
Central African Republic,1964,2
Central African Republic,1981,1
Central African Republic,1986,1
Central African Republic,1987,1
Central African Republic,1992,2
Central African Republic,1993,4
Central African Republic,1998,2
Central African Republic,1999,1
Central African Republic,2005,4
Central African Republic,2011,3
Chad,1962,1
Chad,1963,1
Chad,1969,2
Chad,1990,1
Chad,1996,2
Chad,1997,2
Chad,2001,1
Chad,2002,1
Chad,2006,1
Chad,2011,2
Chile,1945,1
Chile,1946,1
Chile,1949,1
Chile,1952,1
Chile,1953,1
Chile,1957,1
Chile,1958,1
Chile,1961,1
Chile,1964,1
Chile,1965,1
Chile,1969,1
Chile,1970,1
Chile,1973,1
Chile,1988,1
Chile,1989,2
Chile,1993,2
Chile,1997,1
Chile,1999,1
Chile,2000,1
Chile,2001,1
Chile,2005,2
Chile,2006,1
Chile,2009,2
Chile,2010,1
Colombia,1945,1
Colombia,1946,1
Colombia,1947,1
Colombia,1949,2
Colombia,1951,1
Colombia,1953,1
Colombia,1958,2
Colombia,1960,1
Colombia,1962,2
Colombia,1964,1
Colombia,1966,2
Colombia,1968,1
Colombia,1970,2
Colombia,1974,2
Colombia,1978,2
Colombia,1982,2
Colombia,1986,2
Colombia,1990,3
Colombia,1991,1
Colombia,1994,3
Colombia,1998,3
Colombia,2002,2
Colombia,2006,2
Colombia,2010,3
Comoros,1978,3
Comoros,1982,2
Comoros,1984,1
Comoros,1987,1
Comoros,1989,1
Comoros,1990,2
Comoros,1992,2
Comoros,1993,2
Comoros,1996,3
Comoros,2002,1
Comoros,2004,2
Comoros,2006,1
Comoros,2009,2
Comoros,2010,1
Congo,1961,1
Congo,1963,1
Congo,1973,1
Congo,1979,1
Congo,1984,1
Congo,1989,1
Congo,1992,4
Congo,1993,3
Congo,2002,3
Congo,2007,2
Congo,2009,1
Congo,2012,2
Costa Rica,1946,1
Costa Rica,1948,3
Costa Rica,1949,2
Costa Rica,1953,2
Costa Rica,1958,2
Costa Rica,1962,2
Costa Rica,1966,2
Costa Rica,1970,2
Costa Rica,1974,2
Costa Rica,1978,2
Costa Rica,1982,2
Costa Rica,1986,2
Costa Rica,1990,2
Costa Rica,1994,2
Costa Rica,1998,2
Costa Rica,2002,3
Costa Rica,2006,2
Costa Rica,2010,2
Cote d'Ivoire,1960,2
Cote d'Ivoire,1965,2
Cote d'Ivoire,1970,2
Cote d'Ivoire,1975,2
Cote d'Ivoire,1980,3
Cote d'Ivoire,1985,2
Cote d'Ivoire,1990,2
Cote d'Ivoire,1995,2
Cote d'Ivoire,2000,2
Cote d'Ivoire,2001,1
Cote d'Ivoire,2010,2
Cote d'Ivoire,2011,1
Croatia,1992,2
Croatia,1993,2
Croatia,1995,2
Croatia,1997,2
Croatia,2000,3
Croatia,2003,1
Croatia,2005,2
Croatia,2007,1
Croatia,2009,1
Croatia,2010,1
Croatia,2011,1
Cuba,1946,1
Cuba,1948,2
Cuba,1950,1
Cuba,1954,2
Cuba,1958,1
Cuba,1993,1
Cuba,1998,1
Cuba,2003,1
Cuba,2008,1
Cyprus,1968,1
Cyprus,1970,1
Cyprus,1976,1
Cyprus,1981,1
Cyprus,1983,1
Cyprus,1985,1
Cyprus,1988,2
Cyprus,1991,1
Cyprus,1993,2
Cyprus,1996,1
Cyprus,1998,2
Cyprus,2001,1
Cyprus,2003,1
Cyprus,2006,1
Cyprus,2008,2
Cyprus,2011,1
Czech Republic,1996,3
Czech Republic,1998,3
Czech Republic,2000,2
Czech Republic,2002,3
Czech Republic,2004,2
Czech Republic,2006,1
Czech Republic,2008,2
Czech Republic,2010,3
Czech Republic,2012,2
Czechoslovakia,1946,1
Czechoslovakia,1948,1
Czechoslovakia,1954,1
Czechoslovakia,1960,1
Czechoslovakia,1971,1
Czechoslovakia,1976,1
Czechoslovakia,1990,1
Czechoslovakia,1992,1
Democratic Republic of Congo,1965,2
Democratic Republic of Congo,1970,2
Democratic Republic of Congo,1975,1
Democratic Republic of Congo,1977,2
Democratic Republic of Congo,1982,1
Democratic Republic of Congo,1984,1
Democratic Republic of Congo,1987,1
Democratic Republic of Congo,2006,3
Democratic Republic of Congo,2011,2
Denmark,1945,1
Denmark,1947,1
Denmark,1950,1
Denmark,1953,2
Denmark,1957,1
Denmark,1960,1
Denmark,1964,1
Denmark,1966,1
Denmark,1968,1
Denmark,1971,1
Denmark,1973,1
Denmark,1975,1
Denmark,1977,1
Denmark,1979,1
Denmark,1981,1
Denmark,1984,1
Denmark,1987,1
Denmark,1988,1
Denmark,1990,1
Denmark,1994,1
Denmark,1998,1
Denmark,2001,1
Denmark,2005,1
Denmark,2007,1
Denmark,2011,1
Djibouti,1981,1
Djibouti,1982,1
Djibouti,1987,2
Djibouti,1992,1
Djibouti,1993,1
Djibouti,1997,1
Djibouti,1999,1
Djibouti,2003,1
Djibouti,2005,1
Djibouti,2008,1
Djibouti,2011,1
Dominican Republic,1946,1
Dominican Republic,1947,2
Dominican Republic,1952,2
Dominican Republic,1955,1
Dominican Republic,1957,2
Dominican Republic,1962,2
Dominican Republic,1966,2
Dominican Republic,1970,2
Dominican Republic,1974,2
Dominican Republic,1978,2
Dominican Republic,1982,2
Dominican Republic,1986,2
Dominican Republic,1990,2
Dominican Republic,1994,2
Dominican Republic,1996,2
Dominican Republic,1998,1
Dominican Republic,2000,1
Dominican Republic,2002,1
Dominican Republic,2004,1
Dominican Republic,2006,1
Dominican Republic,2008,1
Dominican Republic,2010,1
Dominican Republic,2012,1
East Germany,1950,1
East Germany,1954,1
East Germany,1958,1
East Germany,1967,1
East Germany,1971,1
East Germany,1976,1
East Germany,1981,1
East Germany,1986,1
East Germany,1990,1
Ecuador,1946,1
Ecuador,1948,1
Ecuador,1950,1
Ecuador,1952,2
Ecuador,1954,1
Ecuador,1956,2
Ecuador,1958,1
Ecuador,1960,2
Ecuador,1962,1
Ecuador,1966,1
Ecuador,1968,2
Ecuador,1978,1
Ecuador,1979,2
Ecuador,1984,3
Ecuador,1986,1
Ecuador,1988,3
Ecuador,1990,1
Ecuador,1992,3
Ecuador,1994,1
Ecuador,1996,3
Ecuador,1997,1
Ecuador,1998,3
Ecuador,2002,3
Ecuador,2006,3
Ecuador,2007,1
Ecuador,2009,2
Egypt,1945,1
Egypt,1950,2
Egypt,1956,1
Egypt,1957,2
Egypt,1958,1
Egypt,1964,2
Egypt,1965,1
Egypt,1969,2
Egypt,1970,1
Egypt,1971,2
Egypt,1976,3
Egypt,1979,2
Egypt,1981,1
Egypt,1984,1
Egypt,1987,3
Egypt,1990,2
Egypt,1993,1
Egypt,1995,2
Egypt,1999,1
Egypt,2000,1
Egypt,2005,2
Egypt,2007,1
Egypt,2010,2
Egypt,2011,2
Egypt,2012,2
El Salvador,1945,1
El Salvador,1950,2
El Salvador,1952,1
El Salvador,1954,1
El Salvador,1956,2
El Salvador,1958,1
El Salvador,1960,1
El Salvador,1961,1
El Salvador,1962,1
El Salvador,1964,1
El Salvador,1966,1
El Salvador,1967,1
El Salvador,1968,1
El Salvador,1970,1
El Salvador,1972,2
El Salvador,1974,1
El Salvador,1976,1
El Salvador,1977,1
El Salvador,1978,1
El Salvador,1982,1
El Salvador,1984,2
El Salvador,1985,1
El Salvador,1988,1
El Salvador,1989,1
El Salvador,1991,1
El Salvador,1994,3
El Salvador,1997,1
El Salvador,1999,1
El Salvador,2000,1
El Salvador,2003,1
El Salvador,2004,1
El Salvador,2006,1
El Salvador,2009,2
El Salvador,2012,1
Equatorial Guinea,1983,1
Equatorial Guinea,1988,1
Equatorial Guinea,1989,1
Equatorial Guinea,1993,1
Equatorial Guinea,1996,1
Equatorial Guinea,1999,1
Equatorial Guinea,2002,1
Equatorial Guinea,2004,1
Equatorial Guinea,2008,1
Equatorial Guinea,2009,1
Estonia,1990,1
Estonia,1992,1
Estonia,1995,1
Estonia,1999,1
Estonia,2003,1
Estonia,2007,1
Estonia,2011,1
Ethiopia,1957,1
Ethiopia,1961,1
Ethiopia,1965,1
Ethiopia,1969,1
Ethiopia,1973,1
Ethiopia,1987,2
Ethiopia,1994,2
Ethiopia,1995,1
Ethiopia,2000,1
Ethiopia,2005,1
Ethiopia,2010,1
Fiji,1972,1
Fiji,1977,2
Fiji,1982,1
Fiji,1987,1
Fiji,1992,1
Fiji,1994,1
Fiji,1999,1
Fiji,2001,1
Fiji,2006,1
Finland,1945,1
Finland,1948,1
Finland,1950,1
Finland,1951,1
Finland,1954,1
Finland,1956,1
Finland,1958,1
Finland,1962,2
Finland,1966,1
Finland,1968,1
Finland,1970,1
Finland,1972,1
Finland,1975,1
Finland,1978,1
Finland,1979,1
Finland,1982,1
Finland,1983,1
Finland,1987,1
Finland,1988,1
Finland,1991,1
Finland,1994,2
Finland,1995,1
Finland,1999,1
Finland,2000,2
Finland,2003,1
Finland,2006,2
Finland,2007,1
Finland,2011,1
Finland,2012,2
France,1945,1
France,1946,2
France,1951,1
France,1956,1
France,1958,2
France,1962,2
France,1965,2
France,1967,2
France,1968,2
France,1969,2
France,1973,2
France,1974,2
France,1978,2
France,1981,4
France,1986,1
France,1988,4
France,1993,2
France,1995,2
France,1997,2
France,2002,4
France,2007,4
France,2012,4
Gabon,1961,2
Gabon,1964,1
Gabon,1967,2
Gabon,1969,1
Gabon,1973,2
Gabon,1979,1
Gabon,1980,1
Gabon,1985,1
Gabon,1986,1
Gabon,1990,3
Gabon,1993,1
Gabon,1996,2
Gabon,1998,1
Gabon,2001,2
Gabon,2005,1
Gabon,2006,1
Gabon,2009,1
Gabon,2011,1
Gambia,1966,1
Gambia,1972,1
Gambia,1977,1
Gambia,1982,2
Gambia,1987,2
Gambia,1992,2
Gambia,1996,1
Gambia,1997,1
Gambia,2001,1
Gambia,2002,1
Gambia,2006,1
Gambia,2007,1
Gambia,2011,1
Gambia,2012,1
Georgia,1992,2
Georgia,1995,3
Georgia,1999,1
Georgia,2000,1
Georgia,2003,1
Georgia,2004,2
Georgia,2008,2
Georgia,2012,1
Germany,1953,1
Germany,1957,1
Germany,1961,1
Germany,1965,1
Germany,1969,1
Germany,1972,1
Germany,1976,1
Germany,1980,1
Germany,1983,1
Germany,1987,1
Germany,1990,1
Germany,1994,1
Germany,1998,1
Germany,2002,1
Germany,2005,1
Germany,2009,1
Ghana,1960,1
Ghana,1969,1
Ghana,1979,3
Ghana,1992,2
Ghana,1996,2
Ghana,2000,3
Ghana,2004,2
Ghana,2008,3
Ghana,2012,2
Greece,1946,1
Greece,1950,1
Greece,1951,1
Greece,1952,1
Greece,1956,1
Greece,1958,1
Greece,1961,1
Greece,1963,1
Greece,1964,1
Greece,1974,1
Greece,1977,1
Greece,1981,1
Greece,1985,1
Greece,1989,2
Greece,1990,1
Greece,1993,1
Greece,1996,1
Greece,2000,1
Greece,2004,1
Greece,2007,1
Greece,2009,1
Greece,2012,2
Guatemala,1947,1
Guatemala,1948,1
Guatemala,1950,2
Guatemala,1953,1
Guatemala,1954,1
Guatemala,1955,1
Guatemala,1957,2
Guatemala,1958,2
Guatemala,1959,1
Guatemala,1961,1
Guatemala,1964,1
Guatemala,1966,2
Guatemala,1970,2
Guatemala,1974,2
Guatemala,1978,2
Guatemala,1982,2
Guatemala,1984,1
Guatemala,1985,3
Guatemala,1990,2
Guatemala,1991,1
Guatemala,1994,1
Guatemala,1995,2
Guatemala,1996,1
Guatemala,1999,3
Guatemala,2003,3
Guatemala,2007,3
Guatemala,2011,3
Guinea,1961,1
Guinea,1963,1
Guinea,1968,2
Guinea,1974,2
Guinea,1980,1
Guinea,1982,1
Guinea,1993,1
Guinea,1995,1
Guinea,1998,1
Guinea,2002,1
Guinea,2003,1
Guinea,2010,2
Guinea-Bissau,1994,3
Guinea-Bissau,1999,2
Guinea-Bissau,2000,1
Guinea-Bissau,2004,1
Guinea-Bissau,2005,2
Guinea-Bissau,2008,1
Guinea-Bissau,2009,2
Guinea-Bissau,2012,1
Guyana,1968,1
Guyana,1973,1
Guyana,1980,1
Guyana,1985,1
Guyana,1992,1
Guyana,1997,1
Guyana,2001,1
Guyana,2006,1
Guyana,2011,1
Haiti,1946,2
Haiti,1950,3
Haiti,1957,2
Haiti,1961,1
Haiti,1964,1
Haiti,1967,1
Haiti,1973,1
Haiti,1979,1
Haiti,1984,1
Haiti,1986,1
Haiti,1987,2
Haiti,1988,2
Haiti,1990,2
Haiti,1991,1
Haiti,1995,3
Haiti,1997,1
Haiti,2000,3
Haiti,2006,3
Haiti,2010,2
Haiti,2011,1
Honduras,1948,2
Honduras,1954,2
Honduras,1956,1
Honduras,1957,1
Honduras,1965,1
Honduras,1971,2
Honduras,1980,1
Honduras,1981,2
Honduras,1985,2
Honduras,1989,2
Honduras,1993,2
Honduras,1997,2
Honduras,2001,2
Honduras,2005,2
Honduras,2009,2
Hungary,1945,1
Hungary,1947,1
Hungary,1949,1
Hungary,1953,1
Hungary,1958,1
Hungary,1963,1
Hungary,1967,1
Hungary,1971,1
Hungary,1975,1
Hungary,1985,1
Hungary,1990,2
Hungary,1994,2
Hungary,1998,2
Hungary,2002,2
Hungary,2006,2
Hungary,2010,2
India,1951,1
India,1957,1
India,1962,1
India,1967,1
India,1971,1
India,1977,1
India,1980,1
India,1984,1
India,1989,1
India,1991,1
India,1996,1
India,1998,1
India,1999,1
India,2004,1
India,2009,1
Indonesia,1955,2
Indonesia,1971,1
Indonesia,1977,1
Indonesia,1982,1
Indonesia,1987,1
Indonesia,1992,1
Indonesia,1997,1
Indonesia,1999,1
Indonesia,2004,3
Indonesia,2009,2
Iran,1960,1
Iran,1961,1
Iran,1963,1
Iran,1967,2
Iran,1971,1
Iran,1975,1
Iran,1979,1
Iran,1980,3
Iran,1981,2
Iran,1982,1
Iran,1984,2
Iran,1985,1
Iran,1988,2
Iran,1989,1
Iran,1990,1
Iran,1992,2
Iran,1993,1
Iran,1996,2
Iran,1997,1
Iran,1998,1
Iran,2000,2
Iran,2001,1
Iran,2004,2
Iran,2005,2
Iran,2008,2
Iran,2009,1
Iran,2012,2
Iraq,1947,1
Iraq,1948,1
Iraq,1953,1
Iraq,1954,2
Iraq,1958,1
Iraq,1980,1
Iraq,1984,1
Iraq,1989,1
Iraq,1995,1
Iraq,1996,1
Iraq,2000,1
Iraq,2005,2
Iraq,2010,1
Ireland,1945,1
Ireland,1948,1
Ireland,1951,1
Ireland,1954,1
Ireland,1957,1
Ireland,1959,1
Ireland,1961,1
Ireland,1965,1
Ireland,1966,1
Ireland,1969,1
Ireland,1973,2
Ireland,1977,1
Ireland,1981,1
Ireland,1982,2
Ireland,1987,1
Ireland,1989,1
Ireland,1990,1
Ireland,1992,1
Ireland,1997,2
Ireland,2002,1
Ireland,2007,1
Ireland,2011,2
Israel,1949,1
Israel,1951,1
Israel,1955,1
Israel,1959,1
Israel,1961,1
Israel,1965,1
Israel,1969,1
Israel,1973,1
Israel,1977,1
Israel,1981,1
Israel,1984,1
Israel,1988,1
Israel,1992,1
Israel,1996,2
Israel,1999,2
Israel,2001,1
Israel,2003,1
Israel,2006,1
Israel,2009,1
Italy,1946,1
Italy,1948,1
Italy,1953,1
Italy,1958,1
Italy,1963,1
Italy,1968,1
Italy,1972,1
Italy,1976,1
Italy,1979,1
Italy,1983,1
Italy,1987,1
Italy,1992,1
Italy,1994,1
Italy,1996,1
Italy,2001,1
Italy,2006,1
Italy,2008,1
Jamaica,1967,1
Jamaica,1972,1
Jamaica,1976,1
Jamaica,1980,1
Jamaica,1983,1
Jamaica,1989,1
Jamaica,1993,1
Jamaica,1997,1
Jamaica,2002,1
Jamaica,2007,1
Jamaica,2011,1
Japan,1946,1
Japan,1947,2
Japan,1949,1
Japan,1950,1
Japan,1952,1
Japan,1953,2
Japan,1955,1
Japan,1956,1
Japan,1958,1
Japan,1959,1
Japan,1960,1
Japan,1962,1
Japan,1963,1
Japan,1965,1
Japan,1967,1
Japan,1968,1
Japan,1969,1
Japan,1971,1
Japan,1972,1
Japan,1974,1
Japan,1976,1
Japan,1977,1
Japan,1979,1
Japan,1980,1
Japan,1983,2
Japan,1986,1
Japan,1989,1
Japan,1990,1
Japan,1992,1
Japan,1993,1
Japan,1995,1
Japan,1996,1
Japan,1998,1
Japan,2000,1
Japan,2001,1
Japan,2003,1
Japan,2004,1
Japan,2005,1
Japan,2007,1
Japan,2009,1
Japan,2010,1
Japan,2012,1
Jordan,1947,1
Jordan,1950,1
Jordan,1951,1
Jordan,1954,1
Jordan,1956,1
Jordan,1961,1
Jordan,1962,1
Jordan,1963,1
Jordan,1967,1
Jordan,1989,1
Jordan,1993,1
Jordan,1997,1
Jordan,2003,1
Jordan,2007,1
Jordan,2010,1
Kazakhstan,1994,1
Kazakhstan,1995,3
Kazakhstan,1999,3
Kazakhstan,2004,2
Kazakhstan,2005,1
Kazakhstan,2007,1
Kazakhstan,2011,1
Kazakhstan,2012,1
Kenya,1966,1
Kenya,1969,2
Kenya,1974,2
Kenya,1979,2
Kenya,1983,2
Kenya,1988,2
Kenya,1992,2
Kenya,1997,2
Kenya,2002,2
Kenya,2007,2
Kosovo,2010,1
Kuwait,1961,1
Kuwait,1963,1
Kuwait,1967,1
Kuwait,1971,1
Kuwait,1975,1
Kuwait,1981,1
Kuwait,1985,1
Kuwait,1990,1
Kuwait,1992,1
Kuwait,1996,1
Kuwait,1999,1
Kuwait,2003,1
Kuwait,2006,1
Kuwait,2008,1
Kuwait,2009,1
Kuwait,2012,2
Kyrgyzstan,1991,1
Kyrgyzstan,1995,3
Kyrgyzstan,2000,3
Kyrgyzstan,2005,3
Kyrgyzstan,2007,1
Kyrgyzstan,2009,1
Kyrgyzstan,2010,1
Kyrgyzstan,2011,1
Laos,1955,1
Laos,1958,1
Laos,1960,1
Laos,1965,1
Laos,1967,1
Laos,1972,1
Laos,1989,1
Laos,1992,1
Laos,1997,1
Laos,2002,1
Laos,2006,1
Laos,2011,1
Latvia,1993,1
Latvia,1995,1
Latvia,1998,1
Latvia,2002,1
Latvia,2006,1
Latvia,2010,1
Latvia,2011,1
Lebanon,1947,2
Lebanon,1951,2
Lebanon,1953,1
Lebanon,1957,1
Lebanon,1960,1
Lebanon,1964,1
Lebanon,1968,1
Lebanon,1972,1
Lebanon,1992,1
Lebanon,1996,1
Lebanon,2000,1
Lebanon,2005,1
Lebanon,2009,1
Lesotho,1970,1
Lesotho,1993,1
Lesotho,1998,1
Lesotho,2002,1
Lesotho,2007,1
Lesotho,2012,1
Liberia,1951,2
Liberia,1955,2
Liberia,1959,2
Liberia,1963,1
Liberia,1967,1
Liberia,1971,1
Liberia,1975,2
Liberia,1985,2
Liberia,1997,2
Liberia,2005,3
Liberia,2011,3
Libya,1952,1
Libya,1956,1
Libya,1960,1
Libya,1964,1
Libya,1965,1
Libya,2012,1
Lithuania,1992,2
Lithuania,1993,1
Lithuania,1996,2
Lithuania,1997,1
Lithuania,1998,1
Lithuania,2000,1
Lithuania,2002,1
Lithuania,2003,1
Lithuania,2004,4
Lithuania,2008,2
Lithuania,2009,1
Lithuania,2012,2
Macedonia,1994,4
Macedonia,1998,2
Macedonia,1999,2
Macedonia,2002,1
Macedonia,2004,2
Macedonia,2006,1
Macedonia,2008,1
Macedonia,2009,2
Macedonia,2011,1
Madagascar,1960,1
Madagascar,1965,2
Madagascar,1970,1
Madagascar,1972,1
Madagascar,1977,1
Madagascar,1982,1
Madagascar,1983,1
Madagascar,1989,2
Madagascar,1992,1
Madagascar,1993,2
Madagascar,1996,2
Madagascar,1998,1
Madagascar,2001,1
Madagascar,2002,1
Madagascar,2006,1
Madagascar,2007,1
Malawi,1978,1
Malawi,1983,1
Malawi,1987,1
Malawi,1992,1
Malawi,1994,2
Malawi,1999,2
Malawi,2004,2
Malawi,2009,2
Malaysia,1959,1
Malaysia,1964,1
Malaysia,1969,1
Malaysia,1974,1
Malaysia,1978,1
Malaysia,1982,1
Malaysia,1986,1
Malaysia,1990,1
Malaysia,1995,1
Malaysia,1999,1
Malaysia,2004,1
Malaysia,2008,1
Mali,1964,1
Mali,1979,2
Mali,1982,1
Mali,1985,2
Mali,1988,1
Mali,1992,4
Mali,1997,4
Mali,2002,4
Mali,2007,3
Mauritania,1961,1
Mauritania,1965,1
Mauritania,1966,1
Mauritania,1971,2
Mauritania,1975,1
