Entity,Year,Abortion related,Airports & Aircraft,Business,Educational Institution,Food or Water Supply,Government (Diplomatic),Government (General),Journalists & Media,Maritime,Military,NGO,Other,Police,Private Citizens & Property,Religious Figures/Institutions,Telecommunications,Terrorists/Non-State Militia,Tourists,Transportation,Unknown,Utilities,Violent Political Party
Algeria,1995,0,0,22,14,0,1,26,34,1,8,0,0,21,35,5,0,0,3,6,3,5,0
Algeria,1996,0,1,27,1,0,2,11,10,0,1,0,0,10,31,4,0,0,0,16,12,2,1
Algeria,1997,0,0,27,9,1,0,8,2,0,2,0,1,8,232,9,0,3,0,23,18,1,0
Algeria,1998,0,0,10,7,1,0,4,0,0,5,0,0,6,93,3,0,0,2,15,1,4,0
Algeria,1999,0,0,3,2,0,0,2,0,0,20,0,0,8,64,0,0,0,0,4,0,2,1
Algeria,2000,0,0,7,2,0,0,4,0,0,24,0,0,24,70,1,0,0,0,3,0,2,0
Algeria,2001,0,0,10,0,0,0,1,0,0,12,0,0,20,66,0,0,1,1,2,0,0,0
Algeria,2002,0,0,8,0,0,0,4,0,0,20,0,0,15,68,1,0,3,1,7,3,2,0
Algeria,2003,0,0,3,1,0,0,7,0,0,16,0,0,20,19,0,0,2,7,0,0,0,0
Algeria,2004,0,0,2,1,0,0,1,0,0,23,0,0,18,14,1,0,2,0,2,2,1,0
Algeria,2005,0,0,2,0,0,0,7,0,0,35,0,0,31,21,0,0,0,1,1,5,1,0
Algeria,2006,0,0,4,0,0,0,6,0,0,37,0,0,46,37,0,0,8,1,9,2,2,0
Algeria,2007,0,1,7,0,0,2,8,0,0,28,0,0,45,17,0,0,2,0,6,4,4,0
Algeria,2008,0,0,5,0,0,0,6,0,0,38,0,0,26,21,1,0,3,0,1,3,3,0
Algeria,2009,0,0,6,1,0,0,4,0,0,39,0,1,25,17,0,0,0,0,5,9,1,0
Algeria,2010,0,0,3,0,0,0,6,0,0,33,0,0,16,32,0,0,0,0,2,6,2,0
Algeria,2011,0,0,0,0,0,2,1,1,0,2,0,1,2,5,0,0,0,0,0,1,0,0
Algeria,2012,0,0,1,1,0,0,1,0,0,16,0,0,21,0,0,0,1,0,0,0,0,0
Algeria,2013,0,0,2,0,0,0,3,1,0,8,0,0,4,2,0,0,1,0,1,0,0,0
Algeria,2014,0,0,0,0,0,0,2,0,0,6,0,0,3,0,0,0,0,1,0,1,0,0
Algeria,2015,0,0,1,0,0,0,0,0,0,5,0,0,4,3,0,0,1,0,0,2,0,0
Algeria,2016,0,0,0,1,0,0,1,0,0,3,0,0,1,1,0,0,0,0,0,1,1,0
Algeria,2017,0,0,1,0,0,0,1,0,0,2,0,0,4,1,0,0,0,0,0,5,0,0
Andorra,1974,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,1977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Angola,1978,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Angola,1979,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
Angola,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Angola,1982,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Angola,1983,0,0,0,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,1,0,1,0
Angola,1984,0,0,1,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,1,0,3,0
Angola,1985,0,0,1,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,1,0
Angola,1986,0,1,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Angola,1987,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
Angola,1988,0,1,2,0,0,0,1,0,0,2,0,0,0,3,1,0,0,0,1,0,1,0
Angola,1989,0,0,2,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,2,0,3,0
Angola,1990,0,1,11,0,6,0,1,0,0,4,0,0,3,15,0,0,0,0,4,0,160,0
Angola,1991,0,2,2,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,2,0,2,2
Angola,1992,0,2,10,0,0,2,4,1,0,6,2,0,3,14,1,0,0,0,0,0,0,5
Angola,1994,0,0,3,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0
Angola,1995,0,0,1,0,0,1,0,1,0,1,0,0,0,3,0,0,0,0,2,0,0,1
Angola,1996,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Angola,1997,0,0,0,0,0,2,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0
Angola,1998,0,0,2,0,0,3,0,0,0,1,0,0,2,12,0,0,0,0,0,0,0,0
Angola,1999,0,3,4,0,0,2,0,0,0,1,3,0,1,17,0,0,0,0,0,0,3,0
Angola,2000,0,0,2,0,0,1,1,0,0,2,0,0,0,13,2,0,0,0,0,1,0,0
Angola,2001,0,2,3,0,0,0,1,0,0,2,0,0,1,25,1,0,0,0,3,0,2,0
Angola,2002,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0
Angola,2009,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,2010,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Angola,2016,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Angola,2017,0,0,0,0,0,0,1,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0
Antigua and Barbuda,1992,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,1970,0,0,2,0,0,4,5,1,0,2,0,0,3,4,0,0,0,0,0,0,0,0
Argentina,1971,0,0,3,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0
Argentina,1972,0,0,10,0,0,5,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0
Argentina,1973,0,2,24,2,0,3,3,2,0,12,1,1,3,6,0,0,0,0,0,0,1,0
Argentina,1974,0,0,44,0,0,6,4,2,0,3,0,0,2,8,1,0,0,0,1,0,0,0
Argentina,1975,0,0,17,0,0,8,1,1,0,6,0,0,2,2,0,0,0,0,0,0,0,0
Argentina,1976,0,0,16,1,0,4,5,3,0,6,0,0,11,4,1,0,2,0,1,0,0,0
Argentina,1977,0,0,9,0,0,2,1,0,0,1,0,0,1,1,2,0,0,0,0,0,0,0
Argentina,1978,0,1,7,0,0,1,3,4,0,2,0,0,3,4,0,0,0,0,0,0,0,0
Argentina,1979,0,0,3,1,0,0,4,4,0,2,0,0,0,1,0,0,0,0,1,0,0,0
Argentina,1980,0,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0
Argentina,1981,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,1982,0,0,4,1,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0
Argentina,1983,1,0,0,3,0,0,5,2,0,2,0,0,1,4,0,0,0,0,0,0,0,0
Argentina,1984,0,0,5,0,0,0,13,1,0,8,0,0,0,16,3,0,0,0,0,0,0,0
Argentina,1985,0,0,6,2,0,0,17,0,0,10,0,0,1,6,0,0,0,0,0,0,0,0
Argentina,1986,0,0,3,3,0,1,14,1,0,5,0,0,2,0,0,0,0,0,3,0,0,0
Argentina,1987,0,0,9,0,0,0,34,2,0,7,1,0,0,22,4,0,0,0,0,0,1,0
Argentina,1988,0,0,12,0,0,0,6,2,0,6,0,0,2,3,1,0,0,0,0,0,1,0
Argentina,1989,0,0,4,0,0,0,11,2,0,8,0,0,2,3,2,0,0,0,0,0,0,0
Argentina,1990,0,0,20,0,0,0,6,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0
Argentina,1991,0,0,3,1,0,1,5,4,0,4,0,0,1,5,3,0,0,0,0,0,0,0
Argentina,1992,0,0,14,1,0,1,7,3,0,0,0,0,3,4,0,0,0,0,7,0,1,0
Argentina,1994,0,1,2,0,0,1,3,0,0,2,0,0,0,0,2,0,0,0,0,0,3,0
Argentina,1995,0,0,0,0,0,0,11,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0
Argentina,1996,0,0,8,1,0,0,5,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0
Argentina,1997,0,0,3,0,0,0,2,1,0,1,0,0,0,4,0,0,0,0,0,0,0,0
Argentina,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Argentina,2001,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Argentina,2003,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,2005,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,2009,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,2010,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Argentina,2012,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,2013,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Argentina,2014,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Argentina,2016,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Argentina,2017,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Armenia,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Armenia,1992,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Armenia,1994,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Armenia,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Armenia,1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armenia,1998,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Armenia,1999,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armenia,2000,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armenia,2001,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armenia,2007,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armenia,2009,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Armenia,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Armenia,2015,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Armenia,2016,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Australasia & Oceania,1970,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australasia & Oceania,1971,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australasia & Oceania,1972,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Australasia & Oceania,1973,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australasia & Oceania,1974,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australasia & Oceania,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australasia & Oceania,1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australasia & Oceania,1977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australasia & Oceania,1978,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australasia & Oceania,1979,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australasia & Oceania,1980,0,0,4,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Australasia & Oceania,1981,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Australasia & Oceania,1982,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Australasia & Oceania,1983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australasia & Oceania,1984,0,0,2,1,0,0,1,0,0,1,0,0,0,5,0,0,0,0,0,0,0,1
Australasia & Oceania,1985,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australasia & Oceania,1986,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Australasia & Oceania,1987,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australasia & Oceania,1988,0,0,0,0,0,1,1,0,0,1,0,0,7,1,0,0,0,0,0,0,0,1
Australasia & Oceania,1989,0,0,5,1,1,1,6,0,0,1,0,0,4,0,1,0,0,0,4,0,3,1
Australasia & Oceania,1990,0,1,4,0,0,0,1,1,0,2,0,0,5,3,1,0,0,0,0,0,0,0
Australasia & Oceania,1991,0,0,2,0,0,1,2,0,0,1,0,0,1,1,2,0,0,0,0,0,0,0
Australasia & Oceania,1992,0,1,4,0,0,4,2,0,0,3,0,0,2,1,0,0,0,0,0,0,0,0
Australasia & Oceania,1994,0,0,0,0,0,3,4,0,1,0,0,0,1,4,1,0,0,0,0,0,0,0
Australasia & Oceania,1995,0,1,2,1,0,3,7,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0
Australasia & Oceania,1996,0,0,1,0,0,0,6,0,0,1,1,0,0,6,0,0,0,0,4,0,0,0
Australasia & Oceania,1997,0,0,1,0,0,0,3,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0
Australasia & Oceania,1998,0,0,1,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Australasia & Oceania,1999,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
Australasia & Oceania,2000,0,2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
Australasia & Oceania,2001,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Australasia & Oceania,2002,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australasia & Oceania,2003,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Australasia & Oceania,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australasia & Oceania,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australasia & Oceania,2006,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Australasia & Oceania,2007,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Australasia & Oceania,2008,0,0,1,0,0,0,4,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
Australasia & Oceania,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Australasia & Oceania,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Australasia & Oceania,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australasia & Oceania,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australasia & Oceania,2013,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australasia & Oceania,2014,0,0,3,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0
Australasia & Oceania,2015,0,0,1,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,1,0,0
Australasia & Oceania,2016,0,0,0,0,0,0,1,1,0,0,0,0,0,1,7,0,0,0,0,0,0,0
Australasia & Oceania,2017,0,1,1,3,0,0,4,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
Australia,1970,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,1971,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,1972,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Australia,1974,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,1978,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,1979,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,1980,0,0,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Australia,1981,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,1982,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Australia,1986,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Australia,1988,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Australia,1989,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Australia,1991,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Australia,1992,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,1994,0,0,0,0,0,2,2,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0
Australia,1995,0,0,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Australia,1996,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Australia,1997,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Australia,1998,0,0,1,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Australia,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Australia,2001,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Australia,2006,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Australia,2008,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
Australia,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Australia,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Australia,2013,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,2014,0,0,2,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0
Australia,2015,0,0,1,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,1,0,0
Australia,2016,0,0,0,0,0,0,0,1,0,0,0,0,0,1,7,0,0,0,0,0,0,0
Australia,2017,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Austria,1972,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Austria,1973,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Austria,1974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Austria,1975,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,1976,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Austria,1977,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0
Austria,1978,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,1979,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0
Austria,1980,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,1981,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Austria,1982,0,2,3,0,0,3,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
Austria,1984,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,1985,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Austria,1986,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,1987,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Austria,1988,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,1989,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
