Entity,Year,Share of deaths,Share of Google searches,Share of NYT media coverage,Share of Guardian media coverage
Road incidents,2012,5.71,11.65,2.92,2.61
Road incidents,2013,5.75,11.74,2.19,3.23
Road incidents,2014,5.91,10.75,2.53,2.59
Road incidents,2015,6.17,10.48,2.07,2.70
Road incidents,2016,6.71,10.73,1.90,2.82
Stroke,1999,5.97,,6.79,6.00
Stroke,2000,5.98,,6.84,6.59
Stroke,2001,5.81,,3.66,4.18
Stroke,2002,5.67,,3.60,5.05
Stroke,2003,5.48,,4.04,5.37
Stroke,2004,5.30,5.10,4.29,5.47
Stroke,2005,4.98,5.44,4.58,5.13
Stroke,2006,4.90,5.75,4.91,6.31
Stroke,2007,4.85,5.73,4.75,5.72
Stroke,2008,4.78,5.79,5.99,6.27
Stroke,2009,4.72,5.80,5.11,6.31
Stroke,2010,4.71,6.06,6.36,6.19
Stroke,2011,4.60,6.42,6.49,7.00
Stroke,2012,4.53,6.35,6.86,7.20
Stroke,2013,4.46,6.38,6.00,6.60
Stroke,2014,4.43,6.36,5.00,6.24
Stroke,2015,4.30,6.19,4.57,5.18
Stroke,2016,4.27,6.45,5.04,5.19
Suicide,1999,1.33,,7.50,9.95
Suicide,2000,1.33,,7.75,9.97
Suicide,2001,1.39,,6.78,10.67
Suicide,2002,1.42,,9.90,13.06
Suicide,2003,1.42,,10.44,14.76
Suicide,2004,1.49,11.79,9.28,13.88
Suicide,2005,1.48,12.35,11.41,14.47
Suicide,2006,1.53,11.55,10.28,13.22
Suicide,2007,1.59,11.89,10.96,13.88
Suicide,2008,1.64,12.23,10.32,13.71
Suicide,2009,1.70,12.56,9.98,12.56
Suicide,2010,1.76,13.16,10.66,12.40
Suicide,2011,1.80,12.54,10.47,12.20
Suicide,2012,1.84,12.98,10.29,11.51
Suicide,2013,1.83,12.46,9.69,10.47
Suicide,2014,1.89,13.05,10.36,11.79
Suicide,2015,1.88,12.22,9.91,12.27
Suicide,2016,1.89,12.36,10.75,14.03
Terrorism,1999,0.00000,,17.81,20.84
Terrorism,2000,0.00000,,15.88,15.45
Terrorism,2001,0.13261,,47.85,43.18
Terrorism,2002,0.00004,,45.10,35.78
Terrorism,2003,0.00000,,39.26,32.66
Terrorism,2004,0.00000,10.41,37.62,32.13
Terrorism,2005,0.00000,8.36,29.48,31.66
Terrorism,2006,0.00000,7.04,31.25,29.93
Terrorism,2007,0.00000,6.04,27.68,27.85
Terrorism,2008,0.00000,5.79,25.10,28.27
Terrorism,2009,0.00000,5.00,21.21,26.19
Terrorism,2010,0.00000,4.81,22.32,27.07
Terrorism,2011,0.00000,4.52,21.38,22.50
Terrorism,2012,0.00000,3.58,20.64,23.40
Terrorism,2013,0.00013,4.44,25.99,26.47
Terrorism,2014,0.00000,4.30,24.88,26.91
Terrorism,2015,0.00021,8.28,31.58,34.95
Terrorism,2016,0.00000,7.21,35.58,33.26
