Entity,Year,"Political participation (How Was Life, OECD (2014))","Political competition (How Was Life, OECD (2014))","Index of Democracy (How Was Life, OECD (2014))","Polity2 (How Was Life, OECD (2014))"
East Asia,1925,.28,3.5999999,.093586728,-4.2057409
East Asia,1926,.28,3.5999999,.094435275,-4.1979623
East Asia,1927,.28999999,3.7,.09528999,-4.1901188
East Asia,1928,.89999998,2.9000001,.23871946,-4.1822114
East Asia,1929,.91000003,3,.24087229,-4.1742387
East Asia,1930,.93000001,2.3,.19015674,-4.1662011
East Asia,1931,.93000001,2.3,.19117336,-4.161335
East Asia,1932,.83999997,2.9000001,.21607618,-4.1564417
East Asia,1933,.83999997,2.9000001,.21722831,-4.1515212
East Asia,1934,.85000002,3,.21838503,-4.1493602
East Asia,1935,.85000002,3,.21954633,-4.144352
East Asia,1936,.93000001,3.5,.27763271,-4.1393166
East Asia,1937,.89999998,3.9000001,.29778987,.10468131
East Asia,1938,.91000003,3.9000001,.29936683,.10544366
East Asia,1939,.91000003,3.9000001,.30094993,.10620677
East Asia,1940,.92000002,3.9000001,.30253914,.10697068
East Asia,1941,.92000002,4,.30484462,.10798791
East Asia,1942,.98000002,1.1,.087932266,.10900845
East Asia,1943,.98000002,1.1,.088598289,.11003227
East Asia,1944,.99000001,1.1,.089267261,.11105931
East Asia,1945,4.2199998,8.6000004,2.9544396,-.011114791
East Asia,1946,4.25,8.6999998,2.9766054,-4.1893167
East Asia,1947,4.6599998,16.200001,2.6136889,-4.1809869
East Asia,1948,5.23,17.4,2.8536775,-4.2588191
East Asia,1949,5.27,8.3000002,2.8766987,-6.8397841
East Asia,1950,5.8499999,7.9000001,2.984256,-6.8299675
East Asia,1951,5.71,9,3.3372769,-6.8334031
East Asia,1952,6.2199998,9.3000002,3.649333,-5.5983253
East Asia,1953,6.4200001,9.5,3.8883133,-5.608109
East Asia,1954,6.3600001,8.8000002,3.6112223,-5.6178513
East Asia,1955,6.3499999,8.8000002,3.5982511,-5.6275516
East Asia,1956,6.75,6.5999999,2.8452935,-5.6372104
East Asia,1957,6.73,6.5999999,2.8399098,-5.6468277
East Asia,1958,6.5900002,6.5999999,2.7915602,-5.656404
East Asia,1959,6.5799999,6.5999999,2.7865503,-5.6659384
East Asia,1960,6.52,6,2.5129642,-5.2822738
East Asia,1961,5.2199998,5.5999999,2.3766792,-5.7965703
East Asia,1962,5.1599998,5.5,2.3518381,-5.8192139
East Asia,1963,6.46,7.3000002,3.1014779,-5.5133004
East Asia,1964,6.4099998,7.3000002,3.0776291,-5.535306
East Asia,1965,6.73,7.8000002,3.4988604,-5.5571141
East Asia,1966,6.6799998,7.6999998,3.4707553,-6.4151464
East Asia,1967,6.5500002,7.5999999,3.381124,-6.4376721
East Asia,1968,6.4899998,7.5999999,3.3528595,-6.4599934
East Asia,1969,6.4400001,7.5,3.3248503,-5.6423974
East Asia,1970,6.71,7.5,3.5064077,-5.6632366
East Asia,1971,6.6399999,7.4000001,3.4369714,-5.6759057
East Asia,1972,5.3600001,5.6999998,2.8096027,-6.0842791
East Asia,1973,5.3200002,5.6999998,2.7915547,-6.0637932
East Asia,1974,5.4200001,6.1999998,3.1196415,-6.0762177
East Asia,1975,5.3899999,6.1999998,3.0995696,-6.0730643
East Asia,1976,5.3600001,6.0999999,3.0796108,-5.2406569
East Asia,1977,4.9499998,5.8000002,2.7046604,-5.252203
East Asia,1978,5.3299999,5.4000001,2.7402954,-5.2636838
East Asia,1979,5.29,5.4000001,2.7226086,-5.2750988
East Asia,1980,5.5900002,5.9000001,2.7620261,-5.286449
East Asia,1981,5.2600002,6.3000002,2.7082677,-5.2029972
East Asia,1982,5.2199998,6.1999998,2.6850858,-5.2182775
East Asia,1983,5.1799998,6.1999998,2.6620831,-5.2334399
East Asia,1984,5.3499999,5.8000002,2.5777793,-5.2484846
East Asia,1985,5.3600001,5.6999998,2.5691559,-5.2634125
East Asia,1986,5.3200002,5.6999998,2.5472183,-5.2782245
East Asia,1987,6.5900002,7,3.5328889,-5.0025759
East Asia,1988,6.8499999,7.3000002,3.8355653,-4.8532305
East Asia,1989,6.8000002,7.1999998,3.8106768,-4.8680124
East Asia,1990,6.7600002,7.1999998,3.879266,-4.8674655
East Asia,1991,6.4499998,8.1000004,4.163373,-4.8791285
East Asia,1992,6.4099998,7.9000001,4.0805016,-4.7553277
East Asia,1993,6.3699999,7.9000001,4.0585198,-4.7669806
East Asia,1994,5.77,7.5999999,3.5947437,-4.7785711
East Asia,1995,5.7399998,7.5999999,3.5758312,-4.7900991
East Asia,1996,5.6599998,7.5999999,3.8238866,-4.7844906
East Asia,1997,5.6500001,7.5999999,3.8339181,-4.7805176
East Asia,1998,5.9000001,6.6999998,3.5856316,-4.7272682
East Asia,1999,1.6799999,2.0999999,1.4124925,-4.7386994
East Asia,2000,1.61,2,1.4162771,-4.7500706
East Asia,2001,,,,-4.7586741
East Asia,2002,,,,-4.7669277
East Asia,2003,,,,-4.7750421
East Asia,2004,,,,-4.7679143
East Asia,2005,,,,-4.7764568
East Asia,2006,,,,-4.7853851
East Asia,2007,,,,-4.7946987
East Asia,2008,,,,-4.8044114
East Asia,2009,,,,-4.8145084
East Asia,2010,,,,-4.824966
Eastern Europe,1820,0,0,0,-3.9953423
Eastern Europe,1821,0,0,0,-3.9930301
Eastern Europe,1822,0,0,0,-3.9906909
Eastern Europe,1823,0,0,0,-4.2832136
Eastern Europe,1824,0,0,0,-4.2806296
Eastern Europe,1825,0,0,0,-4.278017
Eastern Europe,1826,0,0,0,-4.2753754
Eastern Europe,1827,0,0,0,-4.2727051
Eastern Europe,1828,0,0,0,-4.2700057
Eastern Europe,1829,0,0,0,-4.2672777
Eastern Europe,1830,0,0,0,-4.2645211
Eastern Europe,1831,0,0,0,-4.2756586
Eastern Europe,1832,0,0,0,-4.2869267
Eastern Europe,1833,0,0,0,-4.2983246
Eastern Europe,1834,0,0,0,-4.3098507
Eastern Europe,1835,0,0,0,-4.3215036
Eastern Europe,1836,0,0,0,-3.9212446
Eastern Europe,1837,0,0,0,-3.666054
Eastern Europe,1838,0,0,0,-3.6856105
Eastern Europe,1839,0,0,0,-3.7052212
Eastern Europe,1840,0,0,0,-3.7248852
Eastern Europe,1841,0,0,0,-3.7290599
Eastern Europe,1842,0,0,0,-3.7332256
Eastern Europe,1843,0,0,0,-3.7373824
Eastern Europe,1844,0,0,0,-3.7415299
Eastern Europe,1845,0,0,0,-3.8782077
Eastern Europe,1846,0,0,0,-3.8825753
Eastern Europe,1847,0,0,0,-3.8869336
Eastern Europe,1848,0,0,0,-3.8912826
Eastern Europe,1849,0,0,0,-3.8956225
Eastern Europe,1850,0,0,0,-3.8999531
Eastern Europe,1851,0,0,0,-3.9108372
Eastern Europe,1852,0,0,0,-4.3220005
Eastern Europe,1853,0,0,0,-4.3323822
Eastern Europe,1854,0,0,0,-4.34273
Eastern Europe,1855,0,0,0,-4.353044
Eastern Europe,1856,0,0,0,-4.3633237
Eastern Europe,1857,0,0,0,-4.3735695
Eastern Europe,1858,0,0,0,-4.383781
Eastern Europe,1859,0,0,0,-4.5263104
Eastern Europe,1860,0,0,0,-4.5362906
Eastern Europe,1861,0,0,0,-4.5328197
Eastern Europe,1862,0,0,0,-4.529325
Eastern Europe,1863,0,0,0,-4.5258064
Eastern Europe,1864,0,0,0,-4.6662078
Eastern Europe,1865,0,0,0,-4.6623874
Eastern Europe,1866,0,0,0,-5.017128
Eastern Europe,1867,0,0,0,-5.172266
Eastern Europe,1868,0,0,0,-4.909513
Eastern Europe,1869,2.23,5.5,.69889158,-4.648387
Eastern Europe,1870,2.23,5.5,.69665694,-4.5169315
Eastern Europe,1871,2.23,6.3000002,.8278203,-4.2644181
Eastern Europe,1872,1.42,5.3000002,.4319618,-4.2679467
Eastern Europe,1873,1.54,2.7,.17204885,-5.0233622
Eastern Europe,1874,.12,1.5,.046480875,-4.8969717
Eastern Europe,1875,.12,1.2,.034677107,-4.648818
Eastern Europe,1876,.89999998,1.6,.061474215,-4.5268364
Eastern Europe,1877,.88999999,1.6,.061096329,-4.5283413
Eastern Europe,1878,.92000002,2.5999999,.065466113,-4.5298042
Eastern Europe,1879,.38,3.7,.06866125,-4.0125179
Eastern Europe,1880,.37,3.5999999,.068231843,-4.0184937
Eastern Europe,1881,.34999999,3.5,.064289182,-4.0669894
Eastern Europe,1882,.34999999,3.5,.063921392,-4.0746984
Eastern Europe,1883,.34999999,3.5,.063554958,-3.9799767
Eastern Europe,1884,.34,3.2,.056252874,-3.9874125
Eastern Europe,1885,.33000001,3.2,.055940937,-3.9948013
Eastern Europe,1886,.33000001,3.7,.065880686,-4.0844707
Eastern Europe,1887,.33000001,3.7,.065494113,-4.0919037
Eastern Europe,1888,.33000001,3.7,.065109059,-4.0992885
Eastern Europe,1889,.33000001,3.7,.064725518,-4.1066246
Eastern Europe,1890,.31999999,3.5999999,.064343505,-4.0034008
Eastern Europe,1891,.87,4,.17144257,-4.0077105
Eastern Europe,1892,.87,4,.17024525,-4.0119123
Eastern Europe,1893,.88999999,3.5999999,.14858997,-4.0160046
Eastern Europe,1894,.88,3.5999999,.14757961,-4.0978637
Eastern Europe,1895,.88,3.5999999,.14657374,-4.2063828
Eastern Europe,1896,.88999999,4.0999999,.17533626,-4.2080364
Eastern Europe,1897,.88,4,.17422323,-4.2096
Eastern Europe,1898,.88,4.0999999,.17620842,-4.2110715
Eastern Europe,1899,.93000001,4.5999999,.22679062,-4.2124505
Eastern Europe,1900,.92000002,4.5999999,.22521348,-3.9511416
Eastern Europe,1901,.92000002,4.4000001,.21435513,-3.9778416
Eastern Europe,1902,.92000002,4.3000002,.2126165,-4.0044932
Eastern Europe,1903,.88999999,4.3000002,.20693113,-4.0310936
Eastern Europe,1904,.88999999,4.3000002,.20523424,-4.0576406
Eastern Europe,1905,.88,5.0999999,.23831202,-3.2793896
Eastern Europe,1906,.86000001,4.3000002,.20563957,-2.4910338
Eastern Europe,1907,.89999998,4.0999999,.2001051,-2.5073776
Eastern Europe,1908,.99000001,4.4000001,.21703905,-2.5236766
Eastern Europe,1909,.98000002,4.3000002,.21535982,-2.5399296
Eastern Europe,1910,.83999997,5.5,.25488821,-2.4455137
Eastern Europe,1911,.83999997,5.9000001,.26517335,-2.4290879
Eastern Europe,1912,.85000002,5.9000001,.26742026,-2.4125915
Eastern Europe,1913,.86000001,6.0999999,.27706,-2.2296996
Eastern Europe,1914,.91000003,5.0999999,.25307986,-2.3793924
Eastern Europe,1915,.92000002,5.0999999,.25526044,-2.3626924
Eastern Europe,1916,.81999999,5,.22322573,-2.1169057
Eastern Europe,1917,.82999998,5,.22512355,-.31380385
Eastern Europe,1918,1,5.8000002,.3105064,.76768237
Eastern Europe,1919,3.78,12,1.864936,.67446715
Eastern Europe,1920,5.1700001,12.9,2.3569789,.94168794
Eastern Europe,1921,5.1900001,13.2,2.3667877,.94606972
Eastern Europe,1922,6.25,15,3.506928,.95044726
Eastern Europe,1923,5.7600002,12.5,3.3734372,.026677262
Eastern Europe,1924,5.79,12.3,3.3918905,.030183183
Eastern Europe,1925,5.8299999,12.4,3.4002724,.13538034
Eastern Europe,1926,1.8099999,5.8000002,.61337841,-1.2069865
Eastern Europe,1927,1.83,5.8000002,.616808,-1.2515606
Eastern Europe,1928,4.0599999,10.1,1.9063622,-1.2958132
Eastern Europe,1929,3.99,10.1,1.9104111,-1.3011646
Eastern Europe,1930,3.97,8.6000004,1.6139491,-.59112698
Eastern Europe,1931,5.8299999,13.1,2.3654912,.025554447
Eastern Europe,1932,5.79,13.2,2.3462474,.028961953
Eastern Europe,1933,7.5300002,14.3,3.5264637,.015402708
Eastern Europe,1934,6.71,12.7,3.0965724,-.21907729
Eastern Europe,1935,4.75,11.8,2.1375763,-.65165824
Eastern Europe,1936,4.7800002,11.9,2.210927,-.65977639
Eastern Europe,1937,27.58,12.2,2.2434027,-.65143478
Eastern Europe,1938,27.25,10.3,2.0596082,-.76071924
Eastern Europe,1939,23.68,.60000002,.062782921,-1.5072501
Eastern Europe,1940,23.790001,.5,.051409174,-1.5617582
Eastern Europe,1941,23.549999,.5,1.0381486,-1.3932562
Eastern Europe,1942,23.35,.5,.052192211,-1.4058174
Eastern Europe,1943,23.15,.5,.052572429,-1.1596866
Eastern Europe,1944,22.610001,0,0,-1.1870108
Eastern Europe,1945,25.450001,1.7,.83014637,-1.5176713
Eastern Europe,1946,30.02,3.3,1.4873662,-1.9452119
Eastern Europe,1947,33.849998,4.6999998,1.3687929,-2.2443988
Eastern Europe,1948,31.9,.40000001,.2236293,-2.2849269
Eastern Europe,1949,35.650002,.69999999,.36378381,-2.2900288
Eastern Europe,1950,36.27,.69999999,.35504308,-2.2947631
Eastern Europe,1951,36.25,.69999999,.43227777,-2.2860174
Eastern Europe,1952,38.310001,.30000001,.29442358,-2.2772472
Eastern Europe,1953,38.419998,.30000001,.23941764,-2.2684519
Eastern Europe,1954,38.810001,.2,.19728602,-2.2596312
Eastern Europe,1955,38.779999,.2,.20167813,-2.2507844
Eastern Europe,1956,38.740002,.2,.20127685,-2.004869
Eastern Europe,1957,38.810001,.30000001,.17979357,-2.2330112
Eastern Europe,1958,39.57,.30000001,.16158926,-2.2240841
Eastern Europe,1959,39.529999,.30000001,.12852223,-2.2151294
Eastern Europe,1960,39.48,.30000001,.12828623,-2.2061465
Eastern Europe,1961,39.450001,.2,.093112677,-2.2019589
Eastern Europe,1962,38.900002,.2,.092857346,-2.197681
Eastern Europe,1963,38.889999,.2,.10151453,-2.1933107
Eastern Europe,1964,38.790001,.2,.10116665,-2.1888478
Eastern Europe,1965,38.849998,.2,.10141318,-2.1842904
Eastern Europe,1966,38.049999,.2,.044013008,-2.1796377
Eastern Europe,1967,37.990002,.2,.037854467,-2.1748886
Eastern Europe,1968,37.880001,.2,.037623063,-2.1700418
Eastern Europe,1969,38.09,.2,.040951487,-2.1650965
Eastern Europe,1970,38.540001,.2,.079875849,-2.1600511
Eastern Europe,1971,38.560001,.1,.074108839,-2.1601224
Eastern Europe,1972,38.759998,.1,.074007601,-2.1601367
Eastern Europe,1973,38.689999,.1,.073904544,-2.1600931
Eastern Europe,1974,38.779999,0,.06806723,-2.1599908
Eastern Europe,1975,38.869999,.1,.093611464,-1.7606891
Eastern Europe,1976,39.07,.1,.091894045,-1.3597864
Eastern Europe,1977,44.080002,6.6999998,3.431437,-1.0168158
Eastern Europe,1978,44.040001,6.6999998,3.4376295,-.612849
Eastern Europe,1979,44.560001,6.8000002,3.2842135,-.60953379
Eastern Europe,1980,44.560001,6.8000002,3.2946894,-.51072735
Eastern Europe,1981,44.5,6.8000002,3.2826679,-.70020139
Eastern Europe,1982,45.110001,5.3000002,2.8986862,-.59875196
Eastern Europe,1983,45.029999,5.1999998,4.0479002,-.50225276
Eastern Europe,1984,45.139999,5.1999998,4.5792427,-.5011797
Eastern Europe,1985,43.400002,5.3000002,4.6788845,-.5001086
Eastern Europe,1986,43.060001,5.6999998,4.7497578,-.49903896
Eastern Europe,1987,42.990002,5.5999999,4.7727127,-.40273616
Eastern Europe,1988,42.91,5.5999999,4.7602777,-.26962891
Eastern Europe,1989,36.82,16.1,8.5680361,1.2817028
Eastern Europe,1990,37.5,19.1,10.885156,2.1684015
Eastern Europe,1991,46.959999,35.099998,18.210018,3.5901372
Eastern Europe,1992,45.93,36.900002,19.269423,5.5416331
Eastern Europe,1993,29.389999,28.299999,15.434812,4.937871
Eastern Europe,1994,29.200001,30.299999,16.252117,5.1887751
Eastern Europe,1995,29.690001,31.299999,14.023511,4.9989405
Eastern Europe,1996,30.620001,32.400002,14.477077,4.9864736
Eastern Europe,1997,30.08,31.4,13.889951,4.9823012
Eastern Europe,1998,29.200001,32,13.797871,4.9782615
Eastern Europe,1999,29.41,31.5,13.672824,5.0450897
Eastern Europe,2000,28.08,30.5,12.521517,6.1094375
Eastern Europe,2001,,,,6.1420984
Eastern Europe,2002,,,,6.2587304
Eastern Europe,2003,,,,6.2646956
Eastern Europe,2004,,,,6.3256912
Eastern Europe,2005,,,,6.3415651
Eastern Europe,2006,,,,6.4249506
Eastern Europe,2007,,,,5.702219
Eastern Europe,2008,,,,5.7039585
Eastern Europe,2009,,,,5.7048664
Eastern Europe,2010,,,,5.589129
Latin America and Caribbean,1820,0,0,0,-.42204475
Latin America and Caribbean,1821,0,0,0,-.58772385
Latin America and Caribbean,1822,0,0,0,-1.0304796
Latin America and Caribbean,1823,0,0,0,-1.0266786
Latin America and Caribbean,1824,0,0,0,-2.0851686
Latin America and Caribbean,1825,0,0,0,-2.2506504
Latin America and Caribbean,1826,0,0,0,-2.1482713
Latin America and Caribbean,1827,0,0,0,-2.0455556
Latin America and Caribbean,1828,0,0,0,-1.9425286
Latin America and Caribbean,1829,0,0,0,-1.9518089
Latin America and Caribbean,1830,.0099999998,0,0,-2.1514461
Latin America and Caribbean,1831,.0099999998,0,0,-2.1596029
Latin America and Caribbean,1832,.0099999998,0,0,-2.0608172
Latin America and Caribbean,1833,.0099999998,0,0,-2.0683138
Latin America and Caribbean,1834,.0099999998,0,0,-2.3745153
Latin America and Caribbean,1835,.0099999998,0,0,-3.1315432
Latin America and Caribbean,1836,.07,0,0,-3.1354549
Latin America and Caribbean,1837,.07,0,0,-3.1393805
Latin America and Caribbean,1838,.059999999,0,0,-3.193723
Latin America and Caribbean,1839,.059999999,0,0,-3.1869726
Latin America and Caribbean,1840,.059999999,0,0,-3.1910701
Latin America and Caribbean,1841,.059999999,0,0,-3.0560284
Latin America and Caribbean,1842,.059999999,0,0,-3.1954355
Latin America and Caribbean,1843,.07,0,0,-3.1980329
Latin America and Caribbean,1844,.07,0,0,-3.2195976
Latin America and Caribbean,1845,.079999998,.89999998,.001157662,-3.2220838
Latin America and Caribbean,1846,.079999998,.89999998,.001159458,-2.4086204
Latin America and Caribbean,1847,.079999998,.89999998,.001161198,-2.4176419
Latin America and Caribbean,1848,.079999998,.89999998,.00116288,-3.1990936
Latin America and Caribbean,1849,.079999998,3.9000001,.001687192,-3.2014308
Latin America and Caribbean,1850,.079999998,5.3000002,.0020703371,-3.1542244
Latin America and Caribbean,1851,.090000004,15.8,.018579705,-2.9628301
Latin America and Caribbean,1852,.1,15.8,.019593136,-2.9327788
Latin America and Caribbean,1853,.12,11.3,.021949641,-2.8957722
Latin America and Caribbean,1854,.11,8.1000004,.016928531,-2.9478958
Latin America and Caribbean,1855,.11,1.1,.01673173,-2.9393237
Latin America and Caribbean,1856,.23999999,1,.051372826,-2.9416013
Latin America and Caribbean,1857,.74000001,5.5999999,.32253906,-2.943861
Latin America and Caribbean,1858,2.1600001,5.5,.62972671,-2.9571664
Latin America and Caribbean,1859,1.63,2.4000001,.36110151,-2.9594381
Latin America and Caribbean,1860,1.8,2.4000001,.33110854,-3.0776348
Latin America and Caribbean,1861,1.6900001,11.6,.3268238,-3.3498621
Latin America and Caribbean,1862,.20999999,11.8,.01806022,-3.3498085
Latin America and Caribbean,1863,.18000001,14.1,.016511703,-2.6306934
Latin America and Caribbean,1864,.33000001,3.5,.039119296,-3.5402048
Latin America and Caribbean,1865,.31999999,1.9,.036037881,-3.555372
Latin America and Caribbean,1866,.31999999,2.4000001,.023459598,-3.5516551
Latin America and Caribbean,1867,.41999999,8.6999998,.059304014,-3.2673814
Latin America and Caribbean,1868,.33000001,11.8,.056529894,-3.2626789
Latin America and Caribbean,1869,.18000001,11.3,.034541737,-3.2194598
Latin America and Caribbean,1870,.18000001,11.2,.034850072,-3.1767676
Latin America and Caribbean,1871,.18000001,17.1,.051025912,-3.1038895
Latin America and Caribbean,1872,.16,8.3000002,.03910381,-3.0258098
Latin America and Caribbean,1873,.75,9,.048264597,-2.9577842
Latin America and Caribbean,1874,.85000002,9.1000004,.071425311,-2.8046432
Latin America and Caribbean,1875,1.03,9.3000002,.086571626,-2.7902536
Latin America and Caribbean,1876,.79000002,6.0999999,.036950409,-3.2173915
Latin America and Caribbean,1877,.88,9.6000004,.37083271,-3.4322155
Latin America and Caribbean,1878,.31999999,4.5999999,.051961951,-3.6315231
Latin America and Caribbean,1879,.34,4,.052112956,-3.7825916
Latin America and Caribbean,1880,1.12,6.0999999,.062250938,-3.2976971
Latin America and Caribbean,1881,1.26,6.6999998,.099252857,-3.0583766
Latin America and Caribbean,1882,.74000001,6,.094776995,-3.0582895
Latin America and Caribbean,1883,.77999997,5.9000001,.089004189,-3.2557542
Latin America and Caribbean,1884,.91000003,8,.17245066,-3.2570491
Latin America and Caribbean,1885,.77999997,8,.1737743,-3.2581186
Latin America and Caribbean,1886,.76999998,4.8000002,.12871255,-3.5756683
Latin America and Caribbean,1887,.80000001,5.1999998,.14419582,-3.5711493
Latin America and Caribbean,1888,.74000001,3.8,.1101675,-3.4730487
Latin America and Caribbean,1889,.74000001,3.8,.11006776,-2.698709
Latin America and Caribbean,1890,.69,4.8000002,.12162716,-2.6794605
Latin America and Caribbean,1891,.82999998,12.1,.18022013,-2.7718298
Latin America and Caribbean,1892,.83999997,13.4,.17783503,-2.7322905
Latin America and Caribbean,1893,1.38,13.1,.14773047,-2.7325714
Latin America and Caribbean,1894,1.91,9.1000004,.21147056,-2.6659858
Latin America and Caribbean,1895,1.83,8.3999996,.16760056,-2.666306
Latin America and Caribbean,1896,1.83,10.1,.24247533,-2.7689874
Latin America and Caribbean,1897,1.8,9.6999998,.20476304,-2.7677867
Latin America and Caribbean,1898,1.21,8.8000002,.20031796,-2.6658523
Latin America and Caribbean,1899,1.35,7.9000001,.18266541,-2.6652355
Latin America and Caribbean,1900,1.35,6.9000001,.18166727,-2.6993062
Latin America and Caribbean,1901,1.86,7.9000001,.16684781,-2.7310843
Latin America and Caribbean,1902,2.26,10.2,.25664222,-2.6446669
Latin America and Caribbean,1903,2.6099999,11,.30650628,-2.7059815
Latin America and Caribbean,1904,2.6500001,13.8,.269678,-2.9885566
Latin America and Caribbean,1905,2.6400001,10.8,.2694287,-2.977885
Latin America and Caribbean,1906,2.3800001,7,.25632313,-2.9671335
Latin America and Caribbean,1907,2.48,6.9000001,.25645018,-2.9563024
Latin America and Caribbean,1908,2.4000001,6.9000001,.25275138,-2.9088707
Latin America and Caribbean,1909,2.53,9.8999996,.33878058,-2.9757445
Latin America and Caribbean,1910,2.9400001,16.6,.53766954,-2.9371758
Latin America and Caribbean,1911,2.8699999,16.299999,.52815032,-1.2187924
Latin America and Caribbean,1912,2.8800001,18,.54567307,-1.1729771
Latin America and Caribbean,1913,3.02,16.4,.28998467,-1.1463554
Latin America and Caribbean,1914,3.1700001,5.5999999,.13412704,-1.1217521
Latin America and Caribbean,1915,3.53,8.5,.23210642,-1.0623881
Latin America and Caribbean,1916,4.3600001,12.6,.63603699,-1.0710739
