Entity,Year,Battle-related deaths
Asia and Oceania,1986,74829
Asia and Oceania,1987,55088
Asia and Oceania,1988,41587
Asia and Oceania,1989,9714
Asia and Oceania,1990,10052
Asia and Oceania,1991,15503
Asia and Oceania,1992,17060
Asia and Oceania,1993,9385
Asia and Oceania,1994,12600
Asia and Oceania,1995,12719
Asia and Oceania,1996,12024
Asia and Oceania,1997,11496
Asia and Oceania,1998,12098
Asia and Oceania,1999,9196
Asia and Oceania,2000,13436
Asia and Oceania,2001,6646.25
Asia and Oceania,2002,7210
Asia and Oceania,2003,7653.75
Asia and Oceania,2004,5490
Asia and Oceania,2005,5294
Asia and Oceania,2006,9606
Asia and Oceania,2007,12073
Asia and Oceania,2008,18899
Asia and Oceania,2009,25267
Asia and Oceania,2010,14294
Asia and Oceania,2011,11760
Asia and Oceania,2012,12056
Asia and Oceania,2013,11257
Asia and Oceania,2014,16583
Asia and Oceania,2015,21048
Asia and Oceania,2016,19875
Europe,1946,51380
Europe,1947,48684
Europe,1948,42849
Europe,1949,38500
Europe,1950,0
Europe,1951,0
Europe,1952,44.5
Europe,1953,0
Europe,1954,0
Europe,1955,0
Europe,1956,4242
Europe,1957,0
Europe,1958,0
Europe,1959,0
Europe,1960,0
Europe,1961,1877
Europe,1962,1180
Europe,1963,0
Europe,1964,0
Europe,1965,0
Europe,1966,0
Europe,1967,0
Europe,1968,0
Europe,1969,154
Europe,1970,0
Europe,1971,171
Europe,1972,479
Europe,1973,253
Europe,1974,294
Europe,1975,260
Europe,1976,295
Europe,1977,111
Europe,1978,81
Europe,1979,121
Europe,1980,171
Europe,1981,143
Europe,1982,592
Europe,1983,85
Europe,1984,69
Europe,1985,57
Europe,1986,61
Europe,1987,150
Europe,1988,104
Europe,1989,287
Europe,1990,236
Europe,1991,3399
Europe,1992,7779
Europe,1993,8782
Europe,1994,4567
Europe,1995,3969
Europe,1996,2721
Europe,1997,29
Europe,1998,1298
Europe,1999,7258
Europe,2000,2907
Europe,2001,1212.25
Europe,2002,1289
Europe,2003,2461.75
Europe,2004,1178
Europe,2005,693
Europe,2006,259
Europe,2007,176
Europe,2008,1055
Europe,2009,696
Europe,2010,418
Europe,2011,359
Europe,2012,541
Europe,2013,321
Europe,2014,4567
Europe,2015,1461
Europe,2016,465
Middle East,1946,137
Middle East,1947,0
Middle East,1948,23792
Middle East,1949,1575
Middle East,1950,256
Middle East,1951,256
Middle East,1952,300.5
Middle East,1953,256
Middle East,1954,256
Middle East,1955,256
Middle East,1956,1327
Middle East,1957,256
Middle East,1958,1656
Middle East,1959,2256
Middle East,1960,256
Middle East,1961,256
Middle East,1962,256
Middle East,1963,256
Middle East,1964,281
Middle East,1965,356
Middle East,1966,631
Middle East,1967,5940
Middle East,1968,256
Middle East,1969,3186
Middle East,1970,2846
Middle East,1971,256
Middle East,1972,696
Middle East,1973,11581
Middle East,1974,931
Middle East,1975,9997
Middle East,1976,62257
Middle East,1977,257
Middle East,1978,257
Middle East,1979,2386
Middle East,1980,36857
Middle East,1981,95807
Middle East,1982,130037
Middle East,1983,101897
Middle East,1984,70905
Middle East,1985,70880
Middle East,1986,70880
Middle East,1987,64916
Middle East,1988,64945
Middle East,1989,1042
Middle East,1990,2199
Middle East,1991,23719
Middle East,1992,2010
Middle East,1993,2652
Middle East,1994,5765
Middle East,1995,3962
Middle East,1996,4244
Middle East,1997,4369
Middle East,1998,2033
Middle East,1999,1459
Middle East,2000,291
Middle East,2001,444
Middle East,2002,661
Middle East,2003,2369.75
Middle East,2004,4656
Middle East,2005,3115
Middle East,2006,5354
Middle East,2007,3018
Middle East,2008,3411
Middle East,2009,2075
Middle East,2010,1617
Middle East,2011,3855
Middle East,2012,42275
Middle East,2013,71571
Middle East,2014,73250
Middle East,2015,65275
Middle East,2016,57603
