Entity,Year,e10 (United Nations Population Division and Human Mortality Database (2015))
Angola,2050,60.71
Angola,2055,61.54
Angola,2060,62.33
Angola,2065,63.12
Angola,2070,63.88
Angola,2075,64.63
Angola,2080,65.34
Angola,2085,66.04
Angola,2090,66.69
Angola,2095,67.34
Antigua and Barbuda,1950,56.77
Antigua and Barbuda,1955,57.82
Antigua and Barbuda,1960,58.79
Antigua and Barbuda,1965,59.68
Antigua and Barbuda,1970,60.53
Antigua and Barbuda,1975,61.34
Antigua and Barbuda,1980,62.15
Antigua and Barbuda,1985,62.91
Antigua and Barbuda,1990,63.67
Antigua and Barbuda,1995,64.49
Antigua and Barbuda,2000,65.26
Antigua and Barbuda,2005,66.04
Antigua and Barbuda,2010,66.77
Antigua and Barbuda,2015,67.48
Antigua and Barbuda,2020,68.23
Antigua and Barbuda,2025,68.99
Antigua and Barbuda,2030,69.74
Antigua and Barbuda,2035,70.49
Antigua and Barbuda,2040,71.25
Antigua and Barbuda,2045,72.04
Antigua and Barbuda,2050,72.84
Antigua and Barbuda,2055,73.62
Antigua and Barbuda,2060,74.32
Antigua and Barbuda,2065,74.98
Antigua and Barbuda,2070,75.58
Antigua and Barbuda,2075,76.14
Antigua and Barbuda,2080,76.71
Antigua and Barbuda,2085,77.25
Antigua and Barbuda,2090,77.79
Antigua and Barbuda,2095,78.29
Argentina,1950,58.53
Argentina,1955,60.06
Argentina,1960,60.6
Argentina,1965,60.87
Argentina,1970,61.51
Argentina,1975,62.15
Argentina,1980,63.02
Argentina,1985,63.47
Argentina,1990,64.34
Argentina,1995,65.22
Argentina,2000,65.76
Argentina,2005,66.57
Argentina,2010,67.33
Argentina,2015,68.05
Argentina,2020,68.78
Argentina,2025,69.56
Argentina,2030,70.34
Argentina,2035,71.14
Argentina,2040,71.98
Argentina,2045,72.75
Argentina,2050,73.49
Argentina,2055,74.19
Argentina,2060,74.8
Argentina,2065,75.38
Argentina,2070,75.97
Argentina,2075,76.56
Argentina,2080,77.1
Argentina,2085,77.66
Argentina,2090,78.21
Argentina,2095,78.76
Armenia,1950,59.68
Armenia,1955,61.36
Armenia,1960,63.05
Armenia,1965,64.78
Armenia,1970,65.94
Armenia,1975,65.39
Armenia,1980,65.32
Armenia,1985,62.59
Armenia,1990,61.97
Armenia,1995,63.28
Armenia,2000,65
Armenia,2005,65.83
Armenia,2010,65.85
Armenia,2015,66.54
Armenia,2020,67.15
Armenia,2025,67.75
Armenia,2030,68.42
Armenia,2035,69.07
Armenia,2040,69.72
Armenia,2045,70.35
Armenia,2050,71.02
Armenia,2055,71.7
Armenia,2060,72.36
Armenia,2065,72.98
Armenia,2070,73.55
Armenia,2075,74.13
Armenia,2080,74.68
Armenia,2085,75.2
Armenia,2090,75.71
Armenia,2095,76.2
Aruba,1950,57.29
Aruba,1955,59.42
Aruba,1960,60.65
Aruba,1965,61.61
Aruba,1970,62.8
Aruba,1975,63.87
Aruba,1980,64.8
Aruba,1985,65.15
Aruba,1990,65.32
Aruba,1995,65.44
Aruba,2000,65.66
Aruba,2005,66.25
Aruba,2010,66.8
Aruba,2015,67.35
Aruba,2020,67.92
Aruba,2025,68.48
Aruba,2030,69.08
Aruba,2035,69.69
Aruba,2040,70.26
Aruba,2045,70.86
Aruba,2050,71.43
Aruba,2055,72.04
Aruba,2060,72.63
Aruba,2065,73.21
Aruba,2070,73.81
Aruba,2075,74.41
Aruba,2080,74.94
Aruba,2085,75.47
Aruba,2090,75.96
Aruba,2095,76.45
Australia,1750,NA
Australia,1755,NA
Australia,1760,NA
Australia,1765,NA
Australia,1770,NA
Australia,1775,NA
Australia,1780,NA
Australia,1785,NA
Australia,1790,NA
Australia,1795,NA
Australia,1800,NA
Australia,1805,NA
Australia,1810,NA
Australia,1815,NA
Australia,1820,NA
Australia,1825,NA
Australia,1830,NA
Australia,1835,NA
Australia,1840,NA
Australia,1845,NA
Australia,1850,NA
Australia,1855,NA
Australia,1860,NA
Australia,1865,NA
Australia,1870,NA
Australia,1875,NA
Australia,1880,NA
Australia,1885,NA
Australia,1890,NA
Australia,1895,NA
Australia,1900,NA
Australia,1905,NA
Australia,1910,NA
Australia,1915,NA
Australia,1920,57.75
Australia,1925,58.2
Australia,1930,59.55
Australia,1935,59.52
Australia,1940,60.24
Australia,1945,61.23
Australia,1950,61.75
Australia,1955,62.55
Australia,1960,62.84
Australia,1965,62.67
Australia,1970,63.28
Australia,1975,64.74
Australia,1980,66.16
Australia,1985,67
Australia,1990,68.27
Australia,1995,69.32
Australia,2000,70.73
Australia,2005,71.88
Australia,2010,72.52
Australia,2015,73.37
Australia,2020,74.18
Australia,2025,74.88
Australia,2030,75.53
Australia,2035,76.17
Australia,2040,76.78
Australia,2045,77.4
Australia,2050,77.97
Australia,2055,78.58
Australia,2060,79.19
Australia,2065,79.78
Australia,2070,80.37
Australia,2075,80.94
Australia,2080,81.5
Australia,2085,82.06
Australia,2090,82.65
Australia,2095,83.23
Austria,1750,NA
Austria,1755,NA
Austria,1760,NA
Austria,1765,NA
Austria,1770,NA
Austria,1775,NA
Austria,1780,NA
Austria,1785,NA
Austria,1790,NA
Austria,1795,NA
Austria,1800,NA
Austria,1805,NA
Austria,1810,NA
Austria,1815,NA
Austria,1820,NA
Austria,1825,NA
Austria,1830,NA
Austria,1835,NA
Austria,1840,NA
Austria,1845,NA
Austria,1850,NA
Austria,1855,NA
Austria,1860,NA
Austria,1865,NA
Austria,1870,NA
Austria,1875,NA
Austria,1880,NA
Austria,1885,NA
Austria,1890,NA
Austria,1895,NA
Austria,1900,NA
Austria,1905,NA
Austria,1910,NA
Austria,1915,NA
Austria,1920,NA
Austria,1925,NA
Austria,1930,NA
Austria,1935,NA
Austria,1940,NA
Austria,1945,59.47
Austria,1950,60.96
Austria,1955,61.64
Austria,1960,62.43
Austria,1965,62.48
Austria,1970,62.83
Austria,1975,63.55
Austria,1980,64.33
Austria,1985,65.74
Austria,1990,66.77
Austria,1995,67.9
Austria,2000,69.28
Austria,2005,70.48
Austria,2010,71.43
Austria,2015,72.35
Austria,2020,73.27
Austria,2025,74.08
Austria,2030,74.8
Austria,2035,75.45
Austria,2040,76.12
Austria,2045,76.77
Austria,2050,77.4
Austria,2055,78.02
Austria,2060,78.6
Austria,2065,79.18
Austria,2070,79.74
Austria,2075,80.31
Austria,2080,80.88
Austria,2085,81.47
Austria,2090,82.02
Austria,2095,82.6
Azerbaijan,1950,60.81
Azerbaijan,1955,62.01
Azerbaijan,1960,63.25
Azerbaijan,1965,64.47
Azerbaijan,1970,65.34
Azerbaijan,1975,64.63
Azerbaijan,1980,64.18
Azerbaijan,1985,64.68
Azerbaijan,1990,61.23
Azerbaijan,1995,62.1
Azerbaijan,2000,62.31
Azerbaijan,2005,63.71
Azerbaijan,2010,64.26
Azerbaijan,2015,64.5
Azerbaijan,2020,64.75
Azerbaijan,2025,65.01
Azerbaijan,2030,65.27
Azerbaijan,2035,65.56
Azerbaijan,2040,65.97
Azerbaijan,2045,66.34
Azerbaijan,2050,66.77
Azerbaijan,2055,67.18
Azerbaijan,2060,67.65
Azerbaijan,2065,68.17
Azerbaijan,2070,68.73
Azerbaijan,2075,69.26
Azerbaijan,2080,69.89
Azerbaijan,2085,70.49
Azerbaijan,2090,71.11
Azerbaijan,2095,71.74
Bahamas,1950,57.08
Bahamas,1955,57.92
Bahamas,1960,58.69
Bahamas,1965,59.42
Bahamas,1970,60.16
Bahamas,1975,60.88
Bahamas,1980,61.57
Bahamas,1985,62.29
Bahamas,1990,62.93
Bahamas,1995,63.35
Bahamas,2000,64.57
Bahamas,2005,65.54
Bahamas,2010,66.24
Bahamas,2015,66.92
Bahamas,2020,67.62
Bahamas,2025,68.34
Bahamas,2030,69.08
Bahamas,2035,69.85
Bahamas,2040,70.62
Bahamas,2045,71.39
Bahamas,2050,72.17
Bahamas,2055,72.93
Bahamas,2060,73.69
Bahamas,2065,74.35
Bahamas,2070,75
Bahamas,2075,75.6
Bahamas,2080,76.18
Bahamas,2085,76.74
Bahamas,2090,77.28
Bahamas,2095,77.83
Bahrain,1950,50.04
Bahrain,1955,53.63
Bahrain,1960,56.37
Bahrain,1965,58.48
Bahrain,1970,60.15
Bahrain,1975,61.44
Bahrain,1980,62.62
Bahrain,1985,63.54
Bahrain,1990,64.38
Bahrain,1995,65.16
Bahrain,2000,65.94
Bahrain,2005,66.55
Bahrain,2010,67.16
Bahrain,2015,67.74
Bahrain,2020,68.36
Bahrain,2025,68.97
Bahrain,2030,69.59
Bahrain,2035,70.24
Bahrain,2040,70.88
Bahrain,2045,71.54
Bahrain,2050,72.18
Bahrain,2055,72.86
Bahrain,2060,73.52
Bahrain,2065,74.18
Bahrain,2070,74.79
Bahrain,2075,75.34
Bahrain,2080,75.86
Bahrain,2085,76.34
Bahrain,2090,76.8
Bahrain,2095,77.23
Bangladesh,1950,51.82
Bangladesh,1955,52.93
Bangladesh,1960,54.01
Bangladesh,1965,55.05
Bangladesh,1970,55.57
Bangladesh,1975,56.87
Bangladesh,1980,57.56
Bangladesh,1985,58.44
Bangladesh,1990,59.49
Bangladesh,1995,61.43
Bangladesh,2000,62.56
Bangladesh,2005,63.45
Bangladesh,2010,64.3
Bangladesh,2015,65.48
Bangladesh,2020,66.5
Bangladesh,2025,67.34
Bangladesh,2030,68.06
Bangladesh,2035,68.7
Bangladesh,2040,69.32
Bangladesh,2045,69.87
Bangladesh,2050,70.46
Bangladesh,2055,71.06
Bangladesh,2060,71.61
Bangladesh,2065,72.21
Bangladesh,2070,72.78
Bangladesh,2075,73.35
Bangladesh,2080,73.94
Bangladesh,2085,74.43
Bangladesh,2090,74.94
Bangladesh,2095,75.44
Barbados,1950,55.73
Barbados,1955,56.97
Barbados,1960,58.14
Barbados,1965,59.19
Barbados,1970,60.13
Barbados,1975,61.06
Barbados,1980,61.99
Barbados,1985,62.84
Barbados,1990,63.61
Barbados,1995,64.32
Barbados,2000,64.99
Barbados,2005,65.63
Barbados,2010,66.3
Barbados,2015,66.96
Barbados,2020,67.66
Barbados,2025,68.41
Barbados,2030,69.16
Barbados,2035,69.91
Barbados,2040,70.69
Barbados,2045,71.39
Barbados,2050,72.14
Barbados,2055,72.9
Barbados,2060,73.66
Barbados,2065,74.33
Barbados,2070,75
Barbados,2075,75.57
Barbados,2080,76.17
Barbados,2085,76.76
Barbados,2090,77.25
Barbados,2095,77.77
Belarus,1950,59.94
Belarus,1955,61.63
Belarus,1960,62.46
Belarus,1965,62.72
Belarus,1970,62.55
Belarus,1975,62.45
Belarus,1980,61.94
Belarus,1985,62.93
Belarus,1990,60.85
Belarus,1995,58.76
Belarus,2000,58.75
Belarus,2005,59.89
Belarus,2010,61.53
Belarus,2015,62.06
Belarus,2020,62.6
Belarus,2025,63.13
Belarus,2030,63.7
Belarus,2035,64.26
Belarus,2040,64.81
Belarus,2045,65.34
Belarus,2050,65.91
Belarus,2055,66.47
Belarus,2060,67.04
Belarus,2065,67.71
Belarus,2070,68.28
Belarus,2075,68.89
Belarus,2080,69.56
Belarus,2085,70.2
Belarus,2090,70.81
Belarus,2095,71.38
Belgium,1750,NA
Belgium,1755,NA
Belgium,1760,NA
Belgium,1765,NA
Belgium,1770,NA
Belgium,1775,NA
Belgium,1780,NA
Belgium,1785,NA
Belgium,1790,NA
Belgium,1795,NA
Belgium,1800,NA
Belgium,1805,NA
Belgium,1810,NA
Belgium,1815,NA
Belgium,1820,NA
Belgium,1825,NA
Belgium,1830,NA
Belgium,1835,NA
Belgium,1840,47.55
Belgium,1845,44.14
Belgium,1850,47.88
Belgium,1855,47.59
Belgium,1860,49.25
Belgium,1865,47.15
Belgium,1870,48.1
Belgium,1875,49.43
Belgium,1880,49.95
Belgium,1885,50.64
Belgium,1890,50.37
Belgium,1895,52.25
Belgium,1900,52.84
Belgium,1905,53.62
Belgium,1910,54.2
Belgium,1915,52.07
Belgium,1920,55.35
Belgium,1925,55.71
Belgium,1930,56.71
Belgium,1935,57.35
Belgium,1940,55.48
Belgium,1945,58.93
Belgium,1950,61.51
Belgium,1955,62.46
Belgium,1960,62.64
Belgium,1965,62.71
Belgium,1970,63.14
Belgium,1975,63.88
Belgium,1980,64.88
Belgium,1985,66.03
Belgium,1990,67.12
Belgium,1995,67.87
Belgium,2000,68.73
Belgium,2005,69.92
Belgium,2010,70.89
Belgium,2015,71.74
Belgium,2020,72.62
Belgium,2025,73.47
Belgium,2030,74.22
Belgium,2035,74.92
Belgium,2040,75.55
Belgium,2045,76.18
Belgium,2050,76.78
Belgium,2055,77.36
Belgium,2060,77.92
Belgium,2065,78.51
Belgium,2070,79.05
Belgium,2075,79.59
Belgium,2080,80.16
Belgium,2085,80.74
Belgium,2090,81.24
Belgium,2095,81.77
Belize,1950,55.75
Belize,1955,57.45
Belize,1960,59.21
Belize,1965,61.08
Belize,1970,62.73
Belize,1975,63.74
Belize,1980,64.36
Belize,1985,64.93
Belize,1990,63.45
Belize,1995,60.79
Belize,2000,60.44
Belize,2005,61.19
Belize,2010,61.2
Belize,2015,61.72
Belize,2020,62.26
Belize,2025,62.76
Belize,2030,63.27
Belize,2035,63.8
Belize,2040,64.39
Belize,2045,64.97
Belize,2050,65.6
Belize,2055,66.19
Belize,2060,66.82
Belize,2065,67.43
Belize,2070,68.05
Belize,2075,68.7
Belize,2080,69.39
Belize,2085,70.09
Belize,2090,70.82
Belize,2095,71.52
Benin,1950,43.77
Benin,1955,45.16
Benin,1960,46.4
Benin,1965,47.99
Benin,1970,49.71
Benin,1975,51.09
Benin,1980,52
Benin,1985,54.59
Benin,1990,56.5
Benin,1995,55.24
Benin,2000,55.37
Benin,2005,56.59
Benin,2010,57.08
Benin,2015,57.64
Benin,2020,58.16
Benin,2025,58.65
Benin,2030,59.11
Benin,2035,59.54
Benin,2040,59.99
Benin,2045,60.39
Benin,2050,60.8
Benin,2055,61.18
Benin,2060,61.55
Benin,2065,61.94
Benin,2070,62.34
Benin,2075,62.77
Benin,2080,63.18
Benin,2085,63.62
Benin,2090,64.08
Benin,2095,64.6
Bhutan,1950,40.15
Bhutan,1955,40.78
Bhutan,1960,41.55
Bhutan,1965,42.39
Bhutan,1970,44.31
Bhutan,1975,46.63
Bhutan,1980,48.74
Bhutan,1985,50.85
Bhutan,1990,53.26
Bhutan,1995,55.75
Bhutan,2000,58.24
Bhutan,2005,60.75
Bhutan,2010,62.13
Bhutan,2015,63.38
Bhutan,2020,64.44
Bhutan,2025,65.36
Bhutan,2030,66.19
Bhutan,2035,66.93
Bhutan,2040,67.7
Bhutan,2045,68.4
Bhutan,2050,69.11
Bhutan,2055,69.77
Bhutan,2060,70.5
Bhutan,2065,71.13
Bhutan,2070,71.87
Bhutan,2075,72.54
Bhutan,2080,73.2
Bhutan,2085,73.83
Bhutan,2090,74.46
Bhutan,2095,75
Bolivia,1950,48.44
Bolivia,1955,49
Bolivia,1960,49.54
Bolivia,1965,50.05
Bolivia,1970,50.58
Bolivia,1975,51.59
Bolivia,1980,53.06
Bolivia,1985,54.62
Bolivia,1990,56.27
Bolivia,1995,58
Bolivia,2000,59.79
Bolivia,2005,61.63
Bolivia,2010,63.58
Bolivia,2015,64.48
Bolivia,2020,65.21
Bolivia,2025,66
Bolivia,2030,66.73
Bolivia,2035,67.39
Bolivia,2040,68.07
Bolivia,2045,68.71
Bolivia,2050,69.39
Bolivia,2055,70.06
Bolivia,2060,70.73
Bolivia,2065,71.39
Bolivia,2070,72.04
Bolivia,2075,72.7
Bolivia,2080,73.39
Bolivia,2085,74.06
Bolivia,2090,74.64
Bolivia,2095,75.22
Bosnia and Herzegovina,1950,57.42
Bosnia and Herzegovina,1955,58.64
Bosnia and Herzegovina,1960,59.49
Bosnia and Herzegovina,1965,60.5
Bosnia and Herzegovina,1970,61.6
Bosnia and Herzegovina,1975,62.76
Bosnia and Herzegovina,1980,62.97
Bosnia and Herzegovina,1985,63.54
Bosnia and Herzegovina,1990,61.78
Bosnia and Herzegovina,1995,64.6
Bosnia and Herzegovina,2000,65.75
Bosnia and Herzegovina,2005,66.37
Bosnia and Herzegovina,2010,67.01
Bosnia and Herzegovina,2015,67.67
Bosnia and Herzegovina,2020,68.39
Bosnia and Herzegovina,2025,69.13
Bosnia and Herzegovina,2030,69.87
Bosnia and Herzegovina,2035,70.62
Bosnia and Herzegovina,2040,71.37
Bosnia and Herzegovina,2045,72.12
Bosnia and Herzegovina,2050,72.89
Bosnia and Herzegovina,2055,73.6
Bosnia and Herzegovina,2060,74.32
Bosnia and Herzegovina,2065,74.93
Bosnia and Herzegovina,2070,75.52
Bosnia and Herzegovina,2075,76.09
Bosnia and Herzegovina,2080,76.61
Bosnia and Herzegovina,2085,77.12
Bosnia and Herzegovina,2090,77.58
Bosnia and Herzegovina,2095,78.09
Botswana,1950,50.59
Botswana,1955,51.62
Botswana,1960,52.6
Botswana,1965,53.53
Botswana,1970,54.96
Botswana,1975,56.7
Botswana,1980,58.02
Botswana,1985,58.52
Botswana,1990,56.08
Botswana,1995,46.65
Botswana,2000,43.41
Botswana,2005,54.41
Botswana,2010,57.01
Botswana,2015,57.17
Botswana,2020,58.45
Botswana,2025,59.46
Botswana,2030,60.36
Botswana,2035,61.22
Botswana,2040,62.08
Botswana,2045,62.93
Botswana,2050,63.75
Botswana,2055,64.54
Botswana,2060,65.27
Botswana,2065,65.96
Botswana,2070,66.6
Botswana,2075,67.21
Botswana,2080,67.79
Botswana,2085,68.37
Botswana,2090,68.94
Botswana,2095,69.5
Brazil,1950,53.42
Brazil,1955,54.68
Brazil,1960,56.28
Brazil,1965,57.76
Brazil,1970,58.77
Brazil,1975,58.67
Brazil,1980,58.7
Brazil,1985,59.03
Brazil,1990,59.93
Brazil,1995,61.97
Brazil,2000,63.73
Brazil,2005,64.83
Brazil,2010,65.99
Brazil,2015,66.99
Brazil,2020,68.01
Brazil,2025,68.99
Brazil,2030,69.97
Brazil,2035,70.94
Brazil,2040,71.91
Brazil,2045,72.83
Brazil,2050,73.69
Brazil,2055,74.41
Brazil,2060,75.05
Brazil,2065,75.67
Brazil,2070,76.25
Brazil,2075,76.84
Brazil,2080,77.37
Brazil,2085,77.93
Brazil,2090,78.43
Brazil,2095,78.93
Brunei,1950,56.14
Brunei,1955,57.53
Brunei,1960,58.67
Brunei,1965,59.87
Brunei,1970,61
Brunei,1975,62.01
Brunei,1980,62.96
Brunei,1985,63.94
Brunei,1990,64.86
Brunei,1995,65.75
Brunei,2000,66.59
Brunei,2005,67.39
Brunei,2010,68.9
Brunei,2015,69.92
Brunei,2020,70.88
Brunei,2025,71.84
Brunei,2030,72.79
Brunei,2035,73.71
Brunei,2040,74.53
Brunei,2045,75.28
Brunei,2050,75.99
Brunei,2055,76.64
Brunei,2060,77.25
Brunei,2065,77.86
Brunei,2070,78.44
Brunei,2075,79.05
Brunei,2080,79.62
Brunei,2085,80.19
Brunei,2090,80.74
Brunei,2095,81.3
Bulgaria,1750,NA
Bulgaria,1755,NA
Bulgaria,1760,NA
Bulgaria,1765,NA
Bulgaria,1770,NA
Bulgaria,1775,NA
Bulgaria,1780,NA
Bulgaria,1785,NA
Bulgaria,1790,NA
Bulgaria,1795,NA
Bulgaria,1800,NA
Bulgaria,1805,NA
Bulgaria,1810,NA
Bulgaria,1815,NA
Bulgaria,1820,NA
Bulgaria,1825,NA
Bulgaria,1830,NA
Bulgaria,1835,NA
Bulgaria,1840,NA
Bulgaria,1845,NA
Bulgaria,1850,NA
Bulgaria,1855,NA
Bulgaria,1860,NA
Bulgaria,1865,NA
Bulgaria,1870,NA
Bulgaria,1875,NA
Bulgaria,1880,NA
Bulgaria,1885,NA
Bulgaria,1890,NA
Bulgaria,1895,NA
Bulgaria,1900,NA
Bulgaria,1905,NA
Bulgaria,1910,NA
Bulgaria,1915,NA
Bulgaria,1920,NA
Bulgaria,1925,NA
Bulgaria,1930,NA
Bulgaria,1935,NA
Bulgaria,1940,NA
Bulgaria,1945,57.63
Bulgaria,1950,60.71
Bulgaria,1955,62.61
Bulgaria,1960,63.66
Bulgaria,1965,63.79
Bulgaria,1970,63.5
Bulgaria,1975,63.2
Bulgaria,1980,63.02
Bulgaria,1985,62.8
Bulgaria,1990,62.66
Bulgaria,1995,62.38
Bulgaria,2000,63.3
Bulgaria,2005,63.91
Bulgaria,2010,64.92
Bulgaria,2015,65.33
Bulgaria,2020,65.79
Bulgaria,2025,66.24
Bulgaria,2030,66.72
Bulgaria,2035,67.2
Bulgaria,2040,67.73
Bulgaria,2045,68.31
Bulgaria,2050,68.88
Bulgaria,2055,69.45
Bulgaria,2060,70.07
Bulgaria,2065,70.68
Bulgaria,2070,71.27
Bulgaria,2075,71.88
Bulgaria,2080,72.49
Bulgaria,2085,73.1
Bulgaria,2090,73.66
Bulgaria,2095,74.22
Burkina Faso,1950,41.72
Burkina Faso,1955,43.28
Burkina Faso,1960,44.77
Burkina Faso,1965,46.18
Burkina Faso,1970,47.72
Burkina Faso,1975,49.84
Burkina Faso,1980,53.65
Burkina Faso,1985,53.72
Burkina Faso,1990,52.97
Burkina Faso,1995,52.66
Burkina Faso,2000,53.41
Burkina Faso,2005,54.85
Burkina Faso,2010,55.95
Burkina Faso,2015,56.88
Burkina Faso,2020,57.75
Burkina Faso,2025,58.59
Burkina Faso,2030,59.32
Burkina Faso,2035,60.04
Burkina Faso,2040,60.59
Burkina Faso,2045,61.11
Burkina Faso,2050,61.66
Burkina Faso,2055,62.21
Burkina Faso,2060,62.69
Burkina Faso,2065,63.2
Burkina Faso,2070,63.73
Burkina Faso,2075,64.27
Burkina Faso,2080,64.84
Burkina Faso,2085,65.39
Burkina Faso,2090,66.06
Burkina Faso,2095,66.69
Burundi,1950,46.66
Burundi,1955,47.5
Burundi,1960,48.35
Burundi,1965,49.18
Burundi,1970,49.56
Burundi,1975,50.77
Burundi,1980,51.56
Burundi,1985,52.15
Burundi,1990,51.17
Burundi,1995,52.56
Burundi,2000,52.62
Burundi,2005,53.49
Burundi,2010,55.11
Burundi,2015,56.34
Burundi,2020,57.38
Burundi,2025,58.5
Burundi,2030,59.59
Burundi,2035,60.58
Burundi,2040,61.47
Burundi,2045,62.27
Burundi,2050,63
Burundi,2055,63.71
Burundi,2060,64.42
Burundi,2065,65.08
Burundi,2070,65.69
Burundi,2075,66.26
Burundi,2080,66.81
Burundi,2085,67.37
Burundi,2090,67.91
Burundi,2095,68.44
Cambodia,1950,43.09
Cambodia,1955,43.3
Cambodia,1960,43.57
Cambodia,1965,44.03
Cambodia,1970,40.19
Cambodia,1975,19.48
Cambodia,1980,48.23
Cambodia,1985,50.58
Cambodia,1990,52.92
Cambodia,1995,55.18
Cambodia,2000,57.33
Cambodia,2005,59.52
Cambodia,2010,60.73
Cambodia,2015,62.14
Cambodia,2020,63.51
Cambodia,2025,64.93
Cambodia,2030,66.17
Cambodia,2035,67.26
Cambodia,2040,68.3
Cambodia,2045,69.27
Cambodia,2050,70.2
Cambodia,2055,71.04
Cambodia,2060,71.89
Cambodia,2065,72.63
Cambodia,2070,73.44
Cambodia,2075,74.16
Cambodia,2080,74.8
Cambodia,2085,75.4
Cambodia,2090,75.93
Cambodia,2095,76.42
Cameroon,1950,46.36
Cameroon,1955,47.43
Cameroon,1960,48.68
Cameroon,1965,49.88
Cameroon,1970,51.23
Cameroon,1975,52.53
Cameroon,1980,53.62
Cameroon,1985,54.15
Cameroon,1990,53.94
Cameroon,1995,52.46
Cameroon,2000,50.98
Cameroon,2005,51.8
Cameroon,2010,53.07
Cameroon,2015,54.32
Cameroon,2020,55.59
Cameroon,2025,57.18
Cameroon,2030,58.65
Cameroon,2035,59.99
Cameroon,2040,61.15
Cameroon,2045,62.15
Cameroon,2050,63.13
Cameroon,2055,63.95
Cameroon,2060,64.7
Cameroon,2065,65.42
Cameroon,2070,66.04
Cameroon,2075,66.65
Cameroon,2080,67.26
Cameroon,2085,67.83
Cameroon,2090,68.38
Cameroon,2095,68.9
Canada,1750,NA
Canada,1755,NA
Canada,1760,NA
Canada,1765,NA
Canada,1770,NA
Canada,1775,NA
Canada,1780,NA
Canada,1785,NA
Canada,1790,NA
Canada,1795,NA
Canada,1800,NA
Canada,1805,NA
Canada,1810,NA
Canada,1815,NA
Canada,1820,NA
Canada,1825,NA
Canada,1830,NA
Canada,1835,NA
Canada,1840,NA
Canada,1845,NA
Canada,1850,NA
Canada,1855,NA
Canada,1860,NA
Canada,1865,NA
Canada,1870,NA
Canada,1875,NA
Canada,1880,NA
Canada,1885,NA
Canada,1890,NA
Canada,1895,NA
Canada,1900,NA
Canada,1905,NA
Canada,1910,NA
Canada,1915,NA
Canada,1920,57.43
Canada,1925,57.5
Canada,1930,58.78
Canada,1935,59.35
Canada,1940,60.01
Canada,1945,61.29
Canada,1950,62.39
Canada,1955,63.17
Canada,1960,63.7
Canada,1965,64.08
Canada,1970,64.56
Canada,1975,65.44
Canada,1980,66.69
Canada,1985,67.51
Canada,1990,68.37
Canada,1995,69.06
Canada,2000,70.21
Canada,2005,71.18
Canada,2010,72.25
Canada,2015,73.05
Canada,2020,73.85
Canada,2025,74.57
