Entity,Year,Share of single parent families
Mongolia,2000,9.1
Montenegro,2011,12.1
Morocco,1982,6.8
Morocco,1994,7.1
Morocco,2004,10.1
Mozambique,1997,7.5
Mozambique,2003,8.1
Mozambique,2009,13
Mozambique,2011,11.5
Myanmar,2016,8.5
Namibia,1992,5.9
Namibia,2000,8.3
Namibia,2007,8.8
Namibia,2013,8.4
Nepal,1996,7.4
Nepal,2001,9.1
Nepal,2006,12.4
Nepal,2011,15.1
Nepal,2016,15
New Zealand,2001,9.3
New Zealand,2006,11.3
Nicaragua,1971,10.5
Nicaragua,1995,8.6
Nicaragua,2005,9.9
Niger,1992,2.6
Niger,1998,5.2
Niger,2006,9.1
Niger,2012,8.5
Nigeria,1990,6.9
Nigeria,1999,8.6
Nigeria,2003,7.1
Nigeria,2008,8.4
Nigeria,2010,6.8
Nigeria,2013,8
Nigeria,2015,6.9
Norway,2001,8.3
Norway,2011,8.4
Pakistan,1991,4.1
Pakistan,2006,6.3
Pakistan,2013,6.4
Palestine,1997,4.5
Palestine,2007,5.3
Panama,1960,9.9
Panama,1970,9.1
Panama,1980,9.9
Panama,1990,9.8
Panama,2000,10.7
Panama,2010,11.5
Paraguay,1962,11.1
Paraguay,1972,8.9
Paraguay,1982,7.8
Paraguay,1992,7.6
Paraguay,2002,8.8
Peru,1991,7.4
Peru,1996,8.4
Peru,2000,8.6
Peru,2005,9.4
Peru,2007,9.4
Peru,2009,9.5
Peru,2010,10
Peru,2011,11
Peru,2012,10.9
Philippines,1993,5.3
Philippines,1998,5.5
Philippines,2003,6.2
Philippines,2008,6.2
Philippines,2013,6.9
Poland,2002,11.3
Poland,2011,11.4
Portugal,1981,5.2
Portugal,1991,5.8
Portugal,2001,6.4
Portugal,2011,8.2
Puerto Rico,1970,9.4
Puerto Rico,1980,10.9
Puerto Rico,1990,17.9
Puerto Rico,2000,14.6
Puerto Rico,2005,15.1
Puerto Rico,2010,16.2
Romania,1977,4
Romania,1992,6
Romania,2002,7.4
Romania,2011,7.7
Russia,2002,5.6
Russia,2010,11.5
Rwanda,1992,9.1
Rwanda,2000,20.6
Rwanda,2005,17.7
Rwanda,2008,16.6
Rwanda,2010,15.7
Rwanda,2012,13.6
Rwanda,2015,14.7
Sao Tome and Principe,2012,13.4
Senegal,1993,2.9
Senegal,1997,3.5
Senegal,2005,7
Senegal,2006,3.4
Senegal,2008,3.6
Senegal,2011,4.2
Senegal,2013,4.7
Senegal,2014,5.7
Senegal,2015,7.1
Senegal,2016,5.4
Serbia,2002,9.1
Serbia,2011,10.2
Sierra Leone,2008,4.5
Sierra Leone,2013,4.8
Sint Maarten (Dutch part),2011,16.1
Slovakia,2001,11.4
Slovakia,2011,10.5
Slovenia,2002,10.6
South Africa,1996,12.4
South Africa,2001,11.3
South Africa,2007,11.5
South Africa,2011,10.5
South Korea,2005,8.6
South Korea,2010,9.2
South Sudan,2008,15
Spain,2001,8.1
Spain,2011,9.4
Sudan,2008,12.8
Swaziland,2006,12.7
Switzerland,2000,5.4
Tajikistan,2012,5.5
Tanzania,1992,6.1
Tanzania,1996,7.7
Tanzania,1999,6.8
Tanzania,2004,8.5
Tanzania,2007,8.5
Tanzania,2010,8.4
Tanzania,2012,7.8
Tanzania,2015,7.3
Thailand,1970,6.7
Thailand,1980,6.6
Thailand,1990,6.9
Thailand,2000,7.6
Timor,2009,6.4
Togo,1998,9.9
Togo,2014,11.2
Trinidad and Tobago,1970,9.3
Trinidad and Tobago,1980,8.7
Trinidad and Tobago,1990,11.3
Trinidad and Tobago,2000,12.7
Trinidad and Tobago,2011,13.1
Turkey,1985,3.6
Turkey,1990,3.9
Turkey,2000,5
Uganda,1995,9.3
Uganda,2000,10.1
Uganda,2006,11.3
Uganda,2009,11.8
Uganda,2011,11
Uganda,2014,10
Uganda,2016,11.7
Ukraine,2007,11.2
United Kingdom,2011,10.7
United States,1960,5.2
United States,1970,6.8
United States,1980,7.7
United States,1990,8.4
United States,2000,8.6
United States,2005,9.3
United States,2010,9.3
Uruguay,1963,7.3
Uruguay,1975,7.8
Uruguay,1985,8.6
Uruguay,1996,9.6
Uruguay,2006,11.3
Uruguay,2011,10.9
Uzbekistan,1996,5.8
Venezuela,1971,9.2
Venezuela,1981,8.3
Venezuela,1990,9.8
Venezuela,2001,10.5
Vietnam,1985,7.2
Vietnam,1997,7.2
Vietnam,2005,8.2
Yemen,1991,7.5
Yemen,2013,4.3
Zambia,1992,4.1
Zambia,1996,6.3
Zambia,2002,6.2
Zambia,2007,7.6
Zambia,2013,8
Zimbabwe,1994,12.7
Zimbabwe,1999,12.5
Zimbabwe,2005,12.7
Zimbabwe,2010,12.2
Zimbabwe,2015,12.3
