Entity,Year,1st (Incomes across the Distribution Database (2016)),2nd (Incomes across the Distribution Database (2016)),3rd (Incomes across the Distribution Database (2016)),4th (Incomes across the Distribution Database (2016)),5th (Incomes across the Distribution Database (2016)),6th (Incomes across the Distribution Database (2016)),7th (Incomes across the Distribution Database (2016)),8th (Incomes across the Distribution Database (2016)),9th (Incomes across the Distribution Database (2016)),mean (Incomes across the Distribution Database (2016))
Canada,1994,107.7229146,104.5063923,101.4252336,102.1608739,102.0228968,102.4370276,102.6138466,102.8567364,103.1873108,103.606165
Canada,1997,105.5083096,102.3924651,99.71926149,101.5427227,101.8580185,102.6217951,102.6862053,102.992431,103.8831994,103.4101529
Canada,1998,103.4141571,101.8103816,100.5055643,102.6005124,103.8744426,104.9574883,105.5188384,105.9266722,107.7836105,107.5975033
Canada,2000,105.8541714,103.1314354,100.5449338,102.1566576,102.9098545,104.3481539,105.4355213,107.0222981,108.8876201,108.903697
Canada,2004,109.4448243,107.306213,107.0642687,108.7159438,109.8558519,112.1113269,112.3552486,114.3143032,117.6853014,116.1948085
Canada,2007,123.8745594,118.6030944,116.6675528,117.8702412,119.3497673,121.092224,121.8175932,123.6021497,126.7117651,126.6691131
Canada,2010,125.6921954,119.4821667,119.2330194,121.8220195,123.3086468,124.3945303,125.4186604,127.7054001,129.3069685,129.5961593
Czech Republic,1992,100,100,100,100,100,100,100,100,100,100
Czech Republic,1996,106.1458454,109.3021004,111.9686021,113.3825952,116.7752983,120.9901945,124.3893656,128.5242343,133.8367394,122.4325709
Czech Republic,2002,114.158007,115.7731372,119.7407247,121.7965311,123.5631564,127.4397657,130.8343251,135.1174807,144.7708807,130.3530848
Czech Republic,2004,118.217745,125.5357641,128.881126,131.615258,133.738334,139.8984556,144.8937287,151.2458383,160.7103653,142.5025828
Czech Republic,2007,144.9896322,149.6162747,153.3856648,156.0439327,160.5978884,165.4304242,168.2032518,173.6729604,182.5737921,165.8900448
Czech Republic,2010,146.1228905,154.5244731,157.855548,160.3309043,165.8299864,171.2851149,174.5744147,179.6417862,188.9095512,171.5751333
Denmark,1987,100,100,100,100,100,100,100,100,100,100
Denmark,1992,105.7937646,101.2422246,98.14324544,97.21347962,96.9316319,97.81545376,97.72227562,96.48691946,93.81502031,96.81521477
Denmark,1995,120.4390875,112.3672782,107.4007888,104.6842916,103.7180808,103.6260441,102.8497234,102.2987505,99.22407344,104.056375
Denmark,2000,124.9279327,117.3040027,113.1917121,110.6707023,109.7020288,109.9027231,109.6078947,108.9097984,105.9176876,110.32811
Denmark,2004,130.5239138,122.2593727,117.8043374,115.6368733,115.1882533,115.5350894,115.5183602,115.3324933,111.8445004,115.9275614
Denmark,2007,134.4342226,126.7393747,122.6120996,120.7495262,120.3360453,120.5861418,120.3330337,120.0672006,117.383841,122.0827477
Denmark,2010,137.0079441,128.6198812,122.9685014,121.2285748,121.8359237,123.2972515,124.1493491,124.5771533,122.2421085,125.8981449
Estonia,2000,100,100,100,100,100,100,100,100,100,100
Estonia,2004,131.7472899,130.3258376,130.9306172,131.2262791,132.3241955,129.1486868,130.8347188,131.9047914,125.7895755,127.2733612
Estonia,2007,203.990263,201.7036218,203.5947937,206.8037426,205.5738766,199.3187623,195.5734105,191.9206762,183.2871101,187.104036
Estonia,2010,186.3932893,182.668291,182.7291269,180.6728989,181.4632564,179.2206233,179.8847473,175.5770828,166.0813432,169.4205237
Finland,1987,100,100,100,100,100,100,100,100,100,100
Finland,1991,109.2668754,111.3418278,111.4583061,110.0567001,109.5616028,110.3407746,111.0737621,111.1907916,111.3646519,110.713357
Finland,1995,101.6829392,100.1409754,99.12841423,98.06923192,98.0920745,98.64138483,99.12581372,100.8350985,102.1205419,101.2185402
Finland,2000,104.9223094,104.0778958,105.7064519,106.810806,109.2820854,111.6576206,112.9711199,115.7781855,119.9508869,115.9539662
Finland,2004,115.3893277,116.8620881,118.7198174,120.3971877,123.3371613,125.5526435,129.2421558,133.5364339,139.3943082,132.1227635
Finland,2007,121.841096,124.3764773,129.9765453,132.3846031,135.0346493,138.2152745,141.6277112,144.8351705,152.4803468,143.4001436
Finland,2010,126.2863797,128.1263476,132.0487698,134.6406492,138.2865367,142.1962259,145.6780257,150.6219263,156.1670139,146.7318024
France,1978,100,100,100,100,100,100,100,100,100,100
France,1984,87.31805413,94.69622379,96.93848832,96.73615538,95.76010333,95.66193051,94.76083764,93.33434929,92.68225967,97.1017991
France,1989,105.3197724,101.1010758,103.1108341,102.1985022,100.484902,99.83701895,98.30877789,95.73961529,94.73786456,96.81159352
France,1994,121.8006832,115.6568193,115.6790455,113.3538309,110.7787637,110.7053767,110.0197336,108.1517305,109.1753627,110.7442893
France,2000,124.3773154,116.4999712,117.4302936,114.6410919,111.6665176,111.0236784,109.6855048,109.0417819,108.7856242,110.046998
France,2005,124.2077508,120.3877064,122.2762396,119.6019127,116.50591,115.0203267,113.3487057,110.45514,111.0137857,113.4167188
France,2010,138.3671244,134.3311171,137.1021141,134.6396297,131.2746531,130.34213,127.5486148,124.304501,125.0683242,128.6676654
Germany,1984,100,100,100,100,100,100,100,100,100,100
Germany,1989,119.0452219,116.3467652,114.3350562,114.389311,112.5359654,112.9819307,113.4971279,114.1203967,113.2751488,113.9074424
Germany,1994,108.0242321,108.8824814,108.1129755,107.1423953,107.316673,107.5368103,109.1782262,111.5219915,113.5617802,109.0331236
Germany,2000,117.7072585,119.4337205,118.258955,116.6100393,115.5563486,115.1615596,116.59735,118.2724875,120.4441009,117.5763026
Germany,2004,112.8246303,115.4575312,115.2739388,115.3915065,115.471552,115.2207747,116.5573829,119.2580319,122.656916,119.5479874
Germany,2007,110.6871717,112.7650886,113.0503929,113.0833454,113.3122319,113.8974813,115.4307071,117.6587442,121.3408132,118.5589923
Germany,2010,108.0014178,110.8114893,111.8421921,113.2787512,115.1911073,116.8456162,117.5608821,119.1258117,123.9461818,117.8758279
Greece,1995,100,100,100,100,100,100,100,100,100,100
Greece,2000,124.744883,114.2835098,116.8058635,115.0300705,112.5330831,115.2674224,113.50212,114.6593609,108.7053935,112.4009022
Greece,2004,163.3349463,144.2540945,145.9626834,139.5721895,136.6784089,137.0360239,135.3984571,136.0360955,130.25389,136.8276108
Greece,2007,182.5901938,158.4781891,154.9096326,150.2314613,148.0126964,145.5353584,141.3445585,143.5389688,137.3129614,145.0961094
Greece,2010,155.6074982,137.2696136,137.979419,133.1087443,134.6139797,134.1135159,129.2590327,129.5465838,124.8847459,132.3498313
Hungary,1991,100,100,100,100,100,100,100,100,100,100
Hungary,1994,76.31314052,79.7219867,79.64239611,79.21913789,80.37602572,80.45222381,81.84542308,86.38599596,91.73623882,85.12035291
Hungary,1999,83.78464194,79.84534513,78.59120411,78.6675959,79.47095434,79.56350664,78.13847415,80.54871462,83.14254339,81.97824208
Hungary,2005,104.3572821,100.3608233,99.71183985,97.27251861,96.95969571,98.86742807,97.90340497,96.95513075,100.032846,100.6835458
Hungary,2007,105.0300164,103.6281108,102.1039532,99.98323601,99.61183467,100.4824872,100.5636627,97.31005253,96.90672659,100.4599485
Hungary,2009,97.02578995,96.55269255,96.87122379,96.51779703,94.94547472,94.41744507,93.33401595,96.36956695,98.82678878,95.37547585
Hungary,2012,89.37632665,92.50112585,92.40707877,93.32839125,95.56168027,95.90316022,97.08748615,94.98878694,97.13769091,94.65058385
Iceland,2004,100,100,100,100,100,100,100,100,100,100
Iceland,2007,116.9057603,115.7859924,117.4597421,117.4908433,118.7401971,120.3996756,120.7450767,122.5559701,126.6247768,122.5342835
Iceland,2010,98.83001513,97.78212405,97.75687008,97.59612462,98.90297876,100.8774237,98.41664696,98.07690635,95.58901497,96.57342164
Ireland,1987,100,100,100,100,100,100,100,100,100,100
Ireland,1994,129.6723279,131.952664,129.1483998,128.6412144,132.6866793,136.3428313,135.4528195,134.5722587,133.2484669,135.9806111
Ireland,1995,131.1459797,134.6647406,133.9033536,133.136557,137.7628267,138.4105849,137.7824142,136.7156678,136.9281713,140.7497797
Ireland,1996,138.2531321,142.5639967,144.6211483,142.693383,146.8567125,148.4414958,148.99221,144.1171561,141.63312,147.185659
Ireland,2000,163.7012008,181.1632209,193.4448792,190.6240892,192.9566272,188.7456164,187.105695,178.0332572,173.4111504,181.9210091
Ireland,2004,199.32506,209.348261,212.8822385,214.4070004,218.5029757,219.6176661,214.1290053,206.2876382,201.6047852,212.6653515
Ireland,2007,240.5697623,245.7811914,244.9552356,241.4715261,241.9422796,234.4293247,230.4875887,224.7091858,219.0767421,231.50506
Ireland,2010,212.5702898,217.5580612,211.9057212,205.3888558,205.7569704,203.907444,199.6459057,194.2070987,189.4456214,196.1939886
Israel,1986,100,100,100,100,100,100,100,100,100,100
Israel,1992,123.3478843,119.8966507,119.5814245,118.8586287,117.4770177,119.2151215,118.1077725,117.7496355,118.0539496,118.2780147
Israel,1997,108.3820583,111.9792089,114.9999385,115.9282536,118.9113729,121.2071605,121.1317643,122.3281568,122.4442722,121.0145881
Israel,2001,120.338006,119.6681544,125.4448461,129.5737359,132.1820463,137.1307484,136.7914887,137.0833438,140.038042,137.0178337
Israel,2005,102.8849272,109.1503456,116.8427438,125.442196,130.0292911,134.0382442,136.6436678,139.7802441,143.801446,135.8341311
Israel,2007,113.0774681,119.4872972,125.8365415,134.9634625,140.8153255,147.7635572,148.5170606,151.6060405,155.3686789,146.3521572
Israel,2010,112.9437616,118.7868764,125.4088979,136.4719761,145.8910392,152.7822093,154.382087,156.7158755,164.7270775,153.7666454
Italy,1986,100,100,100,100,100,100,100,100,100,100
Italy,1987,102.4926302,102.4637094,104.7224376,105.6208936,105.7668062,105.3476834,108.6728445,111.6923575,115.0971993,108.7622386
Italy,1989,122.2736051,118.1870537,118.3269004,121.7180111,118.9336949,117.6668939,120.155169,119.25642,118.7069806,118.9913433
Italy,1991,123.4703929,119.4352067,122.2706739,125.3870893,123.2079532,122.1755887,120.8150547,118.6469929,115.5156814,118.9352
Italy,1993,101.2575801,102.81754,107.9318311,110.9054881,113.0614008,114.4595472,116.2366158,115.8733394,117.7389455,113.8774269
Italy,1995,96.1721162,102.3715538,105.8923877,109.0056823,110.5105047,111.0675148,113.713042,111.2710376,111.9506162,111.3826665
Italy,1998,98.62887266,108.3057253,111.3969366,114.5494027,115.5896712,116.2688528,117.4092185,117.8397623,117.8473647,118.2529264
Italy,2000,104.6213461,110.9699437,113.2413342,117.6573478,117.3694082,117.5430304,120.0748149,118.296292,118.69448,118.9553095
Italy,2004,113.0763989,115.2147461,117.771721,119.760676,121.2914884,120.801188,122.5480285,121.1078764,124.3141345,125.2922139
Italy,2008,119.5969262,119.7165238,121.5044758,125.2953344,125.7199937,125.5074546,126.3099847,124.798755,127.1415763,126.7115784
Italy,2010,113.1535948,117.4165897,119.7088589,121.3097044,121.8066983,121.8314967,121.9559733,121.470141,123.1800295,121.7061766
Luxembourg,1985,100,100,100,100,100,100,100,100,100,100
Luxembourg,1991,148.7058615,150.943141,154.4797771,154.7311186,156.0008423,158.4631742,153.3669622,150.9256563,149.9951873,154.1660603
Luxembourg,1994,167.1834677,166.4856373,165.316787,162.9659538,166.8657129,168.3708887,164.2942261,159.7569491,165.4249065,164.8677966
Luxembourg,1997,156.4855769,160.92238,164.7881224,165.1629973,165.9472152,169.3071053,167.6818687,168.8579853,173.0121472,169.2824321
Luxembourg,2000,171.2891278,173.5431258,175.1757912,173.7110504,177.1208112,183.4418449,182.3994633,182.2647243,189.6124847,182.6719337
Luxembourg,2004,180.6573225,199.4706491,199.9991626,198.6519465,202.8500762,206.047595,205.5285497,204.2028494,214.5557145,206.9386506
Luxembourg,2007,186.7057993,193.422748,200.111477,196.5670234,202.335121,208.5935422,204.296385,202.5375349,210.8042916,208.8081609
Luxembourg,2010,187.8058007,192.1988362,193.7287753,194.590663,199.8595373,208.5462204,208.2918627,203.8165337,212.3269015,204.7364788
Netherlands,1993,100,100,100,100,100,100,100,100,100,100
Netherlands,1999,124.9048075,120.9790089,117.4985265,117.8485618,116.4378992,113.6130156,112.2181447,110.3256556,109.4581012,115.7816521
Netherlands,2004,121.8670585,119.0898658,116.5978163,116.3221097,115.4744871,114.1044138,113.0091693,113.1119466,115.4471366,119.5437365
Netherlands,2007,133.8994613,131.4137353,127.8715717,127.6468815,127.0356613,125.3068172,124.5967542,125.1690732,130.8028854,134.7682193
Netherlands,2010,133.3854991,129.3689043,127.6329963,127.0146681,125.3086136,124.4541779,123.8644456,123.9154194,127.1216924,130.0272018
Norway,1979,100,100,100,100,100,100,100,100,100,100
Norway,1986,128.5668882,130.2033516,131.3204567,132.3394944,132.6512842,133.0427713,135.108197,135.5832146,136.004512,134.0074265
Norway,1991,136.2093122,137.0713644,136.8264741,137.0834574,137.3208987,137.534723,137.4815791,138.0192014,136.8169202,138.4926899
Norway,1995,132.5038183,131.8404635,133.2565513,136.0977497,136.3743632,136.1462506,136.1277148,136.9432097,136.0657097,137.3055748
Norway,2000,159.0972989,157.3364706,158.3440079,159.6821523,159.9395236,159.8796698,159.9469441,159.8282884,160.6523956,166.6162182
Norway,2004,170.1690964,170.13397,170.8564548,172.8143894,172.9433871,172.4995576,172.7432107,174.0808791,175.3016807,185.121448
Norway,2007,191.9701126,194.5424913,197.1594573,199.1294622,199.1755664,198.9552934,199.7371286,200.7496907,202.0649535,201.5148188
Norway,2010,200.7546889,203.6494707,205.818801,207.5424227,207.6158732,207.8365926,208.6150471,209.753261,211.1826541,210.9284671
Poland,1992,100,100,100,100,100,100,100,100,100,100
Poland,1995,63.26594842,70.39451182,74.33468631,75.83555684,77.35283806,78.17372173,79.00693068,79.79416145,80.91091553,79.04935624
Poland,1999,85.71935757,90.10259867,93.10015097,93.96016419,95.1891758,94.75099474,95.05038642,95.38753769,96.27445778,95.39165871
Poland,2004,79.26398092,85.31934046,89.19303036,91.06004802,93.50454156,94.31240951,96.37434163,98.22216329,101.3561203,96.97358101
Poland,2007,100.7881287,105.7909217,108.6153279,110.0064809,112.2050094,113.491053,115.3762172,118.0317858,120.8721732,117.3187405
Poland,2010,116.9341912,122.5531138,126.6170918,129.2846199,132.1810025,133.2151451,136.2728145,139.3504095,143.9619692,137.386144
Slovakia,1992,100,100,100,100,100,100,100,100,100,100
Slovakia,1996,82.45267312,89.97800727,94.42161154,96.58725322,98.91195707,100.8832823,103.3658462,106.7230925,110.730983,100.6249762
Slovakia,2004,84.9935095,91.95421977,98.57892144,102.0762812,105.141804,108.9286816,112.5380633,117.0127787,124.3787489,110.2235017
Slovakia,2007,116.569078,122.5019209,128.2951354,132.9508479,137.9780404,141.2643368,145.3365929,150.2614205,157.6242883,140.7665742
Slovakia,2010,122.4258912,132.5372483,138.8467361,143.7093432,148.7907159,153.5296329,159.7070482,166.8923506,176.9266452,155.0255926
Slovenia,1997,100,100,100,100,100,100,100,100,100,100
Slovenia,1999,98.88128431,99.30848514,101.1415633,101.1344062,100.7120803,99.9976567,100.6105396,101.0633613,100.7643374,100.8078841
Slovenia,2004,113.2849255,112.9177568,112.3679352,112.0958688,111.5100851,110.6228212,112.5575627,114.5318473,115.6146872,112.9050225
Slovenia,2007,118.3760119,120.3934736,123.0721138,121.4678591,121.4980766,121.3206983,122.4795351,124.1866296,123.2633999,121.8016627
Slovenia,2010,116.2896981,123.8459637,126.5009702,127.0350877,128.6578665,127.9078672,132.0862249,133.818653,134.26728,128.8641152
Spain,1980,100,100,100,100,100,100,100,100,100,100
Spain,1985,102.9070195,99.43671524,97.67353362,96.88395538,95.25174785,94.77533687,94.12987165,94.31983904,95.9022667,96.54994125
Spain,1990,132.7954235,129.1843235,125.3704588,123.6513709,122.6971569,123.7269476,123.364406,122.2071533,120.3684263,122.622642
Spain,1995,126.5054218,132.3206357,136.2390896,135.2080581,135.8955355,142.0202661,145.9981472,149.299441,150.704825,144.60555
Spain,2000,165.5523061,167.1403663,165.5121753,167.8732256,172.3165427,175.0827825,178.4145206,177.0468955,177.468993,175.0232717
Spain,2004,155.6452364,162.0912437,162.8936353,165.3360937,168.218178,171.0365162,171.7474159,170.5282042,165.5664855,164.5707899
Spain,2007,179.4777809,183.85594,183.8006976,183.2413248,186.9474647,186.987119,186.9638976,183.5358905,179.3836926,179.7135576
Spain,2010,140.8775809,155.631289,159.321567,161.6585316,166.1380819,171.6310071,172.6604211,172.618887,171.7027345,163.8583409
Sweden,1981,100,100,100,100,100,100,100,100,100,100
Sweden,1987,100.2205569,102.8558439,105.8695866,106.8552154,107.7231854,107.5714926,107.0960666,108.1992687,107.3838272,107.09144
Sweden,1992,116.6187258,118.74138,122.5444021,124.8054955,124.9343218,125.7066648,127.3712787,128.7241986,131.9013438,127.4468716
Sweden,1995,113.9252059,118.349168,118.4278712,117.5823396,116.999929,115.8671216,115.9673479,117.9203436,121.1510652,119.0991511
Sweden,2000,126.056572,127.4205508,131.5662011,134.3735819,136.335273,137.7625074,140.3660073,145.2360197,152.190029,144.6663924
Sweden,2005,146.8666023,146.4060536,150.531281,154.2379153,156.8242437,157.7777546,159.8431091,163.6118889,168.794826,162.9383208
Switzerland,2000,100,100,100,100,100,100,100,100,100,100
Switzerland,2002,105.4834644,104.8143139,103.0616855,105.4439367,106.319393,107.5214344,106.163042,105.3870691,106.5552739,103.8270062
Switzerland,2004,101.2057168,103.1252219,102.0090002,102.3973007,102.400743,101.8618647,100.2330221,99.49564616,99.36947581,98.49162063
United Kingdom,1979,100,100,100,100,100,100,100,100,100,100
United Kingdom,1986,99.96118812,97.19889594,96.57782183,97.92591431,100.4343801,102.7781314,103.9578499,106.5059653,109.2124134,104.1314798
United Kingdom,1991,100.8206373,102.1981822,106.7784124,112.4370972,117.3229047,120.8864461,124.654863,130.2417688,135.1778694,126.2747075
United Kingdom,1994,115.5153062,112.8485448,113.0514037,116.2717339,121.060243,125.4102137,129.6119614,135.1467072,143.3525213,134.8030459
United Kingdom,1995,106.3046269,106.3217952,107.43538,112.5705124,119.0712506,123.2430148,127.1096167,130.6494186,139.573404,129.3125122
United Kingdom,1999,123.5865147,124.0458928,126.90555,131.9978439,137.7402571,142.3909434,147.9733354,154.4102021,165.9522041,153.0910876
United Kingdom,2004,154.1002739,154.9931605,155.1542672,159.382032,163.467674,167.7926603,172.0935391,179.5597581,195.3480965,184.5992701
United Kingdom,2007,163.0945501,165.6364434,167.385055,170.2153832,174.8120361,180.2002751,184.2346531,191.3084415,203.3201716,192.399406
United Kingdom,2010,165.1151153,167.0086366,165.8300432,167.053482,170.345433,174.3680299,177.391511,184.5009387,199.814681,188.6866948
United States,1979,100,100,100,100,100,100,100,100,100,100
United States,1986,89.34977803,93.30517012,96.65271626,99.40981068,101.1365672,103.2061314,104.8868017,106.4157054,109.0217962,104.0058399
United States,1991,91.79540404,94.26340716,96.16610045,99.05779161,101.3719013,103.7280883,105.6178758,106.7340412,110.5279641,105.4603317
United States,1994,93.24190428,95.44055319,95.73349044,98.1050003,100.8300983,103.850854,106.8744833,108.8430702,113.7534437,110.0373762
United States,1997,99.2030065,100.0430168,100.3975118,103.2510103,106.1078138,108.7342209,110.9966311,113.0717704,118.6205962,116.0244075
United States,2000,106.5629908,107.4877185,108.633172,111.3989294,113.7856078,115.8982023,117.6819126,119.5313629,124.9753868,123.6478986
United States,2004,103.1898212,107.3118518,108.3793335,112.2957935,114.7880916,117.7995405,120.9360184,123.0063371,128.3541604,125.0286832
United States,2007,103.3682636,106.8771116,109.1440587,112.9604619,116.3684108,120.0340149,123.3212808,126.1661245,132.8515566,127.686361
United States,2010,101.7225482,105.5178423,105.7310362,109.1664398,112.7213323,117.0031636,120.5984515,123.887276,130.5016966,122.8404539
United States,2013,102.1713106,103.9771652,104.1783011,107.5484284,111.6569763,115.6351065,119.5603961,124.0879218,132.4390526,123.9056498
