Entity,Year,"Military expenditure per capita, current USD (OWID based on COW and SIPRI)"
Algeria,1982,42.71
Algeria,1983,45.58
Algeria,1984,43.77
Algeria,1985,43.63
Algeria,1986,51.51
Algeria,1987,52.13
Algeria,1988,44.27
Algeria,1989,35.11
Algeria,1990,36.13
Algeria,1991,25.74
Algeria,1992,72.32
Algeria,1993,41.61
Algeria,1994,47.5
Algeria,1995,50.86
Algeria,1996,64.41
Algeria,1997,72.77
Algeria,1998,103.89
Algeria,1999,100.28
Algeria,2000,94.98
Algeria,2001,102
Algeria,2002,64.41
Algeria,2003,66.84
Algeria,2004,83.83
Algeria,2005,84.71
Algeria,2006,89.72
Algeria,2007,121.66
Algeria,2008,144.97
Algeria,2009,145.15
Algeria,2010,150.85
Algeria,2011,229.38
Algeria,2012,242.3
Andorra,1993,0
Andorra,1994,0
Andorra,1995,0
Andorra,1996,0
Andorra,1997,0
Andorra,1998,0
Andorra,1999,0
Andorra,2000,0
Andorra,2001,0
Andorra,2002,0
Andorra,2003,0
Andorra,2004,0
Andorra,2005,0
Andorra,2006,0
Andorra,2007,0
Andorra,2008,0
Andorra,2009,0
Andorra,2010,0
Andorra,2011,0
Andorra,2012,0
Angola,1975,23.85
Angola,1979,77.5
Angola,1980,97.24
Angola,1981,95.47
Angola,1982,105.57
Angola,1983,74.16
Angola,1985,122.92
Angola,1986,132.52
Angola,1987,96.84
Angola,1988,94.14
Angola,1989,276.21
Angola,1990,272.65
Angola,1991,56.64
Angola,1993,108.56
Angola,1994,50.07
Angola,1995,36.98
Angola,1996,41.13
Angola,1997,66.04
Angola,1998,80.55
Angola,1999,80.54
Angola,2000,155.3
Angola,2001,114.1
Angola,2002,67.17
Angola,2003,48.63
Angola,2004,46.94
Angola,2005,71.87
Angola,2006,92.75
Angola,2007,127.82
Angola,2008,132.41
Angola,2009,167.7
Angola,2010,190.24
Angola,2011,179.48
Angola,2012,199.17
Antigua and Barbuda,1981,0
Antigua and Barbuda,1990,60.94
Antigua and Barbuda,1994,45.45
Antigua and Barbuda,1995,44.12
Antigua and Barbuda,1996,57.97
Antigua and Barbuda,1997,44.78
Antigua and Barbuda,1998,59.7
Antigua and Barbuda,1999,59.7
Antigua and Barbuda,2000,58.82
Antigua and Barbuda,2001,51.95
Antigua and Barbuda,2002,50
Antigua and Barbuda,2003,49.38
Antigua and Barbuda,2004,48.78
Antigua and Barbuda,2005,60.24
Antigua and Barbuda,2006,60.24
Antigua and Barbuda,2007,59.52
Antigua and Barbuda,2008,82.35
Antigua and Barbuda,2009,93.02
Antigua and Barbuda,2010,80.46
Antigua and Barbuda,2011,329.55
Antigua and Barbuda,2012,314.61
Argentina,1841,2.92
Argentina,1842,2.12
Argentina,1843,1.63
Argentina,1844,1.79
Argentina,1845,1.53
Argentina,1846,1.21
Argentina,1847,1.71
Argentina,1848,1.53
Argentina,1849,1.98
Argentina,1850,2.55
Argentina,1857,0.8
Argentina,1860,0.93
Argentina,1865,2.78
Argentina,1867,1.2
Argentina,1868,2.45
Argentina,1869,2.7
Argentina,1870,2.24
Argentina,1871,0.36
Argentina,1872,0.32
Argentina,1873,0.48
Argentina,1874,0.3
Argentina,1875,0.24
Argentina,1876,0.25
Argentina,1877,0.23
Argentina,1878,2.05
Argentina,1879,1.82
Argentina,1880,1.55
Argentina,1881,2.09
Argentina,1882,2.31
Argentina,1883,2.46
Argentina,1884,2.69
Argentina,1885,2.88
Argentina,1886,2.56
Argentina,1887,2.55
Argentina,1888,2.68
Argentina,1889,1.64
Argentina,1890,1.58
Argentina,1891,1.53
Argentina,1893,1.73
Argentina,1894,1.72
Argentina,1895,1.73
Argentina,1896,3.87
Argentina,1897,3.76
Argentina,1898,2.09
Argentina,1899,1.83
Argentina,1900,2.54
Argentina,1901,2.06
Argentina,1902,2.28
Argentina,1903,2.08
Argentina,1904,2.07
Argentina,1905,2.07
Argentina,1906,2.32
Argentina,1907,2.42
Argentina,1908,2.3
Argentina,1909,2.53
Argentina,1910,2.51
Argentina,1911,2.71
Argentina,1912,2.98
Argentina,1913,3
Argentina,1914,1.59
Argentina,1915,2.73
Argentina,1916,1.31
Argentina,1917,1.4
Argentina,1918,1.42
Argentina,1920,3.11
Argentina,1921,3.12
Argentina,1922,2.81
Argentina,1923,4.35
Argentina,1924,3.67
Argentina,1925,4.4
Argentina,1926,5.51
Argentina,1927,4.52
Argentina,1928,4.28
Argentina,1929,3.99
Argentina,1930,5.02
Argentina,1931,3.63
Argentina,1932,2.82
Argentina,1933,3.38
Argentina,1934,2.98
Argentina,1935,3.44
Argentina,1936,4.36
Argentina,1937,6.03
Argentina,1938,3.02
Argentina,1939,4.2
Argentina,1940,4.93
Argentina,1941,5.4
Argentina,1942,6.71
Argentina,1943,3.92
Argentina,1944,14.8
Argentina,1945,19.47
Argentina,1946,16.33
Argentina,1947,17.72
Argentina,1948,18.42
Argentina,1949,29.37
Argentina,1950,18.69
Argentina,1951,18.68
Argentina,1952,24.84
Argentina,1953,27.66
Argentina,1954,30.5
Argentina,1955,21.76
Argentina,1956,15.62
Argentina,1957,20.14
Argentina,1958,13.31
Argentina,1959,12.45
Argentina,1960,14
Argentina,1961,15.79
Argentina,1962,19.02
Argentina,1963,13.86
Argentina,1964,15.53
Argentina,1965,19.24
Argentina,1966,22.58
Argentina,1967,14.89
Argentina,1968,13.2
Argentina,1969,18.42
Argentina,1970,21.46
Argentina,1971,19.64
Argentina,1972,17.23
Argentina,1973,18.58
Argentina,1974,28.06
Argentina,1975,24.12
Argentina,1976,21.6
Argentina,1977,37.99
Argentina,1978,54.7
Argentina,1979,95.45
Argentina,1980,108.94
Argentina,1981,125.26
Argentina,1982,143.17
Argentina,1983,79.49
Argentina,1984,76.43
Argentina,1985,62.33
Argentina,1986,37.4
Argentina,1987,39.11
Argentina,1988,39.2
Argentina,1989,24.65
Argentina,1990,23.7
Argentina,1991,82.49
Argentina,1992,77.8
Argentina,1993,79.72
Argentina,1994,108.92
Argentina,1995,111.57
Argentina,1996,131.86
Argentina,1997,139.38
Argentina,1998,148.52
Argentina,1999,148.13
Argentina,2000,128.97
Argentina,2001,118.63
Argentina,2002,38.96
Argentina,2003,53.46
Argentina,2004,42.05
Argentina,2005,46.06
Argentina,2006,48.04
Argentina,2007,53.22
Argentina,2008,51.19
Argentina,2009,58.76
Argentina,2010,74.28
Argentina,2011,99.86
Argentina,2012,118.24
Armenia,1991,40.7
Armenia,1992,20.35
Armenia,1993,40.47
Armenia,1995,21.02
Armenia,1996,33.21
Armenia,1997,37.89
Armenia,1998,42.7
Armenia,1999,45.11
Armenia,2000,196.02
Armenia,2001,198.2
Armenia,2002,229.73
Armenia,2003,230.57
Armenia,2004,267.68
Armenia,2005,41.46
Armenia,2006,61.27
Armenia,2007,99
Armenia,2008,133.02
Armenia,2009,135.11
Armenia,2010,142.42
Armenia,2011,133.6
Armenia,2012,135.4
Australia,1920,2.41
Australia,1921,2.02
Australia,1922,5.51
Australia,1923,3.71
Australia,1924,4.18
Australia,1925,4.21
Australia,1926,4.33
Australia,1927,6.54
Australia,1928,3.8
Australia,1929,3.55
Australia,1930,2.67
Australia,1931,1.66
Australia,1932,1.3
Australia,1933,1.47
Australia,1934,1.9
Australia,1935,2.32
Australia,1936,4.41
Australia,1937,5.35
Australia,1938,7.99
Australia,1939,9.63
Australia,1940,25.49
Australia,1941,77.37
Australia,1942,143.81
Australia,1943,250.42
Australia,1944,240.13
Australia,1945,200.8
Australia,1946,138.33
Australia,1947,52.49
Australia,1948,30.8
Australia,1949,23.11
Australia,1950,20.7
Australia,1951,35.05
Australia,1952,47.21
Australia,1953,47.31
Australia,1954,42.52
Australia,1955,43.61
Australia,1956,44.01
Australia,1957,40.7
Australia,1958,39.95
Australia,1959,40.47
Australia,1960,40.77
Australia,1961,41.35
Australia,1962,42.49
Australia,1963,43.91
Australia,1964,49.24
Australia,1965,61.37
Australia,1966,75.12
Australia,1967,85.99
Australia,1968,92.82
Australia,1969,92.89
Australia,1970,94.76
Australia,1971,94.01
Australia,1972,99.03
Australia,1973,131.26
Australia,1974,163.36
Australia,1975,174.38
Australia,1976,196.08
Australia,1977,184.73
Australia,1978,202.17
Australia,1979,213.64
Australia,1980,245.34
Australia,1981,275.47
Australia,1982,265.65
Australia,1983,355.04
Australia,1984,288.83
Australia,1985,295.79
Australia,1986,298.41
Australia,1987,332.04
Australia,1988,382.61
Australia,1989,366.96
Australia,1990,426.02
Australia,1991,437.98
Australia,1992,411.69
Australia,1993,413.2
Australia,1994,408.85
Australia,1995,464.75
Australia,1996,478.13
Australia,1997,465.41
Australia,1998,414.79
Australia,1999,415.66
Australia,2000,390.98
Australia,2001,347.81
Australia,2002,471.67
Australia,2003,612.04
Australia,2004,707.79
Australia,2005,757.76
Australia,2006,824.69
Australia,2007,951.52
Australia,2008,1025.36
Australia,2009,885.56
Australia,2010,1054.9
Australia,2011,1118.86
Australia,2012,1226.42
Austria,1920,0.88
Austria,1921,0.87
Austria,1922,2.79
Austria,1923,1.33
Austria,1924,1.37
Austria,1925,1.48
Austria,1926,1.54
Austria,1927,1.8
Austria,1928,2.09
Austria,1929,2.11
Austria,1930,2.28
Austria,1931,2.13
Austria,1932,1.69
Austria,1933,1.79
Austria,1934,2.91
Austria,1935,3.23
Austria,1936,3.52
Austria,1937,5.83
Austria,1938,6.15
Austria,1955,1.04
Austria,1956,5.54
Austria,1957,9.46
Austria,1958,10.93
Austria,1959,10.91
Austria,1960,10.32
Austria,1961,10.24
Austria,1962,11.25
Austria,1963,14.05
Austria,1964,18.24
Austria,1965,15.72
Austria,1966,18.33
Austria,1967,19.17
Austria,1968,19.69
Austria,1969,20.8
Austria,1970,22.06
Austria,1971,22.97
Austria,1972,28.1
Austria,1973,35.84
Austria,1974,46.22
Austria,1975,60.2
Austria,1976,65.96
Austria,1977,76.07
Austria,1978,98.05
Austria,1979,114.36
Austria,1980,125.53
Austria,1981,92.51
Austria,1982,109.5
Austria,1983,123.89
Austria,1984,104.69
Austria,1985,114.01
Austria,1986,162.1
Austria,1987,190.31
Austria,1988,187.79
Austria,1989,184.1
Austria,1990,199.25
Austria,1991,215.03
Austria,1992,209.75
Austria,1993,216.49
Austria,1994,199.25
Austria,1995,264.57
Austria,1996,260.36
Austria,1997,221.26
Austria,1998,220.64
Austria,1999,207.41
Austria,2000,196.32
Austria,2001,176.18
Austria,2002,189.32
Austria,2003,240.48
Austria,2004,271.21
Austria,2005,274.67
Austria,2006,317.75
Austria,2007,433.52
Austria,2008,382.76
Austria,2009,334.45
Austria,2010,319.8
Austria,2011,407.09
Austria,2012,381.85
Austria-Hungary,1817,1.05
Austria-Hungary,1818,0.89
Austria-Hungary,1819,0.82
Austria-Hungary,1820,0.91
Austria-Hungary,1821,1.23
Austria-Hungary,1822,1.13
Austria-Hungary,1823,0.93
Austria-Hungary,1824,0.89
Austria-Hungary,1825,0.76
Austria-Hungary,1826,0.7
Austria-Hungary,1827,0.71
Austria-Hungary,1828,0.73
Austria-Hungary,1829,0.76
Austria-Hungary,1830,0.64
Austria-Hungary,1831,1.09
Austria-Hungary,1832,1.02
Austria-Hungary,1833,0.94
Austria-Hungary,1834,0.92
Austria-Hungary,1835,0.94
Austria-Hungary,1836,0.77
Austria-Hungary,1837,0.75
Austria-Hungary,1838,0.73
Austria-Hungary,1839,0.75
Austria-Hungary,1840,0.75
Austria-Hungary,1841,0.8
Austria-Hungary,1842,0.72
Austria-Hungary,1843,0.72
Austria-Hungary,1844,0.73
Austria-Hungary,1845,0.71
Austria-Hungary,1846,0.78
Austria-Hungary,1847,0.83
Austria-Hungary,1848,0.95
Austria-Hungary,1849,2.04
Austria-Hungary,1850,1.5
Austria-Hungary,1851,1.36
Austria-Hungary,1852,1.27
Austria-Hungary,1853,1.45
Austria-Hungary,1854,2.35
Austria-Hungary,1855,2.25
Austria-Hungary,1856,1.48
Austria-Hungary,1857,1.52
Austria-Hungary,1858,1.66
Austria-Hungary,1859,2.98
Austria-Hungary,1860,1.48
Austria-Hungary,1861,0.95
Austria-Hungary,1862,1.52
Austria-Hungary,1863,2.01
Austria-Hungary,1864,2.91
Austria-Hungary,1865,1.9
Austria-Hungary,1866,4.54
Austria-Hungary,1867,1.6
Austria-Hungary,1868,1.49
Austria-Hungary,1869,1.51
Austria-Hungary,1870,1.4
Austria-Hungary,1871,1.41
Austria-Hungary,1872,1.36
Austria-Hungary,1873,1.49
Austria-Hungary,1874,1.47
Austria-Hungary,1875,1.49
Austria-Hungary,1876,1.6
Austria-Hungary,1877,1.35
Austria-Hungary,1878,1.95
Austria-Hungary,1879,1.77
Austria-Hungary,1880,1.28
Austria-Hungary,1881,1.29
Austria-Hungary,1882,1.56
Austria-Hungary,1883,1.31
Austria-Hungary,1884,1.34
Austria-Hungary,1885,1.24
Austria-Hungary,1886,1.21
Austria-Hungary,1887,1.59
Austria-Hungary,1888,1.57
Austria-Hungary,1889,1.49
Austria-Hungary,1890,1.46
Austria-Hungary,1891,1.52
Austria-Hungary,1892,1.48
Austria-Hungary,1893,1.5
Austria-Hungary,1894,1.47
Austria-Hungary,1895,1.51
Austria-Hungary,1896,1.53
Austria-Hungary,1897,1.72
Austria-Hungary,1898,1.77
Austria-Hungary,1899,1.73
Austria-Hungary,1900,1.69
Austria-Hungary,1901,1.74
Austria-Hungary,1902,1.74
Austria-Hungary,1903,1.77
Austria-Hungary,1904,1.93
Austria-Hungary,1905,2.05
Austria-Hungary,1906,2
Austria-Hungary,1907,2.12
Austria-Hungary,1908,2.17
Austria-Hungary,1909,2.53
Austria-Hungary,1910,2.22
Austria-Hungary,1911,2.11
Austria-Hungary,1912,2.57
Austria-Hungary,1913,3.5
Austria-Hungary,1914,19.81
Austria-Hungary,1915,37.96
Austria-Hungary,1916,45.74
Austria-Hungary,1917,53.1
Austria-Hungary,1918,39.25
Azerbaijan,1991,42.09
Azerbaijan,1992,26.02
Azerbaijan,1993,17.37
Azerbaijan,1994,17.76
Azerbaijan,1995,14.29
Azerbaijan,1996,17.56
Azerbaijan,1997,19.15
Azerbaijan,1998,25.69
Azerbaijan,1999,26.37
Azerbaijan,2000,107.32
Azerbaijan,2001,102.7
Azerbaijan,2002,108.7
Azerbaijan,2003,113.5
Azerbaijan,2004,129.95
Azerbaijan,2005,36.67
Azerbaijan,2006,75.94
Azerbaijan,2007,106.73
Azerbaijan,2008,178.53
Azerbaijan,2009,166.93
Azerbaijan,2010,165.15
Azerbaijan,2011,184.42
Azerbaijan,2012,189.17
Baden,1843,0.31
Baden,1844,0.32
Baden,1845,0.31
Baden,1846,0.31
Baden,1847,0.31
Baden,1848,1.03
Baden,1849,1
Baden,1850,0.62
Baden,1851,0.64
Baden,1852,0.62
Baden,1853,0.62
Baden,1854,0.64
Baden,1855,0.65
Baden,1856,0.76
Baden,1857,0.75
Baden,1858,0.78
Baden,1859,0.81
Baden,1860,0.84
Baden,1861,0.85
Baden,1862,0.97
Baden,1863,1.22
Baden,1864,1.75
Baden,1865,1.34
Baden,1866,1.23
Baden,1867,1.2
Baden,1868,1.83
Baden,1869,1.85
Baden,1870,3.05
Bahamas,1973,0
Bahamas,1974,0
Bahamas,1975,0
Bahamas,1976,28.5
Bahamas,1977,24.37
Bahamas,1978,24.38
Bahamas,1979,13.11
Bahamas,1980,23.81
Bahamas,1981,30.84
Bahamas,1982,41.28
Bahamas,1983,35.87
Bahamas,1984,37.89
Bahamas,1985,41.38
Bahamas,1986,47.03
Bahamas,1987,59.49
Bahamas,1988,315.85
Bahamas,1989,264.94
Bahamas,1990,257.65
Bahamas,1991,184.62
Bahamas,1992,67.42
Bahamas,1994,72.99
Bahamas,1995,68.1
Bahamas,1996,77.46
Bahamas,1997,76.12
Bahamas,1998,87.84
Bahamas,1999,86.38
Bahamas,2000,97.72
Bahamas,2001,94.16
Bahamas,2002,90.61
Bahamas,2003,104.43
Bahamas,2004,105.59
Bahamas,2005,109.42
Bahamas,2006,142.86
Bahamas,2007,169.59
Bahamas,2008,140.8
Bahamas,2009,138.42
Bahamas,2010,130.56
Bahamas,2011,136.61
Bahamas,2012,147.85
Bahrain,1971,40.58
Bahrain,1972,49.22
Bahrain,1973,61.03
Bahrain,1974,94.25
Bahrain,1975,55.97
Bahrain,1976,85.48
Bahrain,1977,125.04
Bahrain,1978,166.97
Bahrain,1979,180.77
Bahrain,1980,472.48
Bahrain,1981,607.34
Bahrain,1982,751.4
Bahrain,1983,850.51
Bahrain,1984,783.99
Bahrain,1985,355.29
Bahrain,1986,305.07
Bahrain,1987,313.02
Bahrain,1988,348.61
Bahrain,1989,375.38
Bahrain,1990,401.43
Bahrain,1991,466.54
Bahrain,1992,485.55
Bahrain,1993,456.24
Bahrain,1994,468.58
Bahrain,1995,472.32
Bahrain,1996,492.49
Bahrain,1997,587.1
Bahrain,1998,689.08
Bahrain,1999,727.72
Bahrain,2000,521.88
Bahrain,2001,550.68
Bahrain,2002,452.93
Bahrain,2003,597.15
Bahrain,2004,577.34
Bahrain,2005,568.18
Bahrain,2006,559.41
Bahrain,2007,522.29
Bahrain,2008,495.52
Bahrain,2009,622.48
Bahrain,2010,587.86
Bahrain,2011,729.31
Bahrain,2012,772.38
Bangladesh,1973,0.55
Bangladesh,1974,0.9
Bangladesh,1975,0.96
Bangladesh,1976,1.13
Bangladesh,1977,1.31
Bangladesh,1978,1.33
Bangladesh,1979,1.47
Bangladesh,1980,1.84
Bangladesh,1981,1.7
Bangladesh,1982,2.59
Bangladesh,1983,1.88
Bangladesh,1984,2.69
Bangladesh,1985,1.71
Bangladesh,1986,2.13
Bangladesh,1987,3.18
Bangladesh,1988,3.02
Bangladesh,1989,2.71
Bangladesh,1990,2.98
Bangladesh,1991,2.76
Bangladesh,1992,3.14
Bangladesh,1993,3.09
Bangladesh,1994,4.08
Bangladesh,1995,4.23
Bangladesh,1996,4.61
Bangladesh,1997,4.86
Bangladesh,1998,5.06
Bangladesh,1999,5.25
Bangladesh,2000,5.35
Bangladesh,2001,4.88
Bangladesh,2002,4.43
Bangladesh,2003,4.63
Bangladesh,2004,5.5
Bangladesh,2005,6.21
Bangladesh,2006,6.47
Bangladesh,2007,6.81
Bangladesh,2008,8.08
Bangladesh,2009,6.8
Bangladesh,2010,8.19
Bangladesh,2011,9.67
Bangladesh,2012,9.94
Barbados,1966,0
Barbados,1967,0
Barbados,1968,0
Barbados,1969,0
Barbados,1970,0
Barbados,1971,2.5
Barbados,1972,3.31
Barbados,1973,4.12
Barbados,1974,4.1
Barbados,1975,4.07
Barbados,1976,3.25
Barbados,1977,4.05
Barbados,1978,4.03
Barbados,1979,12.1
Barbados,1980,40.16
Barbados,1981,44
Barbados,1982,32
Barbados,1983,35.86
Barbados,1984,43.65
Barbados,1985,39.53
Barbados,1986,35.57
Barbados,1987,31.5
Barbados,1988,43.31
Barbados,1989,39.22
Barbados,1990,82.88
Barbados,1993,45.45
Barbados,1994,49.24
Barbados,1995,53.03
Barbados,1996,53.03
Barbados,1997,45.8
Barbados,1998,48.51
Barbados,1999,44.61
Barbados,2000,48.15
Barbados,2001,48.15
Barbados,2002,48.15
Barbados,2003,88.56
Barbados,2004,88.24
Barbados,2005,94.89
Barbados,2006,98.18
Barbados,2007,101.45
Barbados,2008,107.91
Barbados,2009,93.19
Barbados,2010,107.14
Barbados,2011,117.02
Barbados,2012,116.61
Bavaria,1816,0.79
Bavaria,1817,0.76
Bavaria,1818,0.86
Bavaria,1819,0.92
Bavaria,1820,0.86
Bavaria,1821,0.83
Bavaria,1822,0.87
Bavaria,1823,0.82
Bavaria,1824,0.81
Bavaria,1825,0.78
Bavaria,1826,0.78
Bavaria,1827,0.78
Bavaria,1828,0.76
Bavaria,1829,0.75
Bavaria,1830,0.72
Bavaria,1831,0.74
Bavaria,1832,0.72
Bavaria,1833,0.69
Bavaria,1834,0.68
Bavaria,1835,0.71
Bavaria,1836,0.69
Bavaria,1837,0.74
Bavaria,1838,0.69
Bavaria,1839,0.7
Bavaria,1840,0.67
Bavaria,1841,0.68
Bavaria,1843,0.65
Bavaria,1844,0.66
Bavaria,1845,0.66
Bavaria,1846,0.65
Bavaria,1847,0.65
Bavaria,1848,0.65
Bavaria,1849,0.85
Bavaria,1850,0.86
Bavaria,1851,0.88
Bavaria,1852,0.91
Bavaria,1853,0.91
Bavaria,1854,0.91
Bavaria,1855,0.9
Bavaria,1856,0.82
Bavaria,1857,0.81
Bavaria,1858,0.8
Bavaria,1859,0.8
Bavaria,1860,0.8
Bavaria,1861,0.97
Bavaria,1862,1.12
Bavaria,1863,1.42
Bavaria,1864,1.98
Bavaria,1865,1.53
Bavaria,1866,1.37
Bavaria,1867,1.34
Bavaria,1869,1.82
Bavaria,1870,1.44
Bavaria,1871,1.4
Belarus,1992,159.7
Belarus,1993,89.9
Belarus,1994,41.72
Belarus,1995,48.24
Belarus,1996,48.88
Belarus,1997,44.15
Belarus,1998,45.66
Belarus,1999,45.36
Belarus,2000,205.16
Belarus,2001,196.57
Belarus,2002,243.58
Belarus,2003,245.3
Belarus,2004,277.78
Belarus,2005,33.52
Belarus,2006,48.44
Belarus,2007,59.68
Belarus,2008,70.53
Belarus,2009,94.06
Belarus,2010,76.39
Belarus,2011,44.66
Belarus,2012,58.69
Belgium,1830,3.46
Belgium,1831,3.45
Belgium,1832,3.37
Belgium,1833,2.28
Belgium,1834,1.84
Belgium,1835,1.87
Belgium,1836,1.65
Belgium,1837,1.96
Belgium,1838,1.84
Belgium,1839,2.34
Belgium,1840,1.5
Belgium,1841,1.46
Belgium,1842,1.38
Belgium,1843,1.36
Belgium,1844,1.3
Belgium,1845,1.31
Belgium,1846,1.28
Belgium,1847,1.33
Belgium,1848,1.61
Belgium,1849,1.24
Belgium,1850,1.23
Belgium,1851,1.71
Belgium,1852,1.72
Belgium,1853,1.65
Belgium,1854,1.64
Belgium,1855,1.64
Belgium,1856,1.72
Belgium,1857,1.53
Belgium,1858,1.52
Belgium,1859,1.84
Belgium,1860,1.49
Belgium,1861,1.5
Belgium,1862,1.76
Belgium,1863,2.32
Belgium,1864,3.24
Belgium,1865,2.34
Belgium,1866,2.37
Belgium,1867,2.2
Belgium,1868,2.17
Belgium,1869,2.05
Belgium,1870,2.71
Belgium,1871,2.01
Belgium,1872,1.79
Belgium,1873,1.76
Belgium,1874,1.89
Belgium,1875,2.03
Belgium,1876,2.05
Belgium,1877,1.93
Belgium,1878,1.78
Belgium,1879,1.73
Belgium,1880,1.79
Belgium,1881,1.76
Belgium,1882,1.78
Belgium,1883,1.76
Belgium,1884,1.76
Belgium,1885,1.7
Belgium,1886,1.64
Belgium,1887,1.57
Belgium,1888,1.6
Belgium,1889,1.59
Belgium,1890,1.62
Belgium,1891,1.6
Belgium,1892,1.61
Belgium,1893,1.58
Belgium,1894,1.57
Belgium,1895,1.58
Belgium,1896,1.55
Belgium,1897,1.55
Belgium,1898,1.64
Belgium,1899,1.64
Belgium,1900,1.73
Belgium,1901,1.77
Belgium,1902,1.78
Belgium,1903,1.76
Belgium,1904,1.75
Belgium,1905,1.69
Belgium,1906,1.82
Belgium,1907,1.89
Belgium,1908,1.7
Belgium,1909,1.72
Belgium,1910,1.71
Belgium,1911,1.76
Belgium,1912,1.97
Belgium,1913,2.17
Belgium,1914,1.28
Belgium,1915,1.51
Belgium,1916,2.56
Belgium,1917,3.14
Belgium,1918,3.72
Belgium,1919,4.63
Belgium,1920,5.14
Belgium,1921,5.26
Belgium,1922,5.27
Belgium,1923,3.99
Belgium,1924,3.34
Belgium,1925,3.7
Belgium,1926,2.28
Belgium,1927,2.24
