Entity,Year,Biological,Chemical,Explosives,Fake Weapons,Firearms,Incendiary,Melee,Other,Radiological,Sabotage Equipment,Unknown,Vehicle
Australasia & Oceania,2004,0,0,0,0,0,0,0,0,0,0,0,0
Australasia & Oceania,2005,0,0,0,0,0,0,0,0,0,0,0,0
Australasia & Oceania,2006,0,0,0,0,0,1,0,1,0,0,0,0
Australasia & Oceania,2007,0,0,0,0,1,0,0,0,0,0,0,0
Australasia & Oceania,2008,0,4,2,0,0,2,0,0,0,0,0,0
Australasia & Oceania,2009,0,0,1,0,0,0,0,0,0,0,0,0
Australasia & Oceania,2010,0,0,0,0,1,0,0,0,0,0,0,0
Australasia & Oceania,2011,0,0,0,0,0,0,0,0,0,0,0,0
Australasia & Oceania,2012,0,0,0,0,0,0,0,0,0,0,0,0
Australasia & Oceania,2013,0,0,0,0,0,1,0,0,0,0,0,0
Australasia & Oceania,2014,0,0,0,0,2,6,1,0,0,0,0,0
Australasia & Oceania,2015,0,0,1,0,1,12,0,0,0,0,0,0
Australasia & Oceania,2016,0,0,0,0,0,9,1,0,0,0,0,0
Australasia & Oceania,2017,0,0,2,0,2,4,2,0,0,0,1,1
Australia,1970,0,0,1,0,0,0,0,0,0,0,0,0
Australia,1971,0,0,1,0,0,0,0,0,0,0,0,0
Australia,1972,0,0,8,0,0,0,0,0,0,0,0,0
Australia,1974,0,0,0,0,0,1,0,0,0,0,0,0
Australia,1978,0,0,2,0,0,0,0,0,0,0,0,0
Australia,1979,0,0,2,0,0,0,0,0,0,0,0,0
Australia,1980,0,0,3,0,2,0,0,0,0,0,1,0
Australia,1981,0,0,0,0,0,0,1,0,0,0,0,0
Australia,1982,0,0,2,0,0,0,0,0,0,0,0,0
Australia,1986,0,0,2,0,0,0,0,0,0,0,0,0
Australia,1988,0,0,2,0,0,1,0,0,0,0,0,0
Australia,1989,0,0,0,0,1,1,0,0,0,0,0,0
Australia,1991,0,0,2,0,0,2,0,0,0,0,0,0
Australia,1992,0,0,0,0,1,1,0,0,0,0,2,0
Australia,1994,0,0,4,0,2,1,1,0,0,0,1,0
Australia,1995,0,0,0,0,0,2,0,0,0,0,3,0
Australia,1996,0,0,4,0,1,0,0,0,0,0,0,0
Australia,1997,0,2,2,0,0,0,0,0,0,0,0,0
Australia,1998,0,0,4,0,1,1,0,0,0,0,0,0
Australia,2000,0,0,0,0,1,0,0,0,0,0,0,0
Australia,2001,0,1,0,0,0,1,0,0,0,0,0,0
Australia,2006,0,0,0,0,0,1,0,1,0,0,0,0
Australia,2008,0,0,1,0,0,2,0,0,0,0,0,0
Australia,2009,0,0,1,0,0,0,0,0,0,0,0,0
Australia,2010,0,0,0,0,1,0,0,0,0,0,0,0
Australia,2013,0,0,0,0,0,1,0,0,0,0,0,0
Australia,2014,0,0,0,0,2,5,1,0,0,0,0,0
Australia,2015,0,0,1,0,1,12,0,0,0,0,0,0
Australia,2016,0,0,0,0,0,8,1,0,0,0,0,0
Australia,2017,0,0,1,0,1,0,1,0,0,0,0,1
Austria,1972,0,0,6,0,1,0,0,0,0,0,0,0
Austria,1973,0,0,0,0,1,0,0,0,0,0,1,0
Austria,1974,0,0,0,0,0,0,0,0,1,0,0,0
Austria,1975,0,0,0,0,2,0,0,0,0,0,0,0
Austria,1976,0,0,1,0,1,2,0,0,0,0,0,0
Austria,1977,0,0,3,0,0,2,0,0,0,0,0,0
Austria,1978,0,0,0,0,1,0,0,0,0,0,0,0
Austria,1979,0,0,4,0,1,0,0,0,0,0,0,0
Austria,1980,0,0,2,0,0,0,0,0,0,0,0,0
Austria,1981,0,0,2,0,1,0,0,0,0,0,0,0
Austria,1982,0,0,10,0,0,1,0,0,0,0,0,0
Austria,1984,0,0,3,0,1,0,0,0,0,0,0,0
Austria,1985,0,0,3,0,1,0,0,0,0,0,0,0
Austria,1986,0,0,4,0,0,0,0,0,0,0,0,0
Austria,1987,0,0,1,0,1,1,0,0,0,0,1,0
Austria,1988,0,0,0,0,0,0,0,0,0,0,1,0
Austria,1989,0,0,1,0,1,0,0,0,0,0,0,0
Austria,1990,0,0,1,0,0,0,0,0,0,0,0,0
Austria,1991,0,0,1,0,0,0,0,0,0,0,2,0
Austria,1992,0,0,2,0,1,3,1,0,0,0,1,0
Austria,1994,0,0,5,0,0,0,0,0,0,0,0,0
Austria,1995,0,0,8,1,0,3,0,0,0,0,0,0
Austria,1996,0,0,1,0,0,3,0,0,0,0,0,0
Austria,1997,0,0,0,0,0,0,1,0,0,0,0,0
Austria,1998,0,0,1,0,0,0,0,0,0,0,0,0
Austria,2006,0,0,0,0,0,1,0,0,0,0,0,0
Austria,2007,0,0,0,0,0,1,0,0,0,0,0,0
Austria,2008,0,1,0,0,0,4,2,0,0,0,0,0
Austria,2009,0,0,0,0,2,1,0,0,0,0,0,0
Austria,2011,0,0,0,0,0,0,0,0,0,1,0,0
Austria,2013,0,0,0,0,0,1,0,0,0,0,0,0
Austria,2016,0,0,0,0,0,3,0,0,0,0,0,0
Austria,2017,0,0,0,0,0,1,0,0,0,0,0,0
Azerbaijan,1991,0,0,1,0,1,0,0,0,0,0,1,0
Azerbaijan,1992,0,0,3,0,9,0,0,0,0,0,0,0
Azerbaijan,1994,0,0,5,0,4,0,0,0,0,0,2,0
Azerbaijan,1995,0,0,2,0,0,0,0,0,0,0,0,0
Azerbaijan,1996,0,0,0,0,1,0,1,0,0,0,0,0
Azerbaijan,1997,0,0,0,0,1,0,0,0,0,0,0,0
Azerbaijan,2000,0,0,0,0,1,0,0,0,0,0,0,0
Azerbaijan,2001,0,0,1,0,3,0,0,0,0,0,0,0
Azerbaijan,2002,0,0,1,0,0,0,0,0,0,0,0,0
Azerbaijan,2007,0,0,0,0,0,1,0,0,0,0,0,0
Azerbaijan,2008,0,0,2,0,0,0,0,0,0,0,0,0
Azerbaijan,2009,0,0,1,0,1,0,0,0,0,0,0,0
Azerbaijan,2014,0,0,1,0,0,1,0,0,0,0,1,0
Azerbaijan,2016,0,0,2,0,0,0,0,0,0,0,0,0
Azerbaijan,2017,0,0,1,0,0,0,0,0,0,0,1,0
Bahamas,1976,0,0,0,0,1,0,0,0,0,0,0,0
Bahamas,1981,0,0,0,0,0,1,0,0,0,0,0,0
Bahamas,1997,0,0,1,0,1,0,0,0,0,0,0,0
Bahamas,2013,0,0,1,0,0,0,0,0,0,0,0,0
Bahrain,1979,0,0,1,0,0,0,0,0,0,0,0,0
Bahrain,1980,0,0,1,0,0,0,0,0,0,0,0,0
Bahrain,1991,0,0,0,0,1,0,0,0,0,0,0,0
Bahrain,1994,0,0,0,0,0,0,1,0,0,0,0,0
Bahrain,1995,0,0,0,0,0,8,0,0,0,0,0,0
Bahrain,1996,0,0,10,0,1,5,0,0,0,0,0,0
Bahrain,1997,0,0,2,0,0,8,0,0,0,0,1,0
Bahrain,2003,0,0,1,0,0,0,0,0,0,0,0,0
Bahrain,2006,0,0,0,0,0,1,0,0,0,0,0,0
Bahrain,2008,0,0,0,0,0,1,0,0,0,0,0,0
Bahrain,2010,0,0,1,0,0,1,0,0,0,0,0,0
Bahrain,2011,0,0,1,0,0,0,0,0,0,0,0,0
Bahrain,2012,0,0,18,0,0,8,0,0,0,0,0,0
Bahrain,2013,0,0,33,0,1,17,0,0,0,0,1,0
Bahrain,2014,0,0,26,0,1,14,1,0,0,0,0,0
Bahrain,2015,0,0,14,0,2,2,0,0,0,0,0,0
Bahrain,2016,0,0,0,0,0,2,0,0,0,0,1,0
Bahrain,2017,0,0,14,0,4,3,0,0,0,0,0,0
Bangladesh,1977,0,0,1,0,0,0,0,0,0,0,0,0
Bangladesh,1979,0,0,0,0,1,0,0,0,0,0,0,0
Bangladesh,1980,0,0,1,0,0,0,0,0,0,0,0,0
Bangladesh,1981,0,0,0,0,1,0,0,0,0,0,0,0
Bangladesh,1982,0,0,1,0,0,0,0,0,0,0,0,0
Bangladesh,1984,0,0,0,0,0,0,1,0,0,0,0,0
Bangladesh,1985,0,0,1,0,0,0,0,0,0,0,0,0
Bangladesh,1986,0,0,5,0,2,0,0,0,0,1,3,0
Bangladesh,1987,0,0,4,0,0,0,0,0,0,0,2,0
Bangladesh,1988,0,0,16,0,20,0,0,0,0,0,0,0
Bangladesh,1989,0,0,17,0,17,0,2,0,0,0,0,0
Bangladesh,1990,0,0,5,0,14,2,0,0,0,1,0,0
Bangladesh,1991,0,0,6,0,31,2,1,0,0,0,2,0
Bangladesh,1992,0,0,5,0,30,23,4,0,0,0,14,0
Bangladesh,1994,0,0,40,0,5,0,4,0,0,0,19,0
Bangladesh,1995,0,0,27,0,10,21,5,0,0,0,11,0
Bangladesh,1996,0,0,40,1,36,29,5,0,0,0,50,0
Bangladesh,1997,0,0,2,0,6,1,1,0,0,0,7,0
Bangladesh,1998,0,0,0,0,1,0,1,0,0,0,0,0
Bangladesh,1999,0,0,9,0,2,0,0,0,0,0,0,0
Bangladesh,2000,0,0,16,0,5,2,0,0,0,0,0,0
Bangladesh,2001,0,0,8,0,5,0,1,0,0,0,1,0
Bangladesh,2002,0,0,4,0,1,0,0,0,0,0,0,0
Bangladesh,2003,0,0,4,0,0,0,0,0,0,0,0,0
Bangladesh,2004,0,0,8,0,1,1,1,0,0,0,0,0
Bangladesh,2005,0,0,21,0,1,1,0,0,0,0,0,0
Bangladesh,2006,0,0,21,0,0,1,0,0,0,0,1,0
Bangladesh,2007,0,0,6,0,2,1,0,0,0,0,0,0
Bangladesh,2008,0,0,10,0,3,1,3,0,0,0,2,0
Bangladesh,2009,0,0,11,0,4,1,4,0,0,0,7,0
Bangladesh,2010,0,0,13,0,6,0,2,0,0,0,1,0
Bangladesh,2011,0,0,4,0,6,1,1,0,0,0,1,0
Bangladesh,2012,0,0,11,0,6,0,1,0,0,0,0,0
Bangladesh,2013,0,0,84,0,2,47,4,0,0,0,2,0
Bangladesh,2014,0,0,51,0,12,61,2,0,0,0,4,0
Bangladesh,2015,0,0,340,0,26,73,20,0,0,5,5,0
Bangladesh,2016,0,0,26,0,15,19,23,0,0,0,5,0
Bangladesh,2017,0,0,18,0,7,4,11,0,0,0,1,0
Barbados,1976,0,0,2,0,0,0,0,0,0,0,0,0
Barbados,1992,0,0,0,0,1,0,0,0,0,0,0,0
Belarus,1994,0,0,0,0,1,0,0,0,0,0,0,0
Belarus,1997,0,0,2,0,0,0,0,0,0,0,0,0
Belarus,1999,0,0,0,0,0,1,0,0,0,0,0,0
Belarus,2001,0,0,1,0,0,0,0,0,0,0,0,0
Belarus,2006,0,0,0,0,0,0,1,0,0,0,0,0
Belarus,2008,0,0,1,0,0,0,0,0,0,0,0,0
Belarus,2010,0,0,0,0,0,2,0,0,0,0,0,0
Belarus,2011,0,0,1,0,0,0,0,0,0,0,0,0
Belarus,2012,0,0,3,0,0,0,0,0,0,0,0,0
Belgium,1970,0,0,1,0,0,0,0,0,0,0,0,0
Belgium,1972,0,0,3,0,0,0,0,0,0,0,1,0
Belgium,1973,0,0,0,0,0,1,0,0,0,0,0,0
Belgium,1974,0,0,2,0,0,3,0,0,0,0,0,0
Belgium,1976,0,0,0,0,0,1,0,0,0,0,0,0
Belgium,1977,0,0,0,0,0,1,0,0,0,0,0,0
Belgium,1978,0,1,5,0,0,0,0,0,0,0,2,0
Belgium,1979,0,0,7,0,1,0,0,0,0,0,0,0
Belgium,1980,0,0,4,0,1,1,0,0,0,0,2,0
Belgium,1981,0,0,1,0,3,2,0,0,0,0,0,0
Belgium,1982,0,0,0,0,1,0,0,0,0,0,0,0
Belgium,1983,0,0,4,0,2,0,0,0,0,0,2,0
Belgium,1984,0,0,8,0,1,0,0,0,0,0,1,0
Belgium,1985,0,0,20,0,1,0,0,0,0,0,0,0
Belgium,1986,0,0,2,0,0,0,0,0,0,0,1,0
Belgium,1987,0,0,0,0,1,0,0,0,0,0,0,0
Belgium,1988,0,0,2,0,1,2,0,0,0,0,0,0
Belgium,1989,0,0,2,0,4,1,0,0,0,0,0,0
Belgium,1990,0,0,0,0,2,0,0,0,0,0,0,0
Belgium,1991,0,0,0,0,1,1,0,1,0,0,3,0
Belgium,1992,0,0,1,0,2,0,4,0,0,0,2,0
Belgium,1994,0,0,0,0,0,1,4,0,0,0,0,0
Belgium,1995,0,0,1,0,0,0,0,0,0,0,0,0
Belgium,1997,0,0,1,0,0,1,0,0,0,0,0,0
Belgium,1998,0,0,1,0,0,2,0,0,0,0,0,0
Belgium,1999,0,0,0,0,0,2,0,0,0,0,0,0
Belgium,2002,0,0,1,0,0,2,0,0,0,0,0,0
Belgium,2003,0,8,0,0,0,0,0,0,0,0,0,0
Belgium,2007,0,0,1,0,0,0,0,0,0,0,0,0
Belgium,2009,0,0,0,0,0,1,0,0,0,0,0,0
Belgium,2012,0,0,0,0,0,1,0,0,0,0,0,0
Belgium,2014,0,0,0,0,1,1,0,0,0,0,0,0
Belgium,2016,0,0,3,0,0,1,2,0,0,0,0,0
Belgium,2017,0,0,1,0,0,0,2,0,0,0,0,0
Belize,1980,0,0,0,0,0,0,0,0,0,0,1,0
Belize,1991,0,0,0,0,2,0,0,0,0,0,1,0
Belize,1992,0,0,0,0,1,0,1,0,0,0,0,0
Belize,2000,0,0,1,0,0,0,0,0,0,0,0,0
Belize,2013,0,0,0,0,1,0,0,0,0,0,0,0
Benin,1992,0,0,0,0,0,0,0,0,0,0,1,0
Benin,1994,0,0,3,0,0,0,0,0,0,0,0,0
Benin,1995,0,0,1,0,0,0,0,0,0,0,0,0
Benin,1996,0,0,0,0,1,0,0,0,0,0,1,0
Benin,2007,0,0,0,0,1,0,0,0,0,0,0,0
Bhutan,2006,0,0,1,0,0,0,0,0,0,0,0,0
Bhutan,2008,0,0,3,0,0,0,0,0,0,0,0,0
Bhutan,2011,0,0,1,0,0,0,0,0,0,0,0,0
Bhutan,2014,0,0,0,0,1,0,0,0,0,0,0,0
Bolivia,1970,0,0,0,0,0,0,0,0,0,0,1,0
Bolivia,1971,0,0,0,0,0,0,0,0,0,0,2,0
Bolivia,1974,0,0,0,0,0,0,0,0,0,0,1,0
Bolivia,1976,0,0,1,0,0,0,0,0,0,0,0,0
Bolivia,1977,0,0,1,0,0,0,0,0,0,0,0,0
Bolivia,1978,0,0,2,0,1,0,0,0,0,0,0,0
Bolivia,1979,0,0,14,0,0,0,0,0,0,0,0,0
Bolivia,1980,0,0,15,0,12,0,0,0,0,0,8,0
Bolivia,1981,0,0,3,0,2,0,0,0,0,0,0,0
Bolivia,1982,0,0,24,0,1,1,0,0,0,0,1,0
Bolivia,1983,0,0,23,0,1,0,0,0,0,0,3,0
Bolivia,1984,0,0,11,0,0,0,0,0,0,0,3,0
Bolivia,1985,0,0,11,0,1,0,0,0,0,0,1,0
