Entity,Year,Family benefits public spending (% GDP) (OECD (2016))
Czech Republic,2012,2.181
Czech Republic,2013,2.216
Denmark,2000,3.395
Denmark,2001,3.463
Denmark,2002,3.556
Denmark,2003,3.671
Denmark,2004,3.577
Denmark,2005,3.498
Denmark,2006,3.453
Denmark,2007,3.557
Denmark,2008,3.617
Denmark,2009,3.956
Denmark,2010,3.791
Denmark,2011,3.814
Denmark,2012,3.692
Denmark,2013,3.656
Estonia,2000,1.746
Estonia,2001,1.606
Estonia,2002,1.585
Estonia,2003,1.429
Estonia,2004,1.851
Estonia,2005,1.751
Estonia,2006,1.688
Estonia,2007,1.627
Estonia,2008,2.116
Estonia,2009,2.558
Estonia,2010,2.561
Estonia,2011,2.233
Estonia,2012,2.029
Estonia,2013,1.998
Finland,2000,2.934
Finland,2001,2.822
Finland,2002,2.803
Finland,2003,2.815
Finland,2004,2.826
Finland,2005,2.84
Finland,2006,2.809
Finland,2007,2.724
Finland,2008,2.789
Finland,2009,3.136
Finland,2010,3.12
Finland,2011,3.092
Finland,2012,3.195
Finland,2013,3.208
France,2000,2.925
France,2001,2.876
France,2002,2.876
France,2003,2.923
France,2004,2.951
France,2005,2.924
France,2006,2.846
France,2007,2.808
France,2008,2.789
France,2009,2.944
France,2010,2.862
France,2011,2.811
France,2012,2.885
France,2013,2.914
Germany,2000,2.048
Germany,2001,2.003
Germany,2002,2.067
Germany,2003,2.078
Germany,2004,2.039
Germany,2005,2.033
Germany,2006,1.726
Germany,2007,1.8
Germany,2008,1.884
Germany,2009,2.154
Germany,2010,2.153
Germany,2011,2.096
Germany,2012,2.124
Germany,2013,2.171
Greece,2000,0.977
Greece,2001,0.99
Greece,2002,1.052
Greece,2003,1.088
Greece,2004,1.097
Greece,2005,1.079
Greece,2006,1.043
Greece,2007,1.053
Greece,2008,1.16
Greece,2009,1.39
Greece,2010,1.359
Greece,2011,1.379
Greece,2012,1.284
Hungary,2000,2.997
Hungary,2001,2.882
Hungary,2002,2.95
Hungary,2003,3.22
Hungary,2004,2.962
Hungary,2005,3.012
Hungary,2006,3.287
Hungary,2007,3.243
Hungary,2008,3.267
Hungary,2009,3.421
Hungary,2010,3.414
Hungary,2011,3.209
Hungary,2012,3.1
Hungary,2013,2.958
Iceland,2000,2.147
Iceland,2001,2.418
Iceland,2002,2.625
Iceland,2003,2.98
Iceland,2004,3.01
Iceland,2005,2.874
Iceland,2006,3.037
Iceland,2007,3.386
Iceland,2008,3.528
Iceland,2009,3.73
Iceland,2010,3.657
Iceland,2011,3.396
Iceland,2012,3.489
Iceland,2013,3.627
Ireland,2000,1.973
Ireland,2001,2.208
Ireland,2002,2.564
Ireland,2003,2.678
Ireland,2004,2.666
Ireland,2005,2.643
Ireland,2006,2.666
Ireland,2007,2.794
Ireland,2008,3.308
Ireland,2009,3.881
Ireland,2010,3.732
Ireland,2011,3.472
Ireland,2012,3.445
Ireland,2013,3.292
Israel,2000,2.413
Israel,2001,2.578
Israel,2002,2.432
Israel,2003,2.231
Israel,2004,1.961
Israel,2005,1.821
Israel,2006,1.856
Israel,2007,1.788
Israel,2008,1.842
Israel,2009,1.931
Israel,2010,2.016
Israel,2011,1.968
Israel,2012,1.994
Israel,2013,2.014
Israel,2014,1.869
Israel,2015,1.9
Italy,2000,1.161
Italy,2001,1.218
Italy,2002,1.117
Italy,2003,1.208
Italy,2004,1.224
Italy,2005,1.21
Italy,2006,1.29
Italy,2007,1.319
Italy,2008,1.359
Italy,2009,1.503
Italy,2010,1.348
Italy,2011,1.342
Italy,2012,1.392
Italy,2013,1.419
Japan,2000,0.641
Japan,2001,0.699
Japan,2002,0.732
Japan,2003,0.734
Japan,2004,0.779
Japan,2005,0.812
Japan,2006,0.797
Japan,2007,0.801
Japan,2008,0.879
Japan,2009,0.964
Japan,2010,1.277
Japan,2011,1.353
Japan,2012,1.306
Japan,2013,1.261
Latvia,2000,1.491
Latvia,2001,1.441
Latvia,2002,1.342
Latvia,2003,1.333
Latvia,2004,1.237
Latvia,2005,1.241
Latvia,2006,1.124
Latvia,2007,1.091
Latvia,2008,1.31
Latvia,2009,1.715
Latvia,2010,1.517
Latvia,2011,1.127
Latvia,2012,1.005
Latvia,2013,1.173
Luxembourg,2000,2.956
Luxembourg,2001,3.103
Luxembourg,2002,3.399
Luxembourg,2003,3.79
Luxembourg,2004,3.727
Luxembourg,2005,3.634
Luxembourg,2006,3.423
Luxembourg,2007,3.195
Luxembourg,2008,4.107
Luxembourg,2009,4.169
Luxembourg,2010,4.006
Luxembourg,2011,3.603
Luxembourg,2012,3.658
Luxembourg,2013,3.612
Mexico,2000,0.641
Mexico,2001,0.726
Mexico,2002,0.826
Mexico,2003,0.987
Mexico,2004,0.869
Mexico,2005,0.969
Mexico,2006,0.979
Mexico,2007,0.986
Mexico,2008,1.091
Mexico,2009,1.065
Mexico,2010,1.123
Mexico,2011,1.087
Mexico,2012,0.427
Mexico,2013,0.398
Netherlands,2000,1.38
Netherlands,2001,1.373
Netherlands,2002,1.525
Netherlands,2003,1.622
Netherlands,2004,1.598
Netherlands,2005,1.524
Netherlands,2006,1.749
Netherlands,2007,1.812
Netherlands,2008,1.458
Netherlands,2009,1.583
Netherlands,2010,1.536
Netherlands,2011,1.51
Netherlands,2012,1.398
Netherlands,2013,1.347
New Zealand,2000,2.712
New Zealand,2001,2.579
New Zealand,2002,2.532
New Zealand,2003,2.443
New Zealand,2004,2.337
New Zealand,2005,2.533
New Zealand,2006,2.916
New Zealand,2007,2.966
New Zealand,2008,3.198
New Zealand,2009,3.428
New Zealand,2010,3.366
New Zealand,2011,3.253
New Zealand,2012,3.115
New Zealand,2013,2.765
New Zealand,2014,2.618
Norway,2000,2.995
Norway,2001,3.128
Norway,2002,3.025
Norway,2003,3.073
Norway,2004,2.971
Norway,2005,2.791
Norway,2006,2.692
Norway,2007,2.745
Norway,2008,2.66
Norway,2009,3.099
Norway,2010,3.07
Norway,2011,3.037
Norway,2012,2.976
Norway,2013,3.022
Poland,2000,1.181
Poland,2001,1.185
Poland,2002,1.176
Poland,2003,1.126
Poland,2004,1.238
Poland,2005,1.216
Poland,2006,1.195
Poland,2007,1.157
Poland,2008,1.255
Poland,2009,1.298
Poland,2010,1.336
Poland,2011,1.289
Poland,2012,1.239
Portugal,2000,0.973
Portugal,2001,1.008
Portugal,2002,1.306
Portugal,2003,1.409
Portugal,2004,1.163
Portugal,2005,1.181
Portugal,2006,1.163
Portugal,2007,1.153
Portugal,2008,1.235
Portugal,2009,1.446
Portugal,2010,1.385
Portugal,2011,1.207
Portugal,2012,1.236
Portugal,2013,1.2
Slovakia,2000,1.969
Slovakia,2001,1.815
Slovakia,2002,1.794
Slovakia,2003,1.767
Slovakia,2004,1.952
Slovakia,2005,1.904
Slovakia,2006,1.868
Slovakia,2007,1.758
Slovakia,2008,1.694
Slovakia,2009,1.983
Slovakia,2010,2
Slovakia,2011,2.011
Slovakia,2012,2.048
Slovakia,2013,2.055
Slovenia,2000,2.127
Slovenia,2001,2.086
Slovenia,2002,1.993
Slovenia,2003,1.954
Slovenia,2004,1.932
Slovenia,2005,1.904
Slovenia,2006,1.868
Slovenia,2007,1.699
Slovenia,2008,1.745
Slovenia,2009,2.056
Slovenia,2010,2.123
Slovenia,2011,2.14
Slovenia,2012,2.074
Slovenia,2013,1.958
South Korea,2000,0.105
South Korea,2001,0.137
South Korea,2002,0.134
South Korea,2003,0.156
South Korea,2004,0.189
South Korea,2005,0.198
South Korea,2006,0.492
South Korea,2007,0.435
South Korea,2008,0.565
South Korea,2009,0.679
South Korea,2010,0.676
South Korea,2011,0.672
South Korea,2012,0.848
South Korea,2013,1.125
South Korea,2014,1.115
Spain,2000,0.945
Spain,2001,0.894
Spain,2002,0.905
Spain,2003,1.051
Spain,2004,1.079
Spain,2005,1.155
Spain,2006,1.176
Spain,2007,1.222
Spain,2008,1.324
Spain,2009,1.474
Spain,2010,1.462
Spain,2011,1.349
Spain,2012,1.361
Spain,2013,1.332
Sweden,2000,2.808
Sweden,2001,2.939
Sweden,2002,3.09
Sweden,2003,3.141
Sweden,2004,3.128
Sweden,2005,3.154
Sweden,2006,3.241
Sweden,2007,3.198
Sweden,2008,3.326
Sweden,2009,3.536
Sweden,2010,3.441
Sweden,2011,3.454
Sweden,2012,3.565
Sweden,2013,3.637
Switzerland,2000,1.369
Switzerland,2001,1.379
Switzerland,2002,1.46
Switzerland,2003,1.484
Switzerland,2004,1.44
Switzerland,2005,1.504
Switzerland,2006,1.462
Switzerland,2007,1.404
Switzerland,2008,1.347
Switzerland,2009,1.454
Switzerland,2010,1.477
Switzerland,2011,1.483
Switzerland,2012,1.53
Switzerland,2013,1.558
Turkey,2000,0.211
Turkey,2001,0.224
Turkey,2002,0.24
Turkey,2003,0.232
Turkey,2004,0.24
Turkey,2005,0.281
Turkey,2006,0.245
Turkey,2007,0.329
Turkey,2008,0.312
Turkey,2009,0.361
Turkey,2010,0.336
Turkey,2011,0.356
Turkey,2012,0.394
Turkey,2013,0.439
United Kingdom,2000,2.557
United Kingdom,2001,2.65
United Kingdom,2002,2.686
United Kingdom,2003,2.924
United Kingdom,2004,3.027
United Kingdom,2005,2.98
United Kingdom,2006,2.963
United Kingdom,2007,3.241
United Kingdom,2008,3.489
United Kingdom,2009,3.83
United Kingdom,2010,3.964
United Kingdom,2011,3.953
United Kingdom,2012,3.989
United Kingdom,2013,3.802
United States,2000,0.786
United States,2001,0.819
United States,2002,0.844
United States,2003,0.797
United States,2004,0.741
United States,2005,0.702
United States,2006,0.706
United States,2007,0.7
United States,2008,0.703
United States,2009,0.739
United States,2010,0.747
United States,2011,0.722
United States,2012,0.693
United States,2013,0.688
