Entity,Year,Income and wealth (Arroyo-Abad and Lindert (2016)),Consumption (Arroyo-Abad and Lindert (2016)),Trade (Arroyo-Abad and Lindert (2016)),Resources (Arroyo-Abad and Lindert (2016))
Peru,1963,4.3,3.2,1.4,0.2
Peru,1964,3.2,3.5,2.8,0.2
Peru,1965,3.2,3.9,3.2,0.1
Peru,1966,3.3,4.3,3.3,0.3
Peru,1967,5.9,4.5,4.2,0.1
Peru,1968,4.4,5.1,4.7,0
Peru,1969,4.9,5.2,3.9,0
Peru,1970,5.6,5.2,3.5,0
Peru,1971,4.3,5.5,3.5,0
Peru,1972,4.1,5.5,2.8,0
Peru,1973,4.9,5.5,2.8,0
Peru,1974,5.4,5.2,3.1,0
Peru,1975,5.1,5.7,3.9,0
Peru,1976,3.8,6.2,4.8,0
Peru,1977,4,6.4,3.8,0
Peru,1978,3.6,7.2,4.7,0
Peru,1979,4.7,7,5.5,0
Peru,1980,7,7.1,5.5,0
Peru,1981,4.4,6.8,4.9,0
Peru,1982,3.9,7.7,4,0
Peru,1983,3,6.8,3,0
Peru,1984,3.1,7.3,3.1,0
Peru,1985,2.7,9.3,3.8,0
Peru,1986,4.1,7,3.2,0
Peru,1987,2.6,5.7,2.4,0
Peru,1988,2.9,5.5,1.5,0
Peru,1989,1.8,4.6,1.6,0
Peru,1990,1.9,6.3,1.2,0
Peru,1991,1.6,7.5,1.3,0
Peru,1992,2.2,7.8,1.5,0
Peru,1993,2.4,7.6,1.8,0
Peru,1994,2.7,8.6,1.8,0
Peru,1995,3,8.6,1.8,0
Peru,1996,3.8,8.6,1.7,0
Peru,1997,3.8,9.1,1.6,0
Peru,1998,3.7,9.1,1.8,0
Peru,1999,3,8.7,1.7,0
Peru,2000,2.9,8.7,1.6,0
Peru,2001,3.1,8.5,1.5,0
Peru,2002,3.1,8.8,1.3,0
Peru,2003,3.9,9.1,1.2,0
Peru,2004,4,9.1,1.2,0
Peru,2005,4.5,9.1,1.3,0
Peru,2006,6.4,8.9,1,0
Peru,2007,7.1,9.2,0.7,0
Peru,2008,6.8,9.9,0.5,0
Peru,2009,5.6,9.2,0.4,0
Peru,2010,6.1,9.6,0.4,0
Peru,2011,7.2,9.6,0.3,0
Peru,2012,7.3,9.6,0.3,0
Peru,2013,6.7,9.7,0.3,0
