Entity,Year,Solid fuel consumption (CDIAC (2016)),Liquid fuel consumption (CDIAC (2016)),Gas fuel consumption (CDIAC (2016)),Cement production (CDIAC (2016)),Gas flaring (CDIAC (2016))
Algeria,1922,7,1,0,0,
Algeria,1923,3,1,0,0,
Algeria,1924,7,2,0,0,
Algeria,1925,7,2,0,0,
Algeria,1926,10,1,0,0,
Algeria,1927,15,1,0,0,
Algeria,1928,12,1,0,7,
Algeria,1929,12,3,0,8,
Algeria,1930,12,2,0,9,
Algeria,1931,15,1,0,10,
Algeria,1932,18,1,0,12,
Algeria,1933,22,1,0,10,
Algeria,1934,25,0,0,13,
Algeria,1935,28,0,0,9,
Algeria,1936,5,0,0,9,
Algeria,1937,10,0,0,9,
Algeria,1938,9,0,0,0,
Algeria,1939,14,0,30,0,
Algeria,1940,40,0,25,0,
Algeria,1941,58,0,27,0,
Algeria,1942,107,0,29,0,
Algeria,1943,85,0,32,11,
Algeria,1944,87,1,36,13,
Algeria,1945,117,0,37,14,
Algeria,1946,156,0,37,16,
Algeria,1947,149,0,37,17,
Algeria,1948,164,0,38,18,
Algeria,1949,192,0,38,17,
Algeria,1950,514,475,0,44,0
Algeria,1951,557,510,0,61,0
Algeria,1952,503,493,0,66,0
Algeria,1953,422,599,0,70,0
Algeria,1954,405,639,0,90,0
Algeria,1955,435,731,0,92,0
Algeria,1956,481,795,0,89,0
Algeria,1957,539,876,0,97,0
Algeria,1958,494,815,0,115,0
Algeria,1959,399,1016,0,130,0
Algeria,1960,343,1193,0,144,0
Algeria,1961,209,1177,123,146,0
Algeria,1962,111,1129,188,119,0
Algeria,1963,69,1126,165,120,0
Algeria,1964,77,1032,325,107,0
Algeria,1965,72,1140,485,101,0
Algeria,1966,74,1630,505,90,0
Algeria,1967,52,1663,489,99,0
Algeria,1968,55,1783,514,118,0
Algeria,1969,123,2148,676,129,0
Algeria,1970,265,1866,37,126,1817
Algeria,1971,246,2079,184,131,2451
Algeria,1972,177,1981,856,126,4591
Algeria,1973,224,2559,859,137,6669
Algeria,1974,191,2622,669,128,5091
Algeria,1975,216,3082,1217,129,4092
Algeria,1976,160,3012,1655,190,5666
Algeria,1977,165,3785,984,242,6248
Algeria,1978,156,3593,6511,367,6425
Algeria,1979,244,4192,2229,513,5263
Algeria,1980,439,5082,6954,565,5100
Algeria,1981,521,4955,3047,607,3533
Algeria,1982,539,5088,1957,598,2527
Algeria,1983,859,6010,4533,654,2294
Algeria,1984,1099,6214,8327,753,2997
Algeria,1985,840,6142,7560,829,4478
Algeria,1986,744,6212,9030,878,3937
Algeria,1987,810,6848,10949,1026,3307
Algeria,1988,812,7447,10637,979,3019
Algeria,1989,815,6865,10009,927,3213
Algeria,1990,834,6567,10619,862,2373
Algeria,1991,765,7395,10488,859,2362
Algeria,1992,678,8002,8715,870,3793
Algeria,1993,548,7640,9852,870,3532
Algeria,1994,646,8311,10204,824,3604
Algeria,1995,542,7391,12888,928,4252
Algeria,1996,393,7480,13801,884,3930
Algeria,1997,392,8411,10646,965,3637
Algeria,1998,598,9031,14913,1020,3639
Algeria,1999,613,6056,13898,1020,3535
Algeria,2000,556,8424,10838,1129,3032
Algeria,2001,592,7767,11198,1129,2301
Algeria,2002,739,8282,12187,1224,2345
Algeria,2003,787,8953,12016,1224,2254
Algeria,2004,542,9208,11247,1496,1912
Algeria,2005,666,8413,16706,1741,1688
Algeria,2006,763,9616,13457,1999,1753
Algeria,2007,847,10459,13940,2160,2454
Algeria,2008,847,10197,14069,2366,2600
Algeria,2009,444,12252,14982,2548,2889
Algeria,2010,332,12381,14565,2598,2623
Algeria,2011,286,12806,15481,2584,1892
Algeria,2012,283,13248,17499,2584,1835
Algeria,2013,198,14170,17863,2448,1922
Andorra,1995,0,111,0,0,0
Andorra,1996,0,116,0,0,0
Andorra,1997,0,125,0,0,0
Andorra,1998,0,132,0,0,0
Andorra,1999,0,140,0,0,0
Andorra,2000,0,143,0,0,0
Andorra,2001,0,143,0,0,0
Andorra,2002,0,145,0,0,0
Andorra,2003,0,146,0,0,0
Andorra,2004,0,154,0,0,0
Andorra,2005,0,157,0,0,0
Andorra,2006,0,149,0,0,0
Andorra,2007,0,147,0,0,0
Andorra,2008,0,147,0,0,0
Andorra,2009,0,141,0,0,0
Andorra,2010,0,141,0,0,0
Andorra,2011,0,134,0,0,0
Andorra,2012,0,134,0,0,0
Andorra,2013,0,134,0,0,0
Angola,1950,16,34,0,0,0
Angola,1951,26,42,0,0,0
Angola,1952,33,52,0,0,0
Angola,1953,19,52,0,4,0
Angola,1954,21,69,0,6,0
Angola,1955,23,80,0,10,0
Angola,1956,11,114,0,12,0
Angola,1957,22,129,0,18,0
Angola,1958,12,127,0,23,0
Angola,1959,15,133,0,21,0
Angola,1960,34,95,0,22,0
Angola,1961,17,85,0,21,0
Angola,1962,25,275,0,23,0
Angola,1963,6,282,0,26,0
Angola,1964,21,284,0,29,0
Angola,1965,15,276,0,33,0
Angola,1966,24,364,0,36,0
Angola,1967,15,218,0,38,0
Angola,1968,28,387,0,42,0
Angola,1969,25,682,0,52,0
Angola,1970,13,476,23,61,405
Angola,1971,8,449,23,72,379
Angola,1972,2,676,30,85,437
Angola,1973,6,685,34,105,501
Angola,1974,0,669,36,103,522
Angola,1975,0,595,34,89,486
Angola,1976,0,528,30,41,297
Angola,1977,0,293,37,41,593
Angola,1978,0,731,37,54,654
Angola,1979,0,756,37,54,654
Angola,1980,0,725,40,33,659
Angola,1981,0,754,47,34,605
Angola,1982,0,589,47,34,599
Angola,1983,0,692,54,30,619
Angola,1984,0,625,60,48,632
Angola,1985,0,535,60,48,639
Angola,1986,0,510,67,48,646
Angola,1987,0,798,81,48,659
Angola,1988,0,520,82,136,661
Angola,1989,0,476,87,136,666
Angola,1990,0,676,276,35,409
Angola,1991,0,623,296,35,435
Angola,1992,0,625,291,41,460
Angola,1993,0,810,286,34,445
Angola,1994,0,354,265,33,409
Angola,1995,0,2297,286,27,383
Angola,1996,0,1921,286,37,608
Angola,1997,0,909,291,41,772
Angola,1998,0,754,296,48,895
Angola,1999,0,1012,286,28,1171
Angola,2000,0,1001,296,27,1278
Angola,2001,0,1174,270,75,1135
Angola,2002,0,1370,316,81,1687
Angola,2003,0,1866,332,95,179
Angola,2004,0,1374,393,103,3255
Angola,2005,0,1292,341,179,3412
Angola,2006,0,2117,356,187,3412
Angola,2007,0,2402,435,190,3832
Angola,2008,0,2789,347,242,3633
Angola,2009,0,3356,352,245,3626
Angola,2010,0,3649,374,204,3697
Angola,2011,0,3915,384,204,3771
Angola,2012,0,4691,388,218,3811
Angola,2013,0,4738,208,231,3675
Anguilla,1997,0,12,0,0,0
Anguilla,1998,0,13,0,0,0
Anguilla,1999,0,14,0,0,0
Anguilla,2000,0,17,0,0,0
Anguilla,2001,0,26,0,0,0
Anguilla,2002,0,26,0,0,0
Anguilla,2003,0,28,0,0,0
Anguilla,2004,0,33,0,0,0
Anguilla,2005,0,35,0,0,0
Anguilla,2006,0,39,0,0,0
Anguilla,2007,0,41,0,0,0
Anguilla,2008,0,41,0,0,0
Anguilla,2009,0,40,0,0,0
Anguilla,2010,0,41,0,0,0
Anguilla,2011,0,39,0,0,0
Anguilla,2012,0,39,0,0,0
Anguilla,2013,0,37,0,0,0
Antarctic Fisheries,1987,0,1,0,0,0
Antarctic Fisheries,1988,0,2,0,0,0
Antarctic Fisheries,1989,0,2,0,0,0
Antarctic Fisheries,1990,0,3,0,0,0
Antarctic Fisheries,1991,0,4,0,0,0
Antarctic Fisheries,1992,0,4,0,0,0
Antarctic Fisheries,1993,0,4,0,0,0
Antarctic Fisheries,1994,0,4,0,0,0
Antarctic Fisheries,1995,0,1,0,0,0
Antarctic Fisheries,1996,0,1,0,0,0
Antarctic Fisheries,1997,0,1,0,0,0
Antarctic Fisheries,1998,0,1,0,0,0
Antarctic Fisheries,1999,0,1,0,0,0
Antarctic Fisheries,2000,0,1,0,0,0
Antarctic Fisheries,2001,0,1,0,0,0
Antarctic Fisheries,2002,0,1,0,0,0
Antarctic Fisheries,2003,0,1,0,0,0
Antarctic Fisheries,2004,0,2,0,0,0
Antarctic Fisheries,2005,0,2,0,0,0
Antarctic Fisheries,2006,0,2,0,0,0
Antarctic Fisheries,2007,0,3,0,0,0
Antigua and Barbuda,1957,0,6,0,0,0
Antigua and Barbuda,1958,0,8,0,0,0
Antigua and Barbuda,1959,0,8,0,0,0
Antigua and Barbuda,1960,0,10,0,0,0
Antigua and Barbuda,1961,0,13,0,0,0
Antigua and Barbuda,1962,0,28,0,0,0
Antigua and Barbuda,1963,0,23,0,0,0
Antigua and Barbuda,1964,0,25,0,0,0
Antigua and Barbuda,1965,0,41,0,0,0
Antigua and Barbuda,1966,0,95,0,0,0
Antigua and Barbuda,1967,0,154,0,0,0
Antigua and Barbuda,1968,0,270,0,0,0
Antigua and Barbuda,1969,0,343,0,0,0
Antigua and Barbuda,1970,0,126,0,0,0
Antigua and Barbuda,1971,0,116,0,0,0
Antigua and Barbuda,1972,0,102,0,0,0
Antigua and Barbuda,1973,0,90,0,0,0
Antigua and Barbuda,1974,0,117,0,0,0
Antigua and Barbuda,1975,0,193,0,0,0
Antigua and Barbuda,1976,0,110,0,0,0
Antigua and Barbuda,1977,0,127,0,0,0
Antigua and Barbuda,1978,0,134,0,0,0
Antigua and Barbuda,1979,0,111,0,0,0
Antigua and Barbuda,1980,0,39,0,0,0
Antigua and Barbuda,1981,0,29,0,0,0
Antigua and Barbuda,1982,0,80,0,0,0
Antigua and Barbuda,1983,0,23,0,0,0
Antigua and Barbuda,1984,0,40,0,0,0
Antigua and Barbuda,1985,0,68,0,0,0
Antigua and Barbuda,1986,0,68,0,0,0
Antigua and Barbuda,1987,0,75,0,0,0
Antigua and Barbuda,1988,0,78,0,0,0
Antigua and Barbuda,1989,0,78,0,0,0
Antigua and Barbuda,1990,0,82,0,0,0
Antigua and Barbuda,1991,0,79,0,0,0
Antigua and Barbuda,1992,0,79,0,0,0
Antigua and Barbuda,1993,0,83,0,0,0
Antigua and Barbuda,1994,0,85,0,0,0
Antigua and Barbuda,1995,0,88,0,0,0
Antigua and Barbuda,1996,0,88,0,0,0
Antigua and Barbuda,1997,0,92,0,0,0
Antigua and Barbuda,1998,0,91,0,0,0
Antigua and Barbuda,1999,0,95,0,0,0
Antigua and Barbuda,2000,0,94,0,0,0
Antigua and Barbuda,2001,0,94,0,0,0
Antigua and Barbuda,2002,0,99,0,0,0
Antigua and Barbuda,2003,0,106,0,0,0
Antigua and Barbuda,2004,0,111,0,0,0
Antigua and Barbuda,2005,0,112,0,0,0
Antigua and Barbuda,2006,0,116,0,0,0
Antigua and Barbuda,2007,0,128,0,0,0
Antigua and Barbuda,2008,0,131,0,0,0
Antigua and Barbuda,2009,0,139,0,0,0
Antigua and Barbuda,2010,0,143,0,0,0
Antigua and Barbuda,2011,0,140,0,0,0
Antigua and Barbuda,2012,0,143,0,0,0
Antigua and Barbuda,2013,0,143,0,0,0
Argentina,1887,296,0,0,0,
Argentina,1888,243,0,0,0,
Argentina,1889,479,0,0,0,
Argentina,1890,374,0,0,0,
Argentina,1891,256,0,0,0,
Argentina,1892,378,0,0,0,
Argentina,1893,424,0,0,0,
Argentina,1894,544,0,0,0,
Argentina,1895,618,0,0,0,
Argentina,1896,629,0,0,0,
Argentina,1897,568,0,0,0,
Argentina,1898,641,0,0,0,
Argentina,1899,797,0,0,0,
Argentina,1900,565,0,0,0,
Argentina,1901,680,0,0,0,
Argentina,1902,768,0,0,0,
Argentina,1903,781,0,0,0,
Argentina,1904,1036,0,0,0,
Argentina,1905,1087,0,0,0,
Argentina,1906,1707,0,0,0,
Argentina,1907,1707,0,0,0,
Argentina,1908,2077,2,0,0,
Argentina,1909,1618,3,0,0,
Argentina,1910,2429,3,0,0,
Argentina,1911,2712,2,0,0,
Argentina,1912,2581,6,0,0,
Argentina,1913,2752,16,0,0,
Argentina,1914,2332,33,1,0,
Argentina,1915,1828,62,3,0,
Argentina,1916,1251,105,4,0,
Argentina,1917,454,148,7,0,
Argentina,1918,516,164,8,0,
Argentina,1919,847,162,8,0,
Argentina,1920,1398,200,10,0,
Argentina,1921,1246,253,13,0,
Argentina,1922,1608,368,17,0,
Argentina,1923,1867,416,21,0,
Argentina,1924,2389,567,35,0,
Argentina,1925,2279,743,45,0,
Argentina,1926,2033,959,80,0,
Argentina,1927,2526,1052,71,0,
Argentina,1928,2261,1103,81,32,
Argentina,1929,2271,1140,125,48,
Argentina,1930,2216,1093,124,52,
Argentina,1931,1896,1383,154,73,
Argentina,1932,1728,1570,210,68,
Argentina,1933,1626,1633,282,70,
Argentina,1934,1796,1673,341,77,
Argentina,1935,1729,1705,288,98,
Argentina,1936,1907,1852,249,113,
Argentina,1937,2227,1959,236,141,
Argentina,1938,2018,2046,229,169,
Argentina,1939,2119,2230,242,153,
Argentina,1940,1465,2468,250,147,
Argentina,1941,733,2637,277,159,
Argentina,1942,378,2840,315,146,
Argentina,1943,423,2975,316,130,
Argentina,1944,450,2903,309,147,
Argentina,1945,558,2741,284,148,
Argentina,1946,830,2492,264,155,
Argentina,1947,888,2617,272,185,
Argentina,1948,1587,2782,209,170,
Argentina,1949,982,2706,310,197,
Argentina,1950,972,6982,0,214,0
Argentina,1951,1493,7452,387,212,0
Argentina,1952,1230,7993,419,211,0
Argentina,1953,850,8190,326,225,0
Argentina,1954,1016,8455,330,232,0
Argentina,1955,876,9334,335,254,0
Argentina,1956,1041,10414,356,281,0
Argentina,1957,917,11359,398,322,0
Argentina,1958,1032,10292,404,336,0
Argentina,1959,1018,11620,402,322,0
Argentina,1960,1066,11242,645,359,0
Argentina,1961,966,11496,1100,395,0
Argentina,1962,548,12303,1394,398,0
Argentina,1963,629,11093,1591,345,0
Argentina,1964,698,12339,1765,396,0
Argentina,1965,710,12916,1978,449,0
Argentina,1966,706,13256,2142,474,640
Argentina,1967,802,13584,2240,483,763
Argentina,1968,646,14345,2495,568,785
Argentina,1969,707,16532,2485,591,773
Argentina,1970,897,17447,2806,645,767
Argentina,1971,799,18919,3008,752,776
Argentina,1972,780,18913,3403,741,749
Argentina,1973,786,19435,3872,705,854
Argentina,1974,919,19501,4073,733,836
Argentina,1975,981,18808,4291,743,1065
Argentina,1976,884,19614,4494,777,1442
Argentina,1977,738,19843,4614,816,1476
Argentina,1978,1046,19896,4483,859,1706
Argentina,1979,983,21581,4917,907,1801
Argentina,1980,782,20881,5340,970,1680
Argentina,1981,807,19121,5591,904,1404
Argentina,1982,726,18840,6345,765,1527
Argentina,1983,598,18743,7168,765,1418
Argentina,1984,586,18350,7451,710,1951
Argentina,1985,757,16495,7863,630,1689
Argentina,1986,926,16976,8451,755,1311
Argentina,1987,1031,18137,10016,857,1304
Argentina,1988,1098,18076,11526,823,1602
Argentina,1989,1131,16308,12175,608,1709
Argentina,1990,838,16154,11794,491,1434
Argentina,1991,734,16712,12905,462,1100
Argentina,1992,765,17367,13183,687,1116
Argentina,1993,628,18327,11137,768,1484
Argentina,1994,972,18342,11648,854,1823
Argentina,1995,1010,17149,14518,741,1477
Argentina,1996,846,17992,15705,696,1577
Argentina,1997,758,18250,16786,933,907
Argentina,1998,775,18989,16816,964,584
Argentina,1999,588,19654,18455,977,408
Argentina,2000,452,18237,18951,832,289
Argentina,2001,352,17375,17688,754,297
Argentina,2002,300,15692,17090,532,395
Argentina,2003,543,16200,18851,710,528
Argentina,2004,600,18508,22629,851,388
Argentina,2005,892,19596,22371,1033,316
Argentina,2006,1055,22356,22890,1214,327
Argentina,2007,999,21275,23793,1306,398
Argentina,2008,1058,24197,24596,1320,399
Argentina,2009,882,22484,24016,1276,418
Argentina,2010,1089,24606,23725,1418,407
Argentina,2011,1289,23723,25269,1577,401
Argentina,2012,1182,23363,26032,1457,424
Argentina,2013,641,24226,24771,1617,510
Armenia,1992,102,400,949,54,0
Armenia,1993,2,256,411,27,0
Armenia,1994,26,257,441,14,0
Armenia,1995,2,183,714,31,0
Armenia,1996,4,100,557,38,0
Armenia,1997,4,107,731,40,0
Armenia,1998,4,111,762,41,0
Armenia,1999,2,160,621,39,0
Armenia,2000,0,215,700,30,0
Armenia,2001,0,212,713,41,0
Armenia,2002,13,223,547,48,0
Armenia,2003,20,255,608,52,0
Armenia,2004,0,251,675,68,0
Armenia,2005,1,268,836,82,0
Armenia,2006,1,251,857,85,0
Armenia,2007,4,252,1026,98,0
Armenia,2008,5,282,1125,105,0
Armenia,2009,0,260,865,64,0
Armenia,2010,3,275,806,66,0
Armenia,2011,2,257,1025,57,0
Armenia,2012,2,244,1246,60,0
Armenia,2013,1,232,1207,59,0
Aruba,1986,0,49,0,0,0
Aruba,1987,0,122,0,0,0
Aruba,1988,0,167,0,0,0
Aruba,1989,0,177,0,0,0
Aruba,1990,0,472,0,0,0
Aruba,1991,0,483,0,0,0
Aruba,1992,0,425,0,0,0
Aruba,1993,0,437,0,0,0
Aruba,1994,0,435,0,0,0
Aruba,1995,0,439,0,0,0
Aruba,1996,0,441,0,0,0
Aruba,1997,0,450,0,0,0
Aruba,1998,0,467,0,0,0
Aruba,1999,0,477,0,0,0
Aruba,2000,0,633,0,0,0
Aruba,2001,0,643,0,0,0
Aruba,2002,0,647,0,0,0
Aruba,2003,0,659,0,0,0
Aruba,2004,0,660,0,0,0
Aruba,2005,0,681,0,0,0
Aruba,2006,0,681,0,0,0
Aruba,2007,0,707,0,0,0
Aruba,2008,0,684,0,0,0
Aruba,2009,0,688,0,0,0
Aruba,2010,0,670,0,0,0
Aruba,2011,0,665,0,0,0
Aruba,2012,0,355,0,0,0
Aruba,2013,0,239,0,0,0
Australia,1860,76,0,0,0,
Australia,1861,139,0,0,0,
Australia,1862,97,0,0,0,
Australia,1863,109,0,0,0,
Australia,1864,73,0,0,0,
Australia,1865,115,0,0,0,
Australia,1866,190,0,0,0,
Australia,1867,244,0,0,0,
Australia,1868,200,0,0,0,
Australia,1869,175,0,0,0,
Australia,1870,164,0,0,0,
Australia,1871,189,0,0,0,
Australia,1872,193,0,0,0,
Australia,1873,237,0,0,0,
Australia,1874,243,0,0,0,
Australia,1875,226,0,0,0,
Australia,1876,254,0,0,0,
Australia,1877,291,0,0,0,
Australia,1878,264,0,0,0,
Australia,1879,397,0,0,0,
Australia,1880,602,0,0,0,
Australia,1881,482,0,0,0,
Australia,1882,549,0,0,0,
Australia,1883,662,0,0,0,
Australia,1884,702,0,0,0,
Australia,1885,793,0,0,0,
Australia,1886,788,0,0,0,
Australia,1887,828,0,0,0,
Australia,1888,963,0,0,0,
Australia,1889,935,0,0,0,
Australia,1890,968,0,0,0,
Australia,1891,1094,0,0,0,
Australia,1892,1133,0,0,0,
Australia,1893,1082,0,0,0,
Australia,1894,1190,0,0,0,
Australia,1895,1253,0,0,0,
Australia,1896,1229,0,0,0,
Australia,1897,1358,0,0,0,
Australia,1898,1532,0,0,0,
Australia,1899,1546,33,0,0,
Australia,1900,2742,33,0,0,
Australia,1901,3058,64,0,0,
Australia,1902,3079,30,0,0,
Australia,1903,3016,46,0,0,
Australia,1904,3106,46,0,0,
Australia,1905,3240,49,0,0,
Australia,1906,3870,49,0,0,
Australia,1907,4166,58,0,0,
Australia,1908,4521,52,0,0,
Australia,1909,3911,61,0,0,
Australia,1910,4759,0,0,0,
Australia,1911,5251,0,0,0,
Australia,1912,5673,0,0,0,
Australia,1913,6111,0,0,0,
Australia,1914,6681,0,0,0,
Australia,1915,5948,0,0,0,
Australia,1916,5260,0,0,0,
Australia,1917,5666,0,0,0,
Australia,1918,6261,0,0,0,
Australia,1919,5933,0,0,0,
Australia,1920,7023,0,0,0,
Australia,1921,6319,0,0,0,
Australia,1922,6644,0,0,0,
Australia,1923,6782,0,0,0,
Australia,1924,7388,0,0,0,
Australia,1925,7706,0,0,0,
Australia,1926,7602,0,0,0,
Australia,1927,7886,0,0,0,
Australia,1928,7071,0,0,104,
Australia,1929,6358,0,0,98,
Australia,1930,5917,0,0,96,
Australia,1931,5281,0,0,54,
Australia,1932,5518,0,0,34,
Australia,1933,5846,0,0,44,
Australia,1934,6138,0,0,57,
Australia,1935,6810,0,0,76,
Australia,1936,7294,0,0,89,
Australia,1937,7777,0,0,100,
Australia,1938,7602,0,0,49,
Australia,1939,8680,0,0,93,
Australia,1940,7831,0,0,96,
Australia,1941,9335,0,0,94,
Australia,1942,9886,0,0,77,
Australia,1943,9497,0,0,54,
Australia,1944,9277,0,0,60,
Australia,1945,8828,0,0,96,
Australia,1946,9568,0,0,100,
Australia,1947,10254,0,0,122,
Australia,1948,10347,0,0,140,
Australia,1949,10130,0,0,146,
Australia,1950,12028,2739,0,174,0
Australia,1951,12581,3363,0,168,0
Australia,1952,12835,3412,0,185,0
Australia,1953,13163,2842,0,217,0
Australia,1954,13956,4301,0,260,0
Australia,1955,13987,5033,0,271,0
Australia,1956,13986,5657,0,291,0
Australia,1957,14090,5934,0,316,0
Australia,1958,14371,6479,0,334,0
Australia,1959,15472,7021,0,356,0
Australia,1960,16083,7590,0,380,0
Australia,1961,16368,7946,0,389,0
Australia,1962,16781,8702,1,399,0
Australia,1963,17393,9732,2,424,0
Australia,1964,18323,10902,2,493,0
Australia,1965,19394,13075,2,517,0
Australia,1966,19487,12826,2,500,0
Australia,1967,20580,14149,2,520,0
Australia,1968,20902,15273,3,534,0
Australia,1969,21282,16793,133,586,0
Australia,1970,20277,18615,752,613,0
Australia,1971,20268,19638,1119,637,0
Australia,1972,21216,19464,1595,671,0
Australia,1973,21756,22390,1770,714,0
Australia,1974,23254,20936,2104,708,0
Australia,1975,23729,21269,2284,682,0
Australia,1976,24255,20047,2527,688,0
Australia,1977,26250,21260,3016,683,0
Australia,1978,28406,22238,3767,679,0
Australia,1979,29289,21749,4172,713,0
Australia,1980,32202,22441,4823,733,0
Australia,1981,33063,23383,5557,817,0
