Entity,Year,Tax Revenue (Piketty (2014)),Top marignal income tax rate (Piketty (2014))
United Kingdom,1912,,8.333333333
United Kingdom,1913,,8.333333333
United Kingdom,1914,,17.22222083
United Kingdom,1915,10.6,32.5
United Kingdom,1916,,42.5
United Kingdom,1917,,42.5
United Kingdom,1918,,52.5
United Kingdom,1919,,52.5
United Kingdom,1920,20.1,60
United Kingdom,1921,,60
United Kingdom,1922,,55
United Kingdom,1923,,52.5
United Kingdom,1924,,52.5
United Kingdom,1925,18.4,50
United Kingdom,1926,,50
United Kingdom,1927,,50
United Kingdom,1928,,50
United Kingdom,1929,,57.5
United Kingdom,1930,18.3,63.75
United Kingdom,1931,,66.25
United Kingdom,1932,,66.25
United Kingdom,1933,,66.25
United Kingdom,1934,,63.75
United Kingdom,1935,18.7,63.75
United Kingdom,1936,,65
United Kingdom,1937,,66.25
United Kingdom,1938,,75
United Kingdom,1939,,82.5
United Kingdom,1940,17.6,90
United Kingdom,1941,,97.5
United Kingdom,1942,,97.5
United Kingdom,1943,,97.5
United Kingdom,1944,,97.5
United Kingdom,1945,35.5,97.5
United Kingdom,1946,,97.5
United Kingdom,1947,,97.5
United Kingdom,1948,,97.5
United Kingdom,1949,,97.5
United Kingdom,1950,36.86,97.5
United Kingdom,1951,33.82,97.5
United Kingdom,1952,34.55,97.5
United Kingdom,1953,32.46,95
United Kingdom,1954,31.3,95
United Kingdom,1955,30.8,92.5
United Kingdom,1956,30.19,92.5
United Kingdom,1957,33.84,92.5
United Kingdom,1958,30.75,92.5
United Kingdom,1959,31.2,88.75
United Kingdom,1960,29.95,88.75
United Kingdom,1961,29.56,88.75
United Kingdom,1962,31.65,88.75
United Kingdom,1963,30.99,88.75
United Kingdom,1964,29.78,88.75
United Kingdom,1965,30.86,91.25
United Kingdom,1966,31.55,91.25
United Kingdom,1967,33.28,91.25
United Kingdom,1968,34.76,91.25
United Kingdom,1969,36.77,91.25
United Kingdom,1970,36.69,91.25
United Kingdom,1971,34.77,88.75
United Kingdom,1972,33.06,88.75
United Kingdom,1973,31.22,90
United Kingdom,1974,34.17,98
United Kingdom,1975,34.94,98
United Kingdom,1976,34.77,98
United Kingdom,1977,34.26,98
United Kingdom,1978,32.66,98
United Kingdom,1979,31.89,75
United Kingdom,1980,34.8,75
United Kingdom,1981,36.24,75
United Kingdom,1982,38.51,75
United Kingdom,1983,36.9,75
United Kingdom,1984,37.01,60
United Kingdom,1985,36.96,60
United Kingdom,1986,37.45,60
United Kingdom,1987,36.14,60
United Kingdom,1988,36.17,40
United Kingdom,1989,35.6,40
United Kingdom,1990,35.52,40
United Kingdom,1991,34.33,40
United Kingdom,1992,33.42,40
United Kingdom,1993,32.37,40
United Kingdom,1994,32.96,40
United Kingdom,1995,34.04,40
United Kingdom,1996,33.84,40
United Kingdom,1997,34.28,40
United Kingdom,1998,35.47,40
United Kingdom,1999,35.75,40
United Kingdom,2000,36.39,40
United Kingdom,2001,36.14,40
United Kingdom,2002,34.6,40
United Kingdom,2003,34.34,40
United Kingdom,2004,34.91,40
United Kingdom,2005,35.76,40
United Kingdom,2006,36.62,40
United Kingdom,2007,36.08,40
United Kingdom,2008,,40
United Kingdom,2009,,40
United Kingdom,2010,,50
United Kingdom,2011,,50
United Kingdom,2012,,50
United Kingdom,2013,,45
United States,1900,,0
United States,1901,,0
United States,1902,5.61,0
United States,1903,5.52,0
United States,1904,5.7,0
United States,1905,5.31,0
United States,1906,5.26,0
United States,1907,5.1,0
United States,1908,5.84,0
United States,1909,5.74,0
United States,1910,5.88,0
United States,1911,5.92,0
United States,1912,5.66,0
United States,1913,5.78,7
United States,1914,6.62,7
United States,1915,6.54,7
United States,1916,5.85,15
United States,1917,6.08,67
United States,1918,8.37,77
United States,1919,8.19,73
United States,1920,9.31,73
United States,1921,11.03,73
United States,1922,10.44,58
United States,1923,8.79,43.5
United States,1924,9.09,46
United States,1925,9.07,25
United States,1926,9.37,25
United States,1927,11.13,25
United States,1928,11.29,25
United States,1929,11.35,24
United States,1930,11.51,25
United States,1931,12.7,25
United States,1932,15.09,63
United States,1933,16.5,63
United States,1934,14.75,63
United States,1935,14.74,63
United States,1936,14.15,79
United States,1937,14.85,79
United States,1938,17.92,79
United States,1939,16.82,79
United States,1940,15.37,81.1
United States,1941,14.98,81
United States,1942,15.72,88
United States,1943,19.1,88
United States,1944,27.52,94
United States,1945,27.67,94
United States,1946,25.43,86.45
United States,1947,23.4,86.45
United States,1948,22.9,82.13
United States,1949,22.55,82.13
United States,1950,20.63,84.36
United States,1951,21.59,91
United States,1952,24.52,92
United States,1953,25.56,92
United States,1954,26.25,91
United States,1955,23.46,91
United States,1956,25.1,91
United States,1957,25.71,91
United States,1958,25.5,91
United States,1959,23.87,91
United States,1960,26.53,91
United States,1961,26.5,91
United States,1962,25.01,91
United States,1963,25.32,91
United States,1964,25.09,77
United States,1965,24.21,70
United States,1966,24.59,70
United States,1967,26.01,70
United States,1968,24.99,75.25
United States,1969,27.48,77
United States,1970,26.69,71.75
United States,1971,25.77,70
United States,1972,26.35,70
United States,1973,26.4,70
United States,1974,27.17,70
United States,1975,26.68,70
United States,1976,26.38,70
United States,1977,27.62,70
United States,1978,27.11,70
United States,1979,27.28,70
United States,1980,27.69,70
United States,1981,28.27,69.13
United States,1982,28.42,50
United States,1983,26.58,50
United States,1984,26.44,50
United States,1985,27.09,50
United States,1986,27.27,50
United States,1987,28.44,38.5
United States,1988,28.05,28
United States,1989,28.32,28
United States,1990,28.12,28
United States,1991,27.98,31
United States,1992,26.18,31
United States,1993,26.61,39.6
United States,1994,26.88,39.6
United States,1995,27.45,39.6
United States,1996,27.64,39.6
United States,1997,28.01,39.6
United States,1998,28.53,39.6
United States,1999,28.48,39.6
United States,2000,29.4,39.6
United States,2001,28.65,38.6
United States,2002,26.33,38.6
United States,2003,24.98,35
United States,2004,24.93,35
United States,2005,26.4,35
United States,2006,27.46,35
United States,2007,28.02,35
United States,2008,27.51,35
United States,2009,,35
United States,2010,,35
United States,2011,,35
United States,2012,,35
United States,2013,,39.6
