Entity,Year,Number of colonial or imperial conflicts,Number of conflicts between states,Number of civil conflicts,Number of civil conflicts with foreign state intervention,Number of conflicts (all types)
Americas,1977,0,0,4,0,4
Americas,1978,0,0,3,0,3
Americas,1979,0,0,4,0,4
Americas,1980,0,0,3,0,3
Americas,1981,0,0,3,0,3
Americas,1982,0,1,6,0,7
Americas,1983,0,1,5,0,6
Americas,1984,0,0,5,0,5
Americas,1985,0,0,5,0,5
Americas,1986,0,0,5,0,5
Americas,1987,0,0,6,0,6
Americas,1988,0,0,5,0,5
Americas,1989,0,1,8,0,9
Americas,1990,0,0,6,0,6
Americas,1991,0,0,5,0,5
Americas,1992,0,0,4,0,4
Americas,1993,0,0,3,0,3
Americas,1994,0,0,4,0,4
Americas,1995,0,1,3,0,4
Americas,1996,0,0,3,0,3
Americas,1997,0,0,2,0,2
Americas,1998,0,0,2,0,2
Americas,1999,0,0,2,0,2
Americas,2000,0,0,1,0,1
Americas,2001,0,1,1,1,3
Americas,2002,0,0,1,1,2
Americas,2003,0,1,1,1,3
Americas,2004,0,0,2,1,3
Americas,2005,0,0,1,1,2
Americas,2006,0,0,1,1,2
Americas,2007,0,0,2,1,3
Americas,2008,0,0,2,1,3
Americas,2009,0,0,2,1,3
Americas,2010,0,0,2,1,3
Americas,2011,0,0,1,1,2
Americas,2012,0,0,1,1,2
Americas,2013,0,0,1,1,2
Americas,2014,0,0,1,1,2
Americas,2015,0,0,1,1,2
Americas,2016,0,0,1,1,2
Americas,2017,0,0,0,1,1
Americas,2018,0,0,1,0,1
Americas,2019,0,0,1,1,2
Americas,2020,0,0,1,0,1
Asia & Oceania,1946,4,1,2,0,7
Asia & Oceania,1947,4,0,4,0,8
Asia & Oceania,1948,5,2,6,0,13
Asia & Oceania,1949,5,2,8,0,15
Asia & Oceania,1950,4,2,9,0,15
Asia & Oceania,1951,4,1,7,0,12
Asia & Oceania,1952,4,1,5,0,10
Asia & Oceania,1953,4,1,6,0,11
Asia & Oceania,1954,2,1,5,0,8
Asia & Oceania,1955,1,0,5,0,6
Asia & Oceania,1956,1,0,7,0,8
Asia & Oceania,1957,1,0,7,0,8
Asia & Oceania,1958,0,1,7,1,9
Asia & Oceania,1959,0,0,10,1,11
Asia & Oceania,1960,0,0,8,2,10
Asia & Oceania,1961,0,0,10,1,11
Asia & Oceania,1962,1,2,7,1,11
Asia & Oceania,1963,0,1,7,2,10
Asia & Oceania,1964,0,2,7,2,11
Asia & Oceania,1965,0,3,7,2,12
Asia & Oceania,1966,0,2,7,2,11
Asia & Oceania,1967,0,2,9,1,12
Asia & Oceania,1968,0,1,9,1,11
Asia & Oceania,1969,0,3,9,1,13
Asia & Oceania,1970,0,1,8,2,11
Asia & Oceania,1971,0,2,9,2,13
Asia & Oceania,1972,0,1,7,2,10
Asia & Oceania,1973,0,1,8,2,11
Asia & Oceania,1974,0,2,10,1,13
Asia & Oceania,1975,0,2,12,1,15
Asia & Oceania,1976,0,1,13,0,14
Asia & Oceania,1977,0,2,13,0,15
Asia & Oceania,1978,0,2,13,1,16
Asia & Oceania,1979,0,2,12,1,15
Asia & Oceania,1980,0,1,11,2,14
Asia & Oceania,1981,0,1,13,2,16
Asia & Oceania,1982,0,0,12,2,14
Asia & Oceania,1983,0,1,11,2,14
Asia & Oceania,1984,0,2,13,2,17
Asia & Oceania,1985,0,0,12,2,14
Asia & Oceania,1986,0,2,12,2,16
Asia & Oceania,1987,0,3,13,2,18
Asia & Oceania,1988,0,2,12,2,16
Asia & Oceania,1989,0,1,10,2,13
Asia & Oceania,1990,0,1,19,0,20
Asia & Oceania,1991,0,1,14,0,15
Asia & Oceania,1992,0,1,15,1,17
Asia & Oceania,1993,0,0,12,1,13
Asia & Oceania,1994,0,1,17,1,19
Asia & Oceania,1995,0,0,14,1,15
Asia & Oceania,1996,0,1,16,1,18
Asia & Oceania,1997,0,1,17,0,18
Asia & Oceania,1998,0,1,14,0,15
Asia & Oceania,1999,0,1,15,0,16
Asia & Oceania,2000,0,1,16,1,18
Asia & Oceania,2001,0,2,13,1,16
Asia & Oceania,2002,0,1,12,0,13
Asia & Oceania,2003,0,2,13,1,16
Asia & Oceania,2004,0,0,14,1,15
Asia & Oceania,2005,0,0,15,1,16
Asia & Oceania,2006,0,0,14,1,15
Asia & Oceania,2007,0,0,13,1,14
Asia & Oceania,2008,0,0,14,1,15
Asia & Oceania,2009,0,0,14,1,15
Asia & Oceania,2010,0,0,11,1,12
Asia & Oceania,2011,0,1,11,1,13
Asia & Oceania,2012,0,0,9,1,10
Asia & Oceania,2013,0,1,13,1,15
Asia & Oceania,2014,0,1,12,1,14
Asia & Oceania,2015,0,1,11,3,15
Asia & Oceania,2016,0,1,12,3,16
Asia & Oceania,2017,0,1,12,4,17
Asia & Oceania,2018,0,1,12,3,16
Asia & Oceania,2019,0,1,12,2,15
Asia & Oceania,2020,0,2,9,2,13
Europe,1946,0,2,5,0,7
Europe,1947,0,0,4,0,4
Europe,1948,0,0,4,0,4
Europe,1949,0,0,2,0,2
Europe,1950,0,0,1,0,1
Europe,1951,0,1,0,0,1
Europe,1952,0,1,0,0,1
Europe,1953,0,0,0,0,0
Europe,1954,0,0,0,0,0
Europe,1955,1,0,0,0,1
Europe,1956,1,2,0,0,3
Europe,1957,1,0,0,0,1
Europe,1958,1,0,0,0,1
Europe,1959,1,0,0,0,1
Europe,1960,0,0,0,0,0
Europe,1961,0,1,1,0,2
Europe,1962,0,1,1,0,2
Europe,1963,0,0,0,0,0
Europe,1964,0,0,0,0,0
Europe,1965,0,0,0,0,0
Europe,1966,0,0,0,0,0
Europe,1967,0,0,0,0,0
Europe,1968,0,0,0,0,0
Europe,1969,0,1,0,0,1
Europe,1970,0,0,0,0,0
Europe,1971,0,0,1,0,1
Europe,1972,0,0,1,0,1
Europe,1973,0,0,1,0,1
Europe,1974,0,1,1,0,2
Europe,1975,0,0,1,0,1
Europe,1976,0,0,1,0,1
Europe,1977,0,0,1,0,1
Europe,1978,0,0,2,0,2
Europe,1979,0,1,2,0,3
Europe,1980,0,0,2,0,2
Europe,1981,0,0,2,0,2
Europe,1982,0,1,2,0,3
Europe,1983,0,0,1,0,1
Europe,1984,0,0,1,0,1
Europe,1985,0,0,2,0,2
Europe,1986,0,0,2,0,2
Europe,1987,0,0,2,0,2
Europe,1988,0,0,1,0,1
Europe,1989,0,0,2,0,2
Europe,1990,0,0,3,0,3
Europe,1991,0,0,6,1,7
Europe,1992,0,0,5,3,8
Europe,1993,0,0,5,4,9
Europe,1994,0,0,5,0,5
Europe,1995,0,0,5,0,5
Europe,1996,0,0,1,0,1
Europe,1997,0,0,0,1,1
Europe,1998,0,0,2,1,3
Europe,1999,0,0,2,1,3
Europe,2000,0,0,1,0,1
Europe,2001,0,1,2,0,3
Europe,2002,0,0,1,0,1
Europe,2003,0,1,1,0,2
Europe,2004,0,0,2,0,2
Europe,2005,0,0,1,1,2
Europe,2006,0,0,1,0,1
Europe,2007,0,0,2,0,2
Europe,2008,0,0,1,2,3
Europe,2009,0,0,1,0,1
Europe,2010,0,0,1,0,1
Europe,2011,0,0,1,0,1
Europe,2012,0,0,1,1,2
Europe,2013,0,0,1,0,1
Europe,2014,0,0,2,4,6
Europe,2015,0,0,2,2,4
Europe,2016,0,0,1,2,3
Europe,2017,0,0,1,2,3
Europe,2018,0,0,1,1,2
Europe,2019,0,0,1,1,2
Europe,2020,0,0,1,2,3
Middle East,1946,1,0,0,2,3
Middle East,1947,0,0,0,0,0
Middle East,1948,0,1,1,0,2
Middle East,1949,0,1,1,0,2
Middle East,1950,0,0,1,0,1
Middle East,1951,0,1,1,0,2
Middle East,1952,0,1,1,0,2
Middle East,1953,0,0,1,0,1
Middle East,1954,0,0,1,0,1
Middle East,1955,0,0,1,0,1
Middle East,1956,0,1,1,0,2
Middle East,1957,0,0,1,1,2
Middle East,1958,0,0,3,0,3
Middle East,1959,0,0,2,0,2
Middle East,1960,0,0,1,0,1
Middle East,1961,0,0,2,0,2
Middle East,1962,0,0,2,1,3
Middle East,1963,0,0,3,1,4
Middle East,1964,1,0,2,1,4
Middle East,1965,1,0,2,1,4
Middle East,1966,1,0,4,1,6
Middle East,1967,1,3,3,1,8
Middle East,1968,0,0,3,1,4
Middle East,1969,0,1,2,2,5
Middle East,1970,0,1,2,2,5
Middle East,1971,0,0,1,1,2
Middle East,1972,0,1,1,1,3
Middle East,1973,0,2,2,1,5
Middle East,1974,0,2,2,1,5
Middle East,1975,0,0,3,1,4
Middle East,1976,0,0,3,0,3
Middle East,1977,0,0,2,0,2
Middle East,1978,0,0,2,0,2
Middle East,1979,0,1,8,0,9
Middle East,1980,0,1,7,0,8
Middle East,1981,0,1,6,0,7
Middle East,1982,0,1,7,1,9
Middle East,1983,0,1,4,1,6
Middle East,1984,0,1,5,1,7
Middle East,1985,0,1,5,0,6
Middle East,1986,0,1,7,0,8
Middle East,1987,0,1,6,0,7
Middle East,1988,0,1,5,0,6
Middle East,1989,0,0,3,1,4
Middle East,1990,0,1,5,1,7
Middle East,1991,0,1,7,0,8
Middle East,1992,0,0,6,0,6
Middle East,1993,0,0,7,0,7
Middle East,1994,0,0,6,0,6
Middle East,1995,0,0,7,0,7
Middle East,1996,0,0,7,0,7
Middle East,1997,0,0,4,0,4
Middle East,1998,0,0,3,0,3
Middle East,1999,0,0,3,0,3
Middle East,2000,0,0,3,0,3
Middle East,2001,0,0,3,0,3
Middle East,2002,0,0,2,0,2
Middle East,2003,0,1,2,0,3
Middle East,2004,0,0,2,1,3
Middle East,2005,0,0,4,1,5
Middle East,2006,0,0,4,1,5
Middle East,2007,0,0,3,1,4
Middle East,2008,0,0,3,1,4
Middle East,2009,0,0,3,2,5
Middle East,2010,0,0,3,2,5
Middle East,2011,0,0,4,2,6
Middle East,2012,0,0,5,1,6
Middle East,2013,0,0,5,1,6
Middle East,2014,0,0,6,2,8
Middle East,2015,0,0,6,4,10
Middle East,2016,0,0,7,4,11
Middle East,2017,0,0,7,4,11
Middle East,2018,0,1,7,4,12
Middle East,2019,0,1,5,4,10
Middle East,2020,0,1,4,4,9
World,1946,5,2,8,2,17
World,1947,5,0,9,0,14
World,1948,5,3,12,0,20
World,1949,5,3,12,0,20
World,1950,5,2,11,0,18
World,1951,4,2,8,0,14
World,1952,5,2,7,0,14
World,1953,7,1,8,0,16
World,1954,6,1,8,0,15
World,1955,6,0,7,0,13
World,1956,6,2,9,0,17
World,1957,6,1,9,1,17
World,1958,5,1,11,1,18
World,1959,3,0,12,1,16
World,1960,1,0,11,3,15
World,1961,2,1,16,2,21
World,1962,3,2,13,2,20
World,1963,2,2,13,3,20
World,1964,4,3,14,4,25
World,1965,4,3,17,3,27
World,1966,4,2,19,3,28
World,1967,4,5,22,2,33
World,1968,3,1,20,2,26
World,1969,3,5,17,4,29
World,1970,3,2,16,5,26
World,1971,3,2,20,4,29
World,1972,3,2,17,4,26
World,1973,3,3,17,3,26
World,1974,2,4,20,2,28
World,1975,0,2,24,4,30
World,1976,0,1,29,2,32
World,1977,0,3,29,4,36
World,1978,0,4,29,5,38
World,1979,0,3,34,4,41
World,1980,0,3,30,8,41
World,1981,0,2,33,7,42
World,1982,0,2,37,5,44
World,1983,0,4,33,6,43
World,1984,0,3,34,5,42
World,1985,0,2,32,4,38
World,1986,0,3,36,5,44
World,1987,0,5,37,5,47
World,1988,0,3,32,4,39
World,1989,0,2,33,5,40
World,1990,0,2,44,3,49
World,1991,0,2,49,2,53
World,1992,0,1,44,5,50
World,1993,0,0,37,6,43
World,1994,0,1,46,2,49
World,1995,0,1,39,2,42
World,1996,0,2,36,3,41
World,1997,0,1,34,4,39
World,1998,0,2,32,6,40
World,1999,0,2,32,6,40
World,2000,0,2,32,4,38
World,2001,0,2,32,5,39
World,2002,0,1,29,3,33
World,2003,0,2,28,3,33
World,2004,0,0,29,4,33
World,2005,0,0,28,5,33
World,2006,0,0,28,5,33
World,2007,0,0,31,4,35
World,2008,0,1,30,7,38
World,2009,0,0,30,7,37
World,2010,0,0,23,8,31
World,2011,0,1,27,9,37
World,2012,0,1,23,9,33
World,2013,0,1,27,10,38
World,2014,0,1,28,15,44
World,2015,0,1,31,20,52
World,2016,0,2,34,18,54
World,2017,0,1,29,21,51
World,2018,0,2,31,19,52
World,2019,0,2,28,25,55
World,2020,0,3,28,25,56
