Entity,Year,Manuscript production per century,Production of printed books per half century,Annual per capita consumption of books
Germany,1450,515116000,,
Germany,1475,,3227000,0.0041
Germany,1525,,15603000,0.0212
Germany,1575,,32112000,0.0434
Germany,1625,,40553000,0.054
Germany,1675,,57708000,0.0787
Germany,1725,,78205000,0.0997
Germany,1775,,116814000,0.1224
Great Britain,1475,,208000,0.002
Great Britain,1525,,2807000,0.0146
Great Britain,1575,,7999000,0.0273
Great Britain,1625,,32912000,0.08
Great Britain,1675,,89306000,0.1918
Great Britain,1725,,89259000,0.1683
Great Britain,1775,,138355000,0.192
Iberia,550,1594000,,
Iberia,650,2512000,,
Iberia,750,3770000,,
Iberia,850,21693000,,
Iberia,950,48763000,,
Iberia,1050,40871000,,
Iberia,1150,114422000,,
Iberia,1250,237818000,,
Iberia,1350,344284000,,
Iberia,1450,390478000,,
Ireland,1475,,0,0
Ireland,1525,,0,0
Ireland,1575,,4000,0.0001
Ireland,1625,,268000,0.0038
Ireland,1675,,1341000,0.0142
Ireland,1725,,8586000,0.0617
Ireland,1775,,17598000,0.0777
Italy,550,10194000,,
Italy,650,4478000,,
Italy,750,6536000,,
Italy,850,20307000,,
Italy,950,15215000,,
Italy,1050,38768000,,
Italy,1150,95207000,,
Italy,1250,253013000,,
Italy,1350,879364000,,
Italy,1450,1423668000,,
Italy,1475,,4532000,0.0068
Italy,1525,,16719000,0.0213
Italy,1575,,41641000,0.051
Italy,1625,,35067000,0.0421
Italy,1675,,43293000,0.0563
Italy,1725,,37930000,0.0484
Italy,1775,,75500000,0.0865
Netherlands,550,0,,
Netherlands,650,26000,,
Netherlands,750,60000,,
Netherlands,850,82000,,
Netherlands,950,58000,,
Netherlands,1050,354000,,
Netherlands,1150,1731000,,
Netherlands,1250,2066000,,
Netherlands,1350,13179000,,
Netherlands,1450,171974000,,
Netherlands,1475,,473000,0.0079
Netherlands,1525,,1045000,0.0142
Netherlands,1575,,2842000,0.0335
Netherlands,1625,,15009000,0.139
Netherlands,1675,,30149000,0.2594
Netherlands,1725,,40950000,0.3913
Netherlands,1775,,53063000,0.4883
Other countries,1475,,22000,0
Other countries,1525,,530000,0.0011
Other countries,1575,,718000,0.0015
Other countries,1625,,1000000,0.002
Other countries,1675,,2310000,0.0045
Other countries,1725,,2974000,0.0048
Other countries,1775,,14067000,0.0175
Poland,1475,,1000,0
Poland,1525,,63000,0.0002
Poland,1575,,146000,0.0005
Poland,1625,,1807000,0.0057
Poland,1675,,2062000,0.0062
Poland,1725,,3468000,0.0099
Poland,1775,,9208000,0.0225
Russia,1475,,0,0
Russia,1525,,0,0
Russia,1575,,0,0
Russia,1625,,123000,0
Russia,1675,,165000,0.0001
Russia,1725,,1275000,0.0008
Russia,1775,,12367000,0.0058
Spain,1475,,463000,0.0009
Spain,1525,,2205000,0.0042
Spain,1575,,2306000,0.0043
Spain,1625,,4631000,0.0088
Spain,1675,,7088000,0.0143
Spain,1725,,9124000,0.0185
Spain,1775,,16304000,0.0283
Sweden,1475,,6000,0.0002
Sweden,1525,,34000,0.0008
Sweden,1575,,49000,0.0011
Sweden,1625,,2080000,0.0397
Sweden,1675,,3756000,0.0585
Sweden,1725,,6654000,0.0838
Sweden,1775,,21305000,0.2089
Switzerland,550,0,,
Switzerland,650,30000,,
Switzerland,750,594000,,
Switzerland,850,5330000,,
Switzerland,950,1799000,,
Switzerland,1050,1090000,,
Switzerland,1150,2355000,,
Switzerland,1250,3821000,,
Switzerland,1350,6349000,,
Switzerland,1450,10652000,,
Switzerland,1475,,400000,0.0093
Switzerland,1525,,3312000,0.0481
Switzerland,1575,,5786000,0.0785
Switzerland,1625,,1988000,0.0093
Switzerland,1675,,1656000,0.0146
Switzerland,1725,,1277000,0.0142
Switzerland,1775,,4615000,0.0323
Western Europe,1475,,,0.0031
Western Europe,1525,,,0.0175
Western Europe,1575,,,0.0291
Western Europe,1625,,,0.0406
Western Europe,1675,,,0.0667
Western Europe,1725,,,0.0667
Western Europe,1775,,,0.1224
