Entity,Year,Other Renewables (BP Statistics (2016))
Middle East,1990,0.000226275
Middle East,1991,0.000226275
Middle East,1992,0.000226275
Middle East,1993,0.000226275
Middle East,1994,0.000226275
Middle East,1995,0.000226275
Middle East,1996,0.000226275
Middle East,1997,0.000678825
Middle East,1998,0.000678825
Middle East,1999,0.008598452
Middle East,2000,0.009729828
Middle East,2001,0.011789159
Middle East,2002,0.011087478
Middle East,2003,0.010861203
Middle East,2004,0.015160429
Middle East,2005,0.020364755
Middle East,2006,0.032583609
Middle East,2007,0.03756166
Middle East,2008,0.050914174
Middle East,2009,0.073340547
Middle East,2010,0.081690236
Middle East,2011,0.13725073
Middle East,2012,0.199955456
Middle East,2013,0.249875125
Middle East,2014,0.362007055
Middle East,2015,0.493358226
North America,1965,0.078064896
North America,1966,0.086663348
North America,1967,0.107254378
North America,1968,0.142327013
North America,1969,0.180793773
North America,1970,0.184866724
North America,1971,0.190976151
North America,1972,0.41589356
North America,1973,0.569751278
North America,1974,0.736616559
North America,1975,0.924451006
North America,1976,1.20379812
North America,1977,1.332194231
North America,1978,1.171819057
North America,1979,1.566738062
North America,1980,1.802273409
North America,1981,2.081462525
North America,1982,1.998929251
North America,1983,2.305642195
North America,1984,2.880338688
North America,1985,3.262996235
North America,1986,3.884570256
North America,1987,4.398765722
North America,1988,4.416446361
North America,1989,13.92514001
North America,1990,16.48094334
North America,1991,17.53692028
North America,1992,18.81588809
North America,1993,19.47917564
North America,1994,19.6497213
North America,1995,18.98081757
North America,1996,19.37679045
North America,1997,19.82315273
North America,1998,19.91131849
North America,1999,20.67195104
North America,2000,21.05266219
North America,2001,20.23393966
North America,2002,22.26677813
North America,2003,22.62084033
North America,2004,23.52752652
North America,2005,24.93320947
North America,2006,27.02561588
North America,2007,29.3554731
North America,2008,33.98138707
North America,2009,39.01540437
North America,2010,45.32768312
North America,2011,52.41211683
North America,2012,58.48704659
North America,2013,68.10854533
North America,2014,76.09190113
North America,2015,82.61726182
