Entity,Year,"Age-standardized cancer death rate attributed to tobacco (per 100,000)",Age-standardized share of cancer deaths attributed to tobacco
Austria,2000,40,25
Austria,2005,38.1,25.6
Austria,2006,37.7,25.8
Austria,2010,36.7,26.1
Austria,2016,33,24.7
Azerbaijan,1990,33.1,25.7
Azerbaijan,1995,29.3,22.9
Azerbaijan,2000,25.3,20.5
Azerbaijan,2005,25.4,20.1
Azerbaijan,2006,26,20.5
Azerbaijan,2010,29.1,22.5
Azerbaijan,2016,25.3,22.2
Bahamas,1990,29.8,16
Bahamas,1995,28.3,15.5
Bahamas,2000,24.4,13.7
Bahamas,2005,20.3,12.4
Bahamas,2006,19.1,12
Bahamas,2010,17.9,11.2
Bahamas,2016,18.5,11.1
Bahrain,1990,51.8,33.9
Bahrain,1995,43.8,29.6
Bahrain,2000,35.7,26.6
Bahrain,2005,31,25
Bahrain,2006,29.6,24.5
Bahrain,2010,23.3,21.6
Bahrain,2016,20.2,19.3
Bangladesh,1990,34.5,29
Bangladesh,1995,32.2,28.9
Bangladesh,2000,28.7,28.6
Bangladesh,2005,24.1,26.9
Bangladesh,2006,24.7,27.7
Bangladesh,2010,27,30.7
Bangladesh,2016,34.5,38.3
Barbados,1990,14.2,8
Barbados,1995,14.5,8.1
Barbados,2000,11.2,6.7
Barbados,2005,9.7,6
Barbados,2006,9.5,6
Barbados,2010,8.6,5.5
Barbados,2016,9.1,5.7
Belarus,1990,48.4,30.3
Belarus,1995,60.2,33
Belarus,2000,53.7,31.1
Belarus,2005,49.8,29.7
Belarus,2006,47.5,29
Belarus,2010,43.3,27.7
Belarus,2016,34.2,25.5
Belgium,1990,72.8,35.4
Belgium,1995,68.6,35.1
Belgium,2000,60.5,34.4
Belgium,2005,56.3,33.9
Belgium,2006,55.4,33.8
Belgium,2010,55.2,34.3
Belgium,2016,50.3,33
Belize,1990,12.2,10.2
Belize,1995,19.9,14.3
Belize,2000,25.9,15.9
Belize,2005,27.2,16.8
Belize,2006,26.4,16.5
Belize,2010,22.4,14.8
Belize,2016,24.7,16
Benin,1990,9.1,7.4
Benin,1995,9.6,7.6
Benin,2000,10.4,8.2
Benin,2005,11.4,8.9
Benin,2006,11.7,9.1
Benin,2010,13,9.7
Benin,2016,14.4,10.4
Bermuda,1990,98.6,33.2
Bermuda,1995,96.9,33
Bermuda,2000,98.2,32.9
Bermuda,2005,70.5,29.1
Bermuda,2006,69.1,29.3
Bermuda,2010,58.5,27.4
Bermuda,2016,45.3,24.9
Bhutan,1990,9.2,9.4
Bhutan,1995,8.2,8.7
Bhutan,2000,6.4,7.4
Bhutan,2005,6.1,7.4
Bhutan,2006,6,7.3
Bhutan,2010,5.9,7.3
Bhutan,2016,6.2,7.8
Bolivia,1990,17.4,9
Bolivia,1995,16.3,8.9
Bolivia,2000,13.5,8.2
Bolivia,2005,13.7,8.8
Bolivia,2006,13.5,8.7
Bolivia,2010,13.3,8.6
Bolivia,2016,14,9.2
Bosnia and Herzegovina,1990,58.8,35.9
Bosnia and Herzegovina,1995,57.5,35.4
Bosnia and Herzegovina,2000,55.7,35.4
Bosnia and Herzegovina,2005,56.7,34.3
Bosnia and Herzegovina,2006,56.9,34.3
Bosnia and Herzegovina,2010,56.5,34.3
Bosnia and Herzegovina,2016,54.4,33.6
Botswana,1990,33.4,23.6
Botswana,1995,40,25.7
Botswana,2000,49.4,27.2
Botswana,2005,41.9,24.9
Botswana,2006,40.3,24.8
Botswana,2010,35.7,24.2
Botswana,2016,32.2,22
Brazil,1990,27.9,19.5
Brazil,1995,29.3,20.1
Brazil,2000,29,19.8
Brazil,2005,26.6,19.1
Brazil,2006,26,18.8
Brazil,2010,23.3,17.8
Brazil,2016,21.1,17
Brunei,1990,31.4,20.3
Brunei,1995,29,19.6
Brunei,2000,28.1,20
Brunei,2005,28.6,20.4
Brunei,2006,29,20.5
Brunei,2010,30.4,21
Brunei,2016,32.1,21.4
Bulgaria,1990,36.4,25.7
Bulgaria,1995,39.6,27.2
Bulgaria,2000,37.4,26.1
Bulgaria,2005,41.9,27.7
Bulgaria,2006,42.5,27.8
Bulgaria,2010,41.4,27.7
Bulgaria,2016,37,26.3
Burkina Faso,1990,6.4,4.5
Burkina Faso,1995,6.5,4.6
Burkina Faso,2000,6.4,4.7
Burkina Faso,2005,5.3,4
Burkina Faso,2006,5.4,4
Burkina Faso,2010,5.6,4.2
Burkina Faso,2016,6.5,4.6
Burundi,1990,13.8,7.7
Burundi,1995,13.3,7.5
Burundi,2000,8.8,5.6
Burundi,2005,6.5,4.5
Burundi,2006,6.4,4.5
Burundi,2010,6.1,4.4
Burundi,2016,6.8,4.8
Cambodia,1990,33.4,24
Cambodia,1995,35.4,24.7
Cambodia,2000,35.9,24.6
Cambodia,2005,36.9,25.4
Cambodia,2006,36.4,25.4
Cambodia,2010,36.8,26
Cambodia,2016,37.6,26.8
Cameroon,1990,14.2,9.9
Cameroon,1995,14.8,10
Cameroon,2000,17.2,11
Cameroon,2005,18.3,11.6
Cameroon,2006,18.4,11.7
Cameroon,2010,18.6,11.7
Cameroon,2016,19.6,12.1
Canada,1990,67.9,36.3
Canada,1995,68.1,37
Canada,2000,63.2,36.2
Canada,2005,60.2,36.4
Canada,2006,59.5,36.4
Canada,2010,52.8,34.4
Canada,2016,49.4,33.4
Cape Verde,1990,23.9,16
Cape Verde,1995,28.4,18.5
Cape Verde,2000,30.6,19
Cape Verde,2005,32.1,19.8
Cape Verde,2006,32.5,19.9
Cape Verde,2010,33.7,20.5
Cape Verde,2016,31.9,19.8
Caribbean,1990,31.5,21.6
Caribbean,1995,30.8,21.2
Caribbean,2000,29.9,21.3
Caribbean,2005,29.7,21.5
Caribbean,2006,29.9,21.6
Caribbean,2010,29.5,21.4
Caribbean,2016,28.9,21.4
Central African Republic,1990,16.6,11.5
Central African Republic,1995,17.6,11.9
Central African Republic,2000,18.2,12.3
Central African Republic,2005,18.2,12.4
Central African Republic,2006,18.3,12.4
Central African Republic,2010,18,12.4
Central African Republic,2016,17.5,12.3
Central Asia,1990,42.1,29.7
Central Asia,1995,40.1,28.5
Central Asia,2000,31.8,24.8
Central Asia,2005,30.3,23.7
Central Asia,2006,29.9,23.5
Central Asia,2010,26.4,21.8
Central Asia,2016,21.9,20.1
Central Europe,1990,58.5,32.2
Central Europe,1995,62,33.1
Central Europe,2000,61.5,33.1
Central Europe,2005,61.2,33.4
Central Europe,2006,61.1,33.4
Central Europe,2010,59.7,33.6
Central Europe,2016,51.8,31.4
Central Sub-Saharan Africa,1990,10.5,8.4
Central Sub-Saharan Africa,1995,10.1,8
Central Sub-Saharan Africa,2000,9.3,7.6
Central Sub-Saharan Africa,2005,8.1,6.8
Central Sub-Saharan Africa,2006,8.2,6.8
Central Sub-Saharan Africa,2010,8.5,7.1
Central Sub-Saharan Africa,2016,10.2,8.4
Chad,1990,6.1,5.1
Chad,1995,6.5,5.4
Chad,2000,8.4,6.8
Chad,2005,8.8,7.1
Chad,2006,9,7.3
Chad,2010,10.6,8.3
Chad,2016,11.7,9.1
Chile,1990,28.8,16.1
Chile,1995,26.9,15.7
Chile,2000,22.6,14.1
Chile,2005,21.8,14.3
Chile,2006,21.4,14.4
Chile,2010,21,14.6
Chile,2016,19.5,14.3
China,1990,37.8,18.3
China,1995,37.8,18.6
China,2000,42.2,20.8
China,2005,44.9,23.4
China,2006,43.1,23.2
China,2010,41.3,23.9
China,2016,34.5,22
Colombia,1990,21.3,14.8
Colombia,1995,21.9,15.3
Colombia,2000,19.9,14.7
Colombia,2005,18.8,14.7
Colombia,2006,18.9,14.8
Colombia,2010,16.2,13.6
Colombia,2016,12.6,11.5
Comoros,1990,8.3,5.5
Comoros,1995,8.4,5.5
Comoros,2000,6.6,4.5
Comoros,2005,5.7,4.2
Comoros,2006,5.8,4.2
Comoros,2010,6.1,4.4
Comoros,2016,6.3,4.5
Congo,1990,27.6,15.7
Congo,1995,27.7,15.7
Congo,2000,23,14
Congo,2005,17.2,11.4
Congo,2006,16.9,11.2
Congo,2010,15.8,10.7
Congo,2016,16.3,11.1
Costa Rica,1990,14.9,9.7
Costa Rica,1995,13,8.9
Costa Rica,2000,11.1,8.4
Costa Rica,2005,8.2,6.9
Costa Rica,2006,7.5,6.4
Costa Rica,2010,6,5.4
Costa Rica,2016,5.8,5.3
Cote d'Ivoire,1990,5.6,4.4
Cote d'Ivoire,1995,7.8,5.7
Cote d'Ivoire,2000,7.5,5.3
Cote d'Ivoire,2005,6.6,4.7
Cote d'Ivoire,2006,6.5,4.7
Cote d'Ivoire,2010,6.2,4.5
Cote d'Ivoire,2016,6.4,4.5
Croatia,1990,64.8,32.8
Croatia,1995,64,33
Croatia,2000,68.4,34
Croatia,2005,64.1,33.2
Croatia,2006,63.5,33
Croatia,2010,59.7,31.8
Croatia,2016,54.1,30
Cuba,1990,50,31.2
Cuba,1995,49.2,31
Cuba,2000,50.2,32.4
Cuba,2005,52.9,33.6
Cuba,2006,53.2,33.7
Cuba,2010,52.1,33.4
Cuba,2016,50.8,33.2
Cyprus,1990,25.9,19.2
Cyprus,1995,24.8,19.2
Cyprus,2000,23.7,19
Cyprus,2005,28.7,21.7
Cyprus,2006,28,21.6
Cyprus,2010,30.2,23.2
Cyprus,2016,27.5,21.8
Czech Republic,1990,72.1,32.9
Czech Republic,1995,68.7,31.9
Czech Republic,2000,64.6,31.2
Czech Republic,2005,58.8,30
Czech Republic,2006,57.2,29.8
Czech Republic,2010,52.7,29.3
Czech Republic,2016,40.7,25.9
Democratic Republic of Congo,1990,7.2,6.1
Democratic Republic of Congo,1995,6.8,5.9
Democratic Republic of Congo,2000,6.3,5.7
Democratic Republic of Congo,2005,5.4,4.9
Democratic Republic of Congo,2006,5.5,5
Democratic Republic of Congo,2010,6,5.4
Democratic Republic of Congo,2016,8.1,7
Denmark,1990,70.4,35.3
Denmark,1995,77.7,36.3
Denmark,2000,73.3,35.5
Denmark,2005,71.6,35.8
Denmark,2006,70.4,35.6
Denmark,2010,64.6,34.6
Denmark,2016,54.6,32.3
Djibouti,1990,6.1,4.8
Djibouti,1995,6,4.5
Djibouti,2000,5.8,4.4
Djibouti,2005,5.9,4.4
Djibouti,2006,6,4.4
Djibouti,2010,6.5,4.7
Djibouti,2016,6.9,4.9
Dominica,1990,27.4,13.1
Dominica,1995,31,13.9
Dominica,2000,26.2,12.5
Dominica,2005,24.2,11.9
Dominica,2006,24.3,11.9
Dominica,2010,25,12.3
Dominica,2016,25.8,12.7
Dominican Republic,1990,13.1,12.5
Dominican Republic,1995,14.9,12.9
Dominican Republic,2000,14.6,12.9
Dominican Republic,2005,12.5,11.7
Dominican Republic,2006,12.5,11.6
Dominican Republic,2010,12,11.5
Dominican Republic,2016,12.2,11.7
East Asia,1990,39,19
East Asia,1995,39.4,19.4
East Asia,2000,43.8,21.6
East Asia,2005,46.3,24.1
East Asia,2006,44.5,24
East Asia,2010,42.6,24.6
East Asia,2016,35.9,22.8
Eastern Europe,1990,55.2,32.5
Eastern Europe,1995,66,34.1
Eastern Europe,2000,51.9,30.4
Eastern Europe,2005,48.6,28.9
Eastern Europe,2006,45,27.9
Eastern Europe,2010,39.4,26
Eastern Europe,2016,34.6,24.3
Eastern Sub-Saharan Africa,1990,6.7,4.5
Eastern Sub-Saharan Africa,1995,6.1,4.1
Eastern Sub-Saharan Africa,2000,5.4,3.7
Eastern Sub-Saharan Africa,2005,5.2,3.7
Eastern Sub-Saharan Africa,2006,5.3,3.8
Eastern Sub-Saharan Africa,2010,5.6,4
Eastern Sub-Saharan Africa,2016,6.5,4.6
Ecuador,1990,7.1,5.3
Ecuador,1995,8.4,6.5
Ecuador,2000,7.6,6.2
Ecuador,2005,7.8,6.6
Ecuador,2006,7.6,6.4
Ecuador,2010,7.1,6.2
Ecuador,2016,5.7,5.3
Egypt,1990,4.3,5.6
Egypt,1995,4.6,6
Egypt,2000,5,6.5
Egypt,2005,6.1,7.4
Egypt,2006,6.3,7.6
Egypt,2010,7.2,8.3
Egypt,2016,6.7,8.1
El Salvador,1990,4.6,4.6
El Salvador,1995,4.5,4.2
El Salvador,2000,4.8,4.5
El Salvador,2005,5.4,5.2
El Salvador,2006,5.3,5.1
El Salvador,2010,4.9,4.9
El Salvador,2016,5.2,5.3
England,1990,70.2,35.5
England,1995,64.8,34.2
England,2000,58.5,32.8
England,2005,54.4,32.2
England,2006,53.1,31.9
England,2010,49.5,31.1
England,2016,47.8,30.6
Equatorial Guinea,1990,17.3,11.2
Equatorial Guinea,1995,15.7,10.4
Equatorial Guinea,2000,18.3,12.3
Equatorial Guinea,2005,16.8,12
Equatorial Guinea,2006,17.6,12.3
Equatorial Guinea,2010,17.6,12.5
Equatorial Guinea,2016,17.3,12.8
Eritrea,1990,8,4.8
Eritrea,1995,5.3,3.4
Eritrea,2000,5,3.2
Eritrea,2005,5.7,3.6
Eritrea,2006,5.6,3.6
Eritrea,2010,5.6,3.6
Eritrea,2016,6,3.8
Estonia,1990,56.6,33.8
Estonia,1995,65.9,34.7
Estonia,2000,55.1,31.2
Estonia,2005,52,30.3
Estonia,2006,52.3,30.4
Estonia,2010,40.9,26.8
Estonia,2016,36.3,25.1
Ethiopia,1990,10.2,5.8
Ethiopia,1995,7.3,4.3
Ethiopia,2000,5.2,3.2
Ethiopia,2005,4.3,2.9
Ethiopia,2006,4.5,3
Ethiopia,2010,5,3.3
Ethiopia,2016,6.3,4.1
Fiji,1990,8.2,6.8
Fiji,1995,7.5,6.4
Fiji,2000,6.9,6.1
Fiji,2005,7.2,6.3
Fiji,2006,7.5,6.4
Fiji,2010,7.1,5.9
Fiji,2016,7,5.6
Finland,1990,41.6,26.5
Finland,1995,36.3,24.3
Finland,2000,33.4,23.3
Finland,2005,31.1,22.9
Finland,2006,30.9,23
Finland,2010,29.6,22.7
Finland,2016,23.6,20.3
France,1990,53.9,28.6
France,1995,53.2,28.9
France,2000,51.8,29.3
France,2005,49.6,29.4
France,2006,49.5,29.7
France,2010,48.8,30.5
France,2016,42.5,28.6
Gabon,1990,21.9,13.3
Gabon,1995,22,13.1
Gabon,2000,17.8,10.6
Gabon,2005,14.2,8.7
Gabon,2006,13.6,8.4
Gabon,2010,11.2,7.3
Gabon,2016,11.2,7.5
Gambia,1990,5.4,4.7
Gambia,1995,5.9,4.8
Gambia,2000,6.7,5.4
Gambia,2005,7,5.7
Gambia,2006,7.2,5.8
Gambia,2010,7.1,5.8
Gambia,2016,6.8,5.5
Georgia,1990,28.1,25.3
Georgia,1995,18.9,20.2
Georgia,2000,18.9,20.3
Georgia,2005,24,22.3
Georgia,2006,24.1,22.4
Georgia,2010,30.5,25.1
Georgia,2016,31.5,25.5
Germany,1990,49.8,27.8
Germany,1995,49.8,28.5
Germany,2000,46.2,27.9
Germany,2005,43.1,27.6
Germany,2006,42.7,27.7
Germany,2010,42,27.8
Germany,2016,38.4,26.7
Ghana,1990,3.6,2.9
Ghana,1995,3.8,2.9
Ghana,2000,3.8,2.9
Ghana,2005,4.1,3.5
Ghana,2006,4.1,3.5
Ghana,2010,4.3,3.6
Ghana,2016,4.8,3.9
Greece,1990,56,34.7
Greece,1995,56.5,34.9
Greece,2000,55.1,34.5
Greece,2005,52.5,34.1
Greece,2006,51.4,33.9
Greece,2010,48.8,33.6
Greece,2016,45.1,32.5
Greenland,1990,279.7,57.6
Greenland,1995,265.5,57.7
Greenland,2000,268.6,57.7
Greenland,2005,250.8,57
Greenland,2006,236.4,56.8
Greenland,2010,213,57
Greenland,2016,198.9,57.1
Grenada,1990,16.9,10.1
Grenada,1995,17.5,10.1
Grenada,2000,18.9,10.3
Grenada,2005,21.5,11.1
Grenada,2006,22,11.3
Grenada,2010,21.8,10.9
Grenada,2016,23.3,11.6
Guam,1990,58,40.9
Guam,1995,54,38.7
Guam,2000,51.4,37.8
Guam,2005,57.4,39.5
Guam,2006,59.3,39.8
Guam,2010,65.1,41.1
Guam,2016,62.9,40.5
Guatemala,1990,4,4.1
Guatemala,1995,5.2,4.8
Guatemala,2000,6.8,5.7
Guatemala,2005,6.5,5.2
Guatemala,2006,5.7,4.6
Guatemala,2010,3.8,3.2
Guatemala,2016,3.5,3
Guinea,1990,8.3,6.4
Guinea,1995,10.4,7.8
Guinea,2000,12.1,9
Guinea,2005,12.1,9.1
Guinea,2006,12.5,9.3
Guinea,2010,13.9,10.1
Guinea,2016,14.4,10.3
Guinea-Bissau,1990,13.4,8.4
Guinea-Bissau,1995,13.6,8.4
Guinea-Bissau,2000,13.6,8.4
Guinea-Bissau,2005,14.7,9.1
Guinea-Bissau,2006,15,9.2
Guinea-Bissau,2010,16.8,10.1
Guinea-Bissau,2016,17.9,10.8
Guyana,1990,7.3,5.6
Guyana,1995,5.6,4.5
Guyana,2000,8,5.8
Guyana,2005,6.9,5.1
Guyana,2006,6.6,4.9
Guyana,2010,6.4,4.7
Guyana,2016,5.1,4
Haiti,1990,28.3,14.5
Haiti,1995,26.3,13.7
Haiti,2000,23.3,12.7
Haiti,2005,22.2,12.4
Haiti,2006,22.3,12.4
Haiti,2010,22.2,12.4
Haiti,2016,23.1,13
High-income,1990,54.4,30.5
High-income,1995,54,30.9
High-income,2000,50.4,30.3
High-income,2005,46.6,29.7
High-income,2006,45.7,29.5
High-income,2010,42.4,28.7
High-income,2016,39.4,27.8
Honduras,1990,7.1,5.5
Honduras,1995,8.2,6.4
Honduras,2000,8.2,6.3
Honduras,2005,9.1,7.1
Honduras,2006,9,7.1
Honduras,2010,8.8,7.1
Honduras,2016,8.4,7
Hungary,1990,82.1,34.6
Hungary,1995,91.5,36.9
Hungary,2000,92.8,38.1
Hungary,2005,93,39.8
Hungary,2006,93.2,40.1
Hungary,2010,91,41
Hungary,2016,77.9,38.4
Iceland,1990,47.8,29.7
Iceland,1995,50.5,30.9
Iceland,2000,49.4,30.9
Iceland,2005,47.1,31.2
Iceland,2006,46.6,31.2
Iceland,2010,44.1,30.6
Iceland,2016,42.6,29.5
India,1990,8.4,10.2
India,1995,8.3,10.1
India,2000,8.2,9.9
India,2005,8.7,10.4
India,2006,8.7,10.3
India,2010,8.9,10.4
India,2016,9.4,10.8
Indonesia,1990,6.5,8.3
Indonesia,1995,7.1,8.8
Indonesia,2000,6.4,7.6
Indonesia,2005,6.6,7.8
Indonesia,2006,6.7,7.9
Indonesia,2010,6.5,7.7
Indonesia,2016,5.8,7
Iran,1990,13,13.3
Iran,1995,14.8,14.6
Iran,2000,14.6,14.4
Iran,2005,13.2,13.2
Iran,2006,13.6,13.6
Iran,2010,16.2,15.6
Iran,2016,16.6,15.8
Iraq,1990,12,12.5
Iraq,1995,13.8,13.5
Iraq,2000,15.8,15
Iraq,2005,17.3,16.2
Iraq,2006,17.5,16.5
Iraq,2010,18.3,17.7
Iraq,2016,16,16
Ireland,1990,61,31.7
Ireland,1995,61.9,32
Ireland,2000,61.3,32.1
Ireland,2005,54.5,31.2
Ireland,2006,53.5,31.1
Ireland,2010,48.8,30.2
Ireland,2016,42.9,28.2
Israel,1990,38.8,22.3
Israel,1995,40.2,22.2
Israel,2000,36.3,21.5
Israel,2005,35,22.2
Israel,2006,34.5,22.3
Israel,2010,30.3,21.5
Israel,2016,29,21.5
Italy,1990,60.9,33.2
Italy,1995,58,32.6
Italy,2000,52.9,31.4
Italy,2005,45.6,29.1
Italy,2006,45.7,29.1
Italy,2010,43.6,28.7
Italy,2016,39.3,27.4
Jamaica,1990,19.1,14.1
Jamaica,1995,24.3,16.5
Jamaica,2000,27.7,17.4
Jamaica,2005,22.7,15.1
Jamaica,2006,24,15.7
Jamaica,2010,25.3,16
Jamaica,2016,26.2,16.5
Japan,1990,25.6,16.4
Japan,1995,27.5,17.7
Japan,2000,26.7,17.8
Japan,2005,25,17.7
Japan,2006,24.6,17.7
Japan,2010,22.6,17.2
Japan,2016,18.6,15.4
Jordan,1990,11.6,12.2
Jordan,1995,11.5,12.1
Jordan,2000,11.6,11.8
Jordan,2005,15.1,14.1
Jordan,2006,15.5,14.5
Jordan,2010,16.1,15.8
Jordan,2016,14.8,15
Kazakhstan,1990,71.4,37.7
Kazakhstan,1995,74.4,37.5
Kazakhstan,2000,60.3,33.6
Kazakhstan,2005,55,31.8
Kazakhstan,2006,53.3,31.1
Kazakhstan,2010,41.1,27.1
Kazakhstan,2016,29.7,24.2
Kenya,1990,2.4,2.9
Kenya,1995,3,3.4
Kenya,2000,3.3,3.7
Kenya,2005,2.9,3.4
Kenya,2006,2.8,3.3
Kenya,2010,2.8,3.4
Kenya,2016,3.3,3.8
Kiribati,1990,27.2,21.4
Kiribati,1995,27.8,21.4
Kiribati,2000,30.9,22.9
Kiribati,2005,32,23.2
Kiribati,2006,32.3,23.2
Kiribati,2010,33.3,23.1
Kiribati,2016,32.5,22.6
Kuwait,1990,17.4,17.8
Kuwait,1995,17.7,18.7
Kuwait,2000,13.4,14.5
Kuwait,2005,11.8,13.2
Kuwait,2006,12.2,13.5
Kuwait,2010,11,12.5
Kuwait,2016,8.4,10.1
Kyrgyzstan,1990,35.2,27.2
Kyrgyzstan,1995,35.4,25.8
Kyrgyzstan,2000,21.7,19.5
Kyrgyzstan,2005,21.8,19.3
Kyrgyzstan,2006,21.7,19.1
Kyrgyzstan,2010,18.5,17.5
Kyrgyzstan,2016,14.8,15.4
Laos,1990,28.6,22.1
Laos,1995,30.6,23.2
Laos,2000,30.8,23.3
Laos,2005,30.5,23.5
Laos,2006,30.5,23.6
Laos,2010,30.2,23.8
Laos,2016,31.1,25.2
Latin America and Caribbean,1990,22.1,16.6
Latin America and Caribbean,1995,22.6,16.8
Latin America and Caribbean,2000,21.1,16.1
Latin America and Caribbean,2005,19.7,15.6
Latin America and Caribbean,2006,19.4,15.5
Latin America and Caribbean,2010,17.6,14.6
Latin America and Caribbean,2016,16,13.8
Latvia,1990,51.8,32.4
Latvia,1995,59.9,33.1
Latvia,2000,47.1,28.9
Latvia,2005,53.1,30
Latvia,2006,54.6,29.7
Latvia,2010,45.5,27
Latvia,2016,39.2,25.5
Lebanon,1990,42.2,24.6
Lebanon,1995,28.4,19.2
Lebanon,2000,26.5,18.9
Lebanon,2005,33.1,22.3
Lebanon,2006,33.5,22.7
Lebanon,2010,31.1,22.7
Lebanon,2016,30.5,22.6
Lesotho,1990,26.6,19.7
Lesotho,1995,29.1,21.1
Lesotho,2000,35.9,22.8
Lesotho,2005,42.2,25.2
Lesotho,2006,42.5,25.5
Lesotho,2010,43.6,25.3
Lesotho,2016,44.5,26.4
Liberia,1990,4.1,3.4
Liberia,1995,2.7,2.2
Liberia,2000,2.6,2.2
Liberia,2005,3.4,2.8
Liberia,2006,3.8,3
Liberia,2010,5,3.8
Liberia,2016,6.2,4.6
Libya,1990,30.1,24.7
Libya,1995,28.6,23.6
Libya,2000,29.3,23.8
Libya,2005,30.9,25.1
Libya,2006,31.1,25.4
Libya,2010,33.1,26.5
Libya,2016,35.2,27.1
Lithuania,1990,50.7,31.9
Lithuania,1995,60.4,32.8
Lithuania,2000,48.7,28.9
Lithuania,2005,52.1,29.6
Lithuania,2006,52.9,29.6
Lithuania,2010,45.1,27.4
Lithuania,2016,38.1,25.5
Luxembourg,1990,64.1,31.6
Luxembourg,1995,60.4,31.8
Luxembourg,2000,53.1,31
Luxembourg,2005,47.4,30.4
Luxembourg,2006,46.2,30.2
Luxembourg,2010,42.9,29.5
Luxembourg,2016,38.4,27.5
Macedonia,1990,43.6,26.8
Macedonia,1995,46.7,27.8
Macedonia,2000,50.4,28.9
Macedonia,2005,53.3,30.3
Macedonia,2006,54.2,30.6
Macedonia,2010,56,31.6
Macedonia,2016,49.3,29.7
Madagascar,1990,5.8,4.4
Madagascar,1995,4.9,3.8
Madagascar,2000,4.3,3.4
Madagascar,2005,4,3.3
Madagascar,2006,3.9,3.2
Madagascar,2010,3.9,3.2
Madagascar,2016,4.2,3.4
Malawi,1990,4.6,3.8
Malawi,1995,5.9,4.5
Malawi,2000,8.6,5.3
Malawi,2005,9.6,4.9
Malawi,2006,9.6,5.1
Malawi,2010,9.8,5.4
Malawi,2016,9.8,5.5
Malaysia,1990,41.7,30.5
Malaysia,1995,38.9,30
Malaysia,2000,37.4,29.4
Malaysia,2005,37.6,29.2
Malaysia,2006,37.2,29.1
Malaysia,2010,35.1,28.3
Malaysia,2016,33.4,27.9
Maldives,1990,17.6,17.2
Maldives,1995,17.3,17.7
Maldives,2000,15.3,16.5
Maldives,2005,11.8,14.5
Maldives,2006,11.2,14.1
Maldives,2010,10.1,13.6
Maldives,2016,11.1,15.3
Mali,1990,6.4,4.5
Mali,1995,4.7,3.2
Mali,2000,3.6,2.6
Mali,2005,3.7,2.7
Mali,2006,3.7,2.8
Mali,2010,4.3,3.2
Mali,2016,4.5,3.3
Malta,1990,41.7,25.2
Malta,1995,39.9,25.1
Malta,2000,39.6,24.9
Malta,2005,30.6,21.8
Malta,2006,31,22.2
Malta,2010,30.5,22.9
Malta,2016,27.3,22.1
Marshall Islands,1990,20.3,18.9
Marshall Islands,1995,20.5,19
Marshall Islands,2000,19.9,18.3
Marshall Islands,2005,21,18.5
Marshall Islands,2006,21.1,18.5
