Entity,Year,Rate of Natural Population Increase (UN Population Division (2015))
Burkina Faso,1985,3.0857
Burkina Faso,1990,3.0639
Burkina Faso,1995,3.0239
Burkina Faso,2000,3.052
Burkina Faso,2005,3.0986
Burkina Faso,2010,3.2149
Burkina Faso,2015,3.0808
Burundi,1955,2.4197
Burundi,1960,2.4442
Burundi,1965,2.5728
Burundi,1970,2.6681
Burundi,1975,2.6939
Burundi,1980,3.0748
Burundi,1985,3.2973
Burundi,1990,3.4011
Burundi,1995,2.9561
Burundi,2000,2.8696
Burundi,2005,2.8694
Burundi,2010,3.1346
Burundi,2015,3.2516
Cambodia,1955,2.5852
Cambodia,1960,2.5153
Cambodia,1965,2.4442
Cambodia,1970,2.3129
Cambodia,1975,1.7971
Cambodia,1980,-2.0988
Cambodia,1985,3.0804
Cambodia,1990,3.2087
Cambodia,1995,2.5908
Cambodia,2000,2.018
Cambodia,2005,1.8141
Cambodia,2010,1.9355
Cambodia,2015,1.8227
Cameroon,1955,1.7439
Cameroon,1960,1.9057
Cameroon,1965,2.2074
Cameroon,1970,2.4588
Cameroon,1975,2.6786
Cameroon,1980,2.8788
Cameroon,1985,3.1149
Cameroon,1990,3.1254
Cameroon,1995,2.9834
Cameroon,2000,2.7841
Cameroon,2005,2.6889
Cameroon,2010,2.6383
Cameroon,2015,2.5615
Canada,1955,1.8754
Canada,1960,1.9189
Canada,1965,1.7087
Canada,1970,1.1058
Canada,1975,0.8343
Canada,1980,0.7866
Canada,1985,0.7595
Canada,1990,0.7022
Canada,1995,0.6589
Canada,2000,0.4272
Canada,2005,0.3353
Canada,2010,0.3856
Canada,2015,0.3642
Cape Verde,1955,2.6933
Cape Verde,1960,2.7685
Cape Verde,1965,2.7923
Cape Verde,1970,2.7513
Cape Verde,1975,2.7477
Cape Verde,1980,2.9386
Cape Verde,1985,3.2483
Cape Verde,1990,3.3599
Cape Verde,1995,2.9724
Cape Verde,2000,2.5133
Cape Verde,2005,1.9868
Cape Verde,2010,1.7425
Cape Verde,2015,1.6292
Caribbean,1955,2.4273
Caribbean,1960,2.4871
Caribbean,1965,2.7628
Caribbean,1970,2.5056
Caribbean,1975,2.2227
Caribbean,1980,1.8998
Caribbean,1985,1.876
Caribbean,1990,1.7773
Caribbean,1995,1.5592
Caribbean,2000,1.3804
Caribbean,2005,1.2268
Caribbean,2010,1.1355
Caribbean,2015,1.0181
Central African Republic,1955,1.0688
Central African Republic,1960,1.4332
Central African Republic,1965,1.6927
Central African Republic,1970,1.9178
Central African Republic,1975,2.171
Central African Republic,1980,2.4021
Central African Republic,1985,2.5557
Central African Republic,1990,2.5256
Central African Republic,1995,2.2992
Central African Republic,2000,2.1462
Central African Republic,2005,1.9253
Central African Republic,2010,1.8086
Central African Republic,2015,1.906
Central America,1955,3.0724
Central America,1960,3.2243
Central America,1965,3.2466
Central America,1970,3.2476
Central America,1975,3.3432
Central America,1980,2.9824
Central America,1985,2.681
Central America,1990,2.5037
Central America,1995,2.3511
Central America,2000,2.169
Central America,2005,1.9213
Central America,2010,1.6962
Central America,2015,1.5176
Central Asia,1955,2.2329
Central Asia,1960,2.4287
Central Asia,1965,2.4198
Central Asia,1970,2.0957
Central Asia,1975,2.1047
Central Asia,1980,2.1034
Central Asia,1985,2.3262
Central Asia,1990,2.4564
Central Asia,1995,2.0087
Central Asia,2000,1.4672
Central Asia,2005,1.3131
Central Asia,2010,1.5377
Central Asia,2015,1.6893
Chad,1955,1.784
Chad,1960,1.8761
Chad,1965,1.9851
Chad,1970,2.1561
Chad,1975,2.5498
Chad,1980,2.7875
Chad,1985,2.9612
Chad,1990,3.1272
Chad,1995,3.2531
Chad,2000,3.3164
Chad,2005,3.2711
Chad,2010,3.2023
Chad,2015,3.1481
Channel Islands,1955,0.2285
Channel Islands,1960,0.2902
Channel Islands,1965,0.4704
Channel Islands,1970,0.3935
Channel Islands,1975,0.1568
Channel Islands,1980,0.011
Channel Islands,1985,0.0322
Channel Islands,1990,0.1136
Channel Islands,1995,0.1772
Channel Islands,2000,0.1226
Channel Islands,2005,0.1294
Channel Islands,2010,0.1027
Channel Islands,2015,0.0563
Chile,1955,2.304
Chile,1960,2.3714
Chile,1965,2.3305
Chile,1970,2.1842
Chile,1975,1.8226
Chile,1980,1.5973
Chile,1985,1.562
Chile,1990,1.6233
Chile,1995,1.449
Chile,2000,1.2325
Chile,2005,1.0649
Chile,2010,0.9412
Chile,2015,0.8372
China,1955,1.9122
China,1960,1.4766
China,1965,1.8712
China,1970,2.6911
China,1975,2.2912
China,1980,1.5436
China,1985,1.4784
China,1990,1.851
China,1995,1.2434
China,2000,0.6829
China,2005,0.5866
China,2010,0.5679
China,2015,0.543
Colombia,1955,3.0825
Colombia,1960,3.2153
Colombia,1965,3.2762
Colombia,1970,3.1044
Colombia,1975,2.551
Colombia,1980,2.4901
Colombia,1985,2.4155
Colombia,1990,2.153
Colombia,1995,1.8934
Colombia,2000,1.6196
Colombia,2005,1.4534
Colombia,2010,1.2446
Colombia,2015,1.0433
Comoros,1955,2.0414
Comoros,1960,2.3985
Comoros,1965,2.5545
Comoros,1970,2.6305
Comoros,1975,2.7532
Comoros,1980,2.9892
Comoros,1985,3.2247
Comoros,1990,3.2044
Comoros,1995,3.0146
Comoros,2000,2.8862
Comoros,2005,2.7757
Comoros,2010,2.7348
Comoros,2015,2.6838
Congo,1955,2.1355
Congo,1960,2.4
Congo,1965,2.6585
Congo,1970,2.8349
Congo,1975,2.9656
Congo,1980,3.01
Congo,1985,2.8812
Congo,1990,2.6926
Congo,1995,2.5004
Congo,2000,2.4196
Congo,2005,2.4625
Congo,2010,2.7116
Congo,2015,2.8286
Costa Rica,1955,2.9862
Costa Rica,1960,3.3642
Costa Rica,1965,3.4035
Costa Rica,1970,2.9248
Costa Rica,1975,2.3911
Costa Rica,1980,2.447
Costa Rica,1985,2.5162
Costa Rica,1990,2.3916
Costa Rica,1995,2.0931
Costa Rica,2000,1.7482
Costa Rica,2005,1.3733
Costa Rica,2010,1.215
Costa Rica,2015,1.0388
Cote d'Ivoire,1955,1.9965
Cote d'Ivoire,1960,2.45
Cote d'Ivoire,1965,2.8333
Cote d'Ivoire,1970,3.053
Cote d'Ivoire,1975,3.256
Cote d'Ivoire,1980,3.3328
Cote d'Ivoire,1985,3.1752
Cote d'Ivoire,1990,3.0154
Cote d'Ivoire,1995,2.8053
Cote d'Ivoire,2000,2.5012
Cote d'Ivoire,2005,2.2912
Cote d'Ivoire,2010,2.3196
Cote d'Ivoire,2015,2.3532
Croatia,1955,0.9143
Croatia,1960,0.7892
Croatia,1965,0.631
Croatia,1970,0.436
Croatia,1975,0.4312
Croatia,1980,0.3454
Croatia,1985,0.2732
Croatia,1990,0.1437
Croatia,1995,-0.0683
Croatia,2000,-0.0025
Croatia,2005,-0.2155
Croatia,2010,-0.1799
Croatia,2015,-0.2623
Cuba,1955,2.0851
Cuba,1960,1.92
Cuba,1965,2.6921
Cuba,1970,2.4316
Cuba,1975,2.0124
Cuba,1980,1.1554
Cuba,1985,1.0399
Cuba,1990,1.1016
Cuba,1995,0.8265
Cuba,2000,0.6806
Cuba,2005,0.526
Cuba,2010,0.4272
Cuba,2015,0.2844
Curacao,1955,2.6006
Curacao,1960,2.6256
Curacao,1965,2.2527
Curacao,1970,2.059
Curacao,1975,1.5819
Curacao,1980,1.4736
Curacao,1985,1.4537
Curacao,1990,1.4605
Curacao,1995,1.2017
Curacao,2000,0.767
Curacao,2005,0.5151
Curacao,2010,0.4107
Curacao,2015,0.5102
Cyprus,1955,1.9437
Cyprus,1960,1.7991
Cyprus,1965,1.7702
Cyprus,1970,1.3558
Cyprus,1975,1.0474
Cyprus,1980,1.1045
Cyprus,1985,1.3223
Cyprus,1990,1.2446
Cyprus,1995,1.1241
Cyprus,2000,0.7703
Cyprus,2005,0.556
Cyprus,2010,0.5043
Cyprus,2015,0.4692
Czech Republic,1955,0.8556
Czech Republic,1960,0.5533
Czech Republic,1965,0.4074
Czech Republic,1970,0.2844
Czech Republic,1975,0.4769
Czech Republic,1980,0.5289
Czech Republic,1985,0.0596
Czech Republic,1990,0.0045
Czech Republic,1995,-0.0351
Czech Republic,2000,-0.2302
Czech Republic,2005,-0.1552
Czech Republic,2010,0.048
Czech Republic,2015,0.0125
Democratic Republic of Congo,1955,2.0759
Democratic Republic of Congo,1960,2.3023
Democratic Republic of Congo,1965,2.4514
Democratic Republic of Congo,1970,2.5662
Democratic Republic of Congo,1975,2.6705
Democratic Republic of Congo,1980,2.7239
Democratic Republic of Congo,1985,2.8931
Democratic Republic of Congo,1990,3.0193
Democratic Republic of Congo,1995,3.1206
Democratic Republic of Congo,2000,3.0461
Democratic Republic of Congo,2005,3.1813
Democratic Republic of Congo,2010,3.2427
Democratic Republic of Congo,2015,3.1909
Denmark,1955,0.871
Denmark,1960,0.7705
Denmark,1965,0.7592
Denmark,1970,0.6109
Denmark,1975,0.432
Denmark,1980,0.1854
Denmark,1985,-0.0756
Denmark,1990,-0.023
Denmark,1995,0.1033
Denmark,2000,0.1178
Denmark,2005,0.1231
Denmark,2010,0.1651
Denmark,2015,0.0759
Djibouti,1955,2.0044
Djibouti,1960,2.3604
Djibouti,1965,2.6842
Djibouti,1970,2.8699
Djibouti,1975,3.076
Djibouti,1980,2.9897
Djibouti,1985,2.7868
Djibouti,1990,2.9605
Djibouti,1995,2.8084
Djibouti,2000,2.2545
Djibouti,2005,1.9719
Djibouti,2010,1.7986
Djibouti,2015,1.7003
Dominican Republic,1955,3.3815
Dominican Republic,1960,3.5893
Dominican Republic,1965,3.5042
Dominican Republic,1970,3.2466
Dominican Republic,1975,2.9738
Dominican Republic,1980,2.7244
Dominican Republic,1985,2.5945
Dominican Republic,1990,2.4261
Dominican Republic,1995,2.263
Dominican Republic,2000,1.9942
Dominican Republic,2005,1.8595
Dominican Republic,2010,1.7019
Dominican Republic,2015,1.5341
Eastern Africa,1955,2.2458
Eastern Africa,1960,2.4506
Eastern Africa,1965,2.6654
Eastern Africa,1970,2.7988
Eastern Africa,1975,2.9413
Eastern Africa,1980,3.0391
Eastern Africa,1985,3.0268
Eastern Africa,1990,3.0051
Eastern Africa,1995,2.7521
Eastern Africa,2000,2.7801
Eastern Africa,2005,2.7849
Eastern Africa,2010,2.871
Eastern Africa,2015,2.8367
Eastern Asia,1955,1.8478
Eastern Asia,1960,1.5127
Eastern Asia,1965,1.8155
Eastern Asia,1970,2.4964
Eastern Asia,1975,2.1763
Eastern Asia,1980,1.4817
Eastern Asia,1985,1.3989
Eastern Asia,1990,1.6776
Eastern Asia,1995,1.1535
Eastern Asia,2000,0.6518
Eastern Asia,2005,0.5469
Eastern Asia,2010,0.5142
Eastern Asia,2015,0.4762
Eastern Europe,1955,1.4926
Eastern Europe,1960,1.5081
Eastern Europe,1965,1.1145
Eastern Europe,1970,0.7161
Eastern Europe,1975,0.6754
Eastern Europe,1980,0.6136
Eastern Europe,1985,0.5234
Eastern Europe,1990,0.4226
Eastern Europe,1995,-0.1195
Eastern Europe,2000,-0.4356
Eastern Europe,2005,-0.4947
Eastern Europe,2010,-0.3178
Eastern Europe,2015,-0.1752
Ecuador,1955,2.6351
Ecuador,1960,2.804
Ecuador,1965,2.9138
Ecuador,1970,2.9248
Ecuador,1975,2.8189
Ecuador,1980,2.6631
Ecuador,1985,2.5462
Ecuador,1990,2.4691
Ecuador,1995,2.2928
Ecuador,2000,2.0907
Ecuador,2005,1.8611
Ecuador,2010,1.7362
Ecuador,2015,1.6059
Egypt,1955,2.522
Egypt,1960,2.7332
Egypt,1965,2.6582
Egypt,1970,2.5428
Egypt,1975,2.3764
Egypt,1980,2.5898
Egypt,1985,2.7577
Egypt,1990,2.7338
Egypt,1995,2.1845
Egypt,2000,1.8672
Egypt,2005,1.8635
Egypt,2010,1.88
Egypt,2015,2.2317
El Salvador,1955,2.5195
El Salvador,1960,2.9078
El Salvador,1965,3.0802
El Salvador,1970,3.0003
El Salvador,1975,2.9166
El Salvador,1980,2.7249
El Salvador,1985,2.4214
El Salvador,1990,2.3114
El Salvador,1995,2.2205
El Salvador,2000,1.9296
El Salvador,2005,1.5245
El Salvador,2010,1.2574
El Salvador,2015,1.0808
Equatorial Guinea,1955,1.0484
Equatorial Guinea,1960,1.1792
Equatorial Guinea,1965,1.3277
Equatorial Guinea,1970,1.5332
Equatorial Guinea,1975,1.3104
Equatorial Guinea,1980,1.0779
Equatorial Guinea,1985,2.1533
Equatorial Guinea,1990,2.7729
Equatorial Guinea,1995,2.7114
Equatorial Guinea,2000,2.5557
Equatorial Guinea,2005,2.4195
Equatorial Guinea,2010,2.4464
Equatorial Guinea,2015,2.4489
Eritrea,1955,1.9288
Eritrea,1960,2.1856
Eritrea,1965,2.3299
Eritrea,1970,2.4898
Eritrea,1975,2.6284
Eritrea,1980,2.7275
Eritrea,1985,2.8219
Eritrea,1990,2.8672
Eritrea,1995,2.6971
Eritrea,2000,2.6335
Eritrea,2005,2.8273
Eritrea,2010,2.9655
Eritrea,2015,2.8157
Estonia,1955,0.3759
Estonia,1960,0.5167
Estonia,1965,0.4846
Estonia,1970,0.4315
Estonia,1975,0.4493
Estonia,1980,0.3026
Estonia,1985,0.2949
Estonia,1990,0.3542
Estonia,1995,-0.2717
Estonia,2000,-0.4624
Estonia,2005,-0.3641
Estonia,2010,-0.1254
Estonia,2015,-0.1162
Ethiopia,1955,1.9322
Ethiopia,1960,2.1131
Ethiopia,1965,2.4444
Ethiopia,1970,2.5782
Ethiopia,1975,2.7634
Ethiopia,1980,2.7703
Ethiopia,1985,2.7815
Ethiopia,1990,2.9272
Ethiopia,1995,2.9384
Ethiopia,2000,3.0277
Ethiopia,2005,2.8656
Ethiopia,2010,2.681
Ethiopia,2015,2.5437
Europe,1955,1.026
Europe,1960,1.0652
Europe,1965,0.9381
Europe,1970,0.6925
Europe,1975,0.54
Europe,1980,0.4218
Europe,1985,0.354
Europe,1990,0.2971
Europe,1995,0.0276
Europe,2000,-0.1301
Europe,2005,-0.1558
Europe,2010,-0.0576
Europe,2015,-0.0292
Fiji,1955,3.1585
Fiji,1960,3.4744
Fiji,1965,3.1752
Fiji,1970,2.6904
Fiji,1975,2.4999
Fiji,1980,2.6199
Fiji,1985,2.6144
Fiji,1990,2.3284
Fiji,1995,2.1984
Fiji,2000,1.966
Fiji,2005,1.7732
Fiji,2010,1.5909
Fiji,2015,1.3906
Finland,1955,1.2599
Finland,1960,1.0273
Finland,1965,0.8869
Finland,1970,0.6105
Finland,1975,0.3255
Finland,1980,0.4104
Finland,1985,0.399
Finland,1990,0.2678
Finland,1995,0.2942
Finland,2000,0.1795
Finland,2005,0.1457
Finland,2010,0.1891
Finland,2015,0.1043
France,1955,0.6323
France,1960,0.6298
France,1965,0.6834
France,1970,0.5913
France,1975,0.5245
France,1980,0.3346
France,1985,0.387
France,1990,0.3851
France,1995,0.3394
France,2000,0.3314
France,2005,0.3698
France,2010,0.3989
France,2015,0.3463
French Guiana,1955,2.0646
French Guiana,1960,1.8714
French Guiana,1965,1.9111
French Guiana,1970,2.302
French Guiana,1975,2.2129
French Guiana,1980,1.8371
French Guiana,1985,2.2663
French Guiana,1990,2.4909
French Guiana,1995,2.7123
French Guiana,2000,2.5502
French Guiana,2005,2.4692
French Guiana,2010,2.4969
French Guiana,2015,2.2939
French Polynesia,1955,3.0568
French Polynesia,1960,3.1745
French Polynesia,1965,2.8374
French Polynesia,1970,2.6894
French Polynesia,1975,2.6103
French Polynesia,1980,2.4425
French Polynesia,1985,2.4295
French Polynesia,1990,2.4542
French Polynesia,1995,2.046
French Polynesia,2000,1.6429
French Polynesia,2005,1.4256
French Polynesia,2010,1.2731
French Polynesia,2015,1.1037
Gabon,1955,0.2619
Gabon,1960,0.5554
Gabon,1965,0.9271
Gabon,1970,1.4758
Gabon,1975,1.8261
Gabon,1980,2.1597
Gabon,1985,2.4608
Gabon,1990,2.6297
Gabon,1995,2.5346
Gabon,2000,2.3388
Gabon,2005,2.095
Gabon,2010,2.1179
Gabon,2015,2.1836
Gambia,1955,1.0947
Gambia,1960,1.6383
Gambia,1965,1.8818
Gambia,1970,2.1836
Gambia,1975,2.66
Gambia,1980,3.0808
Gambia,1985,3.2397
Gambia,1990,3.3071
Gambia,1995,3.3035
Gambia,2000,3.304
Gambia,2005,3.3778
Gambia,2010,3.3981
Gambia,2015,3.3811
Georgia,1955,1.1313
Georgia,1960,1.2231
Georgia,1965,1.2339
Georgia,1970,0.8965
Georgia,1975,0.9696
Georgia,1980,0.9774
Georgia,1985,0.8984
Georgia,1990,0.8729
Georgia,1995,0.5733
Georgia,2000,0.271
Georgia,2005,0.1766
Georgia,2010,0.2952
Georgia,2015,0.2231
Germany,1955,0.4449
Germany,1960,0.5055
Germany,1965,0.5749
Germany,1970,0.3779
Germany,1975,-0.1053
Germany,1980,-0.2031
Germany,1985,-0.1514
Germany,1990,-0.0824
Germany,1995,-0.144
Germany,2000,-0.1129
Germany,2005,-0.1595
Germany,2010,-0.2086
Germany,2015,-0.2474
Ghana,1955,2.3545
Ghana,1960,2.6917
Ghana,1965,2.9473
Ghana,1970,3.0622
Ghana,1975,3.0354
Ghana,1980,2.975
Ghana,1985,2.9053
Ghana,1990,2.8408
