Entity,Year,Total government spending per capita,Expenditures on general government outsourcing (% of GDP),General government procurement expenditure (% of GDP),General government procurement expenditure (% government expenditures)
Colombia,2012,4240.18990,8.98000,12.56000,35.94000
Colombia,2013,4669.35990,9.57000,13.34000,36.52000
Colombia,2014,5023.54000,9.64000,13.31000,35.52000
Colombia,2015,5170.23000,9.69000,13.38000,35.67000
Costa Rica,2007,,,4.72000,15.29000
Costa Rica,2008,,,5.32000,15.16000
Costa Rica,2009,4334.00000,3.67000,6.40000,18.22000
Costa Rica,2010,4970.66020,3.68000,5.50000,14.10000
Costa Rica,2011,5234.97020,3.75000,5.68000,14.57000
Costa Rica,2012,4463.54000,3.85000,5.80000,18.45000
Costa Rica,2013,4782.47020,4.00000,6.11000,18.54000
Costa Rica,2014,5025.58010,4.02000,6.28000,19.08000
Czech Republic,2007,,,14.98000,37.50000
Czech Republic,2008,,,15.44000,38.45000
Czech Republic,2009,11970.02000,11.46000,17.00000,38.98000
Czech Republic,2010,11836.15000,11.36000,16.09000,37.45000
Czech Republic,2011,12392.20000,10.04000,14.53000,33.75000
Czech Republic,2012,12921.97000,9.58000,13.75000,30.92000
Czech Republic,2013,12992.09000,9.83000,13.55000,31.81000
Czech Republic,2014,13667.39000,9.59000,13.71000,32.47000
Czech Republic,2015,14201.91000,9.33000,14.52000,34.51000
Czech Republic,2016,13967.96000,9.30000,12.67000,31.75000
Denmark,2007,,,12.60000,25.41000
Denmark,2008,,,13.14000,26.07000
Denmark,2009,22830.28900,11.35000,14.48000,25.61000
Denmark,2010,24419.39100,11.09000,14.38000,25.38000
Denmark,2011,25059.10000,10.83000,14.15000,25.08000
Denmark,2012,25968.76000,10.98000,14.77000,25.48000
Denmark,2013,26092.08000,10.75000,14.42000,25.83000
Denmark,2014,26449.15000,10.64000,14.50000,26.22000
Denmark,2015,26860.85900,10.55000,14.16000,25.83000
Denmark,2016,26799.05100,10.53000,14.24000,26.55000
Estonia,2007,,,13.11000,38.46000
Estonia,2008,,,14.26000,35.87000
Estonia,2009,9443.09960,8.78000,15.02000,32.61000
Estonia,2010,8748.29980,8.68000,13.52000,33.37000
Estonia,2011,9169.83010,8.25000,13.17000,35.19000
Estonia,2012,10208.21000,8.32000,14.64000,37.25000
Estonia,2013,10553.95000,8.35000,13.93000,36.15000
Estonia,2014,10964.50000,8.46000,13.60000,35.36000
Estonia,2015,11702.99000,8.70000,14.06000,34.84000
Estonia,2016,12024.29000,8.97000,13.70000,33.92000
Finland,2007,,,14.40000,30.78000
Finland,2008,,,15.25000,31.61000
Finland,2009,20736.07000,13.34000,17.30000,31.59000
Finland,2010,21251.36900,13.53000,17.20000,31.40000
Finland,2011,22125.36900,13.45000,17.24000,31.71000
Finland,2012,22829.91000,13.89000,17.93000,31.90000
Finland,2013,23744.18900,14.22000,18.38000,31.96000
Finland,2014,24095.91000,14.23000,18.41000,31.72000
Finland,2015,24083.90000,13.64000,17.54000,30.79000
Finland,2016,24193.56100,13.82000,17.71000,31.55000
France,2007,,,13.94000,26.70000
France,2008,,,14.02000,26.45000
France,2009,19750.13100,10.89000,15.14000,26.68000
France,2010,20351.81100,10.92000,15.07000,26.70000
France,2011,20961.49000,10.81000,14.78000,26.43000
France,2012,21408.76000,10.97000,15.02000,26.43000
France,2013,22524.49000,11.08000,15.06000,26.43000
France,2014,23004.09000,11.11000,14.83000,25.88000
France,2015,23387.42000,11.09000,14.58000,25.56000
France,2016,23696.85000,11.04000,14.46000,25.59000
Germany,2007,,,12.92000,30.18000
Germany,2008,,,13.41000,30.77000
Germany,2009,17952.51000,12.61000,14.96000,31.45000
Germany,2010,18899.02000,12.50000,14.80000,31.32000
Germany,2011,19087.82000,12.35000,14.63000,32.71000
Germany,2012,19296.86900,12.39000,14.63000,33.03000
Germany,2013,20224.91000,12.74000,14.89000,33.31000
Germany,2014,20893.41000,12.80000,14.90000,33.56000
Germany,2015,21110.22100,12.92000,15.05000,34.21000
Germany,2016,21729.96100,13.40000,15.53000,35.06000
Greece,2007,,,14.20000,30.17000
Greece,2008,,,14.68000,28.88000
Greece,2009,16437.81100,9.80000,15.51000,28.67000
Greece,2010,14800.13000,9.32000,13.01000,24.79000
Greece,2011,14189.48000,8.35000,10.81000,19.92000
Greece,2012,14007.03000,8.00000,10.50000,18.96000
Greece,2013,16248.15000,7.17000,10.60000,17.03000
Greece,2014,13375.41000,7.02000,10.70000,21.13000
Greece,2015,14288.74000,7.21000,11.10000,20.47000
Greece,2016,13128.37000,7.11000,10.25000,20.91000
Hungary,2007,,,13.37000,26.71000
Hungary,2008,,,12.86000,26.40000
Hungary,2009,10411.35000,10.40000,13.84000,27.35000
Hungary,2010,10623.81000,10.15000,13.83000,27.95000
Hungary,2011,11294.50000,9.84000,13.20000,26.56000
Hungary,2012,11166.69000,9.52000,13.26000,27.30000
Hungary,2013,12021.57000,9.52000,13.91000,28.19000
Hungary,2014,12496.37000,9.52000,14.91000,30.42000
Hungary,2015,13231.28000,9.39000,16.02000,32.01000
Hungary,2016,13099.94000,9.02000,12.13000,25.55000
Iceland,2007,,,15.25000,37.19000
Iceland,2008,,,16.09000,29.09000
Iceland,2009,19831.98000,12.02000,16.06000,33.17000
Iceland,2010,18950.18000,12.05000,15.49000,31.40000
Iceland,2011,18029.58000,12.11000,14.84000,32.49000
Iceland,2012,18376.07000,12.03000,14.71000,32.40000
Iceland,2013,18721.47100,11.75000,14.65000,33.37000
Iceland,2014,20052.59000,11.49000,14.56000,32.17000
Iceland,2015,20451.10900,10.91000,13.81000,32.19000
Iceland,2016,,10.53000,13.31000,32.29000
India,2009,1133.50000,,,
India,2010,1220.09000,,,
India,2011,1312.78000,,,
India,2012,1367.00000,,,
India,2013,1420.35000,,,
India,2014,1517.63000,,,
India,2015,1700.78000,,,
India,2016,1845.76000,,,
Indonesia,2009,1352.43010,,,
Indonesia,2010,1423.97000,,,
Indonesia,2011,1589.49000,,,
Indonesia,2012,1799.64000,,,
Indonesia,2013,1928.81010,,,
Indonesia,2014,1983.64000,,,
Indonesia,2015,1936.89000,,,
Indonesia,2016,1966.52000,,,
Ireland,2007,,,11.62000,32.42000
Ireland,2008,,,12.94000,30.94000
Ireland,2009,19567.00000,8.60000,12.28000,26.06000
Ireland,2010,28213.51000,8.45000,11.78000,18.05000
Ireland,2011,20915.18900,7.95000,10.36000,22.52000
Ireland,2012,19486.49000,7.73000,9.70000,23.16000
Ireland,2013,19238.48000,7.35000,9.31000,23.35000
Ireland,2014,19413.42000,7.30000,9.46000,24.99000
Ireland,2015,20232.36900,5.60000,7.30000,24.70000
Ireland,2016,20009.52900,5.65000,7.50000,26.73000
Israel,2007,,,14.48000,34.01000
Israel,2008,,,14.47000,34.28000
Israel,2009,11605.50000,12.22000,14.13000,33.48000
Israel,2010,11877.98000,12.18000,14.10000,34.26000
Israel,2011,12355.54000,12.09000,14.02000,34.66000
Israel,2012,13159.01000,12.27000,14.37000,34.69000
Israel,2013,14029.20000,12.12000,14.33000,34.98000
Israel,2014,14213.53000,12.30000,14.46000,35.56000
Israel,2015,14498.76000,12.13000,14.23000,35.89000
Italy,2007,,,10.41000,22.25000
Italy,2008,,,10.70000,22.36000
Italy,2009,17531.61900,8.34000,11.79000,23.04000
Italy,2010,17337.82000,8.33000,11.25000,22.54000
Italy,2011,17744.56100,8.05000,10.81000,21.90000
Italy,2012,18149.84000,8.08000,10.65000,20.98000
Italy,2013,18316.33000,8.30000,10.70000,20.96000
Italy,2014,18473.00000,8.21000,10.48000,20.58000
Italy,2015,18795.47100,8.14000,10.36000,20.54000
Italy,2016,18825.05100,8.11000,10.20000,20.57000
Japan,2007,,,13.68000,39.10000
Japan,2008,,,13.93000,38.62000
Japan,2009,13470.42000,11.45000,15.36000,37.75000
Japan,2010,13908.85000,11.73000,15.47000,38.93000
Japan,2011,14538.37000,12.22000,15.81000,38.92000
Japan,2012,15114.00000,12.44000,16.04000,39.50000
Japan,2013,15900.65000,12.60000,16.47000,40.41000
Japan,2014,15859.71000,12.57000,16.51000,41.06000
Japan,2015,16037.35000,12.50000,16.22000,41.20000
Latvia,2007,,,12.06000,35.52000
Latvia,2008,,,12.17000,32.48000
Latvia,2009,7385.64010,7.13000,12.00000,27.43000
Latvia,2010,7921.72020,7.66000,12.38000,27.51000
Latvia,2011,7711.35990,7.71000,12.70000,32.58000
Latvia,2012,7927.54000,7.21000,12.07000,32.36000
Latvia,2013,8376.46970,7.35000,11.78000,31.90000
Latvia,2014,8952.11040,7.18000,11.66000,31.11000
Latvia,2015,9222.95020,7.42000,12.02000,32.46000
Latvia,2016,9362.70020,7.01000,10.54000,29.00000
Lithuania,2007,,,12.10000,34.32000
Lithuania,2008,,,12.67000,33.27000
Lithuania,2009,8153.75000,7.65000,12.06000,26.87000
Lithuania,2010,8514.66990,8.19000,13.15000,31.09000
Lithuania,2011,9706.87010,7.05000,11.78000,27.73000
Lithuania,2012,8902.12990,6.68000,10.65000,29.51000
Lithuania,2013,9493.26950,6.43000,10.18000,28.61000
Lithuania,2014,9792.00000,6.52000,10.07000,28.96000
Lithuania,2015,10154.72000,7.03000,10.67000,30.38000
Lithuania,2016,10497.83000,6.77000,9.68000,28.31000
Luxembourg,2007,,,11.15000,29.50000
Luxembourg,2008,,,11.64000,29.32000
Luxembourg,2009,37148.73000,9.03000,13.45000,29.80000
Luxembourg,2010,37807.10200,8.71000,13.43000,30.43000
Luxembourg,2011,38897.98000,8.28000,12.40000,29.27000
Luxembourg,2012,40335.68000,8.73000,12.71000,28.84000
Luxembourg,2013,41274.57800,8.72000,12.21000,28.22000
Luxembourg,2014,42387.80100,8.39000,11.98000,28.67000
Luxembourg,2015,43009.78900,8.22000,11.96000,28.99000
Luxembourg,2016,44555.94900,8.05000,11.84000,28.78000
Mexico,2007,,,4.52000,21.91000
Mexico,2008,,,5.27000,21.20000
Mexico,2009,3380.84010,2.92000,6.10000,25.96000
Mexico,2010,3577.53000,2.77000,5.79000,24.50000
Mexico,2011,3879.87990,2.84000,5.62000,23.72000
Mexico,2012,4151.54980,2.91000,5.32000,21.73000
Mexico,2013,4183.66020,2.97000,5.31000,21.84000
Mexico,2014,4436.18990,3.06000,5.45000,22.10000
Mexico,2015,4390.56010,3.16000,5.15000,20.97000
Netherlands,2007,,,18.98000,44.72000
Netherlands,2008,,,19.56000,44.91000
Netherlands,2009,21244.73000,17.33000,21.63000,44.91000
Netherlands,2010,21474.72100,17.23000,21.38000,44.40000
Netherlands,2011,21639.48000,16.96000,20.96000,44.61000
Netherlands,2012,22002.49000,17.15000,20.90000,44.37000
Netherlands,2013,22524.55100,16.87000,20.51000,44.33000
Netherlands,2014,22638.43900,16.83000,20.34000,44.04000
Netherlands,2015,22474.43000,16.58000,20.18000,44.51000
Netherlands,2016,22313.23000,16.13000,19.54000,44.77000
New Zealand,2007,,,14.34000,37.29000
New Zealand,2008,,,15.48000,37.47000
New Zealand,2009,12821.97000,11.18000,15.55000,37.11000
New Zealand,2010,14880.11000,11.18000,15.18000,31.80000
New Zealand,2011,14287.90000,11.20000,14.68000,33.57000
New Zealand,2012,13913.79000,10.95000,14.63000,34.62000
New Zealand,2013,14524.35000,10.69000,14.47000,35.88000
New Zealand,2014,14746.21000,10.77000,14.75000,37.00000
New Zealand,2015,14890.52000,10.70000,14.69000,37.21000
Norway,2007,,,11.20000,27.02000
Norway,2008,,,11.06000,27.49000
Norway,2009,25558.99000,8.56000,13.09000,28.41000
Norway,2010,26103.42000,8.47000,12.61000,28.02000
Norway,2011,27192.09000,8.13000,12.18000,27.79000
Norway,2012,28067.18900,7.86000,11.74000,27.34000
Norway,2013,29480.07000,8.05000,12.33000,28.01000
Norway,2014,30124.03900,8.37000,12.97000,28.27000
Norway,2015,30263.07000,8.92000,13.85000,28.39000
Norway,2016,32284.32000,9.41000,14.72000,28.83000
OECD - Average,2007,,,12.57000,31.14000
OECD - Average,2008,,,13.09000,30.79000
OECD - Average,2009,16352.00000,9.99000,14.13000,30.77000
OECD - Average,2010,16917.00000,9.90000,13.81000,30.22000
OECD - Average,2011,17026.00000,9.71000,13.32000,30.03000
OECD - Average,2012,17373.00000,9.67000,13.16000,29.62000
OECD - Average,2013,18070.00000,9.65000,13.08000,29.47000
OECD - Average,2014,18305.00000,9.61000,13.12000,29.91000
OECD - Average,2015,18608.00000,9.55000,13.18000,30.26000
OECD - Total,2007,,,11.76000,30.30000
OECD - Total,2008,,,12.31000,30.20000
OECD - Total,2009,15651.00000,9.28000,13.30000,30.09000
OECD - Total,2010,16072.00000,9.23000,13.06000,29.82000
OECD - Total,2011,16313.00000,9.08000,12.68000,29.52000
OECD - Total,2012,16512.00000,8.97000,12.35000,29.12000
OECD - Total,2013,16829.00000,8.89000,12.15000,29.04000
OECD - Total,2014,17088.00000,8.78000,11.98000,28.99000
OECD - Total,2015,17353.00000,8.71000,11.89000,29.06000
Poland,2007,,,12.42000,28.82000
Poland,2008,,,13.01000,29.44000
Poland,2009,8656.98050,7.98000,13.00000,28.93000
Poland,2010,9541.41020,8.34000,13.94000,30.43000
Poland,2011,9904.82030,7.63000,13.48000,30.72000
Poland,2012,10084.92000,7.72000,12.44000,29.05000
Poland,2013,10401.02000,7.76000,11.89000,27.93000
Poland,2014,10729.85000,7.79000,12.30000,29.11000
Poland,2015,11025.77000,7.78000,12.17000,29.28000
Poland,2016,11375.97000,7.65000,10.97000,26.58000
Portugal,2007,,,10.67000,23.99000
Portugal,2008,,,11.41000,25.17000
Portugal,2009,13307.36000,8.54000,12.65000,25.18000
Portugal,2010,14178.07000,8.06000,13.33000,25.72000
Portugal,2011,13394.46000,7.97000,11.45000,22.89000
Portugal,2012,12837.45000,7.74000,10.21000,21.05000
Portugal,2013,13932.98000,7.56000,9.74000,19.50000
Portugal,2014,14912.09000,7.58000,9.57000,18.50000
Portugal,2015,14345.54000,7.57000,9.83000,20.33000
Portugal,2016,13789.67000,7.50000,9.01000,19.99000
Russia,2011,8424.42970,8.64000,11.55000,33.00000
Russia,2012,9160.17970,8.56000,11.17000,30.91000
Russia,2013,9533.87010,8.68000,10.42000,27.88000
Russia,2014,10046.81000,6.90000,9.33000,24.05000
Slovakia,2007,,,12.69000,34.92000
Slovakia,2008,,,12.82000,34.71000
Slovakia,2009,10117.01000,11.22000,15.11000,34.26000
Slovakia,2010,10465.87000,10.88000,14.49000,34.39000
Slovakia,2011,10545.58000,10.45000,14.26000,34.93000
Slovakia,2012,10829.54000,10.33000,13.68000,33.66000
Slovakia,2013,11561.81000,10.47000,13.80000,33.29000
Slovakia,2014,12193.66000,10.66000,14.64000,34.85000
Slovakia,2015,13629.80000,10.99000,17.28000,37.93000
Slovakia,2016,12989.95000,10.73000,13.94000,33.49000
Slovenia,2007,,,11.97000,28.36000
Slovenia,2008,,,12.61000,28.75000
Slovenia,2009,13248.64000,8.66000,13.71000,28.43000
Slovenia,2010,13688.89000,8.92000,13.88000,28.19000
Slovenia,2011,14402.53000,9.29000,13.35000,26.71000
Slovenia,2012,14024.37000,9.01000,13.08000,26.90000
Slovenia,2013,17820.10000,8.97000,13.35000,22.13000
Slovenia,2014,15516.43000,8.62000,13.73000,27.43000
Slovenia,2015,15382.01000,8.64000,13.38000,27.80000
Slovenia,2016,15054.85000,8.54000,11.59000,25.49000
South Africa,2008,,,12.10000,
South Africa,2009,,8.62000,11.89000,
South Africa,2010,,8.48000,11.26000,
South Africa,2011,,8.16000,11.11000,
South Africa,2012,,8.57000,11.43000,
South Africa,2013,,8.44000,11.55000,
South Africa,2014,,8.63000,12.04000,
South Korea,2007,,,12.31000,41.49000
South Korea,2008,,,12.97000,40.54000
South Korea,2009,9904.66020,8.08000,14.57000,41.78000
South Korea,2010,9444.74020,7.96000,13.18000,42.50000
South Korea,2011,10133.31000,8.01000,12.94000,40.01000
South Korea,2012,10545.85000,8.08000,12.83000,39.22000
South Korea,2013,10401.85000,8.12000,12.80000,40.29000
South Korea,2014,10824.24000,8.17000,12.48000,39.04000
South Korea,2015,11192.64000,8.14000,12.54000,38.73000
Spain,2007,,,12.08000,30.98000
Spain,2008,,,12.50000,30.39000
Spain,2009,14838.09000,8.59000,13.70000,29.94000
Spain,2010,14595.02000,8.57000,13.26000,29.06000
Spain,2011,14688.34000,8.58000,12.28000,26.81000
Spain,2012,15385.55000,8.38000,10.87000,22.60000
Spain,2013,14866.93000,8.09000,10.33000,22.67000
Spain,2014,15119.85000,7.98000,10.13000,22.57000
Spain,2015,15195.32000,7.95000,10.46000,23.90000
Spain,2016,15324.39000,7.62000,9.55000,22.53000
Sweden,2007,,,14.47000,29.12000
Sweden,2008,,,15.07000,29.91000
Sweden,2009,21096.00000,11.84000,16.34000,30.74000
Sweden,2010,21340.75000,11.60000,16.11000,31.46000
Sweden,2011,22161.57000,11.66000,16.10000,31.78000
Sweden,2012,23138.10000,11.81000,16.37000,31.64000
Sweden,2013,23923.44900,12.01000,16.48000,31.45000
Sweden,2014,23899.94900,11.95000,16.35000,31.74000
Sweden,2015,24002.91000,11.83000,16.00000,31.88000
Sweden,2016,24761.68900,11.85000,16.26000,32.50000
Switzerland,2007,,,7.67000,24.77000
Switzerland,2008,,,7.92000,25.43000
Switzerland,2009,17031.08000,5.39000,8.35000,25.22000
Switzerland,2010,17353.75000,5.25000,8.31000,25.25000
Switzerland,2011,18397.64100,5.24000,8.33000,25.31000
Switzerland,2012,19163.35900,5.44000,8.48000,25.49000
Switzerland,2013,20420.13100,5.55000,8.56000,25.06000
Switzerland,2014,20685.84000,5.61000,8.57000,25.38000
Switzerland,2015,21181.07000,5.77000,8.76000,25.85000
Turkey,2009,6271.37010,8.59000,12.44000,30.46000
Turkey,2010,6592.98000,8.15000,11.63000,30.51000
Turkey,2011,6868.83980,7.37000,10.49000,29.80000
Turkey,2012,7204.64990,7.62000,10.72000,30.59000
Turkey,2013,7690.08010,7.68000,11.25000,32.65000
Turkey,2014,7830.64010,7.43000,10.62000,31.52000
Turkey,2015,8052.93990,7.54000,10.85000,32.76000
United Kingdom,2007,,,12.95000,31.40000
United Kingdom,2008,,,14.20000,31.63000
United Kingdom,2009,16467.38100,12.29000,15.62000,32.64000
United Kingdom,2010,17172.30100,11.89000,15.09000,31.40000
United Kingdom,2011,16924.08000,11.43000,14.39000,30.99000
United Kingdom,2012,17365.32000,11.29000,14.05000,30.33000
United Kingdom,2013,17440.42000,11.30000,13.93000,31.18000
United Kingdom,2014,17801.50000,11.20000,14.01000,32.04000
United Kingdom,2015,17910.30100,11.02000,13.70000,31.96000
United Kingdom,2016,18055.17000,10.73000,13.35000,31.73000
United States,2007,,,10.58000,28.65000
United States,2008,,,11.27000,28.56000
United States,2009,20169.84000,7.60000,11.80000,27.46000
United States,2010,20739.48000,7.55000,11.63000,27.08000
United States,2011,20796.71100,7.27000,11.14000,26.63000
United States,2012,20560.39100,6.95000,10.54000,26.33000
United States,2013,20410.40000,6.54000,9.87000,25.48000
United States,2014,20741.02900,6.30000,9.50000,24.95000
United States,2015,21157.32000,6.15000,9.35000,24.76000
