Entity,Year,"Gini, disposable household income (LIS Key Figures) ",Poverty rate (<60% of median) (LIS Key Figures)
Italy,2008,0.319,19.432
Italy,2010,0.320,18.954
Italy,2014,0.319,19.913
Japan,2008,0.302,17.561
Lithuania,2010,0.323,19.299
Lithuania,2013,0.348,20.095
Luxembourg,1985,0.236,10.861
Luxembourg,1991,0.239,12.192
Luxembourg,1994,0.235,10.419
Luxembourg,1997,0.261,13.157
Luxembourg,2000,0.262,12.336
Luxembourg,2004,0.269,13.772
Luxembourg,2007,0.276,14.445
Luxembourg,2010,0.271,13.542
Luxembourg,2013,0.283,16.439
Mexico,1984,0.430,25.105
Mexico,1989,0.452,25.524
Mexico,1992,0.475,25.373
Mexico,1994,0.485,26.741
Mexico,1996,0.470,26.254
Mexico,1998,0.486,28.152
Mexico,2000,0.486,28.162
Mexico,2002,0.468,26.528
Mexico,2004,0.457,25.491
Mexico,2008,0.469,27.296
Mexico,2010,0.455,26.405
Mexico,2012,0.459,25.966
Netherlands,1983,0.252,10.252
Netherlands,1987,0.236,8.307
Netherlands,1990,0.266,12.198
Netherlands,1993,0.257,13.712
Netherlands,1999,0.231,11.062
Netherlands,2004,0.266,11.774
Netherlands,2007,0.274,11.554
Netherlands,2010,0.257,11.106
Netherlands,2013,0.264,12.355
Norway,1979,0.224,12.089
Norway,1986,0.234,12.805
Norway,1991,0.231,12.143
Norway,1995,0.239,13.286
Norway,2000,0.250,12.281
Norway,2004,0.256,12.769
Norway,2007,0.244,13.013
Norway,2010,0.243,12.872
Norway,2013,0.248,13.590
Panama,2007,0.481,29.846
Panama,2010,0.471,28.384
Panama,2013,0.467,29.227
Paraguay,2010,0.469,28.739
Paraguay,2013,0.463,27.304
Peru,2004,0.519,33.334
Peru,2007,0.500,32.079
Peru,2010,0.470,30.355
Peru,2013,0.455,29.865
Poland,1986,0.271,16.957
Poland,1992,0.262,12.336
Poland,1995,0.318,17.629
Poland,1999,0.286,15.223
Poland,2004,0.315,17.230
Poland,2007,0.310,15.536
Poland,2010,0.310,16.234
Poland,2013,0.316,17.324
Romania,1995,0.279,15.189
Romania,1997,0.280,14.406
Russia,2000,0.408,23.476
Russia,2004,0.388,23.899
Russia,2007,0.350,23.770
Russia,2010,0.338,19.169
Russia,2013,0.331,19.510
Serbia,2006,0.343,22.414
Serbia,2010,0.324,20.451
Serbia,2013,0.332,20.797
Slovakia,1992,0.189,6.250
Slovakia,1996,0.250,12.863
Slovakia,2004,0.269,14.303
Slovakia,2007,0.248,12.782
Slovakia,2010,0.262,13.438
Slovakia,2013,0.268,13.838
Slovenia,1997,0.229,12.529
Slovenia,1999,0.232,13.197
Slovenia,2004,0.231,11.674
Slovenia,2007,0.230,13.183
Slovenia,2010,0.252,15.649
Slovenia,2012,0.271,15.918
South Africa,2008,0.596,30.401
South Africa,2010,0.585,30.847
South Africa,2012,0.572,29.827
South Korea,2006,0.305,20.389
South Korea,2008,0.314,20.544
South Korea,2010,0.309,20.518
South Korea,2012,0.306,20.095
Spain,1980,0.318,19.445
Spain,1985,0.314,17.214
Spain,1990,0.302,17.148
Spain,1995,0.353,20.519
Spain,2000,0.336,20.821
Spain,2004,0.316,20.588
Spain,2007,0.307,20.394
Spain,2010,0.333,22.330
Spain,2013,0.343,22.693
Sweden,1967,0.260,15.975
Sweden,1975,0.215,12.547
Sweden,1981,0.197,9.126
Sweden,1987,0.212,11.524
Sweden,1992,0.229,12.085
Sweden,1995,0.221,10.017
Sweden,2000,0.252,12.290
Sweden,2005,0.237,11.969
Switzerland,1982,0.309,13.504
Switzerland,1992,0.307,14.642
Switzerland,2000,0.280,13.826
Switzerland,2002,0.273,14.454
Switzerland,2004,0.268,14.812
Switzerland,2007,0.311,16.731
Switzerland,2010,0.294,16.162
Switzerland,2013,0.295,14.776
Taiwan,1981,0.267,11.787
Taiwan,1986,0.269,11.275
Taiwan,1991,0.271,12.512
Taiwan,1995,0.284,13.910
Taiwan,1997,0.287,14.758
Taiwan,2000,0.289,15.013
Taiwan,2005,0.305,15.790
Taiwan,2007,0.307,16.541
Taiwan,2010,0.317,18.547
Taiwan,2013,0.308,16.823
United Kingdom,1969,0.267,12.357
United Kingdom,1974,0.268,15.401
United Kingdom,1979,0.267,16.830
United Kingdom,1986,0.303,17.664
United Kingdom,1991,0.336,22.768
United Kingdom,1994,0.339,19.967
United Kingdom,1995,0.344,22.094
United Kingdom,1999,0.346,21.806
United Kingdom,2004,0.344,19.036
United Kingdom,2007,0.339,19.485
United Kingdom,2010,0.334,17.176
United Kingdom,2013,0.330,16.256
United States,1974,0.316,20.757
United States,1979,0.310,21.256
United States,1986,0.340,23.904
United States,1991,0.346,23.916
United States,1994,0.361,23.875
United States,1997,0.360,23.733
United States,2000,0.357,23.473
United States,2004,0.364,23.937
United States,2007,0.371,24.337
United States,2010,0.367,23.949
United States,2013,0.377,24.133
Uruguay,2004,0.424,23.760
Uruguay,2007,0.423,22.719
Uruguay,2010,0.405,22.402
Uruguay,2013,0.372,21.457
