Entity,Year,"Female lung cancer deaths (per 100,000) (WHO (IARC) (2016))"
Azerbaijan,1997,3.87
Azerbaijan,1998,3.45
Azerbaijan,1999,3.96
Azerbaijan,2000,3.83
Azerbaijan,2001,4.05
Azerbaijan,2002,4.63
Bahamas,2002,4.8
Bahrain,2002,12.4
Bangladesh,2002,3.3
Barbados,2002,3
Belarus,1981,3.79
Belarus,1982,3.76
Belarus,1985,4.29
Belarus,1986,4.29
Belarus,1987,5.02
Belarus,1988,4.45
Belarus,1989,4.57
Belarus,1990,4.53
Belarus,1991,5.06
Belarus,1992,5.1
Belarus,1993,4.87
Belarus,1994,4.32
Belarus,1995,4.32
Belarus,1997,4.55
Belarus,1998,4.19
Belarus,1999,3.64
Belarus,2000,3.8
Belarus,2001,3.72
Belarus,2002,3.67
Belgium,2002,10.1
Belize,1964,8.15
Belize,1965,8.11
Belize,1966,8.89
Belize,1969,2.25
Belize,1971,2.22
Belize,1972,5.05
Belize,1973,6.91
Belize,1975,2.67
Belize,1977,2.38
Belize,1980,2.6
Belize,1982,3.92
Belize,1983,2.31
Belize,1984,4.44
Belize,1986,4.45
Belize,1987,2.11
Belize,1989,1.24
Belize,1990,3.12
Belize,1993,3.95
Belize,1994,5.16
Belize,1996,4.14
Belize,1997,5.03
Belize,1998,1.89
Belize,1999,1.68
Belize,2000,7.61
Belize,2001,4.37
Belize,2002,3.3
Benin,2002,0.6
Bhutan,2002,2.2
Bolivia,2002,3.1
Bosnia and Herzegovina,2002,10.5
Botswana,2002,3
Brazil,1979,3.63
Brazil,1980,3.87
Brazil,1981,3.71
Brazil,1982,3.86
Brazil,1983,4.11
Brazil,1984,4.14
Brazil,1985,4.3
Brazil,1986,4.36
Brazil,1987,4.73
Brazil,1988,4.86
Brazil,1989,4.66
Brazil,1990,4.86
Brazil,1991,5.09
Brazil,1992,5.19
Brazil,1993,5.03
Brazil,1994,5.33
Brazil,1995,5.46
Brazil,1996,5.44
Brazil,1997,5.7
Brazil,1998,5.63
Brazil,1999,5.9
Brazil,2000,6.09
Brazil,2001,6.08
Brazil,2002,6.02
Brunei,2002,10.8
Bulgaria,1964,7.81
Bulgaria,1965,6.71
Bulgaria,1966,6.61
Bulgaria,1967,7.12
Bulgaria,1968,6.57
Bulgaria,1969,6.38
Bulgaria,1970,5.98
Bulgaria,1971,5.75
Bulgaria,1972,6.48
Bulgaria,1973,6.42
Bulgaria,1974,6.21
Bulgaria,1975,5.72
Bulgaria,1976,5.93
Bulgaria,1977,6.3
Bulgaria,1978,5.46
Bulgaria,1979,6.34
Bulgaria,1980,5.69
Bulgaria,1981,5.7
Bulgaria,1982,5.27
Bulgaria,1983,6.34
Bulgaria,1984,6.71
Bulgaria,1985,6.94
Bulgaria,1986,6.45
Bulgaria,1987,6.58
Bulgaria,1988,6.26
Bulgaria,1989,6.11
Bulgaria,1990,5.84
Bulgaria,1991,7.03
Bulgaria,1992,6.3
Bulgaria,1993,6.74
Bulgaria,1994,6.58
Bulgaria,1995,7.17
Bulgaria,1996,6.83
Bulgaria,1997,6.15
Bulgaria,1998,6.42
Bulgaria,1999,6.84
Bulgaria,2000,6.56
Bulgaria,2001,6.22
Bulgaria,2002,6.28
Burkina Faso,2002,2.1
Burundi,2002,2.1
Cambodia,2002,4.5
Cameroon,2002,0.3
Canada,1950,2.86
Canada,1951,3.28
Canada,1952,3.55
Canada,1953,3.35
Canada,1954,3.35
Canada,1955,4.18
Canada,1956,3.56
Canada,1957,3.45
Canada,1958,3.4
Canada,1959,3.58
Canada,1960,3.52
Canada,1961,3.91
Canada,1962,4.52
Canada,1963,4.28
Canada,1964,4.59
Canada,1965,5.03
Canada,1966,5.18
Canada,1967,5.64
Canada,1968,5.81
Canada,1969,5.95
Canada,1970,6.3
Canada,1971,6.49
Canada,1972,7.85
Canada,1973,8.23
Canada,1974,8.9
Canada,1975,9.32
Canada,1976,9.52
Canada,1977,10.8
Canada,1978,11.49
Canada,1979,12.55
Canada,1980,13.07
Canada,1981,13.89
Canada,1982,14.92
Canada,1983,15.25
Canada,1984,16.84
Canada,1985,18.13
Canada,1986,18.24
Canada,1987,19.23
Canada,1988,20.05
Canada,1989,20.07
Canada,1990,20.51
Canada,1991,21.98
Canada,1992,22.12
Canada,1993,23.3
Canada,1994,23.5
Canada,1995,22.77
Canada,1996,24.57
Canada,1997,23.33
Canada,1998,24.86
Canada,1999,24.88
Canada,2000,24.67
Canada,2001,24.4
Canada,2002,25.05
Cape Verde,2002,0.6
Central African Republic,2002,0.7
Chad,2002,0.7
Chile,1955,4.18
Chile,1956,3.77
Chile,1957,4.25
Chile,1958,4.16
Chile,1959,3.89
Chile,1960,4.45
Chile,1961,4.52
Chile,1962,4.34
Chile,1963,4.77
Chile,1964,4.47
Chile,1965,4.38
Chile,1966,4.77
Chile,1967,5.24
Chile,1968,4.36
Chile,1969,5.12
Chile,1970,5.01
Chile,1971,5.11
Chile,1972,4.35
Chile,1973,4.44
Chile,1974,4.63
Chile,1975,4.7
Chile,1976,5.27
Chile,1977,5.2
Chile,1978,4.51
Chile,1979,5.87
Chile,1980,5.56
Chile,1981,5.29
Chile,1982,5.41
Chile,1983,5.48
Chile,1984,5.76
Chile,1985,5.93
Chile,1986,5.92
Chile,1987,5.87
Chile,1988,5.56
Chile,1989,6.09
Chile,1990,6.17
Chile,1991,6.13
Chile,1992,6.32
Chile,1993,7.02
Chile,1994,6.36
Chile,1995,6.75
Chile,1996,7.12
Chile,1997,7.32
Chile,1998,6.65
Chile,1999,6.87
Chile,2000,6.92
Chile,2001,7.4
Chile,2002,7.32
China,2002,16.3
Colombia,1953,2.42
Colombia,1954,2.4
Colombia,1955,2.34
Colombia,1956,2.1
Colombia,1957,2.26
Colombia,1958,2.26
Colombia,1959,2.09
Colombia,1960,1.9
Colombia,1961,2.41
Colombia,1962,2.62
Colombia,1963,2.39
Colombia,1964,2.5
Colombia,1965,2.82
Colombia,1966,3.09
Colombia,1967,2.98
Colombia,1968,2.58
Colombia,1969,2.58
Colombia,1972,3.35
Colombia,1974,3.4
Colombia,1975,3.54
Colombia,1976,4.04
Colombia,1977,4.2
Colombia,1984,5.14
Colombia,1985,5.8
Colombia,1986,5.62
Colombia,1987,6.12
Colombia,1988,5.79
Colombia,1989,6.15
Colombia,1990,5.87
Colombia,1991,6.74
Colombia,1992,6.7
Colombia,1993,6.57
Colombia,1994,6.19
Colombia,1995,6.63
Colombia,1996,6.97
Colombia,1997,7.01
Colombia,1998,6.35
Colombia,1999,7.16
Colombia,2001,6.88
Colombia,2002,7.18
Comoros,2002,2.1
Congo,2002,0.5
Costa Rica,1961,1.99
Costa Rica,1962,2.19
Costa Rica,1963,2.94
Costa Rica,1964,3.83
Costa Rica,1965,1.72
Costa Rica,1966,2.34
Costa Rica,1967,3.14
Costa Rica,1968,3.54
Costa Rica,1969,3.36
Costa Rica,1970,3.32
Costa Rica,1971,4.02
Costa Rica,1972,4.03
Costa Rica,1973,2.4
Costa Rica,1974,4.72
Costa Rica,1975,5.06
Costa Rica,1976,3.75
Costa Rica,1977,4.31
Costa Rica,1978,4.46
Costa Rica,1979,3.77
Costa Rica,1980,5.1
Costa Rica,1981,6.05
Costa Rica,1982,6.19
Costa Rica,1983,4.28
Costa Rica,1984,5.19
Costa Rica,1985,5.39
Costa Rica,1986,4.73
Costa Rica,1987,6.16
Costa Rica,1988,4.35
Costa Rica,1989,6.87
Costa Rica,1990,4.65
Costa Rica,1991,4.76
Costa Rica,1992,4.51
Costa Rica,1993,5.01
Costa Rica,1994,4.5
Costa Rica,1995,4.91
Costa Rica,1996,5.09
Costa Rica,1997,5.76
Costa Rica,1998,3.82
Costa Rica,1999,4.88
Costa Rica,2000,5.34
Costa Rica,2001,4.37
Costa Rica,2002,3.69
Cote d'Ivoire,2002,1.2
Croatia,1985,6.54
Croatia,1986,8.32
Croatia,1987,7.83
Croatia,1988,7.97
Croatia,1989,8.63
Croatia,1990,8.51
Croatia,1991,8.78
Croatia,1992,8.61
Croatia,1993,7.31
Croatia,1994,8.04
Croatia,1995,7.57
Croatia,1996,9.01
Croatia,1997,8.48
Croatia,1998,9.93
Croatia,1999,8.8
Croatia,2000,10.39
Croatia,2001,9.61
Croatia,2002,10.21
Cuba,1964,13.88
Cuba,1968,12.79
Cuba,1969,11.58
Cuba,1970,14.87
Cuba,1971,13.67
Cuba,1972,13.93
Cuba,1973,14.75
Cuba,1974,13.38
Cuba,1975,13.22
Cuba,1976,13.11
Cuba,1977,13.12
Cuba,1978,11.36
Cuba,1979,12.62
Cuba,1980,12.18
Cuba,1981,11.83
Cuba,1982,12.22
Cuba,1983,13
Cuba,1984,13.49
Cuba,1985,13.09
Cuba,1986,13.39
Cuba,1987,13.31
Cuba,1988,13.6
Cuba,1989,13.71
Cuba,1990,13.37
Cuba,1991,13.13
Cuba,1992,14.24
Cuba,1993,13.53
Cuba,1994,12.12
Cuba,1995,12.75
Cuba,1996,13.31
Cuba,1997,13.94
Cuba,1998,13.74
Cuba,1999,13.72
Cuba,2000,14.65
Cuba,2001,14.62
Cuba,2002,15.64
Cyprus,2002,5.3
Czech Republic,1986,8.6
Czech Republic,1987,9.16
Czech Republic,1988,8.72
Czech Republic,1989,9.29
Czech Republic,1990,9.33
Czech Republic,1991,10.49
Czech Republic,1992,10.71
Czech Republic,1993,10.12
Czech Republic,1994,11.23
Czech Republic,1995,11.66
Czech Republic,1996,11.66
Czech Republic,1997,11.31
Czech Republic,1998,11.61
Czech Republic,1999,12.55
Czech Republic,2000,12.53
Czech Republic,2001,13.03
Czech Republic,2002,12.32
Czechoslovakia,1953,4.91
Czechoslovakia,1954,5.31
Czechoslovakia,1955,5.68
Czechoslovakia,1956,5.39
Czechoslovakia,1957,5.5
Czechoslovakia,1958,5.31
Czechoslovakia,1959,5.74
Czechoslovakia,1960,5.1
Czechoslovakia,1961,5.43
Czechoslovakia,1962,5.53
Czechoslovakia,1963,5.52
Czechoslovakia,1964,6.11
Czechoslovakia,1965,5.77
Czechoslovakia,1966,5.66
Czechoslovakia,1967,5.77
Czechoslovakia,1968,5.45
Czechoslovakia,1969,6.24
Czechoslovakia,1970,5.67
Czechoslovakia,1971,5.35
Czechoslovakia,1972,5.49
Czechoslovakia,1973,5.36
Czechoslovakia,1974,5.41
Czechoslovakia,1975,5.58
Czechoslovakia,1976,5.91
Czechoslovakia,1977,5.99
Czechoslovakia,1978,6.96
Czechoslovakia,1979,6.6
Czechoslovakia,1980,6.67
Czechoslovakia,1981,6.75
Czechoslovakia,1982,6.65
Czechoslovakia,1983,7.41
Czechoslovakia,1984,7.58
Czechoslovakia,1985,7.62
Czechoslovakia,1986,7.98
Czechoslovakia,1987,8.34
Czechoslovakia,1988,7.95
Czechoslovakia,1989,8.53
Czechoslovakia,1990,8.49
Czechoslovakia,1991,9.44
Democratic Republic of Congo,2002,0.6
Denmark,1951,3.64
Denmark,1952,4.25
Denmark,1953,4.38
Denmark,1954,4.1
Denmark,1955,4.61
Denmark,1956,3.75
Denmark,1957,5.21
Denmark,1958,4.45
Denmark,1959,4.72
Denmark,1960,5.78
Denmark,1961,5.37
Denmark,1962,5.96
Denmark,1963,6.09
Denmark,1964,6.41
Denmark,1965,6.94
Denmark,1966,6.59
Denmark,1967,8.38
Denmark,1968,7.23
Denmark,1969,8.26
Denmark,1970,8.75
Denmark,1971,9.26
Denmark,1972,10.24
Denmark,1973,9.22
Denmark,1974,9.92
Denmark,1975,10.83
Denmark,1976,13.22
Denmark,1977,11.72
Denmark,1978,13.13
Denmark,1979,14.64
Denmark,1980,14.37
Denmark,1981,16.34
Denmark,1982,16.03
Denmark,1983,19.92
Denmark,1984,21.09
Denmark,1985,19.84
Denmark,1986,19.87
Denmark,1987,22.93
Denmark,1988,24.08
Denmark,1989,21.72
Denmark,1990,23.84
Denmark,1991,25.8
Denmark,1992,24.47
Denmark,1993,25.38
Denmark,1994,28.3
Denmark,1995,28.13
Denmark,1996,27.61
Denmark,1997,29.39
Denmark,1998,27.18
Denmark,1999,28.17
Denmark,2000,27.35
Denmark,2001,28.05
Denmark,2002,27.8
Djibouti,2002,2.1
Dominican Republic,1965,1.26
Dominican Republic,1966,1.57
Dominican Republic,1967,2.12
Dominican Republic,1968,1.97
Dominican Republic,1969,1.64
Dominican Republic,1970,0.93
Dominican Republic,1971,3.02
Dominican Republic,1972,1.47
Dominican Republic,1973,1.57
Dominican Republic,1974,1.75
Dominican Republic,1975,1.39
Dominican Republic,1976,1.57
Dominican Republic,1977,2.82
Dominican Republic,1978,2.21
Dominican Republic,1979,1.85
Dominican Republic,1980,2.27
Dominican Republic,1981,2.07
Dominican Republic,1982,2.76
Dominican Republic,1983,3.38
Dominican Republic,1984,2.97
Dominican Republic,1985,1.92
Dominican Republic,1986,2.77
Dominican Republic,1987,3.37
Dominican Republic,1988,3.07
Dominican Republic,1989,3.65
Dominican Republic,1990,2.56
Dominican Republic,1991,3.1
Dominican Republic,1992,2.84
Dominican Republic,1994,3.07
Dominican Republic,1995,2.98
Dominican Republic,1996,3.3
Dominican Republic,1997,4.34
Dominican Republic,1998,4.52
Dominican Republic,1999,4.5
Dominican Republic,2000,3.19
Dominican Republic,2001,4.62
Dominican Republic,2002,4.0525
Ecuador,1961,1.84
Ecuador,1963,1.94
Ecuador,1964,2.35
Ecuador,1968,2.01
Ecuador,1969,2.35
Ecuador,1970,1.61
Ecuador,1971,1.75
Ecuador,1972,1.77
Ecuador,1973,1.55
Ecuador,1974,1.58
Ecuador,1975,1.87
Ecuador,1977,1.5
Ecuador,1978,1.43
Ecuador,1979,2.11
Ecuador,1980,2.08
Ecuador,1981,2.51
Ecuador,1982,2.75
Ecuador,1983,2.06
Ecuador,1984,2.76
Ecuador,1985,2.37
Ecuador,1986,2.8
Ecuador,1987,2.55
Ecuador,1988,2.68
Ecuador,1989,2.96
Ecuador,1990,2.66
Ecuador,1991,2.92
Ecuador,1992,2.73
Ecuador,1993,3.15
Ecuador,1994,3.26
Ecuador,1995,4.48
Ecuador,1996,3.79
Ecuador,1997,3.89
Ecuador,1998,3.69
Ecuador,1999,3.83
Ecuador,2000,3.3
Ecuador,2001,3.8
Ecuador,2002,3.52
Egypt,2002,2.8
El Salvador,1950,0.68
El Salvador,1951,0.45
El Salvador,1952,0.23
El Salvador,1953,0.93
El Salvador,1954,1.22
El Salvador,1955,0.65
El Salvador,1956,0.54
El Salvador,1957,0.61
El Salvador,1958,0.99
El Salvador,1959,0.84
El Salvador,1960,0.77
El Salvador,1961,2.06
El Salvador,1962,1.11
El Salvador,1963,0.82
El Salvador,1964,0.91
El Salvador,1965,0.83
El Salvador,1966,1.03
El Salvador,1967,2.12
El Salvador,1968,0.85
El Salvador,1969,1.5
El Salvador,1970,1.2
El Salvador,1971,0.92
El Salvador,1972,1.19
El Salvador,1973,1.01
El Salvador,1974,1.46
El Salvador,1981,1.81
El Salvador,1982,1.46
El Salvador,1983,1.4
El Salvador,1984,1.17
El Salvador,1990,1.74
El Salvador,1991,2.09
El Salvador,1992,1.74
El Salvador,1993,2.17
El Salvador,1995,1.77
El Salvador,1996,3.73
El Salvador,1997,2.96
El Salvador,1998,2.54
El Salvador,1999,2.85
El Salvador,2000,3.72
El Salvador,2001,3.84
El Salvador,2002,3.19
Equatorial Guinea,2002,0.7
Eritrea,2002,2.1
Estonia,1981,7.44
Estonia,1982,5.87
Estonia,1985,5.88
Estonia,1986,6.4
Estonia,1987,7.19
Estonia,1988,7.69
Estonia,1989,8.28
Estonia,1990,7.17
Estonia,1991,7.99
Estonia,1992,7.49
Estonia,1993,7.58
Estonia,1994,7.04
Estonia,1995,6.86
Estonia,1996,7.3
Estonia,1997,8.84
Estonia,1998,7.1
Estonia,1999,7.33
Estonia,2000,7.1
Estonia,2001,7.82
Estonia,2002,7.65
Ethiopia,2002,3.1
Fiji,2002,1.6
Finland,1952,4.81
Finland,1953,3.63
Finland,1954,4.2
Finland,1955,4.55
Finland,1956,3.29
Finland,1957,4.4
Finland,1958,4.01
Finland,1959,4.32
Finland,1960,2.75
Finland,1961,3.79
Finland,1962,3.63
Finland,1963,4.24
Finland,1964,3.96
Finland,1965,3.87
Finland,1966,3.9
Finland,1967,4.19
Finland,1968,4.18
Finland,1969,3.98
Finland,1970,3.86
Finland,1971,4.31
Finland,1972,4.81
Finland,1973,3.53
Finland,1974,4.19
Finland,1975,4.28
Finland,1976,5.27
Finland,1977,5.38
Finland,1978,5.28
Finland,1979,5.27
Finland,1980,6.18
Finland,1981,5.78
Finland,1982,5.7
Finland,1983,5.42
Finland,1984,6.18
Finland,1985,6.8
Finland,1986,6.25
Finland,1987,6.58
Finland,1988,6.31
Finland,1989,6.48
Finland,1990,6.81
Finland,1991,6.86
Finland,1992,7.38
Finland,1993,6.61
Finland,1994,6.85
Finland,1995,7.02
Finland,1996,7.05
Finland,1997,7.19
Finland,1998,8.08
Finland,1999,6.94
Finland,2000,7.6
Finland,2001,8.1
Finland,2002,8.07
France,1950,3.09
France,1952,3.32
France,1953,3.27
France,1954,3.35
France,1955,3.35
France,1956,3.32
France,1957,3.51
France,1958,3.34
France,1959,3.41
France,1960,3.37
France,1961,3.42
France,1962,3.53
France,1963,3.81
France,1964,3.7
France,1965,3.67
France,1966,3.79
France,1967,3.93
France,1968,3.54
France,1969,3.46
France,1970,3.34
France,1971,3.46
France,1972,3.49
France,1973,3.5
France,1974,3.58
France,1975,3.57
France,1976,3.6
France,1977,3.62
France,1978,3.79
France,1979,3.68
France,1980,3.82
France,1981,4.04
France,1982,4.06
France,1983,4.26
France,1984,4.13
France,1985,4.36
France,1986,4.48
France,1987,4.99
France,1988,5.04
France,1989,5.18
France,1990,5.15
France,1991,5.38
France,1992,5.4
France,1993,5.66
France,1994,5.85
France,1995,6.26
France,1996,6.46
France,1997,6.44
France,1998,7.13
France,1999,7.44
France,2000,7.25
France,2001,7.54
France,2002,8.22
French Polynesia,2002,0.9
Gabon,2002,1.7
Gambia,2002,0.6
Georgia,2002,6.1
Germany,1973,4.7
Germany,1974,4.87
Germany,1975,5.01
Germany,1976,5.16
Germany,1977,5.1
Germany,1978,5.31
Germany,1980,5.57
Germany,1981,5.81
Germany,1982,6.03
Germany,1983,6.4
Germany,1984,6.47
Germany,1985,6.46
Germany,1986,6.88
Germany,1987,7.23
Germany,1988,7.25
Germany,1989,7.62
Germany,1990,7.86
Germany,1991,8.35
Germany,1992,8.46
Germany,1993,8.85
Germany,1994,9.16
Germany,1995,9.19
Germany,1996,9.36
Germany,1997,9.81
Germany,1998,10.14
Germany,1999,10.2
Germany,2000,10.72
Germany,2001,10.78
Germany,2002,11.13
Ghana,2002,0.6
Greece,1961,4.74
Greece,1962,4.6
Greece,1963,5.93
Greece,1964,5.06
Greece,1965,6.38
Greece,1966,6.1
Greece,1967,6.08
Greece,1968,5.48
Greece,1969,5.91
Greece,1970,6.04
Greece,1971,5
Greece,1972,5.82
Greece,1973,6.15
Greece,1974,6.07
Greece,1975,6.73
Greece,1976,6.08
Greece,1977,7.01
Greece,1978,6.89
Greece,1979,6.85
Greece,1980,6.04
Greece,1981,6.02
Greece,1982,6.4
Greece,1983,6.23
Greece,1984,6.33
Greece,1985,7.16
Greece,1986,6.48
Greece,1987,6.29
Greece,1988,6.99
Greece,1989,6.68
Greece,1990,7.34
Greece,1991,7.1
Greece,1992,6.97
Greece,1993,6.75
Greece,1994,6.98
Greece,1995,7.18
Greece,1996,7.1
Greece,1997,6.93
Greece,1998,7.28
Greece,1999,6.73
Greece,2000,7.4
Greece,2001,7.1
Greece,2002,7.27
Guam,2002,14.2
Guatemala,1963,1.14
Guatemala,1964,1.13
Guatemala,1965,1.63
Guatemala,1966,0.95
Guatemala,1967,1.29
Guatemala,1968,1.51
Guatemala,1969,0.6
Guatemala,1970,0.67
Guatemala,1971,1.52
Guatemala,1974,1.6
Guatemala,1975,1.88
Guatemala,1976,1.6
Guatemala,1977,1.34
Guatemala,1978,1.45
Guatemala,1980,1.16
Guatemala,1981,1.03
Guatemala,1984,2.09
Guatemala,1986,2.15
Guatemala,1987,2.73
Guatemala,1988,2.17
Guatemala,1989,2.73
Guatemala,1990,2.42
Guatemala,1991,2.27
Guatemala,1992,2.62
Guatemala,1993,3.09
Guatemala,1994,3.8
Guatemala,1995,3.69
Guatemala,1996,2.48
Guatemala,1997,3.68
Guatemala,1998,3.21
Guatemala,1999,4.14
Guatemala,2000,3.66
Guatemala,2001,4.09
Guatemala,2002,4.04
Guinea,2002,1.5
Guinea-Bissau,2002,0.6
Guyana,2002,4.8
Haiti,2002,0.4
Honduras,2002,5.9
Hong Kong,1960,11.76
Hong Kong,1961,10.36
Hong Kong,1962,11.63
Hong Kong,1963,12.93
Hong Kong,1964,13.87
Hong Kong,1965,15.47
Hong Kong,1966,17.16
Hong Kong,1967,18.04
Hong Kong,1968,17.3
Hong Kong,1969,19.44
Hong Kong,1970,18.81
Hong Kong,1971,20.98
Hong Kong,1972,19.73
Hong Kong,1973,20.93
Hong Kong,1974,20.06
Hong Kong,1975,22.59
Hong Kong,1976,24.75
Hong Kong,1977,23.52
Hong Kong,1978,23.92
Hong Kong,1979,23.94
Hong Kong,1980,22.19
Hong Kong,1981,22.84
Hong Kong,1982,25.09
Hong Kong,1983,21.46
Hong Kong,1984,23.94
Hong Kong,1985,24.03
Hong Kong,1986,25.22
Hong Kong,1987,24.71
Hong Kong,1988,23.57
Hong Kong,1989,22.96
Hong Kong,1990,23.3
Hong Kong,1991,22.97
Hong Kong,1992,24.45
Hong Kong,1993,23.6
Hong Kong,1994,21.04
Hong Kong,1995,19.87
Hong Kong,1996,19.21
Hong Kong,1997,18.68
Hong Kong,1998,19.56
Hong Kong,1999,18.78
Hong Kong,2000,18.52
Hong Kong,2001,18.64
Hong Kong,2002,18.18
Hungary,1955,5.31
Hungary,1956,5.31
Hungary,1957,5.7
Hungary,1958,6.14
Hungary,1959,6.23
Hungary,1960,6.32
Hungary,1961,6.68
Hungary,1962,7.22
Hungary,1963,7.21
Hungary,1964,7.57
Hungary,1965,7.23
Hungary,1966,7.57
Hungary,1967,6.99
Hungary,1968,7.63
Hungary,1969,7.01
Hungary,1970,7.63
Hungary,1971,7.85
Hungary,1972,7.69
Hungary,1973,8.68
Hungary,1974,8.67
Hungary,1975,8.03
Hungary,1976,8.96
Hungary,1977,8.47
Hungary,1978,9.61
Hungary,1979,9.29
Hungary,1980,10.26
Hungary,1981,9.89
Hungary,1982,10.94
Hungary,1983,11.41
Hungary,1984,11.34
Hungary,1985,11.62
Hungary,1986,12.43
Hungary,1987,13.69
Hungary,1988,13.84
Hungary,1989,14.6
Hungary,1990,15.57
Hungary,1991,15.92
Hungary,1992,16.82
Hungary,1993,18.05
Hungary,1994,17.42
Hungary,1995,18.77
Hungary,1996,20.31
Hungary,1997,19.72
Hungary,1998,20.08
Hungary,1999,20.91
Hungary,2000,21.38
Hungary,2001,21.67
Hungary,2002,22.69
Iceland,1951,1.01
Iceland,1952,3.74
Iceland,1953,2.43
Iceland,1954,7.42
Iceland,1956,3.09
Iceland,1957,6.75
Iceland,1958,2.1
Iceland,1959,6.56
Iceland,1960,13.42
Iceland,1961,3
Iceland,1962,2.55
Iceland,1963,2.88
Iceland,1964,10.39
Iceland,1965,5.67
Iceland,1966,8.89
Iceland,1967,8.84
Iceland,1968,7.3
Iceland,1969,10.84
Iceland,1970,5.17
Iceland,1971,11.23
Iceland,1972,12.05
Iceland,1973,9.12
Iceland,1974,9.68
