Entity,Year,"Health expenditure per capita, PPP (World Bank (2016))"
Antigua and Barbuda,2008,1171.17
Antigua and Barbuda,2009,1063.32
Antigua and Barbuda,2010,1136.63
Antigua and Barbuda,2011,1128.36
Antigua and Barbuda,2012,1124.68
Antigua and Barbuda,2013,1020.92
Arab World,1995,292.57
Arab World,1996,292.64
Arab World,1997,301.33
Arab World,1998,327.37
Arab World,1999,344.08
Arab World,2000,355.33
Arab World,2001,395.25
Arab World,2002,406.85
Arab World,2003,418.31
Arab World,2004,421.45
Arab World,2005,420.82
Arab World,2006,458.51
Arab World,2007,489.81
Arab World,2008,499.19
Arab World,2009,640.07
Arab World,2010,540.46
Arab World,2011,626.49
Arab World,2012,694.63
Arab World,2013,682.89
Argentina,1995,649.08
Argentina,1996,664.87
Argentina,1997,754.24
Argentina,1998,801.47
Argentina,1999,851.54
Argentina,2000,841.01
Argentina,2001,828.4
Argentina,2002,658.91
Argentina,2003,717.1
Argentina,2004,794.02
Argentina,2005,903.16
Argentina,2006,993.49
Argentina,2007,1095.29
Argentina,2008,1195.16
Argentina,2009,1371.4
Argentina,2010,1312.14
Argentina,2011,1341.67
Argentina,2012,1550.06
Argentina,2013,1724.62
Armenia,1995,101.75
Armenia,1996,100.5
Armenia,1997,106.4
Armenia,1998,116.09
Armenia,1999,120.8
Armenia,2000,144.83
Armenia,2001,154.99
Armenia,2002,162.62
Armenia,2003,195.59
Armenia,2004,220.24
Armenia,2005,247.98
Armenia,2006,253.2
Armenia,2007,279.5
Armenia,2008,269.72
Armenia,2009,280.03
Armenia,2010,291.19
Armenia,2011,252.98
Armenia,2012,332.49
Armenia,2013,351.38
Australia,1995,1625.28
Australia,1996,1725.56
Australia,1997,1811.52
Australia,1998,1951.91
Australia,1999,2085.84
Australia,2000,2255.31
Australia,2001,2388.02
Australia,2002,2550.39
Australia,2003,2657.34
Australia,2004,2861.05
Australia,2005,2961.28
Australia,2006,3144.4
Australia,2007,3315.99
Australia,2008,3451.63
Australia,2009,3687.46
Australia,2010,3761.33
Australia,2011,3983.71
Australia,2012,4042.35
Australia,2013,4191.09
Austria,1995,2253.29
Austria,1996,2325.37
Austria,1997,2456.49
Austria,1998,2616.84
Austria,1999,2765.23
Austria,2000,2904.39
Austria,2001,2941.45
Austria,2002,3090.9
Austria,2003,3236.14
Austria,2004,3436.3
Austria,2005,3514.89
Austria,2006,3747.87
Austria,2007,3910.61
Austria,2008,4188.11
Austria,2009,4401.58
Austria,2010,4516.83
Austria,2011,4680.49
Austria,2012,4812.31
Austria,2013,4884.62
Azerbaijan,1995,138.96
Azerbaijan,1996,149.98
Azerbaijan,1997,142.4
Azerbaijan,1998,156.62
Azerbaijan,1999,166.83
Azerbaijan,2000,163.86
Azerbaijan,2001,175.12
Azerbaijan,2002,193.96
Azerbaijan,2003,319.73
Azerbaijan,2004,432.2
Azerbaijan,2005,553.08
Azerbaijan,2006,594.38
Azerbaijan,2007,622.72
Azerbaijan,2008,596.43
Azerbaijan,2009,868.89
Azerbaijan,2010,830.63
Azerbaijan,2011,786.66
Azerbaijan,2012,878.4
Azerbaijan,2013,956.65
Bahamas,1995,1103.66
Bahamas,1996,1157.72
Bahamas,1997,959.92
Bahamas,1998,1011.26
Bahamas,1999,1012.26
Bahamas,2000,1064.2
Bahamas,2001,1085.08
Bahamas,2002,1126.97
Bahamas,2003,1189.38
Bahamas,2004,1299.7
Bahamas,2005,1340.65
Bahamas,2006,1613.09
Bahamas,2007,1687.12
Bahamas,2008,1695.02
Bahamas,2009,1639.55
Bahamas,2010,1642.66
Bahamas,2011,1738.94
Bahamas,2012,1703.27
Bahamas,2013,1688.21
Bahrain,1995,1529.02
Bahrain,1996,1540.37
Bahrain,1997,1687.7
Bahrain,1998,1658.95
Bahrain,1999,1660.76
Bahrain,2000,1254.75
Bahrain,2001,1360.7
Bahrain,2002,1395.44
Bahrain,2003,1380.59
Bahrain,2004,1285.17
Bahrain,2005,1238.74
Bahrain,2006,1225.84
Bahrain,2007,1255.21
Bahrain,2008,1289.18
Bahrain,2009,1497.07
Bahrain,2010,1446.66
Bahrain,2011,1365.96
Bahrain,2012,1651.02
Bahrain,2013,1900.21
Bangladesh,1995,30.49
Bangladesh,1996,31.27
Bangladesh,1997,24.35
Bangladesh,1998,25.26
Bangladesh,1999,26.56
Bangladesh,2000,28.94
Bangladesh,2001,32.98
Bangladesh,2002,36.13
Bangladesh,2003,37.24
Bangladesh,2004,41.47
Bangladesh,2005,45.84
Bangladesh,2006,52.36
Bangladesh,2007,56.81
Bangladesh,2008,61.28
Bangladesh,2009,65.77
Bangladesh,2010,73.67
Bangladesh,2011,81.69
Bangladesh,2012,85.16
Bangladesh,2013,95.33
Barbados,1995,639.06
Barbados,1996,651.19
Barbados,1997,668.61
Barbados,1998,668.33
Barbados,1999,695.31
Barbados,2000,791.94
Barbados,2001,829.75
Barbados,2002,934.32
Barbados,2003,924.12
Barbados,2004,1207.46
Barbados,2005,1047.91
Barbados,2006,1353.59
Barbados,2007,1521.12
Barbados,2008,1531.55
Barbados,2009,1433.49
Barbados,2010,1481.9
Barbados,2011,1558.91
Barbados,2012,1406.67
Barbados,2013,1060.23
Belarus,1995,259.72
Belarus,1996,252.32
Belarus,1997,303.33
Belarus,1998,301.5
Belarus,1999,328.68
Belarus,2000,355.54
Belarus,2001,414.23
Belarus,2002,434.45
Belarus,2003,486.48
Belarus,2004,560.5
Belarus,2005,665.67
Belarus,2006,697.7
Belarus,2007,793.43
Belarus,2008,826.71
Belarus,2009,856.18
Belarus,2010,855.29
Belarus,2011,819.45
Belarus,2012,866.94
Belarus,2013,1081.39
Belgium,1995,1710.3
Belgium,1996,1807.93
Belgium,1997,1854.18
Belgium,1998,1925.04
Belgium,1999,2050.61
Belgium,2000,2250.68
Belgium,2001,2372.34
Belgium,2002,2548.32
Belgium,2003,2929.25
Belgium,2004,3022.38
Belgium,2005,3115.37
Belgium,2006,3294.72
Belgium,2007,3440.21
Belgium,2008,3696.48
Belgium,2009,3947.96
Belgium,2010,4057.76
Belgium,2011,4245.59
Belgium,2012,4345.45
Belgium,2013,4526.08
Belize,1995,191.82
Belize,1996,165.11
Belize,1997,182.48
Belize,1998,179.87
Belize,1999,186.1
Belize,2000,226.71
Belize,2001,268.34
Belize,2002,271.3
Belize,2003,305.18
Belize,2004,309.92
Belize,2005,325.44
Belize,2006,338.3
Belize,2007,370.61
Belize,2008,409.23
Belize,2009,459.05
Belize,2010,474.4
Belize,2011,458.4
Belize,2012,458.04
Belize,2013,458.24
Benin,1995,47.87
Benin,1996,48.17
Benin,1997,47.29
Benin,1998,49.11
Benin,1999,53.3
Benin,2000,52.45
Benin,2001,59.64
Benin,2002,55.8
Benin,2003,61.96
Benin,2004,62.57
Benin,2005,66.74
Benin,2006,69.41
Benin,2007,69.25
Benin,2008,66.34
Benin,2009,70.23
Benin,2010,75.13
Benin,2011,80.9
Benin,2012,85.21
Benin,2013,81.66
Bhutan,1995,82.57
Bhutan,1996,141.61
Bhutan,1997,173.5
Bhutan,1998,178.33
Bhutan,1999,181.83
Bhutan,2000,192.67
Bhutan,2001,190.75
Bhutan,2002,265.33
Bhutan,2003,181.52
Bhutan,2004,167.32
Bhutan,2005,215.98
Bhutan,2006,231.94
Bhutan,2007,306.96
Bhutan,2008,344.42
Bhutan,2009,322.61
Bhutan,2010,332.26
Bhutan,2011,332.15
Bhutan,2012,263.78
Bhutan,2013,275.5
Bolivia,1995,132.87
Bolivia,1996,142.98
Bolivia,1997,142.68
Bolivia,1998,171.04
Bolivia,1999,207.3
Bolivia,2000,208.76
Bolivia,2001,221.04
Bolivia,2002,233.27
Bolivia,2003,204.46
Bolivia,2004,205.75
Bolivia,2005,227.72
Bolivia,2006,207.89
Bolivia,2007,214.81
Bolivia,2008,240.2
Bolivia,2009,287.82
Bolivia,2010,283.19
Bolivia,2011,271.77
Bolivia,2012,332.01
Bolivia,2013,371.76
Bosnia and Herzegovina,1995,123.76
Bosnia and Herzegovina,1996,252.5
Bosnia and Herzegovina,1997,278.02
Bosnia and Herzegovina,1998,315.3
Bosnia and Herzegovina,1999,368.23
Bosnia and Herzegovina,2000,314.68
Bosnia and Herzegovina,2001,337.03
Bosnia and Herzegovina,2002,351.09
Bosnia and Herzegovina,2003,422.71
Bosnia and Herzegovina,2004,521.6
Bosnia and Herzegovina,2005,538.3
Bosnia and Herzegovina,2006,602.12
Bosnia and Herzegovina,2007,666.28
Bosnia and Herzegovina,2008,750.69
Bosnia and Herzegovina,2009,837.42
Bosnia and Herzegovina,2010,853.56
Bosnia and Herzegovina,2011,915.17
Bosnia and Herzegovina,2012,934.44
Bosnia and Herzegovina,2013,928.45
Botswana,1995,269.95
Botswana,1996,282.87
Botswana,1997,330.62
Botswana,1998,323.96
Botswana,1999,325.81
Botswana,2000,374.1
Botswana,2001,465.78
Botswana,2002,557.21
Botswana,2003,424.58
Botswana,2004,529.44
Botswana,2005,573.1
Botswana,2006,553.08
Botswana,2007,584.03
Botswana,2008,694.66
Botswana,2009,734.79
Botswana,2010,735.25
Botswana,2011,734.05
Botswana,2012,814.08
Botswana,2013,851.08
Brazil,1995,522.45
Brazil,1996,550.97
Brazil,1997,567.18
Brazil,1998,559.09
Brazil,1999,589.11
Brazil,2000,626.19
Brazil,2001,649.29
Brazil,2002,660.79
Brazil,2003,657.03
Brazil,2004,715.44
Brazil,2005,882.93
Brazil,2006,951.34
Brazil,2007,1021.02
Brazil,2008,1082.84
Brazil,2009,1134.51
Brazil,2010,1240.69
Brazil,2011,1311.95
Brazil,2012,1387.82
Brazil,2013,1453.9
Brunei,1995,1688.17
Brunei,1996,2168.46
Brunei,1997,2127.83
Brunei,1998,2492.93
Brunei,1999,2352
Brunei,2000,1775.62
Brunei,2001,1931.75
Brunei,2002,1956.01
Brunei,2003,1999.86
Brunei,2004,1968.49
Brunei,2005,1719.26
Brunei,2006,1557.63
Brunei,2007,1627.35
Brunei,2008,1539.05
Brunei,2009,1908.05
Brunei,2010,1893.44
Brunei,2011,1616.85
Brunei,2012,1677.6
Brunei,2013,1811.61
Bulgaria,1995,289.71
Bulgaria,1996,240.76
Bulgaria,1997,255.72
Bulgaria,1998,285.16
Bulgaria,1999,337.6
Bulgaria,2000,384.5
Bulgaria,2001,491.03
Bulgaria,2002,573.1
Bulgaria,2003,621.03
Bulgaria,2004,646.75
Bulgaria,2005,714.81
Bulgaria,2006,762.46
Bulgaria,2007,850.12
Bulgaria,2008,984.09
Bulgaria,2009,1009.03
Bulgaria,2010,1088.42
Bulgaria,2011,1138.14
Bulgaria,2012,1171.05
Bulgaria,2013,1212.52
Burkina Faso,1995,31.11
Burkina Faso,1996,35.78
Burkina Faso,1997,37.61
Burkina Faso,1998,40.68
Burkina Faso,1999,43.9
Burkina Faso,2000,43.32
Burkina Faso,2001,44.18
Burkina Faso,2002,47.7
Burkina Faso,2003,55.57
Burkina Faso,2004,66.65
Burkina Faso,2005,77.33
Burkina Faso,2006,78.68
Burkina Faso,2007,82.49
Burkina Faso,2008,88.21
Burkina Faso,2009,97.27
Burkina Faso,2010,97.21
Burkina Faso,2011,90.49
Burkina Faso,2012,95.39
Burkina Faso,2013,109.15
Burundi,1995,33.31
Burundi,1996,30.52
Burundi,1997,27.93
Burundi,1998,33.49
Burundi,1999,32.31
Burundi,2000,29.45
Burundi,2001,29.88
Burundi,2002,32.44
Burundi,2003,31.9
Burundi,2004,44.24
Burundi,2005,62.3
Burundi,2006,75.03
Burundi,2007,67.41
Burundi,2008,54.65
Burundi,2009,49.78
Burundi,2010,62.91
Burundi,2011,63.14
Burundi,2012,62.47
Burundi,2013,61.83
Cambodia,1995,42.31
Cambodia,1996,59.92
Cambodia,1997,54.74
Cambodia,1998,53.29
Cambodia,1999,55.24
Cambodia,2000,63.18
Cambodia,2001,66.52
Cambodia,2002,73.82
Cambodia,2003,90.88
Cambodia,2004,96.09
Cambodia,2005,100.57
Cambodia,2006,82.32
Cambodia,2007,76.32
Cambodia,2008,128.2
Cambodia,2009,146.11
Cambodia,2010,143.44
Cambodia,2011,147.13
Cambodia,2012,208.62
Cambodia,2013,228.71
Cameroon,1995,58.79
Cameroon,1996,81.84
Cameroon,1997,76.54
Cameroon,1998,75.35
Cameroon,1999,77.89
Cameroon,2000,81.05
Cameroon,2001,88.61
Cameroon,2002,94.35
Cameroon,2003,99.5
Cameroon,2004,97.16
Cameroon,2005,105.22
Cameroon,2006,106.82
Cameroon,2007,108.39
Cameroon,2008,118.09
Cameroon,2009,121.11
Cameroon,2010,127.06
Cameroon,2011,133.33
Cameroon,2012,129.97
Cameroon,2013,138.43
Canada,1995,2070.04
Canada,1996,2070.1
Canada,1997,2163.03
Canada,1998,2319.65
Canada,1999,2427.16
Canada,2000,2534.08
Canada,2001,2752.74
Canada,2002,2887.67
Canada,2003,3074.93
Canada,2004,3236.29
Canada,2005,3469.04
Canada,2006,3699.2
Canada,2007,3867.5
Canada,2008,4029.97
Canada,2009,4335.46
Canada,2010,4467.97
Canada,2011,4545.1
Canada,2012,4609.73
Canada,2013,4759.31
Cape Verde,1995,91.83
Cape Verde,1996,92.72
Cape Verde,1997,100.76
Cape Verde,1998,124.39
Cape Verde,1999,122.25
Cape Verde,2000,143.93
Cape Verde,2001,159.41
Cape Verde,2002,166.81
Cape Verde,2003,168.28
Cape Verde,2004,190.26
Cape Verde,2005,207.47
Cape Verde,2006,247.56
Cape Verde,2007,229.88
Cape Verde,2008,229.8
Cape Verde,2009,244.24
Cape Verde,2010,285.44
Cape Verde,2011,285.65
Cape Verde,2012,291.44
Cape Verde,2013,279.14
Caribbean small states,1995,363.18
Caribbean small states,1996,394.79
Caribbean small states,1997,427.81
Caribbean small states,1998,408.07
Caribbean small states,1999,412
Caribbean small states,2000,459.94
Caribbean small states,2001,479.31
Caribbean small states,2002,498.09
Caribbean small states,2003,534.58
Caribbean small states,2004,595.42
Caribbean small states,2005,600.46
Caribbean small states,2006,647.62
Caribbean small states,2007,733.21
Caribbean small states,2008,744.35
Caribbean small states,2009,818.75
Caribbean small states,2010,775.02
Caribbean small states,2011,801.02
Caribbean small states,2012,838.43
Caribbean small states,2013,853.86
Central African Republic,1995,20.67
Central African Republic,1996,20.26
Central African Republic,1997,20.8
Central African Republic,1998,20.79
Central African Republic,1999,23.44
Central African Republic,2000,23.82
Central African Republic,2001,23.26
Central African Republic,2002,25.39
Central African Republic,2003,24.99
Central African Republic,2004,25.39
Central African Republic,2005,27.36
Central African Republic,2006,27.63
Central African Republic,2007,32.15
Central African Republic,2008,33.39
Central African Republic,2009,29.86
Central African Republic,2010,34.39
Central African Republic,2011,34.63
Central African Republic,2012,35.63
Central African Republic,2013,23.65
Central Europe and the Baltics,1995,437.15
Central Europe and the Baltics,1996,472.6
Central Europe and the Baltics,1997,493.08
Central Europe and the Baltics,1998,527.64
Central Europe and the Baltics,1999,554.7
Central Europe and the Baltics,2000,585.56
Central Europe and the Baltics,2001,652.11
Central Europe and the Baltics,2002,732.85
Central Europe and the Baltics,2003,807.14
Central Europe and the Baltics,2004,871.48
Central Europe and the Baltics,2005,938.49
Central Europe and the Baltics,2006,1028.21
Central Europe and the Baltics,2007,1140.73
Central Europe and the Baltics,2008,1303
Central Europe and the Baltics,2009,1401.88
Central Europe and the Baltics,2010,1442.73
Central Europe and the Baltics,2011,1488.49
Central Europe and the Baltics,2012,1507.11
Central Europe and the Baltics,2013,1535.18
Chad,1995,44.08
Chad,1996,42.17
Chad,1997,44.23
Chad,1998,45.11
Chad,1999,47.54
Chad,2000,49.71
Chad,2001,52.48
Chad,2002,73.94
Chad,2003,60.09
Chad,2004,76.81
Chad,2005,67.92
Chad,2006,65.18
Chad,2007,60.8
Chad,2008,54.27
Chad,2009,59.49
Chad,2010,63.85
Chad,2011,73.86
Chad,2012,72.95
Chad,2013,74.01
Chile,1995,460.4
Chile,1996,532.99
Chile,1997,592.3
Chile,1998,651.73
Chile,1999,658.23
Chile,2000,688.23
Chile,2001,765.86
Chile,2002,774.43
Chile,2003,795.06
Chile,2004,817.64
Chile,2005,855.71
Chile,2006,969.67
Chile,2007,1077.21
Chile,2008,1139.65
Chile,2009,1207.58
Chile,2010,1308.9
Chile,2011,1482.46
Chile,2012,1609.92
Chile,2013,1677.6
China,1995,61.3
China,1996,73.73
China,1997,87.08
China,1998,102.92
China,1999,115.85
China,2000,129.83
China,2001,141.77
China,2002,163.9
China,2003,184.24
China,2004,202.91
China,2005,228.57
China,2006,256.42
China,2007,285.78
China,2008,337.44
China,2009,410.26
China,2010,440.7
China,2011,504.69
China,2012,577.85
China,2013,645.63
Colombia,1995,426.73
Colombia,1996,526.06
Colombia,1997,596.66
Colombia,1998,580.84
Colombia,1999,551.32
Colombia,2000,394.35
Colombia,2001,407.12
Colombia,2002,396.6
Colombia,2003,432.32
Colombia,2004,417.72
Colombia,2005,481.38
Colombia,2006,548
Colombia,2007,606.22
Colombia,2008,667.68
Colombia,2009,714.2
Colombia,2010,714.22
Colombia,2011,740.95
Colombia,2012,808.08
Colombia,2013,842.7
Comoros,1995,55.2
Comoros,1996,52.53
Comoros,1997,54.3
Comoros,1998,48.73
Comoros,1999,46.92
Comoros,2000,43.48
Comoros,2001,36.43
Comoros,2002,45.06
Comoros,2003,48.81
Comoros,2004,53.47
Comoros,2005,60.63
Comoros,2006,66.03
Comoros,2007,71.12
Comoros,2008,75.07
Comoros,2009,55.34
Comoros,2010,79.96
Comoros,2011,87.03
Comoros,2012,99.31
Comoros,2013,89.74
Congo,1995,108.96
Congo,1996,101.85
Congo,1997,108.3
Congo,1998,133.17
Congo,1999,104.94
Congo,2000,77.95
Congo,2001,92.54
Congo,2002,96.58
Congo,2003,103.2
Congo,2004,104.73
Congo,2005,107.45
Congo,2006,112
Congo,2007,117.41
Congo,2008,100.69
Congo,2009,114.96
Congo,2010,124.42
Congo,2011,155.37
Congo,2012,227.78
Congo,2013,241.76
Costa Rica,1995,404.24
Costa Rica,1996,413.59
Costa Rica,1997,413.48
Costa Rica,1998,494.12
Costa Rica,1999,509.36
Costa Rica,2000,537.19
Costa Rica,2001,546.65
Costa Rica,2002,634.77
Costa Rica,2003,684.66
Costa Rica,2004,697.31
Costa Rica,2005,746.33
Costa Rica,2006,835.21
Costa Rica,2007,1013.41
Costa Rica,2008,1058.17
Costa Rica,2009,1118.4
Costa Rica,2010,1167.14
Costa Rica,2011,1290.02
Costa Rica,2012,1350.27
Costa Rica,2013,1369.03
Cote d'Ivoire,1995,132.45
Cote d'Ivoire,1996,149.93
Cote d'Ivoire,1997,165
Cote d'Ivoire,1998,174.51
Cote d'Ivoire,1999,155.08
Cote d'Ivoire,2000,143.63
Cote d'Ivoire,2001,119.17
Cote d'Ivoire,2002,109.13
Cote d'Ivoire,2003,117.66
Cote d'Ivoire,2004,131.42
Cote d'Ivoire,2005,137.22
Cote d'Ivoire,2006,149.3
Cote d'Ivoire,2007,164.24
Cote d'Ivoire,2008,165.73
Cote d'Ivoire,2009,179.66
Cote d'Ivoire,2010,185.36
Cote d'Ivoire,2011,171.76
Cote d'Ivoire,2012,180.79
Cote d'Ivoire,2013,171.77
Croatia,1995,547.75
Croatia,1996,627.58
Croatia,1997,568.19
Croatia,1998,667.96
Croatia,1999,736.09
Croatia,2000,834.7
Croatia,2001,873.26
Croatia,2002,813.37
Croatia,2003,891.99
Croatia,2004,989.31
Croatia,2005,1103.83
Croatia,2006,1219.11
Croatia,2007,1447.41
Croatia,2008,1621.87
Croatia,2009,1636.62
Croatia,2010,1606.81
Croatia,2011,1469.01
Croatia,2012,1476.56
Croatia,2013,1516.85
Cuba,1995,338.92
Cuba,1996,385.02
Cuba,1997,420.21
Cuba,1998,445.28
Cuba,1999,492.25
Cuba,2000,536.56
Cuba,2001,592.92
Cuba,2002,628.38
Cuba,2003,630.87
Cuba,2004,672.85
Cuba,2005,1021.57
Cuba,2006,1124.97
Cuba,2007,1646.73
Cuba,2008,1825.31
Cuba,2009,2032.98
Cuba,2010,1823.04
Cuba,2011,2026.09
Cuba,2012,1744.53
Cuba,2013,1828.43
Cyprus,1995,729.94
Cyprus,1996,822.02
Cyprus,1997,897.45
Cyprus,1998,956.08
Cyprus,1999,1007.42
Cyprus,2000,1114.73
Cyprus,2001,1210.16
Cyprus,2002,1308.37
Cyprus,2003,1493.31
Cyprus,2004,1509.63
Cyprus,2005,1599.97
Cyprus,2006,1717.42
Cyprus,2007,1778.55
Cyprus,2008,2224.2
Cyprus,2009,2352.72
Cyprus,2010,2283.61
Cyprus,2011,2399.95
Cyprus,2012,2261.43
Cyprus,2013,2196.98
Czech Republic,1995,895.81
Czech Republic,1996,914.96
Czech Republic,1997,920.59
Czech Republic,1998,925.05
Czech Republic,1999,937.92
Czech Republic,2000,982.17
Czech Republic,2001,1081.57
Czech Republic,2002,1194.83
Czech Republic,2003,1340.59
Czech Republic,2004,1387.3
Czech Republic,2005,1479.93
Czech Republic,2006,1565.49
Czech Republic,2007,1669.27
Czech Republic,2008,1778.98
Czech Republic,2009,2042.96
Czech Republic,2010,1930.13
Czech Republic,2011,2030.77
Czech Republic,2012,2037.66
Czech Republic,2013,1981.84
Democratic Republic of Congo,1995,17.19
Democratic Republic of Congo,1996,15.75
Democratic Republic of Congo,1997,17.64
Democratic Republic of Congo,1998,20.27
Democratic Republic of Congo,1999,17.2
Democratic Republic of Congo,2000,6.09
Democratic Republic of Congo,2001,10.95
Democratic Republic of Congo,2002,10.8
Democratic Republic of Congo,2003,14
Democratic Republic of Congo,2004,15.54
Democratic Republic of Congo,2005,15.57
Democratic Republic of Congo,2006,17.69
Democratic Republic of Congo,2007,20
Democratic Republic of Congo,2008,26
Democratic Republic of Congo,2009,33
Democratic Republic of Congo,2010,27.8
Democratic Republic of Congo,2011,26.19
Democratic Republic of Congo,2012,25.34
Democratic Republic of Congo,2013,26.19
Denmark,1995,1871.53
Denmark,1996,1979.25
Denmark,1997,2062.33
Denmark,1998,2135.86
Denmark,1999,2414.47
Denmark,2000,2514.36
Denmark,2001,2685.72
Denmark,2002,2874.73
Denmark,2003,2899.19
Denmark,2004,3126.04
Denmark,2005,3248.02
Denmark,2006,3587.33
Denmark,2007,3771.4
Denmark,2008,4069.65
Denmark,2009,4441.1
Denmark,2010,4545.27
Denmark,2011,4553.8
Denmark,2012,4615.45
Denmark,2013,4552.4
Djibouti,1995,68.43
Djibouti,1996,64.77
Djibouti,1997,72.31
Djibouti,1998,84.49
Djibouti,1999,101.44
Djibouti,2000,95.7
Djibouti,2001,91.94
Djibouti,2002,95.73
Djibouti,2003,113.46
Djibouti,2004,128.64
Djibouti,2005,144.05
Djibouti,2006,149.91
Djibouti,2007,174.68
Djibouti,2008,190.36
Djibouti,2009,182.03
Djibouti,2010,229.49
Djibouti,2011,240
Djibouti,2012,251.5
Djibouti,2013,246.84
Dominica,1995,304.08
Dominica,1996,321.27
Dominica,1997,340.36
Dominica,1998,348.35
Dominica,1999,360.05
Dominica,2000,292.13
Dominica,2001,295.25
Dominica,2002,297.73
Dominica,2003,314.85
Dominica,2004,310.67
Dominica,2005,338
Dominica,2006,382.52
Dominica,2007,426.46
Dominica,2008,454.83
Dominica,2009,514.23
Dominica,2010,578.15
Dominica,2011,584.54
Dominica,2012,577.07
Dominica,2013,596.85
Dominican Republic,1995,225.71
Dominican Republic,1996,233.73
Dominican Republic,1997,267.36
Dominican Republic,1998,293.7
Dominican Republic,1999,317.83
Dominican Republic,2000,362.04
Dominican Republic,2001,362.33
Dominican Republic,2002,389.88
Dominican Republic,2003,359.78
Dominican Republic,2004,285.42
Dominican Republic,2005,316.88
Dominican Republic,2006,361.17
Dominican Republic,2007,383.9
Dominican Republic,2008,414.23
Dominican Republic,2009,445.49
Dominican Republic,2010,475.66
Dominican Republic,2011,524.11
Dominican Republic,2012,606.96
Dominican Republic,2013,631.39
East Asia & Pacific (all income levels),1995,202.37
East Asia & Pacific (all income levels),1996,222.06
East Asia & Pacific (all income levels),1997,235.11
East Asia & Pacific (all income levels),1998,246.41
East Asia & Pacific (all income levels),1999,264.27
East Asia & Pacific (all income levels),2000,285.06
East Asia & Pacific (all income levels),2001,304.43
East Asia & Pacific (all income levels),2002,327.5
East Asia & Pacific (all income levels),2003,354.96
East Asia & Pacific (all income levels),2004,378.87
East Asia & Pacific (all income levels),2005,415.09
East Asia & Pacific (all income levels),2006,451.81
East Asia & Pacific (all income levels),2007,490.31
East Asia & Pacific (all income levels),2008,536.75
East Asia & Pacific (all income levels),2009,601.72
East Asia & Pacific (all income levels),2010,641.79
East Asia & Pacific (all income levels),2011,702.51
East Asia & Pacific (all income levels),2012,769.98
East Asia & Pacific (all income levels),2013,828.43
East Asia & Pacific (developing only),1995,73.38
East Asia & Pacific (developing only),1996,85.61
East Asia & Pacific (developing only),1997,96.27
East Asia & Pacific (developing only),1998,104.72
East Asia & Pacific (developing only),1999,115.4
East Asia & Pacific (developing only),2000,125.49
East Asia & Pacific (developing only),2001,137.1
East Asia & Pacific (developing only),2002,154.92
East Asia & Pacific (developing only),2003,175.31
East Asia & Pacific (developing only),2004,190.38
