Entity,Year,Trust people in neighborhood,Trust the national government in this country,Trust scientists in this country,Trust journalists in this country,Trust doctors and nurses in this country,Trust people who work at charitable organizations or ngos in this country,Trust traditional healers in this country,Trust science,Trust scientists to find accurate information about the world,Trust scientists to do work with intention of benefiting public
Costa Rica,2020,58.6,44.9,74.3,56.8,86.1,67.4,20,78.8,80.4,78.3
Cote d'Ivoire,2020,35,40,41.6,35.6,54.8,34.2,39.1,49.4,47,47.5
Croatia,2020,81.2,42,87.7,54,94.3,70.9,32,89.5,87.3,80.3
Cyprus,2020,77,45.2,71.6,43.5,83.2,70.4,51.7,78.5,69.8,74.6
Czechia,2020,84.3,45.8,91.5,53.7,96.1,77.4,49.1,94.8,90.5,90.9
Denmark,2020,90.2,79.3,94.2,68.4,96.7,82.1,60,91.1,81.2,84.9
Dominican Republic,2020,67.6,72.7,65.9,67.2,86.5,57.8,10.9,80.8,75,77.7
Ecuador,2020,50.8,25.8,51.7,44.4,66.2,43.7,13.8,64.1,58.8,64.3
Egypt,2020,74.3,72.2,75.8,35.6,82.1,57.7,60.9,69.8,72,80.5
El Salvador,2020,53.7,78.5,52.9,49.5,78.8,62.1,22.8,70.1,66.7,71.6
Estonia,2020,82.2,56,88.4,54.5,94.7,76.2,26.8,91.8,86.6,85.5
Ethiopia,2020,84.6,78.1,68.1,59.8,88.7,63,45.6,81.2,75.3,70.1
Finland,2020,90.6,80.7,93.5,80.4,98.2,79.8,35.1,94.1,95.1,94.7
France,2020,78.7,56.3,92,61.5,96.9,85.3,45.4,94.1,87,86
Gabon,2020,31.3,33.5,33.3,30,50.7,32.6,32.2,51.1,48.2,48.5
Georgia,2020,83.9,57.6,72.6,65.8,82.5,60.4,63.1,80.4,78.2,83.2
Germany,2020,90.6,82,91.3,78.6,96.1,87.4,54.7,96.7,96.2,91
Ghana,2020,55.2,60.6,58.2,60.1,77.1,60,53.9,64.7,66.6,66.8
Greece,2020,66.4,40.7,83.4,11.3,85.8,28,32.1,83,79.8,67.6
Guinea,2020,65.7,30.8,40.3,54.1,57.8,44.8,44.2,48.5,47.2,48.5
Hong Kong,2020,71.5,40,74.4,56.4,92.8,59.3,77.5,83.7,79.9,71.5
Hungary,2020,86.9,48.6,86.8,42.3,86.5,70.8,51.3,93.6,85.6,88.9
India,2020,64.2,66,73.4,63,78.9,54.1,31.7,68.3,69,70.8
Indonesia,2020,72.3,60.9,54.1,47.4,72.1,41.5,55.7,71.5,58.2,54.9
Iran,2020,82.2,45.8,85.2,55.1,92.7,69.9,72,84.2,82.6,69.7
Iraq,2020,74.6,34.3,61.4,57.9,63.8,59.5,54,73.6,71.8,71.8
Ireland,2020,87.2,79.5,86.7,73.1,93.4,83.5,42.4,91,91.6,91.4
Israel,2020,75.1,51.1,89.2,64.7,96.3,67.1,54.2,89.2,85.6,83.9
Italy,2020,76.9,52.3,90,47.4,89.5,68.3,21.1,93.4,94.4,93.3
Japan,2020,74.4,49.5,78.4,46.1,94.9,59.9,45.1,86.2,69,65.4
Jordan,2020,69.9,70.4,64.3,44.4,80.7,50.3,67.4,78.3,75.4,75
Kazakhstan,2020,82,72.2,70.8,60.2,80.3,61.9,30.1,77.8,77.1,78.9
Kenya,2020,60.2,49.6,59.4,70.3,72.1,59.3,36.8,63,63.1,66.9
Kosovo,2020,77.2,26.3,47.4,52.6,75,76.6,40.9,67.6,58.2,60.9
Kyrgyzstan,2020,86.3,57.6,65.3,62,84.6,67.1,49.7,82.9,74.2,70.6
Laos,2020,71.2,76.4,70,74.1,90.8,60.5,77.9,80.8,75.7,77.2
Latvia,2020,75.9,39.6,78,47.9,87.2,72.7,19.4,85.1,84.7,88.6
Lebanon,2020,64.9,15.8,44,36.6,72,45.9,38.4,51.7,61.3,61.4
Lithuania,2020,77.6,55.1,76.8,48.8,82.2,61.7,23,83.6,74.6,73.9
Malaysia,2020,62.1,57.6,49.6,46.7,78.7,53.6,22.8,57.3,49.1,59.7
Mali,2020,71.9,48.4,65.9,60,66.8,62.5,71.5,60.4,65,67.3
Malta,2020,77.7,80.3,77.2,62.7,97.3,83.4,73.8,71.7,75.5,82.8
Mauritius,2020,59,53.7,58.2,62.8,73.8,69.1,48.6,75,66.8,71.6
Mexico,2020,64.2,54.1,75.6,55.2,85.1,52.6,20.1,81.7,78.1,78.1
Moldova,2020,63.5,17.8,56.4,44.8,61.9,52,18.6,70.8,69.6,78.2
Mongolia,2020,74.8,54.8,74.1,60,83.3,59.5,77.1,86,83.5,79.5
Montenegro,2020,65.5,43.2,55.6,37.7,78.1,67.6,35.7,69.2,65.8,65.3
Morocco,2020,66.4,45.3,71.5,53.3,72.5,60.3,41.2,77.9,73.3,76.5
Myanmar,2020,79.5,91.8,81.8,71.7,94.7,72.3,52.5,93.8,93.3,91.7
Namibia,2020,52.2,42.9,44.5,49.5,69.3,42.3,19.5,45.3,48.9,52.2
Nepal,2020,82.7,50.2,71.4,71,87.5,56.8,68.2,76.8,78,74.8
Netherlands,2020,88.6,78.5,87.9,75.7,97.4,81.3,45.2,90.3,89.7,89.2
New Zealand,2020,88.9,83.7,85.7,70.9,94.6,88.6,53.5,90.6,91.1,91.7
Nicaragua,2020,62.2,54.4,59.4,67,78.5,60.7,17,80.8,77.2,75.7
Nigeria,2020,44.4,23.1,37.7,31.8,61,36.9,37,47.4,56.8,53.8
North Macedonia,2020,64.3,37.2,52.9,42.9,71.4,53,42.7,65.9,57.1,55.5
Norway,2020,93.1,94.3,96,84.7,98.7,90.6,46.3,89.9,90.6,95.3
Paraguay,2020,61.9,34.4,54,48.5,70.2,53.6,49.3,66.6,66.8,67.1
Peru,2020,54.8,45.6,68,46.2,70.4,46.6,11.3,69.1,67.2,69.6
Philippines,2020,73.8,82.9,82.2,79.8,91.1,83.3,44.9,83.8,87.5,87.8
Poland,2020,88,33.6,92.4,66.7,88.3,84.1,50.1,87.2,92.9,90.5
Portugal,2020,67.4,47.7,77.5,53.3,89.7,56.7,58.6,85.3,84.6,77.2
Romania,2020,74.3,24.3,76.6,53,74.4,60.7,35.2,79.5,71.5,67.6
Russia,2020,70.5,47,79,32.1,67.7,58.5,12.1,75.9,80.8,78.3
Saudi Arabia,2020,66.3,,69.7,,74.9,61.1,46,77.9,72.5,77.6
Senegal,2020,79,56.6,77.2,59.3,80.9,55.8,55.6,68.6,66.5,73.3
Serbia,2020,71.2,57,76.7,30.1,80,61.1,34,79.2,72.4,64.9
Slovakia,2020,84.3,53.5,89.5,61.2,90.2,72.5,42.4,92.3,90.9,88.1
Slovenia,2020,87.1,48.1,87.7,64.4,92.6,69.8,38.4,88.9,79.1,85
South Africa,2020,47.7,50.9,50.5,48.3,82.8,60.4,47.6,47.4,64.7,57.4
South Korea,2020,75,52.8,83.2,27.4,91.3,54,67.4,90.4,85.8,70.4
Spain,2020,81.1,48.2,92.3,60.5,97.3,74.4,15.9,93.1,84.7,90.5
Sri Lanka,2020,78.2,76.3,80,77.2,96.4,61.5,88.9,80.5,82,72.2
Sweden,2020,92.4,64.7,94.5,70.6,94.5,75.4,28.7,97,87.6,85.7
Switzerland,2020,87.7,93.3,93.7,83.1,97.4,79,61,89.3,90.6,89.1
Taiwan,2020,80.4,65.4,71.5,34.4,94.3,63.3,59.5,79.3,79.3,77.1
Tajikistan,2020,72,,74.1,54.3,80.6,37.7,53.4,88.5,65.9,69.3
Tanzania,2020,85.9,89.9,86.3,88.9,95.7,81,39.2,86.6,89.1,86.1
Thailand,2020,73,55.6,76.4,69.4,93.6,46,69.2,86.1,85.6,84.6
Tunisia,2020,59.6,26.1,65.6,47.4,76.3,46.8,40.5,69.5,75.2,69.2
Turkey,2020,62.8,54.9,69.6,47.5,84.8,52.4,61,58.4,55.1,52.6
Uganda,2020,47.4,46.9,54.6,60.4,74.9,56.7,22.6,48.8,52.2,50.6
Ukraine,2020,73.2,28,71.8,39,62.9,54.6,17.3,76.7,74.5,81.2
United Arab Emirates,2020,62.3,,59.2,50.9,81.4,69.1,43.5,71.1,71,79.4
United Kingdom,2020,87.1,47.7,86.3,58.8,92.3,82.9,33.5,92.8,89.7,90
United States,2020,84.1,52.5,90,56.5,93.3,83.5,60.5,88.4,88.8,85.1
Uruguay,2020,74.2,70.2,80.8,58.8,92.5,69.9,19.2,83.2,80.4,84.9
Uzbekistan,2020,89.5,94.5,81.9,81.3,90.2,72.7,42.1,96,86.6,87.2
Venezuela,2020,55.4,30.9,56,49.2,70.5,53.2,27.7,73.3,72.4,76.3
Vietnam,2020,73.1,,59.9,47.6,81.9,65.6,68.2,81.3,72,72
Zambia,2020,46,47.1,48.2,56.4,70,57.3,14.5,64.7,58.4,60.8
Zimbabwe,2020,67,69,65.7,64.8,81.8,78.5,34.8,68,75.8,80.1
