Entity,Year,Maternal Mortality Rate (World Bank (2016))
Cambodia,2013,170
Cameroon,1990,720
Cameroon,1995,760
Cameroon,2000,740
Cameroon,2005,690
Cameroon,2010,640
Cameroon,2013,590
Canada,1990,6
Canada,1995,7
Canada,2000,7
Canada,2005,11
Canada,2010,13
Canada,2013,11
Cape Verde,1990,230
Cape Verde,1995,140
Cape Verde,2000,84
Cape Verde,2005,63
Cape Verde,2010,58
Cape Verde,2013,53
Caribbean small states,1990,100
Caribbean small states,1995,95
Caribbean small states,2000,100
Caribbean small states,2005,98
Caribbean small states,2010,100
Caribbean small states,2013,100
Central African Republic,1990,1200
Central African Republic,1995,1200
Central African Republic,2000,1200
Central African Republic,2005,1100
Central African Republic,2010,960
Central African Republic,2013,880
Central Europe and the Baltics,1990,52
Central Europe and the Baltics,1995,28
Central Europe and the Baltics,2000,21
Central Europe and the Baltics,2005,13
Central Europe and the Baltics,2010,13
Central Europe and the Baltics,2013,12
Chad,1990,1700
Chad,1995,1600
Chad,2000,1500
Chad,2005,1200
Chad,2010,1100
Chad,2013,980
Chile,1990,55
Chile,1995,40
Chile,2000,29
Chile,2005,26
Chile,2010,24
Chile,2013,22
China,1990,97
China,1995,76
China,2000,63
China,2005,50
China,2010,36
China,2013,32
Colombia,1990,100
Colombia,1995,81
Colombia,2000,130
Colombia,2005,97
Colombia,2010,85
Colombia,2013,83
Comoros,1990,630
Comoros,1995,560
Comoros,2000,480
Comoros,2005,430
Comoros,2010,380
Comoros,2013,350
Congo,1990,670
Congo,1995,650
Congo,2000,610
Congo,2005,530
Congo,2010,450
Congo,2013,410
Costa Rica,1990,38
Costa Rica,1995,45
Costa Rica,2000,44
Costa Rica,2005,46
Costa Rica,2010,33
Costa Rica,2013,38
Cote d'Ivoire,1990,740
Cote d'Ivoire,1995,710
Cote d'Ivoire,2000,670
Cote d'Ivoire,2005,750
Cote d'Ivoire,2010,750
Cote d'Ivoire,2013,720
Croatia,1990,8
Croatia,1995,13
Croatia,2000,11
Croatia,2005,14
Croatia,2010,15
Croatia,2013,13
Cuba,1990,63
Cuba,1995,60
Cuba,2000,63
Cuba,2005,67
Cuba,2010,80
Cuba,2013,80
Cyprus,1990,18
Cyprus,1995,18
Cyprus,2000,16
Cyprus,2005,13
Cyprus,2010,10
Cyprus,2013,10
Czech Republic,1990,15
Czech Republic,1995,9
Czech Republic,2000,7
Czech Republic,2005,7
Czech Republic,2010,5
Czech Republic,2013,5
Democratic Republic of Congo,1990,1000
Democratic Republic of Congo,1995,1100
Democratic Republic of Congo,2000,1100
Democratic Republic of Congo,2005,930
Democratic Republic of Congo,2010,810
Democratic Republic of Congo,2013,730
Denmark,1990,9
Denmark,1995,16
Denmark,2000,9
Denmark,2005,8
Denmark,2010,9
Denmark,2013,5
Djibouti,1990,400
Djibouti,1995,390
Djibouti,2000,360
Djibouti,2005,310
Djibouti,2010,250
Djibouti,2013,230
Dominican Republic,1990,240
Dominican Republic,1995,180
Dominican Republic,2000,120
Dominican Republic,2005,130
Dominican Republic,2010,130
Dominican Republic,2013,100
East Asia & Pacific (all income levels),1990,160
East Asia & Pacific (all income levels),1995,140
East Asia & Pacific (all income levels),2000,120
East Asia & Pacific (all income levels),2005,99
East Asia & Pacific (all income levels),2010,78
East Asia & Pacific (all income levels),2013,71
East Asia & Pacific (developing only),1990,170
East Asia & Pacific (developing only),1995,150
East Asia & Pacific (developing only),2000,130
East Asia & Pacific (developing only),2005,110
East Asia & Pacific (developing only),2010,82
East Asia & Pacific (developing only),2013,75
Ecuador,1990,160
Ecuador,1995,130
Ecuador,2000,120
Ecuador,2005,98
Ecuador,2010,90
Ecuador,2013,87
Egypt,1990,120
Egypt,1995,96
Egypt,2000,75
Egypt,2005,62
Egypt,2010,50
Egypt,2013,45
El Salvador,1990,110
El Salvador,1995,96
El Salvador,2000,80
El Salvador,2005,72
El Salvador,2010,71
El Salvador,2013,69
Equatorial Guinea,1990,1600
Equatorial Guinea,1995,1300
Equatorial Guinea,2000,790
Equatorial Guinea,2005,480
Equatorial Guinea,2010,330
Equatorial Guinea,2013,290
Eritrea,1990,1700
Eritrea,1995,1000
Eritrea,2000,670
Eritrea,2005,530
Eritrea,2010,450
Eritrea,2013,380
Estonia,1990,48
Estonia,1995,46
Estonia,2000,26
Estonia,2005,24
Estonia,2010,6
Estonia,2013,11
Ethiopia,1990,1400
Ethiopia,1995,1200
Ethiopia,2000,990
Ethiopia,2005,740
Ethiopia,2010,500
Ethiopia,2013,420
Euro area,1990,12
Euro area,1995,9
Euro area,2000,8
Euro area,2005,7
Euro area,2010,8
Euro area,2013,7
Europe & Central Asia (all income levels),1990,42
Europe & Central Asia (all income levels),1995,36
Europe & Central Asia (all income levels),2000,29
Europe & Central Asia (all income levels),2005,23
Europe & Central Asia (all income levels),2010,21
Europe & Central Asia (all income levels),2013,18
Europe & Central Asia (developing only),1990,62
Europe & Central Asia (developing only),1995,55
Europe & Central Asia (developing only),2000,45
Europe & Central Asia (developing only),2005,35
Europe & Central Asia (developing only),2010,32
Europe & Central Asia (developing only),2013,28
European Union,1990,21
European Union,1995,13
European Union,2000,11
European Union,2005,9
European Union,2010,9
European Union,2013,8
Fiji,1990,89
Fiji,1995,79
Fiji,2000,72
Fiji,2005,69
Fiji,2010,62
Fiji,2013,59
Finland,1990,6
Finland,1995,5
Finland,2000,7
Finland,2005,9
Finland,2010,6
Finland,2013,4
Fragile and conflict affected situations,1990,830
Fragile and conflict affected situations,1995,810
Fragile and conflict affected situations,2000,740
Fragile and conflict affected situations,2005,630
Fragile and conflict affected situations,2010,550
Fragile and conflict affected situations,2013,500
France,1990,12
France,1995,11
France,2000,10
France,2005,9
France,2010,12
France,2013,12
Gabon,1990,380
Gabon,1995,340
Gabon,2000,330
Gabon,2005,300
Gabon,2010,260
Gabon,2013,240
Gambia,1990,710
Gambia,1995,660
Gambia,2000,580
Gambia,2005,510
Gambia,2010,460
Gambia,2013,430
Georgia,1990,50
Georgia,1995,67
Georgia,2000,60
Georgia,2005,48
Georgia,2010,42
Georgia,2013,41
Germany,1990,13
Germany,1995,8
Germany,2000,7
Germany,2005,7
Germany,2010,7
Germany,2013,7
Ghana,1990,760
Ghana,1995,650
Ghana,2000,570
Ghana,2005,470
Ghana,2010,410
Ghana,2013,380
Greece,1990,6
Greece,1995,2
Greece,2000,5
Greece,2005,3
Greece,2010,5
Greece,2013,5
Grenada,1990,34
Grenada,1995,33
Grenada,2000,29
Grenada,2005,25
Grenada,2010,23
Grenada,2013,23
Guatemala,1990,270
Guatemala,1995,220
Guatemala,2000,160
Guatemala,2005,140
Guatemala,2010,140
Guatemala,2013,140
Guinea,1990,1100
Guinea,1995,1000
Guinea,2000,950
Guinea,2005,800
Guinea,2010,690
Guinea,2013,650
Guinea-Bissau,1990,930
Guinea-Bissau,1995,790
Guinea-Bissau,2000,840
Guinea-Bissau,2005,760
Guinea-Bissau,2010,600
Guinea-Bissau,2013,560
Guyana,1990,210
Guyana,1995,230
Guyana,2000,240
Guyana,2005,240
Guyana,2010,230
Guyana,2013,250
Haiti,1990,670
Haiti,1995,580
Haiti,2000,510
Haiti,2005,470
Haiti,2010,420
Haiti,2013,380
Heavily indebted poor countries (HIPC),1990,1000
Heavily indebted poor countries (HIPC),1995,950
Heavily indebted poor countries (HIPC),2000,830
Heavily indebted poor countries (HIPC),2005,680
Heavily indebted poor countries (HIPC),2010,560
Heavily indebted poor countries (HIPC),2013,500
High income,1990,29
High income,1995,25
High income,2000,22
High income,2005,21
High income,2010,24
High income,2013,22
High income: nonOECD,1990,72
High income: nonOECD,1995,67
High income: nonOECD,2000,58
High income: nonOECD,2005,49
High income: nonOECD,2010,48
High income: nonOECD,2013,43
High income: OECD,1990,13
High income: OECD,1995,11
High income: OECD,2000,11
High income: OECD,2005,12
High income: OECD,2010,15
High income: OECD,2013,15
Honduras,1990,290
Honduras,1995,200
Honduras,2000,150
Honduras,2005,130
Honduras,2010,120
Honduras,2013,120
Hungary,1990,23
Hungary,1995,23
Hungary,2000,10
Hungary,2005,13
Hungary,2010,21
Hungary,2013,14
Iceland,1990,7
Iceland,1995,7
Iceland,2000,6
Iceland,2005,6
Iceland,2010,5
Iceland,2013,4
India,1990,560
India,1995,460
India,2000,370
India,2005,280
India,2010,220
India,2013,190
Indonesia,1990,430
Indonesia,1995,360
Indonesia,2000,310
Indonesia,2005,250
Indonesia,2010,210
Indonesia,2013,190
Iran,1990,83
Iran,1995,60
Iran,2000,44
Iran,2005,31
Iran,2010,25
Iran,2013,23
Iraq,1990,110
Iraq,1995,84
Iraq,2000,71
Iraq,2005,77
Iraq,2010,73
Iraq,2013,67
Ireland,1990,6
Ireland,1995,4
Ireland,2000,6
Ireland,2005,2
Ireland,2010,10
Ireland,2013,9
Israel,1990,12
Israel,1995,10
Israel,2000,9
Israel,2005,7
Israel,2010,5
Israel,2013,2
Italy,1990,10
Italy,1995,6
Italy,2000,4
Italy,2005,5
Italy,2010,4
Italy,2013,4
Jamaica,1990,98
Jamaica,1995,89
Jamaica,2000,88
Jamaica,2005,85
Jamaica,2010,82
Jamaica,2013,80
Japan,1990,14
Japan,1995,10
Japan,2000,10
Japan,2005,7
Japan,2010,6
Japan,2013,6
Jordan,1990,86
Jordan,1995,73
Jordan,2000,65
Jordan,2005,58
Jordan,2010,53
Jordan,2013,50
Kazakhstan,1990,91
Kazakhstan,1995,91
Kazakhstan,2000,71
Kazakhstan,2005,50
Kazakhstan,2010,40
Kazakhstan,2013,26
Kenya,1990,490
Kenya,1995,530
Kenya,2000,570
Kenya,2005,550
Kenya,2010,460
Kenya,2013,400
Kiribati,1990,250
Kiribati,1995,240
Kiribati,2000,200
Kiribati,2005,170
Kiribati,2010,140
Kiribati,2013,130
Kuwait,1990,12
Kuwait,1995,10
Kuwait,2000,8
Kuwait,2005,6
Kuwait,2010,13
Kuwait,2013,14
Kyrgyzstan,1990,85
Kyrgyzstan,1995,120
Kyrgyzstan,2000,100
Kyrgyzstan,2005,92
Kyrgyzstan,2010,79
Kyrgyzstan,2013,75
Laos,1990,1100
Laos,1995,830
Laos,2000,600
Laos,2005,410
Laos,2010,270
Laos,2013,220
Latin America & Caribbean (all income levels),1990,140
Latin America & Caribbean (all income levels),1995,120
Latin America & Caribbean (all income levels),2000,110
Latin America & Caribbean (all income levels),2005,93
Latin America & Caribbean (all income levels),2010,88
Latin America & Caribbean (all income levels),2013,85
Latin America & Caribbean (developing only),1990,150
Latin America & Caribbean (developing only),1995,130
Latin America & Caribbean (developing only),2000,110
Latin America & Caribbean (developing only),2005,97
Latin America & Caribbean (developing only),2010,90
Latin America & Caribbean (developing only),2013,87
Latvia,1990,57
Latvia,1995,58
Latvia,2000,42
Latvia,2005,21
Latvia,2010,29
Latvia,2013,13
Least developed countries: UN classification,1990,940
Least developed countries: UN classification,1995,870
Least developed countries: UN classification,2000,750
Least developed countries: UN classification,2005,610
Least developed countries: UN classification,2010,490
Least developed countries: UN classification,2013,440
Lebanon,1990,64
Lebanon,1995,47
Lebanon,2000,37
Lebanon,2005,26
Lebanon,2010,18
Lebanon,2013,16
Lesotho,1990,720
Lesotho,1995,630
Lesotho,2000,680
Lesotho,2005,670
Lesotho,2010,540
Lesotho,2013,490
Liberia,1990,1200
Liberia,1995,1600
Liberia,2000,1100
Liberia,2005,880
Liberia,2010,680
Liberia,2013,640
Libya,1990,31
Libya,1995,25
Libya,2000,21
Libya,2005,17
Libya,2010,15
Libya,2013,15
Lithuania,1990,34
Lithuania,1995,21
Lithuania,2000,20
Lithuania,2005,11
Lithuania,2010,9
Lithuania,2013,11
Low & middle income,1990,430
Low & middle income,1995,410
Low & middle income,2000,370
Low & middle income,2005,310
Low & middle income,2010,250
Low & middle income,2013,230
Low income,1990,1100
Low income,1995,1000
Low income,2000,870
Low income,2005,700
Low income,2010,570
Low income,2013,510
Lower middle income,1990,510
Lower middle income,1995,450
Lower middle income,2000,380
Lower middle income,2005,310
Lower middle income,2010,260
Lower middle income,2013,240
Luxembourg,1990,6
Luxembourg,1995,11
Luxembourg,2000,11
Luxembourg,2005,17
Luxembourg,2010,13
Luxembourg,2013,11
Macedonia,1990,15
Macedonia,1995,13
Macedonia,2000,15
Macedonia,2005,14
Macedonia,2010,7
Macedonia,2013,7
Madagascar,1990,740
Madagascar,1995,640
Madagascar,2000,550
Madagascar,2005,530
Madagascar,2010,480
Madagascar,2013,440
Malawi,1990,1100
Malawi,1995,870
Malawi,2000,750
Malawi,2005,570
Malawi,2010,540
Malawi,2013,510
Malaysia,1990,56
Malaysia,1995,45
Malaysia,2000,40
Malaysia,2005,36
Malaysia,2010,31
Malaysia,2013,29
Maldives,1990,430
Maldives,1995,210
Maldives,2000,110
Maldives,2005,57
Maldives,2010,38
Maldives,2013,31
Mali,1990,1100
Mali,1995,1000
Mali,2000,860
Mali,2005,710
Mali,2010,600
Mali,2013,550
Malta,1990,12
Malta,1995,11
Malta,2000,11
Malta,2005,9
Malta,2010,8
Malta,2013,9
Mauritania,1990,630
Mauritania,1995,550
Mauritania,2000,480
Mauritania,2005,400
Mauritania,2010,360
Mauritania,2013,320
Mauritius,1990,70
Mauritius,1995,68
Mauritius,2000,28
Mauritius,2005,35
Mauritius,2010,72
Mauritius,2013,73
Mexico,1990,88
Mexico,1995,77
Mexico,2000,67
Mexico,2005,50
Mexico,2010,47
Mexico,2013,49
Micronesia (country),1990,170
Micronesia (country),1995,140
Micronesia (country),2000,130
Micronesia (country),2005,120
Micronesia (country),2010,100
Micronesia (country),2013,96
Middle East & North Africa (all income levels),1990,150
Middle East & North Africa (all income levels),1995,120
Middle East & North Africa (all income levels),2000,100
Middle East & North Africa (all income levels),2005,87
Middle East & North Africa (all income levels),2010,75
Middle East & North Africa (all income levels),2013,70
Middle East & North Africa (developing only),1990,160
Middle East & North Africa (developing only),1995,130
Middle East & North Africa (developing only),2000,110
Middle East & North Africa (developing only),2005,97
Middle East & North Africa (developing only),2010,83
Middle East & North Africa (developing only),2013,78
Middle income,1990,340
Middle income,1995,320
Middle income,2000,280
Middle income,2005,230
Middle income,2010,190
Middle income,2013,170
Moldova,1990,61
Moldova,1995,59
Moldova,2000,39
Moldova,2005,25
Moldova,2010,41
Moldova,2013,21
Mongolia,1990,100
Mongolia,1995,120
Mongolia,2000,120
Mongolia,2005,89
Mongolia,2010,74
Mongolia,2013,68
Montenegro,1990,8
Montenegro,1995,9
Montenegro,2000,10
Montenegro,2005,8
Montenegro,2010,7
Montenegro,2013,7
Morocco,1990,310
Morocco,1995,240
Morocco,2000,200
Morocco,2005,160
Morocco,2010,130
Morocco,2013,120
Mozambique,1990,1300
Mozambique,1995,1100
Mozambique,2000,870
Mozambique,2005,680
Mozambique,2010,540
Mozambique,2013,480
Myanmar,1990,580
Myanmar,1995,470
Myanmar,2000,360
Myanmar,2005,260
Myanmar,2010,220
Myanmar,2013,200
Namibia,1990,320
Namibia,1995,280
Namibia,2000,270
Namibia,2005,250
Namibia,2010,160
Namibia,2013,130
Nepal,1990,790
Nepal,1995,580
Nepal,2000,430
Nepal,2005,310
Nepal,2010,220
Nepal,2013,190
Netherlands,1990,11
Netherlands,1995,11
Netherlands,2000,15
Netherlands,2005,10
Netherlands,2010,7
Netherlands,2013,6
New Zealand,1990,18
New Zealand,1995,13
New Zealand,2000,12
New Zealand,2005,12
New Zealand,2010,12
New Zealand,2013,8
Nicaragua,1990,170
Nicaragua,1995,160
Nicaragua,2000,140
Nicaragua,2005,120
Nicaragua,2010,110
Nicaragua,2013,100
Niger,1990,1000
Niger,1995,920
Niger,2000,850
Niger,2005,760
Niger,2010,690
Niger,2013,630
Nigeria,1990,1200
Nigeria,1995,1100
Nigeria,2000,950
Nigeria,2005,740
Nigeria,2010,610
Nigeria,2013,560
North America,1990,11
North America,1995,11
North America,2000,13
North America,2005,16
North America,2010,26
North America,2013,26
North Korea,1990,85
North Korea,1995,83
North Korea,2000,120
North Korea,2005,110
North Korea,2010,98
North Korea,2013,87
Norway,1990,9
Norway,1995,4
Norway,2000,8
Norway,2005,9
Norway,2010,5
Norway,2013,4
OECD members,1990,27
OECD members,1995,24
OECD members,2000,22
OECD members,2005,19
OECD members,2010,21
OECD members,2013,21
Oman,1990,48
Oman,1995,32
Oman,2000,22
Oman,2005,16
Oman,2010,12
Oman,2013,11
Other small states,1990,610
Other small states,1995,530
Other small states,2000,490
Other small states,2005,430
Other small states,2010,340
Other small states,2013,310
Pacific island small states,1990,170
Pacific island small states,1995,140
Pacific island small states,2000,130
Pacific island small states,2005,110
Pacific island small states,2010,98
Pacific island small states,2013,93
Pakistan,1990,400
Pakistan,1995,330
Pakistan,2000,280
Pakistan,2005,230
Pakistan,2010,190
Pakistan,2013,170
Palestine,1990,96
Palestine,1995,71
Palestine,2000,59
Palestine,2005,59
Palestine,2010,53
Palestine,2013,47
Panama,1990,98
Panama,1995,91
Panama,2000,79
Panama,2005,83
Panama,2010,82
Panama,2013,85
Papua New Guinea,1990,470
Papua New Guinea,1995,370
Papua New Guinea,2000,340
Papua New Guinea,2005,280
Papua New Guinea,2010,240
Papua New Guinea,2013,220
Paraguay,1990,130
Paraguay,1995,130
Paraguay,2000,120
Paraguay,2005,130
Paraguay,2010,110
Paraguay,2013,110
Peru,1990,250
Peru,1995,220
Peru,2000,160
Peru,2005,120
Peru,2010,100
Peru,2013,89
Philippines,1990,110
Philippines,1995,130
Philippines,2000,120
Philippines,2005,130
Philippines,2010,120
Philippines,2013,120
Poland,1990,17
Poland,1995,14
Poland,2000,8
Poland,2005,5
Poland,2010,4
Poland,2013,3
Portugal,1990,15
Portugal,1995,10
Portugal,2000,11
Portugal,2005,11
Portugal,2010,11
Portugal,2013,8
Puerto Rico,1990,29
Puerto Rico,1995,28
Puerto Rico,2000,24
Puerto Rico,2005,21
Puerto Rico,2010,20
Puerto Rico,2013,20
Qatar,1990,11
Qatar,1995,11
Qatar,2000,9
Qatar,2005,8
Qatar,2010,7
Qatar,2013,6
Romania,1990,170
Romania,1995,72
Romania,2000,53
Romania,2005,30
Romania,2010,30
Romania,2013,33
Russia,1990,74
Russia,1995,72
Russia,2000,57
Russia,2005,37
Russia,2010,31
Russia,2013,24
Rwanda,1990,1400
Rwanda,1995,1400
Rwanda,2000,1000
Rwanda,2005,610
Rwanda,2010,390
Rwanda,2013,320
Saint Lucia,1990,60
Saint Lucia,1995,52
Saint Lucia,2000,44
Saint Lucia,2005,39
Saint Lucia,2010,35
Saint Lucia,2013,34
Saint Vincent and the Grenadines,1990,48
Saint Vincent and the Grenadines,1995,72
Saint Vincent and the Grenadines,2000,75
Saint Vincent and the Grenadines,2005,55
Saint Vincent and the Grenadines,2010,47
Saint Vincent and the Grenadines,2013,45
Samoa,1990,150
Samoa,1995,110
Samoa,2000,89
Samoa,2005,73
Samoa,2010,62
Samoa,2013,58
Sao Tome and Principe,1990,410
Sao Tome and Principe,1995,360
Sao Tome and Principe,2000,300
Sao Tome and Principe,2005,260
Sao Tome and Principe,2010,230
Sao Tome and Principe,2013,210
Saudi Arabia,1990,41
Saudi Arabia,1995,31
Saudi Arabia,2000,24
Saudi Arabia,2005,19
Saudi Arabia,2010,16
Saudi Arabia,2013,16
Senegal,1990,530
Senegal,1995,510
Senegal,2000,480
Senegal,2005,420
Senegal,2010,360
Senegal,2013,320
Serbia,1990,18
Serbia,1995,20
Serbia,2000,7
Serbia,2005,8
Serbia,2010,14
Serbia,2013,16
Sierra Leone,1990,2300
Sierra Leone,1995,2400
Sierra Leone,2000,2200
Sierra Leone,2005,1600
Sierra Leone,2010,1200
Sierra Leone,2013,1100
Singapore,1990,8
Singapore,1995,8
Singapore,2000,19
Singapore,2005,10
Singapore,2010,4
Singapore,2013,6
Slovakia,1990,15
Slovakia,1995,10
Slovakia,2000,12
Slovakia,2005,6
Slovakia,2010,7
Slovakia,2013,7
Slovenia,1990,11
Slovenia,1995,11
Slovenia,2000,12
Slovenia,2005,15
Slovenia,2010,8
Slovenia,2013,7
Small states,1990,470
Small states,1995,420
Small states,2000,390
Small states,2005,350
Small states,2010,280
Small states,2013,260
Solomon Islands,1990,320
Solomon Islands,1995,250
Solomon Islands,2000,210
Solomon Islands,2005,170
Solomon Islands,2010,140
Solomon Islands,2013,130
Somalia,1990,1300
Somalia,1995,1300
Somalia,2000,1200
Somalia,2005,1100
Somalia,2010,930
Somalia,2013,850
South Africa,1990,150
South Africa,1995,140
South Africa,2000,150
South Africa,2005,160
South Africa,2010,140
South Africa,2013,140
South Asia,1990,550
South Asia,1995,460
South Asia,2000,370
South Asia,2005,280
South Asia,2010,220
South Asia,2013,190
South Korea,1990,18
South Korea,1995,18
South Korea,2000,19
South Korea,2005,18
South Korea,2010,21
South Korea,2013,27
South Sudan,1990,1800
South Sudan,1995,1500
South Sudan,2000,1200
South Sudan,2005,1000
South Sudan,2010,830
South Sudan,2013,730
Spain,1990,7
Spain,1995,4
Spain,2000,5
Spain,2005,6
Spain,2010,6
Spain,2013,4
Sri Lanka,1990,49
Sri Lanka,1995,71
Sri Lanka,2000,55
Sri Lanka,2005,41
Sri Lanka,2010,32
Sri Lanka,2013,29
Sub-Saharan Africa (all income levels),1990,990
Sub-Saharan Africa (all income levels),1995,930
Sub-Saharan Africa (all income levels),2000,830
Sub-Saharan Africa (all income levels),2005,680
Sub-Saharan Africa (all income levels),2010,560
Sub-Saharan Africa (all income levels),2013,510
Sub-Saharan Africa (developing only),1990,990
Sub-Saharan Africa (developing only),1995,930
Sub-Saharan Africa (developing only),2000,830
Sub-Saharan Africa (developing only),2005,680
Sub-Saharan Africa (developing only),2010,560
Sub-Saharan Africa (developing only),2013,510
Sudan,1990,720
Sudan,1995,640
Sudan,2000,540
Sudan,2005,460
Sudan,2010,390
Sudan,2013,360
Suriname,1990,84
Suriname,1995,39
Suriname,2000,120
Suriname,2005,110
Suriname,2010,150
Suriname,2013,130
Swaziland,1990,550
Swaziland,1995,480
Swaziland,2000,520
Swaziland,2005,480
Swaziland,2010,350
Swaziland,2013,310
Sweden,1990,6
Sweden,1995,5
Sweden,2000,5
Sweden,2005,4
Sweden,2010,5
Sweden,2013,4
Switzerland,1990,8
Switzerland,1995,8
Switzerland,2000,7
Switzerland,2005,8
Switzerland,2010,8
Switzerland,2013,6
Syria,1990,130
Syria,1995,94
Syria,2000,75
Syria,2005,58
Syria,2010,50
Syria,2013,49
Tajikistan,1990,68
Tajikistan,1995,120
Tajikistan,2000,89
Tajikistan,2005,59
Tajikistan,2010,48
Tajikistan,2013,44
Tanzania,1990,910
Tanzania,1995,890
Tanzania,2000,770
Tanzania,2005,610
Tanzania,2010,460
Tanzania,2013,410
Thailand,1990,42
Thailand,1995,37
Thailand,2000,40
Thailand,2005,34
Thailand,2010,28
Thailand,2013,26
Timor,1990,1200
Timor,1995,1000
Timor,2000,680
Timor,2005,500
Timor,2010,330
Timor,2013,270
Togo,1990,660
Togo,1995,660
Togo,2000,580
Togo,2005,510
Togo,2010,480
Togo,2013,450
Tonga,1990,71
Tonga,1995,89
Tonga,2000,91
Tonga,2005,100
Tonga,2010,120
Tonga,2013,120
Trinidad and Tobago,1990,89
Trinidad and Tobago,1995,91
Trinidad and Tobago,2000,59
Trinidad and Tobago,2005,58
Trinidad and Tobago,2010,82
Trinidad and Tobago,2013,84
Tunisia,1990,91
Tunisia,1995,81
Tunisia,2000,65
Tunisia,2005,55
Tunisia,2010,48
Tunisia,2013,46
Turkey,1990,48
Turkey,1995,39
Turkey,2000,33
Turkey,2005,27
Turkey,2010,22
Turkey,2013,20
Turkmenistan,1990,66
Turkmenistan,1995,79
Turkmenistan,2000,81
Turkmenistan,2005,76
Turkmenistan,2010,65
Turkmenistan,2013,61
Uganda,1990,780
Uganda,1995,740
Uganda,2000,650
Uganda,2005,510
Uganda,2010,410
Uganda,2013,360
Ukraine,1990,49
Ukraine,1995,45
Ukraine,2000,35
Ukraine,2005,25
Ukraine,2010,29
Ukraine,2013,23
United Arab Emirates,1990,16
United Arab Emirates,1995,13
United Arab Emirates,2000,11
United Arab Emirates,2005,8
United Arab Emirates,2010,8
United Arab Emirates,2013,8
United Kingdom,1990,10
United Kingdom,1995,11
