Entity,Year,cum_sum_regions,global_share_land_use_extent,foraging,extensive_agriculture,intensive_agriculture,pastoralism,urban,foraging_onset_date,foraging_decline_date,extensive_agriculture_onset,extensive_agriculture_decline,pastoralism_onset,pastoralism_decline,intensive_agriculture_onset,intensive_agriculture_decline,urban_onset,urban_decline
Cote d'Ivoire,1500,,,Widespread,Minimal,Widespread,None,Present,,,,,,,,,,
Cote d'Ivoire,1750,,,Widespread,Common,Widespread,None,Present,,,,,,,,,,
Cote d'Ivoire,1850,,,Widespread,Common,Widespread,None,Present,,,,,,,,,,
Croatia,-8000,,,Widespread,None,None,None,Absent,,,,,,,,,,
Croatia,-6000,,,Common,Common,None,Common,Absent,,,,,,,,,,
Croatia,-4000,,,Common,Common,Minimal,Widespread,Absent,,,,,,,,,,
Croatia,-2000,,,Minimal,Common,Common,Widespread,Present,,,,,,,,,,
Croatia,-1000,,,Minimal,Common,Widespread,Widespread,Present,,,,,,,,,,
Croatia,0,,,Minimal,Widespread,Widespread,Widespread,Present,-8000.0,-4000.0,-6000.0,1900.0,-6000.0,1900.0,-2000.0,1900.0,-2000.0,1900.0
Croatia,1000,,,Minimal,Common,Widespread,Widespread,Present,,,,,,,,,,
Croatia,1500,,,Minimal,Common,Widespread,Widespread,Present,,,,,,,,,,
Croatia,1750,,,Minimal,Common,Widespread,Widespread,Present,,,,,,,,,,
Croatia,1850,,,Minimal,Common,Widespread,Widespread,Present,,,,,,,,,,
Curacao,-8000,,,None,None,None,None,Absent,,,,,,,,,,
Curacao,-6000,,,Minimal,None,None,None,Absent,,,,,,,,,,
Curacao,-4000,,,Minimal,None,None,None,Absent,,,,,,,,,,
Curacao,-2000,,,Common,Minimal,None,None,Absent,,,,,,,,,,
Curacao,-1000,,,Common,Minimal,None,None,Absent,,,,,,,,,,
Curacao,0,,,Widespread,Common,None,None,Absent,-2000.0,1900.0,0.0,1900.0,1900.0,1900.0,1800.0,1900.0,1800.0,1900.0
Curacao,1000,,,Widespread,Common,None,None,Absent,,,,,,,,,,
Curacao,1500,,,Widespread,Common,Minimal,None,Absent,,,,,,,,,,
Curacao,1750,,,Common,Common,Widespread,Minimal,Present,,,,,,,,,,
Curacao,1850,,,Common,Common,Widespread,Common,Present,,,,,,,,,,
Cyprus,-8000,,,Widespread,Common,Minimal,Minimal,Absent,,,,,,,,,,
Cyprus,-6000,,,Common,Common,Common,Common,Absent,,,,,,,,,,
Cyprus,-4000,,,Minimal,Common,Common,Widespread,Present,,,,,,,,,,
Cyprus,-2000,,,Minimal,Common,Widespread,Widespread,Present,,,,,,,,,,
Cyprus,-1000,,,Minimal,Common,Widespread,Widespread,Present,,,,,,,,,,
Cyprus,0,,,Minimal,Common,Widespread,Widespread,Present,-8000.0,-6000.0,-8000.0,1900.0,-6000.0,1900.0,-6000.0,1900.0,-4000.0,1900.0
Cyprus,1000,,,Minimal,Common,Widespread,Widespread,Present,,,,,,,,,,
Cyprus,1500,,,Minimal,Common,Widespread,Widespread,Present,,,,,,,,,,
Cyprus,1750,,,Minimal,Common,Widespread,Widespread,Present,,,,,,,,,,
Cyprus,1850,,,Minimal,Common,Widespread,Widespread,Present,,,,,,,,,,
Czechia,-8000,,,Widespread,None,None,None,Absent,,,,,,,,,,
Czechia,-6000,,,Widespread,Common,None,Common,Absent,,,,,,,,,,
Czechia,-4000,,,Widespread,Widespread,None,Widespread,Absent,,,,,,,,,,
Czechia,-2000,,,Common,Widespread,None,Widespread,Absent,,,,,,,,,,
Czechia,-1000,,,Minimal,Widespread,None,Widespread,Absent,,,,,,,,,,
Czechia,0,,,Minimal,Widespread,None,Widespread,Split,-8000.0,-2000.0,-6000.0,1900.0,-6000.0,1900.0,1800.0,1900.0,1550.0,1900.0
Czechia,1000,,,Minimal,Widespread,None,Common,Split,,,,,,,,,,
Czechia,1500,,,Minimal,Widespread,Minimal,Widespread,Present,,,,,,,,,,
Czechia,1750,,,Minimal,Widespread,Common,Widespread,Present,,,,,,,,,,
Czechia,1850,,,Minimal,Widespread,Common,Widespread,Present,,,,,,,,,,
Democratic Republic of Congo,-8000,,,Widespread,None,None,None,Absent,,,,,,,,,,
Democratic Republic of Congo,-6000,,,Widespread,None,None,None,Absent,,,,,,,,,,
Democratic Republic of Congo,-4000,,,Widespread,None,None,None,Absent,,,,,,,,,,
Democratic Republic of Congo,-2000,,,Widespread,None,None,None,Absent,,,,,,,,,,
Democratic Republic of Congo,-1000,,,Widespread,None,None,None,Absent,,,,,,,,,,
Democratic Republic of Congo,0,,,Widespread,Common,None,None,Absent,,,,,,,,,,
Democratic Republic of Congo,1000,,,Widespread,Common,Minimal,None,Absent,,,,,,,,,,
Democratic Republic of Congo,1500,,,Widespread,Common,Common,None,Present,,,,,,,,,,
Democratic Republic of Congo,1750,,,Widespread,Common,Common,None,Present,,,,,,,,,,
Democratic Republic of Congo,1850,,,Widespread,Common,Widespread,None,Present,,,,,,,,,,
Denmark,-8000,,,Widespread,None,None,None,Absent,,,,,,,,,,
Denmark,-6000,,,Widespread,None,None,Minimal,Absent,,,,,,,,,,
Denmark,-4000,,,Common,Widespread,Common,Common,Absent,,,,,,,,,,
Denmark,-2000,,,Minimal,Widespread,Widespread,Widespread,Absent,,,,,,,,,,
Denmark,-1000,,,Minimal,Widespread,Widespread,Widespread,Absent,,,,,,,,,,
Denmark,0,,,Minimal,Widespread,Widespread,Widespread,Present,-8000.0,-4000.0,-4000.0,1550.0,-4000.0,1900.0,-4000.0,1900.0,0.0,1900.0
Denmark,1000,,,Minimal,Widespread,Widespread,Widespread,Present,,,,,,,,,,
Denmark,1500,,,Minimal,Widespread,Widespread,Widespread,Present,,,,,,,,,,
Denmark,1750,,,Minimal,Minimal,Widespread,Widespread,Present,,,,,,,,,,
Denmark,1850,,,Minimal,Minimal,Widespread,Widespread,Present,,,,,,,,,,
Djibouti,-8000,,,Common,None,None,None,Absent,,,,,,,,,,
Djibouti,-6000,,,Minimal,Minimal,None,Minimal,Absent,,,,,,,,,,
Djibouti,-4000,,,Minimal,Minimal,None,Minimal,Absent,,,,,,,,,,
Djibouti,-2000,,,Minimal,None,None,Minimal,Present,,,,,,,,,,
Djibouti,-1000,,,Minimal,Minimal,None,Common,Present,,,,,,,,,,
Djibouti,0,,,Minimal,Widespread,Common,Common,Present,-8000.0,-8000.0,0.0,1900.0,-1000.0,1900.0,0.0,1900.0,-2000.0,1900.0
Djibouti,1000,,,Minimal,Common,Common,Common,Present,,,,,,,,,,
Djibouti,1500,,,Minimal,Common,Common,Common,Absent,,,,,,,,,,
Djibouti,1750,,,Minimal,Common,Common,Common,Absent,,,,,,,,,,
Djibouti,1850,,,Minimal,Common,Common,Common,Present,,,,,,,,,,
Dominica,-8000,,,None,None,None,None,Absent,,,,,,,,,,
Dominica,-6000,,,Minimal,None,None,None,Absent,,,,,,,,,,
Dominica,-4000,,,Minimal,None,None,None,Absent,,,,,,,,,,
Dominica,-2000,,,Common,Minimal,None,None,Absent,,,,,,,,,,
Dominica,-1000,,,Common,Minimal,None,None,Absent,,,,,,,,,,
Dominica,0,,,Widespread,Common,None,None,Absent,-2000.0,1900.0,0.0,1900.0,1900.0,1900.0,1800.0,1900.0,1800.0,1900.0
Dominica,1000,,,Widespread,Common,None,None,Absent,,,,,,,,,,
Dominica,1500,,,Widespread,Common,Minimal,None,Absent,,,,,,,,,,
Dominica,1750,,,Common,Common,Widespread,Minimal,Present,,,,,,,,,,
Dominica,1850,,,Common,Common,Widespread,Common,Present,,,,,,,,,,
Dominican Republic,-8000,,,None,None,None,None,Absent,,,,,,,,,,
Dominican Republic,-6000,,,Minimal,None,None,None,Absent,,,,,,,,,,
Dominican Republic,-4000,,,Minimal,None,None,None,Absent,,,,,,,,,,
Dominican Republic,-2000,,,Common,Minimal,None,None,Absent,,,,,,,,,,
Dominican Republic,-1000,,,Common,Minimal,None,None,Absent,,,,,,,,,,
Dominican Republic,0,,,Widespread,Common,None,None,Absent,-2000.0,1900.0,0.0,1900.0,1900.0,1900.0,1800.0,1900.0,1800.0,1900.0
Dominican Republic,1000,,,Widespread,Common,None,None,Absent,,,,,,,,,,
Dominican Republic,1500,,,Widespread,Common,Minimal,None,Absent,,,,,,,,,,
Dominican Republic,1750,,,Common,Common,Widespread,Minimal,Present,,,,,,,,,,
Dominican Republic,1850,,,Common,Common,Widespread,Common,Present,,,,,,,,,,
Egypt,-8000,,,Widespread,None,None,None,Absent,,,,,,,,,,
Egypt,-6000,,,Widespread,None,None,Minimal,Absent,,,,,,,,,,
Egypt,-4000,,,Widespread,Common,Minimal,Widespread,Absent,,,,,,,,,,
Egypt,-2000,,,Common,Minimal,Widespread,Common,Present,,,,,,,,,,
Egypt,-1000,,,Common,Minimal,Widespread,Common,Present,,,,,,,,,,
Egypt,0,,,Common,Minimal,Widespread,Widespread,Present,-8000.0,1900.0,-4000.0,-4000.0,-4000.0,1900.0,-2000.0,1900.0,-2000.0,1900.0
Egypt,1000,,,Common,Minimal,Widespread,Widespread,Present,,,,,,,,,,
Egypt,1500,,,Common,Minimal,Widespread,Widespread,Present,,,,,,,,,,
Egypt,1750,,,Common,Minimal,Common,Common,Present,,,,,,,,,,
Egypt,1850,,,Common,Minimal,Common,Common,Present,,,,,,,,,,
Equatorial Guinea,-8000,,,Widespread,None,None,None,Absent,,,,,,,,,,
Equatorial Guinea,-6000,,,Widespread,None,None,None,Absent,,,,,,,,,,
Equatorial Guinea,-4000,,,Widespread,None,None,None,Absent,,,,,,,,,,
Equatorial Guinea,-2000,,,Widespread,None,None,Minimal,Absent,,,,,,,,,,
Equatorial Guinea,-1000,,,Common,Common,None,Minimal,Absent,,,,,,,,,,
Equatorial Guinea,0,,,Common,Widespread,Minimal,Minimal,Present,-8000.0,1900.0,-1000.0,1900.0,1550.0,1900.0,1000.0,1900.0,0.0,1900.0
Equatorial Guinea,1000,,,Common,Widespread,Common,Minimal,Present,,,,,,,,,,
Equatorial Guinea,1500,,,Common,Widespread,Common,Common,Present,,,,,,,,,,
Equatorial Guinea,1750,,,Common,Widespread,Common,Common,Present,,,,,,,,,,
Equatorial Guinea,1850,,,Common,Common,Widespread,Common,Present,,,,,,,,,,
Eritrea,-8000,,,Common,None,None,None,Absent,,,,,,,,,,
Eritrea,-6000,,,Minimal,Minimal,None,Minimal,Absent,,,,,,,,,,
Eritrea,-4000,,,Minimal,Minimal,None,Minimal,Absent,,,,,,,,,,
Eritrea,-2000,,,Minimal,None,None,Minimal,Present,,,,,,,,,,
Eritrea,-1000,,,Minimal,Minimal,None,Common,Present,,,,,,,,,,
Eritrea,0,,,Minimal,Widespread,Common,Common,Present,-8000.0,-8000.0,0.0,1900.0,-1000.0,1900.0,0.0,1900.0,-2000.0,1900.0
Eritrea,1000,,,Minimal,Common,Common,Common,Present,,,,,,,,,,
Eritrea,1500,,,Minimal,Common,Common,Common,Absent,,,,,,,,,,
Eritrea,1750,,,Minimal,Common,Common,Common,Absent,,,,,,,,,,
Eritrea,1850,,,Minimal,Common,Common,Common,Present,,,,,,,,,,
Estonia,-8000,,,Minimal,None,None,None,Absent,,,,,,,,,,
Estonia,-6000,,,Widespread,None,None,None,Absent,,,,,,,,,,
Estonia,-4000,,,Widespread,Minimal,None,None,Absent,,,,,,,,,,
Estonia,-2000,,,Widespread,Minimal,Minimal,Minimal,Absent,,,,,,,,,,
Estonia,-1000,,,Widespread,Common,Minimal,Common,Absent,,,,,,,,,,
Estonia,0,,,Widespread,Common,Minimal,Common,Absent,-6000.0,1900.0,-1000.0,1900.0,-1000.0,1900.0,1000.0,1900.0,1000.0,1900.0
Estonia,1000,,,Common,Common,Common,Widespread,Present,,,,,,,,,,
Estonia,1500,,,Common,Common,Common,Widespread,Present,,,,,,,,,,
Estonia,1750,,,Common,Common,Common,Widespread,Present,,,,,,,,,,
Estonia,1850,,,Common,Common,Common,Widespread,Present,,,,,,,,,,
Ethiopia,-8000,,,Widespread,None,None,None,Absent,,,,,,,,,,
Ethiopia,-6000,,,Widespread,None,None,None,Absent,,,,,,,,,,
Ethiopia,-4000,,,Widespread,None,None,Minimal,Absent,,,,,,,,,,
Ethiopia,-2000,,,Common,Minimal,None,Common,Absent,,,,,,,,,,
Ethiopia,-1000,,,Common,Common,None,Common,Absent,,,,,,,,,,
Ethiopia,0,,,Common,Common,Minimal,Common,Present,-8000.0,1800.0,-1000.0,1900.0,-2000.0,1900.0,1000.0,1900.0,0.0,1900.0
Ethiopia,1000,,,Minimal,Common,Common,Widespread,Present,,,,,,,,,,
Ethiopia,1500,,,Common,Common,Common,Widespread,Present,,,,,,,,,,
Ethiopia,1750,,,Common,Widespread,Widespread,Widespread,Present,,,,,,,,,,
Ethiopia,1850,,,Minimal,Widespread,Widespread,Widespread,Present,,,,,,,,,,
Extensive Agriculture,-8000,,0.001532455,,,,,,,,,,,,,,,
Extensive Agriculture,-7901,,0.0017427389999999999,,,,,,,,,,,,,,,
Extensive Agriculture,-7801,,0.001981754,,,,,,,,,,,,,,,
Extensive Agriculture,-7702,,0.0022533270000000003,,,,,,,,,,,,,,,
Extensive Agriculture,-7602,,0.002561762,,,,,,,,,,,,,,,
Extensive Agriculture,-7503,,0.0029119059999999997,,,,,,,,,,,,,,,
Extensive Agriculture,-7403,,0.0033091970000000003,,,,,,,,,,,,,,,
Extensive Agriculture,-7304,,0.003759738,,,,,,,,,,,,,,,
Extensive Agriculture,-7204,,0.004270362,,,,,,,,,,,,,,,
Extensive Agriculture,-7105,,0.0048487090000000005,,,,,,,,,,,,,,,
Extensive Agriculture,-7005,,0.0055033040000000005,,,,,,,,,,,,,,,
Extensive Agriculture,-6906,,0.0062436440000000005,,,,,,,,,,,,,,,
Extensive Agriculture,-6806,,0.007080286,,,,,,,,,,,,,,,
Extensive Agriculture,-6707,,0.00802494,,,,,,,,,,,,,,,
Extensive Agriculture,-6607,,0.009090563000000001,,,,,,,,,,,,,,,
Extensive Agriculture,-6508,,0.010291456,,,,,,,,,,,,,,,
Extensive Agriculture,-6408,,0.011643357,,,,,,,,,,,,,,,
Extensive Agriculture,-6309,,0.013163538,,,,,,,,,,,,,,,
Extensive Agriculture,-6209,,0.014870887,,,,,,,,,,,,,,,
Extensive Agriculture,-6110,,0.016785988,,,,,,,,,,,,,,,
Extensive Agriculture,-6010,,0.018931186000000003,,,,,,,,,,,,,,,
Extensive Agriculture,-5911,,0.021330522,,,,,,,,,,,,,,,
Extensive Agriculture,-5811,,0.024009169,,,,,,,,,,,,,,,
Extensive Agriculture,-5712,,0.026993492,,,,,,,,,,,,,,,
Extensive Agriculture,-5612,,0.030311041,,,,,,,,,,,,,,,
Extensive Agriculture,-5513,,0.033990318,,,,,,,,,,,,,,,
Extensive Agriculture,-5413,,0.038060483,,,,,,,,,,,,,,,
Extensive Agriculture,-5314,,0.042550977999999996,,,,,,,,,,,,,,,
Extensive Agriculture,-5214,,0.04749107599999999,,,,,,,,,,,,,,,
Extensive Agriculture,-5115,,0.052909352,,,,,,,,,,,,,,,
Extensive Agriculture,-5015,,0.058833067,,,,,,,,,,,,,,,
Extensive Agriculture,-4916,,0.065287491,,,,,,,,,,,,,,,
Extensive Agriculture,-4816,,0.07229514599999999,,,,,,,,,,,,,,,
Extensive Agriculture,-4717,,0.07987501799999999,,,,,,,,,,,,,,,
Extensive Agriculture,-4617,,0.088041723,,,,,,,,,,,,,,,
Extensive Agriculture,-4518,,0.09680468800000001,,,,,,,,,,,,,,,
Extensive Agriculture,-4418,,0.106167346,,,,,,,,,,,,,,,
Extensive Agriculture,-4319,,0.116126399,,,,,,,,,,,,,,,
Extensive Agriculture,-4219,,0.126671178,,,,,,,,,,,,,,,
Extensive Agriculture,-4120,,0.137783135,,,,,,,,,,,,,,,
Extensive Agriculture,-4020,,0.149435504,,,,,,,,,,,,,,,
Extensive Agriculture,-3921,,0.16159617,,,,,,,,,,,,,,,
Extensive Agriculture,-3821,,0.174249403,,,,,,,,,,,,,,,
Extensive Agriculture,-3722,,0.187389214,,,,,,,,,,,,,,,
Extensive Agriculture,-3622,,0.201010795,,,,,,,,,,,,,,,
Extensive Agriculture,-3523,,0.215110716,,,,,,,,,,,,,,,
Extensive Agriculture,-3423,,0.22968707800000002,,,,,,,,,,,,,,,
Extensive Agriculture,-3324,,0.244739596,,,,,,,,,,,,,,,
Extensive Agriculture,-3224,,0.260269577,,,,,,,,,,,,,,,
Extensive Agriculture,-3125,,0.276279798,,,,,,,,,,,,,,,
Extensive Agriculture,-3025,,0.292774293,,,,,,,,,,,,,,,
Extensive Agriculture,-2926,,0.309758013,,,,,,,,,,,,,,,
Extensive Agriculture,-2826,,0.327236392,,,,,,,,,,,,,,,
Extensive Agriculture,-2727,,0.345214794,,,,,,,,,,,,,,,
Extensive Agriculture,-2627,,0.36369784299999997,,,,,,,,,,,,,,,
Extensive Agriculture,-2528,,0.382688653,,,,,,,,,,,,,,,
Extensive Agriculture,-2428,,0.402187941,,,,,,,,,,,,,,,
Extensive Agriculture,-2329,,0.422193053,,,,,,,,,,,,,,,
Extensive Agriculture,-2229,,0.442696903,,,,,,,,,,,,,,,
Extensive Agriculture,-2130,,0.463686849,,,,,,,,,,,,,,,
Extensive Agriculture,-2030,,0.48514354200000004,,,,,,,,,,,,,,,
Extensive Agriculture,-1931,,0.507031946,,,,,,,,,,,,,,,
Extensive Agriculture,-1831,,0.529226334,,,,,,,,,,,,,,,
Extensive Agriculture,-1732,,0.5515453379999999,,,,,,,,,,,,,,,
Extensive Agriculture,-1632,,0.573804981,,,,,,,,,,,,,,,
Extensive Agriculture,-1533,,0.595824471,,,,,,,,,,,,,,,
Extensive Agriculture,-1433,,0.617431206,,,,,,,,,,,,,,,
Extensive Agriculture,-1334,,0.638465298,,,,,,,,,,,,,,,
Extensive Agriculture,-1234,,0.658783337,,,,,,,,,,,,,,,
Extensive Agriculture,-1135,,0.6782611620000001,,,,,,,,,,,,,,,
Extensive Agriculture,-1035,,0.696795548,,,,,,,,,,,,,,,
Extensive Agriculture,-936,,0.714307117,,,,,,,,,,,,,,,
Extensive Agriculture,-836,,0.730765522,,,,,,,,,,,,,,,
Extensive Agriculture,-737,,0.746174255,,,,,,,,,,,,,,,
Extensive Agriculture,-637,,0.7605476720000001,,,,,,,,,,,,,,,
Extensive Agriculture,-538,,0.773908712,,,,,,,,,,,,,,,
Extensive Agriculture,-438,,0.786287078,,,,,,,,,,,,,,,
Extensive Agriculture,-339,,0.7977175320000001,,,,,,,,,,,,,,,
Extensive Agriculture,-239,,0.8082383479999999,,,,,,,,,,,,,,,
Extensive Agriculture,-140,,0.817889938,,,,,,,,,,,,,,,
Extensive Agriculture,-40,,0.826713652,,,,,,,,,,,,,,,
Extensive Agriculture,59,,0.834751481,,,,,,,,,,,,,,,
Extensive Agriculture,159,,0.842054911,,,,,,,,,,,,,,,
Extensive Agriculture,258,,0.84868023,,,,,,,,,,,,,,,
Extensive Agriculture,358,,0.8546794940000001,,,,,,,,,,,,,,,
Extensive Agriculture,457,,0.860100373,,,,,,,,,,,,,,,
Extensive Agriculture,557,,0.8649862970000001,,,,,,,,,,,,,,,
Extensive Agriculture,656,,0.869376652,,,,,,,,,,,,,,,
Extensive Agriculture,756,,0.873306996,,,,,,,,,,,,,,,
Extensive Agriculture,855,,0.876809292,,,,,,,,,,,,,,,
Extensive Agriculture,955,,0.8799121390000001,,,,,,,,,,,,,,,
Extensive Agriculture,1054,,0.8826417259999999,,,,,,,,,,,,,,,
Extensive Agriculture,1154,,0.8850347159999999,,,,,,,,,,,,,,,
Extensive Agriculture,1253,,0.887136003,,,,,,,,,,,,,,,
Extensive Agriculture,1353,,0.88898713,,,,,,,,,,,,,,,
Extensive Agriculture,1452,,0.8906265040000001,,,,,,,,,,,,,,,
Extensive Agriculture,1552,,0.892090787,,,,,,,,,,,,,,,
Extensive Agriculture,1651,,0.893432045,,,,,,,,,,,,,,,
Extensive Agriculture,1751,,0.894716429,,,,,,,,,,,,,,,
Extensive Agriculture,1850,,0.8959938890000001,,,,,,,,,,,,,,,
Extensive Agriculture Common,-8000,0.23640661899999998,,,,,,,,,,,,,,,,
Extensive Agriculture Common,-6000,1.891252955,,,,,,,,,,,,,,,,
Extensive Agriculture Common,-4000,4.255319149,,,,,,,,,,,,,,,,
Extensive Agriculture Common,-2000,9.692671395,,,,,,,,,,,,,,,,
Extensive Agriculture Common,-1000,13.94799054,,,,,,,,,,,,,,,,
Extensive Agriculture Common,0,13.00236407,,,,,,,,,,,,,,,,
Extensive Agriculture Common,1000,16.54846336,,,,,,,,,,,,,,,,
Extensive Agriculture Common,1550,12.05673759,,,,,,,,,,,,,,,,
Extensive Agriculture Common,1800,13.475177300000002,,,,,,,,,,,,,,,,
Extensive Agriculture Common,1900,14.89361702,,,,,,,,,,,,,,,,
Extensive Agriculture Widespread,-8000,0.46296296299999995,,,,,,,,,,,,,,,,
Extensive Agriculture Widespread,-6000,0.46296296299999995,,,,,,,,,,,,,,,,
Extensive Agriculture Widespread,-4000,1.388888889,,,,,,,,,,,,,,,,
Extensive Agriculture Widespread,-2000,2.777777778,,,,,,,,,,,,,,,,
Extensive Agriculture Widespread,-1000,7.407407407000001,,,,,,,,,,,,,,,,
Extensive Agriculture Widespread,0,15.74074074,,,,,,,,,,,,,,,,
Extensive Agriculture Widespread,1000,13.88888889,,,,,,,,,,,,,,,,
Extensive Agriculture Widespread,1550,19.90740741,,,,,,,,,,,,,,,,
Extensive Agriculture Widespread,1800,18.98148148,,,,,,,,,,,,,,,,
Extensive Agriculture Widespread,1900,18.98148148,,,,,,,,,,,,,,,,
Finland,-8000,,,Minimal,None,None,None,Absent,,,,,,,,,,
Finland,-6000,,,Widespread,None,None,None,Absent,,,,,,,,,,
Finland,-4000,,,Widespread,Minimal,None,None,Absent,,,,,,,,,,
Finland,-2000,,,Widespread,Minimal,Minimal,Minimal,Absent,,,,,,,,,,
Finland,-1000,,,Widespread,Common,Minimal,Common,Absent,,,,,,,,,,
Finland,0,,,Widespread,Common,Minimal,Common,Absent,-6000.0,1900.0,-1000.0,1900.0,-1000.0,1900.0,1000.0,1900.0,1000.0,1900.0
Finland,1000,,,Common,Common,Common,Widespread,Present,,,,,,,,,,
Finland,1500,,,Common,Common,Common,Widespread,Present,,,,,,,,,,
Finland,1750,,,Common,Common,Common,Widespread,Present,,,,,,,,,,
Finland,1850,,,Common,Common,Common,Widespread,Present,,,,,,,,,,
Foraging,-8000,,0.7724971420000001,,,,,,,,,,,,,,,
Foraging,-7901,,0.7733313079999999,,,,,,,,,,,,,,,
Foraging,-7801,,0.774162259,,,,,,,,,,,,,,,
Foraging,-7702,,0.7749889529999999,,,,,,,,,,,,,,,
Foraging,-7602,,0.775810358,,,,,,,,,,,,,,,
Foraging,-7503,,0.7766254570000001,,,,,,,,,,,,,,,
Foraging,-7403,,0.777433239,,,,,,,,,,,,,,,
Foraging,-7304,,0.778232707,,,,,,,,,,,,,,,
Foraging,-7204,,0.779022873,,,,,,,,,,,,,,,
Foraging,-7105,,0.7798027590000001,,,,,,,,,,,,,,,
Foraging,-7005,,0.780571398,,,,,,,,,,,,,,,
Foraging,-6906,,0.7813278309999999,,,,,,,,,,,,,,,
Foraging,-6806,,0.7820711109999999,,,,,,,,,,,,,,,
Foraging,-6707,,0.7828002959999999,,,,,,,,,,,,,,,
Foraging,-6607,,0.783514457,,,,,,,,,,,,,,,
Foraging,-6508,,0.78421267,,,,,,,,,,,,,,,
Foraging,-6408,,0.7848940190000001,,,,,,,,,,,,,,,
Foraging,-6309,,0.785557596,,,,,,,,,,,,,,,
Foraging,-6209,,0.7862025009999999,,,,,,,,,,,,,,,
Foraging,-6110,,0.786827836,,,,,,,,,,,,,,,
Foraging,-6010,,0.787432712,,,,,,,,,,,,,,,
Foraging,-5911,,0.7880151540000001,,,,,,,,,,,,,,,
Foraging,-5811,,0.7885672990000001,,,,,,,,,,,,,,,
Foraging,-5712,,0.7890793429999999,,,,,,,,,,,,,,,
Foraging,-5612,,0.78954154,,,,,,,,,,,,,,,
Foraging,-5513,,0.7899441840000001,,,,,,,,,,,,,,,
Foraging,-5413,,0.7902775940000001,,,,,,,,,,,,,,,
Foraging,-5314,,0.790532089,,,,,,,,,,,,,,,
Foraging,-5214,,0.790697966,,,,,,,,,,,,,,,
Foraging,-5115,,0.790765465,,,,,,,,,,,,,,,
Foraging,-5015,,0.790724743,,,,,,,,,,,,,,,
Foraging,-4916,,0.7905658329999999,,,,,,,,,,,,,,,
Foraging,-4816,,0.790278609,,,,,,,,,,,,,,,
Foraging,-4717,,0.789852737,,,,,,,,,,,,,,,
Foraging,-4617,,0.789277637,,,,,,,,,,,,,,,
Foraging,-4518,,0.788542425,,,,,,,,,,,,,,,
Foraging,-4418,,0.7876358640000001,,,,,,,,,,,,,,,
Foraging,-4319,,0.7865463090000001,,,,,,,,,,,,,,,
Foraging,-4219,,0.785261642,,,,,,,,,,,,,,,
Foraging,-4120,,0.783769213,,,,,,,,,,,,,,,
Foraging,-4020,,0.782055772,,,,,,,,,,,,,,,
Foraging,-3921,,0.7801088979999999,,,,,,,,,,,,,,,
Foraging,-3821,,0.777926729,,,,,,,,,,,,,,,
Foraging,-3722,,0.775512124,,,,,,,,,,,,,,,
Foraging,-3622,,0.7728677509999999,,,,,,,,,,,,,,,
Foraging,-3523,,0.7699961209999999,,,,,,,,,,,,,,,
Foraging,-3423,,0.766899643,,,,,,,,,,,,,,,
Foraging,-3324,,0.7635806820000001,,,,,,,,,,,,,,,
Foraging,-3224,,0.760041605,,,,,,,,,,,,,,,
Foraging,-3125,,0.7562848440000001,,,,,,,,,,,,,,,
Foraging,-3025,,0.7523129409999999,,,,,,,,,,,,,,,
Foraging,-2926,,0.748128603,,,,,,,,,,,,,,,
Foraging,-2826,,0.7437347529999999,,,,,,,,,,,,,,,
Foraging,-2727,,0.739134574,,,,,,,,,,,,,,,
Foraging,-2627,,0.734331559,,,,,,,,,,,,,,,
Foraging,-2528,,0.729329558,,,,,,,,,,,,,,,
Foraging,-2428,,0.7241328140000001,,,,,,,,,,,,,,,
Foraging,-2329,,0.718746007,,,,,,,,,,,,,,,
Foraging,-2229,,0.713174289,,,,,,,,,,,,,,,
Foraging,-2130,,0.707423318,,,,,,,,,,,,,,,
Foraging,-2030,,0.701499282,,,,,,,,,,,,,,,
Foraging,-1931,,0.69540489,,,,,,,,,,,,,,,
Foraging,-1831,,0.6891004070000001,,,,,,,,,,,,,,,
Foraging,-1732,,0.682518702,,,,,,,,,,,,,,,
Foraging,-1632,,0.675589619,,,,,,,,,,,,,,,
Foraging,-1533,,0.668240305,,,,,,,,,,,,,,,
Foraging,-1433,,0.6603952120000001,,,,,,,,,,,,,,,
Foraging,-1334,,0.651976132,,,,,,,,,,,,,,,
Foraging,-1234,,0.642902317,,,,,,,,,,,,,,,
Foraging,-1135,,0.633090708,,,,,,,,,,,,,,,
Foraging,-1035,,0.622456343,,,,,,,,,,,,,,,
Foraging,-936,,0.6109227,,,,,,,,,,,,,,,
Foraging,-836,,0.598536807,,,,,,,,,,,,,,,
Foraging,-737,,0.585437491,,,,,,,,,,,,,,,
Foraging,-637,,0.571775471,,,,,,,,,,,,,,,
Foraging,-538,,0.55771097,,,,,,,,,,,,,,,
Foraging,-438,,0.543412211,,,,,,,,,,,,,,,
Foraging,-339,,0.529053316,,,,,,,,,,,,,,,
Foraging,-239,,0.514811812,,,,,,,,,,,,,,,
Foraging,-140,,0.500865961,,,,,,,,,,,,,,,
Foraging,-40,,0.48739217100000004,,,,,,,,,,,,,,,
Foraging,59,,0.474555626,,,,,,,,,,,,,,,
Foraging,159,,0.462407521,,,,,,,,,,,,,,,
Foraging,258,,0.45090960799999996,,,,,,,,,,,,,,,
Foraging,358,,0.440018134,,,,,,,,,,,,,,,
