Entity,Year,Share Public Education Expenditure (OECD Education Statistics (2017)),Private Expenditure on Education (OECD Education Statistics (2017)),Public Expenditure on Education (OECD Education Statistics (2017)),Capital Expenditure (OECD Education Statistics (2017)),Current Expenditure Staff (OECD Education Statistics (2017)),Current Expenditure Non-staff (OECD Education Statistics (2017))
New Zealand,2010,m ,,,,,
New Zealand,2011,m ,,,,,
New Zealand,2012,82.5,,,,,
Norway,2000,99,,,,,
Norway,2005,m ,,,,,
Norway,2008,m ,,,,,
Norway,2010,m ,,,,,
Norway,2011,m ,,,,,
Norway,2012,m,,,,,
OECD,1997,,,,0.351,2.8392,0.7098
OECD,2000,,0.272863554,3.181105486,0.2808,2.6653176,0.6538824
OECD,2003,,,,0.3198,2.8713204,0.7088796
OECD,2005,,0.30656849,3.300119625,,,
OECD,2007,,,,0.2736,2.6345088,0.6918912
OECD,2008,,0.297284314,3.284454407,,,
OECD,2010,,0.303895796,3.447904151,,,
OECD,2011,,0.306142013,3.338405756,,,
OECD,2012,,0.346438629,3.339078701,0.259,2.704626,0.736374
OECD average,2000,92.1,,,,,
OECD average,2005,91.5,,,,,
OECD average,2008,91.7,,,,,
OECD average,2010,91.9,,,,,
OECD average,2011,91.6,,,,,
OECD average,2012,90.6,,,,,
Poland,2000,95.4,,,,,
Poland,2005,98.2,,,,,
Poland,2008,94.7,,,,,
Poland,2010,93.8,,,,,
Poland,2011,93.9,,,,,
Poland,2012,92,,,,,
Portugal,2000,99.9,,,,,
Portugal,2005,99.9,,,,,
Portugal,2008,99.9,,,,,
Portugal,2010,100,,,,,
Portugal,2011,99.9,,,,,
Portugal,2012,85.2,,,,,
Slovakia,2000,97.6,,,,,
Slovakia,2005,86.2,,,,,
Slovakia,2008,84.8,,,,,
Slovakia,2010,88,,,,,
Slovakia,2011,88.6,,,,,
Slovakia,2012,88.1,,,,,
Slovenia,2000,m ,,,,,
Slovenia,2005,91.9,,,,,
Slovenia,2008,91.7,,,,,
Slovenia,2010,91.3,,,,,
Slovenia,2011,91.1,,,,,
Slovenia,2012,91,,,,,
South Korea,2000,80.8,,,,,
South Korea,2005,77,,,,,
South Korea,2008,77.8,,,,,
South Korea,2010,78.5,,,,,
South Korea,2011,80.7,,,,,
South Korea,2012,83.9,,,,,
Spain,2000,93,,,,,
Spain,2005,93.5,,,,,
Spain,2008,93.1,,,,,
Spain,2010,91.8,,,,,
Spain,2011,91.1,,,,,
Spain,2012,88.7,,,,,
Sweden,2000,99.9,,,,,
Sweden,2005,99.9,,,,,
Sweden,2008,99.9,,,,,
Sweden,2010,99.9,,,,,
Sweden,2011,100,,,,,
Sweden,2012,100,,,,,
Switzerland,2000,88.9,,,,,
Switzerland,2005,86.9,,,,,
Switzerland,2008,86.3,,,,,
Switzerland,2010,88.1,,,,,
Switzerland,2011,88.3,,,,,
Switzerland,2012,88.5,,,,,
Turkey,2000,m ,,,,,
Turkey,2005,m ,,,,,
Turkey,2008,m ,,,,,
Turkey,2010,m ,,,,,
Turkey,2011,86.8,,,,,
Turkey,2012,85.4,,,,,
United Kingdom,2000,m ,,,,,
United Kingdom,2005,m ,,,,,
United Kingdom,2008,m ,,,,,
United Kingdom,2010,m ,,,,,
United Kingdom,2011,m ,,,,,
United Kingdom,2012,84,,,,,
United States,2000,91.7,,,,,
United States,2005,91.8,,,,,
United States,2008,91.8,,,,,
United States,2010,92.3,,,,,
United States,2011,91.9,,,,,
United States,2012,92,,,,,
