Entity,Year,"Poverty headcount ratio at $1.90 a day (2011 PPP) by country, income group and region (World Bank (WDI) (2017))","Poverty headcount ratio at $3.10 a day (2011 PPP) by country, income group and region (World Bank (WDI) (2017))","Poverty gap at $1.90 a day (2011 PPP) by country, income group and region (World Bank (WDI) (2017))","Poverty gap at $3.10 a day (2011 PPP) by country, income group and region (World Bank (WDI) (2017))"
Belarus,2010,0,0.17,0,0.02
Belarus,2011,0,0.04,0,0
Belarus,2012,0,0.07,0,0.01
Belarus,2013,0,0,0,0
Belarus,2014,0,0,0,0
Belize,1993,10.09,24.3,5.02,9.5
Belize,1994,9.75,24.36,4.53,9.39
Belize,1995,12.29,21.55,4.64,9.5
Belize,1996,12.67,28.56,5.37,11.22
Belize,1997,16.45,34.64,7.83,14.54
Belize,1998,14.88,32.64,5.96,12.87
Belize,1999,13.92,27.2,6.22,11.59
Benin,2003,48.85,77.22,16.25,35.25
Benin,2011,53.11,75.63,18.98,37.24
Bhutan,2003,35.22,60.9,11.27,26.11
Bhutan,2007,7.95,28.87,1.57,7.99
Bhutan,2012,2.17,13.33,0.41,2.99
Bolivia,1990,8.57,24.84,1.45,7.14
Bolivia,1992,15.24,35.91,4.81,12.89
Bolivia,1997,19.26,30.98,10.02,15.92
Bolivia,1999,25.3,37.43,15.34,21.58
Bolivia,2000,29.67,41.38,19.06,25.59
Bolivia,2001,23.67,35.77,13.35,19.67
Bolivia,2002,24.93,36.85,14.15,20.68
Bolivia,2004,13.66,27.98,6.02,11.78
Bolivia,2005,20.38,32.24,10.98,17
Bolivia,2006,17.9,29.24,9.23,14.65
Bolivia,2007,13.9,27.31,7.03,12.28
Bolivia,2008,11.91,20.73,6.01,10.1
Bolivia,2009,11.92,19.2,6.3,9.84
Bolivia,2011,7.96,14.63,3.65,6.55
Bolivia,2012,9.07,15.77,4.85,7.72
Bolivia,2013,7.7,13.35,3.8,6.36
Bolivia,2014,6.81,12.69,3.24,5.77
Bosnia and Herzegovina,2001,0.31,0.93,0.13,0.31
Bosnia and Herzegovina,2004,0.18,0.64,0.05,0.19
Bosnia and Herzegovina,2007,0.06,0.42,0.02,0.09
Bosnia and Herzegovina,2011,0.07,0.45,0.02,0.11
Botswana,1985,42.56,62.52,17.87,31.63
Botswana,1993,34.82,54.66,13.49,25.86
Botswana,2002,29.75,49.04,11.41,22.61
Botswana,2009,18.24,35.74,5.78,13.96
Brazil,1981,24.32,41.44,9.85,18.94
Brazil,1982,23.81,40.51,9.51,18.37
Brazil,1983,30.64,49.17,12.75,23.49
Brazil,1984,29.9,48.58,12.08,22.77
Brazil,1985,25.14,42.74,9.99,19.38
Brazil,1986,9.76,21.36,3.87,8.46
Brazil,1987,18.13,32.93,7.46,14.54
Brazil,1988,22.44,37.76,9.62,17.63
Brazil,1989,20.51,35.14,8.73,16.2
Brazil,1990,20.56,35.79,8.24,16.09
Brazil,1992,20.76,35.77,9.09,16.69
Brazil,1993,19.92,34.84,8.56,15.97
Brazil,1995,12.99,25.88,5.33,10.74
Brazil,1996,14.17,26.57,6.14,11.61
Brazil,1997,13.99,26.81,5.98,11.5
Brazil,1998,12.71,24.48,5.21,10.45
Brazil,1999,13.36,25.61,5.39,10.93
Brazil,2001,13.62,25.82,5.79,11.21
Brazil,2002,12.31,24.47,4.83,10.04
Brazil,2003,12.71,25.18,5.32,10.63
Brazil,2004,11.04,23.27,4.47,9.34
Brazil,2005,9.55,21.19,3.88,8.28
Brazil,2006,7.94,17.88,3.32,6.96
Brazil,2007,7.6,16.8,3.59,6.83
Brazil,2008,6.29,14.21,2.92,5.69
Brazil,2009,6.18,13.47,2.9,5.45
Brazil,2011,5.5,11.37,2.93,4.94
Brazil,2012,4.59,9.28,2.48,4.14
Brazil,2013,4.87,9.06,2.77,4.32
Brazil,2014,3.66,7.56,1.72,3.14
Bulgaria,1989,0.05,0.08,0.05,0.06
Bulgaria,1992,0,0,0,0
Bulgaria,1994,0.24,0.54,0.23,0.28
Bulgaria,1995,1.23,3.07,0.31,1.02
Bulgaria,1997,0.45,4.31,0.13,0.76
Bulgaria,2001,2,6.9,0.42,2.06
Bulgaria,2003,0.88,3.88,0.15,0.94
Bulgaria,2006,5.42,10.33,2.63,4.63
Bulgaria,2007,0.42,1.76,0.12,0.49
Bulgaria,2008,1.18,2.82,0.37,0.97
Bulgaria,2009,1.15,2.61,0.28,0.88
Bulgaria,2010,1.93,3.8,0.62,1.42
Bulgaria,2011,2.19,4.66,0.93,1.89
Bulgaria,2012,2.03,4.7,0.77,1.68
Burkina Faso,1994,83.06,92.39,48.44,64.01
Burkina Faso,1998,81.61,91,42.99,60.09
Burkina Faso,2003,57.26,79.3,23.71,41.79
Burkina Faso,2009,55.29,80.47,19.94,39.25
Burkina Faso,2014,43.73,74.65,11.07,30.78
Burundi,1992,81.12,94.39,36.79,57.18
Burundi,1998,84.12,94.98,44.82,62.81
Burundi,2006,77.65,92.17,32.88,53.64
Cambodia,1994,30.06,67.04,6.42,23.87
Cambodia,2004,18.6,53.25,3.69,16.5
Cambodia,2007,16.92,49.09,3.52,15.19
Cambodia,2008,10.13,37.71,1.85,10.35
Cambodia,2009,4.95,27.78,0.76,6.39
Cambodia,2010,4.6,25.54,0.65,5.7
Cambodia,2011,3.37,25.61,0.55,5.3
Cambodia,2012,2.17,21.58,0.28,4.05
Cameroon,1996,48.08,72.27,15.29,33.48
Cameroon,2001,23.12,50.85,6.07,18.39
Cameroon,2007,29.27,54.27,8.32,21.72
Cameroon,2014,23.98,43.54,7.65,18.01
Cape Verde,2001,16.01,35.9,4.51,12.93
Cape Verde,2007,8.07,25.1,1.85,7.45
Central African Republic,1992,84.27,91.91,58.85,70.41
Central African Republic,2003,64.77,84.17,30.31,48.03
Central African Republic,2008,66.26,82.27,33.08,49.5
Chad,2003,62.94,84.55,26.73,45.67
Chad,2011,38.43,64.82,15.29,29.68
Chile,1987,8.46,21.98,3.08,7.7
Chile,1990,7.92,20.89,2.71,7.14
Chile,1992,4.57,15.3,1.48,4.61
Chile,1994,4.87,14.3,1.83,4.69
Chile,1996,3.35,11.33,1.22,3.42
Chile,1998,3.48,10.32,1.31,3.32
Chile,2000,3.39,9.42,1.28,3.17
Chile,2003,2.79,8.08,1.09,2.65
Chile,2006,1.66,5.15,0.63,1.64
Chile,2009,1.72,4.1,0.81,1.55
Chile,2011,1.3,2.91,0.5,1.07
Chile,2013,0.92,2.05,0.45,0.82
China,1981,88.32,99.14,43.19,63.43
China,1984,75.76,95.87,29.41,52.28
China,1987,60.84,89.15,21.73,43.35
China,1990,66.58,89.2,24.37,45.91
China,1993,57,82.31,20.57,40.34
China,1996,42.05,71.5,13.04,30.64
China,1999,40.54,67.18,13.23,29.55
China,2002,31.95,56.4,10.23,23.75
China,2005,18.75,41.76,4.94,14.73
China,2008,14.65,32.96,3.87,11.58
China,2010,11.18,27.24,2.66,9.05
China,2011,7.9,22.24,1.76,6.88
China,2012,6.47,19.05,1.37,5.73
China,2013,1.85,11.09,0.35,2.52
Colombia,1988,13.42,25.33,4.84,9.71
Colombia,1989,11.67,24.4,3.65,9.25
Colombia,1991,11.28,22.7,3.78,8.91
Colombia,1992,8.14,19.91,4.48,7.97
Colombia,1996,15.62,28.22,8.72,13.77
Colombia,1999,19.32,33.12,10.68,16.69
Colombia,2000,16.2,27.85,10.78,15.02
Colombia,2001,20.77,37.07,10.52,17.42
Colombia,2002,14.66,28.27,5.91,11.93
Colombia,2003,12.8,26.59,4.97,10.59
Colombia,2004,11.79,26.51,4.16,9.9
Colombia,2005,10.4,22.86,3.72,8.67
Colombia,2008,10.71,22.76,4.46,9.17
Colombia,2009,9.28,20.4,3.79,7.98
Colombia,2010,8.06,17.6,2.97,6.74
Colombia,2011,6.58,15.31,2.52,5.7
Colombia,2012,7.09,16.2,2.9,6.17
Colombia,2013,6.12,13.79,2.48,5.34
Colombia,2014,5.68,13.2,2.31,5
Comoros,2004,13.47,32.26,3.66,11.09
Congo,2005,50.2,71.76,19.94,36.35
Congo,2011,36.97,59.62,14.86,28.13
Costa Rica,1981,35.6,55.5,16.39,27.87
Costa Rica,1986,12.46,24.12,5.41,10.32
Costa Rica,1989,11.97,21.23,7.38,10.87
Costa Rica,1990,9.92,18.22,5.29,8.64
Costa Rica,1991,11.66,22.66,5.69,10.11
Costa Rica,1992,9.64,18.81,4.83,8.29
Costa Rica,1993,8.01,15.78,4.56,7.28
Costa Rica,1994,6.65,13.12,3.54,5.87
Costa Rica,1995,6.94,13.67,3.73,6.25
Costa Rica,1996,7.96,16.03,4.22,7.1
Costa Rica,1997,6.47,12.95,3.07,5.48
Costa Rica,1998,5.06,10.23,2.38,4.35
Costa Rica,1999,6.37,12.63,2.99,5.46
Costa Rica,2000,6.48,13.22,3.21,5.72
Costa Rica,2001,6.54,12.34,3.59,5.8
Costa Rica,2002,6.34,11.97,3.44,5.58
Costa Rica,2003,6.11,11.68,3.24,5.31
Costa Rica,2004,5.59,11.09,2.93,4.93
Costa Rica,2005,4.37,9.01,2.03,3.79
Costa Rica,2006,4.37,9.47,2.1,3.85
Costa Rica,2007,2.4,6.07,1.22,2.27
Costa Rica,2008,2.71,5.88,1.55,2.56
Costa Rica,2009,3.33,6.6,1.89,3
Costa Rica,2010,1.61,3.92,0.73,1.46
Costa Rica,2011,1.75,4.07,0.67,1.52
Costa Rica,2012,1.72,4.07,0.68,1.51
Costa Rica,2013,1.68,3.95,0.6,1.44
Costa Rica,2014,1.61,3.93,0.69,1.42
Cote d'Ivoire,1985,6.81,18.28,2.03,5.96
Cote d'Ivoire,1986,3.1,16.95,0.63,3.84
Cote d'Ivoire,1987,6.66,24.3,1.6,6.53
Cote d'Ivoire,1988,10.68,32.4,2.53,9.62
Cote d'Ivoire,1992,22.13,47.4,6.64,17.74
Cote d'Ivoire,1995,19.11,48.23,4.67,16.78
Cote d'Ivoire,1998,25.66,53.95,7.57,20.09
Cote d'Ivoire,2002,23.03,54.79,7.05,19.52
Cote d'Ivoire,2008,29.02,55.14,10.3,23.18
Croatia,1988,0.04,0.08,0.04,0.05
Croatia,1998,0,0,0,0
Croatia,1999,0.24,0.51,0.24,0.28
Croatia,2000,0.09,0.26,0.06,0.1
Croatia,2001,0.09,0.29,0.05,0.1
Croatia,2004,0,0.15,0,0.03
Croatia,2008,0,0.12,0,0.01
Croatia,2009,0.03,0.08,0,0.03
Croatia,2010,0,0.05,0,0
Croatia,2011,0.81,2,0.51,0.81
Croatia,2012,0.92,2.24,0.57,0.86
Czech Republic,1988,0,0,0,0
Czech Republic,1993,0.02,0.03,0.01,0.01
Czech Republic,1996,0.15,0.26,0.15,0.21
Czech Republic,2004,0,0.03,0,0.01
Czech Republic,2005,0,0.06,0,0.01
Czech Republic,2006,0.07,0.08,0.03,0.05
Czech Republic,2007,0.12,0.2,0.05,0.08
Czech Republic,2008,0.04,0.13,0.04,0.06
Czech Republic,2009,0.07,0.08,0.08,0.08
Czech Republic,2010,0.04,0.13,0.02,0.04
Czech Republic,2011,0.05,0.11,0.06,0.07
Czech Republic,2012,0.06,0.3,0.08,0.1
Democratic Republic of Congo,2004,94.05,98.35,63.59,76.4
Democratic Republic of Congo,2012,77.08,90.7,39.17,56.96
Djibouti,2002,20.63,46.12,6.03,16.69
Djibouti,2012,18.32,36.98,7.85,15.54
Djibouti,2013,22.52,43.05,7.51,17.21
Dominican Republic,1986,38.25,60.88,16.34,29.48
Dominican Republic,1989,36.67,58.8,13.97,27.35
Dominican Republic,1992,5.27,16.65,1.5,5.04
Dominican Republic,1996,4.93,12.7,1.86,4.43
Dominican Republic,1997,5.18,11.78,2.03,4.54
Dominican Republic,2000,5.46,12.18,1.85,4.49
Dominican Republic,2001,4.17,11.98,1.13,3.62
Dominican Republic,2002,5.84,13.62,1.95,4.98
Dominican Republic,2003,6.79,16.86,2.28,5.88
Dominican Republic,2004,8.62,21.96,2.71,7.63
Dominican Republic,2005,5.84,15.94,1.69,5.17
Dominican Republic,2006,4.55,13.63,1.29,4.29
Dominican Republic,2007,4.34,12.94,1.17,3.96
Dominican Republic,2008,3.76,13.3,0.97,3.73
Dominican Republic,2009,3.26,11.55,0.84,3.24
Dominican Republic,2010,2.61,11.5,0.6,2.91
Dominican Republic,2011,2.9,10,0.72,2.85
Dominican Republic,2012,2.59,10.22,0.68,2.8
Dominican Republic,2013,2.32,9.12,0.56,2.4
East Asia & Pacific,1981,80.46,93.14,38.23,57.66
East Asia & Pacific,1984,69.89,90.16,26.99,48.43
East Asia & Pacific,1987,58.31,85.02,20.72,41.35
East Asia & Pacific,1990,60.23,83.66,21.37,41.74
East Asia & Pacific,1993,52.43,77.75,18.21,37.12
East Asia & Pacific,1996,39.38,68.1,11.85,28.73
East Asia & Pacific,1999,37.24,64.8,11.52,27.43
East Asia & Pacific,2002,28.95,54.81,8.73,21.96
East Asia & Pacific,2005,18.43,42.84,4.68,14.79
East Asia & Pacific,2008,14.88,35.22,3.73,12.03
East Asia & Pacific,2010,11.11,28.72,2.52,9.29
East Asia & Pacific,2011,8.44,24.66,1.81,7.53
East Asia & Pacific,2012,7.12,22.05,1.45,6.53
East Asia & Pacific,2013,3.54,15.98,0.66,4.05
Ecuador,1987,23.16,39.89,9.96,18.35
Ecuador,1994,17.13,33.94,7.69,14.56
Ecuador,1995,13.81,31.5,6.64,12.82
Ecuador,1998,15.66,34.85,6.1,13.5
Ecuador,1999,21.82,39.06,9.76,17.87
Ecuador,2000,28.15,47.95,11.64,22.03
Ecuador,2003,16.94,32.92,7.29,14.12
Ecuador,2004,15.2,30.54,6.32,12.67
Ecuador,2005,13.6,26.99,5.68,11.27
Ecuador,2006,9.31,21.1,3.6,7.98
Ecuador,2007,10.05,20.94,4.27,8.53
Ecuador,2008,8.96,20.47,3.96,7.95
Ecuador,2009,8.92,20.1,3.73,7.78
Ecuador,2010,7.05,16.91,2.85,6.28
Ecuador,2011,5.86,14.54,2.59,5.45
Ecuador,2012,5.88,13.97,2.46,5.19
Ecuador,2013,4.43,11.64,1.72,3.97
Ecuador,2014,3.82,10.22,1.43,3.48
El Salvador,1989,18.98,31.52,11.24,16.66
El Salvador,1991,20.65,35.24,10.34,17.24
El Salvador,1995,19.89,38.98,8.24,16.59
El Salvador,1996,21.97,40.94,9.28,17.9
El Salvador,1998,20.02,31.78,11.18,16.86
El Salvador,1999,16.27,27.82,8.91,13.95
El Salvador,2000,11.81,22.73,4.81,9.63
El Salvador,2001,12.73,24.15,5.59,10.52
El Salvador,2002,13.08,23.93,5.54,10.44
El Salvador,2003,15.76,27.25,8.5,13.48
El Salvador,2004,9.95,20.77,4.14,8.36
El Salvador,2005,9.55,20.88,3.45,7.95
El Salvador,2006,6.36,17.34,1.73,5.57
El Salvador,2007,4.49,13.94,1.08,4.1
El Salvador,2008,6.92,18.58,1.99,6.09
El Salvador,2009,6.39,17.51,1.67,5.52
El Salvador,2010,7.24,18.55,2.33,6.3
El Salvador,2011,4.53,15.04,1.06,4.39
El Salvador,2012,4.16,13.61,0.98,3.84
El Salvador,2013,3.25,11.53,0.74,3.16
El Salvador,2014,2.97,11.29,0.64,3
Estonia,1988,0.06,0.15,0.05,0.07
Estonia,1993,1.32,5.77,0.49,1.52
Estonia,1995,0.57,5,0.13,0.95
Estonia,1998,0.15,3.08,0.03,0.44
Estonia,2000,1.37,5.34,0.28,1.35
Estonia,2001,1.17,5.23,0.29,1.34
Estonia,2002,1.32,4.96,0.3,1.36
Estonia,2003,1.14,5.55,0.21,1.33
Estonia,2004,1.41,3.21,1.91,1.97
Estonia,2005,0.97,1.94,0.92,1.1
Estonia,2006,0.87,1.46,0.62,0.83
Estonia,2007,0.52,0.88,0.39,0.51
Estonia,2008,0.5,0.92,0.42,0.52
Estonia,2009,0.73,1.24,0.66,0.77
Estonia,2010,0.92,1.82,0.99,1.11
Estonia,2011,1.21,1.82,1.17,1.28
Estonia,2012,0.99,1.61,1.21,1.23
Ethiopia,1981,69.26,91.54,24.32,46.95
Ethiopia,1995,66.44,86.38,26.2,46.44
Ethiopia,1999,55.37,87.14,16.16,38.8
Ethiopia,2004,36.31,76.22,8.34,27.46
Ethiopia,2010,33.54,71.27,9.04,26.54
Europe & Central Asia,1987,2.95,9.28,1.51,3.03
Europe & Central Asia,1990,4.04,12.8,1.53,3.94
Europe & Central Asia,1993,6.92,15.56,2.52,5.86
Europe & Central Asia,1996,7.77,18.28,2.65,6.6
Europe & Central Asia,1999,8.1,19.85,2.61,6.94
Europe & Central Asia,2002,6.28,13.97,1.89,5.04
Europe & Central Asia,2005,5.11,10.74,1.61,4.05
Europe & Central Asia,2008,3.3,7.53,0.99,2.7
Europe & Central Asia,2010,3.03,7.51,0.85,2.57
Europe & Central Asia,2011,2.73,7.24,0.75,2.4
Europe & Central Asia,2012,2.53,7.04,0.68,2.27
Europe & Central Asia,2013,2.25,6.57,0.6,2.07
Fiji,2002,5.49,21.89,1.09,5.89
Fiji,2008,4.07,18.5,0.82,4.56
Fragile and conflict affected situations,1981,38.88,56.64,18.21,29.85
Fragile and conflict affected situations,1984,40.35,59.41,18.75,31.03
Fragile and conflict affected situations,1987,39.73,59.02,18.18,30.49
Fragile and conflict affected situations,1990,41.54,59.25,19.28,31.59
Fragile and conflict affected situations,1993,46.41,64.33,23.22,35.9
Fragile and conflict affected situations,1996,45.4,62.92,23.28,35.45
Fragile and conflict affected situations,1999,43.71,59.28,22.75,34.08
Fragile and conflict affected situations,2002,43.88,59.59,23.5,34.58
Fragile and conflict affected situations,2005,42.92,59.05,21.93,33.34
Fragile and conflict affected situations,2008,41.53,57.55,19.96,31.62
Fragile and conflict affected situations,2010,40.85,56.95,19.44,31.04
Fragile and conflict affected situations,2011,40.15,57.07,18.67,30.47
Fragile and conflict affected situations,2012,39.39,56.09,18.12,29.8
Fragile and conflict affected situations,2013,38.4,55.24,17.42,29.01
Gabon,2005,7.97,24.43,1.85,7.23
Gambia,1998,70.46,85.86,35.98,52.93
Gambia,2003,45.29,68,17.72,33.36
Georgia,1996,6.04,17.15,1.21,5.16
Georgia,1997,17.62,36.76,6.18,14.35
Georgia,1998,15.72,35.16,5.8,13.36
Georgia,1999,19.9,42.12,6.96,16.29
Georgia,2000,20.99,45.08,7.52,17.43
Georgia,2001,20.91,47.3,7.12,17.69
Georgia,2002,16.87,39.75,5.55,14.31
Georgia,2003,17.41,40,5.76,14.73
Georgia,2004,16.81,37.17,5.67,13.91
Georgia,2005,16.21,36.54,5.38,13.51
Georgia,2006,13.92,34.09,4.41,11.89
Georgia,2007,16.3,37.17,5.22,13.48
Georgia,2008,15.47,35.11,4.96,12.84
Georgia,2009,15.4,35.76,5.15,12.89
Georgia,2010,19.58,38.61,6.41,15.25
Georgia,2011,17.79,36.84,6.17,14.31
Georgia,2012,15.49,34.56,5.04,12.81
Georgia,2013,11.49,28.58,3.36,9.81
Georgia,2014,9.77,25.27,2.89,8.5
Ghana,1987,39.95,71.56,13.15,30.23
Ghana,1988,39.74,70.76,12.67,29.66
Ghana,1991,47.38,75.52,16.4,34.5
Ghana,1998,33.85,60.52,11.33,25.54
Ghana,2005,25.19,49.04,8.41,19.61
Guatemala,1986,50.94,69.65,24.99,39.01
Guatemala,1989,38.02,55.03,18.71,29.68
Guatemala,1998,13.38,27,5.07,10.93
Guatemala,2000,10.1,22.22,3.92,8.6
Guatemala,2006,11.51,23.69,3.93,9.27
Guatemala,2011,11.53,26.47,4,9.84
Guatemala,2014,9.32,24.05,2.72,8.11
Guinea,1991,92.31,98.49,62.96,75.77
Guinea,1994,48.54,71.3,19.01,35.4
Guinea,2002,61.6,83.07,26.14,44.7
Guinea,2007,59.7,81.22,23.71,42.41
Guinea,2012,35.27,68.65,10.34,27.12
Guinea-Bissau,1991,42.96,61.08,22.67,34.26
Guinea-Bissau,1993,64.02,85.01,28.37,46.97
Guinea-Bissau,2002,53.87,80.93,18.63,38.33
Guinea-Bissau,2010,67.08,83.59,30.53,48.5
Guyana,1992,33.19,58.61,12.48,25.65
Guyana,1998,14,28.28,4.98,11.19
Haiti,2001,55.59,73.38,27.97,42.47
Haiti,2012,53.91,70.99,28.9,42.16
High income,1981,0.85,2.49,0.35,0.82
High income,1984,1.34,3.61,0.51,1.26
High income,1987,1.19,3.17,0.46,1.11
High income,1990,1.58,4.45,0.54,1.47
High income,1993,1.13,4.78,0.34,1.24
High income,1996,1.73,9.89,0.46,2.31
High income,1999,0.75,2.69,0.29,0.79
High income,2002,0.66,2.62,0.28,0.74
High income,2005,0.6,2.08,0.31,0.66
High income,2008,0.4,1.15,0.21,0.4
High income,2010,0.56,1.36,0.32,0.55
High income,2011,0.4,1.02,0.2,0.37
High income,2012,0.36,0.95,0.21,0.36
High income,2013,0.34,0.85,0.2,0.33
Honduras,1986,25.28,42.74,9.15,18.94
Honduras,1989,38.6,57.08,16.9,29.14
Honduras,1990,44.28,63.09,20.74,33.8
Honduras,1991,33.41,55.37,13.4,25.5
Honduras,1992,28.67,50.9,10.8,22.06
Honduras,1993,23.61,45.17,8.84,18.86
Honduras,1994,26.7,44.98,10.64,20.45
Honduras,1995,27.68,47.35,11.11,21.37
Honduras,1996,30.35,49.82,13.34,24.04
Honduras,1997,21.24,38.72,7.78,16.51
Honduras,1998,25.93,40.7,13.1,21.16
Honduras,1999,26.45,42.09,12.94,21.22
Honduras,2001,18.28,31.93,8.09,14.75
Honduras,2002,29.06,43.37,15.13,23.37
Honduras,2003,27.47,42.89,12.61,21.46
Honduras,2004,26.32,41.88,11.89,20.6
Honduras,2005,27.79,42.58,13.93,22.15
Honduras,2006,23.79,37.3,11.4,18.85
Honduras,2007,17.43,31.97,6.91,13.88
Honduras,2008,16.14,29.35,6.3,12.68
Honduras,2009,14.04,26.82,4.82,10.88
Honduras,2010,15.47,29.11,5.4,11.9
Honduras,2011,18.75,32.67,7.88,14.66
Honduras,2012,21.36,37.26,9.25,17.1
Honduras,2013,18.93,34.55,7.66,15.24
Honduras,2014,15.96,31.21,6.01,12.97
Hungary,1987,0.06,0.1,0.06,0.08
Hungary,1989,0.05,0.41,0.02,0.08
Hungary,1993,0.17,0.37,0.16,0.2
Hungary,1998,0.04,0.54,0,0.08
Hungary,1999,0.03,0.27,0.01,0.06
Hungary,2000,0,0.3,0,0.04
Hungary,2001,0,0.18,0,0.01
Hungary,2002,0,0.07,0,0.01
Hungary,2003,0.02,0.42,0,0.05
Hungary,2004,0,0.24,0,0.03
Hungary,2005,0.21,0.36,0.49,0.42
Hungary,2007,0.11,0.33,0.21,0.22
Hungary,2008,0.03,0.17,0.03,0.04
Hungary,2009,0.07,0.15,0.04,0.07
Hungary,2010,0.08,0.26,0.08,0.1
Hungary,2011,0.13,0.3,0.06,0.1
Hungary,2012,0.26,0.52,0.21,0.27
IBRD only,1981,52.72,69.08,22.48,37.9
IBRD only,1984,47.39,67.87,17.02,33.42
IBRD only,1987,40.31,64.4,13.32,29.08
IBRD only,1990,40.38,63.46,13.28,28.82
IBRD only,1993,37.79,61.35,12.19,27.28
IBRD only,1996,31.51,57.1,9.17,23.33
IBRD only,1999,30.17,55.13,8.86,22.47
IBRD only,2002,25.75,49.59,7.31,19.49
IBRD only,2005,20.01,42.96,5.12,15.61
IBRD only,2008,16.92,37.83,4.16,13.4
IBRD only,2010,13.93,34.17,3.26,11.55
IBRD only,2011,11.11,30.6,2.49,9.74
IBRD only,2012,9.75,28.33,2.13,8.78
IBRD only,2013,7.34,24.61,1.57,7.15
IDA & IBRD total,1981,52.19,69.91,22.11,37.73
IDA & IBRD total,1984,48.06,69.06,17.76,34.21
IDA & IBRD total,1987,42.53,66.34,14.82,30.79
