Entity,Year,Mammals (total endemic),Mammals (threatened endemic),Birds (total endemic),Birds (threatened endemic),Crocodiles & Alligators (total endemic),Crocodiles & Alligators (threatened endemic),Chameleons (total endemic),Chameleons (threatened endemic),Amphibians (total endemic),Amphibians (threatened endemic),Groupers (total endemic),Groupers (threatened endemic),"Herrings, anchovies etc. (total endemic)","Herrings, anchovies etc. (threatened endemic)",Seahorses & Pipefishes (total endemic),Seahorses & Pipefishes (threatened endemic),Sturgeons (total endemic),Sturgeons (threatened endemic),Wrasses & Parrotfishes (total endemic),Wrasses & Parrotfishes (threatened endemic),Sharks & Rays (total endemic),Sharks & Rays (threatened endemic)
Barbados,2020,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belarus,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgium,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belize,2020,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0
Benin,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bermuda,2020,0,0,5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Bhutan,2020,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia,2020,21,4,20,7,0,0,0,0,73,46,0,0,0,0,0,0,0,0,0,0,0,0
Bonaire Sint Eustatius and Saba,2020,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botswana,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bouvet Island,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,2020,203,59,254,90,0,0,0,0,548,31,0,0,5,0,1,0,0,0,10,1,21,9
British Indian Ocean Territory,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
British Virgin Islands,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brunei,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burundi,2020,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Cambodia,2020,0,0,2,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon,2020,18,14,6,5,0,0,3,2,56,43,0,0,1,0,0,0,0,0,0,0,0,0
Canada,2020,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cape Verde,2020,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Cayman Islands,2020,19,9,27,9,1,1,0,0,59,49,0,0,1,1,0,0,0,0,0,0,0,0
Central African Republic,2020,2,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad,2020,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Chile,2020,15,4,10,3,0,0,0,0,36,27,0,0,1,0,1,0,0,0,5,0,8,2
China,2020,88,19,70,18,1,1,0,0,254,120,0,0,3,0,1,0,2,2,1,0,4,0
Christmas Island,2020,4,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cocos Islands,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colombia,2020,45,14,93,50,0,0,0,0,373,218,0,0,0,0,0,0,0,0,1,1,2,1
Comoros,2020,4,2,20,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Congo,2020,4,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Cook Islands,2020,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Costa Rica,2020,5,0,8,6,0,0,0,0,60,17,0,0,0,0,0,0,0,0,1,1,1,0
Cote d'Ivoire,2020,1,1,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0
Croatia,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cuba,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Curacao,2020,0,0,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus,2020,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czechia,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Democratic Republic of Congo,2020,39,14,14,8,0,0,3,2,50,11,0,0,4,2,0,0,0,0,0,0,0,0
Denmark,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Djibouti,2020,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominica,2020,1,0,0,0,0,0,0,0,11,9,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic,2020,0,0,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Ecuador,2020,33,13,42,27,0,0,0,0,163,103,0,0,2,1,0,0,0,0,1,0,6,1
Egypt,2020,5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
El Salvador,2020,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Equatorial Guinea,2020,3,3,4,3,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Eritrea,2020,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonia,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eswatini,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiopia,2020,38,17,18,8,0,0,3,0,25,12,0,0,0,0,0,0,0,0,0,0,0,0
Faeroe Islands,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Falkland Islands,2020,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Fiji,2020,1,1,36,7,0,0,0,0,2,0,0,0,1,0,1,0,0,0,1,0,1,0
Finland,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France,2020,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,2,0,0
French Guiana,2020,0,0,1,0,0,0,0,0,10,4,0,0,0,0,0,0,0,0,0,0,1,0
French Polynesia,2020,0,0,44,20,0,0,0,0,0,0,1,0,1,0,0,0,0,0,7,0,0,0
French Southern Territories,2020,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabon,2020,3,0,1,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0
Gambia,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgia,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghana,2020,1,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0
Gibraltar,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,2020,2,1,0,0,0,0,0,0,3,3,0,0,2,2,0,0,0,0,0,0,0,0
Greenland,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grenada,2020,1,1,3,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
Guadeloupe,2020,2,0,0,0,0,0,0,0,27,27,0,0,0,0,0,0,0,0,0,0,0,0
Guam,2020,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala,2020,6,1,1,0,0,0,0,0,54,50,0,0,0,0,0,0,0,0,0,0,0,0
Guernsey,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea,2020,2,2,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0
Guinea-Bissau,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guyana,2020,0,0,0,0,0,0,0,0,26,13,0,0,0,0,0,0,0,0,0,0,0,0
Haiti,2020,7,4,31,5,0,0,0,0,21,15,0,0,0,0,0,0,0,0,0,0,0,0
Heard Island and McDonald Islands,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honduras,2020,6,1,1,1,0,0,0,0,57,51,0,0,0,0,0,0,0,0,0,0,0,0
Hong Kong,2020,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0
Hungary,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iceland,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,2020,54,33,74,25,0,0,0,0,167,70,0,0,7,0,1,1,0,0,2,0,4,1
Indonesia,2020,295,132,525,113,0,0,0,0,213,24,0,0,10,1,3,0,0,0,12,0,18,7
Iran,2020,9,1,1,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0
Iraq,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,2020,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Isle of Man,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Israel,2020,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Italy,2020,4,1,0,0,0,0,0,0,13,6,0,0,0,0,0,0,0,0,0,0,0,0
Jamaica,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Japan,2020,46,18,24,8,0,0,0,0,46,18,1,0,1,0,3,0,0,0,5,0,14,0
Jersey,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Kazakhstan,2020,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenya,2020,19,5,12,7,0,0,9,1,17,7,0,0,0,0,0,0,0,0,0,0,0,0
Kiribati,2020,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kuwait,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyrgyzstan,2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Laos,2020,4,1,1,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0
Latvia,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lebanon,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lesotho,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liberia,2020,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Libya,2020,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liechtenstein,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luxembourg,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macao,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madagascar,2020,213,129,119,29,0,0,85,44,312,145,0,0,2,1,0,0,0,0,0,0,5,1
Malawi,2020,3,1,1,1,0,0,3,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0
Malaysia,2020,20,5,9,2,0,0,0,0,86,23,0,0,1,1,0,0,0,0,0,0,0,0
Maldives,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mali,2020,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Malta,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marshall Islands,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Martinique,2020,1,0,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Mauritius,2020,2,2,29,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0
Mayotte,2020,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico,2020,152,73,120,24,0,0,0,0,284,197,3,1,4,0,3,0,0,0,3,2,7,0
Micronesia (country),2020,3,3,22,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Moldova,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monaco,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mongolia,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montserrat,2020,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morocco,2020,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mozambique,2020,3,2,2,2,0,0,6,4,5,4,0,0,0,0,1,0,0,0,1,0,3,0
Myanmar,2020,5,0,9,2,0,0,0,0,7,1,0,0,4,0,1,0,0,0,0,0,2,1
Namibia,2020,3,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Nauru,2020,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nepal,2020,2,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Caledonia,2020,6,5,27,9,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,12,0
New Zealand,2020,4,4,91,43,0,0,0,0,4,3,0,0,2,0,4,0,0,0,5,0,26,0
Nicaragua,2020,2,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0
Niger,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nigeria,2020,5,3,3,1,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0
Niue,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norfolk Island,2020,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Korea,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Macedonia,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Mariana Islands,2020,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oman,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,1,0
Pakistan,2020,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Palau,2020,2,1,13,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Palestine,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Panama,2020,12,2,9,4,0,0,0,0,48,33,0,0,2,0,0,0,0,0,0,0,2,1
Papua New Guinea,2020,83,23,114,23,0,0,0,0,292,26,0,0,1,1,1,0,0,0,0,0,9,2
Paraguay,2020,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peru,2020,57,12,134,34,0,0,0,0,301,115,0,0,1,0,0,0,0,0,0,0,1,1
Philippines,2020,133,28,259,76,1,1,0,0,93,26,0,0,5,1,1,1,0,0,0,0,9,1
Pitcairn,2020,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poland,2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Portugal,2020,1,1,5,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,1
Puerto Rico,2020,1,0,14,4,0,0,0,0,15,13,0,0,0,0,0,0,0,0,0,0,0,0
Qatar,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reunion,2020,1,0,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Romania,2020,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russia,2020,21,1,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Rwanda,2020,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Saint Barthlemy,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Helena,2020,0,0,18,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
Saint Kitts and Nevis,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Lucia,2020,1,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Martin (French part),2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Pierre and Miquelon,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Vincent and the Grenadines,2020,2,0,3,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Samoa,2020,2,0,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Marino,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sao Tome and Principe,2020,6,3,28,11,0,0,0,0,7,3,0,0,0,0,0,0,0,0,2,0,0,0
Saudi Arabia,2020,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senegal,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seychelles,2020,3,2,17,8,0,0,1,1,11,6,0,0,0,0,1,0,0,0,0,0,2,0
Sierra Leone,2020,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Singapore,2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sint Maarten (Dutch part),2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovakia,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovenia,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solomon Islands,2020,19,14,68,12,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,1,0
Somalia,2020,9,0,9,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,1
South Africa,2020,37,14,18,7,0,0,15,3,52,15,0,0,0,0,2,2,0,0,1,0,13,5
South Georgia and the South Sandwich Islands,2020,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Korea,2020,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0
South Sudan,2020,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain,2020,3,3,8,1,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka,2020,18,15,31,8,0,0,0,0,105,74,0,0,0,0,1,0,0,0,0,0,0,0
Sudan,2020,8,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Suriname,2020,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Svalbard and Jan Mayen,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweden,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Syria,2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taiwan,2020,19,0,29,1,0,0,0,0,13,8,0,0,0,0,0,0,0,0,0,0,5,3
Tajikistan,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanzania,2020,33,17,33,16,0,0,22,10,86,58,0,0,0,0,1,0,0,0,0,0,1,0
Thailand,2020,5,4,3,2,0,0,0,0,9,2,0,0,1,0,0,0,0,0,0,0,1,0
Timor,2020,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Togo,2020,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tokelau,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tonga,2020,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Trinidad and Tobago,2020,0,0,3,1,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0
Tunisia,2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkey,2020,8,0,0,0,0,0,0,0,8,7,0,0,1,1,0,0,0,0,0,0,0,0
Turkmenistan,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turks and Caicos Islands,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuvalu,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uganda,2020,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,2020,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Arab Emirates,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,2020,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States,2020,104,20,77,41,1,0,0,0,183,49,0,0,5,0,3,1,3,3,12,0,13,0
United States Minor Outlying Islands,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States Virgin Islands,2020,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Uruguay,2020,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Uzbekistan,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vanuatu,2020,2,2,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Vatican,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Venezuela,2020,28,8,52,16,0,0,0,0,183,100,0,0,3,0,0,0,0,0,1,0,0,0
Vietnam,2020,20,5,10,6,0,0,0,0,46,28,0,0,0,0,0,0,0,0,0,0,0,0
Wallis and Futuna,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western Sahara,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yemen,2020,4,2,10,2,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,5,2
Zambia,2020,5,2,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Zimbabwe,2020,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
