Entity,Year,Children (1-14) who experienced any violent discipline,Children (13-15) who reported being bullied,Children (13-15) who reported being in a physical fight during past year,Girls (15-19) who experienced any physical violence since age 15,Girls (15-19) who ever experienced forced sexual intercourse or any other forced sexual acts,"Number of homicide victims among children (0-19) per 100,000 population",Women (15 and above) who experienced any intimate partner physical and/or sexual violence last year
Macedonia,2015,69.3,20,31,16.7,4.7,,6.3
Madagascar,2015,66.9,38.2,20.6,15.2,6.5,8,15.3
Malawi,2015,72.4,45,23,21,18,1,22.1
Malaysia,2015,69.3,21,30,19.8,9.3,1,14.3
Maldives,2015,71.7,37,30,9.2,2.3,1,6.4
Mali,2015,72.7,46,39.7,26.2,12.4,5,26.6
Malta,2015,64.3,27.2,43.4,4.4,4.3,,4
Mauritania,2015,80,47,58,24,8.8,3,18.1
Mauritius,2015,70.1,36,36,11.8,2.8,1,10
Mexico,2015,63.1,29.1,39.5,6.6,0.8,7,6.6
Moldova,2015,75.6,38.3,45.9,14,7,1,11.5
Mongolia,2015,49.3,31,44,8.5,7.3,2,16.5
Montenegro,2015,69.3,25.9,38.5,11.6,2.5,1,6.9
Morocco,2015,90.8,1,9,26.4,7,1,13.8
Mozambique,2015,97.5,47.5,39.4,22,9,7,27.7
Myanmar,2015,72.3,19,15,22.5,10.7,7,21.3
Namibia,2015,86.1,52,50,32,10.7,6,15.9
Nepal,2015,81.7,42.7,33.3,10,11,1,14.3
Netherlands,2015,61.7,21,31,9.4,4.4,,5
New Zealand,2015,62.2,23.3,34.8,5.9,1.2,1,4.9
Nicaragua,2015,74.1,25.7,28.6,12,7,4,9.3
Niger,2015,81.6,52.6,44.1,31.3,10.5,3,34.8
Nigeria,2015,90.8,49.8,48.1,27,6,14,10.9
Norway,2015,52.8,23,40.3,5.5,0.5,,6
Oman,2015,63,47,50,12.3,3.3,,15.2
Pakistan,2015,80.7,41,37,30,10.9,4,26.3
Palestine,2015,91.5,56,44,23.7,6.6,4.5,10.1
Panama,2015,44.9,22,31.8,1.6,5.6,15,11.7
Papua New Guinea,2015,75.7,56.9,42.5,27.6,12.2,3,33.7
Paraguay,2015,64.7,39.8,40.9,15.3,2,7,15.1
Peru,2015,63.4,47,37,14,5.4,2,12.1
Philippines,2015,76.8,48,38,15,5,3,7
Poland,2015,66.8,24,32,5.9,3.7,1,2
Portugal,2015,73.5,37,27,7.9,0.6,,5
Qatar,2015,49.9,42,51,2.4,3.8,,7.9
Romania,2015,67.6,41,41,9.8,3.3,1,6
Russia,2015,52.7,33,37,8.4,4.9,2,12.4
Rwanda,2015,88.7,57.8,34.8,16,12,13,44.3
Saint Lucia,2015,67.5,25,41,8.5,4.4,0.4,10.7
Samoa,2015,70.7,74,68,19.5,5.1,4.1,22
Saudi Arabia,2015,68.5,36.2,34.6,10.1,4.5,1,5
Senegal,2015,85.8,38.4,41.1,29.7,11.8,1,25
Serbia,2015,43.1,34.7,39.8,15.9,5.3,1,13.2
Seychelles,2015,64.7,51,43.8,9.7,10.1,11.2,18.8
Sierra Leone,2015,81.7,45.3,34.1,32.6,13.5,9,28.6
Slovakia,2015,63.6,25,40,3.6,3.6,,6
Slovenia,2015,68.4,20,40,14.5,3.7,,2
Solomon Islands,2015,72,67,53,21.2,11.4,3,25.4
South Africa,2015,75.9,37.4,33.5,26.3,7.9,8,9.4
Spain,2015,65.8,14,35,7.8,6.5,,2
Sri Lanka,2015,73.4,38,47,27.7,9.1,1,16.9
Sudan,2015,63.9,40.7,51,17.9,13.6,6,28.1
Suriname,2015,86.1,26,21,23.6,5.8,,7.7
Swaziland,2015,88.3,32,19,43,18,16,26.5
Sweden,2015,61.6,11,30,9.3,1.5,,5
Switzerland,2015,54.4,34,34.3,5.3,5.9,,7.2
Syria,2015,88.5,40.9,51.4,27.6,6.6,1,16.6
Tajikistan,2015,77.7,7,22,7,1,1,15.2
Tanzania,2015,76.9,28,40,24,13,6,36.8
Thailand,2015,72,27,34,11.7,2,2,15.9
Timor,2015,87.4,54,37.7,30,2,2,31.5
Togo,2015,80.6,47.5,29,30.2,11,7,19
Tonga,2015,69.3,50,49,17.2,7.6,1.5,13.9
Trinidad and Tobago,2015,77.4,15,36,21.5,12.4,12,26.3
Tunisia,2015,93.2,31,47,27.4,1.4,1,6.6
Turkey,2015,72.6,33.1,35.4,14.8,5.7,2,11
Turkmenistan,2015,37,46.6,32.8,6.2,5.7,4,20.4
Uganda,2015,80.4,46,36,54,19,10,34.6
Ukraine,2015,61.2,41,39,6,0.3,1,10.6
United Arab Emirates,2015,60.6,23,47,10.1,4,2,12.7
United Kingdom,2015,59.5,25,33,9.4,4.3,,5
United States,2015,53.6,26,35,4.3,1.4,4,9.5
Uruguay,2015,54.6,19,26,2.7,1.2,2,7.1
Uzbekistan,2015,64.2,44.1,44.9,20.1,8.3,1,19.5
Vanuatu,2015,83.5,67,51,35.8,14,3.4,44
Venezuela,2015,74.9,35,30,11.6,1.8,20,5.6
Vietnam,2015,68.4,26,22,12.4,2.4,1,9
Yemen,2015,79.2,41,46,42.1,16.1,2,23.6
Zambia,2015,80.4,65,53,33,16,6,43
Zimbabwe,2015,62.6,61,41,23,18,5,27.2
